61deacef6ddb7c4d861a9534b1167c96dc1b85aa476996253b6d6c4a84b3e22b,e99569b65b78caa3de6d67590b52a26a2a88b5d92c9bc9e38c0c47838efc05d0,84191da84db76310833d72960596b076179511f7ff383b475592c42e065ed8bb,ee63a0d14264af35d3660738a28d822829364821f0243c598c22ba4bae9558a9,60881060a5a9a3258350fd3772f63a19a63ca1094a333ecf4193847fbae19788,756a35dc06d2c2262eb3f24a91e157eb89332e4e3b12b7789b1a863d0329827c,7a2d95141abf168af29ea00d5dec1d24f3bbea4c5a5107dab7394a4796c79856,1a0882b3ac90addeb6e9d17e61d29636f8e51ed2c14a0d84e69e3c155ee39a89,847511f2c94a88a98d36c90b76f7002be95b8d8b361f446a38bd552b38ef73d7,9d4dbce4dc27051ab1126b2d58d3fb211cee0f12c5c2a443ca64fac2f26caf86,0de5eaf961ba9d7a6a0aa0e3612d6d76800eb5733fdf4c3b9d50006a966c43f1
"1","11","106011","0","1","10","喂，我們快點去搭啦～\n唉～討厭討厭……呵呵呵。","61075","5146061","0","0"
"","91","0","","","","","61076","5146061","",""
"","22","0","","","","0","61077","5146061","",""
"","3","106011","0.2","","1","walk_kyapi_shy","61078","5146061","",""
"","3","1060","0.2","","1","walk_kyapi_shy","61079","5146061","",""
"","3","105811","0.2","","1","walk_furimuki","61080","5146061","",""
"","3","1058","0.2","","1","walk_furimuki","61081","5146061","",""
"","3","105911","0.2","","1","kokkoro_walk_surprise","61082","5146061","",""
"","3","1059","0.2","","1","kokkoro_walk_surprise","61083","5146061","",""
"0","2","106011","","2","-278","149","61084","5146061","",""
"0","2","1060","","2","-278","149","61085","5146061","",""
"0","2","105811","","2","-278","-54","61086","5146061","",""
"0","2","1058","","2","-278","-54","61087","5146061","",""
"0","2","105911","","2","-288","-214","61088","5146061","",""
"0","2","1059","","2","-288","-214","61089","5146061","",""
"","93","1","","","","0","61090","5146061","",""
"","37","2","","","","iris_in","61091","5146061","",""
"","93","2","","","","0","61092","5146061","",""
"","23","se_10055900","","","1","se_10055900_coaster_02","61093","5146061","",""
"","32","10","","","","1","61094","5146061","",""
"","122","30","","","0.5","30","61095","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0107","61096","5146061","",""
"","3","202","0","","0","0107_in","61097","5146061","",""
"","93","0.7","","","","1","61098","5146061","",""
"","3","202","0","","0","0107_mid","61099","5146061","",""
"","92","","","","","","61100","5146061","",""
"","3","202","0","","0","0107_out","61101","5146061","",""
"","93","0.2","","","","0","61102","5146061","",""
"0","2","202","","0","-211","0","61103","5146061","",""
"","122","30","","","0.5","30","61104","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0108","61105","5146061","",""
"","3","203","0","","0","0108_in","61106","5146061","",""
"","93","0.8","","","","1","61107","5146061","",""
"","3","203","0","","0","0108_mid","61108","5146061","",""
"","92","","","","","","61109","5146061","",""
"","3","203","0","","0","0108_out","61110","5146061","",""
"","93","0.2","","","","0","61111","5146061","",""
"0","2","201","","0","16","315","61112","5146061","",""
"","122","30","","","0.5","30","61113","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0109","61114","5146061","",""
"","3","201","0","","0","0109_in","61115","5146061","",""
"","93","1.1","","","","1","61116","5146061","",""
"","3","201","0","","0","0109_mid","61117","5146061","",""
"","92","","","","","","61118","5146061","",""
"","3","201","0","","0","0109_out","61119","5146061","",""
"","93","0.2","","","","0","61120","5146061","",""
"","122","30","","","0.5","30","61121","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0110","61122","5146061","",""
"","3","202","0","","0","0107_in","61123","5146061","",""
"","3","203","0","","0","0108_in","61124","5146061","",""
"","3","201","0","","0","0109_in","61125","5146061","",""
"","93","1.1","","","","1","61126","5146061","",""
"","3","202","0","","0","0107_mid","61127","5146061","",""
"","3","203","0","","0","0108_mid","61128","5146061","",""
"","3","201","0","","0","0109_mid","61129","5146061","",""
"","92","","","","","","61130","5146061","",""
"","3","202","0","","0","0107_out","61131","5146061","",""
"","3","203","0","","0","0108_out","61132","5146061","",""
"","3","201","0","","0","0109_out","61133","5146061","",""
"","93","0.2","","","","0","61134","5146061","",""
"0","2","201","","0","0","216","61135","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0111","61136","5146061","",""
"","3","201","0","","0","0111_in","61137","5146061","",""
"","93","1.8","","","","1","61138","5146061","",""
"","3","201","0","","0","0111_mid","61139","5146061","",""
"","92","","","","","","61140","5146061","",""
"","3","201","0","","0","0111_out","61141","5146061","",""
"","93","0.2","","","","0","61142","5146061","",""
"","22","0","","","","0","61143","5146061","",""
"","93","0.5","","","","","61144","5146061","",""
"","32","11","","","","1","61145","5146061","",""
"","23","se_10055900","","","0","se_10055900_camera","61146","5146061","",""
"","93","0.2","","","","0","61147","5146061","",""
"","32","10","","","","0","61148","5146061","",""
"","93","1.8","","","","0","61149","5146061","",""
"","24","se_10055900_coaster_02","","","","0.5","61150","5146061","",""
"","37","2","","","","iris_out","61151","5146061","",""
"0","2","106011","","0","-278","129","61152","5146061","",""
"0","2","1060","","0","-278","129","61153","5146061","",""
"0","2","105811","","0","-278","-34","61154","5146061","",""
"0","2","1058","","0","-278","-34","61155","5146061","",""
"0","2","105911","","0","-288","-194","61156","5146061","",""
"0","2","1059","","0","-288","-194","61157","5146061","",""
"","3","106011","0.2","","1","walk_normal_dere2","61158","5146061","",""
"","3","1060","0.2","","1","walk_normal_dere2","61159","5146061","",""
"","3","105811","0.2","","1","walk_normal_joy","61160","5146061","",""
"","3","1058","0.2","","1","walk_normal_joy","61161","5146061","",""
"","3","105911","0.2","","1","kokkoro_walk_normal_dere","61162","5146061","",""
"","3","1059","0.2","","1","kokkoro_walk_normal_dere","61163","5146061","",""
"0","2","106011","","2","-278","290","61164","5146061","",""
"0","2","1060","","2","-278","290","61165","5146061","",""
"0","2","105811","","2","-278","-225","61166","5146061","",""
"0","2","1058","","2","-278","-225","61167","5146061","",""
"0","2","105911","","2","-288","-385","61168","5146061","",""
"0","2","1059","","2","-288","-385","61169","5146061","",""
"","4","106011","","","","0","61170","5146061","",""
"","4","1060","","","","0","61171","5146061","",""
"","4","105811","","","","1","61172","5146061","",""
"","4","1058","","","","1","61173","5146061","",""
"","4","105911","","","","1","61174","5146061","",""
"","4","1059","","","","1","61175","5146061","",""
"","93","2","","","","0","61176","5146061","",""
"","4","106011","","","","1","61177","5146061","",""
"","4","1060","","","","1","61178","5146061","",""
"","4","105811","","","","0","61179","5146061","",""
"","4","1058","","","","0","61180","5146061","",""
"","4","105911","","","","0","61181","5146061","",""
"","4","1059","","","","0","61182","5146061","",""
"","3","106011","0.2","","1","joy_idle_doya_shy","61183","5146061","",""
"","3","1060","0.2","","1","joy_idle_doya_shy","61184","5146061","",""
"","3","105811","0.2","","1","idle_normal","61185","5146061","",""
"","3","1058","0.2","","1","idle_normal","61186","5146061","",""
"","3","105911","0.2","","1","kokkoro_idle_normal_joy","61187","5146061","",""
"","3","1059","0.2","","1","kokkoro_idle_normal_joy","61188","5146061","",""
"","93","0.3","","","","0","61189","5146061","",""
"1","3","105811","0.2","guts2_talk_joy","0","jump_short","61190","5146061","","0.2"
"1","3","1058","0.2","guts2_talk_joy","0","jump_short","61191","5146061","","0.2"
"","21","vo_apg","","0","0","vo_apg_0112","61192","5146061","",""
"1","11","105811","0","1","9","哈～♪\n玩得真開心呢──☆","61193","5146061","0","0"
"","91","0","","","","","61194","5146061","",""
"","3","105811","0.2","","1","idle_normal","61195","5146061","",""
"","3","1058","0.2","","1","idle_normal","61196","5146061","",""
"","3","105911","0.2","","1","kokkoro_talk_normal","61197","5146061","",""
"","3","1059","0.2","","1","kokkoro_talk_normal","61198","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0113","61199","5146061","",""
"1","11","105911","0","1","8","各位，\n照片似乎\n已經洗出來了。","61200","5146061","0","0"
"","91","0","","","","","61201","5146061","",""
"","3","105911","0.2","","1","kokkoro_idle_normal_joy","61202","5146061","",""
"","3","1059","0.2","","1","kokkoro_idle_normal_joy","61203","5146061","",""
"1","3","106011","0.2","armcrossed_talk_dere_shy","0","armcrossed_in_dere_shy","61204","5146061","","0"
"1","3","1060","0.2","armcrossed_talk_dere_shy","0","armcrossed_in_dere_shy","61205","5146061","","0"
"","21","vo_apg","","0","0","vo_apg_0114","61206","5146061","",""
"1","11","106011","0","1","10","唉～糟透了。\n……算了，我就姑且\n看一下拍得如何吧♪","61207","5146061","0","0"
"","91","0","","","","","61208","5146061","",""
"","22","0","","","","0","61209","5146061","",""
"","3","106011","0.2","","0","armcrossed_idle_anger_lookup","61210","5146061","",""
"","3","1060","0.2","","0","armcrossed_idle_anger_lookup","61211","5146061","",""
"","3","105811","0.2","","1","idle_normal_lookup","61212","5146061","",""
"","3","1058","0.2","","1","idle_normal_lookup","61213","5146061","",""
"","3","105911","0.2","","1","kokkoro_wish_idle_joy_lookup","61214","5146061","",""
"","3","1059","0.2","","1","kokkoro_wish_idle_joy_lookup","61215","5146061","",""
"","3","21","0","","0","coaster_1_in","61216","5146061","",""
"","23","se_10055900","","","0","se_10055900_photo","61217","5146061","",""
"","93","2.3","","","","0","61218","5146061","",""
"","3","105811","0.2","","1","idle_normal_surprise","61219","5146061","",""
"","3","1058","0.2","","1","idle_normal_surprise","61220","5146061","",""
"","3","105911","0.2","","1","kokkoro_idle_normal_surprise","61221","5146061","",""
"","3","1059","0.2","","1","kokkoro_idle_normal_surprise","61222","5146061","",""
"1","3","106011","0.2","pointing_loop_noface","0","pointing_in_noface","61223","5146061","","0"
"1","3","1060","0.2","pointing_loop_kyaru","0","pointing_in_kyaru","61224","5146061","","0"
"","21","vo_apg","","0","0","vo_apg_0115","61225","5146061","",""
"1","11","106011","0","1","8","呃，這是怎樣啊──！！！\n根本沒拍到我嘛！！？","61226","5146061","0","0"
"","93","0.5","","","","1","61227","5146061","",""
"","122","30","","","0.5","30","61228","5146061","",""
"","91","61226","","","","","61229","5146061","",""
"","3","105811","0.2","","1","surprise_talk","61230","5146061","",""
"","3","1058","0.2","","1","surprise_talk","61231","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0116","61232","5146061","",""
"1","11","105811","0","1","7","……咦？\n小凱留其實\n很想被拍嗎？","61233","5146061","0","0"
"","91","0","","","","","61234","5146061","",""
"","3","105811","0.2","","1","idle_normal_talk1R","61235","5146061","",""
"","3","1058","0.2","","1","idle_normal_talk1R","61236","5146061","",""
"","3","105911","0.2","","1","kokkoro_sad_talk","61237","5146061","",""
"","3","1059","0.2","","1","kokkoro_sad_talk","61238","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0117","61239","5146061","",""
"1","11","105911","0","1","8","在下以為凱留小姐不想被拍，\n就把您遮住了。\n看來似乎是在下多管閒事。","61240","5146061","0","0"
"","91","0","","","","","61241","5146061","",""
"","3","105911","0.2","","1","kokkoro_idle_normal","61242","5146061","",""
"","3","1059","0.2","","1","kokkoro_idle_normal","61243","5146061","",""
"1","3","106011","0.2","shock_loop_shy_red","0","shock_in_shy_red","61244","5146061","","0"
"1","3","1060","0.2","shock_loop_shy_red","0","shock_in_shy_red","61245","5146061","","0"
"","21","vo_apg","","0","0","vo_apg_0118","61246","5146061","",""
"1","11","106011","0","1","9","不……不是，\n也不是那樣的啦！！？","61247","5146061","0","0"
"","91","0","","","","","61248","5146061","",""
"","3","21","0","","0","coaster_1_out","61249","5146061","",""
"","3","105911","0.2","","1","kokkoro_idle_normal_joy","61250","5146061","","0.2"
"","3","1059","0.2","","1","kokkoro_idle_normal_joy","61251","5146061","","0.2"
"","3","105811","0.2","","1","joy_talk","61252","5146061","","0.2"
"","3","1058","0.2","","1","joy_talk","61253","5146061","","0.2"
"","21","vo_apg","","0","0","vo_apg_0119","61254","5146061","",""
"1","11","105811","0","1","9","什麼嘛♪\n那我們就再搭一次吧──♪","61255","5146061","0","0"
"","91","0","","","","","61256","5146061","",""
"","3","105811","0.2","","1","joy_idle","61257","5146061","",""
"","3","1058","0.2","","1","joy_idle","61258","5146061","",""
"","3","105911","0.2","","1","kokkoro_wish_talk_normal2","61259","5146061","",""
"","3","1059","0.2","","1","kokkoro_wish_talk_normal2","61260","5146061","",""
"","21","vo_apg","","0","0","vo_apg_0120","61261","5146061","",""
"1","11","105911","0","1","7","好的，就這麼做吧♪","61262","5146061","0","0"
"","91","0","","","","","61263","5146061","",""
"","22","0","","","","0","61264","5146061","",""
"","3","105911","0.2","","1","kokkoro_wish_idle_joy","61265","5146061","",""
"","3","1059","0.2","","1","kokkoro_wish_idle_joy","61266","5146061","",""
"","3","106011","0.2","","1","anger_talk_anger2_red","61267","5146061","",""
"","3","1060","0.2","","1","anger_talk_anger2_red","61268","5146061","",""
"0","12","106011","0","0","2","2","61269","5146061","0","0"
"0","12","105811","0","0","2","10","61270","5146061","0","0"
"0","12","105911","0","0","2","10","61271","5146061","0","0"
"","93","2","","","","0","61272","5146061","",""
"","101","61274","","","","","61273","5146061","",""
"","22","0","","","","0.2","61274","5146061","",""
"-278","1","1","1.8","-290","103","100911","62001","5146062","idle_normal","0"
"-278","5","3","1.8","-290","104","1009","62002","5146062","idle_normal","0"
"-278","1","1","1.8","290","100","131011","62003","5146062","idle_normal","1"
"","13","100911","","","","203","62004","5146062","",""
"","13","131011","","","","200","62005","5146062","",""
"-174","5","7","0.85","0","15","7","62006","5146062","idle","0"
"71","5","20","1","-132","210","20","62007","5146062","empty","0"
"-42","5","22","1","0","210","22","62008","5146062","empty","0"
"153","5","21","1","0","60","21","62009","5146062","empty","0"
"1","31","1","1","0","0","1","62010","5146062","",""
"1","31","2","0","-57.7","0","2","62011","5146062","",""
"1","31","10","0","0","0","10","62012","5146062","",""
"1","31","11","0","0","0","11","62013","5146062","",""
"1","31","14","0","-278","-290","14","62014","5146062","",""
"1","31","20","1","0","0","20","62015","5146062","",""
"","36","20","","","","100911","62016","5146062","",""
"","36","20","","","","20","62017","5146062","",""
"","36","20","","","","22","62018","5146062","",""
"","91","0","","","","0","62019","5146062","",""
"","102","0","","","0","0","62020","5146062","",""
"","93","1","","","","0","62021","5146062","",""
"1","3","100911","0.2","cool_talk_dere","0","cool_in_dere","62022","5146062","","0"
"1","3","1009","0.2","cool_talk_dere","0","cool_in_dere","62023","5146062","","0"
"","21","vo_apg","","0","0","vo_apg_0201","62024","5146062","",""
"1","11","100911","0","1","9","出發吧，前往極滅禁斷秘儀！\n好，麻煩妳帶路了！","62025","5146062","0","0"
"","91","0","","","","","62026","5146062","",""
"","3","100911","0.2","","1","cool_idle","62027","5146062","",""
"","3","1009","0.2","","1","cool_idle","62028","5146062","",""
"","3","131011","0.2","","1","wish_talk_joy","62029","5146062","",""
"","21","vo_apg","","0","0","vo_apg_0202","62030","5146062","",""
"1","11","131011","0","1","8","杏奈小姐竟然會感興趣，\n人家很高興呢～\n人家會好好為妳帶路的。","62031","5146062","0","0"
"","91","0","","","","","62032","5146062","",""
"","3","131011","0.2","","1","wish_idle","62033","5146062","",""
"1","3","100911","0.2","sad_talk","0","anna_armcrossed","62034","5146062","","0.2"
"1","3","1009","0.2","sad_talk","0","anna_armcrossed","62035","5146062","","0.2"
"","21","vo_apg","","0","0","vo_apg_0203","62036","5146062","",""
"1","11","100911","0","1","9","嗯！吉格魯特他們也\n挑戰過的這場試煉，我冥姬也……\n呃，咦？\n這莫非，是尖叫系設施……？","62037","5146062","0","0"
"","91","0","","","","","62038","5146062","",""
"","3","100911","0.2","","1","sad_idle","62039","5146062","",""
"","3","1009","0.2","","1","sad_idle","62040","5146062","",""
"1","3","131011","0.2","surprise_talk","0","maho_talk_normal","62041","5146062","","0.2"
"","21","vo_apg","","0","0","vo_apg_0204","62042","5146062","",""
"1","11","131011","0","1","9","這是這座遊樂園\n大受歡迎的遊樂設施喔～\n奇怪？怎麼了嗎？\n妳的臉色看起來不太好……","62043","5146062","0","0"
"","91","0","","","","","62044","5146062","",""
"","3","131011","0.2","","1","surprise_idle","62045","5146062","",""
"","3","100911","0.2","","1","anger_talk_shy","62046","5146062","",""
"","3","1009","0.2","","1","anger_talk_shy","62047","5146062","",""
"","21","vo_apg","","0","0","vo_apg_0205","62048","5146062","",""
"1","11","100911","0","1","9","我我我、我才不是感、感到害怕……\n徹徹底底，完全沒問題喔？","62049","5146062","0","0"
"","91","0","","","","","62050","5146062","",""
"","3","100911","0.2","","1","anger_idle_shy","62051","5146062","",""
"","3","1009","0.2","","1","anger_idle_shy","62052","5146062","",""
"","3","131011","0.2","","1","worry_talk","62053","5146062","",""
"","21","vo_apg","","0","0","vo_apg_0206","62054","5146062","",""
"1","11","131011","0","1","9","話雖如此，最好還是不要\n勉強自己比較好吧？","62055","5146062","0","0"
"","91","0","","","","","62056","5146062","",""
"","3","131011","0.2","","1","wish_idle_shy","62057","5146062","",""
"","3","100911","0.2","","1","anger_talk_pain","62058","5146062","",""
"","3","1009","0.2","","1","anger_talk_pain","62059","5146062","",""
"","21","vo_apg","","0","0","vo_apg_0207","62060","5146062","",""
"1","11","100911","0","1","9","沒事！我、我都說沒問題了！\n妳都帶我到這裡了，怎麼能退縮……\n我要上了！突擊────！","62061","5146062","0","0"
"","91","0","","","","","62062","5146062","",""
"","22","0","","","","0","62063","5146062","",""
"","3","100911","0.2","","1","run_dash_anger2","62064","5146062","",""
"","3","1009","0.2","","1","run_dash_anger2","62065","5146062","",""
"","3","131011","0.2","","1","walk_surprise","62066","5146062","",""
"0","2","100911","","2","-278","-129","62067","5146062","",""
"0","2","1009","","2","-278","-129","62068","5146062","",""
"0","2","131011","","2","-278","129","62069","5146062","",""
"","32","14","","","","1","62070","5146062","",""
"","37","14","","","","left","62071","5146062","",""
"0","33","14","","2","-278","-129","62072","5146062","",""
"","93","1","","","","0","62073","5146062","",""
"","32","2","","","","1","62074","5146062","",""
"","93","1.5","","","","0","62075","5146062","",""
"","32","14","","","","0","62076","5146062","",""
"0","2","100911","","0","-331","0","62077","5146062","",""
"","37","20","","","","scale15","62078","5146062","",""
"","23","se_10055900","","","1","se_10055900_coaster_01","62079","5146062","",""
"","21","vo_apg","","0","0","vo_apg_0208","62080","5146062","",""
"","3","22","0","","0","0208_in","62081","5146062","",""
"","93","3.3","","","","1","62082","5146062","",""
"","3","22","0","","0","0208_mid","62083","5146062","",""
"","92","","","","","","62084","5146062","",""
"","3","22","0","","0","0208_out","62085","5146062","",""
"","93","0.2","","","","0","62086","5146062","",""
"","93","0.3","","","","0","62087","5146062","",""
"","37","20","","","","scale1","62088","5146062","",""
"","32","10","","","","1","62089","5146062","",""
"","24","se_10055900_coaster_01","","","","0.5","62090","5146062","",""
"","23","se_10055900","","","1","se_10055900_coaster_02","62091","5146062","",""
"0","2","20","","0","0","0","62092","5146062","",""
"","122","30","","","0.5","30","62093","5146062","",""
"","21","vo_apg","","0","0","vo_apg_0209","62094","5146062","",""
"","3","20","0","","0","0209_in","62095","5146062","",""
"","93","2.6","","","","1","62096","5146062","",""
"","3","20","0","","0","0209_mid","62097","5146062","",""
"","92","","","","","","62098","5146062","",""
"","3","20","0","","0","0209_out","62099","5146062","",""
"","93","0.2","","","","0","62100","5146062","",""
"","122","30","","","1","30","62101","5146062","",""
"","21","vo_apg","","0","0","vo_apg_0210","62102","5146062","",""
"","3","20","0","","0","0210_in","62103","5146062","",""
"","93","2.7","","","","1","62104","5146062","",""
"","3","20","0","","0","0210_mid","62105","5146062","",""
"","92","","","","","","62106","5146062","",""
"","3","20","0","","0","0210_out","62107","5146062","",""
"","93","0.2","","","","0","62108","5146062","",""
"","22","0","","","","0","62109","5146062","",""
"","3","20","0","","1","empty","62110","5146062","",""
"","93","1","","","","","62111","5146062","",""
"","32","11","","","","1","62112","5146062","",""
"","23","se_10055900","","","0","se_10055900_camera","62113","5146062","",""
"","93","0.2","","","","0","62114","5146062","",""
"","32","10","","","","0","62115","5146062","",""
"","93","1.8","","","","0","62116","5146062","",""
"","24","se_10055900_coaster_02","","","","0.5","62117","5146062","",""
"","37","2","","","","iris_out","62118","5146062","",""
"0","2","100911","","0","-278","-129","62119","5146062","",""
"0","2","1009","","0","-278","-129","62120","5146062","",""
"0","2","131011","","0","-278","129","62121","5146062","",""
"","3","100911","0.2","","1","anna_walk","62122","5146062","",""
"","3","1009","0.2","","1","anna_walk","62123","5146062","",""
"","3","131011","0.2","","1","walk_normal_joy","62124","5146062","",""
"0","2","100911","","2","-278","-290","62125","5146062","",""
"0","2","1009","","2","-278","-290","62126","5146062","",""
"0","2","131011","","2","-278","290","62127","5146062","",""
"","4","100911","","","","1","62128","5146062","",""
"","4","1009","","","","1","62129","5146062","",""
"","4","131011","","","","0","62130","5146062","",""
"","93","2","","","","0","62131","5146062","",""
"","4","100911","","","","0","62132","5146062","",""
"","4","1009","","","","0","62133","5146062","",""
"","4","131011","","","","1","62134","5146062","",""
"","3","100911","0.2","","1","anna_idle","62135","5146062","",""
"0","3","1009","0.2","","1","anna_idle","62136","5146062","",""
"","3","131011","0.2","","1","idle_normal","62137","5146062","",""
"","93","0.5","","","","0","62138","5146062","",""
"","3","131011","0.2","","1","talk_normal_surprise","62139","5146062","",""
"","21","vo_apg","","0","0","vo_apg_0211","62140","5146062","",""
"1","11","131011","0","1","10","妳覺得如何呢？\n發出了很響亮的喊叫聲呢。","62141","5146062","0","0"
"","91","0","","","","","62142","5146062","",""
"","3","131011","0.2","","1","idle_normal_surprise","62143","5146062","",""
"1","3","100911","0.2","anna_kukuku_loop","0","anna_kukuku_in","62144","5146062","","0"
"1","3","1009","0.2","anna_kukuku_loop","0","anna_kukuku_in","62145","5146062","","0"
"","21","vo_apg","","0","0","vo_apg_0212","62146","5146062","",""
"1","11","100911","20","1","12","呵、呵呵呵……吉格魯特啊……\n我也，看得見了……時之刻！","62147","5146062","0","0"
"","91","0","","","","","62148","5146062","",""
"","3","21","0","","0","coaster_2_in","62149","5146062","",""
"","23","se_10055900","","","0","se_10055900_photo","62150","5146062","",""
"","93","0.1","","","","0","62151","5146062","",""
"1","3","100911","0.2","anna_ahaha_loop","0","anna_ahaha_in","62152","5146062","","0"
"1","3","1009","0.2","anna_ahaha_loop","0","anna_ahaha_in","62153","5146062","","0"
"","21","vo_apg","","0","0","vo_apg_0213","62154","5146062","",""
"1","11","100911","-30","1","8","此刻，冥姬\n超越了疾風！","62155","5146062","0","0"
"","91","0","","","","","62156","5146062","",""
