9bb7ac3564690a36de91dc3c5be2e74651bc0d945a62b807356c28928207fd57,ca9e553f73ba32caa61d1b722977ea74f62cd7cca9822002fb9459732e49d20d,32a9f233f1849fd998fb23d1acffc38c0dede3e7a23668a4c614f03922f084e2,6802510e910553c357e3f07c3d6cac4fd9f66e8aa6c6fc7efbf344baf6b23f51,c8e565ff8a3c8718468e5ebde527415083094f0eea8e259f6a1e49a6be44c12c
"1020","250","1500","86","60"
"10001","200","7000","87","30"
"10001","5","3000","88","30"
"10002","220","7000","89","60"
"10002","5","3000","90","60"
"10003","200","7000","91","60"
"10003","200","3000","92","15"
"10004","200","7000","93","60"
"10004","200","3000","94","10"
"10005","150","7000","95","40"
"10005","5","3000","96","40"
"10006","150","7000","97","60"
"10006","200","3000","98","10"
"10007","150","7000","99","40"
"10007","5","3000","100","40"
"10008","150","7000","101","50"
"10008","200","3000","102","15"
"10009","150","7000","103","45"
"10009","200","3000","104","10"
"10010","145","7000","105","40"
"10010","5","3000","106","10"
"10011","300","7000","107","40"
"10011","5","3000","108","10"
"10012","200","7000","109","65"
"10012","200","3000","110","10"
"10013","150","7000","111","40"
"10013","5","3000","112","10"
"10014","100","7000","113","40"
"10014","5","3000","114","10"
"10015","200","7000","115","50"
"10015","5","3000","116","10"
"10016","250","7000","117","60"
"10016","200","3000","118","30"
"10017","120","7000","119","45"
"10017","300","3000","120","90"
"10018","120","7000","121","90"
"10018","200","3000","122","30"
"10019","190","7000","123","50"
"10019","350","3000","124","60"
"10020","95","7000","125","90"
"10020","95","3000","126","90"
"10021","200","7000","127","60"
"10021","200","3000","128","60"
"10022","200","7000","129","60"
"10022","200","3000","130","60"
"10023","200","7000","131","60"
"10023","200","3000","132","60"
"11001","130","7000","133","30"
"11001","5","3000","134","5"
"11002","140","7000","135","30"
"11002","5","3000","136","5"
"11003","150","7000","137","40"
"11003","5","3000","138","5"
"11004","155","7000","139","45"
"11004","200","3000","140","5"
"11005","155","7000","141","60"
"11005","200","3000","142","10"
"11006","150","7000","143","60"
"11006","200","3000","144","15"
"11007","150","7000","145","60"
"11007","200","3000","146","15"
"11008","160","7000","147","50"
"11008","200","3000","148","15"
"11009","140","7000","149","70"
"11009","200","3000","150","30"
"11010","180","7000","151","35"
"11010","200","3000","152","120"
"11011","140","7000","153","65"
"11011","200","3000","154","30"
"11012","200","7000","155","35"
"11012","5","3000","156","5"
"11013","150","7000","157","70"
"11013","200","3000","158","15"
"11014","150","7000","159","60"
"11014","200","3000","160","15"
"11015","150","7000","161","60"
"11015","200","3000","162","15"
"11016","150","7000","163","60"
"11016","200","3000","164","15"
"11017","150","7000","165","60"
"11017","200","3000","166","15"
"11018","120","7000","167","50"
"11018","200","3000","168","60"
"11019","102","7000","169","67"
"11019","200","3000","170","60"
"11020","120","7000","171","35"
"11020","250","3000","172","60"
"20001","200","5000","173","30"
"20001","5","5000","174","30"
"20002","220","5000","175","60"
"20002","5","5000","176","60"
"20003","200","5000","177","60"
"20003","200","5000","178","15"
"20004","200","5000","179","60"
"20004","200","5000","180","10"
"20005","150","5000","181","40"
"20005","5","5000","182","40"
"20006","150","5000","183","60"
"20006","200","5000","184","10"
"20007","150","5000","185","40"
"20007","5","5000","186","40"
"20008","150","5000","187","50"
"20008","200","5000","188","15"
"20009","150","5000","189","45"
"20009","200","5000","190","10"
"20010","145","5000","191","40"
"20010","5","5000","192","10"
"20011","300","5000","193","40"
"20011","5","5000","194","10"
"20012","200","5000","195","65"
"20012","200","5000","196","10"
"20013","150","5000","197","40"
"20013","5","5000","198","10"
"20014","100","5000","199","40"
"20014","5","5000","200","10"
"20015","200","5000","201","50"
"20015","5","5000","202","10"
"20016","250","5000","203","60"
"20016","200","5000","204","30"
"20017","120","5000","205","45"
"20017","300","5000","206","90"
"20018","120","5000","207","90"
"20018","200","5000","208","30"
"20019","190","5000","209","50"
"20019","350","5000","210","60"
"20020","95","5000","211","90"
"20020","95","5000","212","90"
"20021","200","5000","213","60"
"20021","200","5000","214","60"
"20022","200","5000","215","60"
"20022","200","5000","216","60"
"20023","200","5000","217","60"
"20023","200","5000","218","60"
"21001","130","5000","219","30"
"21001","5","5000","220","5"
"21002","140","5000","221","30"
"21002","5","5000","222","5"
"21003","150","5000","223","40"
"21003","5","5000","224","5"
"21004","155","5000","225","45"
"21004","200","5000","226","5"
"21005","155","5000","227","60"
"21005","200","5000","228","10"
"21006","150","5000","229","60"
"21006","200","5000","230","15"
"21007","150","5000","231","60"
"21007","200","5000","232","15"
"21008","160","5000","233","50"
"21008","200","5000","234","15"
"21009","140","5000","235","70"
"21009","200","5000","236","30"
"21010","180","5000","237","35"
"21010","200","5000","238","120"
"21011","140","5000","239","65"
"21011","200","5000","240","30"
"21012","200","5000","241","35"
"21012","5","5000","242","5"
"21013","150","5000","243","70"
"21013","200","5000","244","15"
"21014","150","5000","245","60"
"21014","200","5000","246","15"
"21015","150","5000","247","60"
"21015","200","5000","248","15"
"21016","150","5000","249","60"
"21016","200","5000","250","15"
"21017","150","5000","251","60"
"21017","200","5000","252","15"
"21018","120","5000","253","50"
"21018","200","5000","254","60"
"21019","102","5000","255","67"
"21019","200","5000","256","60"
"21020","120","5000","257","35"
"21020","250","5000","258","60"
