2bc5952020449e8b92632b59eb443aae7da659515651838ff9f059b8e7452a7b,90abe79e2cb4b50ab4d22fbf8df324905fcd1adba367db365effa7fa1fdbedfa,e2a2e6511f688368054f0744a63ba504208958d0a5bd97eb85d32ff6e5a8787e,4cf8ae661b7acec46651ea74a6361cb4587473dcea6c38b56eb45fb3449f49ad,32b2a90be75a90b61c6e8d0756705e62866d899b66e7c8ec3bdd4c645cc03e7b,fddb2b0182a92a8107048236aadfe66bcd75f4351f0d8cf0500a59204ebfef32,559a3f254c88fdba0e255cd3c7921d84532c44c734ed954b50f57b61651df9b5,32a7c3eba45b2be4ac1a9c12118f569ac8802d19ffcdeb65a7e5a2e12d9f5743
"PLAYER_TURN2","1","","srt_kaya_waiting","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞有……","srt_dragon_thinking","srt_inori_thinking",""
"PLAYER_TURN3","1","","srt_kaya_waiting","原來如此，是「{0}」呢。\n唔呣，由「{1}」韻作為開頭的詞有……","srt_dragon_thinking","srt_inori_thinking",""
"PLAYER_TURN_TW1","1","","srt_kaya_waiting","哎呀，是「{0}」嗎？\n「{1}」這個韻有點特別，只要是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n都可以用來接「{1}」韻所開頭的詞呢。","srt_dragon_thinking","srt_inori_thinking",""
"PLAYER_TURN_TW2","1","","srt_kaya_waiting","哇啊，是「{0}」嗎？\n如果是「{1}」這個韻的話，像是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n跟「{1}」這個韻也是可以接上的喔！所以……","srt_dragon_thinking","srt_inori_thinking",""
"PLAYER_TURN_TW3","1","","srt_kaya_waiting","原來是「{0}」嗎？\n「{1}」這個韻可以接其他的注音，例如\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個發音，\n唔呣，所以我要選的詞應該是……","srt_dragon_thinking","srt_inori_thinking",""
"PLAYER_CUTIN_GREAT","1","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053","","","","",""
"PLAYER_CUTIN_PRICONNE","1","sugoyomi_cutin_050,sugoyomi_cutin_052","","","","",""
"PLAYER_SELECT1","1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","「{0}」！","srt_dragon_select_1,srt_dragon_idle","srt_inori_select_1,srt_inori_idle",""
"PLAYER_SELECT2","1","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","是「{0}」呀！","srt_dragon_select_2,srt_dragon_idle","srt_inori_select_2,srt_inori_idle",""
"PLAYER_SELECT_GREAT1","1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","「{0}」這個詞如何！","srt_dragon_select_1,srt_dragon_idle","srt_inori_select_1,srt_inori_idle",""
"PLAYER_SELECT_GREAT2","1","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","哼哼～♪「{0}」！","srt_dragon_select_2,srt_dragon_idle","srt_inori_select_2,srt_inori_idle",""
"PLAYER_SELECT_PRECONNE1","1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","呵呵呵，那就是\n「{0}」了！","srt_dragon_select_1,srt_dragon_idle","srt_inori_select_1,srt_inori_idle",""
"PLAYER_SELECT_PRECONNE2","1","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","腦中靈光一閃！\n是「{0}」呀！","srt_dragon_select_2,srt_dragon_idle","srt_inori_select_2,srt_inori_idle",""
"PLAYER_SELECT_WAIT","-1","","","","","",""
"PLAYER_MISS","1","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","srt_kaya_react_3,srt_kaya_waiting","哇嗚！我、我搞錯了……","srt_dragon_miss,srt_dragon_thinking","srt_inori_miss,srt_inori_thinking",""
"PLAYER_SELECT_N","2","out_070","srt_kaya_react_4","喂喂，尾音是「鼻音」耶……","","srt_inori_shock",""
"INFEVER","1","rush","srt_kaya_infever","我要積極進攻囉！","srt_dragon_thinking","srt_inori_thinking",""
"FEVER_SELECT1","1","correct_028-correct_029,correct_037-correct_038","","「{0}」！","srt_dragon_select_1","srt_inori_select_1",""
"FEVER_SELECT2","1","correct_030-correct_031,correct_035-correct_036","","是「{0}」呀！","srt_dragon_select_2","srt_inori_select_2",""
"FEVER_MISS","1","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","","哇嗚！我、我搞錯了……","srt_dragon_miss","srt_inori_miss",""
"FEVER_DAMAGE","1","rush_attack","srt_kaya_fever_damage","給我覺悟吧！","srt_dragon_fever_attack","srt_inori_fever_attack",""
"WIN_HP","1","win_005-win_006,win_012-win_013","srt_kaya_lose","是我贏了！！","srt_dragon_win","srt_inori_win_1",""
"WIN_N","1","win_005-win_006,win_012-win_013","","是我贏了！！","srt_dragon_win","srt_inori_win_1",""
"LOSE_MISS","1","lose_017,lose_019,lose_023","srt_kaya_win","嗚嗚……是我輸了……","srt_dragon_lose","srt_inori_lose",""
"LOSE_N","1","lose_017,lose_019,lose_023","","嗚嗚……是我輸了……","srt_dragon_miss","",""
"TIMEUP","1","lose_025/lose_026-boss_emote_068,lose_021","srt_kaya_win","時、時間到了嗎！？我太大意了…… ","srt_dragon_lose","srt_inori_lose",""
"LOSE_MISS2","1","lose_017,lose_019,lose_023","srt_kaya_win","嗚嗚……是我輸了……\n沒想到還有「{0}」可以接……","srt_dragon_lose","srt_inori_lose",""
"LOSE_N2","1","lose_017,lose_019,lose_023","","嗚嗚……是我輸了……\n應該還有「{0}」這個詞可以用……","srt_dragon_miss","",""
"TIMEUP2","1","lose_025/lose_026-boss_emote_068,lose_021","srt_kaya_win","時、時間到了嗎！？我太大意了…… \n應該要選「{0}」這個詞才對……","srt_dragon_lose","srt_inori_lose",""
