d6d89d09a1a646bd9f0f1775e4d11068a836c2dc5b106147785aea3a76ea51f9,87000a32137c3cd35b38cf302874ec6520378c0432ae37a435b3895f7d43464c,07d8fe3759f6f507b22e8501ca728fa6556c58069e980db78ea21caacdb35ed9,40e8f0329b451563f274bfbe3fbd5bcf725bdc861e73b2dab1a9549b7f8b7022,23c81d05c43cf7928b8e44c14a6502539bd80bdaf08cae109fac4b0419a9b102,8e6b508b55fa9e0baccd3b5630f0f23a6540c5a73192c85d2ff0228714fcb87c,89b2ab61eedd32adf98299e6a6a8fcd9def79d2985b51998c1776b6ca13b2799,457c8c3201e64457d06cb96562161d2bd94672388131331d7be297357112f66a,789ddb83c2c0687a37034a6e6631577300383e181ec478d7b8da637b21d85b5f,a7adb20b215eb13295c93b14610e4339e0abc935464fecd5b28912287a161972,f7700ef0d0ebd24d12972ff98aadb62d4073c8a4dd1cedb2de11b670a013ad87
"11","嘖。\n什～麼小老闆娘啊……\n明明就是性格扭曲的老太婆老闆娘。","0.2","1010801","0","2","0","1","10","1010801033","1"
"91","","","1010801","","0","","","","1010801034",""
"3","dsb_idle_doya_blink","","1010801","","2","0.5","","1","1010801035",""
"3","dsb_talk_sad2_talkjoy2","","1010801","","1","0.5","","1","1010801036",""
"21","vo_dsb_1004","","1010801","","vo_dsb_1010801","","0","0","1010801037",""
"11","祈梨……\n妳剛才說什麼？","0.2","1010801","0","1","0","1","10","1010801038","1"
"91","","","1010801","","0","","","","1010801039",""
"3","dsb_idle_normal","","1010801","","1","0.5","","1","1010801040",""
"3","dsb_surprise_inori","","1010801","0.5","2","0.2","dsb_talk_surprise1_2","0","1010801041","1"
"21","vo_dsb_1005","","1010801","","vo_dsb_1010801","","0","0","1010801042",""
"11","沒沒沒、沒有，我什麼都沒說喔～\n倒是這座溫泉！\n這熱度不尋常……\n裡頭肯定有危險的東西！","0.2","1010801","0","2","0","1","10","1010801043","1"
"91","","","1010801","","0","","","","1010801044",""
"3","dsb_idle_surprise1_normal","","1010801","","2","0.5","","1","1010801045",""
"3","dsb_talk_bitter","","1010801","","1","0.5","","1","1010801046",""
"21","vo_dsb_1006","","1010801","","vo_dsb_1010801","","0","0","1010801047",""
"11","說得真難聽～\n裡面沒有危險的東西哦～\n……應該說這東西\n祈梨也很熟呀。","0.2","1010801","0","1","0","1","10","1010801048","1"
"91","","","1010801","","0","","","","1010801049",""
"3","dsb_idle_normal","","1010801","","1","0.5","","1","1010801050",""
"3","dsb_sniff","","1010801","","2","0.5","","1","1010801051",""
"21","vo_dsb_1007","","1010801","","vo_dsb_1010801","","0","0","1010801052",""
"11","這麼說來……嗅嗅。\n我好像在哪裡聞過\n這泉水的味道。","0.2","1010801","0","2","0","1","10","1010801053","1"
"91","","","1010801","","0","","","","1010801054",""
"3","dsb_idle_normal","","1010801","","2","0.5","","1","1010801055",""
"3","dsb_talk_joy3","","1010801","","1","0.5","","1","1010801056",""
"21","vo_dsb_1008","","1010801","","vo_dsb_1010801","","0","0","1010801057",""
"11","對吧～？\n正確答案是……\n吃了會噴火的樹果，\n我向似龍生物拿來的～☆","0.2","1010801","0","1","0","1","10","1010801058","1"
"91","","","1010801","","0","","","","1010801059",""
"3","dsb_idle_normal","","1010801","","1","0.5","","1","1010801060",""
"3","dsb_talk_guts2","","1010801","0.5","2","0.5","dsb_talk_guts2_loop","0","1010801061","1"
"21","vo_dsb_1009","","1010801","","vo_dsb_1010801","","0","0","1010801062",""
"11","喔喔！？\n是那個火焰果實啊！\n那水這麼熱也說得通了！\n那傢伙還好嗎？","0.2","1010801","0","2","0","1","10","1010801063","1"
"91","","","1010801","","0","","","","1010801064",""
"3","dsb_idle_guts2","","1010801","","2","0.5","","1","1010801065",""
"3","dsb_talk_normal","","1010801","","1","0.5","","1","1010801066",""
"21","vo_dsb_1010","","1010801","","vo_dsb_1010801","","0","0","1010801067",""
"11","嗯☆\n牠好像還記得我呢？\n馬上就把果實分給我了～♪\n心甘情願～地喔？","0.2","1010801","0","1","0","1","10","1010801068","1"
"91","","","1010801","","0","","","","1010801069",""
"3","dsb_hot","","1010801","","1","0.5","","1","1010801070",""
"21","vo_dsb_1011","","1010801","","vo_dsb_1010801","","0","0","1010801071",""
"11","不過……\n呼。\n是我果實加太多了嗎～？\n感覺有點發熱了～","0.2","1010801","0","1","0","1","10","1010801072","1"
"91","","","1010801","","0","","","","1010801073",""
"3","dsb_hot_loop","","1010801","","1","0.5","","1","1010801074",""
"3","dsb_talk_thinking_Ex9","","1010801","","2","0.3","","1","1010801075",""
"21","vo_dsb_1012","","1010801","","vo_dsb_1010801","","0","0","1010801076",""
"11","（這、這是……好機會！\n如果老大比我先泡到頭昏，\n到時候老大就比我還遜了！\n就等於是我贏了！The‧以下犯上！）","0.2","1010801","0","2","0","1","10","1010801077","1"
"91","","","1010801","","0","","","","1010801078",""
"3","dsb_talk_arm_crossed_Ex10","","1010801","0.5","2","0.5","dsb_talk_arm_crossed_Ex10_loop","0","1010801079","1"
"21","vo_dsb_1013","","1010801","","vo_dsb_1010801","","0","0","1010801080",""
"11","呵呵呵……\n這場比賽我贏定了──！\n啊──哈哈哈哈！","0.2","1010801","0","2","0","1","10","1010801081","1"
"93","1","","1010801","","5.6","","","","1010801082",""
"3","dsb_ahaha_in","","1010801","0","2","0.5","dsb_ahaha_loop","0","1010801083","1"
"91","","","1010801","","1010801081","","","","1010801084",""
"32","1","","1010801","","40","","","","1010801085",""
"93","0","","1010801","","1.5","","","","1010801086",""
"3","dsb_inori_dizzy","","1010801","","2","0","","1","1010801087",""
"3","dsb_idle_normal","","1010801","","1","0","","1","1010801088",""
"93","0","","1010801","","0.5","","","","1010801089",""
"22","0","","1010801","","0","","","","1010801090",""
"93","0","","1010801","","1","","","","1010801091",""
"3","dsb_smile4","","1010801","0.2","1","0.5","dsb_talk_joy3","0","1010801092","1"
"21","vo_dsb_1014","","1010801","","vo_dsb_1010801","","0","0","1010801093",""
"11","嗯──♪\n終於暖和起來了～\n祈梨，對吧？","0.2","1010801","0","1","0","1","10","1010801094","1"
"91","","","1010801","","0","","","","1010801095",""
"3","dsb_idle_normal","","1010801","","1","0.5","","1","1010801096",""
"21","vo_dsb_1015","","1010801","","vo_dsb_1010801","","0","0","1010801097",""
"11","噫……\n噫噫噫噫……\n我要變成水煮龍人族了～！","0.2","1010801","0","2","0","1","10","1010801098","1"
"91","","","1010801","","0","","","","1010801099",""
"22","0","","1010801","","0","","","","1010801100",""
"23","se_10044200_get_out_water","","1010801","","se_10044200","","","0","1010801101",""
"3","dsb_inori_stand_up_in","","1010801","0.2","2","0.2","dsb_inori_stand_up_loop","0","1010801102","1"
"3","dsb_smile2","","1010801","0.2","1","0.3","dsb_idle_normal","0","1010801103","1"
"93","0","","1010801","","0.3","","","","1010801104",""
"23","se_adv_emote_sweat_02","","1010801","","se_adv_emote_sweat_02","","","0","1010801105",""
"12","2","0","1010801","0","2","0","0","1.4","1010801106","0"
"12","10","0","1010801","0","1","0","0","1.4","1010801107","0"
"93","0","","1010801","","2.5","","","","1010801108",""
"5","1","dsb_idle_normal","1010802","0","12","2","-165","70","1010802001","-345"
"5","2","dsb_idle_normal","1010802","1","6","2","165","70","1010802002","-345"
"31","1","","1010802","","1","1","0","0","1010802003","1"
"31","3","","1010802","","3","1","0","0","1010802004","1"
"31","4","","1010802","","4","1","0","0","1010802005","1"
"31","10","","1010802","","16","1","0","0","1010802006","1"
"31","20","","1010802","","26","1","0","0","1010802007","1"
"31","30","","1010802","","36","1","-168","155","1010802008","1"
"31","31","","1010802","","36","1","-168","-155","1010802009","1"
"13","170","","1010802","","1","","","","1010802010",""
"13","170","","1010802","","2","","","","1010802011",""
"91","","","1010802","","0","","","","1010802012",""
"23","se_10044200_cmn_amb","","1010802","","se_10044200","","","1","1010802013",""
"23","se_10044200_cmn_steam","","1010802","","se_10044200","","","0","1010802014",""
"93","0","","1010802","","6","","","","1010802015",""
"23","se_10044200_hotspring_06","","1010802","","se_10044200","","","1","1010802016",""
"93","0","","1010802","","1.5","","","","1010802017",""
"3","dsb_smile3_joy","","1010802","0.5","2","0.5","dsb_talk_joy1","0","1010802018","1"
"21","vo_dsb_2001","","1010802","","vo_dsb_1010802","","0","0","1010802019",""
"11","太讚了──！浴池好寬敞～☆\n「泡溫泉感」真誇張！\n而且還能見到美里妳們，超好玩！\n好嗨喔～♪","0.2","1010802","0","2","0","1","10","1010802020","1"
"91","","","1010802","","0","","","","1010802021",""
"3","dsb_idle_joy1","","1010802","","2","0.5","","1","1010802022",""
"3","dsb_talk_normal_joy","","1010802","","1","0.5","","1","1010802023",""
"21","vo_dsb_2002","","1010802","","vo_dsb_1010802","","0","0","1010802024",""
"11","好久不見～鈴奈♪\n今天我準備的溫泉\n是鮮花的香芬浴池。\n味道很香，對皮膚也很好喔～","0.2","1010802","0","1","0","1","10","1010802025","1"
"91","","","1010802","","0","","","","1010802026",""
"3","dsb_idle_normal","","1010802","","1","0.5","","1","1010802027",""
"3","dsb_surprise2","","1010802","0.5","2","0.5","dsb_talk_surprise1_2","0","1010802028","1"
"21","vo_dsb_2003","","1010802","","vo_dsb_1010802","","0","0","1010802029",""
"11","超讚，妳真是溫泉天才！\n泡了還有助於美容，嚇死了！\n要感謝小伊緒\n告訴我這個地方♪","0.2","1010802","0","2","0","1","10","1010802030","1"
"93","1","","1010802","","6.5","","","","1010802031",""
"3","dsb_talk_joy3","","1010802","","2","0.5","","1","1010802032",""
"91","","","1010802","","1010802030","","","","1010802033",""
"3","dsb_talk_guts2_doya","","1010802","0.5","2","0.3","dsb_talk_guts2_doya_loop","0","1010802034","1"
"21","vo_dsb_2004","","1010802","","vo_dsb_1010802","","0","0","1010802035",""
"11","好──！\n那我要盡～情泡──\n讓肌膚變得很光滑──\n叫秀才大吃一驚☆","0.2","1010802","0","2","0","1","10","1010802036","1"
"91","","","1010802","","0","","","","1010802037",""
"3","dsb_talk_worry_normal2","","1010802","","2","0.5","","1","1010802038",""
"21","vo_dsb_2005","","1010802","","vo_dsb_1010802","","0","0","1010802039",""
"11","啊，對了！\n說到大吃一驚──\n讓這裡再多一些\n厲害感怎麼樣？","0.2","1010802","0","2","0","1","10","1010802040","1"
"91","","","1010802","","0","","","","1010802041",""
"3","dsb_idle_normal","","1010802","","2","0.5","","1","1010802042",""
"3","dsb_talk_surprise1","","1010802","","1","0.5","","1","1010802043",""
"21","vo_dsb_2006","","1010802","","vo_dsb_1010802","","0","0","1010802044",""
"11","厲害感？","0.2","1010802","0","1","0","1","10","1010802045","1"
"91","","","1010802","","0","","","","1010802046",""
"3","dsb_idle_wish_normal","","1010802","","1","0.2","","1","1010802047",""
"3","dsb_talk_surprise1_normal2","","1010802","","2","0.5","","1","1010802048",""
"21","vo_dsb_2007","","1010802","","vo_dsb_1010802","","0","0","1010802049",""
"11","對哇！\n要一眼就讓大家明白！\n這裡超讚！","0.2","1010802","0","2","0","1","10","1010802050","1"
"91","","","1010802","","0","","","","1010802051",""
"3","dsb_talk_surprise1_talkjoy2","","1010802","","2","0.5","","1","1010802052",""
"21","vo_dsb_2008","","1010802","","vo_dsb_1010802","","0","0","1010802053",""
"11","只要氣氛調整一下搞不好就會爆紅！\n弄成超可愛的浴池，\n就會有一大堆客人唷！","0.2","1010802","0","2","0","1","10","1010802054","1"
"91","","","1010802","","0","","","","1010802055",""
"3","dsb_idle_joy1","","1010802","","2","0.5","","1","1010802056",""
"3","dsb_talk_joy3","","1010802","","1","0.5","","1","1010802057",""
"21","vo_dsb_2009","","1010802","","vo_dsb_1010802","","0","0","1010802058",""
"11","可愛的浴池……\n真好奇～♪\n會是什麼樣的呢～？","0.2","1010802","0","1","0","1","10","1010802059","1"
"91","","","1010802","","0","","","","1010802060",""
"3","dsb_idle_sad_talkjoy2","","1010802","","1","0.5","","1","1010802061",""
"3","dsb_talk_worry_normal2","","1010802","","2","0.5","","1","1010802062",""
"21","vo_dsb_2010","","1010802","","vo_dsb_1010802","","0","0","1010802063",""
"11","我想想──\n少不了要有更多花在水上漂漂吧！\n當然要有各式各樣的！\n如果變成彩色的看起來就超有feel♪","0.2","1010802","0","2","0","1","10","1010802064","1"
"91","","","1010802","","0","","","","1010802065",""
"3","dsb_idle_normal","","1010802","","2","0.5","","1","1010802066",""
"3","dsb_talk_memory","","1010802","","1","0.5","","1","1010802067",""
"21","vo_dsb_2011","","1010802","","vo_dsb_1010802","","0","0","1010802068",""
"11","就像一片溫泉裡的花海呢～♪\n在五顏六色的花圍繞下\n泡溫泉……嗯呵呵♪\n光用想像的心情就很雀躍～","0.2","1010802","0","1","0","1","10","1010802069","1"
"91","","","1010802","","0","","","","1010802070",""
"3","dsb_talk_normal","","1010802","","1","0.5","","1","1010802071",""
"21","vo_dsb_2012","","1010802","","vo_dsb_1010802","","0","0","1010802072",""
"11","對了，既然如此……\n花香的搭配也要講究一下。\n還有花語的意思。","0.2","1010802","0","1","0","1","10","1010802073","1"
"91","","","1010802","","0","","","","1010802074",""
"3","dsb_idle_normal","","1010802","","1","0.5","","1","1010802075",""
"3","dsb_surprise","","1010802","0.5","2","0.5","dsb_talk_surprise1","0","1010802076","1"
"21","vo_dsb_2013","","1010802","","vo_dsb_1010802","","0","0","1010802077",""
"11","咦？\n花語？","0.2","1010802","0","2","0","1","10","1010802078","1"
"91","","","1010802","","0","","","","1010802079",""
"3","dsb_idle_surprise1","","1010802","","2","0.5","","1","1010802080",""
"3","dsb_talk_worry_normal2","","1010802","","1","0.5","","1","1010802081",""
"21","vo_dsb_2014","","1010802","","vo_dsb_1010802","","0","0","1010802082",""
"11","每種花都有\n它各自的含義。\n送花給別人時\n也能當作訊息傳遞給對方喔～","0.2","1010802","0","1","0","1","10","1010802083","1"
"91","","","1010802","","0","","","","1010802084",""
"3","dsb_talk_wish_dere","","1010802","","1","0.3","","1","1010802085",""
"21","vo_dsb_2015","","1010802","","vo_dsb_1010802","","0","0","1010802086",""
"11","順便一提，今天的花的意義是……\n「為了我愛的你」，\n呵呵呵，很棒吧♪","0.2","1010802","0","1","0","1","10","1010802087","1"
"91","","","1010802","","0","","","","1010802088",""
"3","dsb_idle_wish_normal","","1010802","","1","0.5","","1","1010802089",""
"3","dsb_talk_anger_shy2","","1010802","","2","0.5","","1","1010802090",""
"21","vo_dsb_2016","","1010802","","vo_dsb_1010802","","0","0","1010802091",""
"11","啊，愛……！\n等等，認真嗎……？\n這麼直接……\n好像有點…………太犯規了。","0.2","1010802","0","2","0","1","10","1010802092","1"
"91","","","1010802","","0","","","","1010802093",""
"3","dsb_talk_sad2_dead","","1010802","","2","0.5","","1","1010802094",""
"21","vo_dsb_2017","","1010802","","vo_dsb_1010802","","0","0","1010802095",""
"11","呃……\n爆紅計畫，當我沒說。\n……啊──好熱。","0.2","1010802","0","2","0","1","10","1010802096","1"
"91","","","1010802","","0","","","","1010802097",""
"3","dsb_hot_dead_loop","","1010802","","2","0.2","","1","1010802098",""
"3","dsb_smile2_dere2","","1010802","0.5","1","0.5","dsb_talk_normal_dere2","0","1010802099","1"
"21","vo_dsb_2018","","1010802","","vo_dsb_1010802","","0","0","1010802100",""
"11","嗯呵呵♪\n小心別泡過頭囉。","0.2","1010802","0","1","0","1","10","1010802101","1"
"91","","","1010802","","0","","","","1010802102",""
"93","0","","1010802","","0.3","","","","1010802103",""
"5","1","dsb_idle_normal","1010803","0","11","2","-165","70","1010803001","-345"
"5","2","dsb_idle_normal","1010803","1","2","2","165","70","1010803002","-345"
"31","1","","1010803","","1","1","0","0","1010803003","1"
"31","3","","1010803","","3","1","0","0","1010803004","1"
"31","4","","1010803","","4","1","0","0","1010803005","1"
"31","10","","1010803","","12","1","0","0","1010803006","1"
"31","20","","1010803","","22","1","0","0","1010803007","1"
"31","30","","1010803","","32","1","-168","155","1010803008","1"
"31","31","","1010803","","32","1","-168","-155","1010803009","1"
"13","170","","1010803","","1","","","","1010803010",""
"13","170","","1010803","","2","","","","1010803011",""
"91","","","1010803","","0","","","","1010803012",""
"23","se_10044200_cmn_amb","","1010803","","se_10044200","","","1","1010803013",""
"23","se_10044200_cmn_steam","","1010803","","se_10044200","","","0","1010803014",""
"93","0","","1010803","","6.2","","","","1010803015",""
"23","se_10044200_hotspring_02","","1010803","","se_10044200","","","1","1010803016",""
"93","0","","1010803","","1.3","","","","1010803017",""
"3","dsb_smile3_kyouka","","1010803","0.5","2","0.5","dsb_talk_anger_dere2","0","1010803018","1"
"21","vo_dsb_3001","","1010803","","vo_dsb_1010803","","0","0","1010803019",""
"11","哇哇……\n好厲害，水在冒泡泡……！\n好像真的在泡\n哈蜜瓜汽水……♪","0.2","1010803","0","2","0","1","10","1010803020","1"
"91","","","1010803","","0","","","","1010803021",""
"3","dsb_idle_joy1_Ex2","","1010803","","2","0.5","","1","1010803022",""
"3","dsb_talk_normal_dere","","1010803","","1","0.5","","1","1010803023",""
"21","vo_dsb_3002","","1010803","","vo_dsb_1010803","","0","0","1010803024",""
"11","呵呵呵，很棒吧？\n我想要做出小孩們會喜歡的溫泉，\n所以特地打造的。","0.2","1010803","0","1","0","1","10","1010803025","1"
"91","","","1010803","","0","","","","1010803026",""
"3","dsb_idle_normal","","1010803","","1","0.5","","1","1010803027",""
"3","dsb_talk_surprise1","","1010803","","2","0.5","","1","1010803028",""
"21","vo_dsb_3003","","1010803","","vo_dsb_1010803","","0","0","1010803029",""
"11","這樣啊……","0.2","1010803","0","2","0","1","10","1010803030","1"
"91","","","1010803","","0","","","","1010803031",""
"3","dsb_idle_surprise1_look","","1010803","","2","0.5","","1","1010803032",""
"21","vo_dsb_3004","","1010803","","vo_dsb_1010803","","0","0","1010803033",""
"11","（本來以為她是個可疑的人，\n其實人很好嗎……）","0.2","1010803","0","2","0","1","10","1010803034","1"
"91","","","1010803","","0","","","","1010803035",""
"3","dsb_talk_thinking","","1010803","","2","0.3","","1","1010803036",""
"21","vo_dsb_3005","","1010803","","vo_dsb_1010803","","0","0","1010803037",""
"11","小孩的確會很高興。\n……我、我也不禁\n重返童心了。","0.2","1010803","0","2","0","1","10","1010803038","1"
"91","","","1010803","","0","","","","1010803039",""
"3","dsb_idle_arm_crossed","","1010803","","2","0.5","","1","1010803040",""
"3","dsb_talk_thinking_normal2","","1010803","","1","0.5","","1","1010803041",""
"21","vo_dsb_3006","","1010803","","vo_dsb_1010803","","0","0","1010803042",""
"11","童心……？\n啊，原來如此。\n那就好♪","0.2","1010803","0","1","0","1","10","1010803043","1"
"91","","","1010803","","0","","","","1010803044",""
"3","dsb_idle_arm_crossed","","1010803","","1","0.5","","1","1010803045",""
"3","dsb_talk_sad2_Ex5","","1010803","","2","0.5","","1","1010803046",""
"22","0","","1010803","","0","","","","1010803047",""
"21","vo_dsb_3007","","1010803","","vo_dsb_1010803","","0.9","0","1010803048",""
"11","……有什麼奇怪的嗎？","0.2","1010803","0","2","0","1","10","1010803049","1"
"91","","","1010803","","0","","","","1010803050",""
"3","dsb_idle_sad_blink","","1010803","","2","0.5","","1","1010803051",""
"3","dsb_talk_sad_dere","","1010803","","1","0.5","","1","1010803052",""
"21","vo_dsb_3008","","1010803","","vo_dsb_1010803","","0","0","1010803053",""
"11","不，沒什麼♪","0.2","1010803","0","1","0","1","10","1010803054","1"
"91","","","1010803","","0","","","","1010803055",""
"3","dsb_idle_normal","","1010803","","2","0.5","","1","1010803056",""
"3","dsb_talk_normal_joy","","1010803","","1","0.5","","1","1010803057",""
"21","vo_dsb_3009","","1010803","","vo_dsb_1010803","","0","0","1010803058",""
"11","對了……\n要是重返童心的話，\n應該會想在大浴池裡游泳吧？\n鏡華覺得如何？","0.2","1010803","0","1","0","1","10","1010803059","1"
"91","","","1010803","","0","","","","1010803060",""
"3","dsb_idle_normal","","1010803","","1","0.5","","1","1010803061",""
"3","dsb_talk_tsun_shy","","1010803","","2","0.5","","1","1010803062",""
"21","vo_dsb_3010","","1010803","","vo_dsb_1010803","","0","0","1010803063",""
"11","游泳……！\n我才不做那種事！\n太不像話了……","0.2","1010803","0","2","0","1","10","1010803064","1"
"91","","","1010803","","0","","","","1010803065",""
"3","dsb_idle_anger","","1010803","","2","0.5","","1","1010803066",""
"3","dsb_talk_normal","","1010803","","1","0.5","","1","1010803067",""
"21","vo_dsb_3011","","1010803","","vo_dsb_1010803","","0","0","1010803068",""
"11","怎麼會不像話……\n現在只有我們兩個人呀。\n我覺得在哈蜜瓜汽水裡游泳\n一定會很好玩的……","0.2","1010803","0","1","0","1","10","1010803069","1"
"91","","","1010803","","0","","","","1010803070",""
"3","dsb_idle_normal","","1010803","","1","0.5","","1","1010803071",""
"3","dsb_talk_surprise1_shy","","1010803","","2","0.5","","1","1010803072",""
"21","vo_dsb_3012","","1010803","","vo_dsb_1010803","","0","0","1010803073",""
"11","這、這個……\n雖然感覺很好玩……\n而且我現在也稍微會游了……\n可是就禮儀來說……唔……","0.2","1010803","0","2","0","1","10","1010803074","1"
"91","","","1010803","","0","","","","1010803075",""
"3","dsb_idle_surprise1_normal","","1010803","","2","0.5","","1","1010803076",""
"3","dsb_talk_thinking_joy","","1010803","","1","0.5","","1","1010803077",""
"22","0","","1010803","","0","","","","1010803078",""
"21","vo_dsb_3013","","1010803","","vo_dsb_1010803","","0.9","0","1010803079",""
"11","……呵呵呵。\n那我來游好了～？","0.2","1010803","0","1","0","1","10","1010803080","1"
"91","","","1010803","","0","","","","1010803081",""
"3","dsb_idle_joy1","","1010803","","1","0.5","","1","1010803082",""
"3","dsb_surprise2","","1010803","0.5","2","0.5","dsb_talk_surprise1_2","0","1010803083","1"
"21","vo_dsb_3014","","1010803","","vo_dsb_1010803","","0","0","1010803084",""
"11","咦咦！？\n說這種話太狡猾了。\n那……我、我也要游！","0.2","1010803","0","2","0","1","10","1010803085","1"
"93","1","","1010803","","3.5","","","","1010803086",""
"3","dsb_talk_anger_shy2","","1010803","","2","0.5","","1","1010803087",""
"91","","","1010803","","1010803085","","","","1010803088",""
"22","0","","1010803","","0","","","","1010803089",""
"3","dsb_surprise_kyouka","","1010803","","2","0.2","","1","1010803090",""
"3","dsb_surprise_mitsuki","","1010803","","1","0.2","","1","1010803091",""
"93","0","","1010803","","0.7","","","","1010803092",""
"3","dsb_smile2_kyouka","","1010803","0.2","2","0.3","dsb_idle_normal_Ex1","0","1010803093","1"
"3","dsb_smile2_mitsuki2","","1010803","0.2","1","0.3","dsb_idle_normal","0","1010803094","1"
"93","0","","1010803","","0.3","","","","1010803095",""
"23","se_adv_emote_common_01","","1010803","","se_adv_emote_common_01","","","0","1010803096",""
"12","10","0","1010803","0","2","0","0","1.4","1010803097","0"
"12","10","0","1010803","0","1","0","0","1.4","1010803098","0"
"93","0","","1010803","","2","","","","1010803099",""
"1","124531","dsb_idle_normal","1010804","0","1","2","-475","70","1010804001","-219"
"5","2","dsb_idle_relax_Ex2","1010804","1","7","2","0","70","1010804002","-360"
"5","99","dsb_empty","1010804","0","10","2","-345","71","1010804003","-219"
"31","1","","1010804","","1","1","0","0","1010804004","1"
"31","3","","1010804","","3","1","0","0","1010804005","1"
"31","4","","1010804","","4","1","0","0","1010804006","1"
"31","10","","1010804","","17","1","0","0","1010804007","1"
"31","20","","1010804","","27","1","0","0","1010804008","1"
"31","30","","1010804","","37","1","-183","-10","1010804009","1"
"31","43","","1010804","","43","1","0","0","1010804010","1"
"31","44","","1010804","","44","0","0","130","1010804011","1"
"31","45","","1010804","","45","0","-141","133","1010804012","1"
"31","46","","1010804","","46","0","0","130","1010804013","1"
"31","47","","1010804","","47","0","-212","142","1010804014","1"
"31","48","","1010804","","48","0","-212","142","1010804015","1"
"13","170","","1010804","","124531","","","","1010804016",""
"13","170","","1010804","","2","","","","1010804017",""
"91","","","1010804","","0","","","","1010804018",""
"23","se_10044200_cmn_amb","","1010804","","se_10044200","","","1","1010804019",""
"23","se_10044200_cmn_steam","","1010804","","se_10044200","","","0","1010804020",""
"93","0","","1010804","","6","","","","1010804021",""
"23","se_10044200_hotspring_07","","1010804","","se_10044200","","","1","1010804022",""
"93","0","","1010804","","1.5","","","","1010804023",""
"3","dsb_idle_relax_blink","","1010804","","2","0.5","","1","1010804024",""
"21","vo_dsb_4001","","1010804","","vo_dsb_1010804","","0","0","1010804025",""
"11","…………","0.2","1010804","0","2","0","1","10","1010804026","1"
"91","","","1010804","","0","","","","1010804027",""
"3","dsb_idle_relax_Ex2","","1010804","","2","0.5","","1","1010804028",""
"33","130","","1010804","","3","","2","0","1010804029","12"
"33","130","","1010804","","4","","2","0","1010804030","12"
"33","130","","1010804","","20","","2","0","1010804031","12"
"33","120","","1010804","","30","","2","-183","1010804032","12"
"33","130","","1010804","","43","","2","0","1010804033","12"
