9e1c56f4b45eb6c8453fcb28b2688dda9d48964aea4ca4be6c59e7fb210cadde,b0a8fd01c8567d8611baefbf1f60e95d39628985d39d747aa5decbbeec27adab,8be87af8f32a343fa18b0de830d9edc67ce088c81a3d6bb40e9c42f9521b1dc8,0a8d3c2992dbef5c16a4e1044f7660614af84c5bf58b6dd4a111a43c4fbf011e,b0915af863b6ffcb5fd6b905cff691318dbd579f5d3fa4ababd164f1b0f26252,1f53379008cf2f3c7feeac37f138c3c3226cd647689504df86352375cd65b37d,f8b4b9aee5a690e5c04458afd936a137c23d08d4fcc64cc9927231e46a8cbc1d,d7edd7e682476342d837268be893da42cef9a96bb6afa02fcfe5cb5eea4d5f49,ca0eab53fc3eb2a68bab413ff91f2a364eac728f6efe810bb4275065a39ff252,543a1b93bdad341f7ebd04472f967e5c8e943d72a55d864dd89a56d6c42b2dfb,7e457420f11e446147dbe53402090a94c031d207e6d964ff925c9ae858182069
"","vo_minigame_1010_top_talk_1_009","","","0","0","9003","21","","9","vo_minigame_1010"
"0","路線中有障礙物\n與魔物……？\n沙灘搶旗\n是這樣的比賽嗎？","1","0","5","1","9004","11","0","9","122511"
"","","","","","","9005","91","","9","0"
"0.2","sjr_talk_idle","","","1","","9006","3","","9","122511"
"1.65","122511","sjr_talk_idle","-194","100","40","10001","1","1","10","1"
"0.2","sjr_talk_thinking_blink","","","1","","10002","3","","10","122511"
"","vo_minigame_1010_top_talk_1_010","","","0","0","10003","21","","10","vo_minigame_1010"
"0","優衣不要緊吧？\n雖然日和好像\n很高興……\n不，得相信她們呢。","1","0","4","1","10004","11","0","10","122511"
"","","","","","","10005","91","","10","0"
"0.2","sjr_talk_idle","","","1","","10006","3","","10","122511"
"1.65","122411","sjr_talk_idle","-194","100","40","11001","1","1","11","1"
"0.2","sjr_talk_eieio","","1","0","sjr_talk_eieio_loop","11002","3","0","11","122411"
"","vo_minigame_1010_top_talk_1_011","","","0","0","11003","21","","11","vo_minigame_1010"
"0","暖身運動也很完美！\n我會第一個\n搶到的──！","1","0","5","1","11004","11","0","11","122411"
"","","","","","","11005","91","","11","0"
"0.2","sjr_talk_idle","","","1","","11006","3","","11","122411"
"1.65","122411","sjr_talk_idle","-194","100","40","12001","1","1","12","1"
"0.2","sjr_talk_arm_opened_wink","","","1","","12002","3","","12","122411"
"","vo_minigame_1010_top_talk_1_012","","","0","0","12003","21","","12","vo_minigame_1010"
"0","欸嘿嘿──！\n穿泳裝方便活動，\n不錯呢──！\n進入狀況囉──！","1","0","6","1","12004","11","0","12","122411"
"","","","","","","12005","91","","12","0"
"0.2","sjr_talk_idle","","","1","","12006","3","","12","122411"
"1.65","122411","sjr_talk_idle","-194","100","40","13001","1","1","13","1"
"0.2","sjr_talk_doya","","1","0","sjr_talk_doya_loop","13002","3","0","13","122411"
"","vo_minigame_1010_top_talk_1_013","","","0","0","13003","21","","13","vo_minigame_1010"
"0","啊，發現\n有困難的人！\n有困難的時候就要\n互相幫助幫助♪","1","0","8","1","13004","11","0","13","122411"
"","","","","","","13005","91","","13","0"
"0.2","sjr_talk_idle","","","1","","13006","3","","13","122411"
"1.65","122411","sjr_talk_idle","-194","100","40","14001","1","1","14","1"
"0.2","sjr_talk_watch_arm_opened","","1","0","sjr_talk_swing_joy","14002","3","0","14","122411"
"","vo_minigame_1010_top_talk_1_014","","","0","0","14003","21","","14","vo_minigame_1010"
"0","要跑哪條路線呢──♪\n好像都很有趣～！\n我躍躍欲試了──！","1","0","6","1","14004","11","0","14","122411"
"","","","","","","14005","91","","14","0"
"0.2","sjr_talk_idle","","","1","","14006","3","","14","122411"
"1.65","122411","sjr_talk_idle","-194","100","40","15001","1","1","15","1"
"0.2","sjr_talk_wish_doya","","","1","","15002","3","","15","122411"
"","vo_minigame_1010_top_talk_1_015","","","0","0","15003","21","","15","vo_minigame_1010"
"0","好想和優衣與怜\n她們兩人一起\n競爭呢！","1","0","5","1","15004","11","0","15","122411"
"","","","","","","15005","91","","15","0"
"0.2","sjr_talk_idle","","","1","","15006","3","","15","122411"
"1.65","122611","sjr_talk_idle","-194","100","72","16001","1","1","16","1"
"1.65","122511","sjr_talk_idle","-194","100","-72","16002","1","0","16","1"
"0.2","sjr_talk_wish_doya","","","1","","16003","3","","16","122611"
"","vo_minigame_1010_top_talk_2_001","","","0","0","16004","21","","16","vo_minigame_1010"
"0","怜，\n彼此都要盡全力跑喔！\n我會以真本事挑戰的。","1","0","4","1","16005","11","0","16","122611"
"","","","","","","16006","91","","16","0"
"0.2","sjr_talk_idle","","","1","","16007","3","","16","122611"
"0.2","sjr_talk_arm_crossed_normal_joy","","1","0","sjr_talk_arm_crossed_joy_loop","16008","3","0","16","122511"
"","vo_minigame_1010_top_talk_2_002","","","0","0","16009","21","","16","vo_minigame_1010"
"0","優衣……\n有說到做到呢。\n呵呵，既然如此，\n我也要回應那股氣勢！","0.5","0","5","1","16010","11","0","16","122511"
"","","","","","","16011","91","","16","0"
"0.2","sjr_talk_idle","","","1","","16012","3","","16","122511"
"1.65","122611","sjr_talk_idle","-194","100","72","17001","1","1","17","1"
"1.65","122511","sjr_talk_idle","-194","100","-72","17002","1","0","17","1"
"0.2","sjr_talk_worry_shy","","","1","","17003","3","","17","122511"
"","vo_minigame_1010_top_talk_2_003","","","0","0","17004","21","","17","vo_minigame_1010"
"0","我說優衣，\n要穿著泳裝跑步\n是不是有點……","0.5","0","7","1","17005","11","0","17","122511"
"","","","","","","17006","91","","17","0"
"0.2","sjr_talk_idle","","","1","","17007","3","","17","122511"
"0.2","sjr_talk_wish_shy","","","1","","17008","3","","17","122611"
"","vo_minigame_1010_top_talk_2_004","","","0","0","17009","21","","17","vo_minigame_1010"
"0","嗯，很害羞吧。\n一想到會被騎士先生\n看到就……\n……嗚嗚～～～！","0.5","0","5","1","17010","11","0","17","122611"
"","","","","","","17011","91","","17","0"
"0.2","sjr_talk_idle","","","1","","17012","3","","17","122611"
"0.2","sjr_talk_thinking_blink_light","","1","0","sjr_talk_thinking_light","17013","3","0","17","122511"
"","vo_minigame_1010_top_talk_2_005","","","0","0","17014","21","","17","vo_minigame_1010"
"0","不，等等……\n優衣害羞的時候\n逃跑速度就會變快……\n如果利用這點……！","0.5","0","6","1","17015","11","0","17","122511"
"","","","","","","17016","91","","17","0"
"0.2","sjr_talk_idle","","","1","","17017","3","","17","122511"
"1.65","122611","sjr_talk_idle","-194","100","72","18001","1","1","18","1"
"1.65","122511","sjr_talk_idle","-194","100","-72","18002","1","0","18","1"
"0.2","sjr_talk_wish_surprise","","","1","","18003","3","","18","122611"
"","vo_minigame_1010_top_talk_2_006","","","0","0","18004","21","","18","vo_minigame_1010"
"0","總覺得所有路線\n都很厲害呢……\n是怎麼做出來\n的呢……","0.5","0","6","1","18005","11","0","18","122611"
"","","","","","","18006","91","","18","0"
"0.2","sjr_talk_idle","","","1","","18007","3","","18","122611"
"0.2","sjr_talk_arm_crossed_normal2","","1","0","sjr_talk_arm_crossed_normal2_loop","18008","3","0","18","122511"
"","vo_minigame_1010_top_talk_2_007","","","0","0","18009","21","","18","vo_minigame_1010"
"0","不能在意喔！\n這種時候坦率地\n享受是最好的！","0.5","0","6","1","18010","11","0","18","122511"
"","","","","","","18011","91","","18","0"
"0.2","sjr_talk_idle","","","1","","18012","3","","18","122511"
"1.65","122611","sjr_talk_idle","-194","100","72","19001","1","1","19","1"
"1.65","122411","sjr_talk_idle","-194","100","-72","19002","1","0","19","1"
"0.2","sjr_talk_wave_hand","","1","0","sjr_talk_idle_joy","19003","3","0","19","122611"
"","vo_minigame_1010_top_talk_2_008","","","0","0","19004","21","","19","vo_minigame_1010"
"0","日和\n覺得享受嗎？","0.5","0","8","1","19005","11","0","19","122611"
"","","","","","","19006","91","","19","0"
"0.2","sjr_talk_idle","","","1","","19007","3","","19","122611"
"0.2","sjr_talk_fun","","1","0","sjr_talk_swing_joy2","19008","3","0","19","122411"
"","vo_minigame_1010_top_talk_2_009","","","0","0","19009","21","","19","vo_minigame_1010"
"0","那當然！\n這麼有趣的事\n不好好享受\n就太浪費啦──！","0.5","0","7","1","19010","11","0","19","122411"
"","","","","","","19011","91","","19","0"
"0.2","sjr_talk_idle","","","1","","19012","3","","19","122411"
"0.2","sjr_talk_laugh","","","1","","19013","3","","19","122611"
"","vo_minigame_1010_top_talk_2_010","","","0","0","19014","21","","19","vo_minigame_1010"
"0","妳說得對。\n呵呵，我也\n要向日和\n學習才行……！","0.5","0","7","1","19015","11","0","19","122611"
"","","","","","","19016","91","","19","0"
"0.2","sjr_talk_idle","","","1","","19017","3","","19","122611"
"1.65","122611","sjr_talk_idle","-194","100","72","20001","1","1","20","1"
"1.65","122411","sjr_talk_idle","-194","100","-72","20002","1","0","20","1"
"0.2","sjr_talk_guts2","","1","0","sjr_talk_guts2_loop","20003","3","0","20","122411"
"","vo_minigame_1010_top_talk_2_011","","","0","0","20004","21","","20","vo_minigame_1010"
"0","優衣！\n妳剛剛好厲害喔！\n我根本追不上妳──","0.5","0","6","1","20005","11","0","20","122411"
"","","","","","","20006","91","","20","0"
"0.2","sjr_talk_idle","","","1","","20007","3","","20","122411"
"0.2","sjr_talk_mouth_hidden_dere_guru","","1","0","sjr_talk_mouth_hidden_guru","20008","3","0","20","122611"
"","vo_minigame_1010_top_talk_2_012","","","0","0","20009","21","","20","vo_minigame_1010"
"0","埋首於奔跑之中，\n總覺得\n心情變好了……\n呵呵，呵呵呵……","0.5","0","5","1","20010","11","0","20","122611"
"","","","","","","20011","91","","20","0"
"0.2","sjr_talk_shock","","1","0","sjr_talk_shock_loop","20012","3","0","20","122411"
"","vo_minigame_1010_top_talk_2_013","","","0","0","20013","21","","20","vo_minigame_1010"
"0","哇──！？\n優衣！？\n妳眼睛在轉喔──！？","0.5","0","15","1","20014","11","0","20","122411"
"","","","","","","20015","91","","20","0"
"0.2","sjr_talk_idle","","","1","","20016","3","","20","122611"
"0.2","sjr_talk_idle","","","1","","20017","3","","20","122411"
"1.65","122611","sjr_talk_idle","-194","100","72","21001","1","1","21","1"
"1.65","122411","sjr_talk_idle","-194","100","-72","21002","1","0","21","1"
"0.2","sjr_talk_worry_sad","","","1","","21003","3","","21","122611"
"","vo_minigame_1010_top_talk_2_014","","","0","0","21004","21","","21","vo_minigame_1010"
"0","日和，妳一直在跑，\n不要緊吧？\n不好好補充水分\n不行喔？","0.5","0","6","1","21005","11","0","21","122611"
"","","","","","","21006","91","","21","0"
"0.2","sjr_talk_idle","","","1","","21007","3","","21","122611"
"0.2","sjr_talk_laugh_guts","","0","0","sjr_talk_guts2_joy_loop","21008","3","0","21","122411"
"","vo_minigame_1010_top_talk_2_015","","","0","0","21009","21","","21","vo_minigame_1010"
"0","妳真愛操心呢，\n優衣──\n啊，不然我們一起\n去吃刨冰吧──♪","0.5","0","5","1","21010","11","0","21","122411"
"","","","","","","21011","91","","21","0"
"0.2","sjr_talk_idle","","","1","","21012","3","","21","122411"
"1.65","122511","sjr_talk_idle","-194","100","72","22001","1","1","22","1"
"1.65","122411","sjr_talk_idle","-194","100","-72","22002","1","0","22","1"
"0.2","sjr_talk_arm_crossed_normal","","1","0","sjr_talk_arm_crossed_normal_loop","22003","3","0","22","122511"
"","vo_minigame_1010_top_talk_2_016","","","0","0","22004","21","","22","vo_minigame_1010"
"0","就算對手是日和，\n我也沒打算輸喔。","0.5","0","5","1","22005","11","0","22","122511"
"","","","","","","22006","91","","22","0"
"0.2","sjr_talk_idle","","","1","","22007","3","","22","122511"
"0.2","sjr_talk_guts","","1","0","sjr_talk_guts_loop","22008","3","0","22","122411"
"","vo_minigame_1010_top_talk_2_017","","","0","0","22009","21","","22","vo_minigame_1010"
"0","對手是怜的話，\n我也會\n火力全開喔！","0.5","0","6","1","22010","11","0","22","122411"
"","","","","","","22011","91","","22","0"
"0.2","sjr_talk_idle","","","1","","22012","3","","22","122411"
"1.65","122511","sjr_talk_idle","-194","100","72","23001","1","1","23","1"
"1.65","122411","sjr_talk_idle","-194","100","-72","23002","1","0","23","1"
"0.2","sjr_talk_fun_eieio","","1","0","sjr_talk_eieio_loop","23003","3","0","23","122411"
"","vo_minigame_1010_top_talk_2_018","","","0","0","23004","21","","23","vo_minigame_1010"
"0","夏天就是要吃刨冰！\n糖漿……是全都加的\n禁忌口味喔！","0.5","0","5","1","23005","11","0","23","122411"
"","","","","","","23006","91","","23","0"
"0.2","sjr_talk_idle","","","1","","23007","3","","23","122411"
"0.2","sjr_talk_mouth_hidden_sad","","","1","","23008","3","","23","122511"
"","vo_minigame_1010_top_talk_2_019","","","0","0","23009","21","","23","vo_minigame_1010"
"0","老是吃那麼\n冰的東西……\n到時要是跑不動，\n我可不管喔？","0.5","0","6","1","23010","11","0","23","122511"
"","","","","","","23011","91","","23","0"
"0.2","sjr_talk_idle","","","1","","23012","3","","23","122511"
"0.2","sjr_talk_arm_opened_joy_guru","","1","0","sjr_talk_arm_opened_guru","23013","3","0","23","122411"
"","vo_minigame_1010_top_talk_2_020","","","0","0","23014","21","","23","vo_minigame_1010"
"0","沒事沒事♪\n……咦？\n好像一陣頭痛，\n好痛痛痛痛──！？","0.5","0","4","1","23015","11","0","23","122411"
"","","","","","","23016","91","","23","0"
"0.2","sjr_talk_idle","","","1","","23017","3","","23","122411"
"1.65","122511","sjr_talk_idle","-194","100","72","24001","1","1","24","1"
"1.65","122411","sjr_talk_idle","-194","100","-72","24002","1","0","24","1"
"0.2","sjr_talk_mouth_hidden_sad","","","1","","24003","3","","24","122411"
"","vo_minigame_1010_top_talk_2_021","","","0","0","24004","21","","24","vo_minigame_1010"
"0","優衣不要緊吧～？\n希望她別跌倒\n就好了……","1","0","5","1","24005","11","0","24","122411"
"","","","","","","24006","91","","24","0"
"0.2","sjr_talk_idle","","","1","","24007","3","","24","122411"
"0.2","sjr_talk_arm_crossed_normal_joy","","0","0","sjr_talk_arm_crossed_joy_loop","24008","3","0","24","122511"
"","vo_minigame_1010_top_talk_2_022","","","0","0","24009","21","","24","vo_minigame_1010"
"0","不必擔心。\n優衣已經變強了。\n搞不好反倒是\n我們會輸呢。","0.5","0","4","1","24010","11","0","24","122511"
"","","","","","","24011","91","","24","0"
"0.2","sjr_talk_idle","","","1","","24012","3","","24","122511"
"0.2","sjr_talk_laugh","","","1","","24013","3","","24","122411"
"","vo_minigame_1010_top_talk_2_023","","","0","0","24014","21","","24","vo_minigame_1010"
"0","欸嘿嘿，說得也是！\n好期待能一起\n跑步喔──♪","0.5","0","6","1","24015","11","0","24","122411"
"","","","","","","24016","91","","24","0"
"0.2","sjr_talk_idle","","","1","","24017","3","","24","122411"
