25231a06e3e5d0b22b110664476feb7a769b3031e82e337ba78aac0f7e225140,713f4c509d721b632c792dde198a249133028a94cd5ed30ff42bf32d4cbba60b,2c9043af504b15e9a102ba17bf3491468a2098b832b7975df7e42f96389dac94,90948a109347fe44a0353678e39e06c27250734b11747ac7c88391ae53845060,8a4f79db6ab270b981f333ad91ca8c43212e9defdbd3356cbb928366c9b5da02,ef67e992c2b3e84c282e64de875bb29a3986f4b2a0a5574b71182ec851c8ff62
"0","1002","15","76","99001040","11001040"
"0","1003","15","77","99001041","11001041"
"1","1001","15","78","99001042","11001042"
"30","0","8","79","99001042","91002"
"1","1001","15","80","99001043","11001043"
"30","0","8","81","99001043","91002"
"1","1002","15","82","99001044","11001044"
"30","0","8","83","99001044","91002"
"1","1003","15","84","99001045","11001045"
"30","0","8","85","99001045","91002"
"1","1001","15","86","99001046","11001046"
"1","1001","15","87","99001046","11001050"
"30","0","8","88","99001046","91002"
"1","1001","15","89","99001047","11001047"
"30","0","8","90","99001047","91002"
"1","1002","15","91","99001048","11001048"
"30","0","8","92","99001048","91002"
"1","1003","15","93","99001049","11001049"
"30","0","8","94","99001049","91002"
"1","1001","15","95","99001051","11001051"
"30","0","8","96","99001051","91002"
"1","1001","15","97","99001052","11001052"
"30","0","8","98","99001052","91002"
"1","1002","15","99","99001053","11001053"
"30","0","8","100","99001053","91002"
"1","1003","15","101","99001054","11001054"
"30","0","8","102","99001054","91002"
"1","1001","15","103","99001055","11001055"
"30","0","8","104","99001055","91002"
"1","1001","15","105","99001056","11001056"
"30","0","8","106","99001056","91002"
"1","1002","15","107","99001057","11001057"
"30","0","8","108","99001057","91002"
"1","1003","15","109","99001058","11001058"
"30","0","8","110","99001058","91002"
"1","1001","15","111","99001059","11001059"
"30","0","8","112","99001059","91002"
"1","1001","15","113","99001060","11001060"
"30","0","8","114","99001060","91002"
"1","1002","15","115","99001061","11001061"
"30","0","8","116","99001061","91002"
"1","1003","15","117","99001062","11001062"
"30","0","8","118","99001062","91002"
"1","1001","15","119","99001063","11001063"
"30","0","8","120","99001063","91002"
"1","1001","15","121","99001064","11001064"
"30","0","8","122","99001064","91002"
"1","1002","15","123","99001065","11001065"
"30","0","8","124","99001065","91002"
"1","1003","15","125","99001066","11001066"
"30","0","8","126","99001066","91002"
"1","1001","15","127","99001067","11001067"
"30","0","8","128","99001067","91002"
"1","1001","15","129","99001068","11001068"
"30","0","8","130","99001068","91002"
"1","1002","15","131","99001069","11001069"
"30","0","8","132","99001069","91002"
"1","1003","15","133","99001070","11001070"
"30","0","8","134","99001070","91002"
"0","1001","15","135","99001071","11001071"
"0","1002","15","136","99001072","11001072"
"0","1003","15","137","99001073","11001073"
"1","1001","15","138","99001074","11001074"
"30","0","8","139","99001074","91002"
"1","1001","15","140","99001075","11001075"
"30","0","8","141","99001075","91002"
"1","1002","15","142","99001076","11001076"
"30","0","8","143","99001076","91002"
"1","1003","15","144","99001077","11001077"
"30","0","8","145","99001077","91002"
"1","1001","15","146","99001078","11001078"
"30","0","8","147","99001078","91002"
"1","1001","15","148","99001079","11001079"
"30","0","8","149","99001079","91002"
"1","1002","15","150","99001080","11001080"
"30","0","8","151","99001080","91002"
"1","1003","15","152","99001081","11001081"
"30","0","8","153","99001081","91002"
"1","1001","15","154","99001082","11001082"
"30","0","8","155","99001082","91002"
"1","1001","15","156","99001083","11001083"
"30","0","8","157","99001083","91002"
"1","1002","15","158","99001084","11001084"
"30","0","8","159","99001084","91002"
"1","1003","15","160","99001085","11001085"
"30","0","8","161","99001085","91002"
"0","1001","15","162","99001086","11001086"
"0","1002","15","163","99001087","11001087"
"0","1002","15","164","99001088","11001088"
"0","1002","15","165","99001089","11001089"
"0","1003","15","166","99001090","11001090"
"1","1001","15","167","99001091","11001091"
"30","0","8","168","99001091","91002"
"1","1001","15","169","99001092","11001092"
"30","0","8","170","99001092","91002"
"1","1002","15","171","99001093","11001093"
"30","0","8","172","99001093","91002"
"1","1003","15","173","99001094","11001094"
"30","0","8","174","99001094","91002"
"1","1001","15","175","99001095","11001095"
"30","0","8","176","99001095","91002"
"1","1001","15","177","99001096","11001096"
"30","0","8","178","99001096","91002"
"1","1002","15","179","99001097","11001097"
"30","0","8","180","99001097","91002"
"1","1003","15","181","99001098","11001098"
"30","0","8","182","99001098","91002"
"1","1001","15","183","99001099","11001099"
"30","0","8","184","99001099","91002"
"1","1001","15","185","99001100","11001100"
"30","0","8","186","99001100","91002"
"1","1002","15","187","99001101","11001101"
"30","0","8","188","99001101","91002"
"1","1003","15","189","99001102","11001102"
"30","0","8","190","99001102","91002"
"1","1001","15","191","99001103","11001103"
"30","0","8","192","99001103","91002"
"1","1001","15","193","99001104","11001104"
"30","0","8","194","99001104","91002"
"1","1002","15","195","99001105","11001105"
"30","0","8","196","99001105","91002"
"1","1003","15","197","99001106","11001106"
"30","0","8","198","99001106","91002"
"1","1001","15","199","99001107","11001107"
"30","0","8","200","99001107","91002"
"1","1001","15","201","99001108","11001108"
"30","0","8","202","99001108","91002"
"1","1002","15","203","99001109","11001109"
"30","0","8","204","99001109","91002"
"1","1003","15","205","99001110","11001110"
"30","0","8","206","99001110","91002"
"1","1001","15","207","99001111","11001111"
"30","0","8","208","99001111","91002"
"1","1001","15","209","99001112","11001112"
"30","0","8","210","99001112","91002"
"1","1002","15","211","99001113","11001113"
"30","0","8","212","99001113","91002"
"1","1003","15","213","99001114","11001114"
"30","0","8","214","99001114","91002"
"1","1001","15","215","99001115","11001115"
"30","0","8","216","99001115","91002"
"1","1001","15","217","99001116","11001116"
"30","0","8","218","99001116","91002"
"1","1002","15","219","99001117","11001117"
"30","0","8","220","99001117","91002"
"1","1003","15","221","99001118","11001118"
"30","0","8","222","99001118","91002"
"1","1001","15","223","99001119","11001119"
"30","0","8","224","99001119","91002"
"1","1001","15","225","99001120","11001120"
"30","0","8","226","99001120","91002"
"1","1002","15","227","99001121","11001121"
"30","0","8","228","99001121","91002"
"1","1003","15","229","99001122","11001122"
"30","0","8","230","99001122","91002"
"1","1001","15","231","99001123","11001123"
"30","0","8","232","99001123","91002"
"1","1001","15","233","99001124","11001124"
"30","0","8","234","99001124","91002"
"1","1002","15","235","99001125","11001125"
"30","0","8","236","99001125","91002"
"1","1003","15","237","99001126","11001126"
"30","0","8","238","99001126","91002"
"1","1001","15","239","99001127","11001127"
"30","0","8","240","99001127","91002"
"1","1001","15","241","99001128","11001128"
"30","0","8","242","99001128","91002"
"1","1002","15","243","99001129","11001129"
"30","0","8","244","99001129","91002"
"1","1003","15","245","99001130","11001130"
"30","0","8","246","99001130","91002"
"1","1003","15","247","99001131","11001131"
"1","1001","15","248","99001132","11001132"
"30","0","8","249","99001132","91002"
"1","1001","15","250","99001133","11001133"
"30","0","8","251","99001133","91002"
"1","1002","15","252","99001134","11001134"
"30","0","8","253","99001134","91002"
"1","1003","15","254","99001135","11001135"
"30","0","8","255","99001135","91002"
"1","1001","15","256","99001136","11001136"
"30","0","8","257","99001136","91002"
"1","1001","15","258","99001137","11001137"
"30","0","8","259","99001137","91002"
"1","1002","15","260","99001138","11001138"
"30","0","8","261","99001138","91002"
"1","1003","15","262","99001139","11001139"
"30","0","8","263","99001139","91002"
"1","1003","15","264","99001140","11001140"
"1","1001","15","265","99001142","11001142"
"30","0","8","266","99001142","91002"
"1","1001","15","267","99001143","11001143"
"30","0","8","268","99001143","91002"
"1","1002","15","269","99001144","11001144"
"30","0","8","270","99001144","91002"
"1","1003","15","271","99001145","11001145"
"30","0","8","272","99001145","91002"
"0","1001","15","273","99001146","11001146"
"0","1002","15","274","99001147","11001147"
"1","1001","15","275","99001148","11001148"
"30","0","8","276","99001148","91002"
"1","1001","15","277","99001149","11001149"
"30","0","8","278","99001149","91002"
"1","1002","15","279","99001150","11001150"
"30","0","8","280","99001150","91002"
"1","1003","15","281","99001151","11001151"
"30","0","8","282","99001151","91002"
"1","1001","15","283","99001152","11001152"
"30","0","8","284","99001152","91002"
"1","1001","15","285","99001153","11001153"
"30","0","8","286","99001153","91002"
"1","1002","15","287","99001154","11001154"
"30","0","8","288","99001154","91002"
"1","1003","15","289","99001155","11001155"
"30","0","8","290","99001155","91002"
"1","1001","15","291","99001156","11001156"
"30","0","8","292","99001156","91002"
"1","1001","15","293","99001157","11001157"
"30","0","8","294","99001157","91002"
"1","1002","15","295","99001158","11001158"
"30","0","8","296","99001158","91002"
"1","1003","15","297","99001159","11001159"
"30","0","8","298","99001159","91002"
"1","1001","15","299","99001160","11001160"
"30","0","8","300","99001160","91002"
"1","1001","15","301","99001161","11001161"
"30","0","8","302","99001161","91002"
"1","1002","15","303","99001162","11001162"
"30","0","8","304","99001162","91002"
"1","1003","15","305","99001163","11001163"
"30","0","8","306","99001163","91002"
"1","1002","15","307","99001164","11001164"
"1","1003","15","308","99001165","11001165"
"1","1001","15","309","99001166","11001166"
"30","0","8","310","99001166","91002"
"1","1001","15","311","99001167","11001167"
"30","0","8","312","99001167","91002"
"1","1002","15","313","99001168","11001168"
"30","0","8","314","99001168","91002"
"1","1003","15","315","99001169","11001169"
"30","0","8","316","99001169","91002"
"1","1001","15","317","99001170","11001170"
"30","0","8","318","99001170","91002"
"1","1001","15","319","99001171","11001171"
"30","0","8","320","99001171","91002"
"1","1002","15","321","99001172","11001172"
"30","0","8","322","99001172","91002"
"1","1003","15","323","99001173","11001173"
"30","0","8","324","99001173","91002"
"1","1001","15","325","99001174","11001174"
"30","0","8","326","99001174","91002"
"1","1001","15","327","99001175","11001175"
"30","0","8","328","99001175","91002"
"1","1002","15","329","99001176","11001176"
"30","0","8","330","99001176","91002"
"1","1003","15","331","99001177","11001177"
"30","0","8","332","99001177","91002"
"1","1001","15","333","99001178","11001178"
"30","0","8","334","99001178","91002"
"1","1001","15","335","99001179","11001179"
"30","0","8","336","99001179","91002"
"1","1002","15","337","99001180","11001180"
"30","0","8","338","99001180","91002"
"1","1003","15","339","99001181","11001181"
"30","0","8","340","99001181","91002"
"1","1001","15","341","99001182","11001182"
"30","0","8","342","99001182","91002"
"1","1001","15","343","99001183","11001183"
"30","0","8","344","99001183","91002"
"1","1002","15","345","99001184","11001184"
"30","0","8","346","99001184","91002"
"1","1003","15","347","99001185","11001185"
"30","0","8","348","99001185","91002"
"1","1001","15","349","99001186","11001186"
"30","0","8","350","99001186","91002"
"1","1001","15","351","99001187","11001187"
"30","0","8","352","99001187","91002"
"1","1002","15","353","99001188","11001188"
"30","0","8","354","99001188","91002"
"1","1003","15","355","99001189","11001189"
"30","0","8","356","99001189","91002"
"1","1001","15","357","99001190","11001190"
"30","0","8","358","99001190","91002"
"1","1001","15","359","99001191","11001191"
"30","0","8","360","99001191","91002"
"1","1002","15","361","99001192","11001192"
"30","0","8","362","99001192","91002"
"1","1003","15","363","99001193","11001193"
"30","0","8","364","99001193","91002"
"1","1001","15","365","99001194","11001194"
"30","0","8","366","99001194","91002"
"1","1001","15","367","99001195","11001195"
"30","0","8","368","99001195","91002"
"1","1002","15","369","99001196","11001196"
"30","0","8","370","99001196","91002"
"1","1003","15","371","99001197","11001197"
"30","0","8","372","99001197","91002"
"1","1002","15","373","99001198","11001198"
"1","1003","15","374","99001199","11001199"
"1","1001","15","375","99001200","11001200"
"30","0","8","376","99001200","91002"
"1","1001","15","377","99001201","11001201"
"30","0","8","378","99001201","91002"
"1","1002","15","379","99001202","11001202"
"30","0","8","380","99001202","91002"
"1","1003","15","381","99001203","11001203"
"30","0","8","382","99001203","91002"
"1","1003","15","383","99001204","11001204"
"1","1001","15","384","99001205","11001205"
"30","0","8","385","99001205","91002"
"1","1001","15","386","99001206","11001206"
"30","0","8","387","99001206","91002"
"1","1002","15","388","99001207","11001207"
"30","0","8","389","99001207","91002"
"1","1003","15","390","99001208","11001208"
"30","0","8","391","99001208","91002"
"1","1001","15","392","99001209","11001209"
"30","0","8","393","99001209","91002"
"1","1001","15","394","99001210","11001210"
"30","0","8","395","99001210","91002"
"1","1002","15","396","99001211","11001211"
"30","0","8","397","99001211","91002"
"1","1003","15","398","99001212","11001212"
"30","0","8","399","99001212","91002"
"1","1001","15","400","99001213","11001213"
"30","0","8","401","99001213","91002"
"1","1001","15","402","99001214","11001214"
"30","0","8","403","99001214","91002"
"1","1002","15","404","99001215","11001215"
"30","0","8","405","99001215","91002"
"1","1003","15","406","99001216","11001216"
"30","0","8","407","99001216","91002"
"1","1001","15","408","99001217","11001217"
"30","0","8","409","99001217","91002"
"1","1001","15","410","99001218","11001218"
"30","0","8","411","99001218","91002"
"1","1002","15","412","99001219","11001219"
"30","0","8","413","99001219","91002"
"1","1003","15","414","99001220","11001220"
"30","0","8","415","99001220","91002"
"1","1001","15","416","99001221","11001221"
"30","0","8","417","99001221","91002"
"1","1001","15","418","99001222","11001222"
"30","0","8","419","99001222","91002"
"1","1002","15","420","99001223","11001223"
"30","0","8","421","99001223","91002"
"1","1003","15","422","99001224","11001224"
"30","0","8","423","99001224","91002"
"1","1001","15","424","99001225","11001225"
"30","0","8","425","99001225","91002"
"1","1001","15","426","99001226","11001226"
"30","0","8","427","99001226","91002"
"1","1002","15","428","99001227","11001227"
"30","0","8","429","99001227","91002"
"1","1003","15","430","99001228","11001228"
"30","0","8","431","99001228","91002"
"1","1001","15","432","99001229","11001229"
"30","0","8","433","99001229","91002"
"1","1001","15","434","99001230","11001230"
"30","0","8","435","99001230","91002"
"1","1002","15","436","99001231","11001231"
"30","0","8","437","99001231","91002"
"1","1003","15","438","99001232","11001232"
"30","0","8","439","99001232","91002"
"1","1001","15","440","99001233","11001233"
"30","0","8","441","99001233","91002"
"1","1001","15","442","99001234","11001234"
"30","0","8","443","99001234","91002"
"1","1002","15","444","99001235","11001235"
"30","0","8","445","99001235","91002"
"1","1003","15","446","99001236","11001236"
"30","0","8","447","99001236","91002"
"1","1001","15","448","99001237","11001237"
"30","0","8","449","99001237","91002"
"1","1001","15","450","99001238","11001238"
"30","0","8","451","99001238","91002"
"1","1002","15","452","99001239","11001239"
"30","0","8","453","99001239","91002"
"1","1003","15","454","99001240","11001240"
"30","0","8","455","99001240","91002"
"1","1001","15","456","99001241","11001241"
"30","0","8","457","99001241","91002"
"1","1001","15","458","99001242","11001242"
"30","0","8","459","99001242","91002"
"1","1002","15","460","99001243","11001243"
"30","0","8","461","99001243","91002"
"1","1003","15","462","99001244","11001244"
"30","0","8","463","99001244","91002"
"1","1001","15","464","99001245","11001245"
"30","0","8","465","99001245","91002"
"1","1001","15","466","99001246","11001246"
"30","0","8","467","99001246","91002"
"1","1002","15","468","99001247","11001247"
"30","0","8","469","99001247","91002"
"1","1003","15","470","99001248","11001248"
"30","0","8","471","99001248","91002"
"1","1003","15","472","99001249","11001249"
"1","1001","15","473","99001250","11001250"
"30","0","8","474","99001250","91002"
"1","1001","15","475","99001251","11001251"
"30","0","8","476","99001251","91002"
"1","1002","15","477","99001252","11001252"
"30","0","8","478","99001252","91002"
"1","1003","15","479","99001253","11001253"
"30","0","8","480","99001253","91002"
"1","1001","15","481","99001254","11001254"
"30","0","8","482","99001254","91002"
"1","1001","15","483","99001255","11001255"
"30","0","8","484","99001255","91002"
"1","1002","15","485","99001256","11001256"
"30","0","8","486","99001256","91002"
"1","1003","15","487","99001257","11001257"
"30","0","8","488","99001257","91002"
"1","1001","15","489","99001258","11001258"
"30","0","8","490","99001258","91002"
"1","1001","15","491","99001259","11001259"
"30","0","8","492","99001259","91002"
"1","1002","15","493","99001260","11001260"
"30","0","8","494","99001260","91002"
"1","1003","15","495","99001261","11001261"
"30","0","8","496","99001261","91002"
"1","1001","15","497","99001262","11001262"
"1","1001","15","498","99001263","11001263"
"1","1001","15","499","99001264","11001264"
"1","1002","15","500","99001265","11001265"
"1","1003","15","501","99001266","11001266"
"1","1001","15","502","99001267","11001267"
"30","0","8","503","99001267","91002"
"1","1001","15","504","99001268","11001268"
"30","0","8","505","99001268","91002"
"1","1002","15","506","99001269","11001269"
"30","0","8","507","99001269","91002"
"1","1003","15","508","99001270","11001270"
"30","0","8","509","99001270","91002"
"1","1003","15","510","99001271","11001271"
"1","1001","15","511","99001272","11001272"
"30","0","8","512","99001272","91002"
"1","1001","15","513","99001273","11001273"
"30","0","8","514","99001273","91002"
"1","1002","15","515","99001274","11001274"
"30","0","8","516","99001274","91002"
"1","1003","15","517","99001275","11001275"
"30","0","8","518","99001275","91002"
"1","1003","15","519","99001276","11001276"
"1","1001","15","520","99001277","11001277"
"30","0","8","521","99001277","91002"
"1","1001","15","522","99001278","11001278"
"30","0","8","523","99001278","91002"
"1","1002","15","524","99001279","11001279"
"30","0","8","525","99001279","91002"
"1","1003","15","526","99001280","11001280"
"30","0","8","527","99001280","91002"
"1","1001","15","528","99001281","11001281"
"30","0","8","529","99001281","91002"
"1","1001","15","530","99001282","11001282"
"30","0","8","531","99001282","91002"
"1","1002","15","532","99001283","11001283"
"30","0","8","533","99001283","91002"
"1","1003","15","534","99001284","11001284"
"30","0","8","535","99001284","91002"
"1","1003","15","536","99001285","11001285"
"1","1001","15","537","99001286","11001286"
"30","0","8","538","99001286","91002"
"1","1001","15","539","99001287","11001287"
"30","0","8","540","99001287","91002"
"1","1002","15","541","99001288","11001288"
"30","0","8","542","99001288","91002"
"1","1003","15","543","99001289","11001289"
"30","0","8","544","99001289","91002"
"1","1001","15","545","99001290","11001290"
"30","0","8","546","99001290","91002"
"1","1001","15","547","99001291","11001291"
"30","0","8","548","99001291","91002"
"1","1002","15","549","99001292","11001292"
"30","0","8","550","99001292","91002"
"1","1003","15","551","99001293","11001293"
"30","0","8","552","99001293","91002"
"1","1001","15","553","99001294","11001294"
"30","0","8","554","99001294","91002"
"1","1001","15","555","99001295","11001295"
"30","0","8","556","99001295","91002"
"1","1002","15","557","99001296","11001296"
"30","0","8","558","99001296","91002"
"1","1003","15","559","99001297","11001297"
"30","0","8","560","99001297","91002"
"1","1001","15","561","99001298","11001298"
"30","0","8","562","99001298","91002"
"1","1001","15","563","99001299","11001299"
"30","0","8","564","99001299","91002"
"1","1002","15","565","99001300","11001300"
"30","0","8","566","99001300","91002"
"1","1003","15","567","99001301","11001301"
"30","0","8","568","99001301","91002"
"1","1003","15","569","99001302","11001302"
"1","1003","15","570","99001303","11001303"
"1","1003","15","571","99001304","11001304"
"1","1001","15","572","99001305","11001305"
"30","0","8","573","99001305","91002"
"1","1001","15","574","99001306","11001306"
"30","0","8","575","99001306","91002"
"1","1002","15","576","99001307","11001307"
"30","0","8","577","99001307","91002"
"1","1003","15","578","99001308","11001308"
"30","0","8","579","99001308","91002"
"1","1001","15","580","99001309","11001309"
"30","0","8","581","99001309","91002"
"1","1001","15","582","99001310","11001310"
"30","0","8","583","99001310","91002"
"1","1002","15","584","99001311","11001311"
"30","0","8","585","99001311","91002"
"1","1003","15","586","99001312","11001312"
"30","0","8","587","99001312","91002"
"1","1003","15","588","99001313","11001313"
"1","1001","15","589","99001314","11001314"
"30","0","8","590","99001314","91002"
"1","1001","15","591","99001315","11001315"
"30","0","8","592","99001315","91002"
"1","1002","15","593","99001316","11001316"
"30","0","8","594","99001316","91002"
"1","1003","15","595","99001317","11001317"
"30","0","8","596","99001317","91002"
"1","1003","15","597","99001318","11001318"
"1","1001","15","598","99001319","11001319"
"30","0","8","599","99001319","91002"
"1","1001","15","600","99001320","11001320"
"30","0","8","601","99001320","91002"
"1","1002","15","602","99001321","11001321"
"30","0","8","603","99001321","91002"
"1","1003","15","604","99001322","11001322"
"30","0","8","605","99001322","91002"
"1","1003","15","606","99001323","11001323"
"1","1001","15","607","99001324","11001324"
"30","0","8","608","99001324","91002"
"1","1001","15","609","99001325","11001325"
"30","0","8","610","99001325","91002"
"1","1002","15","611","99001326","11001326"
"30","0","8","612","99001326","91002"
"1","1003","15","613","99001327","11001327"
"30","0","8","614","99001327","91002"
"1","1003","15","615","99001328","11001328"
"1","1001","15","616","99001329","11001329"
"30","0","8","617","99001329","91002"
"1","1001","15","618","99001330","11001330"
"30","0","8","619","99001330","91002"
"1","1002","15","620","99001331","11001331"
"30","0","8","621","99001331","91002"
"1","1003","15","622","99001332","11001332"
"30","0","8","623","99001332","91002"
"1","1001","15","624","99001333","11001333"
"30","0","8","625","99001333","91002"
"1","1001","15","626","99001334","11001334"
"30","0","8","627","99001334","91002"
"1","1002","15","628","99001335","11001335"
"30","0","8","629","99001335","91002"
"1","1003","15","630","99001336","11001336"
"30","0","8","631","99001336","91002"
"1","1002","15","632","99001337","11001337"
"1","1002","15","633","99001338","11001338"
"1","1003","15","634","99001339","11001339"
"1","1001","15","635","99001340","11001340"
"30","0","8","636","99001340","91002"
"1","1001","15","637","99001341","11001341"
"30","0","8","638","99001341","91002"
"1","1002","15","639","99001342","11001342"
"30","0","8","640","99001342","91002"
"1","1003","15","641","99001343","11001343"
"30","0","8","642","99001343","91002"
"1","1001","15","646","99001344","11001344"
"30","0","8","647","99001344","91002"
"1","1001","15","648","99001345","11001345"
"30","0","8","649","99001345","91002"
"1","1002","15","650","99001346","11001346"
"30","0","8","651","99001346","91002"
"1","1003","15","652","99001347","11001347"
"30","0","8","653","99001347","91002"
