061a870dc31789256e9bb561f05f131bcd00281c21bce1a885394f1b6f728011,527835777fd691a38fe7d0ab61679a913a912fa692ece50b09df48f5fe7b3ca3,e94bb96d0f7114925060c4ba1e500398f9aa834ec529a9a4caa68a6d6796b1ba,e8ea3ba20cd7c3314064fe1dc2c22269a5f78db7fcbb12b10457ed1e9dea300a,b9c53e39e9352a22677bd82a9b9f589ed153dcff69733bc61e8599780073469a,303da7c3e5ee1d2e146a1772a59b6e4919a5217896ebf9ac68ce4c5b7a288602,6d241e14da77b77efd293c2d2d0bded1cdb4edcfa655d9a958c2451ff814ed7f,5816e0fac182e7da658527ec8d2eed66d78a94c9c006287a2e300becf2a55fd3,7df8f751e9f081aac29534d08f1bb929d009c8689904a0c4708599eca6455bd8,f305962c297c680ae98e22de76d459517345cddf9e0d066f8fd89bd8a14bfddf,4e52dcad9e1f7a2c6a909508807b10474b78ab15480995b72828c5eccb7904ae
"61030","","0","","5146061","","4","","","","1060"
"61031","1","sad_idle_dere_shy","","5146061","","3","","0.5","","106011"
"61032","1","sad_idle_dere_shy","","5146061","","3","","0.5","","1060"
"61033","0","vo_apg_0102","","5146061","","21","0","","","vo_apg"
"61034","0","0102_in","","5146061","","3","","0","","201"
"61035","","1","","5146061","","93","","","","4.6"
"61036","0","0102_mid","","5146061","","3","","0","","201"
"61037","","","","5146061","","92","","","",""
"61038","0","0102_out","","5146061","","3","","0","","201"
"61039","","0","","5146061","","93","","","","0.2"
"61040","0","kyaru_smile_in","1","5146061","0","3","kyaru_smile_idle","0.2","","106011"
"61041","0","kyaru_smile_in","1","5146061","0","3","kyaru_smile_idle","0.2","","1060"
"61042","0","vo_apg_0103","","5146061","","21","0","","","vo_apg"
"61043","0","0103_in","","5146061","","3","","0","","201"
"61044","","1","","5146061","","93","","","","5.4"
"61045","0","0103_mid","","5146061","","3","","0","","201"
"61046","","","","5146061","","92","","","",""
"61047","0","0103_out","","5146061","","3","","0","","201"
"61048","","0","","5146061","","93","","","","0.2"
"61049","","fade105_out","","5146061","","37","","","","2"
"61050","","1","","5146061","","4","","","","105811"
"61051","","1","","5146061","","4","","","","1058"
"61052","1","surprise_talk","","5146061","","3","","0.2","","105811"
"61053","1","surprise_talk","","5146061","","3","","0.2","","1058"
"61054","0","vo_apg_0104","","5146061","","21","0","","","vo_apg"
"61055","7","……小凱留，\n不想被拍進照片嗎……？","1","5146061","0","11","1","0","0","105811"
"61056","","","","5146061","","91","","","","0"
"61057","1","surprise_idle_talk1R","","5146061","","3","","0.2","","105811"
"61058","1","surprise_idle_talk1R","","5146061","","3","","0.2","","1058"
"61059","1","kokkoro_surprise_talk","","5146061","","3","","0.2","","105911"
"61060","1","kokkoro_surprise_talk","","5146061","","3","","0.2","","1059"
"61061","0","vo_apg_0105","","5146061","","21","0","","","vo_apg"
"61062","7","是的，\n看來是這樣沒錯。","1","5146061","0","11","1","0","0","105911"
"61063","","","","5146061","","91","","","","0"
"61064","1","kokkoro_idle_normal","","5146061","","3","","0.2","","105911"
"61065","1","kokkoro_idle_normal","","5146061","","3","","0.2","","1059"
"61066","1","idle_normal_talk1R","","5146061","","3","","0.2","","105811"
"61067","1","idle_normal_talk1R","","5146061","","3","","0.2","","1058"
"61068","","0","","5146061","","4","","","","105811"
"61069","","0","","5146061","","4","","","","1058"
"61070","","1","","5146061","","4","","","","106011"
"61071","","1","","5146061","","4","","","","1060"
"61072","0","cool_in_sing_shy","1","5146061","0","3","cool_talk_sing_shy","0.2","","106011"
"61073","0","cool_in_sing_shy","1","5146061","0","3","cool_talk_sing_shy","0.2","","1060"
"61074","0","vo_apg_0106","","5146061","","21","0","","","vo_apg"
"61075","10","喂，我們快點去搭啦～\n唉～討厭討厭……呵呵呵。","1","5146061","0","11","1","0","0","106011"
"61076","","","","5146061","","91","","","","0"
"61077","","0","","5146061","","22","","","","0"
"61078","1","walk_kyapi_shy","","5146061","","3","","0.2","","106011"
"61079","1","walk_kyapi_shy","","5146061","","3","","0.2","","1060"
"61080","1","walk_furimuki","","5146061","","3","","0.2","","105811"
"61081","1","walk_furimuki","","5146061","","3","","0.2","","1058"
"61082","1","kokkoro_walk_surprise","","5146061","","3","","0.2","","105911"
"61083","1","kokkoro_walk_surprise","","5146061","","3","","0.2","","1059"
"61084","-278","149","0","5146061","","2","2","","","106011"
"61085","-278","149","0","5146061","","2","2","","","1060"
"61086","-278","-54","0","5146061","","2","2","","","105811"
"61087","-278","-54","0","5146061","","2","2","","","1058"
"61088","-288","-214","0","5146061","","2","2","","","105911"
"61089","-288","-214","0","5146061","","2","2","","","1059"
"61090","","0","","5146061","","93","","","","1"
"61091","","iris_in","","5146061","","37","","","","2"
"61092","","0","","5146061","","93","","","","2"
"61093","1","se_10055900_coaster_02","","5146061","","23","","","","se_10055900"
"61094","","1","","5146061","","32","","","","10"
"61095","0.5","30","","5146061","","122","","","","30"
"61096","0","vo_apg_0107","","5146061","","21","0","","","vo_apg"
"61097","0","0107_in","","5146061","","3","","0","","202"
"61098","","1","","5146061","","93","","","","0.7"
"61099","0","0107_mid","","5146061","","3","","0","","202"
"61100","","","","5146061","","92","","","",""
"61101","0","0107_out","","5146061","","3","","0","","202"
"61102","","0","","5146061","","93","","","","0.2"
"61103","-211","0","0","5146061","","2","0","","","202"
"61104","0.5","30","","5146061","","122","","","","30"
"61105","0","vo_apg_0108","","5146061","","21","0","","","vo_apg"
"61106","0","0108_in","","5146061","","3","","0","","203"
"61107","","1","","5146061","","93","","","","0.8"
"61108","0","0108_mid","","5146061","","3","","0","","203"
"61109","","","","5146061","","92","","","",""
"61110","0","0108_out","","5146061","","3","","0","","203"
"61111","","0","","5146061","","93","","","","0.2"
"61112","16","315","0","5146061","","2","0","","","201"
"61113","0.5","30","","5146061","","122","","","","30"
"61114","0","vo_apg_0109","","5146061","","21","0","","","vo_apg"
"61115","0","0109_in","","5146061","","3","","0","","201"
"61116","","1","","5146061","","93","","","","1.1"
"61117","0","0109_mid","","5146061","","3","","0","","201"
"61118","","","","5146061","","92","","","",""
"61119","0","0109_out","","5146061","","3","","0","","201"
"61120","","0","","5146061","","93","","","","0.2"
"61121","0.5","30","","5146061","","122","","","","30"
"61122","0","vo_apg_0110","","5146061","","21","0","","","vo_apg"
"61123","0","0107_in","","5146061","","3","","0","","202"
"61124","0","0108_in","","5146061","","3","","0","","203"
"61125","0","0109_in","","5146061","","3","","0","","201"
"61126","","1","","5146061","","93","","","","1.1"
"61127","0","0107_mid","","5146061","","3","","0","","202"
"61128","0","0108_mid","","5146061","","3","","0","","203"
"61129","0","0109_mid","","5146061","","3","","0","","201"
"61130","","","","5146061","","92","","","",""
"61131","0","0107_out","","5146061","","3","","0","","202"
"61132","0","0108_out","","5146061","","3","","0","","203"
"61133","0","0109_out","","5146061","","3","","0","","201"
"61134","","0","","5146061","","93","","","","0.2"
"61135","0","216","0","5146061","","2","0","","","201"
"61136","0","vo_apg_0111","","5146061","","21","0","","","vo_apg"
"61137","0","0111_in","","5146061","","3","","0","","201"
"61138","","1","","5146061","","93","","","","1.8"
"61139","0","0111_mid","","5146061","","3","","0","","201"
"61140","","","","5146061","","92","","","",""
"61141","0","0111_out","","5146061","","3","","0","","201"
"61142","","0","","5146061","","93","","","","0.2"
"61143","","0","","5146061","","22","","","","0"
"61144","","","","5146061","","93","","","","0.5"
"61145","","1","","5146061","","32","","","","11"
"61146","0","se_10055900_camera","","5146061","","23","","","","se_10055900"
"61147","","0","","5146061","","93","","","","0.2"
"61148","","0","","5146061","","32","","","","10"
"61149","","0","","5146061","","93","","","","1.8"
"61150","","0.5","","5146061","","24","","","","se_10055900_coaster_02"
"61151","","iris_out","","5146061","","37","","","","2"
"61152","-278","129","0","5146061","","2","0","","","106011"
"61153","-278","129","0","5146061","","2","0","","","1060"
"61154","-278","-34","0","5146061","","2","0","","","105811"
"61155","-278","-34","0","5146061","","2","0","","","1058"
"61156","-288","-194","0","5146061","","2","0","","","105911"
"61157","-288","-194","0","5146061","","2","0","","","1059"
"61158","1","walk_normal_dere2","","5146061","","3","","0.2","","106011"
"61159","1","walk_normal_dere2","","5146061","","3","","0.2","","1060"
"61160","1","walk_normal_joy","","5146061","","3","","0.2","","105811"
"61161","1","walk_normal_joy","","5146061","","3","","0.2","","1058"
"61162","1","kokkoro_walk_normal_dere","","5146061","","3","","0.2","","105911"
"61163","1","kokkoro_walk_normal_dere","","5146061","","3","","0.2","","1059"
"61164","-278","290","0","5146061","","2","2","","","106011"
"61165","-278","290","0","5146061","","2","2","","","1060"
"61166","-278","-225","0","5146061","","2","2","","","105811"
"61167","-278","-225","0","5146061","","2","2","","","1058"
"61168","-288","-385","0","5146061","","2","2","","","105911"
"61169","-288","-385","0","5146061","","2","2","","","1059"
"61170","","0","","5146061","","4","","","","106011"
"61171","","0","","5146061","","4","","","","1060"
"61172","","1","","5146061","","4","","","","105811"
"61173","","1","","5146061","","4","","","","1058"
"61174","","1","","5146061","","4","","","","105911"
"61175","","1","","5146061","","4","","","","1059"
"61176","","0","","5146061","","93","","","","2"
"61177","","1","","5146061","","4","","","","106011"
"61178","","1","","5146061","","4","","","","1060"
"61179","","0","","5146061","","4","","","","105811"
"61180","","0","","5146061","","4","","","","1058"
"61181","","0","","5146061","","4","","","","105911"
"61182","","0","","5146061","","4","","","","1059"
"61183","1","joy_idle_doya_shy","","5146061","","3","","0.2","","106011"
"61184","1","joy_idle_doya_shy","","5146061","","3","","0.2","","1060"
"61185","1","idle_normal","","5146061","","3","","0.2","","105811"
"61186","1","idle_normal","","5146061","","3","","0.2","","1058"
"61187","1","kokkoro_idle_normal_joy","","5146061","","3","","0.2","","105911"
"61188","1","kokkoro_idle_normal_joy","","5146061","","3","","0.2","","1059"
"61189","","0","","5146061","","93","","","","0.3"
"61190","0","jump_short","1","5146061","0.2","3","guts2_talk_joy","0.2","","105811"
"61191","0","jump_short","1","5146061","0.2","3","guts2_talk_joy","0.2","","1058"
"61192","0","vo_apg_0112","","5146061","","21","0","","","vo_apg"
"61193","9","哈～♪\n玩得真開心呢──☆","1","5146061","0","11","1","0","0","105811"
"61194","","","","5146061","","91","","","","0"
"61195","1","idle_normal","","5146061","","3","","0.2","","105811"
"61196","1","idle_normal","","5146061","","3","","0.2","","1058"
"61197","1","kokkoro_talk_normal","","5146061","","3","","0.2","","105911"
"61198","1","kokkoro_talk_normal","","5146061","","3","","0.2","","1059"
"61199","0","vo_apg_0113","","5146061","","21","0","","","vo_apg"
"61200","8","各位，\n照片似乎\n已經洗出來了。","1","5146061","0","11","1","0","0","105911"
"61201","","","","5146061","","91","","","","0"
"61202","1","kokkoro_idle_normal_joy","","5146061","","3","","0.2","","105911"
"61203","1","kokkoro_idle_normal_joy","","5146061","","3","","0.2","","1059"
"61204","0","armcrossed_in_dere_shy","1","5146061","0","3","armcrossed_talk_dere_shy","0.2","","106011"
"61205","0","armcrossed_in_dere_shy","1","5146061","0","3","armcrossed_talk_dere_shy","0.2","","1060"
"61206","0","vo_apg_0114","","5146061","","21","0","","","vo_apg"
"61207","10","唉～糟透了。\n……算了，我就姑且\n看一下拍得如何吧♪","1","5146061","0","11","1","0","0","106011"
"61208","","","","5146061","","91","","","","0"
"61209","","0","","5146061","","22","","","","0"
"61210","0","armcrossed_idle_anger_lookup","","5146061","","3","","0.2","","106011"
"61211","0","armcrossed_idle_anger_lookup","","5146061","","3","","0.2","","1060"
"61212","1","idle_normal_lookup","","5146061","","3","","0.2","","105811"
"61213","1","idle_normal_lookup","","5146061","","3","","0.2","","1058"
"61214","1","kokkoro_wish_idle_joy_lookup","","5146061","","3","","0.2","","105911"
"61215","1","kokkoro_wish_idle_joy_lookup","","5146061","","3","","0.2","","1059"
"61216","0","coaster_1_in","","5146061","","3","","0","","21"
"61217","0","se_10055900_photo","","5146061","","23","","","","se_10055900"
"61218","","0","","5146061","","93","","","","2.3"
"61219","1","idle_normal_surprise","","5146061","","3","","0.2","","105811"
"61220","1","idle_normal_surprise","","5146061","","3","","0.2","","1058"
"61221","1","kokkoro_idle_normal_surprise","","5146061","","3","","0.2","","105911"
"61222","1","kokkoro_idle_normal_surprise","","5146061","","3","","0.2","","1059"
"61223","0","pointing_in_noface","1","5146061","0","3","pointing_loop_noface","0.2","","106011"
"61224","0","pointing_in_kyaru","1","5146061","0","3","pointing_loop_kyaru","0.2","","1060"
"61225","0","vo_apg_0115","","5146061","","21","0","","","vo_apg"
"61226","8","呃，這是怎樣啊──！！！\n根本沒拍到我嘛！！？","1","5146061","0","11","1","0","0","106011"
"61227","","1","","5146061","","93","","","","0.5"
"61228","0.5","30","","5146061","","122","","","","30"
"61229","","","","5146061","","91","","","","61226"
"61230","1","surprise_talk","","5146061","","3","","0.2","","105811"
"61231","1","surprise_talk","","5146061","","3","","0.2","","1058"
"61232","0","vo_apg_0116","","5146061","","21","0","","","vo_apg"
"61233","7","……咦？\n小凱留其實\n很想被拍嗎？","1","5146061","0","11","1","0","0","105811"
"61234","","","","5146061","","91","","","","0"
"61235","1","idle_normal_talk1R","","5146061","","3","","0.2","","105811"
"61236","1","idle_normal_talk1R","","5146061","","3","","0.2","","1058"
"61237","1","kokkoro_sad_talk","","5146061","","3","","0.2","","105911"
"61238","1","kokkoro_sad_talk","","5146061","","3","","0.2","","1059"
"61239","0","vo_apg_0117","","5146061","","21","0","","","vo_apg"
"61240","8","在下以為凱留小姐不想被拍，\n就把您遮住了。\n看來似乎是在下多管閒事。","1","5146061","0","11","1","0","0","105911"
"61241","","","","5146061","","91","","","","0"
"61242","1","kokkoro_idle_normal","","5146061","","3","","0.2","","105911"
"61243","1","kokkoro_idle_normal","","5146061","","3","","0.2","","1059"
"61244","0","shock_in_shy_red","1","5146061","0","3","shock_loop_shy_red","0.2","","106011"
"61245","0","shock_in_shy_red","1","5146061","0","3","shock_loop_shy_red","0.2","","1060"
"61246","0","vo_apg_0118","","5146061","","21","0","","","vo_apg"
"61247","9","不……不是，\n也不是那樣的啦！！？","1","5146061","0","11","1","0","0","106011"
"61248","","","","5146061","","91","","","","0"
"61249","0","coaster_1_out","","5146061","","3","","0","","21"
"61250","1","kokkoro_idle_normal_joy","","5146061","0.2","3","","0.2","","105911"
"61251","1","kokkoro_idle_normal_joy","","5146061","0.2","3","","0.2","","1059"
"61252","1","joy_talk","","5146061","0.2","3","","0.2","","105811"
"61253","1","joy_talk","","5146061","0.2","3","","0.2","","1058"
"61254","0","vo_apg_0119","","5146061","","21","0","","","vo_apg"
"61255","9","什麼嘛♪\n那我們就再搭一次吧──♪","1","5146061","0","11","1","0","0","105811"
"61256","","","","5146061","","91","","","","0"
"61257","1","joy_idle","","5146061","","3","","0.2","","105811"
"61258","1","joy_idle","","5146061","","3","","0.2","","1058"
"61259","1","kokkoro_wish_talk_normal2","","5146061","","3","","0.2","","105911"
"61260","1","kokkoro_wish_talk_normal2","","5146061","","3","","0.2","","1059"
"61261","0","vo_apg_0120","","5146061","","21","0","","","vo_apg"
"61262","7","好的，就這麼做吧♪","1","5146061","0","11","1","0","0","105911"
"61263","","","","5146061","","91","","","","0"
"61264","","0","","5146061","","22","","","","0"
"61265","1","kokkoro_wish_idle_joy","","5146061","","3","","0.2","","105911"
"61266","1","kokkoro_wish_idle_joy","","5146061","","3","","0.2","","1059"
"61267","1","anger_talk_anger2_red","","5146061","","3","","0.2","","106011"
"61268","1","anger_talk_anger2_red","","5146061","","3","","0.2","","1060"
"61269","2","2","0","5146061","0","12","0","0","0","106011"
"61270","2","10","0","5146061","0","12","0","0","0","105811"
"61271","2","10","0","5146061","0","12","0","0","0","105911"
"61272","","0","","5146061","","93","","","","2"
"61273","","","","5146061","","101","","","","61274"
"61274","","0.2","","5146061","","22","","","","0"
"62001","103","100911","-278","5146062","0","1","-290","1.8","idle_normal","1"
"62002","104","1009","-278","5146062","0","5","-290","1.8","idle_normal","3"
"62003","100","131011","-278","5146062","1","1","290","1.8","idle_normal","1"
"62004","","203","","5146062","","13","","","","100911"
"62005","","200","","5146062","","13","","","","131011"
"62006","15","7","-174","5146062","0","5","0","0.85","idle","7"
"62007","210","20","71","5146062","0","5","-132","1","empty","20"
"62008","210","22","-42","5146062","0","5","0","1","empty","22"
"62009","60","21","153","5146062","0","5","0","1","empty","21"
"62010","0","1","1","5146062","","31","0","1","","1"
"62011","0","2","1","5146062","","31","-57.7","0","","2"
"62012","0","10","1","5146062","","31","0","0","","10"
"62013","0","11","1","5146062","","31","0","0","","11"
"62014","-290","14","1","5146062","","31","-278","0","","14"
"62015","0","20","1","5146062","","31","0","1","","20"
"62016","","100911","","5146062","","36","","","","20"
"62017","","20","","5146062","","36","","","","20"
"62018","","22","","5146062","","36","","","","20"
"62019","","0","","5146062","","91","","","","0"
"62020","0","0","","5146062","","102","","","","0"
"62021","","0","","5146062","","93","","","","1"
"62022","0","cool_in_dere","1","5146062","0","3","cool_talk_dere","0.2","","100911"
"62023","0","cool_in_dere","1","5146062","0","3","cool_talk_dere","0.2","","1009"
"62024","0","vo_apg_0201","","5146062","","21","0","","","vo_apg"
"62025","9","出發吧，前往極滅禁斷秘儀！\n好，麻煩妳帶路了！","1","5146062","0","11","1","0","0","100911"
"62026","","","","5146062","","91","","","","0"
"62027","1","cool_idle","","5146062","","3","","0.2","","100911"
"62028","1","cool_idle","","5146062","","3","","0.2","","1009"
"62029","1","wish_talk_joy","","5146062","","3","","0.2","","131011"
"62030","0","vo_apg_0202","","5146062","","21","0","","","vo_apg"
"62031","8","杏奈小姐竟然會感興趣，\n人家很高興呢～\n人家會好好為妳帶路的。","1","5146062","0","11","1","0","0","131011"
"62032","","","","5146062","","91","","","","0"
"62033","1","wish_idle","","5146062","","3","","0.2","","131011"
"62034","0","anna_armcrossed","1","5146062","0.2","3","sad_talk","0.2","","100911"
"62035","0","anna_armcrossed","1","5146062","0.2","3","sad_talk","0.2","","1009"
"62036","0","vo_apg_0203","","5146062","","21","0","","","vo_apg"
"62037","9","嗯！吉格魯特他們也\n挑戰過的這場試煉，我冥姬也……\n呃，咦？\n這莫非，是尖叫系設施……？","1","5146062","0","11","1","0","0","100911"
"62038","","","","5146062","","91","","","","0"
"62039","1","sad_idle","","5146062","","3","","0.2","","100911"
"62040","1","sad_idle","","5146062","","3","","0.2","","1009"
"62041","0","maho_talk_normal","1","5146062","0.2","3","surprise_talk","0.2","","131011"
"62042","0","vo_apg_0204","","5146062","","21","0","","","vo_apg"
"62043","9","這是這座遊樂園\n大受歡迎的遊樂設施喔～\n奇怪？怎麼了嗎？\n妳的臉色看起來不太好……","1","5146062","0","11","1","0","0","131011"
"62044","","","","5146062","","91","","","","0"
"62045","1","surprise_idle","","5146062","","3","","0.2","","131011"
"62046","1","anger_talk_shy","","5146062","","3","","0.2","","100911"
"62047","1","anger_talk_shy","","5146062","","3","","0.2","","1009"
"62048","0","vo_apg_0205","","5146062","","21","0","","","vo_apg"
"62049","9","我我我、我才不是感、感到害怕……\n徹徹底底，完全沒問題喔？","1","5146062","0","11","1","0","0","100911"
"62050","","","","5146062","","91","","","","0"
"62051","1","anger_idle_shy","","5146062","","3","","0.2","","100911"
"62052","1","anger_idle_shy","","5146062","","3","","0.2","","1009"
"62053","1","worry_talk","","5146062","","3","","0.2","","131011"
"62054","0","vo_apg_0206","","5146062","","21","0","","","vo_apg"
"62055","9","話雖如此，最好還是不要\n勉強自己比較好吧？","1","5146062","0","11","1","0","0","131011"
"62056","","","","5146062","","91","","","","0"
"62057","1","wish_idle_shy","","5146062","","3","","0.2","","131011"
"62058","1","anger_talk_pain","","5146062","","3","","0.2","","100911"
"62059","1","anger_talk_pain","","5146062","","3","","0.2","","1009"
"62060","0","vo_apg_0207","","5146062","","21","0","","","vo_apg"
"62061","9","沒事！我、我都說沒問題了！\n妳都帶我到這裡了，怎麼能退縮……\n我要上了！突擊────！","1","5146062","0","11","1","0","0","100911"
"62062","","","","5146062","","91","","","","0"
"62063","","0","","5146062","","22","","","","0"
"62064","1","run_dash_anger2","","5146062","","3","","0.2","","100911"
"62065","1","run_dash_anger2","","5146062","","3","","0.2","","1009"
"62066","1","walk_surprise","","5146062","","3","","0.2","","131011"
"62067","-278","-129","0","5146062","","2","2","","","100911"
"62068","-278","-129","0","5146062","","2","2","","","1009"
"62069","-278","129","0","5146062","","2","2","","","131011"
"62070","","1","","5146062","","32","","","","14"
"62071","","left","","5146062","","37","","","","14"
"62072","-278","-129","0","5146062","","33","2","","","14"
"62073","","0","","5146062","","93","","","","1"
"62074","","1","","5146062","","32","","","","2"
"62075","","0","","5146062","","93","","","","1.5"
"62076","","0","","5146062","","32","","","","14"
"62077","-331","0","0","5146062","","2","0","","","100911"
"62078","","scale15","","5146062","","37","","","","20"
"62079","1","se_10055900_coaster_01","","5146062","","23","","","","se_10055900"
"62080","0","vo_apg_0208","","5146062","","21","0","","","vo_apg"
"62081","0","0208_in","","5146062","","3","","0","","22"
"62082","","1","","5146062","","93","","","","3.3"
"62083","0","0208_mid","","5146062","","3","","0","","22"
"62084","","","","5146062","","92","","","",""
"62085","0","0208_out","","5146062","","3","","0","","22"
"62086","","0","","5146062","","93","","","","0.2"
"62087","","0","","5146062","","93","","","","0.3"
"62088","","scale1","","5146062","","37","","","","20"
"62089","","1","","5146062","","32","","","","10"
"62090","","0.5","","5146062","","24","","","","se_10055900_coaster_01"
"62091","1","se_10055900_coaster_02","","5146062","","23","","","","se_10055900"
"62092","0","0","0","5146062","","2","0","","","20"
"62093","0.5","30","","5146062","","122","","","","30"
"62094","0","vo_apg_0209","","5146062","","21","0","","","vo_apg"
"62095","0","0209_in","","5146062","","3","","0","","20"
"62096","","1","","5146062","","93","","","","2.6"
"62097","0","0209_mid","","5146062","","3","","0","","20"
"62098","","","","5146062","","92","","","",""
"62099","0","0209_out","","5146062","","3","","0","","20"
"62100","","0","","5146062","","93","","","","0.2"
"62101","1","30","","5146062","","122","","","","30"
"62102","0","vo_apg_0210","","5146062","","21","0","","","vo_apg"
"62103","0","0210_in","","5146062","","3","","0","","20"
"62104","","1","","5146062","","93","","","","2.7"
"62105","0","0210_mid","","5146062","","3","","0","","20"
"62106","","","","5146062","","92","","","",""
"62107","0","0210_out","","5146062","","3","","0","","20"
"62108","","0","","5146062","","93","","","","0.2"
"62109","","0","","5146062","","22","","","","0"
"62110","1","empty","","5146062","","3","","0","","20"
"62111","","","","5146062","","93","","","","1"
"62112","","1","","5146062","","32","","","","11"
"62113","0","se_10055900_camera","","5146062","","23","","","","se_10055900"
"62114","","0","","5146062","","93","","","","0.2"
"62115","","0","","5146062","","32","","","","10"
"62116","","0","","5146062","","93","","","","1.8"
"62117","","0.5","","5146062","","24","","","","se_10055900_coaster_02"
"62118","","iris_out","","5146062","","37","","","","2"
"62119","-278","-129","0","5146062","","2","0","","","100911"
"62120","-278","-129","0","5146062","","2","0","","","1009"
"62121","-278","129","0","5146062","","2","0","","","131011"
"62122","1","anna_walk","","5146062","","3","","0.2","","100911"
"62123","1","anna_walk","","5146062","","3","","0.2","","1009"
"62124","1","walk_normal_joy","","5146062","","3","","0.2","","131011"
"62125","-278","-290","0","5146062","","2","2","","","100911"
"62126","-278","-290","0","5146062","","2","2","","","1009"
"62127","-278","290","0","5146062","","2","2","","","131011"
"62128","","1","","5146062","","4","","","","100911"
"62129","","1","","5146062","","4","","","","1009"
"62130","","0","","5146062","","4","","","","131011"
"62131","","0","","5146062","","93","","","","2"
"62132","","0","","5146062","","4","","","","100911"
"62133","","0","","5146062","","4","","","","1009"
"62134","","1","","5146062","","4","","","","131011"
"62135","1","anna_idle","","5146062","","3","","0.2","","100911"
"62136","1","anna_idle","0","5146062","","3","","0.2","","1009"
"62137","1","idle_normal","","5146062","","3","","0.2","","131011"
"62138","","0","","5146062","","93","","","","0.5"
"62139","1","talk_normal_surprise","","5146062","","3","","0.2","","131011"
"62140","0","vo_apg_0211","","5146062","","21","0","","","vo_apg"
"62141","10","妳覺得如何呢？\n發出了很響亮的喊叫聲呢。","1","5146062","0","11","1","0","0","131011"
"62142","","","","5146062","","91","","","","0"
"62143","1","idle_normal_surprise","","5146062","","3","","0.2","","131011"
"62144","0","anna_kukuku_in","1","5146062","0","3","anna_kukuku_loop","0.2","","100911"
"62145","0","anna_kukuku_in","1","5146062","0","3","anna_kukuku_loop","0.2","","1009"
"62146","0","vo_apg_0212","","5146062","","21","0","","","vo_apg"
"62147","12","呵、呵呵呵……吉格魯特啊……\n我也，看得見了……時之刻！","1","5146062","0","11","1","20","0","100911"
"62148","","","","5146062","","91","","","","0"
"62149","0","coaster_2_in","","5146062","","3","","0","","21"
"62150","0","se_10055900_photo","","5146062","","23","","","","se_10055900"
"62151","","0","","5146062","","93","","","","0.1"
"62152","0","anna_ahaha_in","1","5146062","0","3","anna_ahaha_loop","0.2","","100911"
"62153","0","anna_ahaha_in","1","5146062","0","3","anna_ahaha_loop","0.2","","1009"
"62154","0","vo_apg_0213","","5146062","","21","0","","","vo_apg"
"62155","8","此刻，冥姬\n超越了疾風！","1","5146062","0","11","1","-30","0","100911"
"62156","","","","5146062","","91","","","","0"
