6917b9beeb9e3edd901ca06f4607bbc427893e9a0a46daf0b3fcb26a173833c9,0cbc05d554283fd95b718a8de6ea5a68c33c12aace4b9800cab748bd6a5b8005,9b1a338655beead2ca1a85c13b32489d98efa694fb0dc53f7d2ec2a10c2db361,ffb9c8de1c9f2eff8fc1d965a2b3de5bb738c2a0022e6142cd584ead4db64e48,e5c7385b47fa97089f7c0a6062ecf66776174fd5ed919106ade294284879b46d,c413ecd383e6feabeb2fa8eb9d45bc4959a172bcde54782cc47a3c153baa1c71
"124131","60000124","2","1","4","10011004"
"124161","60000125","2","1","4","10011004"
"124192","60000126","2","1","4","10011004"
"124251","60000127","2","1","4","10011004"
"124311","60000128","3","1","4","10011004"
"124342","60000129","3","1","4","10011004"
"124401","60000130","3","1","4","10011004"
"124431","60000131","3","1","4","10011004"
"124491","60000132","3","1","4","10011004"
"124521","60000133","3","1","4","10011004"
"31012","60000134","100","1","2","10012098"
"31038","60000135","100","1","2","10012099"
"60001","62001045","100","1","2","62001045"
"60002","62001046","100","3","2","62001046"
