2ba1174a200c7d5fec687aa0f41b101a8e79a76d13c4789c1866d89b91fc01f8,5fa0f3fb7d8417636f702f5be1b35f0d7a6464ac75e5096c52bc36d0a018fa69,168369f1f6e4b5d1e5980630e9d78bb85fdca3d33c76fb0220a045abb52463d4,1a7cf1a058000e5d3b0e6bffeb24623561a14458c0d02cc593b75fd97c62261e,0aecf594db1561cbf0e8c3b5f3efb73232d363f22adb2dcf63aa5108994d3c1d,4bdc301e1ddf3d1e9ba55f57b10a9f550fb0761cd854ae248188fc0d1454b542,20c84d975a4b4ec11ce649a7fb5d330639ab3e3d230aaba4cd6df7ccc3053883,628ba6ad543cc423580619b98dc3ddf7489ff7a697bec2d197c1f14f3d679cb0,d3cd3a461bac871822222b6ba04cb58804bddf0f225e9a47c96f7c4404919028,9193c64c21c53fa9413dcab038e4c25a07d643458de2e2b333dedf285539531b,9a3496e424b19e5c88a180bc24719f1a9a30ce3fa3827d885a6d9856b8a33dd5
"11","0","1009801","122711","10","0","1","1","寫、寫得隨興一點……！\n這我做不到。","1009801044","0"
"91","","1009801","0","","","","","","1009801045",""
"3","","1009801","122711","1","","","","lsv_idle_anger2","1009801046","0.2"
"3","","1009801","122911","1","","","","lsv_talk_normal","1009801047","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0126","1009801048",""
"11","0","1009801","122911","10","0","1","1","不要緊的～\n美美覺得鏡華的日記\n也很棒啊♪","1009801049","0"
"91","","1009801","0","","","","","","1009801050",""
"3","","1009801","122911","1","","","","lsv_idle_normal_joyR","1009801051","0.2"
"3","","1009801","122711","0","0.2","1","lsv_talk_guts2_anger_loop","lsv_talk_guts2_anger","1009801052","0"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0127","1009801053",""
"11","0","1009801","122711","10","0","1","1","總、總之！\n這本日記也是為了要\n更了解小繆而寫的喔？","1009801054","0"
"91","","1009801","0","","","","","","1009801055",""
"3","","1009801","122711","1","","","","lsv_talk_normal_worry","1009801056","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0128","1009801057",""
"11","0","1009801","122711","10","0","1","1","因為如果不曉得是什麼生物，\n養起來會很辛苦……\n可別忘了這點喔？","1009801058","0"
"91","","1009801","0","","","","","","1009801059",""
"3","","1009801","122711","1","","","","lsv_idle_normal","1009801060","0.2"
"3","","1009801","122811","0","0.2","1","lsv_idle_normal","lsv_hello","1009801061","0"
"3","","1009801","122911","0","0.2","1","lsv_idle_normal_joyR","lsv_hello","1009801062","0"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0129","1009801063",""
"11","0","1009801","122811","10","0","1","1","好──！","1009801064","0"
"11","0","1009801","122911","10","0","1","1","好──！","1009801065","0"
"91","","1009801","0","","","","","","1009801066",""
"3","","1009801","122711","1","","","","lsv_idle_normal","1009801067","0.2"
"3","","1009801","122911","1","","","","lsv_talk_surprise","1009801068","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0130","1009801069",""
"11","0","1009801","122911","10","0","1","1","小繆好不可思議喔～\n第一次見到時\n真的嚇了一跳！","1009801070","0"
"91","","1009801","0","","","","","","1009801071",""
"3","","1009801","122911","1","","","","lsv_idle_normal_suprise1","1009801072","0.2"
"3","","1009801","122811","0","0.2","1","lsv_talk_cool_loop","lsv_talk_cool","1009801073","0"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0131","1009801074",""
"11","0","1009801","122811","10","0","1","1","畢竟蛋也跟石頭很像嘛！\n吶，哥哥覺得\n牠是什麼生物？","1009801075","0"
"91","","1009801","0","","","","","","1009801076",""
"3","","1009801","122711","0","0.2","1","lsv_look_idle_normal","lsv_choice","1009801077","0"
"3","","1009801","122811","0","0.2","1","lsv_look_idle_normal","lsv_choice","1009801078","0"
"3","","1009801","122911","0","0.2","1","lsv_look_idle_normal","lsv_choice","1009801079","0"
"93","","1009801","0.1","","","","","0","1009801080",""
"2","","1009801","122711","-235","0.2","2","0.33","-452","1009801081",""
"2","","1009801","122811","-220","0.2","2","0.33","420","1009801082",""
"2","","1009801","122911","-250","0.2","2","0.33","545","1009801083",""
"22","","1009801","0","1","","","","0","1009801084","0.2"
"103","","1009801","怪獸的寶寶。","0","","","","1009801088","1009801085",""
"103","","1009801","大隻的蛞蝓。","0","","","","1009801102","1009801086",""
"103","","1009801","有毒的生物。","0","","","","1009801115","1009801087",""
"3","","1009801","122711","0","0.2","1","lsv_idle_normal","lsv_choice","1009801088","0"
"3","","1009801","122811","0","0.2","1","lsv_idle_normal","lsv_choice","1009801089","0"
"3","","1009801","122911","0","0.2","1","lsv_idle_normal","lsv_choice","1009801090","0"
"93","","1009801","0.1","","","","","0","1009801091",""
"2","","1009801","122711","-235","0.2","2","0.33","-200","1009801092",""
"2","","1009801","122811","-220","0.2","2","0.33","100","1009801093",""
"2","","1009801","122911","-250","0.2","2","0.33","270","1009801094",""
"93","","1009801","0.7","","","","","0","1009801095",""
"3","","1009801","122911","1","","","","lsv_talk_wish_joy","1009801096","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0132","1009801097",""
"11","0","1009801","122911","10","0","1","1","怪獸先生？\n那一定會長很大吧～♪\n會長得比城堡還要大嗎？","1009801098","0"
"91","","1009801","0","","","","","","1009801099",""
"3","","1009801","122911","1","","","","lsv_idle_normal","1009801100","0.2"
"101","","1009801","1009801129","","","","","","1009801101",""
"3","","1009801","122711","0","0.2","1","lsv_idle_normal","lsv_choice","1009801102","0"
"3","","1009801","122811","0","0.2","1","lsv_idle_normal","lsv_choice","1009801103","0"
"3","","1009801","122911","0","0.2","1","lsv_idle_normal","lsv_choice","1009801104","0"
"93","","1009801","0.1","","","","","0","1009801105",""
"2","","1009801","122711","-235","0.2","2","0.33","-200","1009801106",""
"2","","1009801","122811","-220","0.2","2","0.33","100","1009801107",""
"2","","1009801","122911","-250","0.2","2","0.33","270","1009801108",""
"93","","1009801","0.7","","","","","0","1009801109",""
"3","","1009801","122811","1","","","","lsv_talk_bitter_sad","1009801110","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0133","1009801111",""
"11","0","1009801","122811","10","0","1","1","咦──蛞蝓～？\n感覺不怎麼帥氣……\n那還是不要讓牠接近鹽好了？","1009801112","0"
"91","","1009801","0","","","","","","1009801113",""
"101","","1009801","1009801129","","","","","","1009801114",""
"3","","1009801","122711","0","0.2","1","lsv_idle_normal","lsv_choice","1009801115","0"
"3","","1009801","122811","0","0.2","1","lsv_idle_normal","lsv_choice","1009801116","0"
"3","","1009801","122911","0","0.2","1","lsv_idle_normal","lsv_choice","1009801117","0"
"93","","1009801","0.1","","","","","0","1009801118",""
"2","","1009801","122711","-235","0.2","2","0.33","-200","1009801119",""
"2","","1009801","122811","-220","0.2","2","0.33","100","1009801120",""
"2","","1009801","122911","-250","0.2","2","0.33","270","1009801121",""
"93","","1009801","0.7","","","","","0","1009801122",""
"3","","1009801","122711","1","","","","lsv_talk_normal_worry","1009801123","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0134","1009801124",""
"11","0","1009801","122711","10","0","1","1","大家都一起摸過牠了，\n這不可能啦。\n更何況……牠那麼可愛。","1009801125","0"
"91","","1009801","0","","","","","","1009801126",""
"3","","1009801","122711","1","","","","lsv_idle_normal","1009801127","0.2"
"101","","1009801","1009801129","","","","","","1009801128",""
"91","","1009801","0","","","","","","1009801129",""
"3","","1009801","122811","0","0.2","1","lsv_talk_arm_crossed_loop_joy","lsv_talk_arm_crossed_joy","1009801130","0"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0135","1009801131",""
"11","0","1009801","122811","10","0","1","1","哎，不管怎麼樣，\n養養看就知道啦！\n那麼，一起加油吧──！","1009801132","0"
"91","","1009801","0","","","","","","1009801133",""
"3","","1009801","122811","0","0.2","1","lsv_idle_normal_joy","lsv_handsup_joy","1009801134","0"
"3","","1009801","122911","0","0.2","1","lsv_idle_normal_joy","lsv_handsup_joy","1009801135","0"
"3","","1009801","122711","0","0.2","1","lsv_idle_normal_joy","lsv_handsup_joy2","1009801136","0"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0136","1009801137",""
"11","0","1009801","122811","10","0","1","1","喔──！","1009801138","0"
"11","0","1009801","122911","10","0","1","1","喔──！","1009801139","0"
"11","0","1009801","122711","10","0","1","1","喔──！","1009801140","0"
"91","","1009801","0","","","","","","1009801141",""
"22","","1009801","0","","","","","0.2","1009801142",""
"93","","1009801","0.2","","","","","","1009801143",""
"102","","1009801","","","","","","","1009801144",""
"12","0","1009801","122911","1","0","0","0","7","1009801145","0"
"3","","1009801","122911","1","","","","lsv_talk_joy3","1009801146","0.2"
"93","","1009801","3","","","","","0","1009801147",""
"3","","1009801","122911","1","","","","lsv_idle_normal_joyR","1009801148","0.2"
"12","0","1009801","122811","1","0","0","0","6","1009801149","0"
"3","","1009801","122811","0","0.2","1","lsv_talk_guts1_loop","lsv_talk_guts1","1009801150","0"
"93","","1009801","3","","","","","0","1009801151",""
"3","","1009801","122811","1","","","","lsv_idle_joy","1009801152","0.2"
"12","0","1009801","122711","1","0","0","0","10","1009801153","0"
"3","","1009801","122711","1","","","","lsv_talk_joy1_normal","1009801154","0.2"
"93","","1009801","3","","","","","0","1009801155",""
"3","","1009801","122711","1","","","","lsv_idle_normal_joy","1009801156","0.2"
"101","","1009801","1009801145","","","","","","1009801157",""
"6","","1009801","333","1","0","0","1","1","1009801158","1"
"4","","1009801","122711","","","","","1","1009801159",""
"3","","1009801","122711","1","","","","lsv_run","1009801160","0.2"
"2","","1009801","122711","-235","","0","0.8","-750","1009801161",""
"4","","1009801","122811","","","","","0","1009801162",""
"3","","1009801","122811","1","","","","lsv_run","1009801163","0.2"
"2","","1009801","122811","-220","","0","0.8","750","1009801164",""
"4","","1009801","122911","","","","","0","1009801165",""
"3","","1009801","122911","1","","","","lsv_run","1009801166","0.2"
"2","","1009801","122911","-250","","0","0.8","850","1009801167",""
"93","","1009801","0.6","","","","","","1009801168",""
"6","","1009801","122711","1","0","0","1","1","1009801169","0.2"
"6","","1009801","122811","1","0","0","1","1","1009801170","0.2"
"6","","1009801","122911","1","0","0","1","1","1009801171","0.2"
"91","","1009801","0","","","","","","1009801172",""
"1","lsv_idle_normal","1009802","1","102","0","-235","-650","122911","1009802001","1.95"
"1","lsv_idle_normal","1009802","1","100","1","-220","650","122811","1009802002","1.95"
"1","lsv_idle_normal","1009802","1","101","1","-250","750","122711","1009802003","1.95"
"5","lsv_white_loop","1009802","1","0","0","0","0","333","1009802004","1"
"6","","1009802","333","1","0","0","1","1","1009802005","0"
"6","","1009802","122911","1","0","0","1","1","1009802006","0"
"6","","1009802","122811","1","0","0","1","1","1009802007","0"
"6","","1009802","122711","1","0","0","1","1","1009802008","0"
"93","","1009802","1","","","","","0","1009802009",""
"6","","1009802","333","1","0","0.4","1","1","1009802010","0.8"
"3","","1009802","122911","1","","","","lsv_walk","1009802011","0.2"
"2","","1009802","122911","-235","","0","2","-200","1009802012",""
"6","","1009802","122911","1","0","1","1","1","1009802013","0.4"
"3","","1009802","122811","1","","","","lsv_walk","1009802014","0.2"
"2","","1009802","122811","-220","","0","2","100","1009802015",""
"6","","1009802","122811","1","0","1","1","1","1009802016","0.4"
"3","","1009802","122711","1","","","","lsv_walk","1009802017","0.2"
"2","","1009802","122711","-250","","0","2","270","1009802018",""
"6","","1009802","122711","1","0","1","1","1","1009802019","0.4"
"93","","1009802","2","","","","","0","1009802020",""
"3","","1009802","122911","1","","","","lsv_idle_normal","1009802021","0.2"
"3","","1009802","122811","1","","","","lsv_idle_normal","1009802022","0.2"
"3","","1009802","122711","1","","","","lsv_idle_normal","1009802023","0.2"
"93","","1009802","0.6","","","","","0","1009802024",""
"3","","1009802","122811","1","","","","lsv_talk_sad_dead","1009802025","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0221","1009802026",""
"11","0","1009802","122811","10","0","1","1","雖然又去了一次海邊，\n還是找不到\n小繆的家人耶。","1009802027","0"
"91","","1009802","0","","","","","","1009802028",""
"3","","1009802","122811","1","","","","lsv_idle_sad_talk1","1009802029","0.2"
"3","","1009802","122711","1","","","","lsv_talk_thinking_sadR","1009802030","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0222","1009802031",""
"11","0","1009802","122711","10","0","1","1","嗯，不僅如此，\n搞不懂的事\n又更多了呢。","1009802032","0"
"91","","1009802","0","","","","","","1009802033",""
"3","","1009802","122711","1","","","","lsv_idle_normal_suprise1","1009802034","0.2"
"3","","1009802","122811","1","","","","lsv_idle_normal","1009802035","0.2"
"3","","1009802","122911","1","","","","lsv_talk_normal","1009802036","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0223","1009802037",""
"11","0","1009802","122911","10","0","1","1","但知道小繆\n會吃什麼了呢～\n跟我們吃一樣的就行了♪","1009802038","0"
"91","","1009802","0","","","","","","1009802039",""
"3","","1009802","122911","1","","","","lsv_idle_normal_joyR","1009802040","0.2"
"3","","1009802","122711","1","","","","lsv_talk_normal","1009802041","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0224","1009802042",""
"11","0","1009802","122711","10","0","1","1","啊，確實如此。\n這件事有搞清楚\n真是太好了。","1009802043","0"
"91","","1009802","0","","","","","","1009802044",""
"3","","1009802","122711","1","","","","lsv_idle_normal","1009802045","0.2"
"3","","1009802","122911","1","","","","lsv_talk_surprise","1009802046","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0225","1009802047",""
"11","0","1009802","122911","10","0","1","1","小繆會喜歡\n哪種食物呢～？\n哥哥知道嗎？","1009802048","0"
"91","","1009802","0","","","","","","1009802049",""
"3","","1009802","122911","1","","","","lsv_idle_surprise_talkjoy","1009802050","0.2"
"3","","1009802","122911","0","0.2","1","lsv_look_idle_normal","lsv_choice","1009802051","0"
"3","","1009802","122811","0","0.2","1","lsv_look_idle_normal","lsv_choice","1009802052","0"
"3","","1009802","122711","0","0.2","1","lsv_look_idle_normal","lsv_choice","1009802053","0"
"93","","1009802","0.1","","","","","0","1009802054",""
"2","","1009802","122911","-235","0.2","2","0.33","-452","1009802055",""
"2","","1009802","122811","-220","0.2","2","0.33","420","1009802056",""
"2","","1009802","122711","-250","0.2","2","0.33","545","1009802057",""
"22","","1009802","0","1","","","","0","1009802058","0.2"
"103","","1009802","蛋糕。","0","","","","1009802062","1009802059",""
"103","","1009802","蘋果。","0","","","","1009802086","1009802060",""
"103","","1009802","麵包。","0","","","","1009802109","1009802061",""
"3","","1009802","122911","0","0.2","1","lsv_idle_normal","lsv_choice","1009802062","0"
"3","","1009802","122811","0","0.2","1","lsv_idle_normal","lsv_choice","1009802063","0"
"3","","1009802","122711","0","0.2","1","lsv_idle_normal","lsv_choice","1009802064","0"
"93","","1009802","0.1","","","","","0","1009802065",""
"2","","1009802","122911","-235","0.2","2","0.33","-200","1009802066",""
"2","","1009802","122811","-220","0.2","2","0.33","100","1009802067",""
"2","","1009802","122711","-250","0.2","2","0.33","270","1009802068",""
"93","","1009802","0.7","","","","","0","1009802069",""
"3","","1009802","122911","1","","","","lsv_talk_joy3","1009802070","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0226","1009802071",""
"11","0","1009802","122911","10","0","1","1","蛋糕很好吃嘛～\n美美也最～喜歡了♪","1009802072","0"
"91","","1009802","0","","","","","","1009802073",""
"3","","1009802","122911","1","","","","lsv_idle_normal_joy","1009802074","0.2"
"3","","1009802","122811","1","","","","lsv_talk_wish_joy","1009802075","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0227","1009802076",""
"11","0","1009802","122811","10","0","1","1","蛋糕……既然如此，\n也來調查牠喜歡哪種蛋糕吧！\n這樣一定更好！","1009802077","0"
"91","","1009802","0","","","","","","1009802078",""
"3","","1009802","122811","1","","","","lsv_idle_wish_joy","1009802079","0.2"
"3","","1009802","122711","0","0.2","1","lsv_talk_doya_shy_loop","lsv_talk_doya_shy","1009802080","0"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0228","1009802081",""
"11","0","1009802","122711","10","0","1","1","說是這麼說，其實只是\n妳自己想吃各種蛋糕吧……\n不過我也贊成♪","1009802082","0"
"91","","1009802","0","","","","","","1009802083",""
"3","","1009802","122711","1","","","","lsv_idle_doya","1009802084","0.2"
"101","","1009802","1009802133","","","","","","1009802085",""
"3","","1009802","122911","0","0.2","1","lsv_idle_normal","lsv_choice","1009802086","0"
"3","","1009802","122811","0","0.2","1","lsv_idle_normal","lsv_choice","1009802087","0"
"3","","1009802","122711","0","0.2","1","lsv_idle_normal","lsv_choice","1009802088","0"
"93","","1009802","0.1","","","","","0","1009802089",""
"2","","1009802","122911","-235","0.2","2","0.33","-200","1009802090",""
"2","","1009802","122811","-220","0.2","2","0.33","100","1009802091",""
"2","","1009802","122711","-250","0.2","2","0.33","270","1009802092",""
"93","","1009802","0.7","","","","","0","1009802093",""
"3","","1009802","122711","1","","","","lsv_talk_thinking_joyR","1009802094","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0229","1009802095",""
"11","0","1009802","122711","10","0","1","1","蘋果……水果啊。\n很健康，我覺得很不錯。","1009802096","0"
"91","","1009802","0","","","","","","1009802097",""
"3","","1009802","122711","1","","","","lsv_idle_normal_joy","1009802098","0.2"
"3","","1009802","122911","0","0.2","1","lsv_talk_guts2_joy_loop","lsv_talk_guts2_joy","1009802099","0"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0230","1009802100",""
"11","0","1009802","122911","10","0","1","1","美美喜歡切成\n兔子形狀的蘋果～♪","1009802101","0"
"91","","1009802","0","","","","","","1009802102",""
"3","","1009802","122911","1","","","","lsv_idle_normal_joyR","1009802103","0.2"
"3","","1009802","122811","0","0.2","1","lsv_talk_guts2_loop","lsv_talk_guts2","1009802104","0"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0231","1009802105",""
"11","0","1009802","122811","10","0","1","1","我們也切給牠吃吧！\n雖然好像很難，\n但總會有辦法的！","1009802106","0"
"91","","1009802","0","","","","","","1009802107",""
"101","","1009802","1009802133","","","","","","1009802108",""
"3","","1009802","122911","0","0.2","1","lsv_idle_normal","lsv_choice","1009802109","0"
"3","","1009802","122811","0","0.2","1","lsv_idle_normal","lsv_choice","1009802110","0"
"3","","1009802","122711","0","0.2","1","lsv_idle_normal","lsv_choice","1009802111","0"
"93","","1009802","0.1","","","","","0","1009802112",""
"2","","1009802","122911","-235","0.2","2","0.33","-200","1009802113",""
"2","","1009802","122811","-220","0.2","2","0.33","100","1009802114",""
"2","","1009802","122711","-250","0.2","2","0.33","270","1009802115",""
"93","","1009802","0.7","","","","","0","1009802116",""
"3","","1009802","122811","1","","","","lsv_talk_normal_worry","1009802117","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0232","1009802118",""
"11","0","1009802","122811","10","0","1","1","麵包啊……感覺好普通喔──\n我們也每天都在吃。","1009802119","0"
"91","","1009802","0","","","","","","1009802120",""
"3","","1009802","122811","1","","","","lsv_idle_normal_suprise1","1009802121","0.2"
"3","","1009802","122711","1","","","","lsv_talk_normal","1009802122","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0233","1009802123",""
"11","0","1009802","122711","10","0","1","1","不過，如果真的討厭\n是沒辦法每天吃的。\n而且也能換換口味。","1009802124","0"
"91","","1009802","0","","","","","","1009802125",""
"3","","1009802","122711","1","","","","lsv_idle_normal","1009802126","0.2"
"3","","1009802","122911","1","","","","lsv_talk_wish_joy","1009802127","0.2"
"21","","1009802","vo_lsv","0","","","0","vo_lsv_0234","1009802128",""
"11","0","1009802","122911","10","0","1","1","如果是三明治，\n我們或許也做得出來！\n來做做看吧～♪","1009802129","0"
"91","","1009802","0","","","","","","1009802130",""
"3","","1009802","122911","1","","","","lsv_idle_wish_joyR","1009802131","0.2"
"101","","1009802","1009802133","","","","","","1009802132",""
"91","","1009802","0","","","","","","1009802133",""
"102","","1009802","","","","","","","1009802134",""
"22","","1009802","0","","","","","0.2","1009802135",""
"93","","1009802","0.2","","","","","","1009802136",""
"12","0","1009802","122811","1","0","0","0","11","1009802137","0"
"3","","1009802","122811","0","0.2","1","lsv_surprise3_kira_loop","lsv_surprise3_kira","1009802138","0.2"
"93","","1009802","3","","","","","0","1009802139",""
"3","","1009802","122811","1","","","","lsv_idle_normal_joy","1009802140","0.2"
"12","0","1009802","122711","1","0","0","0","10","1009802141","0"
"3","","1009802","122711","1","","","","lsv_talk_joy3_dere","1009802142","0.2"
"93","","1009802","3","","","","","0","1009802143",""
"3","","1009802","122711","1","","","","lsv_idle_normal_joy","1009802144","0.2"
"12","0","1009802","122911","1","0","0","0","7","1009802145","0"
"3","","1009802","122911","1","","","","lsv_talk_memory","1009802146","0.2"
"93","","1009802","3","","","","","0","1009802147",""
"3","","1009802","122911","1","","","","lsv_idle_normal_joyR","1009802148","0.2"
"101","","1009802","1009802137","","","","","","1009802149",""
"6","","1009802","333","1","0","0","1","1","1009802150","1"
"4","","1009802","122911","","","","","1","1009802151",""
"3","","1009802","122911","1","","","","lsv_run","1009802152","0.2"
"2","","1009802","122911","-235","","0","0.8","-750","1009802153",""
"4","","1009802","122811","","","","","0","1009802154",""
"3","","1009802","122811","1","","","","lsv_run","1009802155","0.2"
"2","","1009802","122811","-220","","0","0.8","750","1009802156",""
"4","","1009802","122711","","","","","0","1009802157",""
"3","","1009802","122711","1","","","","lsv_run","1009802158","0.2"
"2","","1009802","122711","-250","","0","0.8","850","1009802159",""
"93","","1009802","0.6","","","","","","1009802160",""
"6","","1009802","122911","1","0","0","1","1","1009802161","0.2"
"6","","1009802","122811","1","0","0","1","1","1009802162","0.2"
"6","","1009802","122711","1","0","0","1","1","1009802163","0.2"
"91","","1009802","0","","","","","","1009802164",""
"1","lsv_idle_normal","1009803","1","101","0","-220","-700","100411","1009803001","1.95"
"1","lsv_idle_normal","1009803","1","100","0","-235","-550","103611","1009803002","1.95"
"1","lsv_idle_normal","1009803","1","102","0","-250","-800","102011","1009803003","1.95"
"5","lsv_white_loop","1009803","1","0","0","0","0","333","1009803004","1"
"6","","1009803","333","1","0","0","1","1","1009803005","0"
"31","","1009803","3","-630","","1.3","110","13","1009803006","0"
"6","","1009803","100411","1","0","0","1","1","1009803007","0"
"6","","1009803","103611","1","0","0","1","1","1009803008","0"
"6","","1009803","102011","1","0","0","1","1","1009803009","0"
"93","","1009803","1","","","","","0","1009803010",""
"6","","1009803","333","1","0","0.4","1","1","1009803011","0.8"
"3","","1009803","100411","1","","","","lsv_walk_glad","1009803012","0.2"
"2","","1009803","100411","-220","","0","2","-100","1009803013",""
"6","","1009803","100411","1","0","1","1","1","1009803014","0.4"
"3","","1009803","103611","1","","","","lsv_walk_glad2","1009803015","0.2"
"2","","1009803","103611","-235","","0","2.2","100","1009803016",""
"6","","1009803","103611","1","0","1","1","1","1009803017","0.4"
"3","","1009803","102011","1","","","","lsv_walk_glad","1009803018","0.2"
"2","","1009803","102011","-250","","0","2","-270","1009803019",""
"6","","1009803","102011","1","0","1","1","1","1009803020","0.4"
"32","","1009803","13","","","","","1","1009803021",""
"33","","1009803","13","110","","0","2","-180","1009803022",""
"93","","1009803","2","","","","","","1009803023",""
"32","","1009803","13","","","","","0","1009803024",""
"3","","1009803","100411","1","","","","lsv_idle_normal","1009803025","0.2"
"3","","1009803","102011","1","","","","lsv_idle_normal","1009803026","0.2"
"93","","1009803","0.2","","","","","","1009803027",""
"4","","1009803","103611","","","","","1","1009803028",""
"3","","1009803","103611","1","","","","lsv_idle_normal","1009803029","0.2"
"93","","1009803","0.5","","","","","","1009803030",""
"12","","1009803","100411","0.5","0","","","10","1009803031","0"
