dfb276dbe83da1cbbedc670960e476fb7d0f46abf850bd8386f178e39aa2dff6,a413713a022ee724dcf06c56ff1d2f41ba5dd488b3c522b790fed1aa0f592cf2,fb7e1aca4adf94ab4fb00b597855c531f0c866cd6b55005903dcf58287574a1e,2dccb81e1f9e2dbb512c2d0c22c8dd4bfbb974fc574f2938ec7b8a414c500582,e35c0491c16b0bf6d375fc002d1f804fcc776cdfff262628352c18ba33780659,f32f7e2dc8c07223fea5e25aea8536b92cb09ce7b463bf16db2348d32b4192da,b59f682ee54d538673b34a550126d17c049f032bfb6de21da0bebc4c104aad90,ea6d54c88e1b10200cdd0e4211c9583ff0e309864c26913c46f2039df3c42dd8,d0d6ee73745a1cd955e05a7562132fb1b3669f233f3b08484a620480b149720e,ba112f7da71414e1be243d88274b6dec1f3fea66440c806d7b4c78a49832b492,6661bdac27f0744eeb2df2b7e5ec8c8b860eaf58028be48a08b18528c2969d98,50527bbc84c461688ca0c67cfa3ab11254c1a1a047701d79405f4df2167b6cf5
"0","0","100980519","19","0","0","4","0","1","1.43","0","1009805"
"0.749","0","100980520","20","300","0","1","7","0","0","300","1009805"
"0","0","100980521","21","0","0","4","0","1","1.749","0","1009805"
"0","vo_lsv","100980522","22","0","vo_lsv_0505","2","0","0","0","0","1009805"
"0.65","0","100980523","23","300","0","1","8","0","0","0","1009805"
"0","0","100980524","24","0","0","4","0","1","0.65","0","1009805"
"1.753","0","100980525","25","300","0","1","8","0","0","300","1009805"
"0","0","100980526","26","0","0","4","0","1","1.753","0","1009805"
"0.929","0","100980527","27","300","0","1","9","0","0","0","1009805"
"0","0","100980528","28","0","0","4","0","1","1.929","0","1009805"
"0","vo_lsv","100980529","29","0","vo_lsv_0506","2","0","0","0","0","1009805"
"0.536","0","100980530","30","300","0","1","10","0","0","0","1009805"
"0","0","100980531","31","0","0","4","0","1","0.536","0","1009805"
"1.438","0","100980532","32","300","0","1","10","0","0","300","1009805"
"0","0","100980533","33","0","0","4","0","1","1.438","0","1009805"
"2.426","0","100980534","34","327","0","1","11","0","0","0","1009805"
"0","0","100980601","1","0","0","4","0","1","0.8","0","1009806"
"0","vo_lsv","100980602","2","0","vo_lsv_0601","2","0","0","0","0","1009806"
"2.5","0","100980603","3","330","0","1","1","0","0","0","1009806"
"0","0","100980604","4","0","0","4","0","1","2.5","0","1009806"
"1.5","0","100980605","5","350","0","1","2","0","0","0","1009806"
"0","0","100980606","6","0","0","4","0","1","2.5","0","1009806"
"0","vo_lsv","100980607","7","0","vo_lsv_0602","2","0","0","0","0","1009806"
"1.9","0","100980608","8","325","0","1","3","0","0","0","1009806"
"0","0","100980609","9","0","0","4","0","1","1.9","0","1009806"
"1.744","0","100980610","10","300","0","1","4","0","0","0","1009806"
"0","0","100980611","11","0","0","4","0","1","2.329","0","1009806"
"1.049","0","100980612","12","300","0","1","5","0","0","0","1009806"
"0","0","100980613","13","0","0","4","0","1","1.049","0","1009806"
"1.093","0","100980614","14","210","0","1","6","0","0","0","1009806"
"0","0","100980615","15","0","0","4","0","1","2.093","0","1009806"
"0","vo_lsv","100980616","16","0","vo_lsv_0603","2","0","0","0","0","1009806"
"1.9","0","100980617","17","300","0","1","7","0","0","0","1009806"
"0","0","100980618","18","0","0","4","0","1","1.9","0","1009806"
"2.4","0","100980619","19","300","0","1","8","0","0","0","1009806"
"0","0","100980620","20","0","0","4","0","1","2.4","0","1009806"
"1.65","0","100980621","21","300","0","1","9","0","0","0","1009806"
"0","0","100980622","22","0","0","4","0","1","2.65","0","1009806"
"0","vo_lsv","100980623","23","0","vo_lsv_0604","2","0","0","0","0","1009806"
"1.763","0","100980624","24","300","0","1","10","0","0","0","1009806"
"0","0","100980625","25","0","0","4","0","1","1.763","0","1009806"
"1.308","0","100980626","26","320","0","1","11","0","0","0","1009806"
"0","0","100980627","27","0","0","4","0","1","2.308","0","1009806"
"0","vo_lsv","100980628","28","0","vo_lsv_0605","2","0","0","0","0","1009806"
"1","0","100980629","29","320","0","1","12","0","0","0","1009806"
"0","0","100980630","30","0","0","4","0","1","1","0","1009806"
"1.853","0","100980631","31","320","0","1","12","0","0","320","1009806"
"0","0","100980701","1","0","0","4","0","1","0.8","0","1009807"
"0","vo_lsv","100980702","2","0","vo_lsv_0701","2","0","0","0","0","1009807"
"1.355","0","100980703","3","300","0","1","1","0","0","0","1009807"
"0","0","100980704","4","0","0","4","0","1","1.355","0","1009807"
"1.126","0","100980705","5","300","0","1","2","0","0","0","1009807"
"0","0","100980706","6","0","0","4","0","1","1.126","0","1009807"
"1.641","0","100980707","7","300","0","1","3","0","0","0","1009807"
"0","0","100980708","8","0","0","4","0","1","2","0","1009807"
"0","vo_lsv","100980709","9","0","vo_lsv_0702","2","0","0","0","0","1009807"
"1.325","0","100980710","10","300","0","1","4","0","0","0","1009807"
"0","0","100980711","11","0","0","4","0","1","1.325","0","1009807"
"1.891","0","100980712","12","327","0","1","5","0","0","0","1009807"
"0","0","100980713","13","0","0","4","0","1","2.437","0","1009807"
"1.93","0","100980714","14","327","0","1","6","0","0","0","1009807"
"0","0","100980715","15","0","0","4","0","1","2.93","0","1009807"
"0","vo_lsv","100980716","16","0","vo_lsv_0703","2","0","0","0","0","1009807"
"1.84","0","100980717","17","300","0","1","7","0","0","0","1009807"
"0","0","100980718","18","0","0","4","0","1","2.361","0","1009807"
"1.38","0","100980719","19","300","0","1","8","0","0","0","1009807"
"0","0","100980720","20","0","0","4","0","1","1.38","0","1009807"
"1.399","0","100980721","21","300","0","1","9","0","0","0","1009807"
"0","0","100980722","22","0","0","4","0","1","2.399","0","1009807"
"0","vo_lsv","100980723","23","0","vo_lsv_0704","2","0","0","0","0","1009807"
"2.268","0","100980724","24","300","0","1","10","0","0","0","1009807"
"0","0","100980725","25","0","0","4","0","1","2.268","0","1009807"
"1.299","0","100980726","26","300","0","1","11","0","0","0","1009807"
"0","0","100980801","1","0","0","4","0","1","0.8","0","1009808"
"0","vo_lsv","100980802","2","0","vo_lsv_0801","2","0","0","0","0","1009808"
"1.4","0","100980803","3","300","0","1","1","0","0","0","1009808"
"0","0","100980804","4","0","0","4","0","1","1.4","0","1009808"
"1","0","100980805","5","300","0","1","2","0","0","0","1009808"
"0","0","100980806","6","0","0","4","0","1","2","0","1009808"
"0","vo_lsv","100980807","7","0","vo_lsv_0802","2","0","0","0","0","1009808"
"1.6","0","100980808","8","300","0","1","3","0","0","0","1009808"
"0","0","100980809","9","0","0","4","0","1","1.8","0","1009808"
"1","0","100980810","10","300","0","1","4","0","0","0","1009808"
"0","0","100980811","11","0","0","4","0","1","1","0","1009808"
"1.5","0","100980812","12","300","0","1","4","0","0","300","1009808"
"0","0","100980813","13","0","0","4","0","1","2.5","0","1009808"
"0","vo_lsv","100980814","14","0","vo_lsv_0803","2","0","0","0","0","1009808"
"1.9","0","100980815","15","320","0","1","5","0","0","0","1009808"
"0","0","100980816","16","0","0","4","0","1","2.5","0","1009808"
"1.3","0","100980817","17","350","0","1","6","0","0","0","1009808"
"0","0","100980818","18","0","0","4","0","1","2.3","0","1009808"
"0","vo_lsv","100980819","19","0","vo_lsv_0804","2","0","0","0","0","1009808"
"1.3","0","100980820","20","300","0","1","7","0","0","0","1009808"
"0","0","100980821","21","0","0","4","0","1","1.3","0","1009808"
"1.5","0","100980822","22","300","0","1","8","0","0","0","1009808"
"0","0","100980823","23","0","0","4","0","1","2.5","0","1009808"
"0","vo_lsv","100980824","24","0","vo_lsv_0805","2","0","0","0","0","1009808"
"1.4","0","100980825","25","300","0","1","9","0","0","0","1009808"
"0","0","100980826","26","0","0","4","0","1","2.6","0","1009808"
"0","vo_lsv","100980827","27","0","vo_lsv_0806","2","0","0","0","0","1009808"
"1.363","0","100980828","28","327","0","1","10","0","0","15","1009808"
"0","0","100980901","1","0","0","4","0","1","0.8","0","1009809"
"0","vo_lsv","100980902","2","0","vo_lsv_0901","2","0","0","0","0","1009809"
"2.1","0","100980903","3","300","0","1","1","0","0","0","1009809"
"0","0","100980904","4","0","0","4","0","1","2.9","0","1009809"
"0","vo_lsv","100980905","5","0","vo_lsv_0902","2","0","0","0","0","1009809"
"2.46","0","100980906","6","327","0","1","2","0","0","0","1009809"
"0","0","100980907","7","0","0","4","0","1","2.64","0","1009809"
"1.845","0","100980908","8","327","0","1","2","0","0","327","1009809"
"0","0","100980909","9","0","0","4","0","1","1.85","0","1009809"
"1.735","0","100980910","10","300","0","1","3","0","0","0","1009809"
"0","0","100980911","11","0","0","4","0","1","2","0","1009809"
"0","vo_lsv","100980912","12","0","vo_lsv_0903","2","0","0","0","0","1009809"
"2.484","0","100980913","13","327","0","1","4","0","0","0","1009809"
"0","0","100980914","14","0","0","4","0","1","2.663","0","1009809"
"1.546","0","100980915","15","327","0","1","4","0","0","327","1009809"
"0","0","100980916","16","0","0","4","0","1","1.55","0","1009809"
"1.205","0","100980917","17","327","0","1","5","0","0","0","1009809"
"0","0","100980918","18","0","0","4","0","1","1.5","0","1009809"
"0","vo_lsv","100980919","19","0","vo_lsv_0904","2","0","0","0","0","1009809"
"2.079","0","100980920","20","327","0","1","6","0","0","0","1009809"
"0","0","100980921","21","0","0","4","0","1","2.4","0","1009809"
"2.05","0","100980922","22","327","0","1","7","0","0","0","1009809"
"0","0","100980923","23","0","0","4","0","1","2.35","0","1009809"
"2.55","0","100980924","24","327","0","1","8","0","0","0","1009809"
"0","0","100981001","1","0","0","4","0","1","0.8","0","1009810"
"0","vo_lsv","100981002","2","0","vo_lsv_1001","2","0","0","0","0","1009810"
"1.707","0","100981003","3","300","0","1","1","0","0","0","1009810"
"0","0","100981004","4","0","0","4","0","1","1.717","0","1009810"
"0.75","0","100981005","5","120","0","1","2","0","0","0","1009810"
"0","0","100981006","6","0","0","4","0","1","1.15","0","1009810"
"1.46","0","100981007","7","327","0","1","2","0","0","120","1009810"
"0","0","100981008","8","0","0","4","0","1","1.66","0","1009810"
"2.03","0","100981009","9","327","0","1","3","0","0","0","1009810"
"0","0","100981010","10","0","0","4","0","1","2.23","0","1009810"
"1.732","0","100981011","11","327","0","1","3","0","0","327","1009810"
"0","0","100981012","12","0","0","4","0","1","2.5","0","1009810"
"0","vo_lsv","100981013","13","0","vo_lsv_1002","2","0","0","0","0","1009810"
"1.9","0","100981014","14","300","0","1","4","0","0","0","1009810"
"0","0","100981015","15","0","0","4","0","1","1.949","0","1009810"
"2.05","0","100981016","16","327","0","1","5","0","0","0","1009810"
"0","0","100981017","17","0","0","4","0","1","2.08","0","1009810"
"0.8","0","100981018","18","327","0","1","5","0","0","327","1009810"
"0","0","100981019","19","0","0","4","0","1","2","0","1009810"
"0","vo_lsv","100981020","20","0","vo_lsv_1003","2","0","0","0","0","1009810"
"1.575","0","100981021","21","116","0","1","6","0","0","0","1009810"
"0","0","100981022","22","0","0","4","0","1","1.6","0","1009810"
"1.243","0","100981023","23","300","0","1","6","0","0","116","1009810"
"0","0","100981024","24","0","0","4","0","1","3","0","1009810"
"0","vo_lsv","100981025","25","0","vo_lsv_1004","2","0","0","0","0","1009810"
"1.867","0","100981026","26","300","0","1","7","0","0","0","1009810"
"0","0","100981027","27","0","0","4","0","1","2.067","0","1009810"
"0.956","0","100981028","28","327","0","1","8","0","0","0","1009810"
"0","0","100981029","29","0","0","4","0","1","1","0","1009810"
"1.851","0","100981030","30","160","0","1","9","0","0","0","1009810"
"0","0","100981031","31","0","0","4","0","1","1.88","0","1009810"
"1.172","0","100981032","32","160","0","1","9","0","0","160","1009810"
"0","0","100981033","33","0","0","4","0","1","2.5","0","1009810"
"0","vo_lsv","100981034","34","0","vo_lsv_1005","2","0","0","0","0","1009810"
"0.95","0","100981035","35","52","0","1","10","0","0","0","1009810"
"0","0","100981036","36","0","0","4","0","1","1.1","0","1009810"
"1.392","0","100981037","37","300","0","1","10","0","0","52","1009810"
"0","0","100981101","1","0","0","4","0","1","0.8","0","1009811"
"0","vo_lsv","100981102","2","0","vo_lsv_1101","2","0","0","0","0","1009811"
"1.813","0","100981103","3","300","0","1","1","0","0","0","1009811"
"0","0","100981104","4","0","0","4","0","1","2","0","1009811"
"1.065","0","100981105","5","280","0","1","2","0","0","0","1009811"
"0","0","100981106","6","0","0","4","0","1","1.095","0","1009811"
"2.176","0","100981107","7","327","0","1","3","0","0","0","1009811"
"0","0","100981108","8","0","0","4","0","1","3.1","0","1009811"
"0","vo_lsv","100981109","9","0","vo_lsv_1102","2","0","0","0","0","1009811"
"1.283","0","100981110","10","327","0","1","4","0","0","0","1009811"
"0","0","100981111","11","0","0","4","0","1","1.31","0","1009811"
"2.351","0","100981112","12","327","0","1","5","0","0","0","1009811"
"0","0","100981113","13","0","0","4","0","1","2.381","0","1009811"
"2.037","0","100981114","14","327","0","1","6","0","0","0","1009811"
"0","0","100981115","15","0","0","4","0","1","3","0","1009811"
"0","vo_lsv","100981116","16","0","vo_lsv_1103","2","0","0","0","0","1009811"
"2.637","0","100981117","17","327","0","1","7","0","0","0","1009811"
"0","0","100981118","18","0","0","4","0","1","3.23","0","1009811"
"1.789","0","100981119","19","327","0","1","8","0","0","0","1009811"
"0","0","100981120","20","0","0","4","0","1","1.81","0","1009811"
"0.763","0","100981121","21","167","0","1","9","0","0","0","1009811"
"0","0","100981122","22","0","0","4","0","1","0.893","0","1009811"
"1.079","0","100981123","23","327","0","1","9","0","0","167","1009811"
"0","0","100981124","24","0","0","4","0","1","1.1","0","1009811"
"1.424","0","100981125","25","327","0","1","9","0","0","327","1009811"
"0","0","100981126","26","0","0","4","0","1","2.5","0","1009811"
"0","vo_lsv","100981127","27","0","vo_lsv_1104","2","0","0","0","0","1009811"
"2.2","0","100981128","28","350","0","1","10","0","0","0","1009811"
"0","0","100981129","29","0","0","4","0","1","2.25","0","1009811"
"0.85","0","100981130","30","350","0","1","10","0","0","350","1009811"
"0","0","100981131","31","0","0","4","0","1","1.05","0","1009811"
"1.6","0","100981132","32","300","0","1","11","0","0","0","1009811"
"0","0","100981201","1","0","0","4","0","1","0.8","0","1009812"
"0","vo_lsv","100981202","2","0","vo_lsv_1201","2","0","0","0","0","1009812"
"2.379","0","100981203","3","300","0","1","1","0","0","0","1009812"
"0","0","100981204","4","0","0","4","0","1","3.5","0","1009812"
"0","vo_lsv","100981205","5","0","vo_lsv_1202","2","0","0","0","0","1009812"
"1.623","0","100981206","6","327","0","1","2","0","0","0","1009812"
"0","0","100981207","7","0","0","4","0","1","1.63","0","1009812"
"2.644","0","100981208","8","327","0","1","3","0","0","0","1009812"
"0","0","100981209","9","0","0","4","0","1","3.5","0","1009812"
"0","vo_lsv","100981210","10","0","vo_lsv_1203","2","0","0","0","0","1009812"
"1.502","0","100981211","11","300","0","1","4","0","0","0","1009812"
"0","0","100981212","12","0","0","4","0","1","1.51","0","1009812"
"2.171","0","100981213","13","327","0","1","5","0","0","0","1009812"
"0","0","100981214","14","0","0","4","0","1","2.2","0","1009812"
"1.319","0","100981215","15","155","0","1","6","0","0","0","1009812"
"0","0","100981216","16","0","0","4","0","1","1.8","0","1009812"
"0","vo_lsv","100981217","17","0","vo_lsv_1204","2","0","0","0","0","1009812"
"1.03","0","100981218","18","300","0","1","6","0","0","155","1009812"
"0","0","100981219","19","0","0","4","0","1","2","0","1009812"
"0","vo_lsv","100981220","20","0","vo_lsv_1205","2","0","0","0","0","1009812"
"3.21","0","100981221","21","300","0","1","7","0","0","0","1009812"
"0","0","100981222","22","0","0","4","0","1","3.25","0","1009812"
"0.887","0","100981223","23","327","0","1","8","0","0","0","1009812"
"0","0","100981224","24","0","0","4","0","1","2.25","0","1009812"
"0","vo_lsv","100981225","25","0","vo_lsv_1206","2","0","0","0","0","1009812"
"1.602","0","100981226","26","300","0","1","9","0","0","0","1009812"
"0","0","100981227","27","0","0","4","0","1","1.7","0","1009812"
"2.476","0","100981228","28","327","0","1","10","0","0","0","1009812"
"0","0","100981229","29","0","0","4","0","1","3.5","0","1009812"
"0","vo_lsv","100981230","30","0","vo_lsv_1207","2","0","0","0","0","1009812"
"1.155","0","100981231","31","355","0","1","11","0","0","0","1009812"
"0","0","100981232","32","0","0","4","0","1","1.18","0","1009812"
"1.28","0","100981233","33","355","0","1","11","0","0","355","1009812"
"0","0","100981301","1","0","0","4","0","1","0.8","0","1009813"
"0","vo_lsv","100981302","2","0","vo_lsv_1301","2","0","0","0","0","1009813"
"2.09","0","100981303","3","300","0","1","1","0","0","0","1009813"
"0","0","100981304","4","0","0","4","0","1","2.12","0","1009813"
"2.649","0","100981305","5","340","0","1","2","0","0","0","1009813"
"0","0","100981306","6","0","0","4","0","1","3.6","0","1009813"
"0","vo_lsv","100981307","7","0","vo_lsv_1302","2","0","0","0","0","1009813"
"2.138","0","100981308","8","300","0","1","3","0","0","0","1009813"
"0","0","100981309","9","0","0","4","0","1","2.17","0","1009813"
"2.111","0","100981310","10","327","0","1","4","0","0","0","1009813"
"0","0","100981311","11","0","0","4","0","1","2.45","0","1009813"
"2","0","100981312","12","327","0","1","5","0","0","0","1009813"
"0","0","100981313","13","0","0","4","0","1","2.3","0","1009813"
"1.354","0","100981314","14","290","0","1","6","0","0","0","1009813"
"0","0","100981315","15","0","0","4","0","1","3","0","1009813"
"0","vo_lsv","100981316","16","0","vo_lsv_1303","2","0","0","0","0","1009813"
"1.539","0","100981317","17","300","0","1","7","0","0","0","1009813"
"0","0","100981318","18","0","0","4","0","1","1.569","0","1009813"
"0.732","0","100981319","19","0","0","1","8","0","0","0","1009813"
"0","0","100981320","20","0","0","4","0","1","1.08","0","1009813"
"1.207","0","100981321","21","300","0","1","8","0","0","0","1009813"
"0","0","100981322","22","0","0","4","0","1","1.407","0","1009813"
"1.798","0","100981323","23","327","0","1","9","0","0","0","1009813"
"0","0","100981324","24","0","0","4","0","1","2.7","0","1009813"
"0","vo_lsv","100981325","25","0","vo_lsv_1304","2","0","0","0","0","1009813"
"1.633","0","100981326","26","300","0","1","10","0","0","0","1009813"
"0","0","100981401","1","0","0","4","0","1","0.8","0","1009814"
