88cbc0fc5fd01888a43f62a3eb24dd8046ebebd7c9b52b0911c4122a3b06e813,4c20db6898a562023c5920079e4816ebc38ffccb46cf426745a2af5034738527,efbb643247a935526ca0f88850e618e8fe0bc87255b98aaa8c8433fc43cfaac4,1915c5d6740846598c47e08905c20d264eb73a624cd5d0e45a54bfac1646053a,1e0a229f7e47a2f99b8ad90065d028c129c2463fa2ebdd9548d16cb0b5b54fcb,0ebe8605cdcfaa73a86ee571051c275cc4e6fab7f959f19605c25dbfd703fe87,0a6f7ccc998d92f2344f0736bca5bd3bdcbf8a30df5b25652e05e96c99781788,b91aa963184eab2983d77e865dcb592faeaaf91722513fd0ab408195c865774a,94790e7dda0823263dd2c8e181d79e485f3a023249d6f7f0e3ee1fe4380264a8,7e97170f416fc2527d0de167e7cebf5a5e41c4687644291000978dce149d3da6,471929f48703c0c4812914c6272c9120dbf2cc42fdaa3c7b97bc79d84f3cfa5a,c2810f6d44ab51fa7ef551d0d357b5251289858869d61410762168f57be75864,66fbb0aee13e8acc02cc77e2efc656e29bd6e30424f59d1826916fe233f4e3d3,6c5d016719f419f7dc3a996e5d2a4e2182327e990d1776114b89cb5b06459618,e86fae2a8ec14a9b58a242edf436e6ee00ba96bcde7bcd7c7332edf119e1d923,489621b2f1c5ff634c33dcc9b20b657371fbdb03209d8f889330ee1b21971c50,8a64aa2ecae6dd6bacf95df3d24d79a3e08c09f7ae97807c94814436a82a0c3f,1280a0e7b7223e7924628a3b87c3ca237dddbadd1d9ec2920098f5d2446d41f6,e7823bd5e6db4830b3b0240f64d2c4eee7fc7fde15ef390039da1a43793b5437,64e4759a18c7baadc3e66119db5f03ef2a6bf1b1a663bb5152f9314f9789eed3,2388ec6c8645515aab08e16a56de326f4b77f4dbdc588cf68c151a297e07cdd8,a9af709c27682315e7ec497c7e2dfd1d46930c7e4edce49fbc28af568272ee7a,d296af97a48f3414fd469a648c0d3c6d28fc8f2f7425db507a4929dd4a83a7aa,1590f044a6127ca46d74f56031f9894ff91f9261310db81d0968ff88a747ebb8,554aa9841b0cd3ae7b4ef671670dbab18d630d87f3954acd61a848013f2a837c,364ec0d639039d4347339c281537cae43b192993b6d3cbb9ef87cea9ce54aa5c,10668f25c927594c96b56aeb8ad1f8b1d436cd5d67caebbbed95c6028f9e3786,808bc10e868aabc4dd0b31898e51a88deb71d51a7ba9bdea83ebea97b190edb7,d6a6a8a7bc658b43fb3c85aab17c912d236f9798d46c32ab7c7fe9c878f28a6b,2c1aabaabb48a8246e9d1ad015b4b6f9beae59889b927ae2d6748132d0c97480,bf5811f881c5e1a6b54750a89a2b92b3dedf50e9e4b3726750bf4bb37f51f314,bfe52fbfb6a7b315324c8e3ff3990aa28815ecbd1905e2272cf4721a458061a5,1143920a33cc78fc24a0a12aabfb8ce1ff7451ca9c621df0f695ea22179b99eb,f08afd5e0f4c1e029b5ea1df25c22fa3fbff0df1224e1cd2792248f90cf1d04c,ef90af3f1a7bc78185f21aed8b34b61717bc90d07e5d5f08c4921b7864df557c,27bbf0acc06971e73cee3283b9501ce1600fce7f38d37c180da7a61e04689c57,83100b8f5e5ed47d78562d2db897fa32b6ae4a336399f3c84ce5e86ad2f9c176,34dfdfb6d0fdd499454c1f96b9e1b272583f50a9593a790387a28249c07e0c83,faa6c8302153a9b50de36e31738af8acc408217711f2654ecfd612994205de07,75a32cf206f3979a2618c2c2d9ab635d0658b074c7c3cd14eebd5d41235d10ac
"22","22","0","1","10","200000006","22","22","0","225","22","0","22","22","0","22","22","17","22","22","22","0","20","0","22","22","22","0","200100","0","0","30","2005","22","0","1","22","10","1","620010022"
"23","23","0","1","10","200000006","23","23","0","245","23","0","23","23","0","23","23","18","23","23","23","0","21","0","23","23","23","0","200100","0","0","30","2225","23","0","1","23","10","1","620010023"
"24","24","0","1","10","200000006","24","24","0","264","24","0","24","24","0","24","24","20","24","24","24","0","23","0","24","24","24","0","200100","0","0","30","2446","24","0","1","24","10","1","620010024"
"25","25","0","1","10","200000006","25","25","0","267","25","0","25","25","0","25","25","21","25","25","25","0","24","0","25","25","25","0","200100","0","0","30","2701","25","0","1","25","10","1","620010025"
"26","26","0","1","10","200000006","26","26","0","269","26","0","26","26","0","26","26","21","26","26","26","0","24","0","26","26","26","0","200100","0","0","30","2956","26","0","1","26","10","1","620010026"
"27","27","0","1","10","200000006","27","27","0","289","27","0","27","27","0","27","27","21","27","27","27","0","24","0","27","27","27","0","200100","0","0","30","3211","27","0","1","27","10","1","620010027"
"28","28","0","1","10","200000006","28","28","0","309","28","0","28","28","0","28","28","21","28","28","28","0","25","0","28","28","28","0","200100","0","0","30","3466","28","0","1","28","10","1","620010028"
"29","29","0","1","10","200000006","29","29","0","330","29","0","29","29","0","29","29","22","29","29","29","0","25","0","29","29","29","0","200100","0","0","30","3721","29","0","1","29","10","1","620010029"
"30","30","0","1","10","200000006","30","30","0","350","30","0","30","30","0","30","30","22","30","30","30","0","25","0","30","30","30","0","200100","0","0","30","3976","30","0","1","30","10","1","620010030"
"31","31","0","1","10","200000006","31","31","0","370","31","0","31","31","0","31","31","22","31","31","31","0","26","0","31","31","31","0","200100","0","0","30","4232","31","0","1","31","10","1","620010031"
"32","32","0","1","10","200000006","32","32","0","390","32","0","32","32","0","32","32","22","32","32","32","0","26","0","32","32","32","0","200100","0","0","30","4487","32","0","1","32","10","1","620010032"
"33","33","0","1","10","200000006","33","33","0","410","33","0","33","33","0","33","33","22","33","33","33","0","26","0","33","33","33","0","200100","0","0","30","4742","33","0","1","33","10","1","620010033"
"34","34","0","1","10","200000006","34","34","0","431","34","0","34","34","0","34","34","23","34","34","34","0","26","0","34","34","34","0","200100","0","0","30","4997","34","0","1","34","10","1","620010034"
"35","35","0","1","10","200000006","35","35","0","451","35","0","35","35","0","35","35","23","35","35","35","0","27","0","35","35","35","0","200100","0","0","30","5252","35","0","1","35","10","1","620010035"
"36","36","0","1","10","200000006","36","36","0","471","36","0","36","36","0","36","36","23","36","36","36","0","27","0","36","36","36","0","200100","0","0","30","5507","36","0","1","36","10","1","620010036"
"37","37","0","1","10","200000006","37","37","0","516","37","0","37","37","0","37","37","27","37","37","37","0","31","0","37","37","37","0","200100","0","0","30","5667","37","0","1","37","10","1","620010037"
"38","38","0","1","10","200000006","38","38","0","562","38","0","38","38","0","38","38","31","38","38","38","0","35","0","38","38","38","0","200100","0","0","30","5826","38","0","1","38","10","1","620010038"
"39","39","0","1","10","200000006","39","39","0","607","39","0","39","39","0","39","39","35","39","39","39","0","39","0","39","39","39","0","200100","0","0","30","5986","39","0","1","39","10","1","620010039"
"40","40","0","1","10","200000006","40","40","0","712","40","0","40","40","0","40","40","36","40","40","40","0","40","0","40","40","40","0","200100","0","0","30","7437","40","0","1","40","10","1","620010040"
"41","41","0","1","10","200000006","41","41","0","816","41","0","41","41","0","41","41","36","41","41","41","0","40","0","41","41","41","0","200100","0","0","30","8888","41","0","1","41","10","1","620010041"
"42","42","0","1","10","200000006","42","42","0","913","42","0","42","42","0","42","42","36","42","42","42","0","41","0","42","42","42","0","200100","0","0","30","9321","42","0","1","42","10","1","620010042"
"43","43","0","1","10","200000006","43","43","0","1010","43","0","43","43","0","43","43","36","43","43","43","0","41","0","43","43","43","0","200100","0","0","30","9754","43","0","1","43","10","1","620010043"
"44","44","0","1","10","200000006","44","44","0","1079","44","0","44","44","0","44","44","38","44","44","44","0","45","0","44","44","44","0","200100","0","0","30","10008","44","0","1","44","10","1","620010044"
"45","45","0","1","10","200000006","45","45","0","1148","45","0","45","45","0","45","45","41","45","45","45","0","49","0","45","45","45","0","200100","0","0","30","10263","45","0","1","45","10","1","620010045"
"46","46","0","1","10","200000006","46","46","0","1217","46","0","46","46","0","46","46","43","46","46","46","0","53","0","46","46","46","0","200100","0","0","30","10517","46","0","1","46","10","1","620010046"
"47","47","0","1","10","200000006","47","47","0","1286","47","0","47","47","0","47","47","45","47","47","47","0","57","0","47","47","47","0","200100","0","0","30","10771","47","0","1","47","10","1","620010047"
"48","48","0","1","10","200000006","48","48","0","1355","48","0","48","48","0","48","48","48","48","48","48","0","61","0","48","48","48","0","200100","0","0","30","11026","48","0","1","48","10","1","620010048"
"49","49","0","1","10","200000006","49","49","0","1424","49","0","49","49","0","49","49","50","49","49","49","0","65","0","49","49","49","0","200100","0","0","30","11280","49","0","1","49","10","1","620010049"
"50","50","0","1","10","200000006","50","50","0","1493","50","0","50","50","0","50","50","52","50","50","50","0","69","0","50","50","50","0","200100","0","0","30","11534","50","0","1","50","10","1","620010050"
"51","51","0","1","10","200000006","51","51","0","1562","51","0","51","51","0","51","51","55","51","51","51","0","73","0","51","51","51","0","200100","0","0","30","11789","51","0","1","51","10","1","620010051"
"52","52","0","1","10","200000006","52","52","0","1632","52","0","52","52","0","52","52","57","52","52","52","0","77","0","52","52","52","0","200100","0","0","30","12043","52","0","1","52","10","1","620010052"
"53","53","0","1","10","200000006","53","53","0","1701","53","0","53","53","0","53","53","59","53","53","53","0","81","0","53","53","53","0","200100","0","0","30","12297","53","0","1","53","10","1","620010053"
"54","54","0","1","10","200000006","54","54","0","1770","54","0","54","54","0","54","54","62","54","54","54","0","85","0","54","54","54","0","200100","0","0","30","12552","54","0","1","54","10","1","620010054"
"55","55","0","1","10","200000006","55","55","0","1839","55","0","55","55","0","55","55","64","55","55","55","0","89","0","55","55","55","0","200100","0","0","30","12806","55","0","1","55","10","1","620010055"
"56","56","0","1","10","200000006","56","56","0","1908","56","0","56","56","0","56","56","66","56","56","56","0","93","0","56","56","56","0","200100","0","0","30","13060","56","0","1","56","10","1","620010056"
"57","57","0","1","10","200000006","57","57","0","1977","57","0","57","57","0","57","57","69","57","57","57","0","97","0","57","57","57","0","200100","0","0","30","13315","57","0","1","57","10","1","620010057"
"58","58","0","1","10","200000006","58","58","0","2046","58","0","58","58","0","58","58","71","58","58","58","0","101","0","58","58","58","0","200100","0","0","30","13569","58","0","1","58","10","1","620010058"
"59","59","0","1","10","200000006","59","59","0","2115","59","0","59","59","0","59","59","73","59","59","59","0","105","0","59","59","59","0","200100","0","0","30","13823","59","0","1","59","10","1","620010059"
"60","60","0","1","10","200000006","60","60","0","2184","60","0","60","60","0","60","60","76","60","60","60","0","109","0","60","60","60","0","200100","0","0","30","14078","60","0","1","60","10","1","620010060"
"61","61","0","1","10","200000006","61","61","0","2253","61","0","61","61","0","61","61","78","61","61","61","0","113","0","61","61","61","0","200100","0","0","30","14332","61","0","1","61","10","1","620010061"
"62","62","0","1","10","200000006","62","62","0","2280","62","0","62","62","0","62","62","79","62","62","62","0","113","0","62","62","62","0","200100","0","0","30","15514","62","0","1","62","10","1","620010062"
"63","63","0","1","10","200000006","63","63","0","2306","63","0","63","63","0","63","63","79","63","63","63","0","114","0","63","63","63","0","200100","0","0","30","16696","63","0","1","63","10","1","620010063"
"64","64","0","1","10","200000006","64","64","0","2333","64","0","64","64","0","64","64","80","64","64","64","0","114","0","64","64","64","0","200100","0","0","30","17878","64","0","1","64","10","1","620010064"
"65","65","0","1","10","200000006","65","65","0","2359","65","0","65","65","0","65","65","81","65","65","65","0","114","0","65","65","65","0","200100","0","0","30","19060","65","0","1","65","10","1","620010065"
"66","66","0","1","10","200000006","66","66","0","2386","66","0","66","66","0","66","66","82","66","66","66","0","115","0","66","66","66","0","200100","0","0","30","20242","66","0","1","66","10","1","620010066"
"67","67","0","1","10","200000006","67","67","0","2412","67","0","67","67","0","67","67","82","67","67","67","0","115","0","67","67","67","0","200100","0","0","30","21425","67","0","1","67","10","1","620010067"
"68","68","0","1","10","200000006","68","68","0","2439","68","0","68","68","0","68","68","83","68","68","68","0","115","0","68","68","68","0","200100","0","0","30","22607","68","0","1","68","10","1","620010068"
"69","69","0","1","10","200000006","69","69","0","2466","69","0","69","69","0","69","69","84","69","69","69","0","116","0","69","69","69","0","200100","0","0","30","23789","69","0","1","69","10","1","620010069"
"70","70","0","1","10","200000006","70","70","0","2492","70","0","70","70","0","70","70","85","70","70","70","0","116","0","70","70","70","0","200100","0","0","30","24971","70","0","1","70","10","1","620010070"
"71","71","0","1","10","200000006","71","71","0","2519","71","0","71","71","0","71","71","85","71","71","71","0","116","0","71","71","71","0","200100","0","0","30","26153","71","0","1","71","10","1","620010071"
"1","1","0","1","10","200000001","1","1","0","108","1","0","1","1","0","1","1","10","1","1","1","0","8","0","1","1","1","0","200200","0","0","30","924","1","0","1","1","10","1","620020001"
"2","2","0","1","10","200000001","2","2","0","111","2","0","2","2","0","2","2","10","2","2","2","0","8","0","2","2","2","0","200200","0","0","30","927","2","0","1","2","10","1","620020002"
"3","3","0","1","10","200000001","3","3","0","114","3","0","3","3","0","3","3","10","3","3","3","0","8","0","3","3","3","0","200200","0","0","30","930","3","0","1","3","10","1","620020003"
"4","4","0","1","10","200000001","4","4","0","117","4","0","4","4","0","4","4","11","4","4","4","0","9","0","4","4","4","0","200200","0","0","30","933","4","0","1","4","10","1","620020004"
"5","5","0","1","10","200000001","5","5","0","120","5","0","5","5","0","5","5","11","5","5","5","0","9","0","5","5","5","0","200200","0","0","30","936","5","0","1","5","10","1","620020005"
"6","6","0","1","10","200000001","6","6","0","123","6","0","6","6","0","6","6","11","6","6","6","0","9","0","6","6","6","0","200200","0","0","30","939","6","0","1","6","10","1","620020006"
"7","7","0","1","10","200000001","7","7","0","126","7","0","7","7","0","7","7","12","7","7","7","0","10","0","7","7","7","0","200200","0","0","30","942","7","0","1","7","10","1","620020007"
"8","8","0","1","10","200000001","8","8","0","129","8","0","8","8","0","8","8","12","8","8","8","0","10","0","8","8","8","0","200200","0","0","30","945","8","0","1","8","10","1","620020008"
"9","9","0","1","10","200000001","9","9","0","132","9","0","9","9","0","9","9","12","9","9","9","0","10","0","9","9","9","0","200200","0","0","30","948","9","0","1","9","10","1","620020009"
"10","10","0","1","10","200000001","10","10","0","135","10","0","10","10","0","10","10","13","10","10","10","0","11","0","10","10","10","0","200200","0","0","30","951","10","0","1","10","10","1","620020010"
"11","11","0","1","10","200000001","11","11","0","138","11","0","11","11","0","11","11","13","11","11","11","0","11","0","11","11","11","0","200200","0","0","30","954","11","0","1","11","10","1","620020011"
"12","12","0","1","10","200000001","12","12","0","141","12","0","12","12","0","12","12","13","12","12","12","0","11","0","12","12","12","0","200200","0","0","30","957","12","0","1","12","10","1","620020012"
"13","13","0","1","10","200000001","13","13","0","144","13","0","13","13","0","13","13","14","13","13","13","0","12","0","13","13","13","0","200200","0","0","30","960","13","0","1","13","10","1","620020013"
"14","14","0","1","10","200000001","14","14","0","147","14","0","14","14","0","14","14","14","14","14","14","0","12","0","14","14","14","0","200200","0","0","30","963","14","0","1","14","10","1","620020014"
"15","15","0","1","10","200000001","15","15","0","151","15","0","15","15","0","15","15","15","15","15","15","0","13","0","15","15","15","0","200200","0","0","30","966","15","0","1","15","10","1","620020015"
"16","16","0","1","10","200000001","16","16","0","175","16","0","16","16","0","16","16","15","16","16","16","0","13","0","16","16","16","0","200200","0","0","30","1322","16","0","1","16","10","1","620020016"
"17","17","0","1","10","200000001","17","17","0","199","17","0","17","17","0","17","17","15","17","17","17","0","13","0","17","17","17","0","200200","0","0","30","1678","17","0","1","17","10","1","620020017"
"18","18","0","1","10","200000001","18","18","0","207","18","0","18","18","0","18","18","15","18","18","18","0","13","0","18","18","18","0","200200","0","0","30","1884","18","0","1","18","10","1","620020018"
"19","19","0","1","10","200000001","19","19","0","215","19","0","19","19","0","19","19","16","19","19","19","0","14","0","19","19","19","0","200200","0","0","30","2090","19","0","1","19","10","1","620020019"
"20","20","0","1","10","200000001","20","20","0","223","20","0","20","20","0","20","20","16","20","20","20","0","14","0","20","20","20","0","200200","0","0","30","2296","20","0","1","20","10","1","620020020"
"21","21","0","1","10","200000001","21","21","0","237","21","0","21","21","0","21","21","17","21","21","21","0","14","0","21","21","21","0","200200","0","0","30","2377","21","0","1","21","10","1","620020021"
"22","22","0","1","10","200000001","22","22","0","251","22","0","22","22","0","22","22","17","22","22","22","0","14","0","22","22","22","0","200200","0","0","30","2458","22","0","1","22","10","1","620020022"
"23","23","0","1","10","200000001","23","23","0","251","23","0","23","23","0","23","23","17","23","23","23","0","14","0","23","23","23","0","200200","0","0","30","2658","23","0","1","23","10","1","620020023"
"24","24","0","1","10","200000001","24","24","0","268","24","0","24","24","0","24","24","19","24","24","24","0","16","0","24","24","24","0","200200","0","0","30","2829","24","0","1","24","10","1","620020024"
"25","25","0","1","10","200000001","25","25","0","285","25","0","25","25","0","25","25","21","25","25","25","0","18","0","25","25","25","0","200200","0","0","30","2999","25","0","1","25","10","1","620020025"
"26","26","0","1","10","200000001","26","26","0","302","26","0","26","26","0","26","26","24","26","26","26","0","19","0","26","26","26","0","200200","0","0","30","3170","26","0","1","26","10","1","620020026"
"27","27","0","1","10","200000001","27","27","0","319","27","0","27","27","0","27","27","26","27","27","27","0","21","0","27","27","27","0","200200","0","0","30","3340","27","0","1","27","10","1","620020027"
"28","28","0","1","10","200000001","28","28","0","336","28","0","28","28","0","28","28","28","28","28","28","0","23","0","28","28","28","0","200200","0","0","30","3511","28","0","1","28","10","1","620020028"
"29","29","0","1","10","200000001","29","29","0","380","29","0","29","29","0","29","29","29","29","29","29","0","23","0","29","29","29","0","200200","0","0","30","4632","29","0","1","29","10","1","620020029"
"30","30","0","1","10","200000001","30","30","0","412","30","0","30","30","0","30","30","29","30","30","30","0","23","0","30","30","30","0","200200","0","0","30","4717","30","0","1","30","10","1","620020030"
"31","31","0","1","10","200000001","31","31","0","443","31","0","31","31","0","31","31","28","31","31","31","0","23","0","31","31","31","0","200200","0","0","30","4802","31","0","1","31","10","1","620020031"
"32","32","0","1","10","200000001","32","32","0","432","32","0","32","32","0","32","32","28","32","32","32","0","23","0","32","32","32","0","200200","0","0","30","4887","32","0","1","32","10","1","620020032"
"33","33","0","1","10","200000001","33","33","0","420","33","0","33","33","0","33","33","28","33","33","33","0","23","0","33","33","33","0","200200","0","0","30","4972","33","0","1","33","10","1","620020033"
"34","34","0","1","10","200000001","34","34","0","499","34","0","34","34","0","34","34","28","34","34","34","0","24","0","34","34","34","0","200200","0","0","30","5985","34","0","1","34","10","1","620020034"
"35","35","0","1","10","200000001","35","35","0","525","35","0","35","35","0","35","35","32","35","35","35","0","27","0","35","35","35","0","200200","0","0","30","6241","35","0","1","35","10","1","620020035"
"36","36","0","1","10","200000001","36","36","0","550","36","0","36","36","0","36","36","36","36","36","36","0","30","0","36","36","36","0","200200","0","0","30","6497","36","0","1","36","10","1","620020036"
"37","37","0","1","10","200000001","37","37","0","576","37","0","37","37","0","37","37","39","37","37","37","0","32","0","37","37","37","0","200200","0","0","30","6752","37","0","1","37","10","1","620020037"
"38","38","0","1","10","200000001","38","38","0","601","38","0","38","38","0","38","38","43","38","38","38","0","35","0","38","38","38","0","200200","0","0","30","7008","38","0","1","38","10","1","620020038"
"39","39","0","1","10","200000001","39","39","0","671","39","0","39","39","0","39","39","42","39","39","39","0","33","0","39","39","39","0","200200","0","0","30","7387","39","0","1","39","10","1","620020039"
"40","40","0","1","10","200000001","40","40","0","679","40","0","40","40","0","40","40","44","40","40","40","0","35","0","40","40","40","0","200200","0","0","30","8119","40","0","1","40","10","1","620020040"
"41","41","0","1","10","200000001","41","41","0","729","41","0","41","41","0","41","41","46","41","41","41","0","37","0","41","41","41","0","200200","0","0","30","9635","41","0","1","41","10","1","620020041"
"42","42","0","1","10","200000001","42","42","0","778","42","0","42","42","0","42","42","47","42","42","42","0","38","0","42","42","42","0","200200","0","0","30","11151","42","0","1","42","10","1","620020042"
"43","43","0","1","10","200000001","43","43","0","790","43","0","43","43","0","43","43","47","43","43","43","0","38","0","43","43","43","0","200200","0","0","30","11476","43","0","1","43","10","1","620020043"
"44","44","0","1","10","200000001","44","44","0","802","44","0","44","44","0","44","44","47","44","44","44","0","39","0","44","44","44","0","200200","0","0","30","11802","44","0","1","44","10","1","620020044"
"45","45","0","1","10","200000001","45","45","0","814","45","0","45","45","0","45","45","47","45","45","45","0","39","0","45","45","45","0","200200","0","0","30","12127","45","0","1","45","10","1","620020045"
"46","46","0","1","10","200000001","46","46","0","971","46","0","46","46","0","46","46","48","46","46","46","0","40","0","46","46","46","0","200200","0","0","30","13833","46","0","1","46","10","1","620020046"
"47","47","0","1","10","200000001","47","47","0","1128","47","0","47","47","0","47","47","49","47","47","47","0","40","0","47","47","47","0","200200","0","0","30","15539","47","0","1","47","10","1","620020047"
"48","48","0","1","10","200000001","48","48","0","1284","48","0","48","48","0","48","48","50","48","48","48","0","41","0","48","48","48","0","200200","0","0","30","17245","48","0","1","48","10","1","620020048"
