a704e5f385d9bac4eed9377ba3ee536cedfe5cc22bae8ea43dadfb12416f9bd2,ca9e83e39f7a68d1e6d9fd599ef32cac67698e02db0b6075b704ef8834fc58dc,552526357b334ef60b55be5d18e66cdc4e3a19a125e54e73435b02fd89fdbe35,86584faca590647390936aa27c1cbab09f23b4f3e8ef85ca64ac2e50ac02a482,408ed87868fa99e369d15af2cabb763ede1e3b2c0e501b581c60f2bbcc2ad508,eea7455dcc50145bd3d241609b03de4226767c1474aab688c001a5f4b1c1f5e8,9238e5f2c4f8d240928938d0ea731950e50f1126561f4be3cd0fc6415b1c32ae,abf7af128053447608e5541189c7d0da0b21e934b7ed7e34b8fe5f3ccc1d7f4e,8e8fdac58519650edd8f2d400a2d50789a0c86365a4b2fed6690e14005406fbe,ca8546d968613d7b56404833eab958cbc225e17c65bd1cdba9914a39b48715fb
"3089","40","6","1300030","3088","375","1","3090","13050","3"
"4002","29","3","2100001","4001","700","2","4003","9360","1"
"4005","29","5","2100002","4004","700","2","4006","9360","1"
"4008","29","7","2100003","4007","700","2","4009","9360","1"
"4011","29","3","2100004","4010","700","2","4012","9360","1"
"4014","29","5","2100005","4013","700","2","4015","9360","1"
"4017","29","7","2100006","4016","700","2","4018","9360","1"
"4020","30","3","2100007","4019","575","2","4021","10590","1"
"4023","30","5","2100008","4022","575","2","4024","10590","1"
"4026","30","7","2100009","4025","575","2","4027","10590","1"
"4029","30","3","2100010","4028","575","2","4030","10590","1"
"5002","33","3","2200001","5001","700","2","5003","9360","2"
"5005","33","5","2200002","5004","700","2","5006","9360","2"
"5008","33","7","2200003","5007","700","2","5009","9360","2"
"5011","33","3","2200004","5010","700","2","5012","9360","2"
"5014","33","5","2200005","5013","700","2","5015","9360","2"
"5017","33","7","2200006","5016","700","2","5018","9360","2"
"5020","33","3","2200007","5019","700","2","5021","9360","2"
"5023","33","5","2200008","5022","700","2","5024","9360","2"
"5026","33","7","2200009","5025","700","2","5027","9360","2"
"5029","33","3","2200010","5028","700","2","5030","9360","2"
"5032","33","5","2200011","5031","700","2","5033","9360","2"
"5035","33","7","2200012","5034","700","2","5036","9360","2"
"5038","34","3","2200013","5037","575","2","5039","10590","2"
"5041","34","5","2200014","5040","575","2","5042","10590","2"
"5044","34","7","2200015","5043","575","2","5045","10590","2"
"5047","34","3","2200016","5046","575","2","5048","10590","2"
"5050","34","5","2200017","5049","575","2","5051","10590","2"
"5053","34","7","2200018","5052","575","2","5054","10590","2"
"5056","34","5","2200019","5055","575","2","5057","10590","2"
"5059","34","7","2200020","5058","575","2","5060","10590","2"
"6002","33","3","2300001","6001","700","2","6003","9360","3"
"6005","33","5","2300002","6004","700","2","6006","9360","3"
"6008","33","7","2300003","6007","700","2","6009","9360","3"
"6011","33","3","2300004","6010","700","2","6012","9360","3"
"6014","33","5","2300005","6013","700","2","6015","9360","3"
"6017","33","7","2300006","6016","700","2","6018","9360","3"
"6020","33","3","2300007","6019","700","2","6021","9360","3"
"6023","33","5","2300008","6022","700","2","6024","9360","3"
"6026","33","7","2300009","6025","700","2","6027","9360","3"
"6029","33","3","2300010","6028","700","2","6030","9360","3"
"6032","33","5","2300011","6031","700","2","6033","9360","3"
"6035","33","7","2300012","6034","700","2","6036","9360","3"
"6038","33","3","2300013","6037","700","2","6039","9360","3"
"6041","33","5","2300014","6040","700","2","6042","9360","3"
"6044","33","7","2300015","6043","700","2","6045","9360","3"
"6047","33","3","2300016","6046","700","2","6048","9360","3"
"6050","33","5","2300017","6049","700","2","6051","9360","3"
"6053","33","7","2300018","6052","700","2","6054","9360","3"
"6056","34","3","2300019","6055","575","2","6057","10590","3"
"6059","34","5","2300020","6058","575","2","6060","10590","3"
"6062","34","7","2300021","6061","575","2","6063","10590","3"
"6065","34","3","2300022","6064","575","2","6066","10590","3"
"6068","34","5","2300023","6067","575","2","6069","10590","3"
"6071","34","7","2300024","6070","575","2","6072","10590","3"
"6074","34","3","2300025","6073","575","2","6075","10590","3"
"6077","34","5","2300026","6076","575","2","6078","10590","3"
"6080","34","7","2300027","6079","575","2","6081","10590","3"
"6083","34","3","2300028","6082","575","2","6084","10590","3"
"6086","34","5","2300029","6085","575","2","6087","10590","3"
"6089","34","7","2300030","6088","575","2","6090","10590","3"
"7002","39","1","3100001","7001","340","3","7003","14280","1"
"7005","39","1","3100002","7004","340","3","7006","14280","1"
"7008","39","1","3100003","7007","340","3","7009","14280","1"
"7011","39","1","3100004","7010","340","3","7012","14280","1"
"7014","39","1","3100005","7013","340","3","7015","14280","1"
"7017","39","1","3100006","7016","340","3","7018","14280","1"
"7020","36","1","3100007","7019","375","3","7021","13050","1"
"7023","36","1","3100008","7022","375","3","7024","13050","1"
"7026","36","1","3100009","7025","375","3","7027","13050","1"
"7029","36","1","3100010","7028","375","3","7030","13050","1"
"8002","41","1","3200001","8001","340","3","8003","14280","2"
"8005","41","1","3200002","8004","340","3","8006","14280","2"
"8008","41","1","3200003","8007","340","3","8009","14280","2"
"8011","41","1","3200004","8010","340","3","8012","14280","2"
"8014","41","1","3200005","8013","340","3","8015","14280","2"
"8017","41","1","3200006","8016","340","3","8018","14280","2"
"8020","41","1","3200007","8019","340","3","8021","14280","2"
"8023","41","1","3200008","8022","340","3","8024","14280","2"
"8026","41","1","3200009","8025","340","3","8027","14280","2"
"8029","41","1","3200010","8028","340","3","8030","14280","2"
"8032","41","1","3200011","8031","340","3","8033","14280","2"
"8035","41","1","3200012","8034","340","3","8036","14280","2"
"8038","38","1","3200013","8037","375","3","8039","13050","2"
"8041","38","1","3200014","8040","375","3","8042","13050","2"
"8044","38","1","3200015","8043","375","3","8045","13050","2"
"8047","38","1","3200016","8046","375","3","8048","13050","2"
"8050","38","1","3200017","8049","375","3","8051","13050","2"
"8053","38","1","3200018","8052","375","3","8054","13050","2"
"8056","38","1","3200019","8055","375","3","8057","13050","2"
"8059","38","1","3200020","8058","375","3","8060","13050","2"
"9002","40","1","3300001","9001","340","3","9003","14280","3"
"9005","40","1","3300002","9004","340","3","9006","14280","3"
"9008","40","1","3300003","9007","340","3","9009","14280","3"
"9011","40","1","3300004","9010","340","3","9012","14280","3"
"9014","40","1","3300005","9013","340","3","9015","14280","3"
"9017","40","1","3300006","9016","340","3","9018","14280","3"
"9020","40","1","3300007","9019","340","3","9021","14280","3"
"9023","40","1","3300008","9022","340","3","9024","14280","3"
"9026","40","1","3300009","9025","340","3","9027","14280","3"
"9029","40","1","3300010","9028","340","3","9030","14280","3"
"9032","40","1","3300011","9031","340","3","9033","14280","3"
"9035","40","1","3300012","9034","340","3","9036","14280","3"
"9038","40","1","3300013","9037","340","3","9039","14280","3"
"9041","40","1","3300014","9040","340","3","9042","14280","3"
"9044","40","1","3300015","9043","340","3","9045","14280","3"
"9047","40","1","3300016","9046","340","3","9048","14280","3"
"9050","40","1","3300017","9049","340","3","9051","14280","3"
"9053","40","1","3300018","9052","340","3","9054","14280","3"
"9056","39","1","3300019","9055","375","3","9057","13050","3"
"9059","39","1","3300020","9058","375","3","9060","13050","3"
"9062","39","1","3300021","9061","375","3","9063","13050","3"
"9065","39","1","3300022","9064","375","3","9066","13050","3"
"9068","39","1","3300023","9067","375","3","9069","13050","3"
"9071","39","1","3300024","9070","375","3","9072","13050","3"
"9074","39","1","3300025","9073","375","3","9075","13050","3"
"9077","39","1","3300026","9076","375","3","9078","13050","3"
"9080","39","1","3300027","9079","375","3","9081","13050","3"
"9083","39","1","3300028","9082","375","3","9084","13050","3"
"9086","39","1","3300029","9085","375","3","9087","13050","3"
"9089","39","1","3300030","9088","375","3","9090","13050","3"
