56b8051dbf7029dd2ffdec09c8e1bdc2e2dd7eba62e849ca31fc9bdaff59a034,ed9c54a950f5a86a25dd2095c2e883f50621a318fa317ae268027d958b816a86,5b8b9d1adb52e0e0482631b4096c7052adcbcc23ddc6927001d89cd7427a3518,e193fb909cb3d538049c48d7c706e6d636ed8970059c465ea59bcdaf23524c6f,a959d397f1c098a0d1f194f148e3ee20664524bf7ac34043e4c1e9fcafbb88f8,c9952fac694d5958d62f267e2b88728a299aeae33e5b16232bc6b062acea1332,97e172b526c7489895ca494f9caf5668d2ae43fd8f2b5e0e676fd539c545b5c7,a1996958e5b0bef358fe3dcaa0f27f0f88e2c64f0bf5bdecdcd22847d0ceb6ec,4a3c058f16ec1bf05e62a5d6af0f9989edd8eb978cdd94880dd103fc02078fd7,d79534bff15f22ee8a03a327539d5e0be66c31103b619925d4e3dcd6e41012e6,e89fd2b56c6c28431563d2a206caec977bf91434836adbfd3426e0f57f6a6401,c5260414880c953c899a209fb51f01cf69965a223d54476cc9e87ba4b84ca10c,95fc78ab16a013deecd14fdec16c6ada8020856e0619b54f84b3dc1354ce4def
"0","0","0","0","0","130111","1","101002","若菜","尖刺兄弟撞飛敵人","3110201","1","剩餘HP在70％以下時發動。\n尖刺兄弟會出現，要是撞到敵人\n會造成小幅度傷害，將其擊飛。"
"0","0","0","0","0","130211","1","101003","布武機","封鎖敵人的移動與攻擊１秒","2110301","1","戰鬥開始３秒後發動。\n封鎖敵人的移動與攻擊１秒。"
"20101001","0","0","0","0","105811","2","201010","貪吃佩可","提升最大HP","0","1","提升最大HP15％。"
"0","0","0","0","0","106011","2","201020","凱留","降低敵方的移動速度","2220201","1","戰鬥開始３秒內，\n使敵人的移動速度下降15％。"
"20103001","0","0","0","0","105911","2","201030","可可蘿","提升COST上限","0","1","提升COST上限50％。"
"0","0","0","0","0","106411","3","201040","雪菲","提升移動速度","2220401","1","提升移動速度15％。"
"20105001","0","0","0","0","131311","2","201050","莉莉","提升攻擊力跟移動速度","2220501","1","提升攻擊力25％、\n提升移動速度10％。"
"20106001","0","0","0","0","131411","2","201060","可璃亞","提升最大HP跟移動速度","2220601","1","提升最大HP25％、\n提升移動速度10％。"
"20107001","0","0","0","0","131511","2","201070","普蕾西亞","提升COST上限跟移動速度","2220701","1","提升COST上限25％、\n提升移動速度10％。"
"20108001","0","0","0","0","126411","2","201080","克蘿茜","提升攻擊力跟攻擊速度","2220801","1","提升攻擊力25％，\n戰鬥開始３秒內，提升攻擊速度15％。"
"0","0","0","0","0","126511","3","201090","萊拉耶爾","提升攻擊力","2220901","1","戰鬥開始３秒內，\n提升攻擊力25％。"
"0","0","0","0","0","127711","2","201100","琳德","提升攻擊速度跟攻擊力","2221001","1","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力15％。"
"0","0","0","0","0","127811","2","201110","烏爾姆","降低自身的攻擊速度與敵人的攻擊力","2221101","1","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降15％。"
"20112001","0","20112002","0","0","130911","3","201120","庫露露","提升COST上限跟HP","0","1","提升COST上限25％、\n提升HP50％。"
"0","0","0","0","0","129611","2","201130","安涅默涅","降低對方的攻擊力跟攻擊速度","2221301","1","降低敵人的攻擊力跟攻擊速度10％。"
"0","0","0","0","0","129711","3","201140","涅妃‧涅羅","降低對方的移動速度","2221401","1","戰鬥開始1.5秒內，\n使敵人的移動速度下降25％。"
"20115001","0","0","0","0","105811","2","201150","貪吃佩可","提升最大HP","0","1","提升最大HP３0％。"
"0","0","0","0","0","106011","2","201160","凱留","降低敵方的移動速度","2221601","1","戰鬥開始３秒內，\n使敵人的移動速度下降20％。"
"20117001","0","0","0","0","105911","2","201170","可可蘿","提升COST上限","0","1","提升COST上限75％。"
"0","0","0","0","0","106411","3","201180","雪菲","提升移動速度","2221801","1","提升移動速度20％。"
"20119001","0","0","0","0","131311","2","201190","莉莉","提升攻擊力跟移動速度","2221901","1","提升攻擊力50％、\n提升移動速度15％。"
"20120001","0","0","0","0","131411","2","201200","可璃亞","提升最大HP跟移動速度","2222001","1","提升最大HP50％、\n提升移動速度15％。"
"20121001","0","0","0","0","131511","2","201210","普蕾西亞","提升COST上限跟移動速度","2222101","1","提升COST上限３0％、\n提升移動速度15％。"
"20122001","0","0","0","0","126411","2","201220","克蘿茜","提升攻擊力跟攻擊速度","2222201","1","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度20％。"
"0","0","0","0","0","126511","3","201230","萊拉耶爾","提升攻擊力","2222301","1","戰鬥開始３秒內，\n提升攻擊力３0％。"
"0","0","0","0","0","127711","2","201240","琳德","提升攻擊速度跟攻擊力","2222401","1","戰鬥開始３秒內，提升攻擊速度15％，\n然後提升攻擊力20％。"
"0","0","0","0","0","127811","2","201250","烏爾姆","降低自身的攻擊速度與敵人的攻擊力","2222501","1","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降20％。"
"20126001","0","20126002","0","0","130911","3","201260","庫露露","提升COST上限跟HP","0","1","提升COST上限３0％、\n提升HP50％。"
"0","0","0","0","0","129611","2","201270","安涅默涅","降低對方的攻擊力跟攻擊速度","2222701","1","降低敵人的攻擊力跟攻擊速度15％。"
"0","0","0","0","0","129711","3","201280","涅妃‧涅羅","降低對方的移動速度","2222801","1","戰鬥開始1.5秒內，\n使敵人的移動速度下降３5％。"
"20129001","0","0","0","0","131311","2","201290","莉莉","提升攻擊力跟移動速度","2222901","1","提升攻擊力50％、\n提升移動速度20％。"
"0","0","0","0","0","127711","2","201300","琳德","提升攻擊速度跟攻擊力","2223001","1","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力50％。"
"20131001","0","0","0","0","105811","2","201310","貪吃佩可","提升最大HP","0","1","提升最大HP50％。"
"0","0","0","0","0","106011","2","201320","凱留","降低敵方的移動速度","2223201","1","戰鬥開始３秒內，\n使敵人的移動速度下降25％。"
"20133001","0","0","0","0","105911","2","201330","可可蘿","提升COST上限","0","1","提升COST上限100％。"
"0","0","0","0","0","106411","3","201340","雪菲","提升移動速度","2223401","1","提升移動速度25％。"
"20135001","0","0","0","0","131311","2","201350","莉莉","提升攻擊力跟移動速度","2223501","1","提升攻擊力50％、\n提升移動速度20％。"
"20136001","0","0","0","0","131411","2","201360","可璃亞","提升最大HP跟移動速度","2223601","1","提升最大HP50％、\n提升移動速度20％。"
"20137001","0","0","0","0","131511","2","201370","普蕾西亞","提升COST上限跟移動速度","2223701","1","提升COST上限50％、\n提升移動速度20％。"
"20138001","0","0","0","0","126411","2","201380","克蘿茜","提升攻擊力跟攻擊速度","2223801","1","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度25％。"
"0","0","0","0","0","126511","3","201390","萊拉耶爾","提升攻擊力","2223901","1","戰鬥開始３秒內，\n提升攻擊力３5％。"
"0","0","0","0","0","127711","2","201400","琳德","提升攻擊速度跟攻擊力","2224001","1","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力25％。"
"0","0","0","0","0","127811","2","201410","烏爾姆","降低自身的攻擊速度與敵人的攻擊力","2224101","1","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。"
"20142001","0","20142002","0","0","130911","3","201420","庫露露","提升COST上限跟HP","0","1","提升COST上限50％、\n提升HP50％。"
"0","0","0","0","0","129611","2","201430","安涅默涅","降低對方的攻擊力跟攻擊速度","2224301","1","降低敵人的攻擊力跟攻擊速度20％。"
"0","0","0","0","0","129711","3","201440","涅妃‧涅羅","降低對方的移動速度","2224401","1","戰鬥開始1.5秒內，\n使敵人的移動速度下降75％。"
"20145001","0","0","0","0","105811","2","201450","貪吃佩可","提升最大HP","0","1","提升最大HP100％。"
"20146001","0","0","0","0","105911","2","201460","可可蘿","提升COST上限","0","1","提升COST上限100％。"
"20147001","0","0","0","0","131311","2","201470","莉莉","提升攻擊力跟移動速度","2224701","1","提升攻擊力75％、\n提升移動速度３0％。"
"0","0","0","0","0","126511","3","201480","萊拉耶爾","提升攻擊力","2224801","1","戰鬥開始３秒內，\n提升攻擊力75％。"
"0","0","0","0","0","129711","3","201490","涅妃‧涅羅","降低對方的移動速度","2224901","1","戰鬥開始1.5秒內，\n使敵人的移動速度下降90％。"
"20150001","0","0","0","0","105811","2","201500","貪吃佩可","提升最大HP","0","1","提升最大HP200％。"
