123c823c104e30d980497e72b8037b2a18f7a4adc510e47468aae5fec6d9f7c8,279fa191f61c2e86fc6a557861c256d762f37f74c8f45a9e103c36dd62845824,63ba26b27afdd5c2e88dfeba7959b44a3081fac995f62428ae07f6e3802ce288,fa3c0da423981a88a27355c93113a4939801e69d1890404f8d56e98d33190be3,708fa1024ef23e15180ab90e1c60611dfead80400f6d4c79e0927ebccc8700bc,7e2117030ba4272fd9241e94d0b7f721693ce351e7821cf3b94304aa1d0d42d3,6802983075a14b6313b211f7299ba3415489ecd420e8ce193cb60a07cc99486f,68a0937dd465ce72ee21603b2efdba1968c476520edef01030bb9f6c29d447e8,90bbf59390b3c51f796eb11fb673c080b0cf39333992d41613d4b1013c0dbd62,8e1ef7a801bec0e5e96e8ff5c6ce36373751a4f425fa163a151ecf2003b943e9,dd5f5fd59ae7711c5d61d7884397a5dc2689f05a4b2027f7f5c5265ec4f7ccaa
"0","","vo_dsb_1014","vo_dsb_1010801","","1010801","1010801093","21","0","",""
"1","0.2","嗯──♪\n終於暖和起來了～\n祈梨，對吧？","1","0","1010801","1010801094","11","10","0","1"
"","","","0","","1010801","1010801095","91","","",""
"","","dsb_idle_normal","1","0.5","1010801","1010801096","3","1","",""
"0","","vo_dsb_1015","vo_dsb_1010801","","1010801","1010801097","21","0","",""
"1","0.2","噫……\n噫噫噫噫……\n我要變成水煮龍人族了～！","2","0","1010801","1010801098","11","10","0","1"
"","","","0","","1010801","1010801099","91","","",""
"","","0","0","","1010801","1010801100","22","","",""
"","","se_10044200_get_out_water","se_10044200","","1010801","1010801101","23","0","",""
"dsb_inori_stand_up_loop","","dsb_inori_stand_up_in","2","0.2","1010801","1010801102","3","0","0.2","1"
"dsb_idle_normal","","dsb_smile2","1","0.3","1010801","1010801103","3","0","0.2","1"
"","","0","0.3","","1010801","1010801104","93","","",""
"","","se_adv_emote_sweat_02","se_adv_emote_sweat_02","","1010801","1010801105","23","0","",""
"0","0","2","2","0","1010801","1010801106","12","1.4","0","0"
"0","0","10","1","0","1010801","1010801107","12","1.4","0","0"
"","","0","2.5","","1010801","1010801108","93","","",""
"-165","dsb_idle_normal","1","12","2","1010802","1010802001","5","70","0","-345"
"165","dsb_idle_normal","2","6","2","1010802","1010802002","5","70","1","-345"
"0","","1","1","1","1010802","1010802003","31","0","","1"
"0","","3","3","1","1010802","1010802004","31","0","","1"
"0","","4","4","1","1010802","1010802005","31","0","","1"
"0","","10","16","1","1010802","1010802006","31","0","","1"
"0","","20","26","1","1010802","1010802007","31","0","","1"
"-168","","30","36","1","1010802","1010802008","31","155","","1"
"-168","","31","36","1","1010802","1010802009","31","-155","","1"
"","","170","1","","1010802","1010802010","13","","",""
"","","170","2","","1010802","1010802011","13","","",""
"","","","0","","1010802","1010802012","91","","",""
"","","se_10044200_cmn_amb","se_10044200","","1010802","1010802013","23","1","",""
"","","se_10044200_cmn_steam","se_10044200","","1010802","1010802014","23","0","",""
"","","0","6","","1010802","1010802015","93","","",""
"","","se_10044200_hotspring_06","se_10044200","","1010802","1010802016","23","1","",""
"","","0","1.5","","1010802","1010802017","93","","",""
"dsb_talk_joy1","","dsb_smile3_joy","2","0.5","1010802","1010802018","3","0","0.5","1"
"0","","vo_dsb_2001","vo_dsb_1010802","","1010802","1010802019","21","0","",""
"1","0.2","太讚了──！浴池好寬敞～☆\n「泡溫泉感」真誇張！\n而且還能見到美里妳們，超好玩！\n好嗨喔～♪","2","0","1010802","1010802020","11","10","0","1"
"","","","0","","1010802","1010802021","91","","",""
"","","dsb_idle_joy1","2","0.5","1010802","1010802022","3","1","",""
"","","dsb_talk_normal_joy","1","0.5","1010802","1010802023","3","1","",""
"0","","vo_dsb_2002","vo_dsb_1010802","","1010802","1010802024","21","0","",""
"1","0.2","好久不見～鈴奈♪\n今天我準備的溫泉\n是鮮花的香芬浴池。\n味道很香，對皮膚也很好喔～","1","0","1010802","1010802025","11","10","0","1"
"","","","0","","1010802","1010802026","91","","",""
"","","dsb_idle_normal","1","0.5","1010802","1010802027","3","1","",""
"dsb_talk_surprise1_2","","dsb_surprise2","2","0.5","1010802","1010802028","3","0","0.5","1"
"0","","vo_dsb_2003","vo_dsb_1010802","","1010802","1010802029","21","0","",""
"1","0.2","超讚，妳真是溫泉天才！\n泡了還有助於美容，嚇死了！\n要感謝小伊緒\n告訴我這個地方♪","2","0","1010802","1010802030","11","10","0","1"
"","","1","6.5","","1010802","1010802031","93","","",""
"","","dsb_talk_joy3","2","0.5","1010802","1010802032","3","1","",""
"","","","1010802030","","1010802","1010802033","91","","",""
"dsb_talk_guts2_doya_loop","","dsb_talk_guts2_doya","2","0.3","1010802","1010802034","3","0","0.5","1"
"0","","vo_dsb_2004","vo_dsb_1010802","","1010802","1010802035","21","0","",""
"1","0.2","好──！\n那我要盡～情泡──\n讓肌膚變得很光滑──\n叫秀才大吃一驚☆","2","0","1010802","1010802036","11","10","0","1"
"","","","0","","1010802","1010802037","91","","",""
"","","dsb_talk_worry_normal2","2","0.5","1010802","1010802038","3","1","",""
"0","","vo_dsb_2005","vo_dsb_1010802","","1010802","1010802039","21","0","",""
"1","0.2","啊，對了！\n說到大吃一驚──\n讓這裡再多一些\n厲害感怎麼樣？","2","0","1010802","1010802040","11","10","0","1"
"","","","0","","1010802","1010802041","91","","",""
"","","dsb_idle_normal","2","0.5","1010802","1010802042","3","1","",""
"","","dsb_talk_surprise1","1","0.5","1010802","1010802043","3","1","",""
"0","","vo_dsb_2006","vo_dsb_1010802","","1010802","1010802044","21","0","",""
"1","0.2","厲害感？","1","0","1010802","1010802045","11","10","0","1"
"","","","0","","1010802","1010802046","91","","",""
"","","dsb_idle_wish_normal","1","0.2","1010802","1010802047","3","1","",""
"","","dsb_talk_surprise1_normal2","2","0.5","1010802","1010802048","3","1","",""
"0","","vo_dsb_2007","vo_dsb_1010802","","1010802","1010802049","21","0","",""
"1","0.2","對哇！\n要一眼就讓大家明白！\n這裡超讚！","2","0","1010802","1010802050","11","10","0","1"
"","","","0","","1010802","1010802051","91","","",""
"","","dsb_talk_surprise1_talkjoy2","2","0.5","1010802","1010802052","3","1","",""
"0","","vo_dsb_2008","vo_dsb_1010802","","1010802","1010802053","21","0","",""
"1","0.2","只要氣氛調整一下搞不好就會爆紅！\n弄成超可愛的浴池，\n就會有一大堆客人唷！","2","0","1010802","1010802054","11","10","0","1"
"","","","0","","1010802","1010802055","91","","",""
"","","dsb_idle_joy1","2","0.5","1010802","1010802056","3","1","",""
"","","dsb_talk_joy3","1","0.5","1010802","1010802057","3","1","",""
"0","","vo_dsb_2009","vo_dsb_1010802","","1010802","1010802058","21","0","",""
"1","0.2","可愛的浴池……\n真好奇～♪\n會是什麼樣的呢～？","1","0","1010802","1010802059","11","10","0","1"
"","","","0","","1010802","1010802060","91","","",""
"","","dsb_idle_sad_talkjoy2","1","0.5","1010802","1010802061","3","1","",""
"","","dsb_talk_worry_normal2","2","0.5","1010802","1010802062","3","1","",""
"0","","vo_dsb_2010","vo_dsb_1010802","","1010802","1010802063","21","0","",""
"1","0.2","我想想──\n少不了要有更多花在水上漂漂吧！\n當然要有各式各樣的！\n如果變成彩色的看起來就超有feel♪","2","0","1010802","1010802064","11","10","0","1"
"","","","0","","1010802","1010802065","91","","",""
"","","dsb_idle_normal","2","0.5","1010802","1010802066","3","1","",""
"","","dsb_talk_memory","1","0.5","1010802","1010802067","3","1","",""
"0","","vo_dsb_2011","vo_dsb_1010802","","1010802","1010802068","21","0","",""
"1","0.2","就像一片溫泉裡的花海呢～♪\n在五顏六色的花圍繞下\n泡溫泉……嗯呵呵♪\n光用想像的心情就很雀躍～","1","0","1010802","1010802069","11","10","0","1"
"","","","0","","1010802","1010802070","91","","",""
"","","dsb_talk_normal","1","0.5","1010802","1010802071","3","1","",""
"0","","vo_dsb_2012","vo_dsb_1010802","","1010802","1010802072","21","0","",""
"1","0.2","對了，既然如此……\n花香的搭配也要講究一下。\n還有花語的意思。","1","0","1010802","1010802073","11","10","0","1"
"","","","0","","1010802","1010802074","91","","",""
"","","dsb_idle_normal","1","0.5","1010802","1010802075","3","1","",""
"dsb_talk_surprise1","","dsb_surprise","2","0.5","1010802","1010802076","3","0","0.5","1"
"0","","vo_dsb_2013","vo_dsb_1010802","","1010802","1010802077","21","0","",""
"1","0.2","咦？\n花語？","2","0","1010802","1010802078","11","10","0","1"
"","","","0","","1010802","1010802079","91","","",""
"","","dsb_idle_surprise1","2","0.5","1010802","1010802080","3","1","",""
"","","dsb_talk_worry_normal2","1","0.5","1010802","1010802081","3","1","",""
"0","","vo_dsb_2014","vo_dsb_1010802","","1010802","1010802082","21","0","",""
"1","0.2","每種花都有\n它各自的含義。\n送花給別人時\n也能當作訊息傳遞給對方喔～","1","0","1010802","1010802083","11","10","0","1"
"","","","0","","1010802","1010802084","91","","",""
"","","dsb_talk_wish_dere","1","0.3","1010802","1010802085","3","1","",""
"0","","vo_dsb_2015","vo_dsb_1010802","","1010802","1010802086","21","0","",""
"1","0.2","順便一提，今天的花的意義是……\n「為了我愛的你」，\n呵呵呵，很棒吧♪","1","0","1010802","1010802087","11","10","0","1"
"","","","0","","1010802","1010802088","91","","",""
"","","dsb_idle_wish_normal","1","0.5","1010802","1010802089","3","1","",""
"","","dsb_talk_anger_shy2","2","0.5","1010802","1010802090","3","1","",""
"0","","vo_dsb_2016","vo_dsb_1010802","","1010802","1010802091","21","0","",""
"1","0.2","啊，愛……！\n等等，認真嗎……？\n這麼直接……\n好像有點…………太犯規了。","2","0","1010802","1010802092","11","10","0","1"
"","","","0","","1010802","1010802093","91","","",""
"","","dsb_talk_sad2_dead","2","0.5","1010802","1010802094","3","1","",""
"0","","vo_dsb_2017","vo_dsb_1010802","","1010802","1010802095","21","0","",""
"1","0.2","呃……\n爆紅計畫，當我沒說。\n……啊──好熱。","2","0","1010802","1010802096","11","10","0","1"
"","","","0","","1010802","1010802097","91","","",""
"","","dsb_hot_dead_loop","2","0.2","1010802","1010802098","3","1","",""
"dsb_talk_normal_dere2","","dsb_smile2_dere2","1","0.5","1010802","1010802099","3","0","0.5","1"
"0","","vo_dsb_2018","vo_dsb_1010802","","1010802","1010802100","21","0","",""
"1","0.2","嗯呵呵♪\n小心別泡過頭囉。","1","0","1010802","1010802101","11","10","0","1"
"","","","0","","1010802","1010802102","91","","",""
"","","0","0.3","","1010802","1010802103","93","","",""
"-165","dsb_idle_normal","1","11","2","1010803","1010803001","5","70","0","-345"
"165","dsb_idle_normal","2","2","2","1010803","1010803002","5","70","1","-345"
"0","","1","1","1","1010803","1010803003","31","0","","1"
"0","","3","3","1","1010803","1010803004","31","0","","1"
"0","","4","4","1","1010803","1010803005","31","0","","1"
"0","","10","12","1","1010803","1010803006","31","0","","1"
"0","","20","22","1","1010803","1010803007","31","0","","1"
"-168","","30","32","1","1010803","1010803008","31","155","","1"
"-168","","31","32","1","1010803","1010803009","31","-155","","1"
"","","170","1","","1010803","1010803010","13","","",""
"","","170","2","","1010803","1010803011","13","","",""
"","","","0","","1010803","1010803012","91","","",""
"","","se_10044200_cmn_amb","se_10044200","","1010803","1010803013","23","1","",""
"","","se_10044200_cmn_steam","se_10044200","","1010803","1010803014","23","0","",""
"","","0","6.2","","1010803","1010803015","93","","",""
"","","se_10044200_hotspring_02","se_10044200","","1010803","1010803016","23","1","",""
"","","0","1.3","","1010803","1010803017","93","","",""
"dsb_talk_anger_dere2","","dsb_smile3_kyouka","2","0.5","1010803","1010803018","3","0","0.5","1"
"0","","vo_dsb_3001","vo_dsb_1010803","","1010803","1010803019","21","0","",""
"1","0.2","哇哇……\n好厲害，水在冒泡泡……！\n好像真的在泡\n哈蜜瓜汽水……♪","2","0","1010803","1010803020","11","10","0","1"
"","","","0","","1010803","1010803021","91","","",""
"","","dsb_idle_joy1_Ex2","2","0.5","1010803","1010803022","3","1","",""
"","","dsb_talk_normal_dere","1","0.5","1010803","1010803023","3","1","",""
"0","","vo_dsb_3002","vo_dsb_1010803","","1010803","1010803024","21","0","",""
"1","0.2","呵呵呵，很棒吧？\n我想要做出小孩們會喜歡的溫泉，\n所以特地打造的。","1","0","1010803","1010803025","11","10","0","1"
"","","","0","","1010803","1010803026","91","","",""
"","","dsb_idle_normal","1","0.5","1010803","1010803027","3","1","",""
"","","dsb_talk_surprise1","2","0.5","1010803","1010803028","3","1","",""
"0","","vo_dsb_3003","vo_dsb_1010803","","1010803","1010803029","21","0","",""
"1","0.2","這樣啊……","2","0","1010803","1010803030","11","10","0","1"
"","","","0","","1010803","1010803031","91","","",""
"","","dsb_idle_surprise1_look","2","0.5","1010803","1010803032","3","1","",""
"0","","vo_dsb_3004","vo_dsb_1010803","","1010803","1010803033","21","0","",""
"1","0.2","（本來以為她是個可疑的人，\n其實人很好嗎……）","2","0","1010803","1010803034","11","10","0","1"
"","","","0","","1010803","1010803035","91","","",""
"","","dsb_talk_thinking","2","0.3","1010803","1010803036","3","1","",""
"0","","vo_dsb_3005","vo_dsb_1010803","","1010803","1010803037","21","0","",""
"1","0.2","小孩的確會很高興。\n……我、我也不禁\n重返童心了。","2","0","1010803","1010803038","11","10","0","1"
"","","","0","","1010803","1010803039","91","","",""
"","","dsb_idle_arm_crossed","2","0.5","1010803","1010803040","3","1","",""
"","","dsb_talk_thinking_normal2","1","0.5","1010803","1010803041","3","1","",""
"0","","vo_dsb_3006","vo_dsb_1010803","","1010803","1010803042","21","0","",""
"1","0.2","童心……？\n啊，原來如此。\n那就好♪","1","0","1010803","1010803043","11","10","0","1"
"","","","0","","1010803","1010803044","91","","",""
"","","dsb_idle_arm_crossed","1","0.5","1010803","1010803045","3","1","",""
"","","dsb_talk_sad2_Ex5","2","0.5","1010803","1010803046","3","1","",""
"","","0","0","","1010803","1010803047","22","","",""
"0.9","","vo_dsb_3007","vo_dsb_1010803","","1010803","1010803048","21","0","",""
"1","0.2","……有什麼奇怪的嗎？","2","0","1010803","1010803049","11","10","0","1"
"","","","0","","1010803","1010803050","91","","",""
"","","dsb_idle_sad_blink","2","0.5","1010803","1010803051","3","1","",""
"","","dsb_talk_sad_dere","1","0.5","1010803","1010803052","3","1","",""
"0","","vo_dsb_3008","vo_dsb_1010803","","1010803","1010803053","21","0","",""
"1","0.2","不，沒什麼♪","1","0","1010803","1010803054","11","10","0","1"
"","","","0","","1010803","1010803055","91","","",""
"","","dsb_idle_normal","2","0.5","1010803","1010803056","3","1","",""
"","","dsb_talk_normal_joy","1","0.5","1010803","1010803057","3","1","",""
"0","","vo_dsb_3009","vo_dsb_1010803","","1010803","1010803058","21","0","",""
"1","0.2","對了……\n要是重返童心的話，\n應該會想在大浴池裡游泳吧？\n鏡華覺得如何？","1","0","1010803","1010803059","11","10","0","1"
"","","","0","","1010803","1010803060","91","","",""
"","","dsb_idle_normal","1","0.5","1010803","1010803061","3","1","",""
"","","dsb_talk_tsun_shy","2","0.5","1010803","1010803062","3","1","",""
"0","","vo_dsb_3010","vo_dsb_1010803","","1010803","1010803063","21","0","",""
"1","0.2","游泳……！\n我才不做那種事！\n太不像話了……","2","0","1010803","1010803064","11","10","0","1"
"","","","0","","1010803","1010803065","91","","",""
"","","dsb_idle_anger","2","0.5","1010803","1010803066","3","1","",""
"","","dsb_talk_normal","1","0.5","1010803","1010803067","3","1","",""
"0","","vo_dsb_3011","vo_dsb_1010803","","1010803","1010803068","21","0","",""
"1","0.2","怎麼會不像話……\n現在只有我們兩個人呀。\n我覺得在哈蜜瓜汽水裡游泳\n一定會很好玩的……","1","0","1010803","1010803069","11","10","0","1"
"","","","0","","1010803","1010803070","91","","",""
"","","dsb_idle_normal","1","0.5","1010803","1010803071","3","1","",""
"","","dsb_talk_surprise1_shy","2","0.5","1010803","1010803072","3","1","",""
"0","","vo_dsb_3012","vo_dsb_1010803","","1010803","1010803073","21","0","",""
"1","0.2","這、這個……\n雖然感覺很好玩……\n而且我現在也稍微會游了……\n可是就禮儀來說……唔……","2","0","1010803","1010803074","11","10","0","1"
"","","","0","","1010803","1010803075","91","","",""
"","","dsb_idle_surprise1_normal","2","0.5","1010803","1010803076","3","1","",""
"","","dsb_talk_thinking_joy","1","0.5","1010803","1010803077","3","1","",""
"","","0","0","","1010803","1010803078","22","","",""
"0.9","","vo_dsb_3013","vo_dsb_1010803","","1010803","1010803079","21","0","",""
"1","0.2","……呵呵呵。\n那我來游好了～？","1","0","1010803","1010803080","11","10","0","1"
"","","","0","","1010803","1010803081","91","","",""
"","","dsb_idle_joy1","1","0.5","1010803","1010803082","3","1","",""
"dsb_talk_surprise1_2","","dsb_surprise2","2","0.5","1010803","1010803083","3","0","0.5","1"
"0","","vo_dsb_3014","vo_dsb_1010803","","1010803","1010803084","21","0","",""
"1","0.2","咦咦！？\n說這種話太狡猾了。\n那……我、我也要游！","2","0","1010803","1010803085","11","10","0","1"
"","","1","3.5","","1010803","1010803086","93","","",""
"","","dsb_talk_anger_shy2","2","0.5","1010803","1010803087","3","1","",""
"","","","1010803085","","1010803","1010803088","91","","",""
"","","0","0","","1010803","1010803089","22","","",""
"","","dsb_surprise_kyouka","2","0.2","1010803","1010803090","3","1","",""
"","","dsb_surprise_mitsuki","1","0.2","1010803","1010803091","3","1","",""
"","","0","0.7","","1010803","1010803092","93","","",""
"dsb_idle_normal_Ex1","","dsb_smile2_kyouka","2","0.3","1010803","1010803093","3","0","0.2","1"
"dsb_idle_normal","","dsb_smile2_mitsuki2","1","0.3","1010803","1010803094","3","0","0.2","1"
"","","0","0.3","","1010803","1010803095","93","","",""
"","","se_adv_emote_common_01","se_adv_emote_common_01","","1010803","1010803096","23","0","",""
"0","0","10","2","0","1010803","1010803097","12","1.4","0","0"
"0","0","10","1","0","1010803","1010803098","12","1.4","0","0"
"","","0","2","","1010803","1010803099","93","","",""
"-475","dsb_idle_normal","124531","1","2","1010804","1010804001","1","70","0","-219"
"0","dsb_idle_relax_Ex2","2","7","2","1010804","1010804002","5","70","1","-360"
"-345","dsb_empty","99","10","2","1010804","1010804003","5","71","0","-219"
"0","","1","1","1","1010804","1010804004","31","0","","1"
"0","","3","3","1","1010804","1010804005","31","0","","1"
"0","","4","4","1","1010804","1010804006","31","0","","1"
"0","","10","17","1","1010804","1010804007","31","0","","1"
"0","","20","27","1","1010804","1010804008","31","0","","1"
"-183","","30","37","1","1010804","1010804009","31","-10","","1"
"0","","43","43","1","1010804","1010804010","31","0","","1"
"0","","44","44","0","1010804","1010804011","31","130","","1"
"-141","","45","45","0","1010804","1010804012","31","133","","1"
"0","","46","46","0","1010804","1010804013","31","130","","1"
"-212","","47","47","0","1010804","1010804014","31","142","","1"
"-212","","48","48","0","1010804","1010804015","31","142","","1"
"","","170","124531","","1010804","1010804016","13","","",""
"","","170","2","","1010804","1010804017","13","","",""
"","","","0","","1010804","1010804018","91","","",""
"","","se_10044200_cmn_amb","se_10044200","","1010804","1010804019","23","1","",""
"","","se_10044200_cmn_steam","se_10044200","","1010804","1010804020","23","0","",""
"","","0","6","","1010804","1010804021","93","","",""
"","","se_10044200_hotspring_07","se_10044200","","1010804","1010804022","23","1","",""
"","","0","1.5","","1010804","1010804023","93","","",""
"","","dsb_idle_relax_blink","2","0.5","1010804","1010804024","3","1","",""
"0","","vo_dsb_4001","vo_dsb_1010804","","1010804","1010804025","21","0","",""
"1","0.2","…………","2","0","1010804","1010804026","11","10","0","1"
"","","","0","","1010804","1010804027","91","","",""
"","","dsb_idle_relax_Ex2","2","0.5","1010804","1010804028","3","1","",""
"2","","130","3","","1010804","1010804029","33","0","","12"
"2","","130","4","","1010804","1010804030","33","0","","12"
"2","","130","20","","1010804","1010804031","33","0","","12"
"2","","120","30","","1010804","1010804032","33","-183","","12"
"2","","130","43","","1010804","1010804033","33","0","","12"
