f9d1e580fbb61109fdd793090012fb1d25a87acc9a38efe9b643dc0c9e0b6b26,4357c6f8235bb81be89249acf88836cfd3bb02714c888191d2ad1477d156da8c,60e6028d55de39eec8eaf9138c9fa28e2c22152e82f4379a33f22b71a741646f,cf7edd8243b270d42394cad1afc664277b187cc58930734a0571300055a667b4,236bad9026bd685d25a384a07fec8e5b24d0eea9e1c69bc40b7d6b470c8220cf,299e0ff291b72eecceeba3c0ba2cd1392ed0efd98d4887cae71c19c736f7fc4d,378ce8f2dc12a6e692125519f190c469e49c9835fb0fcf35994030fbec501aad,d8b7b5d5b13575f4857ba2aa4c5445fdc183d6eb7b77f08076b3f00688fab262,92081e818a3e86ace8c24b1abbc9fb27a3b7d712ebb86285f6bb4c6a2e571655,ae310c941c7648aed866cea63f6228da8bb59263f5b17c73514d82091ed789cc,29722a4cbce79f88b0a0f030000ab53961da0a0ad5868dae9d0795afc46593c0
"","鹽","","5027","","","愛","印","","司",""
"","e","","5031","","","","","e","",""
"","e","","5056","","","","","a","",""
"","e","","5070","","s","","","","",""
"","","餅","5076","","","","","餅","",""
"","","","5079","","","","上前","","",""
"","","","5082","","","","肩","","",""
"","","","5098","","","","微","","",""
"","BC","AC","5102","","AB","","大喊","","",""
"","","","5103","","","","","布","",""
"","","","5162","","","","西","","","醜"
"","","","5164","","","","固","定","",""
"","","","5183","","","","","左","",""
"","","","5185","","","","","右","",""
"","戌酉子","卯戌子","5193","牛","戌卯辰","","卯辰戌","戌酉卯","","虎"
"","藍","雀","6008","底","","","","","",""
"","","","6010","e","u","","","u","","e"
"","線","","6012","","","","","","",""
"","","","6013","","","","","面","",""
"","k","","6015","","m","","G","o","",""
"","","","6022","","m","","","o","",""
"","","","6049","","","","單二","","",""
"","","火","6073","","","","","","",""
"","","","6075","","巨","","","","",""
"","a","","6076","","","","","","",""
"","e","","6082","","","","","","",""
"","","","6084","","a","","C","","",""
"","n","w","6097","","u","","","","",""
"","","","6098","","出","湖","","","",""
"","","莉","6135","","","茜","","莉","依","與或"
"","","喵","6136","","","","","","",""
"","霖","","6139","","呼","","鈴","嚕","",""
"","","","6179","","","","","","","得"
