1735dfcfbaed6bb4afe904a3e130c88349208b250ae889666fe9d8654dc35b08,36426c3fa9d221dbcff4825a87efe3db395f12d56d9820a4baf3036a3463dabd,b56a3cb2292bbef4f2227bde4e9c57837501b2740dac094e09f9c3414a941d5d,bd2c9565040d22ad2aa0663da64ada910078c9418e104a308a6f79899c28cbee,0c92a4da2fccb4186bcb72b31e7f99740ce0a6a2e314179302f95ccfb4214b86,442ea8d451490188302011987bf1ed023a98c70f648fbeddc30e4bff83ebfaca,8dba5bbeacd199c99df25c85c47fb78960a95e962ab82b645f4d356e955fb64d,a0bce7be888d814206e0f971fbdf7958799bf989e377fa51b64e6e32c05b907c,389b7063c8d1f1992d2dcc794586db4cf41869f5fa68d031337f8f987a9d5b33,c429d0b14e6ecc2e5497ff77c0835758d5c6393ab9287836f2dd5863cfee221f,af5d47237f754e08a14e5cd36a1f69eab190899ea8d01b4557f490003faf419c
"11020062","1","104631","0.2","0.2","","1","3","nyx_idle_worry","102",""
"11020063","","2","","","","","93","","102",""
"11020064","1","104831","","","","","12","12","102",""
"11020065","","2","","","","","93","","102",""
"11020066","1","103231","","","","","12","10","102",""
"11020067","0","103231","0.2","0.2","nyx_idle_normal","1","3","nyx_talk_normal","102",""
"11020068","","2","","","","","93","","102",""
"11020069","1","104631","","","","","12","2","102",""
"11020070","0","104631","0.2","0.2","nyx_idle_worry","1","3","nyx_talk_sad","102",""
"11020071","","4","","","","","93","","102",""
"11020072","","11020055","","","","","101","1","102",""
"11030001","110","1","0","1.35","-421","-209.3","1","111031","103","nyx_103_yuni_01"
"11030002","110","1","0","1.35","121.8","-182.5","1","104831","103","nyx_idle_normal"
"11030003","120","2","0","1.35","121.8","-182.5","5","2","103","NoItem"
"11030004","110","1","0","1.35","227.7","-182.5","1","104631","103","nyx_idle_normal"
"11030005","120","2","0","1.35","227.7","-182.5","5","2","103","NoItem"
"11030006","110","1","1","1.35","340.3","-182.5","1","103231","103","nyx_idle_normal"
"11030007","110","1","1","1.35","449.6","-182.5","1","103431","103","nyx_cmn_03"
"11030008","120","2","1","1.35","449.6","-182.5","5","2","103","NoItem"
"11030009","0","1","","1","0","1","31","1","103",""
"11030010","","bgm_M347","","","","","25","bgm_M347","103",""
"11030011","","2","","","","","93","","103",""
"11030012","1","103431","","0.2","","","3","nyx_talk_sad","103",""
"11030013","10","103431","","","","","11","簡報是\n一件這麼\n累人的事情嗎…？","103",""
"11030014","","0","","","","","91","","103",""
"11030015","1","103431","","0.2","","","3","nyx_cmn_03","103",""
"11030016","1","104831","","0.2","","","3","nyx_cmn_05","103",""
"11030017","10","104831","","","","","11","接下來一定沒問題的\n一定會是認真的學生\n……我說的沒錯吧？","103",""
"11030018","","0","","","","","91","","103",""
"11030019","1","104831","","0.2","","","3","nyx_cmn_04","103",""
"11030020","1","103231","","0.2","","","3","nyx_talk_normal","103",""
"11030021","10","103231","","","","","11","哎呀？\n下一位好像也是\n好朋友社的成員呢？","103",""
"11030022","","0","","","","","91","","103",""
"11030023","1","103231","","0.2","","","3","nyx_idle_normal","103",""
"11030024","1","104631","","0.2","","","3","nyx_talk_sad","103",""
"11030025","10","104631","","","","","11","……要是鬆懈下來\n就會被幹掉喵\n做好覺悟吧喵","103",""
"11030026","","2.6","","","","","93","","103",""
"11030027","1","111031","","0.2","","","3","nyx_102_chloe_01","103",""
"11030028","","11030025","","","","","91","","103",""
"11030029","0","104631","0.3","0.2","nyx_idle_sad","1","3","nyx_cmn_02","103",""
"11030030","0","2","","0.2","","","3","nyx_cmn_02","103",""
"11030031","0","103431","0.3","0.2","nyx_cmn_03","1","3","nyx_cmn_02","103",""
"11030032","0","2","","0.2","","","3","nyx_cmn_02","103",""
"11030033","0","104831","0.2","0.2","nyx_idle_normal","1","3","nyx_cmn_02","103",""
"11030034","0","2","","0.2","","","3","nyx_cmn_02","103",""
"11030035","","1.5","","","","","93","","103",""
"11030036","1","111031","","0.2","","","3","nyx_303_yuni_01","103",""
"11030037","10","111031","","","","","11","嗯，接下來是我呢\n這就是所謂的\n壓軸登場吧","103",""
"11030038","","2.8","","","","","93","","103",""
"11030039","1","104831","","","","","12","13","103",""
"11030040","1","104831","","0.2","","","3","nyx_talk_normal","103",""
"11030041","","11030037","","","","","91","","103",""
"11030042","10","111031","","","","","11","琪愛兒、克蘿依\n妳們的遺憾就由我來\n替妳們雪恥吧","103",""
"11030043","","0","","","","","91","","103",""
"11030044","1","111031","","0.2","","","3","nyx_103_yuni_02","103",""
"11030045","10","111031","","","","","11","是時候完成我身為\n高年級生的職責了","103",""
"11030046","","1.5","","","","","93","","103",""
"11030047","1","103231","","","","","12","17","103",""
"11030048","1","104831","","0.2","","","3","nyx_idle_normal","103",""
"11030049","1","103231","","0.2","","","3","nyx_cmn_05","103",""
"11030050","","11030045","","","","","91","","103",""
"11030051","0","111031","0.6","0.3","nyx_103_yuni_04","0","3","nyx_103_yuni_03","103",""
"11030052","10","111031","","","","","11","賭上優妮們\n之名……！","103",""
"11030053","","0","","","","","91","","103",""
"11030054","1","103231","","0.2","","","3","nyx_idle_normal","103",""
"11030055","","0.6","","","","","93","","103",""
"11030056","1","111031","","0.2","","","12","12","103",""
"11030057","0","111031","0.2","0.2","nyx_idle_normal","1","3","cmn_pose02_def_N","103",""
"11030058","","1.5","","","","","93","","103",""
"11030059","1","104631","","","","","12","15","103",""
"11030060","0","104631","0.2","0.2","nyx_idle_worry","1","3","nyx_talk_sad","103",""
"11030061","","2","","","","","93","","103",""
"11030062","1","103231","","","","","12","10","103",""
"11030063","0","103231","0.2","0.2","nyx_idle_normal","1","3","nyx_talk_joy1","103",""
"11030064","0","111031","0.2","0.2","nyx_idle_normal","1","3","nyx_103_yuni_01","103",""
"11030065","","2.5","","","","","93","","103",""
"11030066","1","103431","","","","","12","1","103",""
"11030067","0","103431","0.3","0.2","nyx_cmn_03","1","3","nyx_cmn_01","103",""
"11030068","","2","","","","","93","","103",""
"11030069","1","104831","","","","","12","12","103",""
"11030070","1","104831","","0.2","","","3","nyx_talk_bitter","103",""
"11030071","","2","","","","","93","","103",""
"11030072","1","104831","","0.2","","","3","nyx_idle_bitter","103",""
"11030073","","1","","","","","93","","103",""
"11030074","","11030056","","","","","101","","103",""
"12010001","110","1","1","1.2","-235.4","-294.7","1","103231","201","nyx_201_akino_01"
"12010002","120","2","1","1.2","-235.4","-294.7","5","2","201","nyx_201_akino_01"
"12010003","110","1","0","1.2","-357","-281.6","1","104631","201","nyx_idle_normal"
"12010004","110","1","1","1.2","310.5","-281.6","1","103431","201","nyx_idle_normal"
"12010005","110","1","0","1.2","-453.3","-281.6","1","104831","201","nyx_idle_normal"
"12010006","0","2","","1","0","1","31","1","201",""
"12010007","0","11","","1","0","1","31","2","201",""
"12010008","","bgm_M347","","","","","25","bgm_M347","201",""
"12010009","","2","","","","","93","","201",""
"12010010","10","103231","","","","","11","珠希，\n這零件就麻煩妳\n進行組裝囉！","201",""
"12010011","","0","","","","","91","","201",""
"12010012","0","104631","0.3","0.3","nyx_idle_surprise1","1","3","nyx_surprise","201",""
"12010013","10","104631","","","","","11","我、我知道了喵！\n……設計圖上有\n這東西嗎喵……？","201",""
"12010014","","0","","","","","91","","201",""
"12010015","0","103231","","","","","4","0","201",""
"12010016","","2","","","","","4","0","201",""
"12010017","1","104631","0.3","0.3","","","3","nyx_idle_bitter2","201",""
"12010018","1","103231","0.3","0.3","","","3","nyx_201_akino_02","201",""
"12010019","1","2","0.3","0.3","","","3","nyx_201_akino_02","201",""
"12010020","-294.7","103231","","","2.2","","2","199","201",""
"12010021","-294.7","2","","","2.2","","2","199","201",""
"12010022","","2.2","","","","","93","","201",""
"12010023","1","103231","0.3","0.3","","","3","nyx_201_akino_01","201",""
"12010024","1","2","0.3","0.3","","","3","nyx_201_akino_01","201",""
"12010025","10","103231","","","","","11","優花梨！\n麻煩妳立刻去\n訂購這款迴路！","201",""
"12010026","","0","","","","","91","","201",""
"12010027","1","103431","0.3","0.3","","","3","nyx_cmn_01","201",""
"12010028","10","103431","","","","","11","咦？　咦？\n等等啊秋乃\n這要拿來做什麼！？","201",""
"12010029","","0","","","","","91","","201",""
"12010030","1","103431","0.3","0.3","","","3","nyx_idle_bitter2","201",""
"12010031","","103231","","","","","4","1","201",""
"12010032","","2","","","","","4","1","201",""
"12010033","1","103231","0.3","0.3","","","3","nyx_201_akino_02","201",""
"12010034","1","2","0.3","0.3","","","3","nyx_201_akino_02","201",""
"12010035","-294.7","103231","","","2.2","","2","-235.4","201",""
"12010036","-294.7","2","","","2.2","","2","-235.4","201",""
"12010037","","2.2","","","","","93","","201",""
"12010038","1","103231","0.3","0.3","","","3","nyx_201_akino_01","201",""
"12010039","1","2","0.3","0.3","","","3","nyx_201_akino_01","201",""
"12010040","10","103231","","","","","11","美冬，\n麻煩妳仔細地\n檢查動作囉！","201",""
"12010041","","0","","","","","91","","201",""
"12010042","0","104831","0.3","0.3","nyx_idle_surprise1","1","3","nyx_surprise","201",""
"12010043","10","104831","","0","","","11","好、好的！\n……秋乃整個人都\n熱血起來了呢…","201",""
"12010044","","0","","","","","91","","201",""
"12010045","1","104831","0.3","0.3","","","3","nyx_talk_sad","201",""
"12010046","10","104831","","0","","","11","但不知道為什麼\n我好不安啊……\n只有滿滿的不安……","201",""
"12010047","","0","","","","","91","","201",""
"12010048","1","104831","0.3","0.3","","","3","nyx_idle_bitter2","201",""
"12010049","","0","","","","","91","","201",""
"12010050","","0.4","","","","","93","","201",""
"12010051","0","103231","","","","","4","0","201",""
"12010052","","2","","","","","4","0","201",""
"12010053","1","103231","0.2","0.2","","","3","nyx_201_akino_02","201",""
"12010054","1","2","0.2","0.2","","","3","nyx_201_akino_02","201",""
"12010055","-294.7","103231","","","2.2","","2","199","201",""
"12010056","-294.7","2","","","2.2","","2","199","201",""
"12010057","1","103431","0.2","0.2","","","3","nyx_cmn_03","201",""
"12010058","","2.2","","","","","93","","201",""
"12010059","1","103231","","","","","12","10","201",""
"12010060","1","103231","0.2","0.2","","","3","nyx_201_akino_01","201",""
"12010061","1","2","0.2","0.2","","","3","nyx_201_akino_01","201",""
"12010062","","0","","","","","91","","201",""
"12010063","1","103431","0.2","0.2","","","3","nyx_idle_surprise1","201",""
"12010064","","0","","","","","91","","201",""
"12010065","1","103431","0.2","0.2","","","3","nyx_102_chloe_02","201",""
"12010066","","103231","","","","","4","1","201",""
"12010067","","2","","","","","4","1","201",""
"12010068","1","103231","0.2","0.2","","","3","nyx_201_akino_02","201",""
"12010069","1","2","0.2","0.2","","","3","nyx_201_akino_02","201",""
"12010070","-294.7","103231","","","2.2","","2","-235.4","201",""
"12010071","-294.7","2","","","2.2","","2","-235.4","201",""
"12010072","","2.2","","","","","93","","201",""
"12010073","1","103231","","","","","12","10","201",""
"12010074","1","103231","0.2","0.2","","","3","nyx_201_akino_01","201",""
"12010075","1","2","0.2","","","","3","nyx_201_akino_01","201",""
"12010076","","3","","","","","93","","201",""
"12010077","0","104631","0.2","0.2","nyx_idle_normal","1","3","cmn_nod_def_N","201",""
"12010078","","0.8","","","","","93","","201",""
"12010079","1","104831","","","","","12","3","201",""
"12010080","0","104831","0.2","0.2","nyx_idle_sad","1","3","nyx_talk_worry","201",""
"12010081","","1","","","","","93","","201",""
"12010082","","12010051","","","","","101","","201",""
"12020001","100","1","0","1.2","-136","-255","5","3","202","nyx_202_tamaki_03_loop"
"12020002","110","1","1","1.2","183.7","-286.1","1","103231","202","nyx_idle_joy1"
"12020003","120","2","1","1.2","312.6","-286.1","5","5","202","nyx_202_yukari_01"
"12020004","110","1","1","1.2","312.6","-286.1","1","103431","202","nyx_202_yukari_01"
"12020005","120","1","0","1.2","-269.8","-286.1","1","104831","202","nyx_idle_normal"
"12020006","0","2","","1","0","1","31","1","202",""
"12020007","0","12","","1","34","1","31","2","202",""
"12020008","-74","16","","0","130","1","31","7","202",""
"12020009","110","3","0","1","-208","-255","5","4","202","nyx_yagura_idle"
"12020010","120","2","0","1.2","-269.8","-286.1","5","6","202","NoItem"
"12020011","","bgm_M347","","","","","25","bgm_M347","202",""
"12020012","","2","","","","","93","","202",""
"12020013","10","3","","","","","11","總覺得開發作業\n好像也變得開心\n起來了喵～！","202",""
"12020014","","0","","","","","91","","202",""
"12020015","10","3","","","","","11","事到如今我一定要\n讓它成為世界第一\n的鯛魚燒機喵！","202",""
"12020016","","0","","","","","91","","202",""
"12020017","10","3","","","","","11","看我把我的一切\n全部灌注進去\n喵～～！","202",""
"12020018","","0.4","","","","","93","","202",""
"12020019","0","3","","0.2","nyx_202_tamaki_loop","1","3","nyx_202_tamaki_03_puton","202",""
"12020020","","12020017","","","","","91","","202",""
"12020021","0","3","","0.2","nyx_202_tamaki_01","1","3","nyx_202_tamaki_up","202",""
"12020022","0","4","","","nyx_yagura_up_idle","1","3","nyx_yagura_up","202",""
"12020023","","2.4","","","","","93","","202",""
"12020024","","7","","","","","32","1","202",""
"12020025","1","103231","","0.2","","","3","nyx_202_akino_01_loop","202",""
"12020026","10","103231","","","","","11","喔～呵呵呵！\n真是美妙的\n抱負呢，珠希","202",""
"12020027","","0","","","","","91","","202",""
"12020028","1","104831","","0.2","","","3","nyx_talk_anger2","202",""
"12020029","10","104831","","","","","11","設計圖上可是\n沒有寫到什麼\n鯛魚燒哦！？","202",""
"12020030","","0","","","","","91","","202",""
"12020031","1","103431","","0.2","","","3","nyx_idle_anger2","202",""
"12020032","1","103431","","0.2","","","3","nyx_202_yukari_01","202",""
"12020033","10","103431","","","","","11","美冬……\n交給珠希去做就\n不會有問題啦……嗝","202",""
"12020034","","0","","","","","91","","202",""
"12020035","0","104831","0.2","0.2","nyx_cmn_04","","3","nyx_cmn_05","202",""
"12020036","10","104831","","0","","","11","優花梨？\n妳在喝什麼？\n……妳被收買了對吧？","202",""
"12020037","","0","","","","","91","","202",""
"12020038","1","103431","","0.2","","","3","nyx_202_yukari_01","202",""
"12020039","10","103431","","","","","11","咦～？\n尼在說什麼～？\n……嗯呵呵～♪","202",""
"12020040","","0","","","","","91","","202",""
"12020041","","2","","","","","93","","202",""
"12020042","1","103231","","","","","12","13","202",""
"12020043","0","103231","0.2","0.2","nyx_202_akino_01_loop","1","3","nyx_talk_joy2","202",""
"12020044","","2.5","","","","","93","","202",""
"12020045","1","104831","","","","","12","3","202",""
"12020046","1","104831","","0.2","","","3","nyx_talk_anger2","202",""
"12020047","","2","","","","","93","","202",""
"12020048","0","104831","","0.2","","","3","nyx_cmn_02","202",""
"12020049","0","6","","0.2","NoItem","1","3","nyx_cmn_02","202",""
"12020050","","1","","","","","93","","202",""
"12020051","0","104831","0.2","0.2","nyx_cmn_04","1","3","nyx_cmn_05","202",""
"12020052","","2","","","","","93","","202",""
"12020053","1","103431","","","","","12","5","202",""
"12020054","0","5","0.2","0.2","nyx_202_yukari_01","1","3","nyx_203_yukari_01","202",""
"12020055","0","103431","0.2","0.2","nyx_202_yukari_01","1","3","nyx_203_yukari_01","202",""
"12020056","","1.2","","","","","93","","202",""
"12020057","1","3","","","","","12","11","202",""
"12020058","","0.8","","","","","93","","202",""
"12020059","","12020041","","","","","101","","202",""
"12030001","130","1","0","1.2","-300","-286","1","104831","203","nyx_idle_normal"
"12030002","100","1","1","1.2","316","-286","1","104631","203","nyx_idle_normal"
"12030003","100","1","1","1.2","110","-286","1","103231","203","nyx_idle_normal"
"12030004","100","1","0","1.2","-200","-10","1","103431","203","nyx_203_yukari_01"
"12030005","0","2","","1","0","1","31","1","203",""
"12030006","-80","13","","1","34","1","31","2","203",""
"12030007","110","2","0","1.2","-200","-10","5","3","203","nyx_203_yukari_01"
"12030008","120","3","0","1","-250","-255","5","4","203","nyx_yagura_up_harf"
"12030009","","bgm_M347","","","","","25","bgm_M347","203",""
"12030010","","2","","","","","93","","203",""
"12030011","10","103431","","","","","11","奇怪～？\n這裡是哪裡～？\n我又是誰～？","203",""
"12030012","","0.6","","","","","93","","203",""
"12030013","0","103231","0.2","0.2","nyx_lookup_loop2","1","3","nyx_lookup","203",""
"12030014","","12030011","","","","","91","","203",""
"12030015","10","103431","","","","","11","嗯～？\n這勾大大的\n東西是什麼～","203",""
"12030016","","0.6","","","","","93","","203",""
"12030017","0","104631","0.2","0.2","nyx_lookup_loop2","1","3","nyx_lookup","203",""
"12030018","","12030015","","","","","91","","203",""
"12030019","0","3","","0.2","nyx_203_yukari_05","1","3","nyx_203_yukari_02","203",""
"12030020","0","103431","","0.2","nyx_203_yukari_05","1","3","nyx_203_yukari_02","203",""
"12030021","10","103431","","","","","11","你要不要也來一起\n喝麥酒～？\n很～好喝的哦～？","203",""
"12030022","","0.4","","","","","93","","203",""
"12030023","0","104831","0.2","0.2","nyx_lookup_loop2","1","3","nyx_lookup","203",""
"12030024","","12030021","","","","","91","","203",""
"12030025","","0.2","","","","","93","","203",""
"12030026","0","104831","0.2","0.2","nyx_idle_sad","1","3","nyx_cmn_02","203",""
"12030027","10","104831","","0","","","11","優花梨\n在做什麼啊…","203",""
"12030028","","0.1","","","","","93","","203",""
"12030029","0","103231","0.2","0.2","nyx_cmn_04","1","3","nyx_cmn_02","203",""
"12030030","10","103231","","","","","11","優花梨\n在做什麼呢…","203",""
"12030031","","0.1","","","","","93","","203",""
"12030032","0","104631","0.2","0.2","nyx_idle_sad","1","3","nyx_cmn_02","203",""
"12030033","10","104631","","","","","11","優花梨\n在做什麼喵…","203",""
"12030034","","0","","","","","91","","203",""
