872451b94c106a835ff19b9520f65550710a667f0560db62f54a4d427635909d,1faa76c7876e8c0c73240b46f1040620a0b140d94744e31e2b255c86354795e5,b3c1eb9801f49232f78cbc352de6a7a7af0155992faa532e3e23fdda4288790e,3a8600773e60954d9c43f0e560f99cf3c6d2a198ff58857ad46b2ac8408b7671,a68f68dd23aab20c41bbbbc05d1fe7a58f246ae547632af72d76e044bb0cebb6,cde16e653744cde0a777642e907133d1824b2a4702e4d7b23c82de9957dc8692,bbb56d915e4f44d6f92e58645f31d3b4f326e0aae4a13b32df5fe62184a9d938,6c735c3dd1664f5f8c8da1eb78f2065c83391f4fcc2088c067b65ece4cde2653,862728783fb7786d06ea77bf5b3d534b404d209f1b3da6aa9dd55b3eb56cbaa7
"3","4","53002","11702","3","3","3","22","3"
"2","3","53003","11801","2","2","3","22","3"
"2","3","53002","11802","2","2","3","22","2"
"1","2","53003","11901","1","1","3","22","2"
"1","2","53002","11902","1","1","3","22","1"
"0","1","53002","12001","0","1","3","22","2"
"-1","7","53003","12101","6","5","4","22","8"
"-1","7","53002","12102","6","5","4","22","4"
"5","6","53003","12201","5","4","4","22","6"
"5","6","53002","12202","5","4","4","22","5"
"4","5","53003","12301","4","3","4","22","5"
"4","5","53002","12302","4","3","4","22","5"
"3","4","53003","12401","3","3","4","22","4"
"3","4","53002","12402","3","3","4","22","3"
"2","3","53003","12501","2","2","4","22","3"
"2","3","53002","12502","2","2","4","22","2"
"1","2","53003","12601","1","1","4","22","2"
"1","2","53002","12602","1","1","4","22","1"
"0","1","53002","12701","0","1","4","22","2"
"-1","7","53003","12801","6","5","5","22","8"
"-1","7","53002","12802","6","5","5","22","4"
"5","6","53003","12901","5","4","5","22","6"
"5","6","53002","12902","5","4","5","22","5"
"4","5","53003","13001","4","3","5","22","5"
"4","5","53002","13002","4","3","5","22","5"
"3","4","53003","13101","3","3","5","22","4"
"3","4","53002","13102","3","3","5","22","3"
"2","3","53003","13201","2","2","5","22","3"
"2","3","53002","13202","2","2","5","22","2"
"1","2","53003","13301","1","1","5","22","2"
"1","2","53002","13302","1","1","5","22","1"
"0","1","53002","13401","0","1","5","22","2"
"-1","7","53003","13501","6","5","6","22","8"
"-1","7","53002","13502","6","5","6","22","4"
"5","6","53003","13601","5","4","6","22","6"
"5","6","53002","13702","5","4","6","22","5"
"4","5","53003","13801","4","3","6","22","5"
"4","5","53002","13902","4","3","6","22","5"
"3","4","53003","14001","3","3","6","22","4"
"3","4","53002","14002","3","3","6","22","3"
"2","3","53003","14101","2","2","6","22","3"
"2","3","53002","14102","2","2","6","22","2"
"1","2","53003","14201","1","1","6","22","2"
"1","2","53002","14202","1","1","6","22","1"
"0","1","53002","14301","0","1","6","22","2"
"-1","7","53003","14401","6","5","7","22","8"
"-1","7","53002","14402","6","5","7","22","4"
"5","6","53003","14501","5","4","7","22","6"
"5","6","53002","14502","5","4","7","22","5"
"4","5","53003","14601","4","3","7","22","5"
"4","5","53002","14701","4","3","7","22","5"
"3","4","53003","14801","3","3","7","22","4"
"3","4","53002","14802","3","3","7","22","3"
"2","3","53003","14901","2","2","7","22","3"
"2","3","53002","14902","2","2","7","22","2"
"1","2","53003","15001","1","1","7","22","2"
"1","2","53002","15002","1","1","7","22","1"
"0","1","53002","15101","0","1","7","22","2"
"-1","7","53003","15201","6","5","8","22","8"
"-1","7","53002","15202","6","5","8","22","4"
"5","6","53003","15301","5","4","8","22","6"
"5","6","53002","15302","5","4","8","22","5"
"4","5","53003","15401","4","3","8","22","5"
"4","5","53002","15402","4","3","8","22","5"
"3","4","53003","15501","3","3","8","22","4"
"3","4","53002","15502","3","3","8","22","3"
"2","3","53003","15601","2","2","8","22","3"
"2","3","53002","15602","2","2","8","22","2"
"1","2","53003","15701","1","1","8","22","2"
"1","2","53002","15702","1","1","8","22","1"
"0","1","53002","15901","0","1","8","22","2"
"-1","7","53003","16001","6","5","9","22","8"
"-1","7","53002","16002","6","5","9","22","4"
"5","6","53003","16101","5","4","9","22","6"
"5","6","53002","16102","5","4","9","22","5"
"4","5","53003","16201","4","3","9","22","5"
"4","5","53002","16202","4","3","9","22","5"
"3","4","53003","16301","3","3","9","22","4"
"3","4","53002","16302","3","3","9","22","3"
"2","3","53003","16401","2","2","9","22","3"
"2","3","53002","16402","2","2","9","22","2"
"1","2","53003","16501","1","1","9","22","2"
"1","2","53002","16502","1","1","9","22","1"
"0","1","53002","16601","0","1","9","22","2"
"-1","7","53003","16701","6","5","10","22","8"
"-1","7","53002","16702","6","5","10","22","4"
"5","6","53003","16801","5","4","10","22","6"
"5","6","53002","16802","5","4","10","22","5"
"4","5","53003","16901","4","3","10","22","5"
"4","5","53002","16902","4","3","10","22","5"
"3","4","53003","17001","3","3","10","22","4"
"3","4","53002","17002","3","3","10","22","3"
"2","3","53003","17101","2","2","10","22","3"
"2","3","53002","17102","2","2","10","22","2"
"1","2","53003","17201","1","1","10","22","2"
"1","2","53002","17202","1","1","10","22","1"
"0","1","53002","17301","0","1","10","22","2"
"-1","7","53003","17401","6","5","11","22","8"
"-1","7","53002","17402","6","5","11","22","4"
"5","6","53003","17501","5","4","11","22","6"
"5","6","53002","17502","5","4","11","22","5"
"4","5","53003","17601","4","3","11","22","5"
"4","5","53002","17602","4","3","11","22","5"
"3","4","53003","17701","3","3","11","22","4"
"3","4","53002","17702","3","3","11","22","3"
"2","3","53003","17801","2","2","11","22","3"
"2","3","53002","17802","2","2","11","22","2"
"1","2","53003","17901","1","1","11","22","2"
"1","2","53002","17902","1","1","11","22","1"
"0","1","53002","18001","0","1","11","22","2"
"-1","7","53003","18101","6","5","12","22","8"
"-1","7","53002","18102","6","5","12","22","4"
"5","6","53003","18201","5","4","12","22","6"
"5","6","53002","18202","5","4","12","22","5"
"4","5","53003","18301","4","3","12","22","5"
"4","5","53002","18302","4","3","12","22","5"
"3","4","53003","18401","3","3","12","22","4"
"3","4","53002","18402","3","3","12","22","3"
"2","3","53003","18501","2","2","12","22","3"
"2","3","53002","18502","2","2","12","22","2"
"1","2","53003","18601","1","1","12","22","2"
"1","2","53002","18602","1","1","12","22","1"
"0","1","53002","18701","0","1","12","22","2"
