eda7fecb09e7ffd612846a043b3ea74b806f2033b2062338b2431f3f47ff5140,85d0898ca0cf50159d339e04e3f71f84cd6f4c72b17bd3a8698b1b91c39cc3d1,56741d2fd09dc612a81926a51e0a45de60e964a71f62b2c32802909c5bda2e0a,6725a36255b3b732fe2ff1611d55d9cec0750b957bba36b4d2c55548e5d8dd63,fd4f0b5970b8c77b609b9212330d9b3484279d4f639c2c76465c9f7b306150ab,8b5fdfaf76b6186a703ec3547596cd6ab842474090cd0728fddcfbf23c4b4ee9,a3cbe9d416f8bf5314aeb8989221c7a78b836570cd3e929010c2c5e6883acb9f,f76ae966daea3e750122b3097e775f771d100717bf206026d2ba70eb96a0ec53
"43","2","2000","5","31805","96003","3","5"
"44","2","1500","5","31240","96003","3","5"
"45","2","1500","5","31238","96003","3","5"
"46","2","1500","5","31236","96003","3","5"
"47","2","2500","10","90005","96003","3","5"
"48","4","2500","50","140001","96003","3","5"
"49","2","500","5","25001","96003","3","5"
"50","4","500","30","150003","96003","3","5"
"51","4","650","30","150004","96003","3","5"
"52","4","750","30","150005","96003","3","5"
"53","4","900","30","150006","96003","3","5"
"54","4","1000","30","150007","96003","3","5"
"55","4","1150","30","150008","96003","3","5"
"56","2","2500","500","20004","96003","3","5"
"57","2","1000","500","22003","96003","3","5"
"58","2","1000","100","20004","96003","3","0"
"59","2","400","100","22003","96003","3","0"
"60","2","20000","1","21952","96004","4","1"
"61","2","10000","1","21905","96004","4","1"
"62","2","10000","1","41000","96004","4","2"
"63","2","2000","5","31807","96004","4","5"
"64","2","1500","5","31245","96004","4","5"
"65","2","1500","5","31248","96004","4","5"
"66","2","1500","5","31250","96004","4","5"
"67","2","1500","5","31091","96004","4","5"
"68","2","2500","10","90005","96004","4","5"
"69","4","2500","50","140001","96004","4","10"
"70","2","1000","10","25001","96004","4","10"
"71","4","500","30","150003","96004","4","5"
"72","4","650","30","150004","96004","4","5"
"73","4","750","30","150005","96004","4","5"
"74","4","900","30","150006","96004","4","5"
"75","4","1000","30","150007","96004","4","5"
"76","4","1150","30","150008","96004","4","5"
"77","4","1300","30","150009","96004","4","5"
"78","2","2500","500","20004","96004","4","5"
"79","2","1000","500","22003","96004","4","5"
"80","2","1000","100","20004","96004","4","0"
"81","2","400","100","22003","96004","4","0"
"82","2","20000","1","25101","96005","5","1"
"83","2","20000","1","21952","96005","5","1"
"84","2","10000","1","21905","96005","5","1"
"85","2","10000","1","41000","96005","5","2"
"86","2","1500","5","31200","96005","5","5"
"87","2","1500","5","31253","96005","5","5"
"88","2","1500","5","31255","96005","5","5"
"89","2","1500","5","31256","96005","5","5"
"90","2","2500","10","90005","96005","5","5"
"91","4","2500","50","140001","96005","5","10"
"92","2","1000","10","25001","96005","5","10"
"93","4","500","30","150003","96005","5","5"
"94","4","650","30","150004","96005","5","5"
"95","4","750","30","150005","96005","5","5"
"96","4","900","30","150006","96005","5","5"
"97","4","1000","30","150007","96005","5","5"
"98","4","1150","30","150008","96005","5","5"
"99","4","1300","30","150009","96005","5","5"
"100","2","2500","500","20004","96005","5","5"
"101","2","1000","500","22003","96005","5","5"
"102","2","1000","100","20004","96005","5","0"
"103","2","400","100","22003","96005","5","0"
"104","2","20000","1","25101","96006","6","1"
"105","2","20000","1","21952","96006","6","1"
"106","2","10000","1","21905","96006","6","1"
"107","2","10000","1","41000","96006","6","2"
"108","2","1500","5","31262","96006","6","5"
"109","2","1500","5","31266","96006","6","5"
"110","2","1500","5","31269","96006","6","5"
"111","2","1500","5","31271","96006","6","5"
"112","2","2500","10","90005","96006","6","5"
"113","4","2500","50","140001","96006","6","10"
"114","2","1000","10","25001","96006","6","10"
"115","4","500","30","150003","96006","6","5"
"116","4","650","30","150004","96006","6","5"
"117","4","750","30","150005","96006","6","5"
"118","4","900","30","150006","96006","6","5"
"119","4","1000","30","150007","96006","6","5"
"120","4","1150","30","150008","96006","6","5"
"121","4","1300","30","150009","96006","6","5"
"122","2","2500","500","20004","96006","6","5"
"123","2","1000","500","22003","96006","6","5"
"124","2","1000","100","20004","96006","6","0"
"125","2","400","100","22003","96006","6","0"
"126","2","20000","1","25101","96007","7","1"
"127","2","20000","1","21952","96007","7","1"
"128","2","10000","1","21905","96007","7","1"
"129","2","10000","1","41000","96007","7","2"
"130","2","1500","5","31272","96007","7","5"
"131","2","2000","5","31808","96007","7","5"
"132","2","1500","5","31275","96007","7","5"
"133","2","2500","10","90005","96007","7","5"
"134","4","2500","50","140001","96007","7","10"
"135","2","1000","10","25001","96007","7","10"
"136","4","500","30","150003","96007","7","5"
"137","4","650","30","150004","96007","7","5"
"138","4","750","30","150005","96007","7","5"
"139","4","900","30","150006","96007","7","5"
"140","4","1000","30","150007","96007","7","5"
"141","4","1150","30","150008","96007","7","5"
"142","4","1300","30","150009","96007","7","5"
"143","2","2500","500","20004","96007","7","5"
"144","2","1000","500","22003","96007","7","5"
"145","2","1000","100","20004","96007","7","0"
"146","2","400","100","22003","96007","7","0"
"147","2","20000","1","25101","96008","8","1"
"148","2","20000","1","21952","96008","8","1"
"149","2","10000","1","21905","96008","8","1"
"150","2","10000","1","41000","96008","8","2"
"151","2","1500","5","31279","96008","8","5"
"152","2","2000","5","31809","96008","8","5"
"153","2","1500","5","31284","96008","8","5"
"154","2","1500","5","31285","96008","8","5"
"155","2","1500","5","31289","96008","8","5"
"156","2","1500","5","31287","96008","8","5"
"157","2","1500","5","31293","96008","8","5"
"158","2","2500","10","90005","96008","8","5"
"159","4","2500","50","140001","96008","8","10"
"160","2","1000","10","25001","96008","8","10"
"161","4","500","30","150003","96008","8","5"
"162","4","650","30","150004","96008","8","5"
"163","4","750","30","150005","96008","8","5"
"164","4","900","30","150006","96008","8","5"
"165","4","1000","30","150007","96008","8","5"
"166","4","1150","30","150008","96008","8","5"
"167","4","1300","30","150009","96008","8","5"
"168","2","2500","500","20004","96008","8","5"
"169","2","1000","500","22003","96008","8","5"
"170","2","1000","100","20004","96008","8","0"
"171","2","400","100","22003","96008","8","0"
"172","2","20000","1","25101","96009","9","1"
"173","2","20000","1","21952","96009","9","1"
"174","2","10000","1","21905","96009","9","1"
"175","2","10000","1","41000","96009","9","2"
"176","2","1500","5","31298","96009","9","5"
"177","2","2000","5","31181","96009","9","5"
"178","2","1500","5","31307","96009","9","5"
"179","2","1500","5","31310","96009","9","5"
"180","2","2500","10","90005","96009","9","5"
"181","4","2500","50","140001","96009","9","10"
"182","2","1000","10","25001","96009","9","10"
"183","4","500","30","150003","96009","9","5"
"184","4","650","30","150004","96009","9","5"
"185","4","750","30","150005","96009","9","5"
"186","4","900","30","150006","96009","9","5"
"187","4","1000","30","150007","96009","9","5"
"188","4","1150","30","150008","96009","9","5"
"189","4","1300","30","150009","96009","9","5"
"190","2","2500","500","20004","96009","9","5"
"191","2","1000","500","22003","96009","9","5"
"192","2","1000","100","20004","96009","9","0"
"193","2","400","100","22003","96009","9","0"
