0410a359836ff245e0ce8275d8e7e545f7f4a9179269d502234f2028563be332,520e50bb14e48166841675e3dc900755bb6464f7652d6676e069b15690c38631,0ae645c834a9cccbb3db4c251a76a4559be02c5b18e6129a8b0e36281fa0db40,c8cb11116714d7e832e42a8e2382fb63fa9726af81e3f3b6ba0b480be35ec29d,55d2075448c96e765a371ba37a257e4155323d751b5368c0026172e8751c1420
"追加1隻闇影","追加嘉夜（解放者）的闇影。","add_shadow","74002205","68"
"追加1隻闇影","追加望的闇影。","add_shadow","74002302","69"
"追加2隻闇影","追加望與凱留（公主）的闇影。","add_shadow","74002303","70"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74002304","71"
"強化闇影","望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","star6_shadow","74002304","72"
"追加2隻闇影","追加望與凱留（公主）的闇影。","add_shadow","74002304","73"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74002305","74"
"開始時提升物理防禦力","戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","boss_def_up","74002305","75"
"開始時提升魔法防禦力","戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","boss_magic_def_up","74002305","76"
"強化闇影","望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","star6_shadow","74002305","77"
"追加2隻闇影","追加望與凱留（公主）的闇影。","add_shadow","74002305","78"
"追加1隻闇影","追加綾音的闇影。","add_shadow","74002402","79"
"追加2隻闇影","追加綾音與貪吃佩可（夏日）的闇影。","add_shadow","74002403","80"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74002404","81"
"強化闇影","綾音與貪吃佩可（夏日）的闇影變成★6。","star6_shadow","74002404","82"
"追加2隻闇影","追加綾音與貪吃佩可（夏日）的闇影。","add_shadow","74002404","83"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74002405","84"
"開始時提升物理防禦力","戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","boss_def_up","74002405","85"
"開始時提升魔法防禦力","戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","boss_magic_def_up","74002405","86"
"強化闇影","綾音與貪吃佩可（夏日）的闇影變成★6。","star6_shadow","74002405","87"
"追加2隻闇影","追加綾音與貪吃佩可（夏日）的闇影。","add_shadow","74002405","88"
"戰鬥時間限制","戰鬥時間變成70秒。","limit_time","74002502","89"
"戰鬥時間限制","戰鬥時間變成60秒。","limit_time","74002503","90"
"戰鬥時間限制","戰鬥時間變成60秒。","limit_time","74002504","91"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74002504","92"
"戰鬥時間限制","戰鬥時間變成45秒。","limit_time","74002505","93"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74002505","94"
"強化闇影","對霞、初音、優衣（公主）的闇影追加專用裝備。","star6_shadow","74003102","95"
"追加1隻闇影","追加雪的闇影。","add_shadow","74003103","96"
"強化闇影","初音、雪的闇影變成★6。","star6_shadow","74003103","97"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74003104","98"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74003105","99"
"闇影提升最大HP","所有闇影的最大HP大幅度提升。","max_hp_up","74003105","100"
"追加1隻怪物","追加詛咒‧遠古遺物。","add_shadow","74003202","101"
"強化闇影","碧的闇影變成★6。","star6_shadow","74003203","102"
"開始時魔法傷害降低","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少50%的狀態。","boss_magic_cut","74003204","103"
"強化怪物","強化詛咒‧遠古遺物的技能。","boss_ub_enhance","74003204","104"
"開始時魔法傷害降低","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少75%的狀態。","boss_magic_cut","74003205","105"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74003205","106"
"追加1隻怪物","追加治癒‧遠古遺物。","add_shadow","74003302","107"
"強化闇影","對凱留（新年）的闇影追加專用裝備。","star6_shadow","74003303","108"
"開始時物理傷害降低","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少50%的狀態。","boss_physics_cut","74003304","109"
"強化怪物","強化治癒‧遠古遺物的技能。","boss_ub_enhance","74003304","110"
"開始時物理傷害降低","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少75%的狀態。","boss_physics_cut","74003305","111"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74003305","112"
"提升Boss物理防禦力（不可降低）","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74003402","113"
"提升Boss魔法防禦力（不可降低）","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74003402","114"
"戰鬥時間限制","戰鬥時間變成70秒。","limit_time","74003403","115"
"提升Boss物理防禦力（不可降低）","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74003403","116"
"提升Boss魔法防禦力（不可降低）","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74003403","117"
"戰鬥時間限制","戰鬥時間變成70秒。","limit_time","74003404","118"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74003404","119"
"減少降低Boss TP","戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","boss_tp_down_cut","74003404","120"
"提升Boss物理防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74003404","121"
"提升Boss魔法防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74003404","122"
"戰鬥時間限制","戰鬥時間變成50秒。","limit_time","74003405","123"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74003405","124"
"減少降低Boss TP","戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","boss_tp_down_cut","74003405","125"
"提升Boss物理防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74003405","126"
"提升Boss魔法防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74003405","127"
"提升Boss物理防禦力（不可降低）","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74003502","128"
"提升Boss魔法防禦力（不可降低）","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74003502","129"
"提升Boss物理防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74003503","130"
"提升Boss魔法防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74003503","131"
"追加1隻怪物","追加露娜聚光燈。","add_shadow","74003504","132"
"提升Boss物理防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74003504","133"
"提升Boss魔法防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74003504","134"
"追加1隻闇影","追加霸瞳皇帝的闇影。","add_shadow","74003505","135"
"提升Boss物理防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74003505","136"
"提升Boss魔法防禦力（不可降低）","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74003505","137"
"強化闇影","對祈梨、咲戀、依里、優妮的闇影追加專用裝備。","star6_shadow","74004102","138"
"追加1隻闇影","追加咲戀（夏日）的闇影。","add_shadow","74004103","139"
"強化闇影","咲戀、依里的闇影變成★6。","star6_shadow","74004103","140"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74004104","141"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74004105","142"
"闇影提升最大HP","所有闇影的最大HP大幅度提升。","max_hp_up","74004105","143"
"追加1隻怪物","追加守護‧遠古遺物。","add_shadow","74004202","144"
"強化闇影","對似似花（新年）的闇影追加專用裝備。","star6_shadow","74004203","145"
"強化怪物","強化守護‧遠古遺物的技能。","boss_ub_enhance","74004204","146"
"開始時恢復HP","戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","hp_recover","74004204","147"
"開始時恢復HP","戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","hp_recover","74004205","148"
"開始時賦予持續恢復TP","戰鬥開始時，守護‧遠古遺物將賦予我方全體持續恢復TP的狀態。","energy_recover","74004205","149"
"追加1隻怪物","追加戰鬥‧遠古遺物。","add_shadow","74004302","150"
"強化闇影","莉瑪的闇影變成★6。","star6_shadow","74004303","151"
"強化怪物","強化戰鬥‧遠古遺物的技能。","boss_ub_enhance","74004304","152"
"開始時展開提升行動速度領域","戰鬥開始時，戰鬥‧遠古遺物將展開特大幅度提升我方全體行動速度的領域。","boss_haste","74004305","153"
"降低角色的最大HP","隊伍角色的最大HP降低20%。","max_hp_down","74004402","154"
"戰鬥時間限制","戰鬥時間變成75秒。","limit_time","74004403","155"
"降低角色的最大HP","隊伍角色的最大HP降低20%。","max_hp_down","74004403","156"
"戰鬥時間限制","戰鬥時間變成75秒。","limit_time","74004404","157"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74004404","158"
"降低角色的最大HP","隊伍角色的最大HP降低20%。","max_hp_down","74004404","159"
"戰鬥時間限制","戰鬥時間變成60秒。","limit_time","74004405","160"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74004405","161"
"降低角色的最大HP","隊伍角色的最大HP降低20%。","max_hp_down","74004405","162"
"降低角色的最大HP","隊伍角色的最大HP降低20%。","max_hp_down","74004502","163"
"BossUB、技能強化","Boss怪物的必殺技與技能會受到強化。","boss_ub_enhance","74004503","164"
"減少降低Boss TP","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut","74004503","165"
"降低角色的最大HP","隊伍角色的最大HP降低20%。","max_hp_down","74004503","166"
"追加1隻怪物","追加露娜聚光燈。","add_shadow","74004504","167"
"減少降低Boss TP","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut","74004504","168"
"降低角色的最大HP","隊伍角色的最大HP降低20%。","max_hp_down","74004504","169"
"追加1隻闇影","追加綾音的闇影。","add_shadow","74004505","170"
"減少降低Boss TP","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut","74004505","171"
"降低角色的最大HP","隊伍角色的最大HP降低20%。","max_hp_down","74004505","172"
"強化闇影","對莉瑪、嘉夜、祈梨、咲戀（夏日）的闇影追加專用裝備。","star6_shadow","74005102","173"
"強化闇影","莉瑪、嘉夜、祈梨的闇影變成★6。","star6_shadow","74005103","174"
"物理傷害降低","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","boss_physics_cut","74005103","175"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74005104","176"
"物理傷害降低","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","boss_physics_cut","74005104","177"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74005105","178"
"物理傷害降低","戰鬥開始時，所有怪物的物理傷害為減少100％的狀態。","boss_physics_cut","74005105","179"
"強化闇影","對宮子、怜（新年）、優花梨、初音、美咲（萬聖節）的闇影追加專用裝備。","star6_shadow","74005202","180"
"強化闇影","宮子、怜（新年）、優花梨、初音的闇影變成★6。","star6_shadow","74005203","181"
"魔法傷害降低","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","boss_magic_cut","74005203","182"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74005204","183"
"魔法傷害降低","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","boss_magic_cut","74005204","184"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74005205","185"
"魔法傷害降低","戰鬥開始時，所有怪物的魔法傷害為減少100％的狀態。","boss_magic_cut","74005205","186"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005301","187"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005301","188"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005301","189"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005301","190"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005301","191"
"追加怪物","追加軟泥怪、雷雲長老。","add_shadow","74005302","192"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005302","193"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005302","194"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005302","195"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005302","196"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005302","197"
"追加怪物","追加優花梨、帆稀（新年）。","add_shadow","74005303","198"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005303","199"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005303","200"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005303","201"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005303","202"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005303","203"
"追加怪物","追加露娜聚光燈。","add_shadow","74005304","204"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005304","205"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005304","206"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005304","207"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005304","208"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005304","209"
"戰鬥時間限制","戰鬥時間變成60秒。","limit_time","74005305","210"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005305","211"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005305","212"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005305","213"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005305","214"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005305","215"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005401","216"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005401","217"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005401","218"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005401","219"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005401","220"
"追加怪物","追加岩龜暴君、鬼燈螢。","add_shadow","74005402","221"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005402","222"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005402","223"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005402","224"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005402","225"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005402","226"
"追加怪物","追加靜流（黑暗）、可可蘿（夏日）。","add_shadow","74005403","227"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005403","228"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005403","229"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005403","230"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005403","231"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005403","232"
"追加怪物","追加露娜聚光燈。","add_shadow","74005404","233"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005404","234"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005404","235"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005404","236"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005404","237"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005404","238"
"戰鬥時間限制","戰鬥時間變成60秒。","limit_time","74005405","239"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005405","240"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005405","241"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005405","242"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005405","243"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005405","244"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005501","245"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005501","246"
"提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","74005501","247"
"提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","74005501","248"
"降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","74005501","249"
"減少降低TP","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut","74005501","250"
"追加怪物","追加魔像、烏帕魯帕。","add_shadow","74005502","251"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","74005502","252"
"賦予TP上升的上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","74005502","253"
