714b50524e86e3b0b8583bbd71e08fbbba36279e3a7567d290613035788d71dc,ca04c02da68710fe7f3ad68950d49072ca4a46aa80f10130064c3644ccb01a23,e3e1cbd31d434b151b4271581b3c4c839aed6dba76fac57e0b200e9a2b148daa,bf6ff8c86b100aea249c9ddcf3fedc7ff9f62f34ce3c33583d28bedf0175fbf7,04370ab02b585dbee8ec45ec305fe3ccdd543118b1c111197b2308af7472ee14,9aec366a6185d13931157010ec80f8e9325b585e093eb345e15e094c8a1d24ac,f4c9a2aa8629f860a1d1d291cbaf5b66743517ee18012955582e1635e062a386,6d92f81f990040aeb92581d0451ce839394e5f03e1f1ff7eaccb377feddc83aa
"100605","1006","1","10416000000000","100605","36000","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。"
"100606","1006","1","9920000000000","100606","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100607","1006","1","9548000000000","100607","36000","每秒HP恢復90秒","戰鬥開始90秒內，每秒恢復我方的HP。"
"100608","1006","1","9176000000000","100608","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100609","1006","1","8680000000000","100609","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100610","1006","1","8308000000000","100610","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100611","1006","1","7936000000000","100611","36000","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。"
"100612","1006","1","7440000000000","100612","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100613","1006","1","7068000000000","100613","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100614","1006","1","6696000000000","100614","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100615","1006","1","6324000000000","100615","36000","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。"
"100616","1006","1","5828000000000","100616","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100617","1006","1","5456000000000","100617","36000","每秒HP恢復90秒","戰鬥開始90秒內，每秒恢復我方的HP。"
"100618","1006","1","5084000000000","100618","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100619","1006","1","4588000000000","100619","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100620","1006","1","4216000000000","100620","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100621","1006","1","3844000000000","100621","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100622","1006","1","3348000000000","100622","36000","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。"
"100623","1006","1","2976000000000","100623","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100624","1006","1","2604000000000","100624","36000","每秒HP恢復90秒","戰鬥開始90秒內，每秒恢復我方的HP。"
"100625","1006","1","2232000000000","100625","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100626","1006","1","1736000000000","100626","36000","TP提升150","戰鬥開始時，我方的TP提升150。"
"100627","1006","1","1364000000000","100627","36000","無敵10秒","戰鬥開始10秒內，我方進入無敵狀態。"
"100628","1006","1","992000000000","100628","36000","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。"
"100629","1006","1","496000000000","100629","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100630","1006","1","124000000000","100630","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100701","1007","1","7469000000000","100701","36000","每秒TP提升90秒","戰鬥開始90秒內，每秒提升我方的TP。"
"100702","1007","1","7161000000000","100702","36000","TP提升50","戰鬥開始時，我方的TP提升50。"
"100703","1007","1","6930000000000","100703","36000","火傷傷害10秒","戰鬥開始10秒內，敵人陷入火傷狀態。"
"100704","1007","1","6699000000000","100704","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100705","1007","1","6468000000000","100705","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100706","1007","1","6160000000000","100706","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100707","1007","1","5929000000000","100707","36000","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。"
"100708","1007","1","5698000000000","100708","36000","火傷傷害10秒","戰鬥開始10秒內，敵人陷入火傷狀態。"
"100709","1007","1","5390000000000","100709","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100710","1007","1","5159000000000","100710","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100711","1007","1","4928000000000","100711","36000","每秒TP提升90秒","戰鬥開始90秒內，每秒提升我方的TP。"
"100712","1007","1","4620000000000","100712","36000","火傷傷害10秒","戰鬥開始10秒內，敵人陷入火傷狀態。"
"100713","1007","1","4389000000000","100713","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100714","1007","1","4158000000000","100714","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100715","1007","1","3927000000000","100715","36000","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。"
"100716","1007","1","3619000000000","100716","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100717","1007","1","3388000000000","100717","36000","TP提升100","戰鬥開始時，我方的TP提升100。"
"100718","1007","1","3157000000000","100718","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100719","1007","1","2849000000000","100719","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100720","1007","1","2618000000000","100720","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100721","1007","1","2387000000000","100721","36000","每秒TP提升90秒","戰鬥開始90秒內，每秒提升我方的TP。"
"100722","1007","1","2079000000000","100722","36000","TP提升150","戰鬥開始時，我方的TP提升150。"
"100723","1007","1","1848000000000","100723","36000","火傷傷害10秒","戰鬥開始10秒內，敵人陷入火傷狀態。"
"100724","1007","1","1617000000000","100724","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100725","1007","1","1386000000000","100725","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100726","1007","1","1078000000000","100726","36000","TP提升150","戰鬥開始時，我方的TP提升150。"
"100727","1007","1","847000000000","100727","36000","無敵10秒","戰鬥開始10秒內，我方進入無敵狀態。"
"100728","1007","1","616000000000","100728","36000","火傷傷害10秒","戰鬥開始10秒內，敵人陷入火傷狀態。"
"100729","1007","1","308000000000","100729","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100730","1007","1","77000000000","100730","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100801","1008","1","12028000000000","100801","36000","毒傷害10秒","戰鬥開始10秒內，敵人陷入中毒狀態。"
"100802","1008","1","11532000000000","100802","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100803","1008","1","11160000000000","100803","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100804","1008","1","10788000000000","100804","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100805","1008","1","10416000000000","100805","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100806","1008","1","9920000000000","100806","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100807","1008","1","9548000000000","100807","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100808","1008","1","9176000000000","100808","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100809","1008","1","8680000000000","100809","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100810","1008","1","8308000000000","100810","36000","降低魔法攻擊90秒","戰鬥開始90秒內，使敵人的魔法攻擊力下降。"
"100811","1008","1","7936000000000","100811","36000","毒傷害10秒","戰鬥開始10秒內，敵人陷入中毒狀態。"
"100812","1008","1","7440000000000","100812","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100813","1008","1","7068000000000","100813","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100814","1008","1","6696000000000","100814","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100815","1008","1","6324000000000","100815","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100816","1008","1","5828000000000","100816","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100817","1008","1","5456000000000","100817","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100818","1008","1","5084000000000","100818","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100819","1008","1","4588000000000","100819","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100820","1008","1","4216000000000","100820","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100821","1008","1","3844000000000","100821","36000","毒傷害10秒","戰鬥開始10秒內，敵人陷入中毒狀態。"
"100822","1008","1","3348000000000","100822","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100823","1008","1","2976000000000","100823","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100824","1008","1","2604000000000","100824","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100825","1008","1","2232000000000","100825","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100826","1008","1","1736000000000","100826","36000","TP提升150","戰鬥開始時，我方的TP提升150。"
"100827","1008","1","1364000000000","100827","36000","無敵10秒","戰鬥開始10秒內，我方進入無敵狀態。"
"100828","1008","1","992000000000","100828","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100829","1008","1","496000000000","100829","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100830","1008","1","124000000000","100830","36000","毒傷害10秒","戰鬥開始10秒內，敵人陷入中毒狀態。"
