9b3a3f3c727b48d86c2c2f20e96e4263ad9aec9c644020e6933b2944eee09853,909196a8b3246ff392cfaf1655e6cd31c5e20fb57f1d9577e2f307d37e45ca74,612422afed69a7202f291c1699d8e010b47f59f43566c4ed630d584381066b6a,1e4521ef2d2fa900bf758e80d4ecc75114e3503a99b59b2da0635bbdbb71ef43,7494f0616aa13579af29b466f81dce3da93cddc3c99de7e66dbb81750a5194a7,84644a6ee08f19d77532893523ec6745a7932b29fd7211abedd39dd518c89677
"803100257","100","2145076","0","300306","104"
"803100257","101","2145077","0","300307","107"
"803100257","111","2145078","1","300308","204"
"803100257","112","2145079","1","300309","205"
"803100257","100","2145080","0","300310","104"
"803100258","101","2145081","0","300311","107"
"803100258","101","2145082","0","300312","107"
"803100258","113","2145083","1","300313","202"
"803100258","114","2145084","1","300314","203"
"803100258","100","2145085","0","300315","104"
"803100258","101","2145086","0","300316","107"
"803100258","111","2145087","1","300317","204"
"803100258","112","2145088","1","300318","205"
"803100258","100","2145089","0","300319","104"
"803100258","101","2145090","0","300320","107"
"803100259","100","2145091","0","300321","104"
"803100259","101","2145092","0","300322","107"
"803100259","113","2145093","1","300323","202"
"803100259","112","2145094","1","300324","208"
"803100259","100","2145095","0","300325","104"
"803100259","101","2145096","0","300326","107"
"803100259","111","2145097","1","300327","204"
"803100259","112","2145098","1","300328","205"
"803100260","102","2146011","0","300401","105"
"803100260","102","2146012","0","300402","105"
"803100260","113","2146013","1","300403","202"
"803100260","114","2146014","1","300404","203"
"803100260","102","2146015","0","300405","105"
"803100260","113","2146016","1","300406","202"
"803100260","114","2146017","1","300407","203"
"803100260","102","2146018","0","300408","105"
"803100260","102","2146019","0","300409","105"
"803100260","102","2146020","0","300410","105"
"803100261","102","2146021","0","300411","105"
"803100261","113","2146022","1","300412","202"
"803100261","114","2146023","1","300413","203"
"803100261","102","2146024","0","300414","105"
"803100261","113","2146025","1","300415","202"
"803100261","114","2146026","1","300416","203"
"803100261","102","2146027","0","300417","105"
"803100261","102","2146028","0","300418","105"
"803100261","113","2146029","1","300419","202"
"803100261","113","2146030","1","300420","202"
"803100262","113","2146031","1","300421","202"
"803100262","114","2146032","1","300422","203"
"803100262","102","2146033","0","300423","105"
"803100262","112","2146034","1","300424","208"
"803100262","110","2146035","1","300425","212"
"803100262","113","2146036","1","300426","202"
"803100262","113","2146037","1","300427","202"
"803100262","102","2146038","0","300428","105"
"803100264","100","2146051","0","300501","104"
"803100264","100","2146052","0","300502","104"
"803100264","100","2146053","0","300503","104"
"803100264","100","2146054","0","300504","104"
"803100264","102","2146055","0","300505","105"
"803100264","103","2146056","0","300506","106"
"803100264","100","2146057","0","300507","104"
"803100264","100","2146058","0","300508","104"
"803100264","102","2146059","0","300509","105"
"803100264","103","2146060","0","300510","106"
"803100265","100","2146061","0","300511","104"
"803100265","100","2146062","0","300512","104"
"803100265","100","2146063","0","300513","104"
"803100265","100","2146064","0","300514","104"
"803100265","102","2146065","0","300515","105"
"803100265","103","2146066","0","300516","106"
"803100265","100","2146067","0","300517","104"
"803100265","100","2146068","0","300518","104"
"803100265","102","2146069","0","300519","105"
"803100265","103","2146070","0","300520","106"
"803100266","100","2146071","0","300521","104"
"803100266","100","2146072","0","300522","104"
"803100266","113","2146073","1","300523","202"
"803100266","114","2146074","1","300524","203"
"803100266","100","2146075","0","300525","104"
"803100266","112","2146076","1","300526","208"
"803100266","110","2146077","1","300527","212"
"803100266","113","2146078","1","300528","202"
"803100266","114","2146079","1","300529","203"
"803100266","100","2146080","0","300530","104"
"803100268","114","2146091","1","300601","203"
"803100268","113","2146092","1","300602","202"
"803100268","102","2146093","0","300603","105"
"803100268","114","2146094","1","300604","203"
"803100268","103","2146095","0","300605","106"
"803100268","114","2146096","1","300606","203"
"803100268","111","2146097","1","300607","204"
"803100268","114","2146098","1","300608","203"
"803100268","113","2146099","1","300609","202"
"803100268","102","2146100","0","300610","105"
"803100269","114","2147011","1","300611","203"
"803100269","103","2147012","0","300612","106"
"803100269","114","2147013","1","300613","203"
"803100269","111","2147014","1","300614","204"
"803100269","110","2147015","1","300615","212"
"803100269","114","2147016","1","300616","203"
"803100269","102","2147017","0","300617","105"
"803100269","103","2147018","0","300618","106"
"803100270","111","2147021","1","300701","204"
"803100270","100","2147022","0","300702","104"
"803100270","101","2147023","0","300703","107"
"803100270","113","2147024","1","300704","202"
"803100270","114","2147025","1","300705","203"
"803100270","102","2147026","0","300706","105"
"803100270","112","2147027","1","300707","205"
"803100270","111","2147028","1","300708","204"
"803100270","100","2147029","0","300709","104"
"803100270","101","2147030","0","300710","107"
"803100271","113","2147031","1","300711","202"
"803100271","114","2147032","1","300712","203"
"803100271","102","2147033","0","300713","105"
"803100271","112","2147034","1","300714","205"
"803100271","107","2147035","0","300715","110"
"803100271","111","2147036","1","300716","204"
"803100271","100","2147037","0","300717","104"
"803100271","101","2147038","0","300718","107"
