d2b563cebef326e826c606206eead77394abe2a870af6d1a31fb7ac3ef240df2,b8756c6c28559c7200f00692f74a788a24348daf0be221f67bf1120dd0255b15,c41f7161e01234d1b93d6fa312b17d48af6c2e4ff79b24439e4956eeeab90fed,6ac63d55f337d7ae95d63644665a856013dd0e9bb59532d393c2adff8207f6d9,07534f68f4597f7b49f681a93ab810af8caf60c018b971c3b69c37227076be8f,d9232be430211965f36c4d5711c3cd18d66860d84cef9b50558c7be1524460af,fe57d4fba09391b1335ff3b1cc38901fc0ca83095f8b77dd0868d22f2dfb26f1,3d9f6f44963f0b9b6d36ad5064407f7ab36add7f4ef182432af83a24d7a84fe2,fedf9f448698cc18fe523b4ec9bd74bc474e1acd224e37917de4cee295cd8b4d,cc06764deb5f02b9dc8a2b4f2fcc9f05afaf50c9768ce06b1f1fedbc8eb6ba1d,c392d4f6a1c277a7de515680870a188b31b2c7f49971dd05336e684f7ec8d6c5
"","","","h","","3180","","i","","",""
"","夫","","公","","3187","婆","多","","","妻"
"b","","","","","3195","","","","",""
"座","","","再","","3274","","","","",""
"二三","","","","","3302","","","","",""
"氧氰","","","鈉鉀","","4003","鋰鈉銣","鋰鉀銣","鋰鈉鉀","",""
"鍶鋇","","","鍶鐳","","4004","鍶鐳","鋇鐳","鍶鋇","",""
"","","愛衣","","","4010","","","","",""
"","","愛衣","","","4013","","","","",""
"氧氬氪","","","氬氪氙","","4034","氖氬氙","氦氖","氦氖氬氪","",""
"裴","","加","","","4035","","","","",""
"熱寒","","","","","4040","","","","",""
"熱溫","","","","","4041","","","","",""
"","","","","","4042","E","N","","",""
"","","","O","","4062","","","","",""
"乙四","","","銷","","4069","乙","","","",""
"網","","","版","","4072","","","","",""
"大","","","西","","4110","大","","西","",""
"","","","","","4143","","二","","",""
"","","","","","4144","","一三","","",""
"","","","","","4145","","一二","","",""
"氫","","","氧","","4153","","","","",""
"","","","","帶","4154","","","","",""
"","","","","","4157","","異","","",""
"","","","","","4158","","","","","昇"
"","","","","","4159","","","二三","",""
"","","","","","4161","","","一三","",""
"","","","","","4167","","同","","",""
"","","","小","","4194","倍","","","",""
"","","","大","","4195","約","","","",""
"","","高","","","4196","","","","底",""
"半","","","","","4197","","","","",""
"","","","o","","5010","a","","","",""
"伊","","","比","","5013","","","","",""
"印","司","愛","","","5027","鹽","","","",""
"","","","e","","5031","e","","","",""
"","","","a","","5056","e","","","",""
"","","","","","5070","e","s","","",""
"","","","餅","","5076","","","餅","",""
"上前","","","","","5079","","","","",""
"肩","","","","","5082","","","","",""
"微","","","","","5098","","","","",""
"大喊","","","","","5102","BC","AB","AC","",""
"","","","布","","5103","","","","",""
"西","","","","","5162","","","","醜",""
"固","","","定","","5164","","","","",""
"","","","左","","5183","","","","",""
"","","","右","","5185","","","","",""
"卯辰戌","","","戌酉卯","","5193","戌酉子","戌卯辰","卯戌子","虎","牛"
"","","","","","6008","藍","","雀","","底"
"","","","u","","6010","","u","","e","e"
"","","","","","6012","線","","","",""
"","","","面","","6013","","","","",""
"G","","","o","","6015","k","m","","",""
"","","","o","","6022","","m","","",""
"單二","","","","","6049","","","","",""
"","","","","","6073","","","火","",""
"","","","","","6075","","巨","","",""
"","","","","","6076","a","","","",""
"","","","","","6082","e","","","",""
"C","","","","","6084","","a","","",""
"","","","","","6097","n","u","w","",""
"","","湖","","","6098","","出","","",""
"","依","茜","莉","","6135","","","莉","與或",""
"","","","","","6136","","","喵","",""
"鈴","","","嚕","","6139","霖","呼","","",""
"","","","","","6179","","","","得",""
