8ba77341de2ce4410e81a272c3272b3c198f8551d4239a0e1873df828f2e7a50,e62aa9095de9d49be32bec6876df2b0ec087390426bd1a75091af105ff0c03d8,e2f0d80b42ec0b5574f9d50568e8ed13861cd9c78205fe6babebe38f0558006b,9ab8d4b6adac90ba3fe883841b927079bd43c65dbaafb97f65b68c5c8fc3753c,fc00ec017c980fae37db04322c4300add176ac5e4c1808e2cd3a23a130cf2112,7edd8d9d4756d5ab256a34c9ce71a8263b4e17a33df3cf7f7ff6787ee085134e,61bf93de165650ab8c28ce1fff9b0dc9791cb7cea693e9be2370e965c318c8ae,ca44099ddb01799cde62a7080cdaa7acd3ec4e3c00fae9887b9c1bb031235938,0b664c80a68d9f5d33bb94873e439e45acef059a63a7c80dc933de4b2dc43583,9f2f2d647f8f5d02d29ba7bca7734648d32cf2dc28b43681a1fe75f1dc6684a2,0a480874085736dfea1079498b39aaa41ad58246acb4b5ff96111fb0a2a17c3b
"1","","","","4006","sjr_talk_idle","4","3","122611","0.2",""
"100","1","40","-194","5001","122611","5","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_guts2_anger_loop","1","5002","sjr_talk_guts2_anger","5","3","122611","0.2",""
"0","","0","","5003","vo_minigame_1010_top_talk_1_005","5","21","vo_minigame_1010","",""
"6","0","1","0","5004","怜與\n日和……\n為了不輸給她們，\n我也會盡全力的……！","5","11","122611","0","1"
"","","","","5005","","5","91","0","",""
"1","","","","5006","sjr_talk_idle","5","3","122611","0.2",""
"100","1","40","-194","6001","122511","6","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_arm_crossed_look_loop","1","6002","sjr_talk_arm_crossed_joy_look","6","3","122511","0.2",""
"0","","0","","6003","vo_minigame_1010_top_talk_1_006","6","21","vo_minigame_1010","",""
"5","0","1","0","6004","像這樣彼此競賽\n很不錯呢。\n也麻煩你\n替我加油囉。","6","11","122511","0","1"
"","","","","6005","","6","91","0","",""
"1","","","","6006","sjr_talk_idle","6","3","122511","0.2",""
"100","1","40","-194","7001","122511","7","1","1","1.65","sjr_talk_idle"
"1","","","","7002","sjr_talk_mouth_hidden2_shy","7","3","122511","0.2",""
"0","","0","","7003","vo_minigame_1010_top_talk_1_007","7","21","vo_minigame_1010","",""
"4","0","1","0","7004","穿這樣跑\n好羞恥啊……\n別盯著我看……","7","11","122511","0","1"
"","","","","7005","","7","91","0","",""
"1","","","","7006","sjr_talk_idle","7","3","122511","0.2",""
"100","1","40","-194","8001","122511","8","1","1","1.65","sjr_talk_idle"
"1","","","","8002","sjr_talk_mouth_hidden","8","3","122511","0.2",""
"0","","0","","8003","vo_minigame_1010_top_talk_1_008","8","21","vo_minigame_1010","",""
"5","0","1","0","8004","哦，看來強者\n雲集啊。\n這下我也得\n使出全力了……！","8","11","122511","0","1"
"","","","","8005","","8","91","0","",""
"1","","","","8006","sjr_talk_idle","8","3","122511","0.2",""
"100","1","40","-194","9001","122511","9","1","1","1.65","sjr_talk_idle"
"1","","","","9002","sjr_talk_stepback_surprise","9","3","122511","0.2",""
"0","","0","","9003","vo_minigame_1010_top_talk_1_009","9","21","vo_minigame_1010","",""
"5","0","1","0","9004","路線中有障礙物\n與魔物……？\n沙灘搶旗\n是這樣的比賽嗎？","9","11","122511","0","1"
"","","","","9005","","9","91","0","",""
"1","","","","9006","sjr_talk_idle","9","3","122511","0.2",""
"100","1","40","-194","10001","122511","10","1","1","1.65","sjr_talk_idle"
"1","","","","10002","sjr_talk_thinking_blink","10","3","122511","0.2",""
"0","","0","","10003","vo_minigame_1010_top_talk_1_010","10","21","vo_minigame_1010","",""
"4","0","1","0","10004","優衣不要緊吧？\n雖然日和好像\n很高興……\n不，得相信她們呢。","10","11","122511","0","1"
"","","","","10005","","10","91","0","",""
"1","","","","10006","sjr_talk_idle","10","3","122511","0.2",""
"100","1","40","-194","11001","122411","11","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_eieio_loop","1","11002","sjr_talk_eieio","11","3","122411","0.2",""
"0","","0","","11003","vo_minigame_1010_top_talk_1_011","11","21","vo_minigame_1010","",""
"5","0","1","0","11004","暖身運動也很完美！\n我會第一個\n搶到的──！","11","11","122411","0","1"
"","","","","11005","","11","91","0","",""
"1","","","","11006","sjr_talk_idle","11","3","122411","0.2",""
"100","1","40","-194","12001","122411","12","1","1","1.65","sjr_talk_idle"
"1","","","","12002","sjr_talk_arm_opened_wink","12","3","122411","0.2",""
"0","","0","","12003","vo_minigame_1010_top_talk_1_012","12","21","vo_minigame_1010","",""
"6","0","1","0","12004","欸嘿嘿──！\n穿泳裝方便活動，\n不錯呢──！\n進入狀況囉──！","12","11","122411","0","1"
"","","","","12005","","12","91","0","",""
"1","","","","12006","sjr_talk_idle","12","3","122411","0.2",""
"100","1","40","-194","13001","122411","13","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_doya_loop","1","13002","sjr_talk_doya","13","3","122411","0.2",""
"0","","0","","13003","vo_minigame_1010_top_talk_1_013","13","21","vo_minigame_1010","",""
"8","0","1","0","13004","啊，發現\n有困難的人！\n有困難的時候就要\n互相幫助幫助♪","13","11","122411","0","1"
"","","","","13005","","13","91","0","",""
"1","","","","13006","sjr_talk_idle","13","3","122411","0.2",""
"100","1","40","-194","14001","122411","14","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_swing_joy","1","14002","sjr_talk_watch_arm_opened","14","3","122411","0.2",""
"0","","0","","14003","vo_minigame_1010_top_talk_1_014","14","21","vo_minigame_1010","",""
"6","0","1","0","14004","要跑哪條路線呢──♪\n好像都很有趣～！\n我躍躍欲試了──！","14","11","122411","0","1"
"","","","","14005","","14","91","0","",""
"1","","","","14006","sjr_talk_idle","14","3","122411","0.2",""
"100","1","40","-194","15001","122411","15","1","1","1.65","sjr_talk_idle"
"1","","","","15002","sjr_talk_wish_doya","15","3","122411","0.2",""
"0","","0","","15003","vo_minigame_1010_top_talk_1_015","15","21","vo_minigame_1010","",""
"5","0","1","0","15004","好想和優衣與怜\n她們兩人一起\n競爭呢！","15","11","122411","0","1"
"","","","","15005","","15","91","0","",""
"1","","","","15006","sjr_talk_idle","15","3","122411","0.2",""
"100","1","72","-194","16001","122611","16","1","1","1.65","sjr_talk_idle"
"100","0","-72","-194","16002","122511","16","1","1","1.65","sjr_talk_idle"
"1","","","","16003","sjr_talk_wish_doya","16","3","122611","0.2",""
"0","","0","","16004","vo_minigame_1010_top_talk_2_001","16","21","vo_minigame_1010","",""
"4","0","1","0","16005","怜，\n彼此都要盡全力跑喔！\n我會以真本事挑戰的。","16","11","122611","0","1"
"","","","","16006","","16","91","0","",""
"1","","","","16007","sjr_talk_idle","16","3","122611","0.2",""
"0","0","sjr_talk_arm_crossed_joy_loop","1","16008","sjr_talk_arm_crossed_normal_joy","16","3","122511","0.2",""
"0","","0","","16009","vo_minigame_1010_top_talk_2_002","16","21","vo_minigame_1010","",""
"5","0","1","0","16010","優衣……\n有說到做到呢。\n呵呵，既然如此，\n我也要回應那股氣勢！","16","11","122511","0","0.5"
"","","","","16011","","16","91","0","",""
"1","","","","16012","sjr_talk_idle","16","3","122511","0.2",""
"100","1","72","-194","17001","122611","17","1","1","1.65","sjr_talk_idle"
"100","0","-72","-194","17002","122511","17","1","1","1.65","sjr_talk_idle"
"1","","","","17003","sjr_talk_worry_shy","17","3","122511","0.2",""
"0","","0","","17004","vo_minigame_1010_top_talk_2_003","17","21","vo_minigame_1010","",""
"7","0","1","0","17005","我說優衣，\n要穿著泳裝跑步\n是不是有點……","17","11","122511","0","0.5"
"","","","","17006","","17","91","0","",""
"1","","","","17007","sjr_talk_idle","17","3","122511","0.2",""
"1","","","","17008","sjr_talk_wish_shy","17","3","122611","0.2",""
"0","","0","","17009","vo_minigame_1010_top_talk_2_004","17","21","vo_minigame_1010","",""
"5","0","1","0","17010","嗯，很害羞吧。\n一想到會被騎士先生\n看到就……\n……嗚嗚～～～！","17","11","122611","0","0.5"
"","","","","17011","","17","91","0","",""
"1","","","","17012","sjr_talk_idle","17","3","122611","0.2",""
"0","0","sjr_talk_thinking_light","1","17013","sjr_talk_thinking_blink_light","17","3","122511","0.2",""
"0","","0","","17014","vo_minigame_1010_top_talk_2_005","17","21","vo_minigame_1010","",""
"6","0","1","0","17015","不，等等……\n優衣害羞的時候\n逃跑速度就會變快……\n如果利用這點……！","17","11","122511","0","0.5"
"","","","","17016","","17","91","0","",""
"1","","","","17017","sjr_talk_idle","17","3","122511","0.2",""
"100","1","72","-194","18001","122611","18","1","1","1.65","sjr_talk_idle"
"100","0","-72","-194","18002","122511","18","1","1","1.65","sjr_talk_idle"
"1","","","","18003","sjr_talk_wish_surprise","18","3","122611","0.2",""
"0","","0","","18004","vo_minigame_1010_top_talk_2_006","18","21","vo_minigame_1010","",""
"6","0","1","0","18005","總覺得所有路線\n都很厲害呢……\n是怎麼做出來\n的呢……","18","11","122611","0","0.5"
"","","","","18006","","18","91","0","",""
"1","","","","18007","sjr_talk_idle","18","3","122611","0.2",""
"0","0","sjr_talk_arm_crossed_normal2_loop","1","18008","sjr_talk_arm_crossed_normal2","18","3","122511","0.2",""
"0","","0","","18009","vo_minigame_1010_top_talk_2_007","18","21","vo_minigame_1010","",""
"6","0","1","0","18010","不能在意喔！\n這種時候坦率地\n享受是最好的！","18","11","122511","0","0.5"
"","","","","18011","","18","91","0","",""
"1","","","","18012","sjr_talk_idle","18","3","122511","0.2",""
"100","1","72","-194","19001","122611","19","1","1","1.65","sjr_talk_idle"
"100","0","-72","-194","19002","122411","19","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_idle_joy","1","19003","sjr_talk_wave_hand","19","3","122611","0.2",""
"0","","0","","19004","vo_minigame_1010_top_talk_2_008","19","21","vo_minigame_1010","",""
"8","0","1","0","19005","日和\n覺得享受嗎？","19","11","122611","0","0.5"
"","","","","19006","","19","91","0","",""
"1","","","","19007","sjr_talk_idle","19","3","122611","0.2",""
"0","0","sjr_talk_swing_joy2","1","19008","sjr_talk_fun","19","3","122411","0.2",""
"0","","0","","19009","vo_minigame_1010_top_talk_2_009","19","21","vo_minigame_1010","",""
"7","0","1","0","19010","那當然！\n這麼有趣的事\n不好好享受\n就太浪費啦──！","19","11","122411","0","0.5"
"","","","","19011","","19","91","0","",""
"1","","","","19012","sjr_talk_idle","19","3","122411","0.2",""
"1","","","","19013","sjr_talk_laugh","19","3","122611","0.2",""
"0","","0","","19014","vo_minigame_1010_top_talk_2_010","19","21","vo_minigame_1010","",""
"7","0","1","0","19015","妳說得對。\n呵呵，我也\n要向日和\n學習才行……！","19","11","122611","0","0.5"
"","","","","19016","","19","91","0","",""
"1","","","","19017","sjr_talk_idle","19","3","122611","0.2",""
"100","1","72","-194","20001","122611","20","1","1","1.65","sjr_talk_idle"
"100","0","-72","-194","20002","122411","20","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_guts2_loop","1","20003","sjr_talk_guts2","20","3","122411","0.2",""
"0","","0","","20004","vo_minigame_1010_top_talk_2_011","20","21","vo_minigame_1010","",""
"6","0","1","0","20005","優衣！\n妳剛剛好厲害喔！\n我根本追不上妳──","20","11","122411","0","0.5"
"","","","","20006","","20","91","0","",""
"1","","","","20007","sjr_talk_idle","20","3","122411","0.2",""
"0","0","sjr_talk_mouth_hidden_guru","1","20008","sjr_talk_mouth_hidden_dere_guru","20","3","122611","0.2",""
"0","","0","","20009","vo_minigame_1010_top_talk_2_012","20","21","vo_minigame_1010","",""
"5","0","1","0","20010","埋首於奔跑之中，\n總覺得\n心情變好了……\n呵呵，呵呵呵……","20","11","122611","0","0.5"
"","","","","20011","","20","91","0","",""
"0","0","sjr_talk_shock_loop","1","20012","sjr_talk_shock","20","3","122411","0.2",""
"0","","0","","20013","vo_minigame_1010_top_talk_2_013","20","21","vo_minigame_1010","",""
"15","0","1","0","20014","哇──！？\n優衣！？\n妳眼睛在轉喔──！？","20","11","122411","0","0.5"
"","","","","20015","","20","91","0","",""
"1","","","","20016","sjr_talk_idle","20","3","122611","0.2",""
"1","","","","20017","sjr_talk_idle","20","3","122411","0.2",""
"100","1","72","-194","21001","122611","21","1","1","1.65","sjr_talk_idle"
"100","0","-72","-194","21002","122411","21","1","1","1.65","sjr_talk_idle"
"1","","","","21003","sjr_talk_worry_sad","21","3","122611","0.2",""
"0","","0","","21004","vo_minigame_1010_top_talk_2_014","21","21","vo_minigame_1010","",""
"6","0","1","0","21005","日和，妳一直在跑，\n不要緊吧？\n不好好補充水分\n不行喔？","21","11","122611","0","0.5"
"","","","","21006","","21","91","0","",""
"1","","","","21007","sjr_talk_idle","21","3","122611","0.2",""
"0","0","sjr_talk_guts2_joy_loop","0","21008","sjr_talk_laugh_guts","21","3","122411","0.2",""
"0","","0","","21009","vo_minigame_1010_top_talk_2_015","21","21","vo_minigame_1010","",""
"5","0","1","0","21010","妳真愛操心呢，\n優衣──\n啊，不然我們一起\n去吃刨冰吧──♪","21","11","122411","0","0.5"
"","","","","21011","","21","91","0","",""
"1","","","","21012","sjr_talk_idle","21","3","122411","0.2",""
"100","1","72","-194","22001","122511","22","1","1","1.65","sjr_talk_idle"
"100","0","-72","-194","22002","122411","22","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_arm_crossed_normal_loop","1","22003","sjr_talk_arm_crossed_normal","22","3","122511","0.2",""
"0","","0","","22004","vo_minigame_1010_top_talk_2_016","22","21","vo_minigame_1010","",""
"5","0","1","0","22005","就算對手是日和，\n我也沒打算輸喔。","22","11","122511","0","0.5"
"","","","","22006","","22","91","0","",""
"1","","","","22007","sjr_talk_idle","22","3","122511","0.2",""
"0","0","sjr_talk_guts_loop","1","22008","sjr_talk_guts","22","3","122411","0.2",""
"0","","0","","22009","vo_minigame_1010_top_talk_2_017","22","21","vo_minigame_1010","",""
"6","0","1","0","22010","對手是怜的話，\n我也會\n火力全開喔！","22","11","122411","0","0.5"
"","","","","22011","","22","91","0","",""
"1","","","","22012","sjr_talk_idle","22","3","122411","0.2",""
"100","1","72","-194","23001","122511","23","1","1","1.65","sjr_talk_idle"
"100","0","-72","-194","23002","122411","23","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_eieio_loop","1","23003","sjr_talk_fun_eieio","23","3","122411","0.2",""
"0","","0","","23004","vo_minigame_1010_top_talk_2_018","23","21","vo_minigame_1010","",""
"5","0","1","0","23005","夏天就是要吃刨冰！\n糖漿……是全都加的\n禁忌口味喔！","23","11","122411","0","0.5"
"","","","","23006","","23","91","0","",""
"1","","","","23007","sjr_talk_idle","23","3","122411","0.2",""
"1","","","","23008","sjr_talk_mouth_hidden_sad","23","3","122511","0.2",""
"0","","0","","23009","vo_minigame_1010_top_talk_2_019","23","21","vo_minigame_1010","",""
"6","0","1","0","23010","老是吃那麼\n冰的東西……\n到時要是跑不動，\n我可不管喔？","23","11","122511","0","0.5"
"","","","","23011","","23","91","0","",""
"1","","","","23012","sjr_talk_idle","23","3","122511","0.2",""
"0","0","sjr_talk_arm_opened_guru","1","23013","sjr_talk_arm_opened_joy_guru","23","3","122411","0.2",""
"0","","0","","23014","vo_minigame_1010_top_talk_2_020","23","21","vo_minigame_1010","",""
"4","0","1","0","23015","沒事沒事♪\n……咦？\n好像一陣頭痛，\n好痛痛痛痛──！？","23","11","122411","0","0.5"
"","","","","23016","","23","91","0","",""
"1","","","","23017","sjr_talk_idle","23","3","122411","0.2",""
"100","1","72","-194","24001","122511","24","1","1","1.65","sjr_talk_idle"
"100","0","-72","-194","24002","122411","24","1","1","1.65","sjr_talk_idle"
"1","","","","24003","sjr_talk_mouth_hidden_sad","24","3","122411","0.2",""
"0","","0","","24004","vo_minigame_1010_top_talk_2_021","24","21","vo_minigame_1010","",""
"5","0","1","0","24005","優衣不要緊吧～？\n希望她別跌倒\n就好了……","24","11","122411","0","1"
"","","","","24006","","24","91","0","",""
"1","","","","24007","sjr_talk_idle","24","3","122411","0.2",""
"0","0","sjr_talk_arm_crossed_joy_loop","0","24008","sjr_talk_arm_crossed_normal_joy","24","3","122511","0.2",""
"0","","0","","24009","vo_minigame_1010_top_talk_2_022","24","21","vo_minigame_1010","",""
"4","0","1","0","24010","不必擔心。\n優衣已經變強了。\n搞不好反倒是\n我們會輸呢。","24","11","122511","0","0.5"
"","","","","24011","","24","91","0","",""
"1","","","","24012","sjr_talk_idle","24","3","122511","0.2",""
"1","","","","24013","sjr_talk_laugh","24","3","122411","0.2",""
"0","","0","","24014","vo_minigame_1010_top_talk_2_023","24","21","vo_minigame_1010","",""
"6","0","1","0","24015","欸嘿嘿，說得也是！\n好期待能一起\n跑步喔──♪","24","11","122411","0","0.5"
"","","","","24016","","24","91","0","",""
"1","","","","24017","sjr_talk_idle","24","3","122411","0.2",""
