4bdbd77ca90227caece782615d8c085e53684cd1208452fa403dcaa7555e98e2,37f52d5173f898d53893c3a30225b14ea67bfc6089fd849584724c83f191f52c,e437fa84ccc252fe839428412d52a17f368dd93320d5fbfadfdd8ab925cd0809,64c09430c4ab9201669d9157228f6c73d131ec39d21e5cba8fddf2a482e4a0c7,5a7b641032b2a85a48c5ee07eaa6dfe6dad8d27a4498a707a42c2a40aa5e606f,c5da5f0433db55c0df5ed523d452ff501e0963a7fd711369d5cd300a67f005c9,36f3f24702fea1d3a9c77c4840c03476a5681577fa0cd2a0564a3d2d6bf3ec53,f1da66699d6d420490724b2836a04450a4da7a322c5fa76eeb5e54595d8f94f4,c0a3a84c6d504591c49bea460891cbfb9b6a574bf771426b4bbd171a78ee1975,777d82ac4f4e36ae4fe04e69befd3b30afbabe73294b3fd0227ecbf55b635ef8,0a1cf2210d5e75386dc8252ad59cd009347c14ff50451a9cb91ee86a290b6d50
"這幅牛的畫，\n未免畫得太好了吧！？","11","32021","1","32","2","1","10","0","0","0"
"","91","32022","","32","0","0","0","","",""
"clear_book_idle","3","32023","","32","2","","1","","0.4",""
"riri_talk_look","3","32024","","32","1","","1","","0.2",""
"vo_asb_0322","21","32025","","32","vo_asb","0","0","","",""
"這是普蕾西亞畫的。\n因為她是天才呢。","11","32026","1","32","1","1","10","0","0","0"
"","91","32027","","32","0","0","0","","",""
"riri_idle_look","3","32028","","32","1","","1","","0.2",""
"clear_bookToTalk2","3","32029","1","32","2","clear_talk2_noShy","0","0","0.1",""
"vo_asb_0323","21","32030","","32","vo_asb","0","0","","",""
"話說回來，我和莉莉兩人，\n一直做不好「手插腰」，\n真陽小姐為了教我們，\n苦戰一番的時候也……","11","32031","1","32","2","1","10","0","0","0"
"","91","32032","","32","0","0","0","","",""
"talk2ToIdle_talkjoy2","3","32033","1","32","2","idle_talkjoy2","0","0","0.1",""
"sad_talk_joy2R","3","32034","","32","1","","1","","0.2",""
"vo_asb_0324","21","32035","","32","vo_asb","0","0","","",""
"是，只有普蕾西亞\n一次就合格了吧。\n從我們這些外行人的眼中看來，\n也是非常完美的「手插腰」。","11","32036","1","32","1","1","10","0","0","0"
"","91","32037","","32","0","0","0","","",""
"sad_idle_normal_riri","3","32038","","32","1","","1","","0.2",""
"idle","3","32039","","32","2","","1","","0.2",""
"talk_precia","3","32040","","32","3","","1","","0.3",""
"vo_asb_0325","21","32041","","32","vo_asb","0","0","","",""
"想看嗎？","11","32042","1","32","3","1","10","0","0","0"
"","91","32043","","32","0","0","0","","",""
"joy_idle_precia","3","32044","","32","3","","1","","0.3",""
"guts2_talk_riri","3","32045","","32","1","","1","","0.2",""
"clear_hope_talk","3","32046","","32","2","","1","","0.2",""
"vo_asb_0326","21","32047","","32","vo_asb","0","0","","",""
"當然的。","11","32048","1","32","1","1","10","0","0","0"
"","91","32049","","32","0","0","0","","",""
"guts2_idle_riri","3","32050","","32","1","","1","","0.2",""
"clear_hope_idle","3","32051","","32","2","","1","","0.2",""
"cool_in","3","32052","1","32","3","cool_idle","0","0","0.2",""
"vo_asb_0327","21","32053","","32","vo_asb","0","0","","",""
"插腰。","11","32054","1","32","3","1","10","0","0","0"
"","91","32055","","32","0","0","0","","",""
"cool_idle_doya_in","3","32056","1","32","3","cool_idle_doya","0","0.1","0.2",""
"guts2_idle_joy_riri","3","32057","","32","1","","1","","0.2",""
"clear_hope_joy","3","32058","","32","2","","1","","0.2",""
"vo_asb_0328","21","32059","","32","vo_asb","0","0","","",""
"哇～♪","11","32060","1","32","1","1","10","-22","-85","0"
"","91","32061","","32","0","0","0","","",""
"","101","32062","","32","32063","","","","",""
"1","6","32063","0","32","1","1","1","0","0.3",""
"1","6","32064","0","32","2","1","1","0","0.3",""
"1","6","32065","0","32","3","1","1","0","0.3",""
"1","6","32066","0","32","0","1","1","0","0.3",""
"-130","2","32067","1","32","1","0.3","-230","","",""
"-290","2","32068","1","32","2","0.3","-255","","",""
"120","2","32069","1","32","3","0.3","-245","","",""
"-100","2","32070","1","32","0","0.3","0","","",""
"0","22","32071","","32","0","","","","",""
"0","93","32072","","32","0.4","","","","",""
"1","5","42001","-250","42","2","30","52","0","2.2","clear_wish_talk_joy_noShy"
"1","6","42002","0","42","1","1","1","0","0",""
"0","5","42003","0","42","0","50","29","0","1","black"
"1","6","42004","0","42","0","1","1","0","0",""
"","91","42005","","42","0","","","","",""
"1","6","42006","1","42","1","1","1","0","0.2",""
"1","6","42007","1","42","0","1","1","0","0.2",""
"-20","2","42008","2","42","1","0.3","-250","","",""
"0","2","42009","2","42","0","0.3","0","","",""
"0","93","42010","","42","0.6","","","","",""
"vo_asb_0421","21","42011","","42","vo_asb","0","0","","",""
"鈴小姐模仿真陽小姐，\n模仿得非常到位。","11","42012","1","42","1","1","10","0","0","0"
"","91","42013","","42","0","0","0","","",""
"clear_talk_normal","3","42014","","42","1","","1","","0.1",""
"vo_asb_0422","21","42015","","42","vo_asb","0","0","","",""
"在公會久待，\n關係深厚的成員之間，\n要像那樣子互相模仿，\n似乎也會變得容易呢……","11","42016","1","42","1","1","10","0","0","0"
"","91","42017","","42","0","0","0","","",""
"clear_kohon_in","3","42018","1","42","1","clear_kohon_loop","0","0","0.2",""
"vo_asb_0423","21","42019","","42","vo_asb","0","0","","",""
"…………\n……咳咳。","11","42020","1","42","1","1","10","0","0","0"
"","91","42021","","42","0","0","0","","",""
"clear_imitation_in","3","42022","1","42","1","clear_speak2_talk","0","0","0.2",""
"vo_asb_0424","21","42023","","42","vo_asb","0","0","","",""
"兄、兄長大人。兄長大人……？\n哥、哥，哥……哥。\n…………","11","42024","1","42","1","1","10","0","0","0"
"","91","42025","","42","0","0","0","","",""
"clear_surprise_in_red","3","42026","1","42","1","clear_surprise_talk_red","0","0","0.3",""
"vo_asb_0425","21","42027","","42","vo_asb","0","0","","",""
"……啊！\n只是要模仿公會成員而已，\n我真是的，為什麼會臉紅……！","11","42028","1","42","1","1","10","0","0","0"
"","91","42029","","42","0","0","0","","",""
"clear_wish_talk_pain_red","3","42030","","42","1","","1","","0.2",""
"vo_asb_0426","21","42031","","42","vo_asb","0","0","","",""
"從各方面來說，我都還差得遠呢……！","11","42032","1","42","1","1","10","0","0","0"
"","91","42033","","42","0","0","0","","",""
"","101","42034","","42","42035","","","","",""
"1","6","42035","0","42","1","1","1","0","0.3",""
"1","6","42036","0","42","0","1","1","0","0.3",""
"-120","2","42037","1","42","1","0.3","-250","","",""
"-100","2","42038","1","42","0","0.3","0","","",""
"0","22","42039","","42","0","","","","",""
"0","93","42040","","42","0.4","","","","",""
"1","5","52001","-243","52","1","70","55","0","2.2","dance_riri"
"2","5","52002","-245","52","2","320","52","1","2.2","dance_clear"
"3","5","52003","-255","52","3","-90","58","0","2.2","dance_precia"
"1","6","52004","0","52","1","1","1","0","0",""
"1","6","52005","0","52","2","1","1","0","0",""
"1","6","52006","0","52","3","1","1","0","0",""
"0","5","52007","0","52","0","50","29","0","1","black"
"1","6","52008","0","52","0","1","1","0","0",""
"","91","52009","","52","0","","","","",""
"dance_riri","3","52010","","52","1","","0","","0.1",""
"dance_clear","3","52011","1","52","2","idle","0","0","0.1",""
"dance_precia","3","52012","1","52","3","idle_precia","0","0","0.1",""
"1","6","52013","1","52","1","1","1","0","0.2",""
"1","6","52014","1","52","2","1","1","0","0.2",""
"1","6","52015","1","52","3","1","1","0","0.2",""
"1","6","52016","1","52","0","1","1","0","0.2",""
"-30","2","52017","2","52","1","0.3","-243","","",""
"220","2","52018","2","52","2","0.3","-245","","",""
"-190","2","52019","2","52","3","0.3","-255","","",""
"0","2","52020","2","52","0","0.3","0","","",""
"0","93","52021","","52","0.6","","","","",""
"vo_asb_0521","21","52022","","52","vo_asb","0","0","","",""
"快、快、慢。","11","52023","0","52","3","0","11","0","0","0.15"
"","91","52024","","52","0","0","0","","",""
"vo_asb_0522","21","52025","","52","vo_asb","0","0","","",""
"旋轉、停，旋轉、停，\n快、快、慢！","11","52026","0","52","1","0","10","0","0","0.75"
"","91","52027","","52","52010","","","","",""
"idle","3","52028","","52","1","","1","","0.1",""
"0","93","52029","","52","0.2","","","","",""
"smile_riri","3","52030","1","52","1","talk_joy","0","0.2","0.1",""
"vo_asb_0523","21","52031","","52","vo_asb","0","0","","",""
"……呵呵呵，有了這個口號，\n我們三人的步調，\n就很不可思議地同步了呢。","11","52032","1","52","1","1","10","0","0","0"
"","91","52033","","52","0","","","","",""
"riri_idle","3","52034","","52","1","","1","","0.2",""
"clear_talk2_noShy","3","52035","","52","2","","1","","0.2",""
"vo_asb_0524","21","52036","","52","vo_asb","0","0","","",""
"是啊。所以在那之後，\n我們也很常用這個口號呢。\n像是要合力搬起重物時，\n或是三人要一起做體操時。","11","52037","1","52","2","1","10","0","0","0"
"","91","52038","","52","0","0","0","","",""
"talk2ToIdle","3","52039","1","52","2","idle","0","0","0.2",""
"riri_talk","3","52040","","52","1","","1","","0.2",""
"vo_asb_0525","21","52041","","52","vo_asb","0","0","","",""
"其他還有，戰鬥訓練中要配合步調時，\n還有走夜路要避開魔物的時候！","11","52042","1","52","1","1","10","0","0","0"
"","91","52043","","52","0","0","0","","",""
"riri_idle_look","3","52044","","52","1","","1","","0.2",""
"idle_talkjoy2","3","52045","","52","2","","1","","0.2",""
"talk_precia","3","52046","","52","3","","1","","0.3",""
"vo_asb_0526","21","52047","","52","vo_asb","0","0","","",""
"實用性，\n太高了。","11","52048","1","52","3","1","10","0","0","0"
"","91","52049","","52","0","0","0","","",""
"","101","52050","","52","52051","","","","",""
"1","6","52051","0","52","1","1","1","0","0.3",""
"1","6","52052","0","52","2","1","1","0","0.3",""
"1","6","52053","0","52","3","1","1","0","0.3",""
"1","6","52054","0","52","0","1","1","0","0.3",""
"-130","2","52055","1","52","1","0.3","-230","","",""
"120","2","52056","1","52","2","0.3","-245","","",""
"-290","2","52057","1","52","3","0.3","-255","","",""
"-100","2","52058","1","52","0","0.3","0","","",""
"0","22","52059","","52","0","","","","",""
"0","93","52060","","52","0.4","","","","",""
"1","5","62001","-250","62","1","30","52","0","2.2","talk_joy"
"1","6","62002","0","62","1","1","1","0","0",""
"0","5","62003","0","62","0","50","29","0","1","black"
"1","6","62004","0","62","0","1","1","0","0",""
"","91","62005","","62","0","","","","",""
"1","6","62006","1","62","1","1","1","0","0.2",""
"1","6","62007","1","62","0","1","1","0","0.2",""
"-20","2","62008","2","62","1","0.3","-250","","",""
"0","2","62009","2","62","0","0.3","0","","",""
"0","93","62010","","62","0.6","","","","",""
"vo_asb_0621","21","62011","","62","vo_asb","0","0","","",""
"演唱會結束後，\n慈樂之音的成員們來拜訪了。","11","62012","1","62","1","1","10","0","0","0"
"","91","62013","","62","0","0","0","","",""
"wish_talk_joyR_riri","3","62014","","62","1","","1","","0.2",""
"vo_asb_0622","21","62015","","62","vo_asb","0","0","","",""
"她們說「絕對要再一起跳舞」，\n還把手疊在我們的手上……","11","62016","1","62","1","1","10","0","0","0"
"","91","62017","","62","0","0","0","","",""
"memoly_talk_joy","3","62018","","62","1","","1","","0.3",""
"vo_asb_0623","21","62019","","62","vo_asb","0","0","","",""
"她們三位實在是又可愛又耀眼，\n我已經是，\n頭暈目眩了……","11","62020","1","62","1","1","10","0","0","0"
"","91","62021","","62","0","0","0","","",""
"sad_talk2_dere","3","62022","","62","1","","1","","0.2",""
"vo_asb_0624","21","62023","","62","vo_asb","0","0","","",""
"其實，與她們相疊的這隻手，\n我從那天以來一次都沒有洗過。","11","62024","1","62","1","1","10","0","0","0"
"","91","62025","","62","0","0","0","","",""
"wish_talk_nervous_riri","3","62026","","62","1","","1","","0.3",""
"vo_asb_0625","21","62027","","62","vo_asb","0","0","","",""
"雖然也不是沒感覺到\n璃亞用有點傻眼的視線\n看著我……\n但至少讓我再等半天……！","11","62028","1","62","1","1","10","0","0","0"
"","91","62029","","62","0","0","0","","",""
"","101","62030","","62","62031","","","","",""
"1","6","62031","0","62","1","1","1","0","0.3",""
"1","6","62032","0","62","0","1","1","0","0.3",""
"-120","2","62033","1","62","1","0.3","-250","","",""
"-100","2","62034","1","62","0","0.3","0","","",""
"0","22","62035","","62","0","","","","",""
"0","93","62036","","62","0.4","","","","",""
"1","5","72001","-250","72","2","30","52","0","2.2","idle"
"1","6","72002","0","72","1","1","1","0","0",""
"0","5","72003","0","72","0","50","29","0","1","black"
"1","6","72004","0","72","0","1","1","0","0",""
"","91","72005","","72","0","","","","",""
"1","6","72006","1","72","1","1","1","0","0.2",""
"1","6","72007","1","72","0","1","1","0","0.2",""
"-20","2","72008","2","72","1","0.3","-250","","",""
"0","2","72009","2","72","0","0.3","0","","",""
"0","93","72010","","72","0.6","","","","",""
"clear_talk_normal","3","72011","","72","1","","1","","0.2",""
"vo_asb_0721","21","72012","","72","vo_asb","0","0","","",""
"碧小姐好像很害羞。\n但不是有這樣的說法嗎？\n有共同話題的人，\n彼此更容易敞開心扉。","11","72013","1","72","1","1","10","0","0","0"
"","91","72014","","72","0","0","0","","",""
"clear_kohon_talk_surprise","3","72015","","72","1","","1","","0.2",""
"vo_asb_0722","21","72016","","72","vo_asb","0","0","","",""
"我的直覺是對的呢。\n雖然不像碧小姐那麼了解，\n但我也喜歡花草。\n我有種感覺，能跟這個人變得很要好。","11","72017","1","72","1","1","10","0","0","0"
"","91","72018","","72","0","0","0","","",""
"clear_talk2_noShy","3","72019","","72","1","","1","","0.2",""
"vo_asb_0723","21","72020","","72","vo_asb","0","0","","",""
"所以我啊，\n鼓起勇氣說出口了！\n「能跟妳當朋友嗎？」這句話。","11","72021","1","72","1","1","10","0","0","0"
"","91","72022","","72","0","0","0","","",""
"talk2ToWish","3","72023","1","72","1","clear_wish_talk_joy","0","0","0.2",""
"vo_asb_0724","21","72024","","72","vo_asb","0","0","","",""
"然後碧小姐她，\n臉就變得紅通通的，\n「嗯嗯！」地點頭如搗蒜。\n我當時心想，成功了！","11","72025","1","72","1","1","10","0","0","0"
"","91","72026","","72","0","0","0","","",""
"clear_talk2_nervous","3","72027","","72","1","","1","","0.2",""
"vo_asb_0725","21","72028","","72","vo_asb","0","0","","",""
"……但接下來，\n她說需要一點時間心理準備。\n而她的心理準備，\n可能會花上300年左右……","11","72029","1","72","1","1","10","0","0","0"
"","91","72030","","72","0","0","0","","",""
"talk2ToKohon","3","72031","1","72","1","clear_kohon_loop_shy","0","0","0.2",""
"vo_asb_0726","21","72032","","72","vo_asb","0","0","","",""
