427c96590588f05f98129d5d6dee016a0234c5c91622e8f6516c2ec92bbb9d08,a80e5b4423de65fae43ccdf9b6b789d19172e97bf6e83cf35d29fdc428a615a0,23a6aaa33788add39ed920a1d8c0b3689bf7c867c52bb6622ec401acc4bd8066,76b529684c3e9363ab5c9ae6a93dd161cc2f95a8fb42726925908172f4a00eb4
"1306","0","2","1"
"1401","0","3","3"
"1402","0","2","1"
"1403","0","3","2"
"1405","0","1","1"
"1501","0","4","3"
"1502","0","2","1"
"1503","0","2","1"
"1504","0","1","1"
"1505","0","1","1"
"1506","0","1","1"
"1507","0","2","2"
"1508","0","3","2"
"1509","0","3","2"
"1510","0","1","1"
"1511","0","2","1"
"1512","0","3","2"
"1513","0","3","2"
"1514","0","3","2"
"1601","0","4","3"
"1602","0","2","1"
"1603","0","1","1"
"1604","0","1","1"
"1605","0","2","2"
"1606","0","3","2"
"1607","0","2","1"
"1608","0","2","1"
"1609","0","2","1"
"1610","0","3","2"
"1701","0","3","3"
"1702","0","2","2"
"1703","0","1","1"
"1704","0","1","1"
"1705","0","1","1"
"1706","0","1","1"
"1707","0","1","1"
"1801","0","2","2"
"1802","0","2","2"
"1803","0","2","2"
"1902","0","4","4"
"1903","0","4","3"
"1905","0","2","1"
"1906","0","2","1"
"1907","0","2","1"
"1908","0","1","1"
"1909","0","1","1"
"1910","0","3","2"
"1911","0","3","3"
"1912","0","3","2"
"1913","0","3","3"
"2001","0","3","3"
"2002","0","2","2"
"2003","0","1","1"
"2004","0","1","1"
"2101","0","2","2"
"2102","0","2","2"
"2103","0","2","2"
"2201","0","2","2"
"2202","0","2","2"
"2203","0","1","1"
"2205","0","6","6"
"2206","0","1","1"
"2301","0","2","2"
"2302","0","2","2"
"2303","0","2","2"
"2304","0","2","2"
"2305","0","4","4"
"2306","0","4","4"
"2307","0","1","1"
"2308","0","1","1"
"2401","0","3","2"
"2402","0","1","1"
"2403","0","2","2"
"2404","0","3","3"
"2405","0","4","3"
"2501","0","2","2"
"2502","0","3","2"
"2503","0","2","2"
"2504","0","2","2"
"2505","0","1","1"
"2506","0","4","3"
"2507","0","2","1"
"2601","0","5","6"
"2602","0","3","3"
"2603","0","1","1"
"2604","0","1","1"
"2605","0","2","2"
"2606","0","2","2"
"2607","0","3","2"
"2608","0","4","4"
"2609","0","2","2"
"2801","0","1","1"
"2802","0","1","1"
"2804","0","6","4"
"2805","0","2","2"
"2806","0","3","3"
"2808","0","3","2"
"2809","0","1","1"
"2810","0","1","1"
"2811","0","4","4"
"2812","0","1","1"
"2813","0","1","1"
"2814","0","2","1"
"2815","0","2","2"
"2816","0","3","2"
"2817","0","1","1"
"2818","0","6","4"
"2826","0","3","3"
"2827","0","1","1"
"2828","0","6","4"
"2829","0","2","1"
"2830","0","1","1"
"2831","0","1","1"
"2833","0","2","2"
"2834","0","3","2"
"2835","0","1","1"
"2836","0","4","3"
"2838","0","3","4"
"2839","0","2","2"
"2840","0","2","2"
"2841","0","1","1"
"2842","0","1","1"
"2843","0","2","2"
"2844","0","1","1"
"2845","0","1","1"
"2846","0","1","1"
"2847","0","3","2"
"2848","0","2","2"
