c49c818b0317195f681b7b2ed45a98edaa22d082b509dd9e299bb3a1000f853e,da29a540cd430e057bc82144c9388c96eca5e32274c0ce93d52826fc04558a75,40af9d158457c1ce99bccad81bb335aa978db20f0ff34d923aa77b3c4542ad3a,35debf0aa1893475631d4db8e058cbcc2bc1f778f9d427c2fa4ead33893e654d,4b193f4c5190ab66b627ed9ce840cad25347da7488dc467350d5d53e6c00a0dd,946737941c793112900accb2b119681ae1b0539068eebd8fe69d8d67d70b622a,59ae9255f98c996235902e3f843800ec636108f158cdd1374a334cf0736f0d49,a3b00657bb02c625702a56ca41eea30a687c4bab9b524e3cb7b208717333882f,571f6094af4c763fc1ed9022342d8cb443bd7d9aace6f698a4649d2e32297f03,7b23e91ad237d6f5fcb2f0c75a15c927769c7fc0f0517125e79cb41d0c9e42dd,09e8ee36bb81c8c518a813853563ba2df9368b7e889d81d09ca5441b10623b21,ca18702a372fd402886c37ae36b281194c606a7ed7c7a7b8d62b3edd2a3783df
"vo_nyx_0107","0","12","37","0","1120037","0","vo_nyx","0","0","2","0"
"0","233","12","38","0","1120038","8","0","1.439","0","1","0"
"0","0","12","39","1.439","1120039","0","0","0","0","4","1"
"0","345","12","40","0","1120040","8","0","1.462","233","1","0"
"0","0","12","41","2.178","1120041","0","0","0","0","4","1"
"vo_nyx_0108","0","12","42","0","1120042","0","vo_nyx","0","0","2","0"
"0","400","12","43","0","1120043","9","0","3.765","0","1","0"
"0","0","12","44","4.495","1120044","0","0","0","0","4","1"
"vo_nyx_0109","0","12","45","0","1120045","0","vo_nyx","0","0","2","0"
"0","109","12","46","0","1120046","10","0","1.137","0","1","0"
"0","0","12","47","1.484","1120047","0","0","0","0","4","1"
"0","395","12","48","0","1120048","10","0","2.686","109","1","0"
"0","0","12","49","2.686","1120049","0","0","0","0","4","1"
"0","127","12","50","0","1120050","11","0","0.736","0","1","0"
"0","0","12","51","1.06","1120051","0","0","0","0","4","1"
"vo_nyx_0110","0","12","52","0","1120052","0","vo_nyx","0","0","2","0"
"0","133","12","53","0","1120053","11","0","0.353","127","1","0"
"0","0","12","54","1.137","1120054","0","0","0","0","4","1"
"vo_nyx_0111","0","12","55","0","1120055","0","vo_nyx","0","0","2","0"
"0","406","12","56","0","1120056","12","0","2.51","0","1","0"
"0","0","12","57","3.164","1120057","0","0","0","0","4","1"
"vo_nyx_0112","0","12","58","0","1120058","0","vo_nyx","0","0","2","0"
"0","155","12","59","0","1120059","13","0","1.532","0","1","0"
"0","0","12","60","1.62","1120060","0","0","0","0","4","1"
"0","374","12","61","0","1120061","13","0","1.367","155","1","0"
"0","0","12","62","2.245","1120062","0","0","0","0","4","1"
"vo_nyx_0113","0","12","63","0","1120063","0","vo_nyx","0","0","2","0"
"0","124","12","64","0","1120064","14","0","1.116","0","1","0"
"0","0","12","65","1.735","1120065","0","0","0","0","4","1"
"0","238","12","66","0","1120066","14","0","1.048","124","1","0"
"0","0","12","67","2.848","1120067","0","0","0","0","4","1"
"0","0","13","1","1","1130001","0","0","0","0","4","3"
"vo_nyx_0201","0","13","2","0","1130002","0","vo_nyx","0","0","2","0"
"0","36","13","3","0","1130003","1","0","0.382","0","1","0"
"0","0","13","4","0.672","1130004","0","0","0","0","4","1"
"0","67","13","5","0","1130005","1","0","0.65","36","1","0"
"0","0","13","6","1.115","1130006","0","0","0","0","4","1"
"0","192","13","7","0","1130007","1","0","2.158","67","1","0"
"0","0","13","8","2.541","1130008","0","0","0","0","4","1"
"0","365","13","9","0","1130009","1","0","0.914","192","1","0"
"0","0","13","10","0.914","1130010","0","0","0","0","4","1"
"0","220","13","11","0","1130011","2","0","1.72","0","1","0"
"0","0","13","12","1.5","1130012","0","0","0","0","4","1"
"0","0","13","13","2","1130013","0","0","0","0","4","3"
"0","0","13","14","1.726","1130014","0","0","0","0","4","1"
"vo_nyx_0202","0","13","15","0","1130015","0","vo_nyx","0","0","2","0"
"0","335","13","16","0","1130016","3","0","2.838","0","1","0"
"0","0","13","17","3.334","1130017","0","0","0","0","4","1"
"0","300","13","18","0","1130018","4","0","2.491","0","1","0"
"0","0","13","19","3.427","1130019","0","0","0","0","4","1"
"0","0","13","20","3","1130020","0","0","0","0","4","3"
"vo_nyx_0203","0","13","21","0","1130021","0","vo_nyx","0","0","2","0"
"0","28","13","22","0","1130022","5","0","0.475","0","1","0"
"0","0","13","23","0.872","1130023","0","0","0","0","4","1"
"0","103","13","24","0","1130024","5","0","1.001","28","1","0"
"0","0","13","25","1.492","1130025","0","0","0","0","4","1"
"0","310","13","26","0","1130026","5","0","1.73","103","1","0"
"0","0","13","27","2.045","1130027","0","0","0","0","4","1"
"0","395","13","28","0","1130028","5","0","0.87","310","1","0"
"0","0","13","29","1.949","1130029","0","0","0","0","4","1"
"vo_nyx_0204","0","13","30","0","1130030","0","vo_nyx","0","0","2","0"
"0","165","13","31","0","1130031","6","0","1.885","0","1","0"
"0","0","13","32","2.37","1130032","0","0","0","0","4","1"
"0","311","13","33","0","1130033","6","0","0.939","165","1","0"
"0","0","13","34","1.12","1130034","0","0","0","0","4","1"
"0","388","13","35","0","1130035","6","0","0.5","311","1","0"
"0","0","13","36","1.435","1130036","0","0","0","0","4","1"
"vo_nyx_0205","0","13","37","0","1130037","0","vo_nyx","0","0","2","0"
"0","45","13","38","0","1130038","7","0","0.58","0","1","0"
"0","0","13","39","0.976","1130039","0","0","0","0","4","1"
"0","292","13","40","0","1130040","7","0","1.425","45","1","0"
"0","0","13","41","1.683","1130041","0","0","0","0","4","1"
"0","292","13","42","0","1130042","7","0","0.85","292","1","0"
"0","0","13","43","1.9","1130043","0","0","0","0","4","1"
"0","0","13","44","4","1130044","0","0","0","0","4","3"
"vo_nyx_0206","0","13","45","0","1130045","0","vo_nyx","0","0","2","0"
"0","322","13","46","0","1130046","7","0","0.43","292","1","0"
"0","0","13","47","1.105","1130047","0","0","0","0","4","1"
"0","396","13","48","0","1130048","7","0","0.759","322","1","0"
"0","0","13","49","0.759","1130049","0","0","0","0","4","1"
"0","134","13","50","0","1130050","8","0","1.136","0","1","0"
"0","0","13","51","1.533","1130051","0","0","0","0","4","1"
"0","360","13","52","0","1130052","8","0","1.347","134","1","0"
"0","0","13","53","1.518","1130053","0","0","0","0","4","1"
"0","360","13","54","0","1130054","8","0","0.981","360","1","0"
"0","0","13","55","1.862","1130055","0","0","0","0","4","1"
"0","0","13","56","5","1130056","0","0","0","0","4","3"
"vo_nyx_0207","0","13","57","0","1130057","0","vo_nyx","0","0","2","0"
"0","36","13","58","0","1130058","9","0","0.44","0","1","0"
"0","0","13","59","0.9","1130059","0","0","0","0","4","1"
"0","276","13","60","0","1130060","9","0","1.404","36","1","0"
"0","0","13","61","1.74","1130061","0","0","0","0","4","1"
"0","325","13","62","0","1130062","9","0","0.986","276","1","0"
"0","0","13","63","0","1130063","0","0","0","0","4","1"
"0","377","13","64","0","1130064","9","0","0.437","325","1","0"
"0","0","13","65","0","1130065","0","0","0","0","4","1"
"0","376","13","66","0","1130066","10","0","1.317","0","1","0"
"0","0","13","67","1.317","1130067","0","0","0","0","4","1"
"0","376","13","68","0","1130068","10","0","2.659","376","1","0"
"0","0","13","69","0","1130069","0","0","0","0","4","1"
"0","190","13","70","0","1130070","11","0","1.834","0","1","0"
"0","0","13","71","6.509","1130071","0","0","0","0","4","1"
"vo_nyx_0208","0","13","72","0","1130072","0","vo_nyx","0","0","2","0"
"0","110","13","73","0","1130073","12","0","1.574","0","1","0"
"0","0","13","74","2.083","1130074","0","0","0","0","4","1"
"0","270","13","75","0","1130075","12","0","1.236","110","1","0"
"0","0","13","76","1.443","1130076","0","0","0","0","4","1"
"0","345","13","77","0","1130077","12","0","0.869","270","1","0"
"0","0","13","78","1.288","1130078","0","0","0","0","4","1"
"0","141","13","79","0","1130079","13","0","0.48","0","1","0"
"0","0","13","80","0.81","1130080","0","0","0","0","4","1"
"0","141","13","81","0","1130081","13","0","0.789","141","1","0"
"0","0","13","82","1.627","1130082","0","0","0","0","4","1"
"vo_nyx_0209","0","13","83","0","1130083","0","vo_nyx","0","0","2","0"
"0","250","13","84","0","1130084","13","0","0.707","141","1","0"
"0","0","13","85","2.507","1130085","0","0","0","0","4","1"
"0","0","14","1","1","1140001","0","0","0","0","4","3"
"vo_nyx_0301","0","14","2","0","1140002","0","vo_nyx","0","0","2","0"
"0","105","14","3","0","1140003","1","0","1.075","0","1","0"
"0","0","14","4","1.692","1140004","0","0","0","0","4","1"
"0","360","14","5","0","1140005","1","0","2.843","105","1","0"
"0","0","14","6","4","1140006","0","0","0","0","4","1"
"vo_nyx_0302","0","14","7","0","1140007","0","vo_nyx","0","0","2","0"
"0","74","14","8","0","1140008","2","0","1.567","0","1","0"
"0","0","14","9","1.964","1140009","0","0","0","0","4","1"
"0","230","14","10","0","1140010","2","0","0.78","74","1","0"
"0","0","14","11","2.076","1140011","0","0","0","0","4","1"
"vo_nyx_0303","0","14","12","0","1140012","0","vo_nyx","0","0","2","0"
"0","88","14","13","0","1140013","3","0","1.037","0","1","0"
"0","0","14","14","1.629","1140014","0","0","0","0","4","1"
"0","266","14","15","0","1140015","3","0","2.027","88","1","0"
"0","0","14","16","3.568","1140016","0","0","0","0","4","1"
"0","0","14","17","2","1140017","0","0","0","0","4","3"
"vo_nyx_0304","0","14","18","0","1140018","0","vo_nyx","0","0","2","0"
"0","380","14","19","0","1140019","3","0","1.38","266","1","0"
"0","0","14","20","1.419","1140020","0","0","0","0","4","1"
"0","150","14","21","0","1140021","4","0","0.491","0","1","0"
"0","0","14","22","0.545","1140022","0","0","0","0","4","1"
"0","345","14","23","0","1140023","4","0","2.409","150","1","0"
"0","0","14","24","3.711","1140024","0","0","0","0","4","1"
"vo_nyx_0305","0","14","25","0","1140025","0","vo_nyx","0","0","2","0"
"0","74","14","26","0","1140026","5","0","0.892","0","1","0"
"0","0","14","27","1.458","1140027","0","0","0","0","4","1"
"0","325","14","28","0","1140028","5","0","2.495","74","1","0"
"0","0","14","29","3.134","1140029","0","0","0","0","4","1"
"0","46","14","30","0","1140030","6","0","0.599","0","1","0"
"0","0","14","31","0.599","1140031","0","0","0","0","4","1"
"0","245","14","32","0","1140032","6","0","1.855","46","1","0"
"0","0","14","33","3.373","1140033","0","0","0","0","4","1"
"vo_nyx_0306","0","14","34","0","1140034","0","vo_nyx","0","0","2","0"
"0","175","14","35","0","1140035","7","0","1.629","0","1","0"
"0","0","14","36","3.34","1140036","0","0","0","0","4","1"
"vo_nyx_0307","0","14","37","0","1140037","0","vo_nyx","0","0","2","0"
"0","135","14","38","0","1140038","8","0","1.079","0","1","0"
"0","0","14","39","1.6","1140039","0","0","0","0","4","1"
"0","280","14","40","0","1140040","8","0","2.353","135","1","0"
"0","0","14","41","3.511","1140041","0","0","0","0","4","1"
"vo_nyx_0308","0","14","42","0","1140042","0","vo_nyx","0","0","2","0"
"0","400","14","43","0","1140043","8","0","0.511","280","1","0"
"0","0","14","44","0.511","1140044","0","0","0","0","4","1"
"0","148","14","45","0","1140045","9","0","1.154","0","1","0"
"0","0","14","46","1.511","1140046","0","0","0","0","4","1"
"0","405","14","47","0","1140047","9","0","3.186","148","1","0"
"0","0","14","48","4.034","1140048","0","0","0","0","4","1"
"vo_nyx_0309","0","14","49","0","1140049","0","vo_nyx","0","0","2","0"
"0","405","14","50","0","1140050","10","0","3.486","0","1","0"
"0","0","14","51","4.563","1140051","0","0","0","0","4","1"
"vo_nyx_0310","0","14","52","0","1140052","0","vo_nyx","0","0","2","0"
"0","150","14","53","0","1140053","11","0","0.815","0","1","0"
"0","0","14","54","2.384","1140054","0","0","0","0","4","1"
"vo_nyx_0311","0","14","55","0","1140055","0","vo_nyx","0","0","2","0"
"0","191","14","56","0","1140056","12","0","1.726","0","1","0"
"0","0","14","57","2.212","1140057","0","0","0","0","4","1"
"0","360","14","58","0","1140058","12","0","2.239","191","1","0"
"0","0","14","59","2.898","1140059","0","0","0","0","4","1"
"0","398","14","60","0","1140060","12","0","0.691","360","1","0"
"0","0","14","61","0","1140061","0","0","0","0","4","3"
"0","0","14","62","0.691","1140062","0","0","0","0","4","1"
"0","134","14","63","0","1140063","13","0","0.499","0","1","0"
"0","0","14","64","1.799","1140064","0","0","0","0","4","1"
"0","0","14","65","4","1140065","0","0","0","0","4","3"
"vo_nyx_0312","0","14","66","0","1140066","0","vo_nyx","0","0","2","0"
"0","375","14","67","0","1140067","13","0","0.674","134","1","0"
"0","0","14","68","1.251","1140068","0","0","0","0","4","1"
"0","375","14","69","0","1140069","13","0","0.959","375","1","0"
"0","0","14","70","1.676","1140070","0","0","0","0","4","1"
"0","375","14","71","0","1140071","13","0","1.894","375","1","0"
"0","0","14","72","1.894","1140072","0","0","0","0","4","1"
"0","120","14","73","0","1140073","14","0","0.844","0","1","0"
"0","0","14","74","2.644","1140074","0","0","0","0","4","1"
"0","0","22","1","1","1220001","0","0","0","0","4","3"
"vo_nyx_0401","0","22","2","0","1220002","0","vo_nyx","0","0","2","0"
"0","272","22","3","0","1220003","1","0","1.578","0","1","0"
"0","0","22","4","2.06","1220004","0","0","0","0","4","1"
"0","325","22","5","0","1220005","1","0","1.339","272","1","0"
"0","0","22","6","1.417","1220006","0","0","0","0","4","1"
"0","229","22","7","0","1220007","2","0","1.412","0","1","0"
"0","0","22","8","2.549","1220008","0","0","0","0","4","1"
"vo_nyx_0402","0","22","9","0","1220009","0","vo_nyx","0","0","2","0"
"0","360","22","10","0","1220010","2","0","1.74","229","1","0"
"0","0","22","11","2.249","1220011","0","0","0","0","4","1"
"0","390","22","12","0","1220012","2","0","0.455","360","1","0"
"0","0","22","13","0.455","1220013","0","0","0","0","4","1"
"0","188","22","14","0","1220014","3","0","1.361","0","1","0"
"0","0","22","15","2.433","1220015","0","0","0","0","4","1"
"vo_nyx_0403","0","22","16","0","1220016","0","vo_nyx","0","0","2","0"
"0","40","22","17","0","1220017","4","0","0.438","0","1","0"
"0","0","22","18","0.976","1220018","0","0","0","0","4","1"
"0","256","22","19","0","1220019","4","0","1.414","40","1","0"
"0","0","22","20","2.433","1220020","0","0","0","0","4","1"
"vo_nyx_0404","0","22","21","0","1220021","0","vo_nyx","0","0","2","0"
"0","119","22","22","0","1220022","5","0","1.829","0","1","0"
"0","0","22","23","2.237","1220023","0","0","0","0","4","1"
"0","340","22","24","0","1220024","5","0","1.018","119","1","0"
"0","0","22","25","1.965","1220025","0","0","0","0","4","1"
"0","0","22","26","2","1220026","0","0","0","0","4","3"
"vo_nyx_0405","0","22","27","0","1220027","0","vo_nyx","0","0","2","0"
"0","392","22","28","0","1220028","5","0","0.455","340","1","0"
"0","0","22","29","0.455","1220029","0","0","0","0","4","1"
"0","52","22","30","0","1220030","6","0","0.586","0","1","0"
"0","0","22","31","1.124","1220031","0","0","0","0","4","1"
"0","221","22","32","0","1220032","6","0","1.953","52","1","0"
"0","0","22","33","2.356","1220033","0","0","0","0","4","1"
"0","375","22","34","0","1220034","6","0","1.083","221","1","0"
"0","0","22","35","1.083","1220035","0","0","0","0","4","1"
"0","74","22","36","0","1220036","7","0","0.71","0","1","0"
"0","0","22","37","1.533","1220037","0","0","0","0","4","1"
"0","210","22","38","0","1220038","7","0","0.947","74","1","0"
"0","0","22","39","2","1220039","0","0","0","0","4","3"
"0","0","22","40","1.349","1220040","0","0","0","0","4","1"
"0","329","22","41","0","1220041","7","0","0.87","210","1","0"
"0","0","22","42","0.87","1220042","0","0","0","0","4","1"
"0","203","22","43","0","1220043","8","0","1.758","0","1","0"
"0","0","22","44","2.198","1220044","0","0","0","0","4","1"
"0","342","22","45","0","1220045","8","0","1.601","203","1","0"
"0","0","22","46","2.097","1220046","0","0","0","0","4","1"
"0","393","22","47","0","1220047","8","0","0.546","342","1","0"
"0","0","22","48","0.546","1220048","0","0","0","0","4","1"
"0","390","22","49","0","1220049","9","0","1.277","0","1","0"
"0","0","22","50","1.656","1220050","0","0","0","0","4","1"
"0","390","22","51","0","1220051","9","0","2.113","390","1","0"
"0","0","22","52","3.362","1220052","0","0","0","0","4","1"
"0","0","22","53","3","1220053","0","0","0","0","4","3"
"vo_nyx_0406","0","22","54","0","1220054","0","vo_nyx","0","0","2","0"
"0","259","22","55","0","1220055","10","0","2.628","0","1","0"
"0","0","22","56","3.131","1220056","0","0","0","0","4","1"
"0","345","22","57","0","1220057","10","0","0.846","259","1","0"
"0","0","22","58","1.249","1220058","0","0","0","0","4","1"
"0","396","22","59","0","1220059","10","0","0.516","345","1","0"
"0","0","22","60","0.593","1220060","0","0","0","0","4","1"
"0","318","22","61","0","1220061","11","0","2.285","0","1","0"
"0","0","22","62","3.475","1220062","0","0","0","0","4","1"
"0","0","22","63","4","1220063","0","0","0","0","4","3"
"vo_nyx_0407","0","22","64","0","1220064","0","vo_nyx","0","0","2","0"
"0","258","22","65","0","1220065","12","0","2.326","0","1","0"
"0","0","22","66","2.872","1220066","0","0","0","0","4","1"
"0","395","22","67","0","1220067","12","0","1.488","258","1","0"
"0","0","22","68","1.488","1220068","0","0","0","0","4","1"
"0","220","22","69","0","1220069","13","0","1.728","0","1","0"
"0","0","22","70","2.711","1220070","0","0","0","0","4","1"
"vo_nyx_0408","0","22","71","0","1220071","0","vo_nyx","0","0","2","0"
"0","22","22","72","0","1220072","15","0","0.408","0","1","0"
"0","0","22","73","0.929","1220073","0","0","0","0","4","1"
"0","184","22","74","0","1220074","15","0","1.122","22","1","0"
"0","0","22","75","2.922","1220075","0","0","0","0","4","1"
"0","0","23","1","1","1230001","0","0","0","0","4","3"
"vo_nyx_0501","0","23","2","0","1230002","0","vo_nyx","0","0","2","0"
"0","390","23","3","0","1230003","1","0","3.048","0","1","0"
"0","0","23","4","3.048","1230004","0","0","0","0","4","1"
"0","67","23","5","0","1230005","2","0","0.731","0","1","0"
"0","0","23","6","1.507","1230006","0","0","0","0","4","1"
"vo_nyx_0502","0","23","7","0","1230007","0","vo_nyx","0","0","2","0"
"0","323","23","8","0","1230008","2","0","2.093","67","1","0"
"0","0","23","9","2.341","1230009","0","0","0","0","4","1"
"0","378","23","10","0","1230010","2","0","0.644","323","1","0"
"0","0","23","11","0.993","1230011","0","0","0","0","4","1"
"0","202","23","12","0","1230012","3","0","1.737","0","1","0"
"0","0","23","13","2.616","1230013","0","0","0","0","4","1"
"vo_nyx_0503","0","23","14","0","1230014","0","vo_nyx","0","0","2","0"
"0","395","23","15","0","1230015","3","0","1.866","202","1","0"
"0","0","23","16","1.866","1230016","0","0","0","0","4","1"
"0","135","23","17","0","1230017","4","0","1.039","0","1","0"
"0","0","23","18","1.496","1230018","0","0","0","0","4","1"
"0","305","23","19","0","1230019","4","0","1.355","135","1","0"
"0","0","23","20","2.334","1230020","0","0","0","0","4","1"
"vo_nyx_0504","0","23","21","0","1230021","0","vo_nyx","0","0","2","0"
"0","35","23","22","0","1230022","6","0","0.422","0","1","0"
"0","0","23","23","0.845","1230023","0","0","0","0","4","1"
"0","360","23","24","0","1230024","6","0","2.026","35","1","0"
"0","0","23","25","2.563","1230025","0","0","0","0","4","1"
"vo_nyx_0505","0","23","26","0","1230026","0","vo_nyx","0","0","2","0"
"0","68","23","27","0","1230027","8","0","0.865","0","1","0"
"0","0","23","28","1.207","1230028","0","0","0","0","4","1"
"0","360","23","29","0","1230029","8","0","1.873","68","1","0"
"0","0","23","30","2.166","1230030","0","0","0","0","4","1"
"0","360","23","31","0","1230031","9","0","2.558","0","1","0"
"0","0","23","32","2","1230032","0","0","0","0","4","3"
"0","0","23","33","3.202","1230033","0","0","0","0","4","1"
"0","221","23","34","0","1230034","10","0","2.381","0","1","0"
"0","0","23","35","2.938","1230035","0","0","0","0","4","1"
"vo_nyx_0506","0","23","36","0","1230036","0","vo_nyx","0","0","2","0"
"0","410","23","37","0","1230037","10","0","1.241","221","1","0"
"0","0","23","38","1.657","1230038","0","0","0","0","4","1"
"0","375","23","39","0","1230039","11","0","2.871","0","1","0"
"0","0","23","40","3","1230040","0","0","0","0","4","3"
"0","0","23","41","3.435","1230041","0","0","0","0","4","1"
"vo_nyx_0507","0","23","42","0","1230042","0","vo_nyx","0","0","2","0"
"0","103","23","43","0","1230043","12","0","0.717","0","1","0"
"0","0","23","44","1.026","1230044","0","0","0","0","4","1"
"0","395","23","45","0","1230045","12","0","2.843","103","1","0"
"0","0","23","46","3.603","1230046","0","0","0","0","4","1"
"vo_nyx_0508","0","23","47","0","1230047","0","vo_nyx","0","0","2","0"
"0","138","23","48","0","1230048","13","0","1.417","0","1","0"
"0","0","23","49","2.029","1230049","0","0","0","0","4","1"
"0","355","23","50","0","1230050","13","0","1.78","138","1","0"
"0","0","23","51","3.58","1230051","0","0","0","0","4","1"
"0","0","24","1","1","1240001","0","0","0","0","4","3"
"vo_nyx_0601","0","24","2","0","1240002","0","vo_nyx","0","0","2","0"
"0","92","24","3","0","1240003","1","0","0.945","0","1","0"
"0","0","24","4","1.808","1240004","0","0","0","0","4","1"
"vo_nyx_0602","0","24","5","0","1240005","0","vo_nyx","0","0","2","0"
"0","395","24","6","0","1240006","2","0","3.225","0","1","0"
"0","0","24","7","4.362","1240007","0","0","0","0","4","1"
"vo_nyx_0603","0","24","8","0","1240008","0","vo_nyx","0","0","2","0"
"0","392","24","9","0","1240009","3","0","2.828","0","1","0"
"0","0","24","10","4.36","1240010","0","0","0","0","4","1"
"vo_nyx_0604","0","24","11","0","1240011","0","vo_nyx","0","0","2","0"
"0","87","24","12","0","1240012","4","0","1.212","0","1","0"
"0","0","24","13","2.171","1240013","0","0","0","0","4","1"
"0","350","24","14","0","1240014","4","0","1.656","87","1","0"
"0","0","24","15","2.769","1240015","0","0","0","0","4","1"
"vo_nyx_0605","0","24","16","0","1240016","0","vo_nyx","0","0","2","0"
"0","24","24","17","0","1240017","5","0","0.168","0","1","0"
"0","0","24","18","1.256","1240018","0","0","0","0","4","1"
"0","98","24","19","0","1240019","5","0","0.478","24","1","0"
"0","0","24","20","0.535","1240020","0","0","0","0","4","1"
"0","150","24","21","0","1240021","5","0","0.735","98","1","0"
"0","0","24","22","2.444","1240022","0","0","0","0","4","1"
"vo_nyx_0606","0","24","23","0","1240023","0","vo_nyx","0","0","2","0"
"0","112","24","24","0","1240024","7","0","1.607","0","1","0"
"0","0","24","25","2.16","1240025","0","0","0","0","4","1"
"0","400","24","26","0","1240026","7","0","2.119","112","1","0"
"0","0","24","27","2.647","1240027","0","0","0","0","4","1"
"0","182","24","28","0","1240028","8","0","1.802","0","1","0"
"0","0","24","29","2","1240029","0","0","0","0","4","3"
"0","0","24","30","2.817","1240030","0","0","0","0","4","1"
"vo_nyx_0607","0","24","31","0","1240031","0","vo_nyx","0","0","2","0"
"0","395","24","32","0","1240032","8","0","1.981","182","1","0"
"0","0","24","33","2.842","1240033","0","0","0","0","4","1"
"0","172","24","34","0","1240034","9","0","1.894","0","1","0"
"0","0","24","35","3.737","1240035","0","0","0","0","4","1"
"vo_nyx_0608","0","24","36","0","1240036","0","vo_nyx","0","0","2","0"
"0","209","24","37","0","1240037","9","0","0.82","172","1","0"
"0","0","24","38","1.754","1240038","0","0","0","0","4","1"
"0","400","24","39","0","1240039","9","0","2.752","209","1","0"
"0","0","24","40","3.272","1240040","0","0","0","0","4","1"
"0","0","24","41","3","1240041","0","0","0","0","4","3"
"vo_nyx_0609","0","24","42","0","1240042","0","vo_nyx","0","0","2","0"
"0","100","24","43","0","1240043","11","0","1.283","0","1","0"
"0","0","24","44","2.322","1240044","0","0","0","0","4","1"
"0","0","24","45","4","1240045","0","0","0","0","4","3"
"vo_nyx_0610","0","24","46","0","1240046","0","vo_nyx","0","0","2","0"
"0","75","24","47","0","1240047","12","0","0.86","0","1","0"
"0","0","24","48","0.86","1240048","0","0","0","0","4","1"
"0","75","24","49","0","1240049","12","0","1.242","75","1","0"
"0","0","24","50","2.086","1240050","0","0","0","0","4","1"
"0","0","24","51","5","1240051","0","0","0","0","4","3"
"vo_nyx_0611","0","24","52","0","1240052","0","vo_nyx","0","0","2","0"
"0","242","24","53","0","1240053","12","0","0.735","75","1","0"
"0","0","24","54","1.789","1240054","0","0","0","0","4","1"
"vo_nyx_0612","0","24","55","0","1240055","0","vo_nyx","0","0","2","0"
"0","80","24","56","0","1240056","13","0","1","0","1","0"
"0","0","24","57","2.104","1240057","0","0","0","0","4","1"
"0","0","24","58","6","1240058","0","0","0","0","4","3"
"vo_nyx_0613","0","24","59","0","1240059","0","vo_nyx","0","0","2","0"
"0","40","24","60","0","1240060","14","0","1.189","0","1","0"
