a39cb15ff7ca12c6b094730df98e3fa630b99743df969902ae80879fb9aa0583,b4ddd18aadad4c20078a7b0e6c435e877c6aed5ac67d953071a5dde4a97f8d20,351b4058dcffa5da52f5be980f93508e423ab8cefa4a69813a7cdaa9a5884e2f,d885be6c57b93d686d6f8715df4c05790af7a34eec402daeadeccf69e2798a07,bccf0bca5019bcbc3e66b3487f065757dde2388f52bfbc0fdc03c5b8a7a7c701,daf284da0de1f48c7239b4a5d30e543f1e4cb4b75b11b33cc005b8e8de31aa65,d3a0f3b8d211b41eb2fd89e7e895e30c84af525b522d0c5d3c73cadc125e0188,902fdab1dc67a8888882b69b079fc3aed4086745d85f328ad199f61b843f8273,c2f12344fe3c3c1a59aa4f3b638ea7b8c5e0aff41553075eb22e47e2fff63ec0,275f38fa6e530c4386a563668b32b91670ac92ff35f01983264e88b04131c6bd,d188cb9c52a1c70a7d1a84f951946bf36c1408597d800ee78031504c165631a9,b3707f8588b444ec70f9dff1bcbf3b350978a5b5905a22cfac633e0e2581ad9f,ce2b04ef75c7308db585ee5c70f35361a6dfb9ad66e3c8f642859540288b6ff2,842803dbbb7f6c679b5e0198149149fdb34448cafed36c9f1b103e790f2371e7,2670a81af30726085fa435bd8ab70b85753d787a51e5be35af4689eb2730ac9e,30ec1319ac1fc7388eb5fac3490ed9937a16823cc1ba9d1fc35d7e1d7329f96f,e40fd784536488152e3409a8ef5dda58d15766ffb6e70dff17509a4dbfda7287,768c24af71ddb82c1d0427db393c4af20192f592ac4a17322eb237bd141ce0aa,6b8ce8df077d1d07168dcedf85211b417398b5c76a44027bfc186fb306751c35,c20acdff17cf898cc10aec96796886131a476d25b14986cd1a6b13ae736c1533,dba353bf6d7b4438fcd8635dc56e8c87e9765e6f3eba9d24197eb8742acff524,8b25264cdc9d8f7360009d8fec567df047d99f6004d91baa436af410515c7c3e,61cee9824ff3308a68d23705da42184ad69bc1ff148d0aa8dabd70276a547e8b,103bbc96998f5848ef5d0a3773dd65d28c841485d8d7d76d147ddcf8af038d96,648dda22eb1d017153e5673b22dea607d78a5e1cfc747dacd8acb2c027536195
"0","103121","1.35","770530401","0","0","0","0","103123","0","0","bgm_MC008","0","0","0","0","0","0","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"0","103121","1.05","770530501","0","0","0","0","103123","0","0","bgm_MC008","0","0","0","0","-25","-20","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"0","103121","1.3","770530601","0","0","0","0","103123","0","15","bgm_MC008","0","0","0","0","15","0","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"-400","103121","0.8","770530701","50","360","0.8","-250","103123","0","17","bgm_MC008","0","0","1.4","0.8","5","0","Boss戰鬥格子","-100","-100","0","0.8","bgm_MC008","1"
"0","103121","1.2","770530801","0","0","0","0","103123","0","-25","bgm_MC008","0","0","0","0","-18","-20","Boss戰鬥格子","0","-100","0","0","bgm_MC008","0.9"
"0","103121","1.35","770530901","0","0","0","0","103123","0","0","bgm_MC008","0","0","0","0","0","0","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"0","103121","1.05","770531001","0","0","0","0","103123","0","0","bgm_MC008","0","0","0","0","-25","-20","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"0","103121","1.3","770531101","0","0","0","0","103123","0","15","bgm_MC008","0","0","0","0","15","0","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"-400","103121","0.8","770531201","50","360","0.8","-250","103123","0","17","bgm_MC008","0","0","1.4","0.8","5","0","Boss戰鬥格子","-100","-100","0","0.8","bgm_MC008","1"
"0","103121","1.2","770531301","0","0","0","0","103123","0","-25","bgm_MC008","0","0","0","0","-18","-20","Boss戰鬥格子","0","-100","0","0","bgm_MC008","0.9"
"0","103121","1.35","770531401","0","0","0","0","103123","0","0","bgm_MC008","0","0","0","0","0","0","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"0","103121","1.05","770531501","0","0","0","0","103123","0","0","bgm_MC008","0","0","0","0","-25","-20","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"0","103121","1.3","770531601","0","0","0","0","103123","0","15","bgm_MC008","0","0","0","0","15","0","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"-400","103121","0.8","770531701","50","360","0.8","-250","103123","0","17","bgm_MC008","0","0","1.4","0.8","5","0","Boss戰鬥格子","-100","-100","0","0.8","bgm_MC008","1"
"0","103121","1.2","770531801","0","0","0","0","103123","0","-25","bgm_MC008","0","0","0","0","-18","-20","Boss戰鬥格子","0","-100","0","0","bgm_MC008","0.9"
"0","103121","1.35","770531901","0","0","0","0","103123","0","0","bgm_MC008","0","0","0","0","0","0","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
"0","103121","1.05","770532001","0","0","0","0","103123","0","0","bgm_MC008","0","0","0","0","-25","-20","Boss戰鬥格子","0","-100","0","0","bgm_MC008","1"
