a42ba85cb20b1eaadf514597f5483ff68d0db5f431ce2f25da136bcc72bfc0d9,55dbfd2a3b66f4eeeb0075126c3b76e453e5c1a4c1b4a563a0fa23a53655425c,40fb30fe700ed47f28566380e78e48b4713420d307155919296332a51f5fd3c1,9d127c9177a602eb3b8471a4f6dc096b3eda5cb51283c59418fa6ff4d7eaca0a,987770c61c0c2dced1167aaba5a9dd655cf455d3da4c60ba75952586c2bff5c2,3d3d7b1a6a79ca41bfdcb8b971ce71b1d9e737ef029359e09f86f79ea257ca9a,13d6bab5f099102bdebb30bc001df7f85d1e8ebb70efd6826339a3b8081f966b,565b48a99c7840feb9d395a92f2efe3d950ad926164b3705e82647e2d8357902,27984f16ba5f1a0a82403391bbb7ed12c652e8c83ee32e3f71839e2cdbfef94c,b3ae6f3311285ed19c9be393458be9fc65c8f10108032d9a21a761cb009997ed,0d8ef4be2e4d52b1e4b192f366a060ce66e84e405bbef4ab135ebc9bcd6d72f1
"02_uek_talk_joy2","3","1","","101131","","4","","","","1040003"
"千萬行星也要\n始於腳下！\n我會加油的！","11","10","","101131","","4","","0","","1040004"
"","91","","","0","","4","","","","1040005"
"02_uek_cmn_idol_def_N","3","1","","101131","","4","0.2","","","1040006"
"02_uek_04_shizuru","3","1","","104931","","4","0.2","","","1040007"
"妳要說的應該是\n千里之行始於\n足下喔，璃乃。","11","10","","104931","","4","","0","","1040008"
"","91","","","0","","4","","","","1040009"
"02_uek_cmn_idol_def_N","3","1","","104931","","4","0.2","","","1040010"
"105031","1","100","0","1","0","5","1.3","-70","02_uek_cmn_idol_def_N","1050001"
"101631","1","100","1","1","1","5","1.3","70","02_uek_cmn_idol_def_N","1050002"
"02_uek_05_misaki","3","0","","105031","-15","5","","02_uek_05_misaki_loop","","1050003"
"02_uek_05_suzuna","3","0","","101631","0","5","","02_uek_05_suzuna_loop","","1050004"
"我要登上大人\n的階梯了～！","11","10","","105031","","5","","0","","1050005"
"","91","","","0","0","5","","","","1050006"
"人家也要成為\n超級巨星名模囉！","11","10","","101631","","5","","0","","1050007"
"100531","1","100","1","1","25","6","1.3","120","02_uek_cmn_idol_def_N","1060001"
"103731","1","100","0","1","5","6","1.3","-20","02_uek_cmn_idol_def_N","1060002"
"02_uek_cmn_pose04","3","1","","100531","","6","","","","1060003"
"如果因為這點高度\n而軟腳的話，\n就不配當英雄了！","11","10","","100531","","6","","0","","1060004"
"","91","","","0","","6","","","","1060005"
"02_uek_talk_normal","3","1","","103731","","6","0.2","","","1060006"
"嗯，感覺會是\n不錯的訓練呢。\n我越來越期待了。","11","10","","103731","","6","","0","","1060007"
"","91","","","0","","6","","","","1060008"
"02_uek_cmn_idol_def_N","3","1","","103731","","6","0.2","","","1060009"
"103831","1","100","0","1","-20","7","1.3","-60","02_uek_cmn_idol_def_N","1070001"
"02_uek_07_shiori","3","1","","103831","","7","0.2","","","1070002"
"奇怪……姊姊她\n跑去哪裡了？\n……姊姊～？","11","10","","103831","","7","","","","1070003"
"104531","1","100","0","1","40","8","1.3","90","02_uek_08_kuka_loop","1080001"
"2","31","90","","2","1","8","1","60","","1080002"
"啊，藤蔓纏住\n腳的觸感\n真叫人受不了～～！","11","10","","104531","0","8","","0","","1080003"
"","91","","","0","","8","","","","1080004"
"105831","1","100","0","2","-35","9","0.9","-195","05_idle","1090001"
"302102","1","1000","0","2","-30","9","1.2","150","302102_idle","1090002"
"15","31","150","","102","1","9","1","50","","1090003"
"16","31","150","","103","1","9","1","400","","1090004"
"112531","1","100","0","1","-25","10","1.3","-160","01_uek_cmn_idol_def_N","1100001"
"112431","1","100","1","1","-5","10","1.3","-40","01_uek_cmn_idol_def_N","1100002"
"112631","1","100","1","1","20","10","1.3","125","01_uek_cmn_idol_def_N","1100003"
"01_uek_talk_surprise2","3","1","","112631","0","10","","","","1100004"
"嗚呀……！\n腳下變成了雲朵，\n這是怎麼回事！？","11","10","","112631","0","10","","0","","1100005"
"","91","","","0","","10","","","","1100006"
"01_uek_cmn_idol_def_N","3","1","","112631","0","10","0.2","","","1100007"
"01_uek_talk_joy1","3","1","","112431","","10","","","","1100008"
"有一種不可思議的\n觸感呢～\n軟綿綿的耶♪","11","10","","112431","0","10","","0","","1100009"
"","91","","","0","","10","","","","1100010"
"01_uek_cmn_idol_def_N","3","1","","112431","","10","0.2","","","1100011"
"01_uek_talk_normal","3","1","","112531","","10","","","","1100012"
"雖然好像不會掉下去\n……不過還是邊注意\n腳下邊前進吧。","11","10","","112531","0","10","","0","","1100013"
"","91","","","0","","10","","","","1100014"
"01_uek_cmn_idol_def_N","3","1","","112531","","10","0.2","","","1100015"
"","91","","","0","","10","","","","1100016"
"104731","1","100","0","1","-20","11","1.3","-135","03_uek_cmn_idol_def_N","1110001"
"107131","1","100","1","1","5","11","1.3","100","03_uek_cmn_idol_def_N","1110002"
"03_uek_11_jun","3","0","","104731","1","11","0","03_uek_11_jun_loop","","1110003"
"03_uek_11_chris","3","0","0.2","107131","1","11","0","03_uek_cmn_idol_def_N","","1110004"
"唔，視野一片白……\n小克莉絲，\n妳要小心！","11","10","","104731","0","11","","","","1110005"
"","91","","","0","","11","","","","1110006"
"哈哈哈，鎧甲的重量\n讓妳沉下去囉團長☆\n嘿咻，釣到大魚了！","11","10","","107131","0","11","","0","","1110007"
"","93","","","1.5","","11","","","","1110008"
"-135","2","0","","104731","1","11","","1.5","","1110009"
"","91","","","1110007","","11","","","","1110010"
"101031","1","100","0","1","-20","12","1.3","-120","03_uek_cmn_idol_def_N","1120001"
"101431","1","100","1","1","-5","12","1.3","10","03_uek_cmn_idol_def_N","1120002"
"03_uek_talk_joy1","3","1","","101031","0","12","","","","1120003"
"好可愛的雲呀，\n真想一起\n帶回去啊♪","11","10","","101031","0","12","","0","","1120004"
"","91","","","0","","12","","","","1120005"
"03_uek_cmn_idol_def_N","3","1","","101031","0","12","0.2","","","1120006"
"03_uek_talk_normal","3","1","","101431","0","12","","","","1120007"
"再怎麼說\n那未免也\n太困難了吧……？","11","10","","101431","0","12","","0","","1120008"
"","91","","","0","","12","","","","1120009"
"03_uek_cmn_idol_def_N","3","1","","101431","0","12","0.2","","","1120010"
"105831","1","100","0","1","-45","13","1.3","-165","01_uek_cmn_idol_def_N","1130001"
"105931","1","100","0","1","-20","13","1.3","-45","01_uek_cmn_idol_def_N","1130002"
"106031","1","100","1","1","-5","13","1.3","120","01_uek_cmn_idol_def_N","1130003"
"01_uek_talk_normal","3","1","","105931","1","13","","","","1130004"
"已經爬到滿高的\n地方來了呢……","11","10","","105931","0","13","","0","","1130005"
"","91","","","0","","13","","","","1130006"
"01_uek_13_kokkoro","3","0","","105931","1","13","0.2","01_uek_cmn_idol_def_N","","1130007"
"01_uek_13_kyaru","3","0","","106031","1","13","","01_uek_13_kyaru_loop","","1130008"
"根本完全\n看不見頂端啊！\n到底有多高啊！","11","10","","106031","0","13","","0","","1130009"
"","91","","","0","","13","","","","1130010"
"01_uek_13_peco_loop","3","1","","105831","0","13","","","","1130011"
"有什麼關係嘛。\n運動後吃的東西\n會格外美味哦☆","11","10","","105831","0","13","","0","","1130012"
"","91","","","0","","13","","","","1130013"
"104031","1","100","0","1","-25","14","1.3","-86","03_uek_cmn_idol_def_N","1140001"
"1","31","0","","1","1","14","1","250","","1140002"
"03_uek_14_aoi","3","0","","104031","1","14","","03_uek_14_aoi_loop","","1140003"
"嗚嗚，這風是\n對邊緣人的\n猛烈排擠嗎！？","11","10","","104031","0","14","","0","","1140004"
"100731","1","100","0","1","-20","15","1.3","-75","03_uek_cmn_idol_def_N","1150001"
"103131","1","100","1","1","10","15","1.3","65","03_uek_15_father","1150002"
"03_uek_15_miyako","3","1","","100731","0","15","","","","1150003"
"天上好舒服哦～\n這就是所謂的\n幸福到快升天嗎？","11","10","","100731","0","15","","0","","1150004"
"","91","","","0","","15","","","","1150005"
"03_uek_15_father","3","1","","103131","0","15","","","","1150006"
"小鬼妳也是嗎？\n本大爺的身體也\n變得好輕啊！","11","10","","103131","0","15","","0","","1150007"
"","91","","","0","","15","","","","1150008"
"03_uek_talk_normal","3","1","","103131","0","15","","","","1150009"
"宮子\n妳可不能\n真的升天哦……？","11","10","","103131","0","15","","0","","1150010"
"","91","","","0","","15","","","","1150011"
"03_uek_cmn_idol_def_N","3","1","","103131","0","15","0.2","","","1150012"
"112431","1","100","0","1","-45","16","1.3","-110","01_uek_cmn_idol_def_N","1160001"
"105831","1","100","1","1","-15","16","1.3","40","01_uek_cmn_idol_def_N","1160002"
"105931","1","100","1","1","10","16","1.3","140","01_uek_cmn_idol_def_N","1160003"
"01_uek_01_kokkoro","3","0","","105931","0","16","","01_uek_cmn_idol_def_N","","1160004"
"01_uek_01_uduki","3","0","","112431","1","16","","01_uek_cmn_idol_def_N","","1160005"
"01_uek_01_peko","3","0","","105831","1","16","","01_uek_cmn_idol_def_N","","1160006"
"","91","","","0","","16","","","","1160007"
"01_uek_talk_normal","3","1","","105931","1","16","","","","1160008"
"卯月小姐。前路似乎\n還很漫長，\n您不休息沒問題嗎？","11","10","","105931","0","16","","0","","1160009"
"","91","","","0","","16","","","","1160010"
"01_uek_cmn_idol_def_N","3","1","","105931","1","16","","","","1160011"
"01_uek_talk_joy1","3","1","","112431","","16","","","","1160012"
"嗯，沒問題！\n我很樂在其中，\n太讚了吧☆","11","10","","112431","0","16","","0","","1160013"
"","93","","","1.5","","16","","","","1160014"
"01_uek_16_uduki","3","0","","112431","1","16","0.2","01_uek_16_uduki_loop","","1160015"
"","91","","","1160013","","16","","","","1160016"
"01_uek_talk_joy1","3","1","","105831","","16","","","","1160017"
"妳很有活力呢！\n卯月，我們\n一起加油吧～☆","11","10","","105831","0","16","","0","","1160018"
"","93","","","2.2","","16","","","","1160019"
"01_uek_16_peco","3","0","","105831","1","16","0.2","01_uek_16_uduki_loop","","1160020"
"","91","","","1160018","","16","","","","1160021"
"102331","1","300","1","1","10","17","1.3","150","03_uek_cmn_idol_def_N","1170001"
"102131","1","100","0","1","-15","17","1.3","-100","03_uek_cmn_idol_def_N","1170002"
"3","31","20","","3","1.3","17","0","10","","1170003"
"03_uek_17_ayane","3","0","0.2","102331","1","17","0.2","03_uek_17_ayane_loop","","1170004"
"03_uek_cmn_pose05","3","0","","102131","1","17","0.2","03_uek_cmn_idol_def_N","","1170005"
"1","32","","","3","","17","","","","1170006"
"妳看妳看！\n我用雲做出了\n噗吉哦～！","11","10","","102331","0","17","","0","","1170007"
"","91","","","0","","17","","","","1170008"
"03_uek_talk_joy1","3","1","","102131","","17","0.2","","","1170009"
"哇，好厲害～！\n我也想\n做點什麼呢……♪","11","10","","102131","0","17","","0","","1170010"
"","91","","","0","","17","","","","1170011"
"03_uek_cmn_idol_def_N","3","1","","102131","","17","0.2","","","1170012"
"112631","1","100","0","1","45","18","1.3","229","01_uek_cmn_idol_def_N","1180001"
"105831","1","110","0","1","20","18","1.3","170","01_uek_cmn_idol_def_N","1180002"
"105931","1","100","0","1","-10","18","1.3","-85","01_uek_cmn_idol_def_N","1180003"
"01_uek_18_mio","3","0","","112631","1","18","","01_uek_18_mio_loop","","1180004"
"已經爬了很高呢～\n來看看底下的\n景色吧！","11","10","","112631","0","18","","0","","1180005"
"","91","","","0","","18","","","","1180006"
"01_uek_18_mio","3","0","","105831","1","18","","01_uek_18_mio_loop","","1180007"
"是啊！\n嗯，我看看…\n唔，哇哇哇哇！","11","10","","105831","0","18","","0","","1180008"
"","93","","","3","","18","","","","1180009"
"170","2","5","","105831","1","18","","2","","1180010"
"","91","","","1180008","","18","","","","1180011"
"01_uek_18_kokkoro","3","0","","105931","1","18","","01_uek_cmn_idol_def_N","","1180012"
"呵呵，兩位\n嬉嬉鬧鬧的，\n好像很開心呢。","11","10","","105931","0","18","","0","","1180013"
"101231","1","100","0","1","110","19","1.3","402","02_uek_19_hatsune","1190001"
"103831","1","100","0","1","30","19","1.3","166","02_uek_talk_surprise2","1190002"
"02_uek_talk_surprise2","3","1","","103831","0","19","0.2","","","1190003"
"啊！姊姊！\n在這種地方睡著\n很危險的！","11","10","","103831","0","19","","0","","1190004"
"","91","","","0","","19","","","","1190005"
"我好像聽到了\n小栞的聲音……\n呼嚕……☆","11","10","","101231","0","19","","0","","1190006"
"105831","1","100","0","2","-35","20","0.9","-195","05_idle","1200001"
"304602","1","1000","0","2","30","20","1.4","150","304602_idle","1200002"
"17","31","150","","102","1","20","1","50","","1200003"
"18","31","150","","103","1","20","1","400","","1200004"
"105931","1","110","0","1","25","21","1.3","185","01_uek_21_kokkoro_loop","1210001"
"112531","1","120","0","1","-5","21","1.3","65","01_uek_21_rin_loop","1210002"
"106031","1","100","0","1","-35","21","1.3","-140","01_uek_cmn_idol_def_N","1210003"
"風吹得好舒服呢。\n像在溫柔地對我們\n輕聲呢喃一樣。","11","10","","105931","0","21","","0","","1210004"
"","91","","","0","","21","","","","1210005"
"說不定蒼風有什麼話\n想對向上邁進的\n我們說呢……","11","10","","112531","0","21","","0","","1210006"
"","91","","","0","","21","","","","1210007"
"01_uek_21_kyaru","3","0","","106031","1","21","","01_uek_cmn_idol_def_N","","1210008"
"……妳們好像\n在奇妙的地方\n同步了呢。","11","10","","106031","0","21","","0","","1210009"
"","91","","","0","","21","","","","1210010"
"105831","1","100","0","1","40","22","1.3","180","01_uek_cmn_idol_def_N","1220001"
"4","31","420","","4","1.3","22","1","250","","1220002"
"01_uek_cmn_pose03","3","1","","105831","","22","0.2","","","1220003"
"像飯糰的雲\n會是什麼味道呢\n……流口水☆","11","10","","105831","0","22","","0","","1220004"
"","91","","","0","","22","","","","1220005"
"105231","1","100","0","1","5","23","1.3","33","03_uek_cmn_idol_def_N","1230001"
"102631","1","1010","0","1","40","23","1.3","200","03_uek_23_rin","1230002"
"103331","1","100","0","1","-25","23","1.3","-110","03_uek_cmn_idol_def_N","1230003"
"5","31","220","","5","1","23","1","32","","1230004"
"03_uek_23_rin","3","1","","102631","","23","0.2","","","1230005"
"這朵雲軟綿綿的\n好舒服～\n好像能睡得很熟～","11","10","","102631","0","23","","0","","1230006"
"","91","","","0","","23","","","","1230007"
"1100","2","40","","102631","0","23","","45","","1230008"
"1120","33","32","","5","0","23","","45","","1230009"
"03_uek_cmn_pose04","3","1","","105231","","23","0.2","","","1230010"
"03_uek_talk_surprise2","3","1","","103331","","23","0.2","","","1230011"
"鈴睡在上面的\n那朵雲飄走了！\n怎、怎麼辦！","11","10","","105231","0","23","","0","","1230012"
"","91","","","0","","23","","","","1230013"
"乾草比這\n更軟的啦！\n快點回來啦！","11","10","","103331","0","23","","0","","1230014"
"","91","","","0","","23","","","","1230015"
"105531","1","10","0","1","-45","24","1.3","-240","03_uek_24_ayumi","1240001"
"03_uek_24_ayumi","3","1","","105531","0","24","","","","1240002"
"啊，\n前輩在那裡，\n盯……………","11","10","","105531","0","24","","0","","1240003"
"103631","1","100","1","1","15","25","1.3","175","03_uek_cmn_idol_def_N","1250001"
"100431","1","100","0","1","-10","25","1.3","-36","03_uek_cmn_idol_def_N","1250002"
"102031","1","100","0","1","-45","25","1.3","-158","03_uek_cmn_idol_def_N","1250003"
"03_uek_cmn_pose06","3","1","","102031","0","25","","","","1250004"
"在天上玩耍\n真的很舒服呢。\n嚕啦啦～♪","11","10","","102031","0","25","","0","","1250005"
"","91","","","0","","25","","","","1250006"
"03_uek_25_misogi","3","0","","100431","1","25","","03_uek_25_misogi_loop","","1250007"
"對啊！鏡華也\n這樣覺得吧？\n……哇！","11","10","","100431","0","25","","0","","1250008"
"03_uek_25_kyouka","3","1","","103631","0","25","","03_uek_25_kyouka_loop","","1250009"
"","91","","","0","","25","","","","1250010"
"慢著，禊！\n掉下去會很危險，\n妳不要嚇我啦！","11","10","","103631","0","25","","0","","1250011"
"","91","","","0","","25","","","","1250012"
"104831","1","100","0","1","-43","27","1.3","-179","01_uek_cmn_idol_def_N","1270001"
"104631","1","100","0","1","-14","27","1.3","0","01_uek_27_tamaki_loop","1270002"
"103231","1","100","1","1","24","27","1.3","200","01_uek_cmn_idol_def_N","1270003"
"呼呼……\n到、到極限了喵……\n我想回去喵……","11","10","","104631","0","27","","0","","1270004"
"","91","","","0","","27","","","","1270005"
"01_uek_cmn_pose02","3","0","","104831","1","27","","01_uek_talk_normal","","1270006"
"步行只要有效率地\n分配體力，\n這點程度不算什麼。","11","10","","104831","0","27","","0","","1270007"
"","91","","","0","","27","","","","1270008"
"01_uek_cmn_idol_def_N","3","1","","104831","0","27","0.3","","","1270009"
"01_uek_27_akino_loop","3","1","","103231","0","27","","","","1270010"
"喔――呵呵呵！\n風景真不錯！\n之後景色真讓人期待","11","10","","103231","0","27","","0","","1270011"
"102931","1","110","0","1","-10","28","1.3","0","04_uek_cmn_idol_def_N","1280001"
"104231","1","120","0","1","-30","28","1.3","-120","04_uek_cmn_idol_def_N","1280002"
"105431","1","100","0","1","10","28","1.3","120","04_uek_cmn_idol_def_N","1280003"
"6","31","35","","6","1.3","28","0","10","","1280004"
"9","31","-85","","6","1.3","28","0","-10","","1280005"
"10","31","155","","6","1.3","28","0","30","","1280006"
"04_uek_28_nozomi","3","1","","102931","","28","0.2","","","1280007"
"04_uek_28_chika","3","1","","104231","","28","0.2","","","1280008"
"04_uek_28_tsumugi","3","1","","105431","","28","0.2","","","1280009"
"1","32","","","6","","28","","","","1280010"
"1","32","","","9","","28","","","","1280011"
"1","32","","","10","","28","","","","1280012"
"就算在天空上\n慈樂之音也要…\n站上舞台！","11","10","","102931","0","28","","0","","1280013"
"","91","","","0","","28","","","","1280014"
"風吹得真舒服……！\n精靈們好像\n也很開心！","11","10","","104231","0","28","","0","","1280015"
"","91","","","0","","28","","","","1280016"
"太棒了呢！\n就一路嗨到\n安可吧！","11","10","","105431","0","28","","0","","1280017"
"","91","","","0","","28","","","","1280018"
"101531","1","100","0","1","-10","29","1.3","-40","03_uek_cmn_idol_def_N","1290001"
"101831","1","100","1","1","10","29","1.3","95","03_uek_cmn_idol_def_N","1290002"
"03_uek_talk_joy1","3","1","","101831","0","29","","","","1290003"
"真是宜人的地方呢，\n要不要在遠足的時候\n帶學生們來這裡呢？","11","10","","101831","0","29","","0","","1290004"
"","91","","","0","","29","","","","1290005"
"03_uek_cmn_idol_def_N","3","1","","101831","0","29","0.3","","","1290006"
"03_uek_talk_joy1","3","1","","101531","0","29","0.3","","","1290007"
"哎呀哎呀～那還真想\n讓村裡的孩子們\n也一起來呢～","11","10","","101531","0","29","","0","","1290008"
"","91","","","0","","29","","","","1290009"
"03_uek_cmn_idol_def_N","3","1","","101531","0","29","0.3","","","1290010"
"105831","1","100","0","2","-35","30","0.9","-195","05_idle","1300001"
"307505","1","1000","0","2","-50","30","1.5","150","307505_idle","1300002"
"19","31","150","","102","1","30","1","50","","1300003"
"20","31","150","","103","1","30","1","400","","1300004"
"307505_awake","3","0","","307505","1","30","0","307505_idle","","1300005"
"105831","1","110","0","1","10","31","1.3","140","01_uek_cmn_idol_def_N","1310001"
"105931","1","110","0","1","0","31","1.3","20","01_uek_cmn_idol_def_N","1310002"
"106031","1","110","0","1","-55","31","1.3","-200","01_uek_26_kyaru_loop","1310003"
"","93","","","1","","31","","","","1310004"
"1","4","","","105831","","31","","","","1310005"
"01_uek_cmn_pose04","3","1","","105831","","31","0","","","1310006"
"妳們快看！\n是星星的世界！\n好棒的景色呢☆","11","10","","105831","","31","","","","1310007"
"","93","","","2.3","","31","","","","1310008"
"01_uek_cmn_idol_def_N","3","0","","105831","0","31","0.2","","","1310009"
"","91","","","1310007","","31","","","","1310010"
"01_uek_cmn_idol_def_N","3","1","","105831","0","31","0.2","","","1310011"
"01_uek_talk_normal","3","1","","105931","","31","","","","1310012"
"真的是\n很棒的地方呢，\n我們好好享受吧。","11","10","","105931","","31","","","","1310013"
"","91","","","0","","31","","","","1310014"
"01_uek_cmn_idol_def_N","3","1","","105931","","31","0.2","","","1310015"
"妳們也太冷靜了吧！\n這一切都\n太奇怪了吧……！","11","10","","106031","","31","","","","1310016"
"104531","1","100","1","1","91","32","1.3","255","02_uek_32_kuka_loop","1320001"
"105331","1","100","0","1","-29","32","1.3","-97","02_uek_cmn_idol_def_N","1320002"
"103031","1","100","0","1","0","32","1.3","50","02_uek_cmn_idol_def_N","1320003"
"02_uek_32_kuka","3","0","","104531","0","32","0.5","","","1320004"
"02_uek_cmn_shock_def_N","3","0","","105331","1","32","0.5","02_uek_talk_surprise2","","1320005"
"02_uek_cmn_shock_def_N","3","0","","103031","1","32","0.5","02_uek_talk_surprise2","","1320006"
"","91","","","0","","32","","","","1320007"
"02_uek_talk_surprise2","3","1","","103031","0","32","0.5","","","1320008"
"好不容易找到的\n空花\n又要飛走了！","11","10","","103031","0","32","","0","","1320009"
"","91","","","0","","32","","","","1320010"
"02_uek_talk_surprise2","3","1","","105331","0","32","0.5","","","1320011"
"她果然\n很開心的樣子！？","11","10","","105331","0","32","","0","","1320012"
"100831","1","100","1","1","0","33","1.3","0","02_uek_cmn_idol_def_N","1330001"
"7","31","-120","","7","1.3","33","1","130","","1330002"
"02_uek_33_yuki","3","0","","100831","1","33","0.2","02_uek_33_yuki_loop","","1330003"
"沐浴在星星的\n光輝之下，讓我\n顯得更加美麗了…","11","10","","100831","0","33","","0","","1330004"
"","91","","","0","","33","","","","1330005"
"100931","1","110","1","1","0","34","1.3","10","02_uek_cmn_idol_def_N","1340001"
"101331","1","110","1","1","10","34","1.3","180","02_uek_cmn_idol_def_N","1340002"
"","93","","","1","","34","","","","1340003"
"02_uek_cmn_pose01","3","1","0.2","101331","1","34","0.2","02_uek_cmn_idol_def_N","","1340004"
"來到宇宙啦！\n人家超嗨\n爆嗨的啦！","11","10","","101331","0","34","","0","","1340005"
"","91","","","0","","34","","","","1340006"
"02_uek_34_anna","3","0","0","100931","1","34","0.2","02_uek_34_anna_loop","","1340007"
"呵呵呵……我強烈地\n感受到星星之力了！\n覺醒的時刻近了…！","11","10","","100931","0","34","","0","","1340008"
"100231","1","100","1","1","-60","35","1.3","-200","01_uek_cmn_idol_def_N","1350001"
"100331","1","100","1","1","10","35","1.3","0","01_uek_cmn_idol_def_N","1350002"
"100131","1","100","1","1","20","35","1.3","200","01_uek_cmn_idol_def_N","1350003"
"8","31","0","","8","1","35","1","270","","1350004"
"01_uek_35_yui","3","0","0.2","100231","1","35","0.2","01_uek_35_yui_loop","","1350005"
"01_uek_35_rei","3","0","0.2","100331","1","35","0.2","01_uek_35_rei_loop","","1350006"
"01_uek_cmn_pose03","3","1","","100131","","35","0.2","","","1350007"
"快看，是流星…！\n大家一起\n許願吧！","11","10","","100231","0","35","","0","","1350008"
"","91","","","0","","35","","","","1350009"
"嗯，是呀。\n這個情境\n很適合我們呢。","11","10","","100331","0","35","","0","","1350010"
"","91","","","0","","35","","","","1350011"
"贊成！\n那麼我要許……\n嗯、嗯……！","11","10","","100131","0","35","","0","","1350012"
"","91","","","0","","35","","","","1350013"
