8292db861c588237caa82f6c455ca1cf39d92982c46a9969bd935e680f78f3b4,b0d7e120fa041602d7135985f5a7e143c8045c67d36dc72e5cb38be29512b2fa,c989225c1b5de3292fd07ae48348c3d262b7202894f2e09bf8522ae0eb1f393e,96cd2ad31fe8cc947f2aa9fe355da4282619b3a6e698ee72dea0e4746f2dbba1,2700e8a5d9b1c8fa4f7614784f04df86dda510da40d97484ec14251b4d4308e0,f76b706117a253bc41c22017b637e49f8659ed4386e20f516b88bc5170eae37e,fefe0cd0860bd2712c11cd0becc45c10b7bf10e1f44d3a38a8a7f68d4184fd4d,5a7942e8202b6d6c655b8ab8c716c42de2e83ee3c02a8483c91e4b9f2a4a4a7e,30bf7d4e359e339ca2a180e4646e9a56e107f242bdf38d702265ab63519505eb,9dcf379c6f387c6abace8b973ee287f865ab8060b5f273e63c2fc46584acfd63,b7883b4788d6ff052398e610c21fd9456e6a503a5be1796864462f5d427f6615,181e0e805a21ac13443d6190d1a845ab2f3430d245ae13999948d1871df68ece,0b364a0719a7cd0124dba48504a85ee85b69ceb57824f1150672e922d8214c97
"10","1","11300114","2","vo_minigame_1012_result_1013","9","嗯，很不錯喔！\n看來完～全不用擔心你會不及格呢♪\n但還是不會讓你停止學習的！","1","6.49","7","8","7","3001"
"0","1","11300115","2","vo_minigame_1012_result_1014","9","啊～\n只差一點點就能全部答對的說！\n雖然題目很難但你沒問題的，\n下次可以以滿分為目標！","1","3.56","7","5","1","3001"
"10","1","11300116","3","vo_minigame_1012_result_1015","9","嗯，幾乎都答對囉！\n裡面這麼多困難的題目，\n你很厲害嘛！\n你果然不是個普通人！","1","5.67","7","8","1","3001"
"10","1","11300117","3","vo_minigame_1012_result_1016","9","感覺你很紮實地在進步嘛？\n如果是你的話，即使面對難題，\n總有一天搞不好也能拿滿分…………！","1","2.85","7","7","1","3001"
"0","1","11300118","3","vo_minigame_1012_result_1017","9","哇啊～好可惜！\n差一點就滿分了！\n不過連我也有不會的難題，\n你拿這個分數已經可以抬頭挺胸了！","1","3.88","7","5","1","3001"
"0","1","11300119","1","vo_minigame_1012_result_1018","6","答對率一半左右啊～\n是不差啦，\n不過是你的話，應該不只這樣吧？","1","4.12","4","3","1","3001"
"0","1","11300120","1","vo_minigame_1012_result_1019","6","嗯～我就老實說了，\n這分數很不上不下呢……\n不過沒關係！\n接下來要咻咻咻地提高分數喔！","1","4.34","4","9","1","3001"
"0","1","11300121","1","vo_minigame_1012_result_1020","6","嗯～老實說這分數有點讓人不滿意呢！\n我對你抱有很大的期待，\n再更加油一些吧！","1","3.15","4","3","1","3001"
"0","1","11300122","2","vo_minigame_1012_result_1021","6","答對率一半左右啊……\n題目很難所以也沒辦法呢……\n不過你一定能更進步的！\n因為有我陪著你！","1","5.3","4","9","1","3001"
"0","1","11300123","2","vo_minigame_1012_result_1022","6","嗯，答得還行嘛！\n繼續努力學習，\n以更高的分數為目標吧！","1","2.55","4","8","1","3001"
"0","1","11300124","2","vo_minigame_1012_result_1023","6","題目很難，\n但看這個答對率，\n算是有在讀書的吧！\n不過可不能滿足於這種程度喔！？","1","4.19","4","1","7","3001"
"0","1","11300125","3","vo_minigame_1012_result_1024","6","題目這麼難卻答對了一半左右，\n你很厲害嘛♪\n保持這個步調，\n繼續提升實力吧！","1","3.43","4","7","1","3001"
"0","1","11300126","3","vo_minigame_1012_result_1025","6","好，拿到了平均分數！\n看你好像有好好學習，\n那我就安心了～♪","1","0","4","1","1","3001"
"0","1","11300127","3","vo_minigame_1012_result_1026","6","裡面都是難題，\n這個答對率很不得了喔！\n不過，如果你還想拿更高的分數，\n那我可以陪你讀書！","1","3.72","4","8","7","3001"
"1","1","11300128","1","vo_minigame_1012_result_1027","3","原來如此……\n看來很值得教你呢，\n我會徹底鞭策你的，\n做好覺悟吧！","1","3.5","1","3","2","3001"
"1","1","11300129","1","vo_minigame_1012_result_1028","3","喂，\n你完全不行嘛！\n……你不會要跟我說\n你已經拿出真本事了吧～？","1","3.25","1","4","2","3001"
"0","1","11300130","1","vo_minigame_1012_result_1029","3","唔嗯……\n即使隨便回答，\n答對率也差不多是這樣吧？\n看來我得認真教你了……！","1","4.62","1","3","2","3001"
"0","1","11300131","2","vo_minigame_1012_result_1030","3","……也、也對啦，\n這題目對你來說可能太難了，\n慢慢來就行了，\n一起提升實力吧！","1","4.5","1","9","1","3001"
"9","1","11300132","2","vo_minigame_1012_result_1031","3","嗯……蠻多答錯的呢……\n要繼續作答也可以，\n但從簡單的題目重新來過，\n也是種選項喔～？","1","0.01","1","3","3","3001"
"9","1","11300133","2","vo_minigame_1012_result_1032","3","唉呀呀，這對你來說，\n有點太難了嗎……？\n再重來一次吧！","1","0.01","1","9","9","3001"
"6","1","11300134","3","vo_minigame_1012_result_1033","3","唔嗯……真是遺憾的結果……\n題目超難也無可奈何，\n不要勉強，從簡單的題目開始挑戰\n搞不好也不錯喔？","1","0.01","1","3","3","3001"
"0","1","11300135","3","vo_minigame_1012_result_1034","3","答對率很低呢……\n畢竟題目很難嘛……！\n我很欣賞你的挑戰精神喔！","1","2.97","1","3","9","3001"
"0","1","11300136","3","vo_minigame_1012_result_1035","3","總算是避免拿到0分了……\n不過裡面都是難題就是了，\n繼續加油吧！","1","3.1","1","3","1","3001"
"1","1","11300137","1","vo_minigame_1012_result_1036","0","……你啊，換個角度來想，\n要考0分也是很難的喔！？\n你應該不是\n故意考這樣的對吧～！？","1","4.31","0","6","2","3001"
"1","1","11300138","1","vo_minigame_1012_result_1037","0","0分是……\n你是來鬧的嗎！？\n不好好作答的話，\n就用電擊魔法伺候喔！？","1","0.1","0","2","2","3001"
"9","1","11300139","1","vo_minigame_1012_result_1038","0","搞不好你其實\n不適合讀書呢……\n……學習不是一切，\n就在其他方面努力吧！","1","4.23","0","9","3","3001"
"0","1","11300140","2","vo_minigame_1012_result_1039","0","我不會生氣，你說實話吧？\n……你是亂回答的對吧？\n快點，老實地……\n說、出、來、吧？","1","4.38","0","3","2","3001"
"0","1","11300141","2","vo_minigame_1012_result_1040","0","你的分數是～～\n……好！0分！！\n……呃，開什麼玩笑──！！！","1","3.58","0","8","2","3001"
"1","1","11300142","2","vo_minigame_1012_result_1041","0","0分是怎麼回事！？\n不是，從反面來看你很厲害喔！？\n畢竟閉著眼睛考，\n也能拿個1分啊！","1","2.02","0","4","2","3001"
"9","1","11300143","3","vo_minigame_1012_result_1042","0","唉呀……很遺憾，是0分喔。\n可能有點太難了吧……\n……不過也是會有這種事的！\n別太喪氣！","1","5.53","0","9","1","3001"
"9","1","11300144","3","vo_minigame_1012_result_1043","0","雖說題目相當難，\n但0分還是讓人有點落寞呢……\n不過要反向思考！\n你以後只會更加成長的！","1","4.4","0","3","1","3001"
"0","1","11300145","3","vo_minigame_1012_result_1044","0","0分啊……嗯，抱歉……\n我想不到要怎麼安慰你！\n……算了，還有下一次，\n來轉換心情吧！","1","5.35","0","3","1","3001"
"0","2","12120101","0","vo_minigame_1012_correct_132","0","OK！","1","0","0","8","8","1201"
"0","2","12120102","0","vo_minigame_1012_correct_133","0","對了！","1","0","0","7","7","1201"
"0","2","12120103","0","vo_minigame_1012_correct_134","0","很好！","1","0","0","7","7","1201"
"0","2","12120201","0","vo_minigame_1012_correct_135","3000","真的假的！？","1","0","0","5","5","1202"
"0","2","12120202","0","vo_minigame_1012_correct_136","3000","哦～！","1","0","0","10","10","1202"
"0","2","12120203","0","vo_minigame_1012_correct_137","6000","就是這樣！","1","0","3001","7","7","1202"
"0","2","12120204","0","vo_minigame_1012_correct_138","-1","要趕快囉！","1","0","13333","1","1","1202"
"0","2","12120301","0","vo_minigame_1012_correct_139","0","太厲害了！","1","0","0","5","5","1203"
"0","2","12120401","0","vo_minigame_1012_correct_141","0","輕鬆！","1","0","0","7","7","1204"
"0","2","12120501","0","vo_minigame_1012_correct_140","0","雪恥吧！","1","0","0","7","7","1205"
"0","2","12120601","0","vo_minigame_1012_correct_142","-1","很好喔！","1","0","3","1","1","1206"
"0","2","12120701","0","vo_minigame_1012_correct_143","-1","還早得很！","1","0","3","2","2","1207"
"0","2","12130101","0","vo_minigame_1012_incorrect_127","0","噗～！","1","0","0","2","2","1301"
"0","2","12130102","0","vo_minigame_1012_incorrect_128","0","不行～！","1","0","0","2","2","1301"
"0","2","12130103","0","vo_minigame_1012_incorrect_129","0","唉呀呀……！","1","0","0","9","9","1301"
"0","2","12130201","0","vo_minigame_1012_incorrect_130","3000","不要急！","1","0","0","3","3","1302"
"0","2","12130202","0","vo_minigame_1012_incorrect_131","3000","慢慢來！","1","0","0","5","5","1302"
"0","2","12130203","0","vo_minigame_1012_incorrect_132","6000","深呼吸！","1","0","3001","2","2","1302"
"0","2","12130204","0","vo_minigame_1012_incorrect_133","-1","好慢喔……！","1","0","20000","3","3","1302"
"0","2","12130301","0","vo_minigame_1012_incorrect_134","0","好難！","1","0","0","5","5","1303"
"0","2","12130401","0","vo_minigame_1012_incorrect_135","0","你忘了嗎？","1","0","0","6","6","1304"
"0","2","12130501","0","vo_minigame_1012_incorrect_136","0","下一題一定行！","1","0","0","2","2","1305"
"3","2","12170101","0","vo_minigame_1012_time_100","30000","最後衝刺！","1","0.01","20000","2","2","1701"
"3","2","12170102","0","vo_minigame_1012_time_101","30000","馬上要結束了！","1","0.01","20000","1","1","1701"
"10","2","12300101","1","vo_minigame_1012_result_1045","-1","好，做得很好！\n你的基礎打得很完美了！\n下次也挑戰看看\n更難的題目吧！","1","3.74","20","7","1","3001"
"0","2","12300102","1","vo_minigame_1012_result_1046","-1","什麼嘛，\n你這是回答得欲罷不能嗎？\n簡單來說，你很厲害嘛！\n給你個獎勵小花！","1","3.85","20","1","9","3001"
"8","2","12300103","1","vo_minigame_1012_result_1047","-1","好厲害的分數……！\n你就是那種說自己沒讀書，\n其實偷偷拼命複習的類型吧！？","1","0.01","20","5","5","3001"
"4","2","12300104","2","vo_minigame_1012_result_1048","-1","讀書的成果，\n確實展現出來了嘛！\n身為你的老師，\n我也好驕傲呢～♪","1","2.86","20","8","7","3001"
"9","2","12300105","2","vo_minigame_1012_result_1049","-1","OK！已經很夠了！\n要是你再更加苦讀的話，\n我就沒必要教你了！","1","2.02","20","5","3","3001"
"0","2","12300106","2","vo_minigame_1012_result_1050","-1","你選了困難的題目，\n沒想到答對率這麼高……！\n不過還有更難的……\n下次就挑戰最難的吧！","1","4.46","20","5","1","3001"
"7","2","12300107","3","vo_minigame_1012_result_1051","-1","本來就覺得你很厲害了，\n沒想到你連學習都這麼完美……？\n難怪大家都對你著迷……\n不，什、什麼都沒有！！","1","6.85","20","5","4","3001"
"0","2","12300108","3","vo_minigame_1012_result_1052","-1","這個題目，\n是連我也要思考很久的超級難題……\n呵呵，那也只能稱讚你了！\n你做得很好喔！","1","3.79","20","5","9","3001"
"7","2","12300109","3","vo_minigame_1012_result_1053","-1","我才沒有臉紅！\n喜歡頭腦好的人……\n或覺得你很帥之類的……\n……我都沒這樣想喔！","1","0.01","20","4","4","3001"
"0","2","12300110","1","vo_minigame_1012_result_1054","-1","速度和答對率都很完美……\n無可挑剔的滿分！\n你未來會變成\n很不得了的人物吧！？","1","0","20","5","5","3001"
"0","2","12300112","2","vo_minigame_1012_result_1054","-1","速度和答對率都很完美……\n無可挑剔的滿分！\n你未來會變成\n很不得了的人物吧！？","1","0","20","5","5","3001"
"0","2","12300114","3","vo_minigame_1012_result_1054","-1","速度和答對率都很完美……\n無可挑剔的滿分！\n你未來會變成\n很不得了的人物吧！？","1","0","20","5","5","3001"
"10","2","12300116","1","vo_minigame_1012_result_1056","19","喔喔～答對了很多呢！\n保持這個步調，\n以更好的分數為目標！","1","3","15","5","7","3001"
"10","2","12300117","1","vo_minigame_1012_result_1057","19","嗯，感覺很完美喔！\n看來你很認真讀書了，\n佩服佩服♪","1","0.01","15","8","8","3001"
"0","2","12300118","1","vo_minigame_1012_result_1058","19","咦？都拿這麼高分了，\n你還不滿足？\n那股上進心是怎麼回事……\n很好嘛！","1","4.01","15","5","8","3001"
"10","2","12300119","2","vo_minigame_1012_result_1059","19","速度和答對題數都很理想喔！\n喂喂，趁狀態這麼好，\n要不要以頂點為目標？","1","2.83","15","8","7","3001"
"0","2","12300120","2","vo_minigame_1012_result_1060","19","這種難度也能\n毫無阻礙地回答出來……\n你喔，\n真的是個狠角色……！","1","0","15","10","10","3001"
"4","2","12300121","2","vo_minigame_1012_result_1061","19","能回答出這麼多題目，\n讀書也變得很有趣吧♪\n來吧，還要繼續下去喔～！","1","3.66","15","8","7","3001"
"0","2","12300122","3","vo_minigame_1012_result_1062","19","你啊，考這個成績\n並不是僥倖吧……！\n能學會這麼多，\n真是不得了！","1","3.28","15","5","8","3001"
"0","2","12300123","3","vo_minigame_1012_result_1063","19","好厲害！成績非常好喔！\n對你來說，\n即使是這種難題也是輕而易舉？","1","2.7","15","8","1","3001"
"9","2","12300124","3","vo_minigame_1012_result_1064","19","你……\n該不會分數比我還高？\n我、我也得向你學習，\n好好讀書呢……！","1","3.98","15","5","9","3001"
"0","2","12300131","1","vo_minigame_1012_result_1067","14","嗯，分數很不錯喔！\n不過還能繼續努力吧？\n來，接著繼續吧！","1","2.51","10","7","1","3001"
"0","2","12300132","1","vo_minigame_1012_result_1068","14","雖然成績已經十分優秀了，\n但你一定能拿到更高分！\n來，努力念書吧！","1","4.16","10","1","7","3001"
"0","2","12300133","1","vo_minigame_1012_result_1069","14","嗯，不錯喔！\n保持這個步調，\n慢慢地增加答對題數吧！","1","2.07","10","8","7","3001"
"0","2","12300134","2","vo_minigame_1012_result_1070","14","裡面都是困難的題目，\n但成績還蠻不錯的嘛！\n你一定能達成目標的，\n可以對自己更有自信！","1","3.51","10","8","1","3001"
"0","2","12300135","2","vo_minigame_1012_result_1071","14","即使面對難題，基礎也很重要！\n保持這個狀態，\n繼續提升分數吧！","1","0","10","1","1","3001"
"0","2","12300136","2","vo_minigame_1012_result_1072","14","答對10題以上呢！\n咦？還不夠？\n呵呵，\n那要以更高分為目標嗎？","1","4.3","10","1","7","3001"
"0","2","12300137","3","vo_minigame_1012_result_1073","14","嗯，在這些難題下，\n拿到這個分數已經十分出色了！\n不過你的話，\n一定是以更高分為目標吧♪","1","4.47","10","8","7","3001"
"0","2","12300138","3","vo_minigame_1012_result_1074","14","好，辛苦了～\n分數還蠻不錯的嘛？\n……我也得多讀書了！","1","3.68","10","8","9","3001"
"0","2","12300139","3","vo_minigame_1012_result_1075","14","喔喔～\n答對了10題以上嘛！\n你果然不是等閒之輩～","1","3.34","10","5","1","3001"
"0","2","12300141","1","vo_minigame_1012_result_1077","14","嗯，答對率無懈可擊！\n只要再回答得更快，\n就能更提高分數喔！\n保持好狀態繼續加油吧！","1","6.58","10","1","8","3001"
"0","2","12300143","2","vo_minigame_1012_result_1077","14","嗯，答對率無懈可擊！\n只要再回答得更快，\n就能更提高分數喔！\n保持好狀態繼續加油吧！","1","6.58","10","1","8","3001"
"0","2","12300145","3","vo_minigame_1012_result_1077","14","嗯，答對率無懈可擊！\n只要再回答得更快，\n就能更提高分數喔！\n保持好狀態繼續加油吧！","1","6.58","10","1","8","3001"
"0","2","12300146","1","vo_minigame_1012_result_1078","9","喔～成績還不錯嘛。\n雖然不差……但我對你\n還抱有更多更多期待～","1","4.24","5","1","7","3001"
"0","2","12300147","1","vo_minigame_1012_result_1079","9","嗯，雖然很努力了……\n但說實話你能答對更多吧～？\n這分數對你來說只是及格！\n要不要以更高分為目標？","1","4.74","5","7","1","3001"
"0","2","12300148","1","vo_minigame_1012_result_1080","9","分數普普通通，\n對你來說這很棘手嗎？\n如果你覺得這樣不行的話，\n就表示還有成長空間呢！","1","0","5","1","1","3001"
"0","2","12300149","2","vo_minigame_1012_result_1081","9","嗯，還不錯的結果吧！\n但你應該能拿到更好的成績的！\n繼續努力吧！","1","2.21","5","8","1","3001"
"0","2","12300150","2","vo_minigame_1012_result_1082","9","嗯～說實話有點尷尬呢！\n算了，畢竟題目很難。\n只要繼續學習，\n分數一定會更提升的！","1","2.46","5","3","1","3001"
"0","2","12300151","2","vo_minigame_1012_result_1083","9","嗯～\n沒拿到10分啊～\n下次要不要以超過10分為目標，\n努力學習看看？","1","2.94","5","3","1","3001"
"0","2","12300152","3","vo_minigame_1012_result_1084","9","好，辛苦了～\n分數還馬馬虎虎吧！\n畢竟題目超難，你很努力了！","1","4.19","5","7","1","3001"
"0","2","12300153","3","vo_minigame_1012_result_1085","9","嗯，題目相當難，\n但你還是作答到最後了。\n要不要以更好的分數為目標？","1","0","5","1","1","3001"
"0","2","12300154","3","vo_minigame_1012_result_1086","9","失誤有點多呢～\n但把錯的地方好好複習，\n下次就會答對了～！","1","2.63","5","3","1","3001"
"0","2","12300155","1","vo_minigame_1012_result_1087","4","唉呀……分數不太好看呢～\n怎麼了，狀況不好嗎？\n下次再更努力一點吧！","1","5.53","1","3","1","3001"
"9","2","12300156","1","vo_minigame_1012_result_1088","4","嗯～\n答對題數讓人不滿意呢～\n再多增加點讀書的時間吧？","1","0.01","1","3","3","3001"
"3","2","12300157","1","vo_minigame_1012_result_1089","4","嗯……若是你的話，\n能拿到更高分吧～？\n再多努力點啊，\n我可是對你很期待的！","1","4.15","1","3","1","3001"
"9","2","12300158","2","vo_minigame_1012_result_1090","4","嗯～對現在的你而言，\n這個題目太難了嗎……\n挑戰較低的難度，\n也許是個好選擇喔～？","1","0.01","1","9","9","3001"
"0","2","12300159","2","vo_minigame_1012_result_1091","4","成績不太好看呢～\n畢竟是很難的題目也沒辦法。\n希望你下次更努力！","1","5.37","1","3","1","3001"
"0","2","12300160","2","vo_minigame_1012_result_1092","4","原來如此……\n不擅長的題型很多嗎？\n再挑戰一次\n試試看吧～","1","1.44","1","3","1","3001"
"0","2","12300161","3","vo_minigame_1012_result_1093","4","嗯嗯～題目太難了嗎？\n比起硬要繼續回答難題，\n降低難易度的話，\n搞不好讀書效率會更好喔～？","1","0","1","3","3","3001"
"3","2","12300162","3","vo_minigame_1012_result_1094","4","……拿到的分數很少呢。\n但這對我來說也很難，\n別那麼垂頭喪氣也沒問題！\n接著繼續加油吧！","1","2.91","1","3","9","3001"
"0","2","12300163","3","vo_minigame_1012_result_1095","4","抱歉，有點太難了嗎？\n再挑戰一次也行，\n降低難度也行，\n只要你有幹勁我就會陪你！","1","2.61","1","5","1","3001"
"1","2","12300164","1","vo_minigame_1012_result_1096","0","喂……\n你沒有幹勁吧～！？\n下次再考這種分數，\n我就要生氣囉！","1","3.63","0","4","2","3001"
"1","2","12300165","1","vo_minigame_1012_result_1097","0","唉……你知道自己\n考了幾分吧……？\n是0分喔，0分！你在小看考試嗎？","1","4.16","0","6","2","3001"
"6","2","12300166","1","vo_minigame_1012_result_1098","0","嗚嗚～頭好痛……\n都是你的錯！\n0分是什麼鬼啦！\n唉，這樣下去就要被當了……","1","0.01","0","3","3","3001"
"0","2","12300167","2","vo_minigame_1012_result_1099","0","喂，你是認真應考的嗎？\n不會是隨便回答的吧？\n……我明白了，\n再挑戰一次吧！","1","5.75","0","6","2","3001"
"1","2","12300168","2","vo_minigame_1012_result_1100","0","你……你啊，考了0分喔，0分……！\n我的教法不好嗎……？\n……我燃起鬥志了！\n我絕對要拉高你的實力！","1","5.64","0","4","2","3001"
"8","2","12300169","2","vo_minigame_1012_result_1101","0","等一下，可能是算錯分了……\n……不，是對的呢。好，0分。\n……呃，0分！？\n開什麼玩笑──！","1","5.73","0","8","4","3001"
"1","2","12300170","3","vo_minigame_1012_result_1102","0","唉呀呀……是0分喔。\n畢竟題目很難啦……\n……不過0分也太扯！\n至少答對一題吧！","1","5.32","0","5","3","3001"
"9","2","12300171","3","vo_minigame_1012_result_1103","0","很遺憾，是0分喔。\n但如果以積極的態度來看，\n你現在就是在底層喔！最底層！\n往後只會一直往上了！","1","2.37","0","3","9","3001"
"3","2","12300172","3","vo_minigame_1012_result_1104","0","……分數很不理想呢，\n稍微休息一下吧？\n讓自己重新振作，改變一下心情，\n再次努力吧！","1","4.25","0","9","1","3001"
"0","3","13100101","0","vo_minigame_1012_gamestart_100","0","好了，開始學習吧。","1","0","0","7","7","1001"
"0","3","13100102","0","vo_minigame_1012_gamestart_101","0","好，讓大家看看學習的成果吧！","1","0","0","1","1","1001"
"0","3","13100103","0","vo_minigame_1012_gamestart_102","0","那就開始考試吧，來，把課本闔上！","1","1.82","0","1","7","1001"
"4","3","13100201","0","vo_minigame_1012_gamestart_103","-1","你很有幹勁嘛！","1","0.01","3","8","8","1002"
"0","3","13100202","0","vo_minigame_1012_gamestart_104","-1","好，那就再來一次囉！","1","0","3","1","1","1002"
"0","3","13100301","0","vo_minigame_1012_gamestart_105","1","這只是普通的難度喔！","1","0","1","0","0","1003"
"0","3","13100302","0","vo_minigame_1012_gamestart_106","1","首先從基礎開始！","1","0","1","7","7","1003"
"0","3","13100303","0","vo_minigame_1012_gamestart_107","2","要挑戰困難的題目吧！","1","0","2","10","10","1003"
"0","3","13100304","0","vo_minigame_1012_gamestart_108","2","好，你的話一定辦得到的！","1","0.67","2","1","8","1003"
"0","3","13100305","0","vo_minigame_1012_gamestart_109","3","都是些我也覺得很棘手的題目喔……！","1","0","3","5","5","1003"
"0","3","13100306","0","vo_minigame_1012_gamestart_110","3","雖然超難的但是加油吧！","1","0","3","2","2","1003"
"0","3","13100401","0","vo_minigame_1012_gamestart_111","0","俗話說打鐵趁熱\n……對吧♪","1","0","0","7","7","1004"
"0","3","13100402","0","vo_minigame_1012_gamestart_112","0","好，再來一次喔！","1","0","0","1","1","1004"
"0","3","13100501","0","vo_minigame_1012_gamestart_113","0","鈴奈好像也很認真在讀書呢～","1","0","0","9","9","1005"
"0","3","13100502","0","vo_minigame_1012_gamestart_114","0","你要當鈴奈的老師？\n嗯──","1","0","0","3","3","1005"
"0","3","13110101","0","vo_minigame_1012_start_100","0","題目！","1","0","0","1","1","1101"
"0","3","13110102","0","vo_minigame_1012_start_101","0","要上囉！","1","0","0","1","1","1101"
"0","3","13110103","0","vo_minigame_1012_start_102","0","答得出來嗎？","1","0","0","7","7","1101"
"0","3","13110201","0","vo_minigame_1012_start_103","0","下一題一定行！","1","0","0","2","2","1102"
