f33626a05c6667381e87d17fb97ad01ca825e4421ce96014ecc8a7495a3cbc44,437ccd3910723c7edc516fdab40b87ff81a82487be37ccd81410adfe1721816b,84275b47d4e28ba2af3e052d5fd9b9aa378c740db454ad90016194486218b3d8,8296503cb4dc787dca27cb6354f5a7142459bbf3cdfa7d67eb51b09f78a22afd,8b349654e5632e0715459815df70ed85f0db9c46e423520533a3764e6bd86522,f92af8a29a4d4a34693df09d26ac6b83f6eceb083ef9cb035e1233d035d3a5ac,244892b3725b0b918675c96f8126365cbac6ba079a5bff0b240080ad4d36c657,c6ce44cfbd31356e1be6515a8f097aff1e7f2a05dd0e5835d7e6f5ab285ccb16,58a913dea310756ddc10f4d171175e7eb43ddc61ffca97628ff4c2d95ec6a246,189836b612b95c58374d981e9877bf7b4ff8fcb1b79f131688260fe542013f8d,b7c7c8045a9e85c08a3e9ebc49c15c8461ab6e3111de818875c446b5d0717ec7
"11","0","1007001","1","啊！惠理子妳太狡猾了！\n姐姐我也要永遠永遠\n和弟弟在一起！","0","8","1007001057","0","113411","0"
"93","","1007001","","","","","1007001058","","3",""
"3","0.4","1007001","","svd_jump","1","0","1007001059","0.2","113411","svd_talk_joy1"
"91","","1007001","","","","","1007001060","","1007001057",""
"3","","1007001","","svd_idle_joy1","","1","1007001061","0.2","113411",""
"102","","1007001","","","","","1007001062","","",""
"32","","1007001","","0","","","1007001063","","14",""
"32","","1007001","","0","","","1007001064","","15",""
"93","","1007001","","","","","1007001065","","1",""
"12","0","1007001","","7","","1","1007001066","0","113511",""
"3","","1007001","","svd_talk_normal","","1","1007001067","0.2","113511",""
"93","","1007001","","","","","1007001068","","3",""
"3","","1007001","","svd_idle_normal","","1","1007001069","0.2","113511",""
"12","0","1007001","","10","","1","1007001070","0","113411",""
"3","","1007001","","svd_talk_normal","1","1","1007001071","0.2","113411",""
"93","","1007001","","","","","1007001072","","3",""
"3","","1007001","","svd_idle_normal","1","1","1007001073","0.2","113411",""
"12","0","1007001","","7","","1","1007001074","0","113511",""
"3","","1007001","","svd_talk_memory","","1","1007001075","0.2","113511",""
"93","","1007001","","","","","1007001076","","3",""
"3","","1007001","","svd_idle_memory","","1","1007001077","0.2","113511",""
"12","0","1007001","","10","","1","1007001078","0","113411",""
"3","","1007001","","svd_talk_memory","1","1","1007001079","0.2","113411",""
"93","","1007001","","","","","1007001080","","3",""
"3","","1007001","","svd_idle_memory","1","1","1007001081","0.2","113411",""
"101","","1007001","","","","","1007001082","","1007001066",""
"6","0","1007001","","1","0","1","1007001083","1","333","1"
"4","","1007001","","1","","","1007001084","","113511",""
"3","","1007001","","svd_run","","1","1007001085","0.2","113511",""
"2","","1007001","","-750","0","-300","1007001086","","113511","0.8"
"4","","1007001","","0","","","1007001087","","113411",""
"3","","1007001","","svd_run","","1","1007001088","0.2","113411",""
"2","","1007001","","750","0","-300","1007001089","","113411","0.8"
"93","","1007001","","","","","1007001090","","0.6",""
"6","0","1007001","","1","0","1","1007001091","0.2","113511","1"
"6","0","1007001","","1","0","1","1007001092","0.2","113411","1"
"91","","1007001","","","","","1007001093","","0",""
"5","0","1007002","svd_idle_normal","113511","-300","100","1007002001","2.08","2","-650"
"5","1","1007002","svd_idle_normal","113411","-300","100","1007002002","2.08","1","650"
"5","0","1007002","svd_white_loop","333","0","0","1007002003","1","3","0"
"6","0","1007002","","1","0","1","1007002004","0","333","1"
"6","0","1007002","","1","0","1","1007002005","0","113511","1"
"6","0","1007002","","1","0","1","1007002006","0","113411","1"
"93","","1007002","","","","","1007002007","","1",""
"6","0","1007002","","1","0.4","1","1007002008","0.8","333","1"
"3","","1007002","","svd_run","","1","1007002009","0.2","113511",""
"2","","1007002","","-250","0","-300","1007002010","","113511","1.2"
"6","0","1007002","","1","1","1","1007002011","0.4","113511","1"
"93","","1007002","","","","","1007002012","","1.2",""
"91","","1007002","","","","","1007002013","","0",""
"3","","1007002","","svd_idle_normal","","1","1007002014","0.1","113511",""
"93","","1007002","","","","","1007002015","","0.6",""
"3","","1007002","","svd_talk_memory","","1","1007002016","0.2","113511",""
"21","","1007002","","vo_svd_0221","","0","1007002017","","vo_svd","0"
"11","0","1007002","1","大人游泳時的英姿……\n已經被我深深地\n烙印在腦海裡了。","0","6","1007002018","0","113511","0"
"91","","1007002","","","","","1007002019","","0",""
"3","","1007002","","svd_idle_memory","","1","1007002020","0.2","113511",""
"3","","1007002","","svd_run","","1","1007002021","0.2","113411",""
"2","","1007002","","250","0","-300","1007002022","","113411","1.2"
"6","0","1007002","","1","1","1","1007002023","0.4","113411","1"
"93","","1007002","","","","","1007002024","","1.2",""
"3","","1007002","","svd_idle_joy1","","1","1007002025","0.1","113411",""
"93","","1007002","","","","","1007002026","","0.3",""
"3","","1007002","","svd_talk_memory","","1","1007002027","0.2","113411",""
"21","","1007002","","vo_svd_0222","","0","1007002028","","vo_svd","0"
"11","0","1007002","1","弟弟賣力滑動手腳的樣子……\n真可愛呀……","0","6","1007002029","0","113411","0"
"91","","1007002","","","","","1007002030","","0",""
"3","","1007002","","svd_idle_memory","","1","1007002031","0.2","113411",""
"3","","1007002","","svd_talk_memory","","1","1007002032","0.2","113511",""
"21","","1007002","","vo_svd_0223","","0","1007002033","","vo_svd","0"
"11","0","1007002","1","大人游泳時濺起的水花，\n一定能製成比任何秘藥\n都更有效的靈藥！","0","6","1007002034","0","113511","0"
"91","","1007002","","","","","1007002035","","0",""
"3","","1007002","","svd_idle_memory","","1","1007002036","0.2","113511",""
"3","","1007002","","svd_talk_worry","","1","1007002037","0.2","113411",""
"21","","1007002","","vo_svd_0224","","0","1007002038","","vo_svd","0"
"11","0","1007002","1","惠理子……\n那樣好像有點太過火了……","0","6","1007002039","0","113411","0"
"91","","1007002","","","","","1007002040","","0",""
"3","","1007002","","svd_idle_worry","","1","1007002041","0.2","113411",""
"3","","1007002","","svd_talk_thinking","","1","1007002042","0.2","113511",""
"21","","1007002","","vo_svd_0225","","0","1007002043","","vo_svd","0"
"11","0","1007002","1","看來靜流是不需要呢。\n那我就一人獨吞吧……","0","6","1007002044","0","113511","0"
"91","","1007002","","","","","1007002045","","0",""
"3","","1007002","","svd_idle_thinking","","1","1007002046","0.2","113511",""
"12","0","1007002","","4","","0","1007002047","0","113411",""
"3","","1007002","","svd_surprise","","0","1007002048","0.2","113411",""
"93","","1007002","","","","","1007002049","","1",""
"3","","1007002","","svd_talk_joy2","","1","1007002050","0.2","113411",""
"21","","1007002","","vo_svd_0226","","0","1007002051","","vo_svd","0"
"11","0","1007002","1","我想要！\n想用漂亮的小瓶子裝起來！","0","8","1007002052","0","113411","0"
"91","","1007002","","","","","1007002053","","0",""
"3","","1007002","","svd_idle_joy1","","1","1007002054","0.2","113411",""
"102","","1007002","","","","","1007002055","","",""
"93","","1007002","","","","","1007002056","","1",""
"12","0","1007002","","8","","1","1007002057","0","113511",""
"3","","1007002","","svd_talk_memory","","1","1007002058","0.2","113511",""
"93","","1007002","","","","","1007002059","","3",""
"3","","1007002","","svd_idle_memory","","1","1007002060","0.2","113511",""
"12","0","1007002","","1","","1","1007002061","0","113411",""
"3","","1007002","","svd_talk_worry","1","1","1007002062","0.2","113411",""
"93","","1007002","","","","","1007002063","","3",""
"3","","1007002","","svd_idle_worry","1","1","1007002064","0.2","113411",""
"12","0","1007002","","11","","1","1007002065","0","113511",""
"3","0.2","1007002","","svd_talk_guts2","1","0","1007002066","0.2","113511","svd_idle_guts2"
"93","","1007002","","","","","1007002067","","3",""
"3","","1007002","","svd_idle_guts2","","1","1007002068","0.2","113511",""
"12","0","1007002","","7","","1","1007002069","0","113411",""
"3","","1007002","","svd_talk_joy1","1","1","1007002070","0.2","113411",""
"93","","1007002","","","","","1007002071","","3",""
"3","","1007002","","svd_idle_joy1","1","1","1007002072","0.2","113411",""
"101","","1007002","","","","","1007002073","","1007002057",""
"6","0","1007002","","1","0","1","1007002074","1","333","1"
"4","","1007002","","1","","","1007002075","","113511",""
"3","","1007002","","svd_run","","1","1007002076","0.2","113511",""
"2","","1007002","","-750","0","-300","1007002077","","113511","0.8"
"4","","1007002","","0","","","1007002078","","113411",""
"3","","1007002","","svd_run","","1","1007002079","0.2","113411",""
"2","","1007002","","750","0","-300","1007002080","","113411","0.8"
"93","","1007002","","","","","1007002081","","0.6",""
"6","0","1007002","","1","0","1","1007002082","0.2","113511","1"
"6","0","1007002","","1","0","1","1007002083","0.2","113411","1"
"91","","1007002","","","","","1007002084","","0",""
"5","0","1007003","svd_idle_normal","113511","-300","100","1007003001","2.08","1","-750"
"5","1","1007003","svd_idle_normal","113411","-300","100","1007003002","2.08","2","650"
"5","0","1007003","svd_white_loop","333","0","0","1007003003","1","3","0"
"6","0","1007003","","1","0","1","1007003004","0","333","1"
"7","","1007003","","2","","0","1007003005","","113511","0"
"2","","1007003","","-750","0","-300","1007003006","","113511","0.5"
"6","0","1007003","","1","0","1","1007003007","0","113411","1"
"31","","1007003","","16","0.8","-140","1007003008","0","6","-40"
"34","","1007003","","2","","0","1007003009","","16","0"
"93","","1007003","","","","","1007003010","","1",""
"6","0","1007003","","1","0.4","1","1007003011","0.8","333","1"
"3","0","1007003","","svd_idle_see_sad_pre","1","0","1007003012","0.2","113511","svd_idle_see_sad"
"2","","1007003","","-600","0","-300","1007003013","","113511","1.1"
"93","","1007003","","","","","1007003014","","1",""
"32","","1007003","","1","","","1007003015","","16",""
"91","","1007003","","","","","1007003016","","0",""
"94","","1007003","","240","80","260","1007003017","","113511","0"
"32","","1007003","","0","","","1007003018","","16",""
"12","0","1007003","","17","","1","1007003019","0","113511",""
"3","","1007003","","svd_walk_sad","","1","1007003020","0.2","113511",""
"7","","1007003","","0","","2","1007003021","","113511","0"
"2","","1007003","","-250","0","-300","1007003022","","113511","2.4"
"93","","1007003","","","","","1007003023","","2.4",""
"3","","1007003","","svd_idle_sad","","1","1007003024","0.2","113511",""
"93","","1007003","","","","","1007003025","","0.5",""
"91","","1007003","","","","","1007003026","","0",""
"3","","1007003","","svd_talk_sad","","1","1007003027","0.2","113511",""
"21","","1007003","","vo_svd_0321","","0","1007003028","","vo_svd","0"
"11","0","1007003","1","本來想送弟弟一隻\n巨大的獨角仙\n當作禮物的……","0","7","1007003029","0","113511","0"
"91","","1007003","","","","","1007003030","","0",""
"3","","1007003","","svd_idle_sad","","1","1007003031","0.2","113511",""
"3","","1007003","","svd_walk","","1","1007003032","0.2","113411",""
"2","","1007003","","250","0","-300","1007003033","","113411","2"
"6","0","1007003","","1","1","1","1007003034","0.4","113411","1"
"93","","1007003","","","","","1007003035","","2",""
"3","","1007003","","svd_idle_normal","","1","1007003036","0.2","113411",""
"93","","1007003","","","","","1007003037","","0.4",""
"3","","1007003","","svd_talk_thinking","","1","1007003038","0.2","113411",""
"21","","1007003","","vo_svd_0322","","0","1007003039","","vo_svd","0"
"11","0","1007003","1","確實是有些可惜。\n但也因此看到了\n更有價值的事物呢。","0","6","1007003040","0","113411","0"
"91","","1007003","","","","","1007003041","","0",""
"3","","1007003","","svd_idle_thinking","","1","1007003042","0.2","113411",""
"3","","1007003","","svd_talk_joy1","","1","1007003043","0.2","113511",""
"21","","1007003","","vo_svd_0323","","0","1007003044","","vo_svd","0"
"11","0","1007003","1","溫柔的弟弟很迷人唷！\n下次再挑戰\n抓獨角仙吧！","0","6","1007003045","0","113511","0"
"91","","1007003","","","","","1007003046","","0",""
"3","","1007003","","svd_talk_sad","","1","1007003047","0.2","113511",""
"21","","1007003","","vo_svd_0324","","0","1007003048","","vo_svd","0"
"11","0","1007003","1","如果還是抓不到，\n到時候就……","0","6","1007003049","0","113511","0"
"91","","1007003","","","","","1007003050","","0",""
"3","","1007003","","svd_idle_sad","","1","1007003051","0.2","113511",""
"3","","1007003","","svd_talk_sad","","1","1007003052","0.2","113411",""
"21","","1007003","","vo_svd_0325","","0","1007003053","","vo_svd","0"
"11","0","1007003","1","如果還有下次……就由\n我們來假扮獨角仙吧。\n我會扮演得惟妙惟肖。","0","6","1007003054","0","113411","0"
"93","","1007003","","","","","1007003055","","5",""
"3","","1007003","","svd_talk_wish2","","1","1007003056","0.2","113411",""
"91","","1007003","","","","","1007003057","","1007003054",""
"3","","1007003","","svd_idle_wish2","","1","1007003058","0.2","113411",""
"102","","1007003","","","","","1007003059","","",""
"93","","1007003","","","","","1007003060","","1",""
"12","0","1007003","","12","","1","1007003061","0","113511",""
"3","0.2","1007003","","svd_cmn_think","1","0","1007003062","0.2","113511","svd_idle_normal"
"93","","1007003","","","","","1007003063","","3",""
"3","","1007003","","svd_idle_normal","","1","1007003064","0.2","113511",""
"12","0","1007003","","10","","1","1007003065","0","113411",""
"3","","1007003","","svd_talk_normal","1","1","1007003066","0.2","113411",""
"93","","1007003","","","","","1007003067","","3",""
"3","","1007003","","svd_idle_normal","1","1","1007003068","0.2","113411",""
"12","0","1007003","","1","","1","1007003069","0","113511",""
"3","","1007003","","svd_talk_sad","","1","1007003070","0.2","113511",""
"93","","1007003","","","","","1007003071","","3",""
"3","","1007003","","svd_idle_sad","","1","1007003072","0.2","113511",""
"12","0","1007003","","7","","1","1007003073","0","113411",""
"3","","1007003","","svd_talk_wish","1","1","1007003074","0.2","113411",""
"93","","1007003","","","","","1007003075","","3",""
"3","","1007003","","svd_idle_wish","1","1","1007003076","0.2","113411",""
"101","","1007003","","","","","1007003077","","1007003061",""
"6","0","1007003","","1","0","1","1007003078","1","333","1"
"4","","1007003","","1","","","1007003079","","113511",""
"3","","1007003","","svd_run","","1","1007003080","0.2","113511",""
"2","","1007003","","-750","0","-300","1007003081","","113511","0.8"
"4","","1007003","","0","","","1007003082","","113411",""
"3","","1007003","","svd_run","","1","1007003083","0.2","113411",""
"2","","1007003","","750","0","-300","1007003084","","113411","0.8"
"93","","1007003","","","","","1007003085","","0.6",""
"6","0","1007003","","1","0","1","1007003086","0.2","113511","1"
"6","0","1007003","","1","0","1","1007003087","0.2","113411","1"
"91","","1007003","","","","","1007003088","","0",""
"5","0","1007004","svd_idle_normal","113511","-560","100","1007004001","2.08","1","-250"
"5","1","1007004","svd_idle_normal","113411","-560","100","1007004002","2.08","2","250"
"5","0","1007004","svd_white_loop","333","0","0","1007004003","1","3","0"
"6","0","1007004","","1","0","1","1007004004","0","333","1"
"6","0","1007004","","1","0","1","1007004005","0","113511","1"
"6","0","1007004","","1","0","1","1007004006","0","113411","1"
"93","","1007004","","","","","1007004007","","1",""
"6","0","1007004","","1","0.4","1","1007004008","0.8","333","1"
"3","0.2","1007004","","svd_jump1","1","0","1007004009","0.2","113511","svd_idle_normal"
"3","0.2","1007004","","svd_jump1","1","0","1007004010","0.2","113411","svd_idle_normal"
"93","","1007004","","","","","1007004011","","0.3",""
"2","","1007004","","-250","0","-300","1007004012","","113511","0.75"
"2","","1007004","","250","0","-300","1007004013","","113411","0.75"
"6","0","1007004","","1","1","1","1007004014","0.4","113511","1"
"6","0","1007004","","1","1","1","1007004015","0.4","113411","1"
"93","","1007004","","","","","1007004016","","1.2",""
"91","","1007004","","","","","1007004017","","0",""
"3","","1007004","","svd_idle_normal","","1","1007004018","0.2","113411",""
"3","","1007004","","svd_talk_joy1","","1","1007004019","0.2","113511",""
"21","","1007004","","vo_svd_0421","","0","1007004020","","vo_svd","0"
"11","0","1007004","1","月光學院的大家\n都是好孩子呢！\n校園生活也感覺很有趣──","0","6","1007004021","0","113511","0"
"91","","1007004","","","","","1007004022","","0",""
"3","","1007004","","svd_idle_joy1","","1","1007004023","0.2","113511",""
"3","","1007004","","svd_talk_thinking","","1","1007004024","0.2","113411",""
"21","","1007004","","vo_svd_0422","","0","1007004025","","vo_svd","0"
"11","0","1007004","1","有小伊緒這名\n優秀的老師教導，\n有點讓人羨慕呢……","0","6","1007004026","0","113411","0"
"91","","1007004","","","","","1007004027","","0",""
"3","","1007004","","svd_idle_thinking","","1","1007004028","0.2","113411",""
"3","","1007004","","svd_talk_normal","","1","1007004029","0.2","113511",""
"21","","1007004","","vo_svd_0423","","0","1007004030","","vo_svd","0"
"11","0","1007004","1","欸欸，我們兩個……\n也進去就讀怎麼樣？","0","7","1007004031","0","113511","0"
"91","","1007004","","","","","1007004032","","0",""
"3","","1007004","","svd_idle_joy1","","1","1007004033","0.2","113511",""
"3","0.2","1007004","","svd_surprise","1","0","1007004034","0.2","113411","svd_talk_joy1"
"21","","1007004","","vo_svd_0424","","0","1007004035","","vo_svd","0"
"11","0","1007004","1","……！真是個好主意！\n那就快去拿\n入學申請書吧！","0","6","1007004036","0","113411","0"
"91","","1007004","","","","","1007004037","","0",""
"3","","1007004","","svd_idle_joy1","","1","1007004038","0.2","113411",""
"102","","1007004","","","","","1007004039","","",""
"93","","1007004","","","","","1007004040","","1",""
"12","0","1007004","","7","","1","1007004041","0","113511",""
"3","","1007004","","svd_talk_normal","","1","1007004042","0.2","113511",""
"93","","1007004","","","","","1007004043","","3",""
"3","","1007004","","svd_idle_normal","","1","1007004044","0.2","113511",""
"12","0","1007004","","6","","1","1007004045","0","113411",""
"3","","1007004","","svd_talk_joy1","1","1","1007004046","0.2","113411",""
"93","","1007004","","","","","1007004047","","3",""
"3","","1007004","","svd_idle_joy1","1","1","1007004048","0.2","113411",""
"12","0","1007004","","10","","1","1007004049","0","113511",""
"3","","1007004","","svd_talk_joy2","","1","1007004050","0.2","113511",""
"93","","1007004","","","","","1007004051","","3",""
"3","","1007004","","svd_idle_joy2","","1","1007004052","0.2","113511",""
"12","0","1007004","","10","","1","1007004053","0","113411",""
"3","0.2","1007004","","svd_cmn_smile3","1","0","1007004054","0.2","113411","svd_idle_joy1"
"93","","1007004","","","","","1007004055","","3",""
"3","","1007004","","svd_idle_joy1","1","1","1007004056","0.2","113411",""
"101","","1007004","","","","","1007004057","","1007004041",""
"6","0","1007004","","1","0","1","1007004058","1","333","1"
"4","","1007004","","1","","","1007004059","","113511",""
"3","","1007004","","svd_run","","1","1007004060","0.2","113511",""
"2","","1007004","","-750","0","-300","1007004061","","113511","0.8"
"4","","1007004","","0","","","1007004062","","113411",""
"3","","1007004","","svd_run","","1","1007004063","0.2","113411",""
"2","","1007004","","750","0","-300","1007004064","","113411","0.8"
"93","","1007004","","","","","1007004065","","0.6",""
"6","0","1007004","","1","0","1","1007004066","0.2","113511","1"
"6","0","1007004","","1","0","1","1007004067","0.2","113411","1"
"91","","1007004","","","","","1007004068","","0",""
"5","0","1007005","svd_idle_normal","113511","-300","110","1007005001","2.08","1","-700"
"5","0","1007005","svd_idle_normal","113411","-300","100","1007005002","2.08","2","-550"
"5","0","1007005","svd_white_loop","333","0","0","1007005003","1","3","0"
"6","0","1007005","","1","0","1","1007005004","0","333","1"
"31","","1007005","","13","1.3","-630","1007005005","0","3","60"
"6","0","1007005","","1","0","1","1007005006","0","113511","1"
"6","0","1007005","","1","0","1","1007005007","0","113411","1"
"93","","1007005","","","","","1007005008","","1",""
"6","0","1007005","","1","0.4","1","1007005009","0.8","333","1"
"3","","1007005","","svd_walk_glad","","1","1007005010","0.2","113511",""
"2","","1007005","","-250","0","-300","1007005011","","113511","2"
"3","","1007005","","svd_walk_glad2","","1","1007005012","0.2","113411",""
"2","","1007005","","-50","0","-300","1007005013","","113411","2.2"
"6","0","1007005","","1","1","1","1007005014","0.4","113511","1"
"6","0","1007005","","1","1","1","1007005015","0.4","113411","1"
"32","","1007005","","1","","","1007005016","","13",""
"33","","1007005","","-180","0","60","1007005017","","13","2"
"93","","1007005","","","","","1007005018","","2",""
"32","","1007005","","0","","","1007005019","","13",""
"3","","1007005","","svd_idle_normal","","1","1007005020","0.2","113511",""
"93","","1007005","","","","","1007005021","","0.2",""
"4","","1007005","","1","","","1007005022","","113411",""
"3","","1007005","","svd_idle_normal","","1","1007005023","0.2","113411",""
"93","","1007005","","","","","1007005024","","0.5",""
"12","0","1007005","","10","","0.5","1007005025","0","113511",""
"12","0","1007005","","10","","0.5","1007005026","0","113411",""
"3","0.2","1007005","","svd_wink","1","0","1007005027","0.2","113511","svd_idle_normal"
"3","0.2","1007005","","svd_wink","1","0","1007005028","0.2","113411","svd_idle_normal"
"93","","1007005","","","","","1007005029","","1.5",""
"4","","1007005","","0","","","1007005030","","113411",""
"3","","1007005","","svd_walk","","1","1007005031","0.2","113411",""
"2","","1007005","","250","0","-300","1007005032","","113411","1"
"93","","1007005","","","","","1007005033","","1",""
"3","0","1007005","","svd_idle_normal","1","0","1007005034","0.4","113411","svd_idle_normal"
"93","","1007005","","","","","1007005035","","0",""
"4","","1007005","","1","","","1007005036","","113411",""
"93","","1007005","","","","","1007005037","","0.6",""
"3","","1007005","","svd_talk_joy1","","1","1007005038","0.2","113511",""
"21","","1007005","","vo_svd_0521","","0","1007005039","","vo_svd","0"
"11","0","1007005","1","和弟弟在平靜的島上生活……\n這裡真的是天堂呢。","0","5","1007005040","0","113511","0"
"91","","1007005","","","","","1007005041","","0",""
"3","","1007005","","svd_idle_memory","","1","1007005042","0.2","113511",""
"3","","1007005","","svd_talk_memory","","1","1007005043","0.2","113411",""
"21","","1007005","","vo_svd_0522","","0","1007005044","","vo_svd","0"
"11","0","1007005","1","如果這都不算幸福，\n還有什麼能\n稱得上是幸福……","0","6","1007005045","0","113411","0"
"91","","1007005","","","","","1007005046","","0",""
"3","","1007005","","svd_idle_memory","","1","1007005047","0.2","113411",""
"3","","1007005","","svd_talk_memory","","1","1007005048","0.2","113511",""
"21","","1007005","","vo_svd_0523","","0","1007005049","","vo_svd","0"
"11","0","1007005","1","從早到晚\n都能和弟弟\n待在一起……","0","6","1007005050","0","113511","0"
"91","","1007005","","","","","1007005051","","0",""
"3","","1007005","","svd_idle_memory","","1","1007005052","0.2","113511",""
"3","","1007005","","svd_talk_memory","","1","1007005053","0.2","113411",""
"21","","1007005","","vo_svd_0524","","0","1007005054","","vo_svd","0"
"11","0","1007005","1","無論是剛睡醒的可愛一面\n還是祥和的睡臉\n都能看個夠……","0","4","1007005055","0","113411","0"
"91","","1007005","","","","","1007005056","","0",""
"3","","1007005","","svd_idle_memory","","1","1007005057","0.2","113411",""
"3","","1007005","","svd_talk_joy2","","1","1007005058","0.2","113511",""
"21","","1007005","","vo_svd_0525","","0","1007005059","","vo_svd","0"
"11","0","1007005","1","為了回報這份幸福之恩，\n我們來做一棟最棒的房子吧！\n惠理子！","0","8","1007005060","0","113511","0"
"93","","1007005","","","","","1007005061","","4",""
"3","0.2","1007005","","svd_talk_guts","1","0","1007005062","0.2","113511","svd_idle_guts"
"91","","1007005","","","","","1007005063","","1007005060",""
"3","","1007005","","svd_idle_guts","","1","1007005064","0.2","113511",""
"3","0.2","1007005","","svd_talk_guts2","1","0","1007005065","0.2","113411","svd_idle_guts2"
"21","","1007005","","vo_svd_0526","","0","1007005066","","vo_svd","0"
"11","0","1007005","1","那當然！","0","6","1007005067","0","113411","0"
"91","","1007005","","","","","1007005068","","0",""
"102","","1007005","","","","","1007005069","","",""
"93","","1007005","","","","","1007005070","","1",""
"12","0","1007005","","9","","1","1007005071","0","113511",""
"3","","1007005","","svd_talk_memory","","1","1007005072","0.2","113511",""
"93","","1007005","","","","","1007005073","","3",""
"3","","1007005","","svd_idle_memory","","1","1007005074","0.2","113511",""
"12","0","1007005","","7","","1","1007005075","0","113411",""
"3","","1007005","","svd_talk_thinking","1","1","1007005076","0.2","113411",""
