af6c68fda9c48d07937971784e0ee7a4417d4072b2cc8ca5646bbdda4109c6e9,b6645f91b5af7b45beaf83d4577dc6da04e1450290264caef523e324ab5268af,4753651fa26d51e6824db2d5063947710bd974f21fa9f61c58a1864038eaf98c,3c4257e15be27ac12482c55357b85f091089878c7cb2b2bc73ce78be65d8303f,58bcb7ec4f904fe591806632d921bf813c753fa1b1b97d4e8951d6f6d30640f7,bfddf2c90d6874b9293721da459135a248fbdfdbd6fd681affc08184626e93dd,fc6c3e5ad508583596af4ca59b02ced1641ae1a1fd432cf54c926f1465a605dc,359c04d86b702642f98316543fad6dc0a88abae9868e3758846345a40c1ef965,6153b59df48ed0ce0c5979b8d7bca15b667a09dd852f77771c0f311b91d25849,5c4b5914e3d2a582ebdbdca78c4a1b7e434bb4d8ed7cac58ba4882c4bdae6ce4,af697cce7f94e208e0891f21ae6cf939816741a3511bb780948ac19ac2145b0c
"0.2","","1140002","1","102311","","pkb_talk_joy1","3","","14",""
"","","1140003","0","vo_minigame_1006","","vo_minigame_1006_top_402","21","0","14",""
"0","0","1140004","8","102311","0","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！","11","0","14","0"
"","","1140005","","3","","","93","","14",""
"0.2","1","1140006","0","102311","","pkb_talk_doya","3","pkb_idle_doya","14",""
"","","1140007","","1140004","","","91","","14",""
"0.2","","1140008","1","102311","","pkb_idle_normal","3","","14",""
"1.65","-175","1150001","100","1","pkb_idle_normal","102311","1","64","15","1"
"0.2","","1150002","1","102311","","pkb_talk_wish","3","","15",""
"","","1150003","0","vo_minigame_1006","","vo_minigame_1006_top_403","21","0","15",""
"0","0","1150004","8","102311","-0.5","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！","11","0","15","0"
"","","1150005","","2.4","","","93","","15",""
"0.2","1","1150006","0","102311","","pkb_talk_fun","3","pkb_talk_joy1","15","0.4"
"","","1150007","","1150004","","","91","","15",""
"0.2","","1150008","1","102311","","pkb_idle_normal","3","","15",""
"57","-155","1160001","100","1","pkb_idle_normal_l","1","5","64","16","1"
"0.2","1","1160002","0","1","","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","16","0.2"
"","","1160003","0","vo_minigame_1006","","vo_minigame_1006_top_701","21","0","16",""
"0","0","1160004","8","1","0","以全國大賽為目標，\n今天也來努力練習吧！","11","0","16","0"
"","","1160005","","2.6","","","93","","16",""
"0.2","1","1160006","0","1","","pkb_talk_doya_l","3","pkb_idle_doya_l","16","0.2"
"","","1160007","","1160004","","","91","","16",""
"0.2","","1160008","1","1","","pkb_idle_normal_l","3","","16",""
"57","-155","1170001","100","1","pkb_idle_normal_l","1","5","64","17","1"
"0.2","1","1170002","0","1","","pkb_talk_guts_l","3","pkb_idle_guts_l","17",""
"","","1170003","0","vo_minigame_1006","","vo_minigame_1006_top_702","21","0","17",""
"0","0","1170004","8","1","0","為了實現夢想，\n大家來盡全力\n練習吧！","11","0","17","0"
"","","1170005","","0","","","91","","17",""
"0.2","","1170006","1","1","","pkb_idle_normal_l","3","","17",""
"57","-155","1180001","100","1","pkb_idle_normal_l","1","5","64","18","1"
"0.2","1","1180002","0","1","","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","18","0.2"
"","","1180003","0","vo_minigame_1006","","vo_minigame_1006_top_703","21","0","18",""
"0","0","1180004","8","1","0","社員們也都\n進步了好多……\n我可不能落後了！","11","0","18","0"
"","","1180005","","2.9","","","93","","18",""
"0.2","1","1180006","0","1","","pkb_talk_guts_l","3","pkb_idle_guts_l","18",""
"","","1180007","","1180004","","","91","","18",""
"0.2","","1180008","1","1","","pkb_idle_normal_l","3","","18",""
"57","-155","1190001","100","2","pkb_idle_normal_l","2","5","64","19","1"
"0.2","1","1190002","0","2","","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","19","0.2"
"","","1190003","0","vo_minigame_1006","","vo_minigame_1006_top_801","21","0","19",""
"0","0","1190004","8","2","0","我會把我的進步\n展現出來，畢竟\n我也是選手啊。","11","0","19","0"
"","","1190005","","3.8","","","93","","19",""
"0.2","1","1190006","0","2","","pkb_talk_guts_l","3","pkb_idle_guts_l","19",""
"","","1190007","","1190004","","","91","","19",""
"0.2","","1190008","1","2","","pkb_idle_normal_l","3","","19",""
"57","-155","1200001","100","2","pkb_idle_normal_l","2","5","64","20","1"
"0.2","1","1200002","0","2","","pkb_talk_guts_l","3","pkb_idle_guts_l","20",""
"","","1200003","0","vo_minigame_1006","","vo_minigame_1006_top_802","21","0","20",""
"0","0","1200004","8","2","0","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。","11","0","20","0"
"","","1200005","","3.2","","","93","","20",""
"0.2","1","1200006","0","2","","pkb_talk_doya_l","3","pkb_idle_doya_l","20",""
"","","1200007","","1200004","","","91","","20",""
"0.2","","1200008","1","2","","pkb_idle_normal_l","3","","20",""
"57","-155","1210001","100","2","pkb_idle_normal_l","2","5","64","21","1"
"0.2","1","1210002","0","2","","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","21","0.2"
"","","1210003","0","vo_minigame_1006","","vo_minigame_1006_top_803","21","0","21",""
"0","0","1210004","8","2","0","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。","11","0","21","0"
"","","1210005","","0","","","91","","21",""
"0.2","","1210006","1","2","","pkb_idle_normal_l","3","","21",""
"1.6","-150","1220001","100","1","pkb_idle_normal","113511","1","-20","22","0"
"1.6","-150","1220002","100","1","pkb_idle_normal","113411","1","170","22","1"
"0.2","","1220003","1","113511","","pkb_talk_joy1","3","","22",""
"","","1220004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_1_101","21","0","22",""
"0","0","1220005","6","113511","-0.5","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪","11","0","22","0"
"","","1220006","","0","","","91","","22",""
"0.2","","1220007","1","113511","","pkb_idle_normal","3","","22",""
"0.2","","1220008","1","113411","","pkb_talk_joy1","3","","22",""
"","","1220009","0","vo_minigame_1006","","vo_minigame_1006_top_talk_1_202","21","0","22",""
"0","0","1220010","6","113411","-0.5","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！","11","0","22","0"
"","","1220011","","4","","","93","","22",""
"0.2","1","1220012","0","113411","","pkb_talk_handsup","3","pkb_idle_normal","22","0"
"","","1220013","","1220010","","","91","","22",""
"0.2","","1220014","1","113411","","pkb_idle_normal","3","","22",""
"1.6","-150","1230001","100","1","pkb_idle_normal","113411","1","170","23","1"
"1.6","-150","1230002","100","1","pkb_idle_normal","113511","1","-20","23","0"
"0.2","","1230003","1","113411","","pkb_talk_normal","3","","23",""
"","","1230004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_2_201","21","0","23",""
"0","0","1230005","8","113411","-1.5","美里老師也來一起\n幫忙加油嘛！","11","0","23","0"
"","","1230006","","0","","","91","","23",""
"0.2","","1230007","1","113411","","pkb_idle_normal","3","","23",""
"0.2","","1230008","1","113511","","pkb_talk_normal","3","","23",""
"","","1230009","0","vo_minigame_1006","","vo_minigame_1006_top_talk_2_102","21","0","23",""
"0","0","1230010","5","113511","3","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！","11","0","23","0"
"","","1230011","","4","","","93","","23",""
"0.2","0","1230012","0","113511","","pkb_talk_fun","3","pkb_talk_fun","23","0.2"
"","","1230013","","2.7","","","93","","23",""
"0.2","1","1230014","0","113511","","pkb_idle_normal","3","pkb_talk_joy1","23","0.2"
"","","1230015","","1230010","","","91","","23",""
"0.2","","1230016","1","113511","","pkb_idle_normal","3","","23",""
"1.6","-150","1240001","100","1","pkb_idle_normal","113511","1","170","24","1"
"55","-130","1240002","100","3","pkb_idle_normal","3","5","-20","24","0"
"0.2","","1240003","1","113511","","pkb_talk_joy3","3","","24",""
"","","1240004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_3_101","21","0","24",""
"0","0","1240005","6","113511","-1","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～","11","0","24","0"
"","","1240006","","4","","","93","","24",""
"0.2","","1240007","1","113511","","pkb_talk_wish","3","","24",""
"","","1240008","","1240005","","","91","","24",""
"0.2","","1240009","1","113511","","pkb_idle_normal","3","","24",""
"0.2","","1240010","1","3","","pkb_talk_normal","3","","24",""
"","","1240011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_3_602","21","0","24",""
"0","0","1240012","6","3","-1","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！","11","0","24","0"
"","","1240013","","2","","","93","","24",""
"0.2","1","1240014","0","3","","pkb_talk_doya","3","pkb_idle_doya","24",""
"","","1240015","","1240012","","","91","","24",""
"0.2","","1240016","1","3","","pkb_idle_normal","3","","24",""
"55","-130","1250001","100","3","pkb_idle_normal","3","5","-20","25","0"
"1.6","-150","1250002","100","1","pkb_idle_normal","113511","1","170","25","1"
"0.2","1","1250003","0","3","","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","25","0.2"
"","","1250004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_4_601","21","0","25",""
"0","0","1250005","8","3","-0.5","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！","11","0","25","0"
"","","1250006","","3","","","93","","25",""
"0.2","1","1250007","0","3","","pkb_talk_guts","3","pkb_idle_guts","25",""
"","","1250008","","1250005","","","91","","25",""
"0.2","","1250009","1","3","","pkb_idle_normal","3","","25",""
"0.2","","1250010","1","113511","","pkb_talk_wish","3","","25",""
"","","1250011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_4_102","21","0","25",""
"0","0","1250012","6","113511","1","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪","11","0","25","0"
"","","1250013","","5.6","","","93","","25",""
"0.2","1","1250014","0","113511","","pkb_talk_handsup","3","pkb_idle_normal","25","0.2"
"","","1250015","","0","","","91","","25",""
"0.2","","1250016","1","113511","","pkb_idle_normal","3","","25",""
"1.6","-150","1260001","100","1","pkb_idle_normal","113511","1","170","26","1"
"55","-130","1260002","100","1","pkb_idle_normal","1","5","-20","26","0"
"0.2","","1260003","1","113511","","pkb_talk_joy3","3","","26",""
"","","1260004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_5_101","21","0","26",""
"0","0","1260005","6","113511","0","呵呵，老師也會\n一起協助你們練習的～","11","0","26","0"
"","","1260006","","0","","","91","","26",""
"0.2","","1260007","1","113511","","pkb_idle_normal","3","","26",""
"0.2","1","1260008","0","1","","pkb_talk_guts","3","pkb_idle_guts","26","0.2"
"","","1260009","0","vo_minigame_1006","","vo_minigame_1006_top_talk_5_702","21","0","26",""
"0","0","1260010","8","1","-1","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！","11","0","26","0"
"","","1260011","","0","","","91","","26",""
"0.2","","1260012","1","1","","pkb_idle_normal","3","","26",""
"55","-130","1270001","100","1","pkb_idle_normal","1","5","-20","27","0"
"1.6","-150","1270002","100","1","pkb_idle_normal","113511","1","170","27","1"
"0.2","1","1270003","0","1","","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","27","0.2"
"","","1270004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_6_701","21","0","27",""
"0","0","1270005","8","1","-0.5","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！","11","0","27","0"
"","","1270006","","2.6","","","93","","27",""
"0.2","1","1270007","0","1","","pkb_talk_guts","3","pkb_idle_guts","27","0.2"
"","","1270008","","1270005","","","91","","27",""
"0.2","","1270009","1","1","","pkb_idle_normal","3","","27",""
"0.2","","1270010","1","113511","","pkb_talk_joy3","3","","27",""
"","","1270011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_6_102","21","0","27",""
"0","0","1270012","6","113511","0.5","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪","11","0","27","0"
"","","1270013","","4","","","93","","27",""
"0.2","","1270014","1","113511","","pkb_talk_wish","3","","27",""
"","","1270015","","1270012","","","91","","27",""
"0.2","","1270016","1","113511","","pkb_idle_normal","3","","27",""
"1.6","-150","1280001","100","1","pkb_idle_normal","113411","1","170","28","1"
"55","-130","1280002","100","3","pkb_idle_normal","3","5","-20","28","0"
"0.2","1","1280003","0","113411","","pkb_talk_yell","3","pkb_talk_joy1","28","0.2"
"","","1280004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_7_201","21","0","28",""
"0","0","1280005","8","113411","-0.5","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！","11","0","28","0"
"","","1280006","","4.6","","","93","","28",""
"0.2","1","1280007","0","113411","","pkb_talk_fun","3","pkb_idle_normal","28","0.2"
"","","1280008","","1280005","","","91","","28",""
"0.2","","1280009","1","113411","","pkb_idle_normal","3","","28",""
"0.2","1","1280010","0","3","","pkb_talk_guts","3","pkb_idle_guts","28",""
"","","1280011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_7_602","21","0","28",""
"0","0","1280012","8","3","0","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！","11","0","28","0"
"","","1280013","","5","","","93","","28",""
"0.2","1","1280014","0","3","","pkb_talk_handsup","3","pkb_idle_normal","28",""
"","","1280015","","1280012","","","91","","28",""
"0.2","","1280016","1","3","","pkb_idle_normal","3","","28",""
"55","-130","1290001","100","3","pkb_idle_normal","3","5","-20","29","0"
"1.6","-150","1290002","100","1","pkb_idle_normal","113411","1","170","29","1"
"0.2","1","1290003","0","3","","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","29","0.2"
"","","1290004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_8_601","21","0","29",""
"0","0","1290005","8","3","-1","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！","11","0","29","0"
"","","1290006","","2.8","","","93","","29",""
"0.2","1","1290007","0","3","","pkb_talk_guts","3","pkb_idle_guts","29",""
"","","1290008","","1290005","","","91","","29",""
"0.2","","1290009","1","3","","pkb_idle_normal","3","","29",""
"0.2","","1290010","1","113411","","pkb_talk_joy1","3","","29",""
"","","1290011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_8_202","21","0","29",""
"0","0","1290012","8","113411","-0.5","包在我身上！\n我會比平常還要\n更努力加油打氣的～！","11","0","29","0"
"","","1290013","","2.2","","","93","","29",""
"0.2","0","1290014","0","113411","","pkb_talk_fun","3","pkb_smile","29","0.4"
"","","1290015","","2.2","","","93","","29",""
"0.2","","1290016","1","113411","","pkb_idle_normal","3","","29",""
"","","1290017","","1290012","","","91","","29",""
"0.2","","1290018","1","113411","","pkb_idle_normal","3","","29",""
"1.6","-150","1300001","100","1","pkb_idle_normal","113411","1","170","30","1"
"55","-130","1300002","100","1","pkb_idle_normal","1","5","-20","30","0"
"0.2","","1300003","1","113411","","pkb_talk_joy1","3","","30",""
"","","1300004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_9_201","21","0","30",""
"0","0","1300005","8","113411","1","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！","11","0","30","0"
"","","1300006","","5","","","93","","30",""
"0.2","1","1300007","0","113411","","pkb_talk_handsup","3","pkb_idle_normal","30",""
"","","1300008","","1300005","","","91","","30",""
"0.2","","1300009","1","113411","","pkb_idle_normal","3","","30",""
"0.2","","1300010","1","1","","pkb_talk_normal","3","","30",""
"","","1300011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_9_702","21","0","30",""
"0","0","1300012","8","1","-1","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！","11","0","30","0"
"","","1300013","","3.3","","","93","","30",""
"0.2","1","1300014","0","1","","pkb_talk_guts","3","pkb_idle_guts","30",""
"","","1300015","","1300012","","","91","","30",""
"0.2","","1300016","1","1","","pkb_idle_normal","3","","30",""
"55","-130","1310001","100","1","pkb_idle_normal","1","5","-20","31","0"
"1.6","-150","1310002","100","1","pkb_idle_normal","113411","1","170","31","1"
"0.2","1","1310003","0","1","","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","31","0.2"
"","","1310004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_10_701","21","0","31",""
"0","0","1310005","8","1","-1.5","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！","11","0","31","0"
"","","1310006","","3.6","","","93","","31",""
"0.2","1","1310007","0","1","","pkb_talk_doya","3","pkb_idle_doya","31",""
"","","1310008","","1310005","","","91","","31",""
"0.2","","1310009","1","1","","pkb_idle_normal","3","","31",""
"0.2","","1310010","1","113411","","pkb_talk_joy1","3","","31",""
"","","1310011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_10_202","21","0","31",""
"0","0","1310012","8","113411","-0.5","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆","11","0","31","0"
"","","1310013","","3.6","","","93","","31",""
"0.2","0","1310014","0","113411","","pkb_talk_fun","3","pkb_talk_fun","31",""
"","","1310015","","3","","","93","","31",""
"0.2","","1310016","1","113411","","pkb_idle_normal","3","","31",""
"","","1310017","","1310012","","","91","","31",""
"55","-130","1320001","100","2","pkb_idle_normal","2","5","-20","32","0"
"1.6","-150","1320002","100","1","pkb_idle_normal","113411","1","170","32","1"
"0.2","1","1320003","0","2","","pkb_talk_guts","3","pkb_idle_guts","32",""
"","","1320004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_11_801","21","0","32",""
"0","0","1320005","8","2","0","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。","11","0","32","0"
"","","1320006","","5","","","93","","32",""
"0.2","1","1320007","0","2","","pkb_talk_doya","3","pkb_idle_doya","32",""
"","","1320008","","1320005","","","91","","32",""
"0.2","","1320009","1","2","","pkb_idle_normal","3","","32",""
"0.2","","1320010","1","113411","","pkb_talk_joy2","3","","32",""
"","","1320011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_11_202","21","0","32",""
"0","0","1320012","8","113411","0","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！","11","0","32","0"
"","","1320013","","4.6","","","93","","32",""
"0.2","1","1320014","0","113411","","pkb_hatsune_kiran","3","pkb_idle_normal","32","0.2"
"","","1320015","","1320012","","","91","","32",""
"0.2","","1320016","1","113411","","pkb_idle_normal","3","","32",""
"1.6","-150","1330001","100","1","pkb_idle_normal","102311","1","170","33","1"
"55","-130","1330002","100","2","pkb_idle_normal","2","5","-20","33","0"
"0.2","","1330003","1","102311","","pkb_talk_normal","3","","33",""
"","","1330004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_12_401","21","0","33",""
"0","0","1330005","8","102311","-0.5","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！","11","0","33","0"
"","","1330006","","1.6","","","93","","33",""
"0.2","1","1330007","0","102311","","pkb_talk_yell","3","pkb_talk_joy1","33","0.2"
"","","1330008","","1330005","","","91","","33",""
"0.2","","1330009","1","102311","","pkb_idle_normal","3","","33",""
"","","1330010","0","vo_minigame_1006","","vo_minigame_1006_top_talk_12_802","21","0","33",""
"0","0","1330011","8","2","0","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。","11","0","33","0"
"","","1330012","","0.5","","","93","","33",""
"0.2","","1330013","0","2","","pkb_talk_yell","3","","33",""
"","","1330014","","3","","","93","","33",""
