b69cc183daca0f4c5acce366fabca3bcedabe25ee74c4b6af798c1787be04a85,e9409eaab104ea4ff71c7f0c581291ce1f05eb6b91a9c1dff479f8265e8118f1,79cad8a1402a31219faa8fc4ea2dd9874bb5da16f16c904ec94f14d4fff42ede,1b73ca2273048864b9babf0231afc73dd6e6b1e68db4f75a0f9ce04654c28212,0117f083296d29952b93315273fb4f87b3c362a41559e12f0685bcd35c3824db,ad0057a686b6bb81db814bfb5edbfd40afd98ee83345643d00b41958b9043df3,79997360c691485cd6ef34839053a4f1ab2d4d986780f846f3a82d089ac07ada,14513edf9effe7f289e327b2f374758a47708039bdb62a38e6a3a8e10f2aaab8,e9dcec0cda9cb6082ae78db941b61da37e289f33d627bf46f595e6eda2089970,3cadf618ea07702a21f60d6e324c37a87c4deafd89540cc27991976b2b141b75,c9a9e0a15250884cb3462c76f952f6c07504af1a5ee073081c9fb3131c0bdc1b
"3","0","","1001005","","101110029","400","111","2","","-150"
"3","0","","1001001","","101110030","800","111","33","","-150"
"3","0","","1001002","","101110031","700","111","33","","-75"
"3","0","","1001003","","101110032","600","111","33","","-180"
"3","0","","1001004","","101110033","500","111","33","","-75"
"3","0","","1001005","","101110034","400","111","33","","-150"
"","","","10020","","101110035","1","111","32","",""
"","","","2.5","","101110036","0","111","93","",""
"","","","10031","","101110037","1","111","32","",""
"","","","0.4","","101110038","0","111","93","",""
"","","","0","","101110039","0","111","91","",""
"","","","se_travel","","102110001","se_travel_start_2pt","211","23","","0"
"0","1","1","10010","","102110002","10010","211","31","","0"
"0","1","1","10011","","102110003","10011","211","31","","0"
"0","1","0","10020","","102110004","10020","211","31","","0"
"-100","-90","0.68","2","0","102110005","1001001","211","1","<weapon>_idle","62"
"-170","-15","0.68","2","0","102110006","1001002","211","1","<weapon>_idle","61"
"-240","-105","0.68","2","0","102110007","1001003","211","1","<weapon>_idle","63"
"-310","-15","0.68","2","0","102110008","1001004","211","1","<weapon>_idle","61"
"-380","-90","0.68","2","0","102110009","1001005","211","1","<weapon>_idle","62"
"-90","0.68","1","10012","0","102110010","1001001","211","31","","-100"
"-15","0.68","1","10012","0","102110011","1001002","211","31","","-170"
"-105","0.68","1","10012","0","102110012","1001003","211","31","","-240"
"-15","0.68","1","10012","0","102110013","1001004","211","31","","-310"
"-90","0.68","1","10012","0","102110014","1001005","211","31","","-380"
"-500","-240","0.68","2","0","102110015","1002001","211","1","<weapon>_idle","52"
"-570","-165","0.68","2","0","102110016","1002002","211","1","<weapon>_idle","51"
"-640","-255","0.68","2","0","102110017","1002003","211","1","<weapon>_idle","53"
"-710","-165","0.68","2","0","102110018","1002004","211","1","<weapon>_idle","51"
"-780","-240","0.68","2","0","102110019","1002005","211","1","<weapon>_idle","52"
"-240","0.68","1","10012","0","102110020","1002001","211","31","","-500"
"-165","0.68","1","10012","0","102110021","1002002","211","31","","-570"
"-255","0.68","1","10012","0","102110022","1002003","211","31","","-640"
"-165","0.68","1","10012","0","102110023","1002004","211","31","","-710"
"-240","0.68","1","10012","0","102110024","1002005","211","31","","-780"
"0","1","0","10030","","102110025","10030","211","31","","0"
"0","1","0","10031","","102110026","10031","211","31","","0"
"","","","","","102110027","0","211","91","",""
"","","","10030","","102110028","1","211","32","",""
"","","","0","","102110029","0","211","91","",""
"","0","0","1001001","","102110030","<weapon>_run","211","3","","1"
"","0","0","1001002","","102110031","<weapon>_run","211","3","","1"
"","0","0","1001003","","102110032","<weapon>_run","211","3","","1"
"","0","0","1001004","","102110033","<weapon>_run","211","3","","1"
"","0","0","1001005","","102110034","<weapon>_run","211","3","","1"
"3","0","","1001001","","102110035","850","211","2","","-90"
"3","0","","1001002","","102110036","780","211","2","","-15"
"3","0","","1001003","","102110037","710","211","2","","-105"
"3","0","","1001004","","102110038","640","211","2","","-15"
"3","0","","1001005","","102110039","570","211","2","","-90"
"3","0","","1001001","","102110040","850","211","33","","-90"
"3","0","","1001002","","102110041","780","211","33","","-15"
"3","0","","1001003","","102110042","710","211","33","","-105"
"3","0","","1001004","","102110043","640","211","33","","-15"
"3","0","","1001005","","102110044","570","211","33","","-90"
"","0","0","1002001","","102110045","<weapon>_run","211","3","","1"
"","0","0","1002002","","102110046","<weapon>_run","211","3","","1"
"","0","0","1002003","","102110047","<weapon>_run","211","3","","1"
"","0","0","1002004","","102110048","<weapon>_run","211","3","","1"
"","0","0","1002005","","102110049","<weapon>_run","211","3","","1"
"3","0","","1002001","","102110050","450","211","2","","-240"
"3","0","","1002002","","102110051","380","211","2","","-165"
"3","0","","1002003","","102110052","310","211","2","","-255"
"3","0","","1002004","","102110053","240","211","2","","-165"
"3","0","","1002005","","102110054","170","211","2","","-240"
"3","0","","1002001","","102110055","450","211","33","","-240"
"3","0","","1002002","","102110056","380","211","33","","-165"
"3","0","","1002003","","102110057","310","211","33","","-255"
"3","0","","1002004","","102110058","240","211","33","","-165"
"3","0","","1002005","","102110059","170","211","33","","-240"
"","","","10020","","102110060","1","211","32","",""
"","","","2.5","","102110061","0","211","93","",""
"","","","10031","","102110062","1","211","32","",""
"","","","0.4","","102110063","0","211","93","",""
"","","","0","","102110064","0","211","91","",""
"","","","se_travel","","103110001","se_travel_start_3pt","311","23","","0"
"0","1","1","10010","","103110002","10010","311","31","","0"
"0","1","1","10011","","103110003","10011","311","31","","0"
"0","1","0","10020","","103110004","10020","311","31","","0"
"0","-240","0.68","2","0","103110005","1001001","311","1","<weapon>_idle","62"
"-70","-165","0.68","2","0","103110006","1001002","311","1","<weapon>_idle","61"
"-140","-255","0.68","2","0","103110007","1001003","311","1","<weapon>_idle","63"
"-210","-165","0.68","2","0","103110008","1001004","311","1","<weapon>_idle","61"
"-280","-240","0.68","2","0","103110009","1001005","311","1","<weapon>_idle","62"
"-240","0.68","1","10012","0","103110010","1001001","311","31","","0"
"-165","0.68","1","10012","0","103110011","1001002","311","31","","-70"
"-255","0.68","1","10012","0","103110012","1001003","311","31","","-140"
"-165","0.68","1","10012","0","103110013","1001004","311","31","","-210"
"-240","0.68","1","10012","0","103110014","1001005","311","31","","-280"
"-250","-60","0.68","2","0","103110015","1002001","311","1","<weapon>_idle","52"
"-320","15","0.68","2","0","103110016","1002002","311","1","<weapon>_idle","51"
"-390","-75","0.68","2","0","103110017","1002003","311","1","<weapon>_idle","53"
"-460","15","0.68","2","0","103110018","1002004","311","1","<weapon>_idle","51"
"-530","-60","0.68","2","0","103110019","1002005","311","1","<weapon>_idle","52"
"-60","0.68","1","10012","0","103110020","1002001","311","31","","-250"
"15","0.68","1","10012","0","103110021","1002002","311","31","","-320"
"-75","0.68","1","10012","0","103110022","1002003","311","31","","-390"
"15","0.68","1","10012","0","103110023","1002004","311","31","","-460"
"-60","0.68","1","10012","0","103110024","1002005","311","31","","-530"
"-500","-250","0.68","2","0","103110025","1003001","311","1","<weapon>_idle","62"
"-570","-175","0.68","2","0","103110026","1003002","311","1","<weapon>_idle","61"
"-640","-265","0.68","2","0","103110027","1003003","311","1","<weapon>_idle","63"
"-710","-175","0.68","2","0","103110028","1003004","311","1","<weapon>_idle","61"
"-780","-250","0.68","2","0","103110029","1003005","311","1","<weapon>_idle","62"
"-250","0.68","1","10012","0","103110030","1003001","311","31","","-500"
"-175","0.68","1","10012","0","103110031","1003002","311","31","","-570"
"-265","0.68","1","10012","0","103110032","1003003","311","31","","-640"
"-175","0.68","1","10012","0","103110033","1003004","311","31","","-710"
"-250","0.68","1","10012","0","103110034","1003005","311","31","","-780"
"0","1","0","10030","","103110035","10030","311","31","","0"
"0","1","0","10031","","103110036","10031","311","31","","0"
"","","","","","103110037","0","311","91","",""
"","","","10030","","103110038","1","311","32","",""
"","","","0","","103110039","0","311","91","",""
"","0","0","1001001","","103110040","<weapon>_run","311","3","","1"
"","0","0","1001002","","103110041","<weapon>_run","311","3","","1"
"","0","0","1001003","","103110042","<weapon>_run","311","3","","1"
"","0","0","1001004","","103110043","<weapon>_run","311","3","","1"
"","0","0","1001005","","103110044","<weapon>_run","311","3","","1"
"3","0","","1001001","","103110045","950","311","2","","-240"
"3","0","","1001002","","103110046","880","311","2","","-165"
"3","0","","1001003","","103110047","810","311","2","","-255"
"3","0","","1001004","","103110048","740","311","2","","-165"
"3","0","","1001005","","103110049","670","311","2","","-240"
"3","0","","1001001","","103110050","950","311","33","","-240"
"3","0","","1001002","","103110051","880","311","33","","-165"
"3","0","","1001003","","103110052","810","311","33","","-255"
"3","0","","1001004","","103110053","740","311","33","","-165"
"3","0","","1001005","","103110054","670","311","33","","-240"
"","0","0","1002001","","103110055","<weapon>_run","311","3","","1"
"","0","0","1002002","","103110056","<weapon>_run","311","3","","1"
"","0","0","1002003","","103110057","<weapon>_run","311","3","","1"
"","0","0","1002004","","103110058","<weapon>_run","311","3","","1"
"","0","0","1002005","","103110059","<weapon>_run","311","3","","1"
"3","0","","1002001","","103110060","700","311","2","","-60"
"3","0","","1002002","","103110061","630","311","2","","15"
"3","0","","1002003","","103110062","560","311","2","","-75"
"3","0","","1002004","","103110063","490","311","2","","15"
"3","0","","1002005","","103110064","420","311","2","","-60"
"3","0","","1002001","","103110065","700","311","33","","-60"
"3","0","","1002002","","103110066","630","311","33","","15"
"3","0","","1002003","","103110067","560","311","33","","-75"
"3","0","","1002004","","103110068","490","311","33","","15"
"3","0","","1002005","","103110069","420","311","33","","-60"
"","0","0","1003001","","103110070","<weapon>_run","311","3","","1"
"","0","0","1003002","","103110071","<weapon>_run","311","3","","1"
"","0","0","1003003","","103110072","<weapon>_run","311","3","","1"
"","0","0","1003004","","103110073","<weapon>_run","311","3","","1"
"","0","0","1003005","","103110074","<weapon>_run","311","3","","1"
"3","0","","1003001","","103110075","450","311","2","","-250"
"3","0","","1003002","","103110076","380","311","2","","-175"
"3","0","","1003003","","103110077","310","311","2","","-265"
"3","0","","1003004","","103110078","240","311","2","","-175"
"3","0","","1003005","","103110079","170","311","2","","-250"
"3","0","","1003001","","103110080","450","311","33","","-250"
"3","0","","1003002","","103110081","380","311","33","","-175"
"3","0","","1003003","","103110082","310","311","33","","-265"
"3","0","","1003004","","103110083","240","311","33","","-175"
"3","0","","1003005","","103110084","170","311","33","","-250"
"","","","10020","","103110085","1","311","32","",""
"","","","2.5","","103110086","0","311","93","",""
"","","","10031","","103110087","1","311","32","",""
"","","","0.4","","103110088","0","311","93","",""
"","","","0","","103110089","0","311","91","",""
