c1b74586625890f10e4e5400b35d54b67e2dcf9ad5f6a109819a90fc5eaac00e,b2ccea8aff1dd84ab62784310c3e9d09da1af36805ac898cf9fcdd706a6e263d,ffe82516df81a77770d5a39245e9eea773a55683ce03132cb2e3e77a5d706962,6bfbdfdfee04397163ce7c0a4ab46bcc71cb41374ea38ea30b30addde29ff0c0,6cc2b92c3ca7b4a937b87dba0fc3e42280bb609b09fafc488371d32f141c6c84,380b499600b59b6eed143dfcaf3cd448097ebd00efc30cf053e8de3270490d98,eca2529ef7678e21d4890af02141c814b920f7da874692979680a67ab1171c50,d899ced72766c592981c3c413106cb8005f698b2885ecef75469df691e241a9e,d75739bd769e888b2838e3c425a4e2a76e59993cfeaa6c6bf93f8c9b45dc7afc,2cc26a5f4dd9eedcdcbc9348ebd50a18fd381af29b1266d5e33a181bcdd953c2,e6e25f692f79a4852803ee69e27e6f5ec5994554f2687d07cf5659853b604773,208c168094875c9c8265e426ef5cf73f954cdc17127b421b99a16f29b3ec31e6,d6b6722d78f26bcab4914282bdccdd8d6547e4e59f618936e7c77de851459aa9,5e6a2c8a0fbc344d4296b799b14b2412be5f3413786c82cf7ee5117d570a3415,02b4a646142ba0c610e5942e6ea6bdbb7d82befa3382b0da4bcbe225e859f0ab,86c31fcf1df34f323dd5122b3f2b6e32bb13e9368bf7c54058b36f7196290126,3095c471764458a2aa62c3bd6ab59f42f3b21790f9a99f2352fd95dc163d9cc9,8a164f7e0a01075d4f52d675077e193547baa757b94a639e6bf47b95f62d9626,2ac727a8f6e62a0087ea9d895beb1ba90d52ce53fa6eba8457a609eb63b23d9f,c2166f357cb2b0e53ea3e071599d18daa9b342b2a93fa4470dfe45ff4775e37e,5ebfeb1c1b2236da2aa4f06fde0a64b0aea5cb852eb83465538fc02797fdcf08,c75724f7fe790b10b50bba2b8cbad433426a715c916e73106fe1d5254dd27ab8,b6a5d4c4a9e58fe9b0cbbb124d3bee1abd1225a760e2706f6255f7309d8ee3f6,72c60ffec24bad51d108f8c1082a80777aa5b7591cf10d0cdd6b47608f4d0295,0ce2fea12ef98fea0a028027f0ee194b74e85daff10bbe56d67bf1cbc1271da5,1befb1fb03d2e6235fbc30a81541c7dca39bfa616b9c6db9042bb96f35c74a19,852a9594a8454bb2d079521f774f91cf252bfdd55ffb50d17bdf31a33d90e7f1,e22604794ffeb22e2329f755713f31d2fbd036b5454dc1560e88a55927de051b,32ec7668a2e507fc8966b5d1c21b2fdc0a9dc2d737a17439f462d9ba07dd81a1,5e9de8112557888dbccff68a87429f05bcec48a17ba252841053860280e918d6,32f82cc3dbf410d8e46f5868042e1ea46672cd5b37187aeae5016d07613d0adf,8b8fe9bb5f7200b6cdf5d2f4fd2e5a9a1259153c71bde34934b1693d40f03970,e6f6d2d7c2bc39a08e921e41d55da49b9bd45768c0478106ae70e9990afa2988,34452c8fad7a0083ceb48aa258c8e60a2bcf435a2fab314ea3255a1f7e627886,7c9a04d7b10a97f1a1fbe5a18459aef137288eab57a8ee18a4ae2a17b0889e1c,94f40d96eab7fdcf7344c01f656e116be7fb305349bbd6b897bb7b31e3a29a3a,675df83924c24b5f07690f6c584868a4255b9144ae330ceb2713a717faa524d6,c18dce664716c04877aaef515cbe4e18855d5e073bf07c62c8428f7ba10f8a06,8aa292f0590f58980fb199ba7bba50d23136c544939f96aa4535e81f4c306c74,90091176489e48d6ee7430bd0c08baf4a8c0c927317c7d725a8df57f8d04d5af
"61","61","61","61","1","0","200000006","200100","61","10","14332","0","0","2253","0","670010061","0","61","30","61","61","61","61","0","0","78","0","61","0","61","61","61","1","61","61","113","61","0","1","10"
"62","62","62","62","1","0","200000006","200100","62","10","15514","0","0","2280","0","670010062","0","62","30","62","62","62","62","0","0","79","0","62","0","62","62","62","1","62","62","113","62","0","1","10"
"63","63","63","63","1","0","200000006","200100","63","10","16696","0","0","2306","0","670010063","0","63","30","63","63","63","63","0","0","79","0","63","0","63","63","63","1","63","63","114","63","0","1","10"
"64","64","64","64","1","0","200000006","200100","64","10","17878","0","0","2333","0","670010064","0","64","30","64","64","64","64","0","0","80","0","64","0","64","64","64","1","64","64","114","64","0","1","10"
"65","65","65","65","1","0","200000006","200100","65","10","19060","0","0","2359","0","670010065","0","65","30","65","65","65","65","0","0","81","0","65","0","65","65","65","1","65","65","114","65","0","1","10"
"66","66","66","66","1","0","200000006","200100","66","10","20242","0","0","2386","0","670010066","0","66","30","66","66","66","66","0","0","82","0","66","0","66","66","66","1","66","66","115","66","0","1","10"
"67","67","67","67","1","0","200000006","200100","67","10","21425","0","0","2412","0","670010067","0","67","30","67","67","67","67","0","0","82","0","67","0","67","67","67","1","67","67","115","67","0","1","10"
"68","68","68","68","1","0","200000006","200100","68","10","22607","0","0","2439","0","670010068","0","68","30","68","68","68","68","0","0","83","0","68","0","68","68","68","1","68","68","115","68","0","1","10"
"69","69","69","69","1","0","200000006","200100","69","10","23789","0","0","2466","0","670010069","0","69","30","69","69","69","69","0","0","84","0","69","0","69","69","69","1","69","69","116","69","0","1","10"
"70","70","70","70","1","0","200000006","200100","70","10","24971","0","0","2492","0","670010070","0","70","30","70","70","70","70","0","0","85","0","70","0","70","70","70","1","70","70","116","70","0","1","10"
"71","71","71","71","1","0","200000006","200100","71","10","26153","0","0","2519","0","670010071","0","71","30","71","71","71","71","0","0","85","0","71","0","71","71","71","1","71","71","116","71","0","1","10"
"1","1","1","1","1","0","200000001","200200","1","10","924","0","0","108","0","670020001","0","1","30","1","1","1","1","0","0","10","0","1","0","1","1","1","1","1","1","8","1","0","1","10"
"2","2","2","2","1","0","200000001","200200","2","10","927","0","0","111","0","670020002","0","2","30","2","2","2","2","0","0","10","0","2","0","2","2","2","1","2","2","8","2","0","1","10"
"3","3","3","3","1","0","200000001","200200","3","10","930","0","0","114","0","670020003","0","3","30","3","3","3","3","0","0","10","0","3","0","3","3","3","1","3","3","8","3","0","1","10"
"4","4","4","4","1","0","200000001","200200","4","10","933","0","0","117","0","670020004","0","4","30","4","4","4","4","0","0","11","0","4","0","4","4","4","1","4","4","9","4","0","1","10"
"5","5","5","5","1","0","200000001","200200","5","10","936","0","0","120","0","670020005","0","5","30","5","5","5","5","0","0","11","0","5","0","5","5","5","1","5","5","9","5","0","1","10"
"6","6","6","6","1","0","200000001","200200","6","10","939","0","0","123","0","670020006","0","6","30","6","6","6","6","0","0","11","0","6","0","6","6","6","1","6","6","9","6","0","1","10"
"7","7","7","7","1","0","200000001","200200","7","10","942","0","0","126","0","670020007","0","7","30","7","7","7","7","0","0","12","0","7","0","7","7","7","1","7","7","10","7","0","1","10"
"8","8","8","8","1","0","200000001","200200","8","10","945","0","0","129","0","670020008","0","8","30","8","8","8","8","0","0","12","0","8","0","8","8","8","1","8","8","10","8","0","1","10"
"9","9","9","9","1","0","200000001","200200","9","10","948","0","0","132","0","670020009","0","9","30","9","9","9","9","0","0","12","0","9","0","9","9","9","1","9","9","10","9","0","1","10"
"10","10","10","10","1","0","200000001","200200","10","10","951","0","0","135","0","670020010","0","10","30","10","10","10","10","0","0","13","0","10","0","10","10","10","1","10","10","11","10","0","1","10"
"11","11","11","11","1","0","200000001","200200","11","10","954","0","0","138","0","670020011","0","11","30","11","11","11","11","0","0","13","0","11","0","11","11","11","1","11","11","11","11","0","1","10"
"12","12","12","12","1","0","200000001","200200","12","10","957","0","0","141","0","670020012","0","12","30","12","12","12","12","0","0","13","0","12","0","12","12","12","1","12","12","11","12","0","1","10"
"13","13","13","13","1","0","200000001","200200","13","10","960","0","0","144","0","670020013","0","13","30","13","13","13","13","0","0","14","0","13","0","13","13","13","1","13","13","12","13","0","1","10"
"14","14","14","14","1","0","200000001","200200","14","10","963","0","0","147","0","670020014","0","14","30","14","14","14","14","0","0","14","0","14","0","14","14","14","1","14","14","12","14","0","1","10"
"15","15","15","15","1","0","200000001","200200","15","10","966","0","0","151","0","670020015","0","15","30","15","15","15","15","0","0","15","0","15","0","15","15","15","1","15","15","13","15","0","1","10"
"16","16","16","16","1","0","200000001","200200","16","10","1322","0","0","175","0","670020016","0","16","30","16","16","16","16","0","0","15","0","16","0","16","16","16","1","16","16","13","16","0","1","10"
"17","17","17","17","1","0","200000001","200200","17","10","1678","0","0","199","0","670020017","0","17","30","17","17","17","17","0","0","15","0","17","0","17","17","17","1","17","17","13","17","0","1","10"
"18","18","18","18","1","0","200000001","200200","18","10","1884","0","0","207","0","670020018","0","18","30","18","18","18","18","0","0","15","0","18","0","18","18","18","1","18","18","13","18","0","1","10"
"19","19","19","19","1","0","200000001","200200","19","10","2090","0","0","215","0","670020019","0","19","30","19","19","19","19","0","0","16","0","19","0","19","19","19","1","19","19","14","19","0","1","10"
"20","20","20","20","1","0","200000001","200200","20","10","2296","0","0","223","0","670020020","0","20","30","20","20","20","20","0","0","16","0","20","0","20","20","20","1","20","20","14","20","0","1","10"
"21","21","21","21","1","0","200000001","200200","21","10","2377","0","0","237","0","670020021","0","21","30","21","21","21","21","0","0","17","0","21","0","21","21","21","1","21","21","14","21","0","1","10"
"22","22","22","22","1","0","200000001","200200","22","10","2458","0","0","251","0","670020022","0","22","30","22","22","22","22","0","0","17","0","22","0","22","22","22","1","22","22","14","22","0","1","10"
"23","23","23","23","1","0","200000001","200200","23","10","2658","0","0","251","0","670020023","0","23","30","23","23","23","23","0","0","17","0","23","0","23","23","23","1","23","23","14","23","0","1","10"
"24","24","24","24","1","0","200000001","200200","24","10","2829","0","0","268","0","670020024","0","24","30","24","24","24","24","0","0","19","0","24","0","24","24","24","1","24","24","16","24","0","1","10"
"25","25","25","25","1","0","200000001","200200","25","10","2999","0","0","285","0","670020025","0","25","30","25","25","25","25","0","0","21","0","25","0","25","25","25","1","25","25","18","25","0","1","10"
"26","26","26","26","1","0","200000001","200200","26","10","3170","0","0","302","0","670020026","0","26","30","26","26","26","26","0","0","24","0","26","0","26","26","26","1","26","26","19","26","0","1","10"
"27","27","27","27","1","0","200000001","200200","27","10","3340","0","0","319","0","670020027","0","27","30","27","27","27","27","0","0","26","0","27","0","27","27","27","1","27","27","21","27","0","1","10"
"28","28","28","28","1","0","200000001","200200","28","10","3511","0","0","336","0","670020028","0","28","30","28","28","28","28","0","0","28","0","28","0","28","28","28","1","28","28","23","28","0","1","10"
"29","29","29","29","1","0","200000001","200200","29","10","4632","0","0","380","0","670020029","0","29","30","29","29","29","29","0","0","29","0","29","0","29","29","29","1","29","29","23","29","0","1","10"
"30","30","30","30","1","0","200000001","200200","30","10","4717","0","0","412","0","670020030","0","30","30","30","30","30","30","0","0","29","0","30","0","30","30","30","1","30","30","23","30","0","1","10"
"31","31","31","31","1","0","200000001","200200","31","10","4802","0","0","443","0","670020031","0","31","30","31","31","31","31","0","0","28","0","31","0","31","31","31","1","31","31","23","31","0","1","10"
"32","32","32","32","1","0","200000001","200200","32","10","4887","0","0","432","0","670020032","0","32","30","32","32","32","32","0","0","28","0","32","0","32","32","32","1","32","32","23","32","0","1","10"
"33","33","33","33","1","0","200000001","200200","33","10","4972","0","0","420","0","670020033","0","33","30","33","33","33","33","0","0","28","0","33","0","33","33","33","1","33","33","23","33","0","1","10"
"34","34","34","34","1","0","200000001","200200","34","10","5985","0","0","499","0","670020034","0","34","30","34","34","34","34","0","0","28","0","34","0","34","34","34","1","34","34","24","34","0","1","10"
"35","35","35","35","1","0","200000001","200200","35","10","6241","0","0","525","0","670020035","0","35","30","35","35","35","35","0","0","32","0","35","0","35","35","35","1","35","35","27","35","0","1","10"
"36","36","36","36","1","0","200000001","200200","36","10","6497","0","0","550","0","670020036","0","36","30","36","36","36","36","0","0","36","0","36","0","36","36","36","1","36","36","30","36","0","1","10"
"37","37","37","37","1","0","200000001","200200","37","10","6752","0","0","576","0","670020037","0","37","30","37","37","37","37","0","0","39","0","37","0","37","37","37","1","37","37","32","37","0","1","10"
"38","38","38","38","1","0","200000001","200200","38","10","7008","0","0","601","0","670020038","0","38","30","38","38","38","38","0","0","43","0","38","0","38","38","38","1","38","38","35","38","0","1","10"
"39","39","39","39","1","0","200000001","200200","39","10","7387","0","0","671","0","670020039","0","39","30","39","39","39","39","0","0","42","0","39","0","39","39","39","1","39","39","33","39","0","1","10"
"40","40","40","40","1","0","200000001","200200","40","10","8119","0","0","679","0","670020040","0","40","30","40","40","40","40","0","0","44","0","40","0","40","40","40","1","40","40","35","40","0","1","10"
"41","41","41","41","1","0","200000001","200200","41","10","9635","0","0","729","0","670020041","0","41","30","41","41","41","41","0","0","46","0","41","0","41","41","41","1","41","41","37","41","0","1","10"
"42","42","42","42","1","0","200000001","200200","42","10","11151","0","0","778","0","670020042","0","42","30","42","42","42","42","0","0","47","0","42","0","42","42","42","1","42","42","38","42","0","1","10"
"43","43","43","43","1","0","200000001","200200","43","10","11476","0","0","790","0","670020043","0","43","30","43","43","43","43","0","0","47","0","43","0","43","43","43","1","43","43","38","43","0","1","10"
"44","44","44","44","1","0","200000001","200200","44","10","11802","0","0","802","0","670020044","0","44","30","44","44","44","44","0","0","47","0","44","0","44","44","44","1","44","44","39","44","0","1","10"
"45","45","45","45","1","0","200000001","200200","45","10","12127","0","0","814","0","670020045","0","45","30","45","45","45","45","0","0","47","0","45","0","45","45","45","1","45","45","39","45","0","1","10"
"46","46","46","46","1","0","200000001","200200","46","10","13833","0","0","971","0","670020046","0","46","30","46","46","46","46","0","0","48","0","46","0","46","46","46","1","46","46","40","46","0","1","10"
"47","47","47","47","1","0","200000001","200200","47","10","15539","0","0","1128","0","670020047","0","47","30","47","47","47","47","0","0","49","0","47","0","47","47","47","1","47","47","40","47","0","1","10"
"48","48","48","48","1","0","200000001","200200","48","10","17245","0","0","1284","0","670020048","0","48","30","48","48","48","48","0","0","50","0","48","0","48","48","48","1","48","48","41","48","0","1","10"
