f1c086fd8767211a54f32ae5fb0fe988a163a176f149680edb39a34c6998c538,294b32363baff19e259aa7dfb20fc58b8d20a1b2127ffa2206807a15c48797fb,5a861c409772845b5e3e96f6055bbe80f56f99a0198b5d4ad5e4f0994ddc21db,2f7012e256ad776075790077f8f3d0142d21ee5590c29b7079467dc468950b12,2940b1434e26b7f860cf971ee093286efb173702988e724970607b61429c5120,d4407ab1a993e42cbf11d275c494a7b947e9e0ab25eb7f775fdb51e9d4dc2491,74f4f13380d757c17c3fcaf9585629ed501438bf6efa8708878adf8e5a8ecfdd,a311051800da4deaf6e7b25a7721e667b8dadd32094f478fbe84b1081af5416f,0171e7822f5b9bd6feb94aad487d96f2a0abebe2042592b65e759221f3f16605,b268e3aa70c4af22cc2ae6c9f4efca7a0bfa5c80a063ccb8347b13db1e82e533,30002e9e8dac524fccbfde56c3ce41455c9cd33b682e5a875185262b4dd62a36
"0","5","1010020019","1","1.46","-160","1002","-100","1","travel_exdrama_r_100_raiseup","11"
"","93","1010020020","0","0","0","1002","0","0.4","","0"
"","32","1010020021","1","","0","1002","","10000","",""
"","93","1010020022","0","","","1002","","0.6","",""
"","6","1010020023","","0.12","0","1002","","1000001","",""
"","6","1010020024","","0.12","0","1002","","1000002","",""
"","6","1010020025","","0.12","0","1002","","1000003","",""
"","6","1010020026","","0.12","0","1002","","1000004","",""
"","6","1010020027","","0.12","0","1002","","1000005","",""
"","6","1010020028","","0.12","0","1002","","1","",""
"","93","1010020029","0","","","1002","","0.12","",""
"","91","1010020030","","","","1002","","0","",""
"","31","1010110001","10100","1","1","1011","5","10100","","-350"
"","31","1010110002","10002","0","1","1011","50","10002","","-525"
"","31","1010110003","10101","1","1","1011","-121","10101","","-184"
"","31","1010110004","10102","0","1","1011","5","10102","","-350"
"","31","1010110005","10103","0","1","1011","5","10103","","-350"
"","31","1010110006","10104","0","1","1011","5","10104","","-350"
"0","1","1010110007","1000001","1.46","-200","1011","-470","1","travel_exdrama_r_101_walk","11"
"0","1","1010110008","1000002","1.46","-150","1011","-320","1","travel_exdrama_r_101_walk","1"
"0","5","1010110009","1","1.46","-200","1011","-470","1","travel_exdrama_r_101_walk","12"
"0","5","1010110010","2","1.46","-150","1011","-320","1","travel_exdrama_r_101_walk","2"
"","23","1010120001","se_travel_finish_cave_rare","","","1012","","se_travel","","0"
"","2","1010120002","-500","","0","1012","0.1","1000001","","-200"
"","2","1010120003","-350","","0","1012","0.1","1000002","","-150"
"","2","1010120004","-500","","0","1012","0.1","1","","-200"
"","2","1010120005","-350","","0","1012","0.1","2","","-150"
"0.2","3","1010120006","travel_exdrama_r_101_joy","0.2","1","1012","travel_exdrama_r_101_walk","1000001","","0"
"0.2","3","1010120007","travel_exdrama_r_101_joy","0.2","1","1012","travel_exdrama_r_101_walk","1000002","","0"
"0.2","3","1010120008","travel_exdrama_r_101_joy","0.2","1","1012","travel_exdrama_r_101_walk","1","","0"
"0.2","3","1010120009","travel_exdrama_r_101_joy","0.2","1","1012","travel_exdrama_r_101_walk","2","","0"
"","32","1010120010","0","","","1012","","10101","","0"
"","32","1010120011","1","","","1012","","10102","","0"
"","93","1010120012","0","","","1012","","1.66","",""
"","32","1010120013","1","","","1012","","10101","","0"
"","32","1010120014","0","","","1012","","10102","","0"
"","2","1010120015","-470","","0","1012","0.2","1000001","","-200"
"","2","1010120016","-320","","0","1012","0.2","1000002","","-150"
"","2","1010120017","-470","","0","1012","0.2","1","","-200"
"","2","1010120018","-320","","0","1012","0.2","2","","-150"
"","23","1010130001","se_travel_finish_cave_event","","","1013","","se_travel","","0"
"0","3","1010130002","travel_exdrama_r_101_panic_A","0.2","1","1013","travel_exdrama_r_101_walk","1000001","","0"
"0","3","1010130003","travel_exdrama_r_101_panic_B","0.2","1","1013","travel_exdrama_r_101_walk","1000002","","0"
"0","3","1010130004","travel_exdrama_r_101_panic_A","0.2","1","1013","travel_exdrama_r_101_walk","1","","0"
"0","3","1010130005","travel_exdrama_r_101_panic_B","0.2","1","1013","travel_exdrama_r_101_walk","2","","0"
"","32","1010130006","1","","","1013","","10002","",""
"","32","1010130007","1","","","1013","","10103","",""
"","93","1010130008","0","","","1013","","3","",""
"","32","1010130009","0","","","1013","","10002","",""
"","32","1010130010","0","","","1013","","10103","",""
"0","2","1010140001","-500","0","0","1014","0.1","1000001","","-200"
"0","2","1010140002","-350","0","0","1014","0.1","1000002","","-150"
"0","2","1010140003","-500","0","0","1014","0.1","1","","-200"
"0","2","1010140004","-350","0","0","1014","0.1","2","","-150"
"0","3","1010140005","travel_exdrama_r_finish_B_hand","0","0","1014","","1000001","","0"
"0","3","1010140006","travel_exdrama_r_finish_B_hand","0","0","1014","","1000002","","0"
"0","3","1010140007","travel_exdrama_r_101_finish","0","0","1014","","1","","0"
"0","3","1010140008","travel_exdrama_r_101_finish","0","0","1014","","2","","0"
"","32","1010140009","0","","","1014","","10101","","0"
"","32","1010140010","1","","","1014","","10104","","0"
"","31","1010210001","10200","1","1","1021","5","10200","","-350"
"","31","1010210002","10201","0","1","1021","5","10201","","-350"
"","31","1010210003","10202","0","1","1021","5","10202","","-350"
"","31","1010210004","10203","0","1","1021","86","10203","","-490"
"","31","1010210005","10204","0","1","1021","105","10204","","-200"
"","31","1010210006","10001","0","1","1021","50","10001","","-525"
"0","1","1010210007","1000001","1.46","-180","1021","-490","1","travel_exdrama_r_102_book","1"
"0","1","1010210008","1000002","1.46","-180","1021","-200","1","travel_exdrama_r_102_loupe","2"
"0","5","1010210009","1","1.46","-180","1021","-490","1","travel_exdrama_r_102_book","11"
"0","5","1010210010","2","1.46","-180","1021","-200","1","travel_exdrama_r_102_loupe","12"
"0","5","1010210011","5","2","-136","1021","-339","5","reliclight_none","13"
"","23","1010220001","se_travel_finish_ruins_rare","","","1022","","se_travel","","0"
"0.2","3","1010220002","travel_exdrama_r_102_bookFind_A","0.2","1","1022","travel_exdrama_r_102_book","1000001","","0"
"0.2","3","1010220003","travel_exdrama_r_102_loupeFind_A","0.2","1","1022","travel_exdrama_r_102_loupe","1000002","","0"
"0.2","3","1010220004","travel_exdrama_r_102_bookFind_A","0.2","1","1022","travel_exdrama_r_102_book","1","","0"
"0.2","3","1010220005","travel_exdrama_r_102_loupeFind_A","0.2","1","1022","travel_exdrama_r_102_loupe","2","","0"
"","32","1010220006","1","","","1022","","10202","",""
"","32","1010220007","1","","","1022","","10203","",""
"","32","1010220008","1","","","1022","","10204","",""
"","93","1010220009","0","","","1022","","1.66","",""
"","32","1010220010","0","","","1022","","10202","",""
"","32","1010220011","0","","","1022","","10203","",""
"","32","1010220012","0","","","1022","","10204","",""
"","23","1010230001","se_travel_finish_ruins_event","","","1023","","se_travel","","0"
"0","3","1010230002","travel_exdrama_r_102_bookFind_B","0.2","1","1023","travel_exdrama_r_102_book","1000001","","0"
"0","3","1010230003","travel_exdrama_r_102_loupeFind_B","0.2","1","1023","travel_exdrama_r_102_loupe","1000002","","0"
"0","3","1010230004","travel_exdrama_r_102_bookFind_B","0.2","1","1023","travel_exdrama_r_102_book","1","","0"
"0","3","1010230005","travel_exdrama_r_102_loupeFind_B","0.2","1","1023","travel_exdrama_r_102_loupe","2","","0"
"","3","1010230006","reliclight_on","","","1023","","5","","0"
"","32","1010230007","1","","","1023","","10201","",""
"","32","1010230008","1","","","1023","","10001","",""
"","93","1010230009","0","","","1023","","3","",""
"","32","1010230010","0","","","1023","","10201","",""
"","32","1010230011","0","","","1023","","10001","",""
"","3","1010230012","reliclight_none","","","1023","","5","","0"
"0","4","1010240001","1","0","0","1024","","1000002","","0"
"0","4","1010240002","1","0","0","1024","","2","","0"
"0","3","1010240003","travel_exdrama_r_finish_A","0","0","1024","","1000001","","0"
"0","3","1010240004","travel_exdrama_r_finish_A_front","0","0","1024","","1000002","","0"
"0","3","1010240005","travel_exdrama_r_102_book_finish","0","0","1024","","1","","0"
"0","3","1010240006","travel_exdrama_r_102_loupe_finish","0","0","1024","","2","","0"
"","3","1010240007","reliclight_none","","","1024","","5","","0"
"","31","1010310001","10300","1","1","1031","5","10300","","-350"
"","31","1010310002","10301","0","1","1031","5","10301","","-350"
"","31","1010310003","10302","0","1","1031","5","10302","","-350"
"","31","1010310004","10002","0","1","1031","50","10002","","-525"
"0","1","1010310005","1000001","1.46","-200","1031","-510","1","travel_exdrama_r_103_dig_A","5"
"0","1","1010310006","1000002","1.46","-175","1031","-400","1","travel_exdrama_r_103_dig_B","3"
"0","1","1010310007","1000003","1.46","-140","1031","-190","1","travel_exdrama_r_103_map","1"
"0","5","1010310008","1","1.46","-200","1031","-510","1","travel_exdrama_r_103_dig_A","6"
"0","5","1010310009","2","1.46","-175","1031","-400","1","travel_exdrama_r_103_dig_B","4"
"0","5","1010310010","3","1.46","-140","1031","-190","1","travel_exdrama_r_103_map","2"
"","23","1010320001","se_travel_finish_dig_rare","","","1032","","se_travel","","0"
"0.2","3","1010320002","travel_exdrama_r_103_surprise_A","0.2","1","1032","travel_exdrama_r_103_dig_A","1000001","","0"
"0.2","3","1010320003","travel_exdrama_r_103_surprise_A","0.2","1","1032","travel_exdrama_r_103_dig_B","1000002","","0"
"0.2","3","1010320004","travel_exdrama_r_103_mapSurprise_A","0.2","1","1032","travel_exdrama_r_103_map","1000003","","0"
"0.2","3","1010320005","travel_exdrama_r_103_surprise_A","0.2","1","1032","travel_exdrama_r_103_dig_A","1","","0"
"0.2","3","1010320006","travel_exdrama_r_103_surprise_A","0.2","1","1032","travel_exdrama_r_103_dig_B","2","","0"
"0.2","3","1010320007","travel_exdrama_r_103_mapSurprise_A","0.2","1","1032","travel_exdrama_r_103_map","3","","0"
"","32","1010320008","1","","","1032","","10302","",""
"","93","1010320009","0","","","1032","","1.25","",""
"","32","1010320010","0","","","1032","","10302","",""
"","23","1010330001","se_travel_finish_dig_event","","","1033","","se_travel","","0"
"0","3","1010330002","travel_exdrama_r_103_surprise_B","0.2","1","1033","travel_exdrama_r_103_dig_A","1000001","","0"
"0","3","1010330003","travel_exdrama_r_103_surprise_B","0.2","1","1033","travel_exdrama_r_103_dig_B","1000002","","0"
"0","3","1010330004","travel_exdrama_r_103_mapSurprise_B","0.2","1","1033","travel_exdrama_r_103_map","1000003","","0"
"0","3","1010330005","travel_exdrama_r_103_surprise_B","0.2","1","1033","travel_exdrama_r_103_dig_A","1","","0"
"0","3","1010330006","travel_exdrama_r_103_surprise_B","0.2","1","1033","travel_exdrama_r_103_dig_B","2","","0"
"0","3","1010330007","travel_exdrama_r_103_mapSurprise_B","0.2","1","1033","travel_exdrama_r_103_map","3","","0"
"","32","1010330008","1","","","1033","","10301","",""
"","32","1010330009","1","","","1033","","10002","",""
"","93","1010330010","0","","","1033","","3","",""
"","32","1010330011","0","","","1033","","10301","",""
"","32","1010330012","0","","","1033","","10002","",""
"","4","1010340001","1","","","1034","","1000003","",""
"","4","1010340002","1","","","1034","","3","",""
"0","3","1010340003","travel_exdrama_r_finish_B","0","0","1034","","1000001","","0"
"0","3","1010340004","travel_exdrama_r_finish_B","0","0","1034","","1000002","","0"
"0","3","1010340005","travel_exdrama_r_finish_A_front","0","0","1034","","1000003","","0"
"0","3","1010340006","travel_exdrama_r_103_shovel","0","0","1034","","1","","0"
"0","3","1010340007","travel_exdrama_r_103_shovel","0","0","1034","","2","","0"
"0","3","1010340008","travel_exdrama_r_103_map_finish","0","0","1034","","3","","0"
"","31","1010410001","10400","1","1","1041","5","10400","","-350"
"","31","1010410002","10401","1","1","1041","5","10401","","-350"
"","31","1010410003","10402","0","1","1041","5","10402","","-350"
"","31","1010410004","10403","0","1","1041","5","10403","","-350"
"","31","1010410005","10001","0","1","1041","50","10001","","-525"
"0","1","1010410006","1000001","1.46","-150","1041","-450","1","travel_exdrama_r_104_fishingIdle","12"
"0","1","1010410007","1000002","1.46","-125","1041","-200","1","travel_exdrama_r_104_idle_B","10"
"0","5","1010410008","1","1.46","-150","1041","-450","2","travel_exdrama_r_104_fishingIdle","11"
"0","5","1010410009","10","1","-150","1041","-350","4","none","20"
"","23","1010420001","se_travel_finish_bridge_rare","","","1042","","se_travel","","0"
"0.2","3","1010420002","travel_exdrama_r_104_fishingCatch","0.2","1","1042","travel_exdrama_r_104_fishingIdle","1000001","","0"
"0.2","3","1010420003","travel_exdrama_r_104_glad_B","0.2","1","1042","travel_exdrama_r_104_idle_B","1000002","","0"
"0.2","3","1010420004","travel_exdrama_r_104_fishingCatch","0.2","1","1042","travel_exdrama_r_104_fishingIdle","1","","0"
"0","3","1010420005","fish","0","1","1042","none","10","","0"
"","32","1010420006","1","","","1042","","10402","",""
"","93","1010420007","0","","","1042","","1.25","",""
"","32","1010420008","0","","","1042","","10402","",""
"","23","1010430001","se_travel_finish_bridge_event","","","1043","","se_travel","","0"
"0","3","1010430002","travel_exdrama_r_104_fishingBig","0","1","1043","travel_exdrama_r_104_fishingIdle","1000001","","0"
"0","3","1010430003","travel_exdrama_r_104_surprise_B","0","1","1043","travel_exdrama_r_104_idle_B","1000002","","0"
"0","3","1010430004","travel_exdrama_r_104_fishingBig","0","1","1043","travel_exdrama_r_104_fishingIdle","1","","0"
"","32","1010430005","1","","","1043","","10403","",""
"","32","1010430006","1","","","1043","","10001","",""
"","93","1010430007","0","","","1043","","3","",""
"","32","1010430008","0","","","1043","","10403","",""
"","32","1010430009","0","","","1043","","10001","",""
"","4","1010440001","1","","","1044","","1000002","",""
"0","3","1010440002","travel_exdrama_r_104_fishing_finish","0","0","1044","","1000001","","0"
"0","3","1010440003","travel_exdrama_r_finish_A_front","0","0","1044","","1000002","","0"
"0","3","1010440004","travel_exdrama_r_104_fishing_finish","0.2","0","1044","","1","","0"
"","31","1010510001","10500","1","1","1051","5","10500","","-350"
"","31","1010510002","10501","0","1","1051","-200","10501","","-350"
"","31","1010510003","10001","0","1","1051","50","10001","","-525"
"0","1","1010510004","1000001","1.46","-200","1051","-470","1","travel_exdrama_r_105_netSearch","1"
"0","1","1010510005","1000002","1.46","-220","1051","-200","1","travel_exdrama_r_105_binoculars","2"
"0","5","1010510006","1","1.46","-200","1051","-470","1","travel_exdrama_r_105_netSearch","5"
"0","5","1010510007","2","1.46","-220","1051","-200","1","travel_exdrama_r_105_binoculars","3"
"0","5","1010510008","10","1.46","-230","1051","-350","3","idle","4"
"0.1","3","1010520001","travel_exdrama_r_105_netFind_A","0.2","1","1052","travel_exdrama_r_105_netSearch","1000001","","0"
"0.2","3","1010520002","travel_exdrama_r_105_binocularsFind_A","0.2","1","1052","travel_exdrama_r_105_binoculars","1000002","","0"
"0.1","3","1010520003","travel_exdrama_r_105_netFind_A","0.2","1","1052","travel_exdrama_r_105_netSearch","1","","0"
"0.2","3","1010520004","travel_exdrama_r_105_binocularsFind_A","0.2","1","1052","travel_exdrama_r_105_binoculars","2","","0"
"0.2","3","1010520005","beetle","0.2","1","1052","idle","10","","0"
"","32","1010520006","1","","","1052","","10501","",""
"","93","1010520007","0","","","1052","","1.2","",""
"","32","1010520008","0","","","1052","","10501","",""
"","23","1010530001","se_travel_finish_insects_event","","","1053","","se_travel","","0"
"0","3","1010530002","travel_exdrama_r_105_netFind_B","0.2","1","1053","travel_exdrama_r_105_netSearch","1000001","","0"
"0","3","1010530003","travel_exdrama_r_105_binocularsFind_B","0.2","1","1053","travel_exdrama_r_105_binoculars","1000002","","0"
"0","3","1010530004","travel_exdrama_r_105_netFind_B","0.2","1","1053","travel_exdrama_r_105_netSearch","1","","0"
"0","3","1010530005","travel_exdrama_r_105_binocularsFind_B","0.2","1","1053","travel_exdrama_r_105_binoculars","2","","0"
"0","3","1010530006","butterfly","0.2","1","1053","idle","10","","0"
"","32","1010530007","1","","","1053","","10501","",""
"","32","1010530008","1","","","1053","","10001","",""
"","93","1010530009","0","","","1053","","2.6","",""
"","32","1010530010","0","","","1053","","10501","",""
"","32","1010530011","1","","","1053","","10501","",""
"","93","1010530012","0","","","1053","","0.4","",""
"","32","1010530013","0","","","1053","","10501","",""
"","32","1010530014","0","","","1053","","10001","",""
"","4","1010540001","1","","","1054","","1000002","",""
"","4","1010540002","1","","","1054","","2","",""
"0","3","1010540003","travel_exdrama_r_finish_B_hand","0","0","1054","","1000001","","0"
"0","3","1010540004","travel_exdrama_r_finish_B","0","0","1054","","1000002","","0"
"0","3","1010540005","travel_exdrama_r_105_net_finish","0","0","1054","","1","","0"
"0","3","1010540006","travel_exdrama_r_105_binoculars_finish","0","0","1054","","2","","0"
"0","3","1010540007","stop","0","0","1054","","10","","0"
"","31","1010610001","10600","1","1","1061","5","10600","","-350"
"","31","1010610002","10601","0","1","1061","5","10601","","-350"
"","31","1010610003","10602","0","1","1061","5","10602","","-350"
"","31","1010610004","10603","0","1","1061","5","10603","","-350"
"","31","1010610005","10604","1","1","1061","5","10604","","-350"
"","31","1010610006","10605","1","1","1061","5","10605","","-350"
"","31","1010610007","10001","0","1","1061","50","10001","","-525"
"0","1","1010610008","1000001","1.46","-224","1061","-497","1","travel_exdrama_r_106_idle_A","18"
"0","1","1010610009","1000002","1.46","-116","1061","-208","1","travel_exdrama_r_106_idle_B","2"
"0","5","1010610010","1","1.46","-224","1061","-497","1","travel_exdrama_r_106_idle_A","30"
"0","5","1010610011","2","1.46","-116","1061","-208","1","travel_exdrama_r_000_none","3"
"","23","1010620001","se_travel_finish_beach_rare","","","1062","","se_travel","","0"
"0.2","3","1010620002","travel_exdrama_r_106_rare_A","0","1","1062","travel_exdrama_r_106_idle_A","1000001","","0"
"0.2","3","1010620003","travel_exdrama_r_106_rare_B","0","1","1062","travel_exdrama_r_106_idle_B","1000002","","0"
"0.2","3","1010620004","travel_exdrama_r_106_rare_A","0","1","1062","travel_exdrama_r_106_idle_A","1","","0"
"0.2","3","1010620005","travel_exdrama_r_106_rare_B","0","0","1062","travel_exdrama_r_000_none","2","","0"
"","32","1010620006","1","","","1062","","10603","",""
"","93","1010620007","0","","","1062","","1.2","",""
"","32","1010620008","0","","","1062","","10603","",""
"","23","1010630001","se_travel_finish_beach_event","","","1063","","se_travel","","0"
"0","3","1010630002","travel_exdrama_r_106_memory_A","0","1","1063","travel_exdrama_r_106_idle_A","1000001","","0"
"0","3","1010630003","travel_exdrama_r_106_memory_B","0","1","1063","travel_exdrama_r_106_idle_B","1000002","","0"
"0","3","1010630004","travel_exdrama_r_106_memory_A","0","1","1063","travel_exdrama_r_106_idle_A","1","","0"
"","32","1010630005","1","","","1063","","10601","",""
"","32","1010630006","1","","","1063","","10602","",""
"","32","1010630007","1","","","1063","","10001","",""
"","93","1010630008","0","","","1063","","3","",""
"","32","1010630009","0","","","1063","","10601","",""
"","32","1010630010","0","","","1063","","10602","",""
"","32","1010630011","0","","","1063","","10001","",""
"","4","1010640001","1","","","1064","","1000002","",""
"","4","1010640002","1","","","1064","","1000001","",""
"","4","1010640003","1","","","1064","","2","",""
"0","3","1010640004","travel_exdrama_r_106_finish_A","0","","1064","","1000001","","0"
"0","3","1010640005","travel_exdrama_r_106_finish_B","0","","1064","","1000002","","0"
"0","3","1010640006","travel_exdrama_r_106_rare_A","0","","1064","","1","","0"
"0","3","1010640007","travel_exdrama_r_000_none","0","","1064","","2","","0"
"","31","1010710001","10700","1","1","1071","5","10700","","-350"
"","31","1010710002","10701","1","1","1071","5","10701","","-350"
"","31","1010710003","10702","0","1","1071","5","10702","","-350"
"","31","1010710004","10703","0","1","1071","5","10703","","-350"
"","31","1010710005","10001","0","1","1071","50","10001","","-525"
"0","1","1010710006","1000001","1.46","-170","1071","-470","1","travel_exdrama_r_107_dig_A","32"
"1","1","1010710007","1000002","1.46","-170","1071","-215","1","travel_exdrama_r_107_dig_B","30"
"0","5","1010710008","1","1.46","-170","1071","-470","1","travel_exdrama_r_107_dig_A","33"
"1","5","1010710009","10","1.46","-170","1071","-215","1","travel_exdrama_r_107_dig_B","31"
"","23","1010720001","se_travel_finish_raredrop","","","1072","","se_travel","","0"
"0.2","3","1010720002","travel_exdrama_r_107_joy","0.2","1","1072","travel_exdrama_r_107_dig_A","1000001","","0"
"0.2","3","1010720003","travel_exdrama_r_107_joy","0.2","1","1072","travel_exdrama_r_107_dig_B","1000002","","0"
"0.2","3","1010720004","travel_exdrama_r_107_joy","0.2","1","1072","travel_exdrama_r_107_dig_A","1","","0"
"0.2","3","1010720005","travel_exdrama_r_107_joy","0.2","1","1072","travel_exdrama_r_107_dig_B","10","","0"
"","32","1010720006","0","","","1072","","10701","",""
"","32","1010720007","1","","","1072","","10702","",""
"","93","1010720008","0","","","1072","","1.4","",""
"","32","1010720009","1","","","1072","","10701","",""
"","32","1010720010","0","","","1072","","10702","",""
"","23","1010730001","se_travel_finish_memory_event","","","1073","","se_travel","","0"
"0","3","1010730002","travel_exdrama_r_107_surprise_A","0.2","1","1073","travel_exdrama_r_107_dig_A","1000001","","0"
"0","3","1010730003","travel_exdrama_r_107_surprise_B","0.2","1","1073","travel_exdrama_r_107_dig_B","1000002","","0"
"0","3","1010730004","travel_exdrama_r_107_surprise_A","0.2","1","1073","travel_exdrama_r_107_dig_A","1","","0"
"0","3","1010730005","travel_exdrama_r_107_surprise_B","0.2","1","1073","travel_exdrama_r_107_dig_B","10","","0"
"","32","1010730006","1","","","1073","","10703","",""
"","32","1010730007","1","","","1073","","10001","",""
"","32","1010730008","0","","","1073","","10701","",""
"","93","1010730009","0","","","1073","","3","",""
"","32","1010730010","0","","","1073","","10703","",""
"","32","1010730011","0","","","1073","","10001","",""
"","32","1010730012","1","","","1073","","10701","",""
"","4","1010740001","1","","","1074","","1000002","",""
"","4","1010740002","1","","","1074","","10","",""
"0","3","1010740003","travel_exdrama_r_finish_B_hand","0","0","1074","","1000001","","0"
"0","3","1010740004","travel_exdrama_r_finish_B_hand","0","0","1074","","1000002","","0"
"0","3","1010740005","travel_exdrama_r_107_finish_A","0","0","1074","","1","","0"
"0","3","1010740006","travel_exdrama_r_107_finish_A","0","0","1074","","10","","0"
"","32","1010740007","0","","","1074","","10701","",""
"","31","1010810001","10800","1","1","1081","5","10800","","-350"
"","31","1010810002","10401","1","1","1081","5","10401","","-350"
"","31","1010810003","10402","0","1","1081","5","10402","","-350"
"","31","1010810004","10403","0","1","1081","5","10403","","-350"
"","31","1010810005","10001","0","1","1081","50","10001","","-525"
"0","1","1010810006","1000001","1.46","-150","1081","-450","1","travel_exdrama_r_104_fishingIdle","12"
"0","1","1010810007","1000002","1.46","-125","1081","-200","1","travel_exdrama_r_104_idle_B","10"
"0","5","1010810008","1","1.46","-150","1081","-450","2","travel_exdrama_r_104_fishingIdle","11"
"0","5","1010810009","10","1","-150","1081","-350","4","none","20"
"","23","1010820001","se_travel_finish_bridge_rare","","","1082","","se_travel","","0"
"0.2","3","1010820002","travel_exdrama_r_104_fishingCatch","0.2","1","1082","travel_exdrama_r_104_fishingIdle","1000001","","0"
"0.2","3","1010820003","travel_exdrama_r_104_glad_B","0.2","1","1082","travel_exdrama_r_104_idle_B","1000002","","0"
"0.2","3","1010820004","travel_exdrama_r_104_fishingCatch","0.2","1","1082","travel_exdrama_r_104_fishingIdle","1","","0"
"0","3","1010820005","fish","0","1","1082","none","10","","0"
"","32","1010820006","1","","","1082","","10402","",""
"","93","1010820007","0","","","1082","","1.25","",""
"","32","1010820008","0","","","1082","","10402","",""
"","23","1010830001","se_travel_finish_bridge_event","","","1083","","se_travel","","0"
"0","3","1010830002","travel_exdrama_r_104_fishingBig","0","1","1083","travel_exdrama_r_104_fishingIdle","1000001","","0"
"0","3","1010830003","travel_exdrama_r_104_surprise_B","0","1","1083","travel_exdrama_r_104_idle_B","1000002","","0"
"0","3","1010830004","travel_exdrama_r_104_fishingBig","0","1","1083","travel_exdrama_r_104_fishingIdle","1","","0"
