1dbea46304994e7a7fb03a68fcbb21a50172fad5f4e3677e5275082ed33b93f7,ee485cbda794bd38e8553558be4689281d84c0d525c7fe5702b390e4c7f85853,051d158d9b19ce7e74eca6d25ba56da7448c59815808220d53f2eb26b3ec7602,bd75de3fa96048f42f77fbe148be334c8dd428f4658dcf9e17272985ed43bd73,0cc0cc5f6ed567f852ce2c6f14e1515e1cbcdc53b769323c70f426f80525bba6,303322328e0c5ab906a18cdac070a6bb22dcebbe624018afb5919767b3f7a726,c42209ca45148f1c1e3451caacd61eb0ae5b61654aa0601d9d76e07d6e5e397e
"7","1","5","0","1","1","10"
"7","1","6","0","2","5","12"
"7","1","7","0","2","5","11"
"7","1","8","0","2","8","10"
"7","1","9","0","1","2","8"
"7","1","10","0","1","8","7"
"7","1","11","0","2","4","9"
"8","2","1","0","1","1","10"
"8","1","2","0","2","12","10"
"8","1","3","0","1","12","5"
"8","1","4","0","1","5","12"
"8","1","5","0","2","1","10"
"8","1","6","0","1","5","12"
"8","1","7","0","1","5","12"
"8","1","8","0","2","1","10"
"8","1","9","0","2","8","9"
"8","2","10","0","1","4","9"
"9","1","1","0","1","4","8"
"9","1","2","0","1","5","10"
"9","1","3","0","2","4","7"
"9","1","4","0","2","6","8"
"9","1","5","0","1","1","10"
"9","1","6","0","1","11","11"
"9","1","7","0","1","1","6"
"9","1","8","0","2","5","8"
"9","1","9","0","2","8","7"
"9","1","10","0","1","4","6"
"10","1","1","0","2","11","10"
"10","1","2","0","1","1","7"
"10","2","3","0","1","8","8"
"10","1","4","0","2","5","9"
"10","1","5","0","1","10","8"
"10","2","6","0","1","1","7"
"10","2","7","0","1","2","6"
"10","1","8","0","1","11","10"
"10","1","9","0","2","8","10"
"11","1","1","0","1","9","8"
"11","1","2","0","2","5","0"
"11","1","3","0","2","6","12"
"11","1","4","0","1","1","5"
"11","1","5","0","2","5","10"
"11","1","6","0","2","6","12"
"11","1","7","0","1","1","4"
"11","1","8","0","1","11","0"
"11","1","9","0","1","6","0"
"11","1","10","0","2","1","10"
"11","1","11","0","1","6","11"
"11","1","12","0","2","1","12"
"11","1","13","0","2","5","6"
"11","1","14","0","1","10","7"
"11","1","15","0","2","4","7"
"12","1","1","0","2","11","4"
"12","1","2","0","1","1","5"
"12","1","3","0","2","6","10"
"12","1","4","0","2","5","10"
"12","1","5","0","1","11","0"
"12","1","6","0","2","6","0"
"12","1","7","0","2","12","17"
"12","1","8","0","1","5","1"
"12","1","9","0","1","1","2"
"12","1","10","0","2","6","10"
"12","1","11","0","2","4","10"
"12","1","12","0","1","1","0"
"12","1","13","0","1","5","13"
"12","1","14","0","2","11","8"
"12","1","15","0","1","8","10"
"13","1","1","0","1","11","10"
"13","1","2","0","3","11","8"
"13","1","3","0","2","6","0"
"13","1","4","0","1","11","10"
"13","1","5","0","2","11","7"
"13","1","6","0","3","2","6"
"13","1","7","1500","3","1","0"
"13","3","8","0","1","11","5"
"13","1","9","0","3","5","10"
"13","1","10","0","2","1","4"
"13","1","11","0","1","1","4"
"13","1","12","0","3","6","6"
"13","1","13","0","1","4","6"
"13","3","14","0","1","9","10"
"13","1","15","0","3","8","10"
"13","1","16","0","1","4","6"
"13","1","17","0","3","1","0"
"13","1","18","0","2","8","8"
"14","1","1","0","1","11","0"
"14","2","2","0","1","2","13"
"14","1","3","0","3","11","10"
"14","1","4","0","1","1","10"
"14","2","5","0","1","4","10"
"14","1","6","0","2","11","0"
"14","1","7","0","2","1","0"
"14","1","8","0","1","1","10"
"14","1","9","0","3","12","12"
"14","1","10","0","3","12","12"
"14","1","11","0","3","5","0"
"14","1","12","0","1","5","12"
"14","2","13","0","1","10","6"
"14","1","14","0","1","11","10"
"14","3","15","0","1","10","6"
"14","1","16","0","1","11","10"
"14","3","17","0","1","2","6"
"14","2","18","0","1","10","6"
"14","1","19","0","1","11","4"
"14","1","20","0","2","8","10"
"14","3","21","0","1","8","4"
"15","1","1","0","2","12","10"
"15","1","2","0","1","12","12"
"15","1","3","0","3","11","12"
"15","1","4","0","1","11","6"
"15","1","5","0","2","12","12"
"15","1","6","0","2","5","0"
"15","1","7","0","1","11","12"
"15","1","8","0","1","1","0"
"15","1","9","0","1","5","0"
"15","2","10","0","1","12","12"
"15","1","11","0","3","11","0"
"15","1","12","0","3","12","11"
"15","1","13","0","2","1","9"
"15","1","14","0","1","1","12"
"15","1","15","0","1","12","0"
"15","1","16","0","1","12","9"
"15","1","17","0","2","11","4"
"15","3","18","0","1","11","4"
"15","1","19","0","2","5","12"
"15","1","20","0","2","12","0"
"15","1","21","0","2","12","7"
"15","3","22","0","1","12","12"
"15","3","23","0","1","1","7"
"15","1","24","0","3","4","0"
"15","3","25","0","1","4","10"
"15","1","26","0","2","8","0"
"15","1","27","0","1","11","0"
"15","1","28","0","2","11","0"
"16","1","1","0","1","6","0"
"16","1","2","0","2","11","10"
"16","1","3","0","3","12","0"
"16","1","4","0","2","4","0"
"16","1","5","0","1","6","12"
"16","1","6","0","1","6","0"
"16","1","7","0","2","4","4"
"16","1","8","0","3","5","4"
"16","1","9","0","3","1","0"
"16","1","10","0","1","12","17"
"16","1","11","0","2","11","0"
"16","1","12","0","3","1","10"
"16","1","13","0","2","11","11"
"16","1","14","0","3","11","0"
"16","1","15","0","1","12","12"
"16","1","16","0","1","11","10"
"16","1","17","0","1","11","10"
"16","1","18","0","1","6","6"
"16","1","19","0","2","11","6"
"16","1","20","0","3","1","8"
"16","1","21","0","3","5","8"
"16","1","22","0","1","4","9"
"16","1","23","0","1","11","10"
"17","1","1","0","1","11","4"
"17","3","2","0","1","4","10"
"17","1","3","0","1","11","4"
"17","1","4","0","1","1","0"
"17","2","5","0","1","1","10"
"17","1","6","0","2","11","4"
"17","2","7","0","1","1","10"
"17","1","8","0","2","11","4"
"17","1","9","0","3","1","0"
"17","2","10","0","1","8","10"
"17","1","11","0","1","12","12"
"17","1","12","0","3","11","4"
"17","3","13","0","1","1","4"
"17","1","14","0","1","11","10"
"17","2","15","0","1","1","0"
"17","2","16","0","1","11","4"
"17","2","17","0","1","8","7"
"17","1","18","0","1","11","0"
"17","3","19","0","1","2","6"
"17","1","20","0","1","10","10"
"17","1","21","0","2","11","10"
"17","1","22","0","3","8","7"
"18","1","1","0","1","11","4"
"18","2","2","0","1","5","13"
"18","1","3","0","1","4","10"
"18","1","4","0","2","4","10"
"18","1","5","0","3","11","10"
"18","3","6","0","1","5","7"
"18","1","7","0","1","11","10"
"18","1","8","0","3","4","10"
"18","1","9","0","2","11","10"
"18","3","10","0","1","5","6"
"18","1","11","0","1","11","10"
"18","1","12","0","2","11","10"
"18","1","13","0","3","4","10"
"18","2","14","0","1","5","8"
"18","2","15","0","1","6","6"
"18","1","16","0","3","10","0"
"18","1","17","0","2","10","0"
"18","1","18","0","1","10","0"
"18","2","19","0","1","10","7"
"18","1","20","0","1","8","10"
"18","1","21","0","1","11","10"
"18","2","22","0","1","2","9"
"19","2","1","0","1","13","0"
"19","2","2","0","1","4","8"
"19","2","3","0","1","8","0"
"20","2","1","0","1","14","10"
"20","2","2","0","1","8","0"
"21","2","1","0","1","15","13"
"22","2","1","0","1","15","0"
"22","2","2","0","1","13","0"
"23","2","1","0","1","42","0"
"23","2","2","0","1","72","0"
"24","2","1","0","1","43","0"
"25","2","1","0","1","44","0"
"26","2","1","0","1","45","0"
"27","2","1","0","1","46","0"
"28","2","1","0","1","47","0"
"29","2","1","0","1","14","0"
"30","1","1","0","1","15","0"
"30","1","2","0","2","8","0"
"30","1","3","0","1","10","13"
"30","1","4","0","2","10","13"
"30","1","5","0","2","12","9"
"30","1","6","0","1","72","6"
"30","2","7","0","1","2","8"
"30","2","8","0","1","13","0"
"31","1","1","0","1","4","8"
"31","1","2","0","2","1","0"
"31","1","3","0","1","10","6"
"31","1","4","0","2","4","0"
"31","1","5","0","1","9","7"
"31","1","6","0","2","1","0"
"32","1","1","0","1","10","6"
"32","1","2","0","2","10","13"
"32","1","3","0","3","1","0"
"32","1","4","0","2","2","11"
"32","1","5","0","1","2","8"
"32","1","6","0","3","1","0"
"32","1","7","0","3","72","7"
"33","1","1","0","3","6","0"
"33","3","2","0","1","10","13"
"33","1","3","0","3","3","3"
"33","3","4","0","1","72","0"
"33","1","5","0","3","12","2"
"34","2","1","0","1","4","6"
"34","1","2","0","1","5","7"
"34","1","3","0","2","1","0"
"34","1","4","0","2","12","8"
"34","1","5","0","1","1","0"
"34","2","6","0","1","15","0"
"35","2","1","0","1","8","0"
"35","2","2","0","1","72","10"
"35","2","3","0","1","13","0"
"36","2","1","0","1","4","0"
"36","1","2","0","1","6","6"
"36","1","3","0","1","1","0"
"36","1","4","0","2","72","10"
"36","1","5","0","2","9","0"
"36","2","6","0","2","2","7"
"37","2","1","0","1","8","7"
"37","1","2","0","1","4","0"
"37","1","3","0","2","5","0"
"37","2","4","0","1","13","6"
"38","2","1","0","1","13","10"
"38","1","2","0","1","5","8"
"38","1","3","0","2","6","7"
"38","1","4","0","1","1","0"
"38","1","5","0","2","9","7"
"38","1","6","0","2","15","13"
"38","2","7","0","1","8","0"
"39","2","1","0","1","4","6"
"39","1","2","0","1","6","13"
"39","1","3","0","2","72","10"
"39","2","4","0","1","13","6"
