18f16390a36fbb9732243ea28e9c5391ae23ab4672a992833bd374b12db3b143,c42e9ee7b60520304297dba3ba428de7a8eeb7579a35cbbac7ce4dd8fea72f9f,eb6ff5df53b86b72dcb5e1fc5113e701156c613ec441d44bb4982c9f405dab68,86944d40129a68dc00c4782ba6cdb03763be2bae66dcc598065418b45df2aed6,8d8b67e74b6e1fde7084f8dedd4a789d610488ff3c300de46ef8df989d23bf10,ecfbd288de9ca3760c042d13ea461df21eeb78a1ec535a0ee63c99cc4103ab3f,d5f98bce54e07bfe44add30c64806bdd1a32e43a63237e57d65f7b51c1de3106
"72022021","討伐NORMAL BOSS解放！","28","112301","[3C404E]討伐NORMAL BOSS解放！","20022","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72025021","討伐NORMAL BOSS解放！","29","113001","[3C404E]討伐NORMAL BOSS解放！","20025","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72026021","討伐NORMAL BOSS解放！","30","113201","[3C404E]討伐NORMAL BOSS解放！","20026","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72027021","討伐NORMAL BOSS解放！","31","113501","[3C404E]討伐NORMAL BOSS解放！","20027","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72029021","討伐NORMAL BOSS解放！","32","114101","[3C404E]討伐NORMAL BOSS解放！","20029","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72031021","討伐NORMAL BOSS解放！","33","114601","[3C404E]討伐NORMAL BOSS解放！","20031","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72032021","討伐NORMAL BOSS解放！","34","114701","[3C404E]討伐NORMAL BOSS解放！","20032","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72033021","討伐NORMAL BOSS解放！","35","115601","[3C404E]討伐NORMAL BOSS解放！","20033","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72035021","討伐NORMAL BOSS解放！","36","115801","[3C404E]討伐NORMAL BOSS解放！","20035","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72038021","討伐NORMAL BOSS解放！","37","116801","[3C404E]討伐NORMAL BOSS解放！","20038","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72040021","討伐NORMAL BOSS解放！","38","117401","[3C404E]討伐NORMAL BOSS解放！","20040","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72042021","討伐NORMAL BOSS解放！","39","117801","[3C404E]討伐NORMAL BOSS解放！","20042","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72044021","討伐NORMAL BOSS解放！","40","119201","[3C404E]討伐NORMAL BOSS解放！","20044","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72045021","討伐NORMAL BOSS解放！","41","120801","[3C404E]討伐NORMAL BOSS解放！","20045","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72047021","討伐NORMAL BOSS解放！","42","121201","[3C404E]討伐NORMAL BOSS解放！","20047","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72051021","討伐NORMAL BOSS解放！","43","122101","[3C404E]討伐NORMAL BOSS解放！","20051","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72052021","討伐NORMAL BOSS解放！","44","122401","[3C404E]討伐NORMAL BOSS解放！","20052","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72053021","討伐NORMAL BOSS解放！","45","122801","[3C404E]討伐NORMAL BOSS解放！","20053","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72055021","討伐NORMAL BOSS解放！","46","123501","[3C404E]討伐NORMAL BOSS解放！","20055","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72057021","討伐NORMAL BOSS解放！","47","124101","[3C404E]討伐NORMAL BOSS解放！","20057","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72058021","討伐NORMAL BOSS解放！","48","124701","[3C404E]討伐NORMAL BOSS解放！","20058","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72059021","討伐NORMAL BOSS解放！","49","124901","[3C404E]討伐NORMAL BOSS解放！","20059","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72063021","討伐NORMAL BOSS解放！","50","125701","[3C404E]討伐NORMAL BOSS解放！","20063","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
