871cf31d3548b72ac6967a0355d4b3786210ef743029dc2fd0d90abb950561dc,d1514dade7b12a3a2060424b250f91defdf2b10d9bdef7435f1265cb454959d1,a01eaec5a4ab9c7aafdbfdc0188f4693c95ba91c791fa30b0e27324ad7cf40bc,5fc9069247759b671e65fe5fd67b4b53abecd9f5006bfb6e15b7e908ca1ce71e,17ea265348b4b91edcf2b04d684c933397dfa658b984838b1dc3e11044c647fb,debff7e13eb02c065535b89c62d519ca29ae1a49ff9e10696a7e059e15ffc3c8,88ad14bcde56d8cddcf5d473bd575d656e3eb843e3875644f2079e85688be63e
"72025021","113001","[3C404E]討伐NORMAL BOSS解放！","29","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20025"
"72026021","113201","[3C404E]討伐NORMAL BOSS解放！","30","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20026"
"72027021","113501","[3C404E]討伐NORMAL BOSS解放！","31","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20027"
"72029021","114101","[3C404E]討伐NORMAL BOSS解放！","32","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20029"
"72031021","114601","[3C404E]討伐NORMAL BOSS解放！","33","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20031"
"72032021","114701","[3C404E]討伐NORMAL BOSS解放！","34","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20032"
"72033021","115601","[3C404E]討伐NORMAL BOSS解放！","35","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20033"
"72035021","115801","[3C404E]討伐NORMAL BOSS解放！","36","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20035"
"72038021","116801","[3C404E]討伐NORMAL BOSS解放！","37","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20038"
"72040021","117401","[3C404E]討伐NORMAL BOSS解放！","38","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20040"
"72042021","117801","[3C404E]討伐NORMAL BOSS解放！","39","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20042"
"72044021","119201","[3C404E]討伐NORMAL BOSS解放！","40","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20044"
"72045021","120801","[3C404E]討伐NORMAL BOSS解放！","41","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20045"
"72047021","121201","[3C404E]討伐NORMAL BOSS解放！","42","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20047"
"72051021","122101","[3C404E]討伐NORMAL BOSS解放！","43","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20051"
"72052021","122401","[3C404E]討伐NORMAL BOSS解放！","44","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20052"
"72053021","122801","[3C404E]討伐NORMAL BOSS解放！","45","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20053"
"72055021","123501","[3C404E]討伐NORMAL BOSS解放！","46","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20055"
