7e05466457324951baea6b9a5a65b89e1c1cd0370039d54c4a95e932d1aa3d8b,5daa91962491b46730429bade013572072c95d943a0d8e24dd1ebf6eb68eac87,b852e73034ba19aeab10455edd56be38d1a4cd7c11aa5453b2079d93b375edb6,dc0836d50db6ba4c93a3a0c7c44109466f9b23bbe8eba67611d5023d98c84324,b3bb1eaf287b3440af380bb4854cd7b2d7e055ebca9a846e6157c6d013a2d062,07fc7a9043eb442a08d12f328719807640136d8b5e78f8da15a9e1dec7f473e8,4a12b3271b03e6e3f95f0c487f23d22f30e9df51b268d10ea209f49023949830,5e627ae31afd30cf604dc006ef20791272e43376a5b06fd748f71a7d92d838fc,11510b9c1c9e18faa90df83fc935cf73e24ec10294040e4e5b3fed7aef687580,f8f92b8b5a90fbba8a19f7f4d8b3ec792a7fae2f850f2f00e1189cf6c9032ea1,7965be2ff84a429d69f34d6d99a6c38690859678e4d9c25c9a27599f5d3ab394,03b35a895d6cb763d2680c220a5c9584b1a6f89a0d7bf707dd4066271a8ff887,a6c8ba8a3f2717f552040490e9dc33f7fbbe10d85d687e1bcd92827ccb2dd5b3
"102","10102","1","2023/01/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M623","bgm_M623"
"104","10104","1","2023/02/26 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M630","bgm_M630"
"106","10106","1","2023/03/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M638","bgm_M638"
"108","10108","1","2023/04/28 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M647","bgm_M647"
"110","10110","1","2023/05/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M659","bgm_M659"
"111","10111","1","2023/05/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M660","bgm_M660"
"114","10114","1","2023/06/28 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M668","bgm_M668"
"116","10116","1","2023/07/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC017","bgm_MC017"
"118","10118","1","2023/08/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC026","bgm_MC026"
"120","10120","1","2023/09/28 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC036","bgm_MC036"
"122","10122","1","2023/10/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC046","bgm_MC046"
"124","10124","1","2023/11/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC056","bgm_MC056"
"126","10126","1","2023/12/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC063","bgm_MC063"
"128","10128","1","2024/01/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC075","bgm_MC075"
"130","10130","1","2024/02/27 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC082","bgm_MC082"
"132","10132","1","2024/03/30 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC091","bgm_MC091"
"134","10134","1","2024/04/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC099","bgm_MC099"
"136","10136","1","2024/05/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC110","bgm_MC110"
"137","10137","1","2024/05/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC111","bgm_MC111"
"140","10140","1","2024/06/28 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC124","bgm_MC124"
"142","10142","1","2024/07/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC136","bgm_MC136"
"144","10144","1","2024/08/29 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_MC143","bgm_MC143"
"20001","20001","1","2020/07/02 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M33","bgm_M33"
"20002","20002","1","2020/08/03 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M99","bgm_M99"
"20003","20003","1","2020/09/04 16:00:00","2030/03/26 14:59:00","380000","380000","0","0","0","0","bgm_M107","bgm_M107"
