272038e9bd6d96081628dc98a91fa57edd396008a8fa010068d9c75b2841931a,a3e6fff519c4b25eb6593144df6cbae9895b47ef0b6b52e54d85a0ef3f76668d,3c9edf54a05085f59cd1b3aa526391e8e35b2f104c3a9c2671cd603f0179f3e9,0c7ccbc6c0c51ebeab5464ef87cae17b257c08c8066a4773a1de7a6a0d8ed19e,cd51636ed28f34abe551be3f6e3d87e9b52f16eb6e4bb0fd8a3f203060d698ba,e3fe1f4ee2f1c5942b9c41e98f76d4b8a35ac9eb1c0349d4bf6f6339ee847c4c,5b1e6997ce936a0f2b3a3b6afeac2ebd5bd23342127c6d42ffdbb7a7e611514f,14a3068402db9fd72c244bb5eb85946b1b8eee9c2f24dd7153e75b1dc4cde55d
"1","","srt_kaya_waiting","「{0}」嗎？\n接著是由「{1}」韻所開頭的詞呢。","PLAYER_TURN1","srt_dragon_thinking","","srt_inori_thinking"
"1","","srt_kaya_waiting","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞有……","PLAYER_TURN2","srt_dragon_thinking","","srt_inori_thinking"
"1","","srt_kaya_waiting","原來如此，是「{0}」呢。\n唔呣，由「{1}」韻作為開頭的詞有……","PLAYER_TURN3","srt_dragon_thinking","","srt_inori_thinking"
"1","","srt_kaya_waiting","哎呀，是「{0}」嗎？\n「{1}」這個韻有點特別，只要是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n都可以用來接「{1}」韻所開頭的詞呢。","PLAYER_TURN_TW1","srt_dragon_thinking","","srt_inori_thinking"
"1","","srt_kaya_waiting","哇啊，是「{0}」嗎？\n如果是「{1}」這個韻的話，像是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n跟「{1}」這個韻也是可以接上的喔！所以……","PLAYER_TURN_TW2","srt_dragon_thinking","","srt_inori_thinking"
"1","","srt_kaya_waiting","原來是「{0}」嗎？\n「{1}」這個韻可以接其他的注音，例如\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個發音，\n唔呣，所以我要選的詞應該是……","PLAYER_TURN_TW3","srt_dragon_thinking","","srt_inori_thinking"
"1","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053","","","PLAYER_CUTIN_GREAT","","",""
"1","sugoyomi_cutin_050,sugoyomi_cutin_052","","","PLAYER_CUTIN_PRICONNE","","",""
"1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","「{0}」！","PLAYER_SELECT1","srt_dragon_select_1,srt_dragon_idle","","srt_inori_select_1,srt_inori_idle"
"1","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","是「{0}」呀！","PLAYER_SELECT2","srt_dragon_select_2,srt_dragon_idle","","srt_inori_select_2,srt_inori_idle"
"1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","「{0}」這個詞如何！","PLAYER_SELECT_GREAT1","srt_dragon_select_1,srt_dragon_idle","","srt_inori_select_1,srt_inori_idle"
"1","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","哼哼～♪「{0}」！","PLAYER_SELECT_GREAT2","srt_dragon_select_2,srt_dragon_idle","","srt_inori_select_2,srt_inori_idle"
"1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","呵呵呵，那就是\n「{0}」了！","PLAYER_SELECT_PRECONNE1","srt_dragon_select_1,srt_dragon_idle","","srt_inori_select_1,srt_inori_idle"
"1","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","腦中靈光一閃！\n是「{0}」呀！","PLAYER_SELECT_PRECONNE2","srt_dragon_select_2,srt_dragon_idle","","srt_inori_select_2,srt_inori_idle"
"-1","","","","PLAYER_SELECT_WAIT","","",""
"1","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","srt_kaya_react_3,srt_kaya_waiting","哇嗚！我、我搞錯了……","PLAYER_MISS","srt_dragon_miss,srt_dragon_thinking","","srt_inori_miss,srt_inori_thinking"
"2","out_070","srt_kaya_react_4","喂喂，尾音是「鼻音」耶……","PLAYER_SELECT_N","","","srt_inori_shock"
"1","rush","srt_kaya_infever","我要積極進攻囉！","INFEVER","srt_dragon_thinking","","srt_inori_thinking"
"1","correct_028-correct_029,correct_037-correct_038","","「{0}」！","FEVER_SELECT1","srt_dragon_select_1","","srt_inori_select_1"
"1","correct_030-correct_031,correct_035-correct_036","","是「{0}」呀！","FEVER_SELECT2","srt_dragon_select_2","","srt_inori_select_2"
"1","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","","哇嗚！我、我搞錯了……","FEVER_MISS","srt_dragon_miss","","srt_inori_miss"
"1","rush_attack","srt_kaya_fever_damage","給我覺悟吧！","FEVER_DAMAGE","srt_dragon_fever_attack","","srt_inori_fever_attack"
"1","win_005-win_006,win_012-win_013","srt_kaya_lose","是我贏了！！","WIN_HP","srt_dragon_win","","srt_inori_win_1"
"1","win_005-win_006,win_012-win_013","","是我贏了！！","WIN_N","srt_dragon_win","","srt_inori_win_1"
"1","lose_017,lose_019,lose_023","srt_kaya_win","嗚嗚……是我輸了……","LOSE_MISS","srt_dragon_lose","","srt_inori_lose"
"1","lose_017,lose_019,lose_023","","嗚嗚……是我輸了……","LOSE_N","srt_dragon_miss","",""
"1","lose_025/lose_026-boss_emote_068,lose_021","srt_kaya_win","時、時間到了嗎！？我太大意了…… ","TIMEUP","srt_dragon_lose","","srt_inori_lose"
"1","lose_017,lose_019,lose_023","srt_kaya_win","嗚嗚……是我輸了……\n沒想到還有「{0}」可以接……","LOSE_MISS2","srt_dragon_lose","","srt_inori_lose"
"1","lose_017,lose_019,lose_023","","嗚嗚……是我輸了……\n應該還有「{0}」這個詞可以用……","LOSE_N2","srt_dragon_miss","",""
"1","lose_025/lose_026-boss_emote_068,lose_021","srt_kaya_win","時、時間到了嗎！？我太大意了…… \n應該要選「{0}」這個詞才對……","TIMEUP2","srt_dragon_lose","","srt_inori_lose"
