780399ef91f91ed1ad22e472e841d7020d797a19c285e1ae54ac022791fff335,bb9074d09cd96c3316b671587d33d085f1f04d58e12ade61d16d6cb088126fad,5dda0ec1c84c5e1edc724cb9a064c6ff35cfad1c818062ea6ce65419fddb6187,a718a1857b0a0b7fc8880f7fb0db3661f801407e10be2d2865a9d89d27cf1236,2bb9a3a2612697583b3da3b2922dfaf195e5843d8a9397ad9217db464bccc7ff,661d59e66d0677639383988fead496753b79ffbea5403768d393036b9452bcb1,fc43d9a38cdbc2e325238de0e67723df9df736e954872778ceff488f227f7b98,18227fffbe094cbe0749308ac8d0105aec004cde34128946b24b08ed353cb0c3,591547cb5e98f48a5bda1e82d99937e675f92467e6ef9b338072c204eac98b7d,cfd44e05bdd89dd99e78be6874b8af643e4324877e78796084ba04e0161e3826,66886144c5a78dd0d9d19a085982329ab7df7d782ae713e67eb454876fffcbc7
"91","0","","","0","13510005","","351","","",""
"2","1050","","","<unit_id>","13510006","","351","10","","-180"
"2","1050","","","1","13510007","","351","10","","-180"
"33","1050","","","1","13510008","","351","10","","-180"
"23","se_fpc_water_random","","","se_10053800","13520001","","352","","",""
"1","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","1","13520002","-180","352","-850","0","23"
"5","1","cmn_swm_flutterKick_floatBoad_blue","1.75","1","13520003","-180","352","-850","0","22"
"31","1","","1","1","13520004","1","352","-180","","-850"
"91","0","","","0","13520005","","352","","",""
"2","1050","","","<unit_id>","13520006","","352","10","","-180"
"2","1050","","","1","13520007","","352","10","","-180"
"33","1050","","","1","13520008","","352","10","","-180"
"23","se_fpc_water_random","","","se_10053800","14010001","","401","","",""
"1","<unit_id>","cmn_float","1.75","1","14010002","-180","401","-850","0","22"
"31","6","","1","6","14010003","1","401","-180","","-850"
"91","0","","","0","14010004","","401","","",""
"2","1050","","","<unit_id>","14010005","","401","10","","-180"
"33","1050","","","6","14010006","","401","10","","-180"
"23","se_fpc_water_random","","","se_10053800","14020001","","402","","",""
"1","<unit_id>","cmn_float_4","1.75","1","14020002","-180","402","-850","0","22"
"31","6","","1","6","14020003","1","402","-180","","-850"
"91","0","","","0","14020004","","402","","",""
"2","1050","","","<unit_id>","14020005","","402","10","","-180"
"33","1050","","","6","14020006","","402","10","","-180"
"23","se_fpc_water_random","","","se_10053800","14510001","","451","","",""
"1","<unit_id>","cmn_crawl","1.75","1","14510002","-180","451","-850","0","22"
"31","1","","1","1","14510003","1","451","-180","","-850"
"91","0","","","0","14510004","","451","","",""
"2","1050","","","<unit_id>","14510005","","451","10","","-180"
"33","1050","","","1","14510006","","451","10","","-180"
"23","se_fpc_water_random","","","se_10053800","15010001","","501","","",""
"1","<unit_id>","cmn_surfing","1.75","1","15010002","-250","501","-850","0","45"
"5","6","cmn_surfing","1.75","6","15010003","-250","501","-850","0","44"
"31","11","","1","11","15010004","1","501","-250","","-850"
"91","0","","","0","15010005","","501","","",""
"2","1800","","","<unit_id>","15010006","","501","6","","-250"
"2","1800","","","6","15010007","","501","6","","-250"
"33","1800","","","11","15010008","","501","6","","-250"
"23","se_10053800_surfing_wave","","","se_10053800","15010009","","501","","",""
"23","se_fpc_water_random","","","se_10053800","18510001","","851","","",""
"1","107511","cmn_surfing","1.75","1","18510002","-125","851","-850","0","45"
"1","107611","cmn_surfing","1.75","1","18510003","-250","851","-1100","0","45"
"1","107811","cmn_surfing","1.75","1","18510004","-125","851","-1350","0","45"
"5","1","cmn_surfing","1.75","6","18510005","-125","851","-850","0","44"
"5","2","cmn_surfing","1.75","6","18510006","-250","851","-1100","0","44"
"5","3","cmn_surfing","1.75","6","18510007","-125","851","-1350","0","44"
"31","1","","1","11","18510008","1","851","-125","","-850"
"31","2","","1","11","18510009","1","851","-250","","-1100"
"31","3","","1","11","18510010","1","851","-125","","-1350"
"2","2350","","","107511","18510011","","851","6","","-125"
"2","2100","","","107611","18510012","","851","6","","-250"
"2","1850","","","107811","18510013","","851","6","","-125"
"2","2350","","","1","18510014","","851","6","","-125"
"2","2100","","","2","18510015","","851","6","","-250"
"2","1850","","","3","18510016","","851","6","","-125"
"33","2350","","","1","18510017","","851","6","","-125"
"33","2100","","","2","18510018","","851","6","","-250"
"33","1850","","","3","18510019","","851","6","","-125"
"23","se_10053800_surfing_wave","","","se_10053800","18510020","","851","","",""
"93","","","","0.3","18510021","","851","","",""
"21","vo_fpc_85101","","","vo_fpc","18510022","","851","0","",""
"23","se_fpc_water_random","","","se_10053800","18520001","","852","","",""
"1","122411","cmn_swm_flutterKick_floatRing","1.75","1","18520002","-125","852","-850","0","13"
"1","122511","cmn_swm_flutterKick_floatRing","1.75","1","18520003","-250","852","-1100","0","33"
"1","122611","cmn_swm_flutterKick_floatRing","1.75","1","18520004","-125","852","-1350","0","13"
"5","1","cmn_swm_flutterKick_floatRing","1.75","1","18520005","-125","852","-850","0","12"
"5","2","cmn_swm_flutterKick_floatRing_blue","1.75","1","18520006","-250","852","-1100","0","32"
"5","3","cmn_swm_flutterKick_floatRing_pink","1.75","1","18520007","-125","852","-1350","0","12"
"31","1","","1","7","18520008","1","852","-125","","-850"
"31","2","","1","1","18520009","1","852","-250","","-1100"
"31","3","","1","7","18520010","1","852","-125","","-1350"
"2","1750","","","122411","18520011","","852","10","","-125"
"2","1500","","","122511","18520012","","852","10","","-250"
"2","1250","","","122611","18520013","","852","10","","-125"
"2","1750","","","1","18520014","","852","10","","-125"
"2","1500","","","2","18520015","","852","10","","-250"
"2","1250","","","3","18520016","","852","10","","-125"
"33","1750","","","1","18520017","","852","10","","-125"
"33","1500","","","2","18520018","","852","10","","-250"
"33","1250","","","3","18520019","","852","10","","-125"
"23","se_fpc_water_random","","","se_10053800","18530001","","853","","",""
"1","117211","cmn_swm_breastStroke","1.75","1","18530002","-125","853","-850","0","12"
"1","117311","cmn_swm_breastStroke","1.75","1","18530003","-250","853","-1100","0","32"
"1","117411","cmn_swm_breastStroke","1.75","1","18530004","-125","853","-1350","0","12"
"31","1","","1","2","18530005","1","853","-125","","-850"
"31","2","","1","2","18530006","1","853","-250","","-1100"
"31","3","","1","2","18530007","1","853","-125","","-1350"
"2","1750","","","117211","18530008","","853","10","","-125"
"2","1500","","","117311","18530009","","853","10","","-250"
"2","1250","","","117411","18530010","","853","10","","-125"
"33","1750","","","1","18530011","","853","10","","-125"
"33","1500","","","2","18530012","","853","10","","-250"
"33","1250","","","3","18530013","","853","10","","-125"
"23","se_fpc_water_random","","","se_10053800","18540001","","854","","",""
"1","122711","cmn_swm_flutterKick_floatRing","1.75","1","18540002","-125","854","-850","0","13"
"1","122811","cmn_swm_flutterKick_floatRing","1.75","1","18540003","-250","854","-1100","0","33"
"1","122911","cmn_swm_flutterKick_floatRing","1.75","1","18540004","-125","854","-1350","0","13"
"5","1","cmn_swm_flutterKick_floatBoad","1.75","1","18540005","-125","854","-850","0","12"
"5","2","cmn_swm_flutterKick_floatBoad_blue","1.75","1","18540006","-250","854","-1100","0","32"
"5","3","cmn_swm_flutterKick_floatBoad","1.75","1","18540007","-125","854","-1350","0","12"
"31","1","","1","7","18540008","1","854","-125","","-850"
"31","2","","1","1","18540009","1","854","-250","","-1100"
"31","3","","1","7","18540010","1","854","-125","","-1350"
"2","1750","","","122711","18540011","","854","10","","-125"
"2","1500","","","122811","18540012","","854","10","","-250"
"2","1250","","","122911","18540013","","854","10","","-125"
"2","1750","","","1","18540014","","854","10","","-125"
"2","1500","","","2","18540015","","854","10","","-250"
"2","1250","","","3","18540016","","854","10","","-125"
"33","1750","","","1","18540017","","854","10","","-125"
"33","1500","","","2","18540018","","854","10","","-250"
"33","1250","","","3","18540019","","854","10","","-125"
"23","se_fpc_water_random","","","se_10053800","18550001","","855","","",""
"1","113411","cmn_swm_flutterKick_floatRing","1.75","1","18550002","-125","855","-850","0","13"
"1","113511","cmn_swm_flutterKick_floatRing","1.75","1","18550003","-250","855","-1100","0","33"
"5","1","cmn_swm_flutterKick_floatBoad","1.75","1","18550004","-125","855","-850","0","12"
"5","2","cmn_swm_flutterKick_floatBoad_blue","1.75","1","18550005","-250","855","-1100","0","32"
"31","1","","1","7","18550006","1","855","-125","","-850"
"31","2","","1","1","18550007","1","855","-250","","-1100"
"2","1750","","","113411","18550008","","855","10","","-125"
"2","1500","","","113511","18550009","","855","10","","-250"
"2","1750","","","1","18550010","","855","10","","-125"
"2","1500","","","2","18550011","","855","10","","-250"
"33","1750","","","1","18550012","","855","10","","-125"
"33","1500","","","2","18550013","","855","10","","-250"
"23","se_fpc_water_random","","","se_10053800","18560001","","856","","",""
"1","110311","cmn_swm_tread","1.75","1","18560002","-125","856","-850","0","13"
"1","107711","cmn_swm_tread","1.75","1","18560003","-250","856","-1100","0","33"
"5","1","cmn_swm_tread_pink","1.75","1","18560004","-125","856","-850","0","12"
"5","2","cmn_swm_tread","1.75","1","18560005","-250","856","-1100","0","32"
"31","1","","1","13","18560006","1","856","-125","","-850"
"31","2","","1","3","18560007","1","856","-250","","-1100"
"2","1750","","","110311","18560008","","856","13.5","","-125"
"2","1500","","","107711","18560009","","856","13.5","","-250"
"2","1750","","","1","18560010","","856","13.5","","-125"
"2","1500","","","2","18560011","","856","13.5","","-250"
"33","1750","","","1","18560012","","856","13.5","","-125"
"33","1500","","","2","18560013","","856","13.5","","-250"
"23","se_fpc_water_random","","","se_10053800","18570001","","857","","",""
"1","110411","cmn_swm_tread","1.75","1","18570002","-125","857","-850","0","13"
"1","110511","cmn_swm_tread","1.75","1","18570003","-250","857","-1100","0","33"
"1","115711","cmn_swm_tread","1.75","1","18570004","-125","857","-1350","0","13"
"1","110611","cmn_boat_relax","1.75","1","18570005","-250","857","-1600","0","33"
"5","1","cmn_swm_tread_blue","1.75","1","18570006","-125","857","-850","0","12"
"5","2","cmn_swm_tread","1.75","1","18570007","-250","857","-1100","0","32"
"5","3","cmn_swm_tread_pink","1.75","1","18570008","-125","857","-1350","0","12"
"5","4","cmn_boat_idle_l","1.75","2","18570009","-250","857","-1600","0","32"
"31","1","","1","13","18570010","1","857","-125","","-850"
"31","2","","1","3","18570011","1","857","-250","","-1100"
"31","3","","1","13","18570012","1","857","-125","","-1350"
"31","4","","1","116","18570013","1","857","-250","","-1600"
"2","1750","","","110411","18570014","","857","13.5","","-125"
"2","1500","","","110511","18570015","","857","13.5","","-250"
"2","1250","","","115711","18570016","","857","13.5","","-125"
"2","1000","","","110611","18570017","","857","13.5","","-250"
"2","1750","","","1","18570018","","857","13.5","","-125"
"2","1500","","","2","18570019","","857","13.5","","-250"
"2","1250","","","3","18570020","","857","13.5","","-125"
"2","1000","","","4","18570021","","857","13.5","","-250"
"33","1750","","","1","18570022","","857","13.5","","-125"
"33","1500","","","2","18570023","","857","13.5","","-250"
"33","1250","","","3","18570024","","857","13.5","","-125"
"33","1000","","","4","18570025","","857","13.5","","-250"
"23","se_fpc_water_random","","","se_10053800","18580001","","858","","",""
"1","126711","cmn_swm_tread","1.75","1","18580002","-125","858","-850","0","13"
"1","126711","cmn_swm_tread","1.75","1","18580003","-125","858","-850","0","13"
"1","126811","cmn_swm_tread","1.75","1","18580004","-250","858","-1100","0","33"
"1","108011","cmn_swm_tread","1.75","1","18580005","-125","858","-1350","0","13"
"1","107911","cmn_boat_cat","1.75","1","18580006","-250","858","-1600","0","33"
"5","1","cmn_swm_tread_pink","1.75","1","18580007","-125","858","-850","0","12"
"5","2","cmn_swm_tread","1.75","1","18580008","-250","858","-1100","0","32"
"5","3","cmn_swm_tread_blue","1.75","1","18580009","-125","858","-1350","0","12"
"5","4","cmn_boat_idle_l","1.75","2","18580010","-250","858","-1600","0","32"
"31","1","","1","13","18580011","1","858","-125","","-850"
"31","2","","1","3","18580012","1","858","-250","","-1100"
"31","3","","1","13","18580013","1","858","-125","","-1350"
"31","4","","1","116","18580014","1","858","-250","","-1600"
"2","1750","","","126711","18580015","","858","13.5","","-125"
"2","1500","","","126811","18580016","","858","13.5","","-250"
"2","1250","","","108011","18580017","","858","13.5","","-125"
"2","1000","","","107911","18580018","","858","13.5","","-250"
"2","1750","","","1","18580019","","858","13.5","","-125"
"2","1500","","","2","18580020","","858","13.5","","-250"
"2","1250","","","3","18580021","","858","13.5","","-125"
"2","1000","","","4","18580022","","858","13.5","","-250"
"33","1750","","","1","18580023","","858","13.5","","-125"
"33","1500","","","2","18580024","","858","13.5","","-250"
"33","1250","","","3","18580025","","858","13.5","","-125"
"33","1000","","","4","18580026","","858","13.5","","-250"
"23","se_fpc_water_random","","","se_10053800","18590001","","859","","",""
"1","113111","cmn_surfing","1.75","1","18590002","-125","859","-850","0","45"
"1","113211","cmn_surfing","1.75","1","18590003","-250","859","-1100","0","45"
"1","113311","cmn_surfing","1.75","1","18590004","-125","859","-1350","0","45"
"1","117011","cmn_surfing","1.75","1","18590005","-250","859","-1600","0","45"
"5","1","cmn_surfing","1.75","6","18590006","-125","859","-850","0","44"
"5","2","cmn_surfing","1.75","6","18590007","-250","859","-1100","0","44"
"5","3","cmn_surfing","1.75","6","18590008","-125","859","-1350","0","44"
"5","4","cmn_surfing","1.75","6","18590009","-250","859","-1600","0","44"
"31","1","","1","11","18590010","1","859","-125","","-850"
"31","2","","1","11","18590011","1","859","-250","","-1100"
"31","3","","1","11","18590012","1","859","-125","","-1350"
"31","4","","1","11","18590013","1","859","-250","","-1600"
"2","2350","","","113111","18590014","","859","6","","-125"
"2","2100","","","113211","18590015","","859","6","","-250"
"2","1850","","","113311","18590016","","859","6","","-125"
"2","1600","","","117011","18590017","","859","6","","-250"
"2","2350","","","1","18590018","","859","6","","-125"
"2","2100","","","2","18590019","","859","6","","-250"
"2","1850","","","3","18590020","","859","6","","-125"
"2","1600","","","4","18590021","","859","6","","-250"
"33","2350","","","1","18590022","","859","6","","-125"
"33","2100","","","2","18590023","","859","6","","-250"
"33","1850","","","3","18590024","","859","6","","-125"
"33","1600","","","4","18590025","","859","6","","-250"
"23","se_10053800_surfing_wave","","","se_10053800","18590026","","859","","",""
"93","","","","0.3","18590027","","859","","",""
"21","vo_fpc_85901","","","vo_fpc","18590028","","859","0","",""
"23","se_fpc_water_random","","","se_10053800","18600001","","860","","",""
"1","110011","cmn_boat_relax_l","1.75","1","18600002","-180","860","-850","0","23"
"1","110111","cmn_boat_relax","1.75","1","18600003","-180","860","-1200","0","23"
"5","1","cmn_boat_idle_blue","1.75","2","18600004","-180","860","-850","0","22"
"5","2","cmn_boat_idle_l","1.75","2","18600005","-180","860","-1200","0","22"
"31","1","","1","116","18600006","1","860","-180","","-850"
"31","2","","1","116","18600007","1","860","-180","","-1200"
"2","1750","","","110011","18600008","","860","13.5","","-180"
"2","1400","","","110111","18600009","","860","13.5","","-180"
"2","1750","","","1","18600010","","860","13.5","","-180"
"2","1400","","","2","18600011","","860","13.5","","-180"
"33","1750","","","1","18600012","","860","13.5","","-180"
"33","1400","","","2","18600013","","860","13.5","","-180"
"93","","","","2.7","18600014","","860","","",""
"21","vo_fpc_86001","","","vo_fpc","18600015","","860","0","",""
"23","se_fpc_water_random","","","se_10053800","18610001","","861","","",""
"1","129511","cmn_swm_tread","1.75","1","18610002","-125","861","-850","0","13"
"1","129411","cmn_swm_tread","1.75","1","18610003","-250","861","-1100","0","33"
"1","129311","cmn_swm_tread","1.75","1","18610004","-125","861","-1350","0","13"
"5","1","cmn_swm_tread_pink","1.75","1","18610005","-125","861","-850","0","12"
"5","2","cmn_swm_tread_blue","1.75","1","18610006","-250","861","-1100","0","32"
"5","3","cmn_swm_tread","1.75","1","18610007","-125","861","-1350","0","12"
"31","1","","1","13","18610008","1","861","-125","","-850"
"31","2","","1","3","18610009","1","861","-250","","-1100"
"31","3","","1","13","18610010","1","861","-125","","-1350"
"2","1750","","","129511","18610011","","861","13.5","","-125"
"2","1500","","","129411","18610012","","861","13.5","","-250"
"2","1250","","","129311","18610013","","861","13.5","","-125"
"2","1750","","","1","18610014","","861","13.5","","-125"
"2","1500","","","2","18610015","","861","13.5","","-250"
"2","1250","","","3","18610016","","861","13.5","","-125"
"33","1750","","","1","18610017","","861","13.5","","-125"
"33","1500","","","2","18610018","","861","13.5","","-250"
"33","1250","","","3","18610019","","861","13.5","","-125"
"23","se_fpc_water_random","","","se_10053800","18620001","","862","","",""
"1","126711","cmn_swm_tread","1.75","1","18620002","-125","862","-850","0","13"
"1","126811","cmn_swm_tread","1.75","1","18620003","-250","862","-1100","0","33"
"5","21","02_neneka_floatRing","1.66","21","18620004","-180","862","-1350","0","22"
"5","1","cmn_swm_tread","1.75","1","18620005","-125","862","-850","0","12"
"5","2","cmn_swm_tread_blue","1.75","1","18620006","-250","862","-1100","0","32"
"31","1","","1","13","18620007","1","862","-125","","-850"
"31","2","","1","3","18620008","1","862","-250","","-1100"
"31","3","","1","102","18620009","1","862","-180","","-1350"
"2","1750","","","126711","18620010","","862","13.5","","-125"
"2","1500","","","126811","18620011","","862","13.5","","-250"
"2","1250","","","21","18620012","","862","13.5","","-180"
"2","1750","","","1","18620013","","862","13.5","","-125"
"2","1500","","","2","18620014","","862","13.5","","-250"
"33","1750","","","1","18620015","","862","13.5","","-125"
"33","1500","","","2","18620016","","862","13.5","","-250"
"33","1250","","","3","18620017","","862","13.5","","-180"
"23","se_fpc_water_random","","","se_10053800","18630001","","863","","",""
"1","126911","cmn_float","1.75","1","18630002","-180","863","-1100","1","22"
"1","127011","cmn_float","1.75","1","18630003","-125","863","-1350","0","12"
"1","127111","cmn_float","1.75","1","18630004","-180","863","-1600","0","22"
"31","2","","1","6","18630005","1","863","-180","","-1070"
"31","3","","1","6","18630006","1","863","-125","","-1350"
"31","4","","1","6","18630007","1","863","-180","","-1600"
"2","1500","","","126911","18630008","","863","13.5","","-180"
"2","1250","","","127011","18630009","","863","13.5","","-125"
"2","1000","","","127111","18630010","","863","13.5","","-180"
"33","1530","","","2","18630011","","863","13.5","","-180"
"33","1250","","","3","18630012","","863","13.5","","-125"
"33","1000","","","4","18630013","","863","13.5","","-180"
"93","","","","2.3","18630014","","863","","",""
"21","vo_fpc_86301","","","vo_fpc","18630015","","863","0","",""
"23","se_fpc_water_random","","","se_10053800","18640001","","864","","",""
"1","107811","cmn_surfing","1.75","1","18640002","-125","864","-850","0","45"
"1","110011","cmn_surfing","1.75","1","18640003","-250","864","-1100","0","45"
"5","1","cmn_surfing","1.75","6","18640004","-125","864","-850","0","44"
"5","2","cmn_surfing","1.75","6","18640005","-250","864","-1100","0","44"
"31","1","","1","11","18640006","1","864","-125","","-850"
"31","2","","1","11","18640007","1","864","-250","","-1100"
"2","2350","","","107811","18640008","","864","6","","-125"
"2","2100","","","110011","18640009","","864","6","","-250"
"2","2350","","","1","18640010","","864","6","","-125"
"2","2100","","","2","18640011","","864","6","","-250"
"33","2350","","","1","18640012","","864","6","","-125"
"33","2100","","","2","18640013","","864","6","","-250"
"23","se_10053800_surfing_wave","","","se_10053800","18640014","","864","","",""
"93","","","","0.2","18640015","","864","","",""
"21","vo_fpc_86401","","","vo_fpc","18640016","","864","0","",""
"23","se_fpc_water_random","","","se_10053800","18650001","","865","","",""
"1","110311","cmn_swm_flutterKick_floatRing","1.75","1","18650002","-125","865","-850","0","13"
"1","113111","cmn_swm_flutterKick_floatRing","1.75","1","18650003","-250","865","-1100","0","33"
"5","1","cmn_swm_flutterKick_floatRing_pink","1.75","1","18650004","-125","865","-850","0","12"
"5","2","cmn_swm_flutterKick_floatRing_blue","1.75","1","18650005","-250","865","-1100","0","32"
"31","1","","1","7","18650006","1","865","-125","","-850"
"31","2","","1","1","18650007","1","865","-250","","-1100"
"2","1750","","","110311","18650008","","865","10","","-125"
"2","1500","","","113111","18650009","","865","10","","-250"
"2","1750","","","1","18650010","","865","10","","-125"
"2","1500","","","2","18650011","","865","10","","-250"
"33","1750","","","1","18650012","","865","10","","-125"
"33","1500","","","2","18650013","","865","10","","-250"
"23","se_fpc_water_random","","","se_10053800","18660001","","866","","",""
"1","113411","cmn_swm_flutterKick_floatRing","1.75","1","18660002","-125","866","-850","0","13"
"1","115711","cmn_swm_flutterKick_floatRing","1.75","1","18660003","-250","866","-1100","0","33"
"5","1","cmn_swm_flutterKick_floatRing_pink","1.75","1","18660004","-125","866","-850","0","12"
"5","2","cmn_swm_flutterKick_floatRing_blue","1.75","1","18660005","-250","866","-1100","0","32"
"31","1","","1","7","18660006","1","866","-125","","-850"
"31","2","","1","1","18660007","1","866","-250","","-1100"
"2","1750","","","113411","18660008","","866","10","","-125"
"2","1500","","","115711","18660009","","866","10","","-250"
"2","1750","","","1","18660010","","866","10","","-125"
"2","1500","","","2","18660011","","866","10","","-250"
"33","1750","","","1","18660012","","866","10","","-125"
"33","1500","","","2","18660013","","866","10","","-250"
"23","se_fpc_water_random","","","se_10053800","18670001","","867","","",""
"1","113211","cmn_swm_tread","1.75","1","18670002","-125","867","-850","0","13"
"1","127111","cmn_swm_tread","1.75","1","18670003","-250","867","-1100","0","33"
"5","1","cmn_swm_tread_pink","1.75","1","18670004","-125","867","-850","0","12"
"5","2","cmn_swm_tread_blue","1.75","1","18670005","-250","867","-1100","0","32"
"31","1","","1","13","18670006","1","867","-125","","-850"
"31","2","","1","3","18670007","1","867","-250","","-1100"
"2","1750","","","113211","18670008","","867","13.5","","-125"
"2","1500","","","127111","18670009","","867","13.5","","-250"
"2","1750","","","1","18670010","","867","13.5","","-125"
"2","1500","","","2","18670011","","867","13.5","","-250"
"33","1750","","","1","18670012","","867","13.5","","-125"
"33","1500","","","2","18670013","","867","13.5","","-250"
"23","se_fpc_water_random","","","se_10053800","18680001","","868","","",""
"1","117011","cmn_swm_diving","1.75","1","18680002","-125","868","-850","0","12"
"1","117111","cmn_swm_diving","1.75","1","18680003","-180","868","-1100","0","22"
"31","1","","1","9","18680004","1","868","-125","","-850"
"31","2","","1","9","18680005","1","868","-180","","-1100"
"2","1750","","","117011","18680006","","868","13.5","","-125"
"2","1500","","","117111","18680007","","868","13.5","","-180"
"33","1750","","","1","18680008","","868","13.5","","-125"
"33","1500","","","2","18680009","","868","13.5","","-180"
"23","se_fpc_water_random","","","se_10053800","18690001","","869","","",""
"1","110511","cmn_swm_flutterKick_floatRing","1.75","1","18690002","-125","869","-850","0","13"
"1","110011","cmn_swm_flutterKick_floatRing","1.75","1","18690003","-250","869","-1100","0","33"
"5","1","cmn_swm_flutterKick_floatBoad","1.75","1","18690004","-125","869","-850","0","12"
"5","2","cmn_swm_flutterKick_floatBoad_blue","1.75","1","18690005","-250","869","-1100","0","32"
"31","1","","1","7","18690006","1","869","-125","","-850"
"31","2","","1","1","18690007","1","869","-250","","-1100"
"2","1750","","","110511","18690008","","869","10","","-125"
