de0c804a0b14abd056f701b14688e3c8b3c21a3c8c5e1ce7de575168a771d253,b61297f54e6b177bb1b4c86a63fcce05022ab873fcd26e37938fe14529477837,4e76fabf13fad3e28784c3e6b7551e3fd4403e915e60bb496208ffea20a2bc4e,fd781b8538eaa9ef4544570e1841751e4c166ced8d5a391fd1189da60adce536,60d36de850525f6fb5767927ca0f95c8bc2ff250398431482b84711a3f396acb,71137e375bb90bf4d503a05d66bfe499cc37f35febebbe58bcd204708841a089,4429c130e3ebc9d0069ca793d522fa7cff5b529299b71e0eeea10671e65bb041,d653a32826bdd5486854285be078cea937b6be66e6e9575084c4e03defa81bc0,c6f7689ccaf6a6a7c01b9b0466fc69ccee80f688e094675346e0099bd88cd3b2,d3860c8e6afc790058df97e5d446d71da082f3301cfea9f54b663452f9f2dfe1,db2b1fe06e621b7d6204bcf626644d32ddc2e118c9c7742af7872dae50d32fb4
"2059","","","","","","","R","","",""
"2060","","","","","","","R","","",""
"2062","","","","","","","","S","",""
"2063","S","","","","","A","","E","S",""
"2064","A","E","O","R","C","","","A","","F"
"2065","S","","","","","A","","","",""
"2066","","","","","","","C","","",""
"2067","","","","","","B","","","",""
"2068","","","","","","I","L","","",""
"2069","","","","","","","C","E","",""
"2070","","","","","","E","","","D",""
"2071","I","","","","","A","","","N",""
"2074","A","","","","","","","C","",""
"2077","A","","","","","","","A","",""
"2078","","","","","","L","","R","",""
"2080","G","","","","","E","O","MF","E",""
"2081","","","","","","","F","","",""
"2084","","","","無","","","","","",""
"2085","H","","","","","P","A","L","E",""
"2086","EO","","","","","","AI","","",""
"2092","","","","","","","P","","",""
"2093","","","","","","","","C","",""
"2096","","","","","","","萬","","",""
"2101","華麗","","","","","華","","","",""
"2102","","","","","","","","e","",""
"2149","l","","","","","","","","e",""
"2167","","","","","","","聖","誕","",""
"2194","","","萊","","","","佛","","","布"
"2200","","","","加","","多","","耳","",""
"2237","","","莉","思","","","","","游","艾"
"2244","","","","","","","","a","",""
"2278","","","","","","","聖","誕","",""
"2279","","美","鏡","華","美","","契","","",""
"2280","","智","","","栞","","","","",""
"2281","","緒","空","花","伊","","","","",""
"2282","","夜","祈","梨","嘉","","希","","",""
"2284","","","桃","綾","音","","","","","胡"
"2294","A","","","","","","E","","",""
"2297","B","","","","","","","A","",""
"2301","Y","","","","","A","","W","S",""
"2302","S","","","","","O","","M","T",""
"2305","","","","","","","","A","",""
"2309","I","","","","","","A","P","L",""
"3003","","","","","","","","二","",""
"3005","","","","","","","","一三","",""
"3006","","","參","","","","","一二","",""
"3008","","","","","","","三十","","",""
"3012","","","","衣","","","","得","",""
"3093","","","","","","","冬","夜","",""
"3106","","","","","","","亞","","",""
"3180","","","","","","i","","h","",""
"3187","婆","","妻","","夫","多","","公","",""
"3195","","","","","","","b","","",""
"3274","","","","","","","座","再","",""
"3302","","","","","","","二三","","",""
"4003","鋰鈉銣","","","","","鋰鉀銣","氧氰","鈉鉀","鋰鈉鉀",""
"4004","鍶鐳","","","","","鋇鐳","鍶鋇","鍶鐳","鍶鋇",""
"4010","","","","","","","","","","愛衣"
"4013","","","","","","","","","","愛衣"
"4034","氖氬氙","","","","","氦氖","氧氬氪","氬氪氙","氦氖氬氪",""
"4035","","","","","","","裴","","","加"
"4040","","","","","","","熱寒","","",""
"4041","","","","","","","熱溫","","",""
"4042","E","","","","","N","","","",""
"4062","","","","","","","","O","",""
"4069","乙","","","","","","乙四","銷","",""
"4072","","","","","","","網","版","",""
"4110","大","","","","","","大","西","西",""
"4143","","","","","","二","","","",""
"4144","","","","","","一三","","","",""
"4145","","","","","","一二","","","",""
"4153","","","","","","","氫","氧","",""
"4154","","帶","","","","","","","",""
"4157","","","","","","異","","","",""
"4158","","","昇","","","","","","",""
"4159","","","","","","","","","二三",""
"4161","","","","","","","","","一三",""
"4167","","","","","","同","","","",""
"4194","倍","","","","","","","小","",""
"4195","約","","","","","","","大","",""
"4196","","","","底","","","","","","高"
"4197","","","","","","","半","","",""
"5010","a","","","","","","","o","",""
"5013","","","","","","","伊","比","",""
"5027","鹽","","","","司","","印","","","愛"
"5031","e","","","","","","","e","",""
"5056","e","","","","","","","a","",""
"5070","e","","","","","s","","","",""
"5076","","","","","","","","餅","餅",""
"5079","","","","","","","上前","","",""
"5082","","","","","","","肩","","",""
"5098","","","","","","","微","","",""
"5102","BC","","","","","AB","大喊","","AC",""
"5103","","","","","","","","布","",""
"5162","","","","醜","","","西","","",""
"5164","","","","","","","固","定","",""
"5183","","","","","","","","左","",""
"5185","","","","","","","","右","",""
"5193","戌酉子","","牛","虎","","戌卯辰","卯辰戌","戌酉卯","卯戌子",""
"6008","藍","","底","","","","","","雀",""
"6010","","","e","e","","u","","u","",""
"6012","線","","","","","","","","",""
"6013","","","","","","","","面","",""
"6015","k","","","","","m","G","o","",""
"6022","","","","","","m","","o","",""
"6049","","","","","","","單二","","",""
"6073","","","","","","","","","火",""
"6075","","","","","","巨","","","",""
"6076","a","","","","","","","","",""
"6082","e","","","","","","","","",""
"6084","","","","","","a","C","","",""
"6097","n","","","","","u","","","w",""
"6098","","","","","","出","","","","湖"
"6135","","","","與或","依","","","莉","莉","茜"
"6136","","","","","","","","","喵",""
"6139","霖","","","","","呼","鈴","嚕","",""
"6179","","","","得","","","","","",""
