21d5c614279a088a4b029294a0e163db2b5764fe7631ef60bea95fab9b2427a5,8949c99784347ece7f119ce8b1e3f3ae48ebd35391af712a53049443f5bad1e2,f380a78c1dbc76cee071bba07a4c567274b4d2751f3326dbb5f1ea5d8f813a83,bfa50a79af0923e955651dc6264e28b8b940b966a9720b6a7579b0446319c5e6,f68f2240de392a2b50bcad5fc2376091b45bb7488c7dd22319b6c848a219a323,b86dc61b89ab78af8734d1b1b6d9e171458fa53124a315880131fb29f645d8c1,3f69ec8584ffd99033b07e32c0808a9b6dc74fc5702cda14a52d3775cc588bd8,936476e10bb2a541c57e04716aba1bde6f418dd244334fd0a72a71ca725b2972
"1","9","【料理】變得無法食用移動系的料理。","52017","0","24","0","1"
"1","1","【料理】投擲的骰子一定會丟出「3」。","52018","0","25","0","1"
"1","1","【料理】投擲的骰子一定會丟出「8」。","52019","0","26","0","1"
"3","2","【事件】跳過下次的回合數計算","98011","0","27","0","2"
"3","2","【事件】跳過下次的回合數計算","98012","0","28","0","2"
"2","10","【料理】移動時將可以跳過里程格。","52020","0","29","0","1"
"1","1","【料理】下次移動時，將多移動1格。","52020","2","30","2","1"
"2","10","【料理】移動時可以跳過寶物格。","52021","0","31","0","1"
"1","1","【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。","52022","0","32","0","1"
"1","1","【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」","52023","0","33","0","1"
"1","1","【料理】下次移動時多前進3格","52024","0","34","0","1"
"2","10","【料理】移動時可以跳過「里程格」及「寶物格」。","52025","0","35","0","1"
"1","1","【料理】骰子只會丟出「5」","52027","0","36","0","1"
"1","1","【料理】投擲的骰子\n只會丟出「1、2」。","52028","0","37","0","1"
"1","1","【料理】投擲的骰子一定會丟出「2」。","52029","0","38","0","1"
"3","2","【料理】跳過下次的回合數計算","52029","0","39","0","1"
"3","4","【事件】里程商店的所有商品折價20%以上","8","0","40","0","2"
"3","11","【料理】將「里程格」變成「寶物格」。","52030","0","41","0","1"
"1","1","【料理】下次投擲的骰子\n會丟出「1、6、6、6、8、8」。","52031","0","42","0","1"
"2","10","【料理】移動時可以跳過料理格","52032","0","43","0","1"
"1","8","【料理】移動時可以跳過里程格","52034","0","44","0","1"
"1","99","取得最大n里程","1","0","1001","0","3"
"1","99","重新擲1次骰子","2","0","1002","0","3"
"1","99","重新擲1次骰子_有效回合2","3","0","1003","0","3"
"1","126501","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1001","0","11001","0","3"
"1","105301","【夥伴】取得最大1000里程","1002","0","11002","0","3"
"1","126401","【夥伴】取得1個料理","1003","0","11003","0","3"
"1","100501","【夥伴】重新擲1次骰子","1004","0","11004","0","3"
"1","101301","【夥伴】重新擲2次骰子","1005","0","11005","0","3"
"1","104301","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","1006","0","11006","0","3"
"1","102701","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","1007","0","11007","0","3"
"1","100901","【夥伴】追加投擲骰子直到數字合計為7以上","1008","0","11008","0","3"
"1","105101","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1009","0","11009","0","3"
"1","101801","【夥伴】取得最大1000里程","1010","0","11010","0","3"
"1","129701","【夥伴】可以選擇使用骰子的正面或背面","1011","0","11011","0","3"
"1","101601","【夥伴】重新擲1次骰子","1012","0","11012","0","3"
"1","105601","【夥伴】重新擲2次骰子","1013","0","11013","0","3"
"1","102001","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","1014","0","11014","0","3"
"1","129601","【夥伴】追加投擲骰子直到數字合計為7以上","1015","0","11015","0","3"
"1","100401","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","1016","0","11016","0","3"
"1","127701","【夥伴】骰子擲出偶數時，多前進1格。","1017","0","11017","0","3"
"1","127801","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","1018","0","11018","0","3"
"1","104801","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1019","0","11019","0","3"
"1","104701","【夥伴】重新擲2次骰子","1020","0","11020","0","3"
"1","105001","【夥伴】追加投擲骰子直到數字合計為7以上","1021","0","11021","0","3"
"1","103201","【夥伴】取得最大2000里程","1022","0","11022","0","3"
"1","130901","【夥伴】取得1張抽獎券","1023","0","11023","0","3"
"1","102501","【夥伴】取得1個料理","1024","0","11024","0","3"
"1","100801","【夥伴】可以選擇使用骰子的正面或背面","1025","0","11025","0","3"
"1","123301","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","1026","0","11026","0","3"
"1","104601","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1027","0","11027","0","3"
"1","118101","【夥伴】重新擲2次骰子","1028","0","11028","0","3"
"1","103401","【夥伴】追加投擲骰子直到數字合計為7以上","1029","0","11029","0","3"
"1","118001","【夥伴】取得最大2000里程","1030","0","11030","0","3"
"1","102801","【夥伴】取得1張抽獎券","1031","0","11031","0","3"
"1","100201","【夥伴】取得1個料理","1032","0","11032","0","3"
"1","101201","【夥伴】骰子擲出奇數時，多前進1格。","1033","0","11033","0","3"
"1","118201","【夥伴】重新擲1次骰子","1034","0","11034","0","3"
"1","106101","【夥伴】追加投擲骰子直到數字合計為7以上","1035","0","11035","0","3"
"1","103101","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","1036","0","11036","0","3"
"1","103301","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1037","0","11037","0","3"
"1","103601","【夥伴】取得最大2000里程","1038","0","11038","0","3"
"1","133001","【夥伴】取得1張抽獎券","1039","0","11039","0","3"
"1","133101","【夥伴】取得1個料理","1040","0","11040","0","3"
