d8eba6e5c8dfd22b050991ca66391658b10ace3013a4f07382e5fdfd32d03979,03a0845070842baa24ec26b74efb8097a4a935f354c110802f8db0cad4a1be2d,c9e1a35351ddb81c8dee1aac7b257fc431381800bb0cdda14b7a7a0dc2b40aa4,58abb51bb1c5aa81a3e83f7a84ac91d34c9bb512868505a0ba1bb7d7f873a2fc,1e3e4b4908fa19585560ad3f30bc4f8e8da00dd3fae7aa94f52ef529412f2f20,56acff0e55701fbb26178d8d7f267a17f88aa3eb0a8109e0c52bcaf0288607b7,8e21b824109b7631f1de740319908775f2165466b073c8eb5eb8aa34aa4a168e,2d4ce1055eb61b599a1c5e37441927709464e4190bde8732da19766e90cf4903,74a7b052c01fd30dc0e42ddf716c75c62ef5e75da7066199096b4abce58f7a87,664483224aef61d570c07571d9e7cfed464763ae0f2d593b3fe4314f55f6de9b,b58511fba453fa291fbcfa1e1e856702535f33f23fd6e814736d6e3d1786b69f,09c4913a58c922528e245ef2d71a0047a69efccf0c341ede5cc454459dcbcb03
"0","1","0","0","0","0","2","1010050","0","vo_minigame_1005","vo_minigame_1005_nikki01_004","50"
"12","1","102","0.642","0","0","1","1010051","0","0","0","51"
"0","1","0","0","0","1","4","1010052","1.061","0","0","52"
"12","1","187","0.539","102","0","1","1010053","0","0","0","53"
"0","1","0","0","0","1","4","1010054","0.877","0","0","54"
"12","1","316","1.135","187","0","1","1010055","0","0","0","55"
"0","1","0","0","0","1","4","1010056","2.635","0","0","56"
"0","2","0","0","0","3","4","1020001","1","0","0","1"
"0","2","0","0","0","0","2","1020002","0","vo_minigame_1005","vo_minigame_1005_nikki02_000","2"
"1","2","345","2.91","0","0","1","1020003","0","0","0","3"
"0","2","0","0","0","1","4","1020004","3.814","0","0","4"
"0","2","0","0","0","0","2","1020005","0","vo_minigame_1005","vo_minigame_1005_nikki02_001","5"
"2","2","239","1.67","0","0","1","1020006","0","0","0","6"
"0","2","0","0","0","1","4","1020007","2.19","0","0","7"
"3","2","314","2.455","0","0","1","1020008","0","0","0","8"
"0","2","0","0","0","1","4","1020009","3.527","0","0","9"
"0","2","0","0","0","0","2","1020010","0","vo_minigame_1005","vo_minigame_1005_nikki02_002","10"
"4","2","104","0.454","0","0","1","1020011","0","0","0","11"
"0","2","0","0","0","1","4","1020012","0.874","0","0","12"
"4","2","392","2.154","104","0","1","1020013","0","0","0","13"
"0","2","0","0","0","1","4","1020014","3.373","0","0","14"
"0","2","0","0","0","0","2","1020015","0","vo_minigame_1005","vo_minigame_1005_nikki02_003","15"
"5","2","125","0.895","0","0","1","1020016","0","0","0","16"
"0","2","0","0","0","1","4","1020017","1.311","0","0","17"
"5","2","265","1.114","125","0","1","1020018","0","0","0","18"
"0","2","0","0","0","1","4","1020019","1.181","0","0","19"
"5","2","340","0.497","265","0","1","1020020","0","0","0","20"
"0","2","0","0","0","1","4","1020021","0.497","0","0","21"
"6","2","189","1.37","0","0","1","1020022","0","0","0","22"
"0","2","0","0","0","1","4","1020023","2.407","0","0","23"
"0","2","0","0","0","0","2","1020024","0","vo_minigame_1005","vo_minigame_1005_nikki02_004","24"
"7","2","295","1.616","0","0","1","1020025","0","0","0","25"
"0","2","0","0","0","1","4","1020026","2.035","0","0","26"
"8","2","68","0.951","0","0","1","1020027","0","0","0","27"
"0","2","0","0","0","1","4","1020028","1.322","0","0","28"
"8","2","258","1.924","68","0","1","1020029","0","0","0","29"
"0","2","0","0","0","1","4","1020030","2.98","0","0","30"
"0","2","0","0","0","0","2","1020031","0","vo_minigame_1005","vo_minigame_1005_nikki02_005","31"
"9","2","83","0.93","0","0","1","1020032","0","0","0","32"
"0","2","0","0","0","1","4","1020033","1.24","0","0","33"
"9","2","257","0.879","83","0","1","1020034","0","0","0","34"
"0","2","0","0","0","1","4","1020035","1.877","0","0","35"
"0","2","0","0","0","0","2","1020036","0","vo_minigame_1005","vo_minigame_1005_nikki02_006","36"
"10","2","164","1.148","0","0","1","1020037","0","0","0","37"
"0","2","0","0","0","1","4","1020038","1.541","0","0","38"
"10","2","367","1.145","164","0","1","1020039","0","0","0","39"
"0","2","0","0","0","1","4","1020040","2.645","0","0","40"
"0","3","0","0","0","3","4","1030001","1","0","0","1"
"0","3","0","0","0","0","2","1030002","0","vo_minigame_1005","vo_minigame_1005_nikki03_000","2"
"1","3","340","2.61","0","0","1","1030003","0","0","0","3"
"0","3","0","0","0","1","4","1030004","3.007","0","0","4"
"2","3","233","1.47","0","0","1","1030005","0","0","0","5"
"0","3","0","0","0","1","4","1030006","2.171","0","0","6"
"0","3","0","0","0","0","2","1030007","0","vo_minigame_1005","vo_minigame_1005_nikki03_001","7"
"3","3","322","2.1","0","0","1","1030008","0","0","0","8"
"0","3","0","0","0","1","4","1030009","2.579","0","0","9"
"4","3","370","2.298","0","0","1","1030010","0","0","0","10"
"0","3","0","0","0","1","4","1030011","3.18","0","0","11"
"0","3","0","0","0","0","2","1030012","0","vo_minigame_1005","vo_minigame_1005_nikki03_002","12"
"5","3","101","1.262","0","0","1","1030013","0","0","0","13"
"0","3","0","0","0","1","4","1030014","1.993","0","0","14"
"0","3","0","0","0","0","2","1030015","0","vo_minigame_1005","vo_minigame_1005_nikki03_003","15"
"5","3","142","0.373","101","0","1","1030016","0","0","0","16"
"0","3","0","0","0","1","4","1030017","0.69","0","0","17"
"5","3","362","1.045","142","0","1","1030018","0","0","0","18"
"0","3","0","0","0","1","4","1030019","2.131","0","0","19"
"0","3","0","0","0","0","2","1030020","0","vo_minigame_1005","vo_minigame_1005_nikki03_004","20"
"6","3","289","2.147","0","0","1","1030021","0","0","0","21"
"0","3","0","0","0","1","4","1030022","2.618","0","0","22"
"7","3","350","1.445","0","0","1","1030023","0","0","0","23"
"0","3","0","0","0","1","4","1030024","2.552","0","0","24"
"0","3","0","0","0","0","2","1030025","0","vo_minigame_1005","vo_minigame_1005_nikki03_005","25"
"8","3","103","0.876","0","0","1","1030026","0","0","0","26"
"0","3","0","0","0","1","4","1030027","1.252","0","0","27"
"8","3","407","2.625","103","0","1","1030028","0","0","0","28"
"0","3","0","0","0","1","4","1030029","4.056","0","0","29"
"0","3","0","0","0","0","2","1030030","0","vo_minigame_1005","vo_minigame_1005_nikki03_006","30"
"9","3","383","2.728","0","0","1","1030031","0","0","0","31"
"0","3","0","0","0","1","4","1030032","3.023","0","0","32"
"10","3","104","0.91","0","0","1","1030033","0","0","0","33"
"0","3","0","0","0","1","4","1030034","1.977","0","0","34"
"0","3","0","0","0","0","2","1030035","0","vo_minigame_1005","vo_minigame_1005_nikki03_007","35"
"10","3","245","0.558","104","0","1","1030036","0","0","0","36"
"0","3","0","0","0","1","4","1030037","0.973","0","0","37"
"10","3","392","1.35","245","0","1","1030038","0","0","0","38"
"0","3","0","0","0","1","4","1030039","2.103","0","0","39"
"0","3","0","0","0","0","2","1030040","0","vo_minigame_1005","vo_minigame_1005_nikki03_008","40"
"11","3","150","0.935","0","0","1","1030041","0","0","0","41"
"0","3","0","0","0","1","4","1030042","2.435","0","0","42"
"0","4","0","0","0","3","4","1040001","1","0","0","1"
"0","4","0","0","0","0","2","1040002","0","vo_minigame_1005","vo_minigame_1005_nikki04_000","2"
"1","4","222","1.597","0","0","1","1040003","0","0","0","3"
"0","4","0","0","0","1","4","1040004","1.881","0","0","4"
"2","4","239","1.46","0","0","1","1040005","0","0","0","5"
"0","4","0","0","0","1","4","1040006","2.457","0","0","6"
"0","4","0","0","0","0","2","1040007","0","vo_minigame_1005","vo_minigame_1005_nikki04_001","7"
"3","4","184","1.208","0","0","1","1040008","0","0","0","8"
"0","4","0","0","0","1","4","1040009","1.578","0","0","9"
"3","4","303","0.673","184","0","1","1040010","0","0","0","10"
"0","4","0","0","0","1","4","1040011","1.009","0","0","11"
"3","4","370","0.65","303","0","1","1040012","0","0","0","12"
"0","4","0","0","0","1","4","1040013","0.729","0","0","13"
"4","4","182","0.976","0","0","1","1040014","0","0","0","14"
"0","4","0","0","0","1","4","1040015","1.993","0","0","15"
"0","4","0","0","0","0","2","1040016","0","vo_minigame_1005","vo_minigame_1005_nikki04_002","16"
"4","4","242","0.396","182","0","1","1040017","0","0","0","17"
"0","4","0","0","0","1","4","1040018","0.864","0","0","18"
"4","4","360","0.74","242","0","1","1040019","0","0","0","19"
"0","4","0","0","0","1","4","1040020","1.855","0","0","20"
"0","4","0","0","0","0","2","1040021","0","vo_minigame_1005","vo_minigame_1005_nikki04_003","21"
"5","4","84","0.437","0","0","1","1040022","0","0","0","22"
"0","4","0","0","0","1","4","1040023","0.497","0","0","23"
"5","4","289","1.776","84","0","1","1040024","0","0","0","24"
"0","4","0","0","0","1","4","1040025","2.233","0","0","25"
"6","4","163","1.29","0","0","1","1040026","0","0","0","26"
"0","4","0","0","0","1","4","1040027","1.638","0","0","27"
"6","4","400","1.137","163","0","1","1040028","0","0","0","28"
"0","4","0","0","0","1","4","1040029","2.3","0","0","29"
"0","4","0","0","0","0","2","1040030","0","vo_minigame_1005","vo_minigame_1005_nikki04_004","30"
"7","4","65","0.336","0","0","1","1040031","0","0","0","31"
"0","4","0","0","0","1","4","1040032","0.826","0","0","32"
"7","4","203","1.223","65","0","1","1040033","0","0","0","33"
"0","4","0","0","0","1","4","1040034","1.223","0","0","34"
"7","4","325","0.994","203","0","1","1040035","0","0","0","35"
"0","4","0","0","0","1","4","1040036","1.487","0","0","36"
"8","4","312","0.89","0","0","1","1040037","0","0","0","37"
"0","4","0","0","0","1","4","1040038","1.567","0","0","38"
"0","4","0","0","0","0","2","1040039","0","vo_minigame_1005","vo_minigame_1005_nikki04_005","39"
"9","4","151","0.74","0","0","1","1040040","0","0","0","40"
"0","4","0","0","0","1","4","1040041","1.731","0","0","41"
"0","4","0","0","0","0","2","1040042","0","vo_minigame_1005","vo_minigame_1005_nikki04_006","42"
"10","4","278","1.937","0","0","1","1040043","0","0","0","43"
"0","4","0","0","0","1","4","1040044","2.435","0","0","44"
"11","4","66","0.822","0","0","1","1040045","0","0","0","45"
"0","4","0","0","0","1","4","1040046","1.376","0","0","46"
"11","4","203","0.576","66","0","1","1040047","0","0","0","47"
"0","4","0","0","0","1","4","1040048","0.923","0","0","48"
"11","4","353","0.785","203","0","1","1040049","0","0","0","49"
"0","4","0","0","0","1","4","1040050","2.285","0","0","50"
"0","5","0","0","0","3","4","1050001","1","0","0","1"
"0","5","0","0","0","0","2","1050002","0","vo_minigame_1005","vo_minigame_1005_nikki05_000","2"
"1","5","183","1.419","0","0","1","1050003","0","0","0","3"
"0","5","0","0","0","1","4","1050004","1.662","0","0","4"
"2","5","265","1.614","0","0","1","1050005","0","0","0","5"
"0","5","0","0","0","1","4","1050006","2.394","0","0","6"
"0","5","0","0","0","0","2","1050007","0","vo_minigame_1005","vo_minigame_1005_nikki05_001","7"
"3","5","394","2.658","0","0","1","1050008","0","0","0","8"
"0","5","0","0","0","1","4","1050009","3.202","0","0","9"
"0","5","0","0","0","0","2","1050010","0","vo_minigame_1005","vo_minigame_1005_nikki05_002","10"
"4","5","298","1.745","0","0","1","1050011","0","0","0","11"
"0","5","0","0","0","1","4","1050012","2.545","0","0","12"
"0","5","0","0","0","0","2","1050013","0","vo_minigame_1005","vo_minigame_1005_nikki05_003","13"
"5","5","84","0.964","0","0","1","1050014","0","0","0","14"
"0","5","0","0","0","1","4","1050015","1.34","0","0","15"
"5","5","394","1.919","84","0","1","1050016","0","0","0","16"
"0","5","0","0","0","1","4","1050017","2.719","0","0","17"
"0","5","0","0","0","0","2","1050018","0","vo_minigame_1005","vo_minigame_1005_nikki05_004","18"
"6","5","103","0.434","0","0","1","1050019","0","0","0","19"
"0","5","0","0","0","1","4","1050020","0.903","0","0","20"
"6","5","250","0.8","103","0","1","1050021","0","0","0","21"
"0","5","0","0","0","1","4","1050022","0.8","0","0","22"
"7","5","25","0.262","0","0","1","1050023","0","0","0","23"
"0","5","0","0","0","1","4","1050024","0.968","0","0","24"
"7","5","309","2.473","25","0","1","1050025","0","0","0","25"
"0","5","0","0","0","1","4","1050026","3.315","0","0","26"
"0","5","0","0","0","0","2","1050027","0","vo_minigame_1005","vo_minigame_1005_nikki05_005","27"
"8","5","28","0.509","0","0","1","1050028","0","0","0","28"
"0","5","0","0","0","1","4","1050029","0.988","0","0","29"
"8","5","364","1.775","28","0","1","1050030","0","0","0","30"
"0","5","0","0","0","1","4","1050031","2.507","0","0","31"
"0","5","0","0","0","0","2","1050032","0","vo_minigame_1005","vo_minigame_1005_nikki05_006","32"
"9","5","201","1.139","0","0","1","1050033","0","0","0","33"
"0","5","0","0","0","1","4","1050034","2.066","0","0","34"
"0","5","0","0","0","0","2","1050035","0","vo_minigame_1005","vo_minigame_1005_nikki05_007","35"
"10","5","60","0.665","0","0","1","1050036","0","0","0","36"
"0","5","0","0","0","1","4","1050037","1.144","0","0","37"
"10","5","282","1.389","60","0","1","1050038","0","0","0","38"
"0","5","0","0","0","1","4","1050039","1.789","0","0","39"
"10","5","376","0.823","282","0","1","1050040","0","0","0","40"
"0","5","0","0","0","1","4","1050041","2.023","0","0","41"
