2badbf66164b454b22b487e07ee5d12f5df5071bf987f04cb9562a16c842afc9,fc8d50b30f31cc5a1aada3c83f664d14865b5fe76b816911161beef2c05903c4,a64ca319f4ab9bc0ea1518b588b818ba452bf43dceb0d46210de72f63fa7a337,f0a88ebe1baa1fd51a2ef5efeafbcb553d51fea86879a026735d885219f76182,b2454412ac5d21f487814da044676945d16593f5604f1edfb2c768d59d2d952c,41741da2a26176c4e40e561eac438585ed9704c044b8eab5ae5b787fd28a34b2,012b16d1bbc567d52f06e7da1f915ef7cfc5cdf0604d872d1c7a5bedee1529cc
"角色歌曲\n\n時間 / 01:22\n歌　 / 真琴（小松未可子）\n　　　霞（水瀨いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","bgm_M222","00:38","01:22","67","未解明的心意","bgm_M222"
"愚人節活動\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M219","00:00","01:27","68","機械莉瑪來襲！王都毀滅前的倒數","bgm_M219_juke"
"愚人節活動\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M220","00:00","01:38","69","機械莉瑪","bgm_M220_juke"
"愚人節活動\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M221","00:00","01:12","70","機械莉瑪~終焉~","bgm_M221_juke"
"故事劇情主題曲\n-｢Crossing Destiny｣編曲-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","bgm_M215","00:00","00:55","71","在阿斯特朗盛開的雙輪之花","bgm_M215_juke"
"故事劇情頭目戰\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","bgm_M218","00:00","01:45","72","元核‧巨靈","bgm_M218_juke"
"角色歌曲\n\n時間 / 01:30\n歌　 / 安（日笠陽子）\n　　　古蕾婭（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","bgm_M235","00:54","01:30","73","Crossing Destiny","bgm_M235"
"主線冒險\n\n\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M232","00:00","00:55","74","潛入岩峰","bgm_M232_juke"
"故事劇情主題曲\n-「白翼的榮耀」編曲-\n\n\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","bgm_M223","00:00","00:59","75","將軍道中記　白翼的武士","bgm_M223_juke"
"故事劇情頭目戰\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M226","00:00","01:58","76","惡代官","bgm_M226_juke"
"角色歌曲\n\n時間 / 01:13\n歌　 / 莫妮卡（辻あゆみ）\n　　　雪（大空直美）\n　　　妮諾（佐藤聡美）\n　　　空花（長妻樹里）\n　　　步未（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M236","00:42","01:13","77","白翼的榮耀","bgm_M236"
"主線冒險\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M95","00:00","1:20","78","火山山麓","bgm_M95_juke"
"主線冒險\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M96","00:00","1:02","79","險惡荒地","bgm_M96_juke"
"故事劇情頭目戰\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_M231","00:00","2:33","80","怠惰的狂人","bgm_M231_juke"
"主線冒險\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M233","00:00","1:08","81","鼓聲響動的森林","bgm_M233_juke"
"故事劇情主題曲\n-｢踮腳尖的First Kiss｣編曲-\n\n時間 / 00:52\n作曲 / 設樂哲也\n\n編曲 / 庄司真吾（Cygames）","bgm_M237","00:00","0:52","82","鈴奈的彩虹舞臺！","bgm_M237_juke"
"故事劇情頭目戰\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","bgm_M240","00:00","2:47","83","雨神大人","bgm_M240_juke"
"角色歌曲\n\n時間 / 01:19\n演唱　 / 伊緒（伊藤静）\n　　　鈴奈（上坂すみれ）\n　　　美咲（久野美咲）\n作詞 / 野村イクミ&瀧沢和也（Cygames）\n作曲 / 設樂哲也\n\n編曲 / 設樂哲也\n","bgm_M252","00:45","1:19","84","踮腳尖的First Kiss","bgm_M252"
"小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","bgm_M199","00:00","00:31","85","哥哥爭奪戰！　幫忙靜流","bgm_M199_juke"
"小遊戲\n-｢SUPER CHOCOLATE｣編曲-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","bgm_M198","00:00","00:34","86","哥哥爭奪戰！　幫忙惠理子","bgm_M198_juke"
"故事劇情主題曲\n-｢We Are Golden｣編曲-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","bgm_M245","00:00","00:57","87","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","bgm_M245_juke"
"故事劇情頭目戰\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M248","00:00","02:03","88","奄美魔物","bgm_M248_juke"
"角色歌曲\n\n時間 / 01:18\n演唱　 / 真步（内田真礼）\n　　　真琴（小松未可子）\n　　　香織（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","bgm_M263","00:44","01:18","89","We Are Golden","bgm_M263"
"小遊戲\n-｢白翼的榮耀｣編曲-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","bgm_M227","0:00","0:30","90","空花大迴轉","bgm_M227_juke"
"故事劇情主題曲\n-｢好朋友新感覺｣編曲-\n\n時間 / 00:57\n作曲 / 大久保薰\n編曲 / 中村早織（Cygames）","bgm_M254","0:00","0:57","91","森林的膽小鬼與神聖學院的問題兒童","bgm_M254_juke"
"故事劇情頭目戰\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","bgm_M257","0:00","2:45","92","劇毒曼德拉草","bgm_M257_juke"
"角色歌曲\n\n時間 / 01:20\n歌　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薰\n編曲 / 大久保薰","bgm_M272","00:47","01:20","93","好朋友新感覺","bgm_M272"
"主線冒險\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M260","0:00","1:00","94","跨越危險之根","bgm_M260_juke"
"小遊戲\n-｢We Are Golden｣編曲-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","bgm_M249","0:00","0:34","95","香織的靈魂式空手道場","bgm_M249_juke"
"故事劇情主題曲\n-｢惡作劇狂熱｣編曲-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","bgm_M265","0:00","0:52","96","小小勇敢的萬聖節之夜！","bgm_M265_juke"
"故事劇情頭目戰\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M268","0:00","2:50","97","幻影男爵","bgm_M268_juke"
"角色歌曲\n\n時間 / 01:24\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","bgm_M280","0:46","1:24","98","惡作劇狂熱","bgm_M280"
"主線冒險\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M278","0:00","1:14","99","泥濘森林的前方","bgm_M278_juke"
"小遊戲\n-｢in flames｣編曲-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","bgm_M277","0:00","0:48","100","大激戰！龍人們的接龍競賽","bgm_M277_juke"
"故事劇情主題曲\n-｢in flames｣編曲-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","bgm_M273","0:00","1:07","101","龍的探索者們","bgm_M273_juke"
"故事劇情頭目戰\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","bgm_M276","0:00","2:29","102","似龍生物","bgm_M276_juke"
"角色歌曲\n\n時間 / 01:28\n歌　 / 祈梨（藤田茜）\n　　　嘉夜（小市眞琴）\n　　　帆稀（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","bgm_M291","0:56","1:28","103","in flames","bgm_M291"
"解放冒險\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","bgm_M259","0:00","1:13","104","獲得全新力量的試煉","bgm_M259_juke"
"故事劇情主題曲\n-｢Call Me Darling！｣編曲\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","bgm_M281","0:00","0:58","105","禮物大恐慌！　蘭德索爾的聖誕老人們","bgm_M281_juke"
"故事劇情頭目戰\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","bgm_M284","0:00","1:48","106","復仇者馴鹿","bgm_M284_juke"
"角色歌曲\n\n時間 / 01:30\n歌　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","bgm_M285","0:54","1:30","107","Call Me Darling！","bgm_M285"
"王都終末決戰\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M300","0:00","1:45","108","王都終末決戰","bgm_M300_juke"
"王都終末決戰Boss戰\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M301","0:00","2:15","109","與侍奉皇帝之徒的戰鬥","bgm_M301_juke"
"王都終末決戰Boss戰\n-｢Lost Princess｣「真正的皇帝」編曲-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","bgm_M299","0:00","2:45","110","與神的決戰","bgm_M299_juke"
"故事劇情主題曲\n-｢SAI＊KOU起跑衝刺｣編曲-\n\n時間 / 01:08\n作曲 / 奧井康介\n編曲 / 伊禮完（Cygames）","bgm_M294","0:00","1:08","111","狂奔！　蘭德索爾的公會競速賽","bgm_M294_juke"
"故事劇情Boss戰\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","bgm_M297","0:00","2:00","112","山神大人","bgm_M297_juke"
"角色歌曲\n\n時間 / 01:25\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　凱留（立花理香）\n　　　可可蘿（伊藤美来）\n　　　鈴莓（悠木碧）\n作詞 / KOCHO\n作曲 / 奧井康介\n編曲 / 奧井康介","bgm_M327","1:00","1:25","113","SAI＊KOU起跑衝刺","bgm_M327"
"主線冒險\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","bgm_M293","0:00","1:25","114","遙望著大海","bgm_M293_juke"
"故事劇情主題曲\n-｢枝葉流光下的蒙太奇｣編曲-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","bgm_M316","0:00","1:06","115","魔法少女　兩人是Misty&Purely","bgm_M316_juke"
"故事劇情Boss戰\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","bgm_M319","0:00","1:28","116","反逆獸","bgm_M319_juke"
"角色歌曲\n\n時間 / 01:32\n演唱　 / 霞（水瀨いのり）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M340","0:50","1:32","117","枝葉流光下的蒙太奇","bgm_M340"
"故事劇情主題曲\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","bgm_M330","0:00","0:51","118","目標成為偶像！","bgm_M330_juke"
"回憶地圖\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M333","0:00","1:34","119","回憶的足跡","bgm_M333_juke"
"主線劇情\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M57","0:00","2:24","120","公主騎士","bgm_M57_juke"
"故事劇情主題曲\n-｢青春翻轉家｣アレンジ-\n\n時間 / 01:07\n作曲 / 睦月周平\n編曲 / 澤下葵","bgm_M343","0:00","1:07","121","恩賜的財團與神聖學院的問題兒童","bgm_M343_juke"
"故事劇情BOSS戰\n\n時間 / 02:43\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","bgm_M346","0:00","2:43","122","好朋友X","bgm_M346_juke"
"角色歌曲\n\n時間 / 01:20\n演唱　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / ミズノゲンキ\n作曲 / 睦月周平\n編曲 / 睦月周平","bgm_M359","0:51","1:20","123","青春翻轉家","bgm_M359"
"主線冒險\n\n時間 / 02:00\n作曲 / 加藤慶久（Cygames）\n編曲 / 加藤慶久（Cygames）","bgm_M339","0:00","2:00","124","密林暗處潛伏者","bgm_M339_juke"
