533e0040d183e0243e7b24e061b376c1e1180c8c83fdf366c0db05b7468836bf,60912ac234430e7e4c71ddc93f15e679d399522821ac0fbbcbab08d6b5bd939b,97bd926d8a9d75f82f6a75fd8c3a3e44ea7a8144a97345070d6d7e0694e19cb6,42abb87538be5c0e176f97ea145a861807ec4e523a09af6e96ea47534291d839,3ae5a39167f3656fdbb2b5b969d80132c7bbfec76dbe21fd0f8e72980196b57a,07bc605e19da7149981f95019f36110c9043f3a3f2e364d366a580ae072dd4d2,3077118330a4b72fb98395b1b8deeb085df20037fece85d31d4f7f91c1dd3a2d
"850103103","850103101","850103102","850010311","850103105","231","850103104"
"850103203","850103201","850103202","850010321","850103205","232","850103204"
"850103303","850103301","850103302","850010331","850103305","233","850103304"
"850103403","850103401","850103402","850010341","850103405","234","850103404"
"850103503","850103501","850103502","850010351","850103505","235","850103504"
"850103603","850103601","850103602","850010361","850103605","236","850103604"
"850103703","850103701","850103702","850010371","850103705","237","850103704"
"850103803","850103801","850103802","850010381","850103805","238","850103804"
"850103903","850103901","850103902","850010391","850103905","239","850103904"
"0","850104001","0","850010401","0","240","0"
"850104103","850104101","850104102","850010411","850104105","241","850104104"
"850104203","850104201","850104202","850010421","850104205","242","850104204"
"850104303","850104301","850104302","850010431","850104305","243","850104304"
"850104403","850104401","850104402","850010441","850104405","244","850104404"
"850104503","850104501","850104502","850010451","850104505","245","850104504"
"850104603","850104601","850104602","850010461","850104605","246","850104604"
"850104703","850104701","850104702","850010471","850104705","247","850104704"
"850104803","850104801","850104802","850010481","850104805","248","850104804"
"850104903","850104901","850104902","850010491","850104905","249","850104904"
"0","850105001","0","850010501","0","250","0"
