b8e095f02e74c14754d67b4df5a12b34acabaa623940ac947897b342e47cd570,27ad023f8026cdac5a803f4164f82206e877e22c5f54850b35ddc6d283c32361,0191def799e911b6247697fa3151eae0f977142ae029b11d1325720598234f1a,6a36961a8c183fb031a0d6128f32ee8e21e41358406990f348559d3ff85b5f6c,8aad02cf9311010a4b4e0ad2daf28c4ffec8d687bd38928eea602508544e8df0,064d68055625e13c78dae0259bd831f13de472702a389452c4271d2304108c9f
"89","2","5104003","3","10104","500133"
"90","2","5078004","3","10105","501451"
"93","2","5110005","3","10110","501931"
"94","2","5111005","3","10111","500013"
"95","2","5080005","3","10107","501463"
"96","1","10109105","1","10109101","0"
"97","1","10109108","1","10109102","0"
"98","1","10109111","1","10109103","0"
"99","2","5082002","3","10109","501160"
"100","2","5082004","3","10109","501031"
"101","2","5082005","3","10109","501483"
"103","2","5084001","3","10112","500368"
"104","2","5084002","3","10112","510306"
"105","2","5084003","3","10112","500039"
"106","2","5085002","3","10113","500368"
"107","2","5085003","3","10113","510203"
"108","2","5085004","3","10113","500272"
"109","2","5085005","3","10113","501501"
"110","1","1011001","2","10110101","0"
"111","1","20037112","1","20037101","0"
"112","2","5066005","3","20037","501291"
"113","2","5088005","3","10115","501810"
"114","2","5114000","3","10114","500016"
"115","2","5114003","3","10114","501952"
"116","2","5068001","3","20038","501341"
"117","2","5090002","3","10117","501541"
"121","2","5070004","3","20039","501353"
"122","2","5070005","3","20039","500016"
"123","2","5116004","3","10116","500837"
"124","2","5092001","3","10119","501031"
"125","2","5092004","3","10119","501551"
"126","2","5118002","3","10118","500133"
"127","2","5118003","3","10118","500810"
"128","2","5118007","3","10118","500133"
"129","2","5072004","3","20040","501364"
"130","2","5072006","3","20040","501365"
"132","2","5124003","3","10124","501614"
"133","2","5074001","3","20041","501383"
"135","2","5094001","3","10121","501593"
"136","2","5122000","3","10122","502003"
"137","2","5122002","3","10122","502015"
"138","2","5096002","3","10123","501613"
"139","2","5076005","3","20042","505036"
"140","2","5078004","3","20043","501451"
"141","2","5098000","3","10125","501031"
"143","2","5100003","3","10127","500837"
"144","2","5080005","3","20044","501463"
"145","2","5128001","3","10128","502063"
"146","2","5102002","3","10129","501873"
"147","1","20045105","1","20045101","0"
"148","1","20045108","1","20045102","0"
"149","1","20045111","1","20045103","0"
"150","2","5082002","3","20045","501160"
"151","2","5082004","3","20045","501031"
"152","2","5082005","3","20045","501483"
"153","2","5084001","3","20046","500368"
"154","2","5084002","3","20046","510306"
"155","2","5084003","3","20046","500039"
"156","2","5085002","3","20047","500368"
"157","2","5085003","3","20047","510203"
"158","2","5085004","3","20047","500272"
"159","2","5085005","3","20047","501501"
"160","2","5130001","3","10130","500016"
"161","2","5130007","3","10130","500133"
"162","2","5104003","3","10131","500133"
"163","2","5136002","3","10136","500143"
"164","2","5136004","3","10136","500175"
"165","2","5137002","3","10137","501622"
"166","2","5137005","3","10137","500133"
"167","2","5088005","3","20048","501810"
"168","2","5134007","3","10134","500553"
"169","2","5108002","3","10135","501911"
"170","2","5110005","3","10138","501931"
"171","2","5111005","3","10139","500013"
"172","2","5090002","3","20049","501541"
"173","1","1013801","2","10138101","0"
"174","2","5114000","3","10141","500016"
"175","2","5114003","3","10141","501952"
"180","2","5140002","3","10140","502224"
"181","2","5092001","3","20050","501031"
"182","2","5092004","3","20050","501551"
"183","2","5142001","3","10142","501683"
"184","2","5116004","3","10143","500837"
"185","2","5118002","3","10145","500133"
"186","2","5118003","3","10145","500810"
"187","2","5118007","3","10145","500133"
"188","2","5094001","3","20051","501593"
"189","2","5096002","3","20052","501613"
"1014601","2","5146001","3","10146","502283"
"1014901","2","5122000","3","10149","502003"
"1014902","2","5122002","3","10149","502015"
"1015101","2","5124003","3","10151","501614"
"1015401","2","5154007","3","10154","502373"
"1015601","2","5156001","3","10156","502074"
"1015602","2","5156002","3","10156","502394"
"1015701","2","5128001","3","10157","502063"
"1015801","2","5158003","3","10158","500880"
"1015901","2","5130001","3","10159","500016"
"1015902","2","5130007","3","10159","500133"
"2005301","2","5098000","3","20053","501031"
"2005401","2","5100003","3","20054","500837"
"2005501","2","5102002","3","20055","501873"
"2005601","2","5104003","3","20056","500133"
