c3c60c97068a8c5a0a67fe617de3a7bfa81a77162ea2ffc598775b4496efaba0,a83493f78d013db4916221504fa7ad73abd01b71dc0e7a8fb7dfa7568a7d682b,24ed989aa3ac21e1442c0287be19035869b4eb40312a8a1e4a6b237204f23274,3a765419826eade31fd3810d518714c6ad457f4a7c9b34507579b2f1c008c13e,2c54a5cb90b63173bd2aea1e0b30ee9c8f0ef960902be6afc057da5aab1d90f4,9ca9397703c48d3f4c0085072a73afe5f854748c0a8ef9c619029efee6811eac,cb96e11c8c26e763eb4883d5345f5b85df057e6a526b9ad4025e177b567052bb,75be5dc5e2cfd03d895eded46f5f20cc1929ef17f022da0183e3e750224de7df,2470553573b1b5dd7fabea265c3ef16b242595b8cc5447497183fc4b79341dca,93be2b8023eb5a30b4bf65b7ee0e74cec5f984a8ca34aefca41c41f20e9ae28a,332f4d375e2a720a5957d8ec68107c7fda96030a72d1cff94d8151121f10b12b,e88aec1d0e04f42dca1f81617c2db937d6d5c31697235a988299876a8c0f0624
"41","8","0","0","0","0","1","793","793","1150041","15","1.03896103896104"
"42","8","1","0","0","2.53896103896104","4","0","0","1150042","15","0"
"43","9","0","0","0","0","1","0","400","1150043","15","0.01"
"44","9","1","0","0","0","4","0","0","1150044","15","0"
"45","0","0","vo_10011600","vo_10011600_1515","0","2","0","0","1150045","15","0"
"46","9","0","0","0","0","1","400","720","1150046","15","1.32987012987013"
"1","0","0","vo_10011600","vo_10011600_1601","0","2","0","0","1160001","16","0"
"2","1","0","0","0","0","1","0","150","1160002","16","0.623376623376623"
"3","1","1","0","0","2.12337662337662","4","0","0","1160003","16","0"
"4","0","0","vo_10011600","vo_10011600_1602","0","2","0","0","1160004","16","0"
"5","2","0","0","0","0","1","0","716","1160005","16","3.63636363636364"
"6","2","1","0","0","5.13636363636364","4","0","0","1160006","16","0"
"7","0","0","vo_10011600","vo_10011600_1603","0","2","0","0","1160007","16","0"
"8","3","0","0","0","0","1","0","396","1160008","16","1.18441558441558"
"9","3","1","0","0","2.18441558441558","4","0","0","1160009","16","0"
"10","0","0","vo_10011600","vo_10011600_1604","0","2","0","0","1160010","16","0"
"11","3","0","0","0","0","1","396","460","1160011","16","0.353246753246753"
"12","3","1","0","0","0.553246753246753","4","0","0","1160012","16","0"
"13","0","0","vo_10011600","vo_10011600_1605","0","2","0","0","1160013","16","0"
"14","3","0","0","0","0","1","460","704","1160014","16","1.1012987012987"
"15","3","1","0","0","1.1012987012987","4","0","0","1160015","16","0"
"16","4","0","0","0","0","1","0","458","1160016","16","1.95324675324675"
"17","4","1","0","0","2.45324675324675","4","0","0","1160017","16","0"
"18","0","0","vo_10011600","vo_10011600_1606","0","2","0","0","1160018","16","0"
"19","4","0","0","0","0","1","458","758","1160019","16","0.78961038961039"
"20","4","1","0","0","1.78961038961039","4","0","0","1160020","16","0"
"21","0","0","vo_10011600","vo_10011600_1607","0","2","0","0","1160021","16","0"
"22","5","0","0","0","0","1","0","492","1160022","16","1.99480519480519"
"23","5","1","0","0","2.99480519480519","4","0","0","1160023","16","0"
"24","0","0","vo_10011600","vo_10011600_1608","0","2","0","0","1160024","16","0"
"25","5","0","0","0","0","1","492","712","1160025","16","0.748051948051948"
"26","5","1","0","0","1.99805194805195","4","0","0","1160026","16","0"
"27","0","0","vo_10011600","vo_10011600_1609","0","2","0","0","1160027","16","0"
"28","6","0","0","0","0","1","0","260","1160028","16","1.53766233766234"
"29","6","1","0","0","2.13766233766234","4","0","0","1160029","16","0"
"30","0","0","vo_10011600","vo_10011600_1610","0","2","0","0","1160030","16","0"
"31","6","0","0","0","0","1","260","728","1160031","16","1.41298701298701"
"32","6","1","0","0","1.41298701298701","4","0","0","1160032","16","0"
"33","7","0","0","0","0","1","0","165","1160033","16","0.78961038961039"
"34","7","1","0","0","2.33961038961039","4","0","0","1160034","16","0"
"35","0","0","vo_10011600","vo_10011600_1611","0","2","0","0","1160035","16","0"
"36","7","0","0","0","0","1","165","341","1160036","16","0.706493506493507"
"37","7","1","0","0","1.00649350649351","4","0","0","1160037","16","0"
"38","0","0","vo_10011600","vo_10011600_1612","0","2","0","0","1160038","16","0"
"39","7","0","0","0","0","1","341","710","1160039","16","1.45454545454545"
"40","7","1","0","0","2.95454545454545","4","0","0","1160040","16","0"
"41","0","0","vo_10011600","vo_10011600_1613","0","2","0","0","1160041","16","0"
"42","7","0","0","0","0","1","710","770","1160042","16","0.249350649350649"
"43","7","1","0","0","0.749350649350649","4","0","0","1160043","16","0"
"44","0","0","vo_10011600","vo_10011600_1614","0","2","0","0","1160044","16","0"
"45","8","0","0","0","0","1","0","522","1160045","16","2.31896103896104"
"46","8","1","0","0","3.71896103896104","4","0","0","1160046","16","0"
"47","0","0","vo_10011600","vo_10011600_1615","0","2","0","0","1160047","16","0"
"48","8","0","0","0","0","1","522","730","1160048","16","0.714805194805195"
"49","8","1","0","0","2.71480519480519","4","0","0","1160049","16","0"
"50","9","0","0","0","0","1","0","560","1160050","16","0.01"
"51","9","1","0","0","0","4","0","0","1160051","16","0"
"52","0","0","vo_10011600","vo_10011600_1616","0","2","0","0","1160052","16","0"
"53","9","0","0","0","0","1","560","710","1160053","16","0.623376623376623"
"1","0","0","vo_10011600","vo_10011600_1701","0","2","0","0","1170001","17","0"
"2","1","0","0","0","0","1","0","160","1170002","17","0.664935064935065"
"3","1","1","0","0","2.16493506493507","4","0","0","1170003","17","0"
"4","0","0","vo_10011600","vo_10011600_1702","0","2","0","0","1170004","17","0"
"5","2","0","0","0","0","1","0","125","1170005","17","0.730519480519481"
"6","2","1","0","0","1.53051948051948","4","0","0","1170006","17","0"
"7","0","0","vo_10011600","vo_10011600_1703","0","2","0","0","1170007","17","0"
"8","2","0","0","0","0","1","125","770","1170008","17","3.35064935064935"
"9","2","1","0","0","4.85064935064935","4","0","0","1170009","17","0"
"10","0","0","vo_10011600","vo_10011600_1704","0","2","0","0","1170010","17","0"
"11","3","0","0","0","0","1","0","205","1170011","17","0.851948051948052"
"12","3","1","0","0","2.10194805194805","4","0","0","1170012","17","0"
"13","0","0","vo_10011600","vo_10011600_1705","0","2","0","0","1170013","17","0"
"14","3","0","0","0","0","1","205","730","1170014","17","2.72727272727273"
"15","3","1","0","0","4.47727272727273","4","0","0","1170015","17","0"
"16","0","0","vo_10011600","vo_10011600_1706","0","2","0","0","1170016","17","0"
"17","4","0","0","0","0","1","0","432","1170017","17","1.66233766233766"
"18","4","1","0","0","2.86233766233766","4","0","0","1170018","17","0"
"19","0","0","vo_10011600","vo_10011600_1707","0","2","0","0","1170019","17","0"
"20","4","0","0","0","0","1","432","710","1170020","17","1.28831168831169"
"21","4","1","0","0","3.03831168831169","4","0","0","1170021","17","0"
"22","0","0","vo_10011600","vo_10011600_1708","0","2","0","0","1170022","17","0"
"23","5","0","0","0","0","1","0","718","1170023","17","2.36883116883117"
"24","5","1","0","0","3.76883116883117","4","0","0","1170024","17","0"
"25","0","0","vo_10011600","vo_10011600_1709","0","2","0","0","1170025","17","0"
"26","6","0","0","0","0","1","0","333","1170026","17","1.4961038961039"
"27","6","1","0","0","2.2461038961039","4","0","0","1170027","17","0"
"28","0","0","vo_10011600","vo_10011600_1710","0","2","0","0","1170028","17","0"
"29","6","0","0","0","0","1","333","595","1170029","17","0.976623376623377"
"30","6","1","0","0","1.97662337662338","4","0","0","1170030","17","0"
"31","0","0","vo_10011600","vo_10011600_1711","0","2","0","0","1170031","17","0"
"32","7","0","0","0","0","1","0","316","1170032","17","1.3838961038961"
"33","7","1","0","0","2.7838961038961","4","0","0","1170033","17","0"
"34","0","0","vo_10011600","vo_10011600_1712","0","2","0","0","1170034","17","0"
"35","7","0","0","0","0","1","316","527","1170035","17","0.818701298701299"
"36","7","1","0","0","1.8187012987013","4","0","0","1170036","17","0"
"37","0","0","vo_10011600","vo_10011600_1713","0","2","0","0","1170037","17","0"
"38","7","0","0","0","0","1","527","740","1170038","17","0.872727272727273"
"39","7","1","0","0","2.67272727272727","4","0","0","1170039","17","0"
"40","0","0","vo_10011600","vo_10011600_1714","0","2","0","0","1170040","17","0"
"41","8","0","0","0","0","1","0","180","1170041","17","0.581818181818182"
"42","8","1","0","0","1.38181818181818","4","0","0","1170042","17","0"
"43","0","0","vo_10011600","vo_10011600_1715","0","2","0","0","1170043","17","0"
"44","8","0","0","0","0","1","180","723","1170044","17","1.35064935064935"
"45","8","1","0","0","2.60064935064935","4","0","0","1170045","17","0"
"46","0","0","vo_10011600","vo_10011600_1716","0","2","0","0","1170046","17","0"
"47","8","0","0","0","0","1","723","723","1170047","17","0.976623376623377"
"48","8","1","0","0","2.97662337662338","4","0","0","1170048","17","0"
"49","9","0","0","0","0","1","0","470","1170049","17","0.01"
"50","9","1","0","0","0","4","0","0","1170050","17","0"
"51","0","0","vo_10011600","vo_10011600_1717","0","2","0","0","1170051","17","0"
"52","9","0","0","0","0","1","470","700","1170052","17","1.19480519480519"
