9e96afad67be0c971cb589a53f7abf95fe69fa75eb186f03c736a597b4d93571,d877b288500940c83806d9f021df432a0d48d0298c501873e952c880f646112a,13c9c5fe2f64884fd89f71c4f589a78fb21b6768544129a3f618eab0e7bd679c,dc0926ab072a5a05a129f679ea17f62d5373291aedc184c407e79ddc21195adb,d39fe3713b455de5ffb295a49c92add86e35d5148fbf85f72f04bbe247e4b407,8eac7bc6b259f4e1a777a668779e353abba7c9242f6c19449bb8c1287fab6661,435d538ffdf1b5fe6445e145dbbe8e16dfe6c78d0e2b77f72f12d83ebf835b2c,f6ba22d237b00728aba4ee026a3cc7161cbb31a75145872faac1aa0f1b8a6ff4,0a5d23f4db130d7ef0f54faf39322951af761dce388d5fc47ae2e96fea1a41ec,992c0032583e95788aad4d97fe177ed6fcd985c6f28de247c95db5efc9892bb2,6bee7bb67c9d040a95ece429c8d11dddb2969dcfe3b0fb68ee4ad677bed9106d,2f807fbcfb5ca3e98efeea454ea6e0ba63c47ea7086f1e78b9a2a162ce14f146,16fc5594383910d81b0aada3f23cced9ba3bb7feca6a65f4d07635d0eee18b6a,e7e85a5036e168efff2c59fa9ab528b3f6f29f7af5be61beae85f15e5a12031c,04a9b5d870563128d292d7a7bfae916bb662394072d95df6f321d386dcff4807,98e1d642d88d052c5eb8438f1796f670cc256e5d51d58085e75b7bfe1c7da0ce,c6b91d3daf6bf66fb9064bbc306ca439bf854d5997b13425e849029ed789e8be
"52011","莉瑪用從似似花那裡拿到的蘋果製作出來的祕密甜點。\n清爽的酸味與濃厚的甜味\n保持著彷彿像魔法一般的平衡，互相襯托著彼此。\n讓吃下的人轉眼之間就變成它的俘虜。","1","2","莉瑪的不可思議甜蘋果","獲得1張抽獎券。","0","0","51011","3","3","7","下次投擲的骰子一定會丟出「2」，再下一次投擲的骰子一定會丟出「7」。","1","10","500","莉瑪的不可思議\n甜蘋果"
"52012","妮諾帶到吉歐‧提格尼亞的特別\n壽司。雖是使用了嚴選新鮮海產的絕品料理，\n一部分的食材，卻是由手法超脫一般壽司範疇的妮諾\n以自創方式料理出來的。","30002","1","妮諾的原創一二三壽司","獲得1個未鑑定的平凡寶物。","0","0","51012","2","1","3","下次投擲的骰子一定會丟出「1、2、3」，並且跳過下次的回合數計算。","1","10","500","妮諾的原創\n一二三壽司"
"52013","由克蕾琪塔設計，以流通於吉歐‧提格尼亞的\n巧克力貨幣組成的拼盤。乍看之下\n只是個把金幣放入口中的傻瓜，然而\n吃下貨幣的悖德感，成了最佳的額外香料。","2","0","克蕾琪塔的開運點心拼盤","獲得800里程。","0","0","51013","3","4","8","打開RANK2的里程商店。","3","10","500","克蕾琪塔的開運\n點心拼盤"
"52014","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","1","2","璃乃的「時乃金時」刨冰","下次擲骰的時候，多前進1格。","0","0","51014","2","1","9","跳過里程格進行移動。效果持續2回合。","1","11","500","璃乃的\n「時乃金時」刨冰"
"52015","姊姊為了弟弟誠心製作的\n特別漢堡排。裡面塞滿了熱騰騰的肉汁\n和滿溢的愛情，只要吃下\n一口，就會美味到讓人想要四處亂跑。","2","1","靜流的愛情滿滿漢堡排","下次擲骰的時候，多前進1格。","0","0","51015","1","1","1","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","1","11","500","靜流的愛情\n滿滿漢堡排"
"52016","碧做來當作便當的精靈族傳統三明治。\n這是源自陪著她的至親好友給她的建議，\n據說無論在多麼幽暗的森林中，\n都能使出全力衝刺。（碧本人表示）","20005","1","碧的衝刺三明治","無","0","0","51016","3","0","2","下次投擲的骰子一定會丟出「6」。","1","0","500","碧的衝刺\n三明治"
"52017","妄想過無數種被虐場景的空花最近熱衷的事物，\n是種以觸手為主軸的活切料理。\n新鮮的章魚腳與濃郁的鮮味在物理上交纏在一塊，\n無論身心都能體驗到被緊綁的感受。","1","2","空花的活切緊綁觸手","無","0","1","51017","3","5","2","[FF7C4E,D62146]【不可覆寫】[-]下一回合無法食用「移動系的料理」，相對地當場獲得2000里程。","1","10","500","空花的活切\n緊綁觸手"
"52018","在可可蘿的指導下提升了料理技術的蘭法\n所親手製作的馬鈴薯燉肉。雖然還有改善的空間，\n但只要一想到這是笨拙的蘭法為了他人\n而拼命努力煮出的菜餚，就覺得格外美味。","20006","1","蘭法的熱心馬鈴薯燉肉","獲得1000里程。","0","0","51018","1","6","2","下次投擲的骰子一定會丟出「3」。","1","10","500","蘭法的熱心馬鈴薯燉肉"
"52019","蠻賊三姊妹昨天晚餐的咖哩。\n若菜將吃不完的份分裝給了大家。\n因為靜置了一晚，味道變得更加濃郁，\n是極致的隔夜咖哩。","20007","1","若菜的節儉八分飽咖哩","無","0","0","0","1","0","2","下次投擲的骰子一定會丟出「8」。","1","0","500","若菜的節儉八分飽咖哩"
"52020","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","1","2","璃乃的「時乃金時」刨冰","下次擲骰的時候，多前進1格。","0","0","51014","2","1","9","跳過里程格進行移動。效果持續2回合。","2","11","500","璃乃的\n「時乃金時」刨冰"
"52021","放在華麗禮盒中的糖果巧克力。\n當那甜中帶苦的濃厚滋味，活化灰色的腦細胞時，\n名偵探便能展現精闢的推理，\n使謎團真相大白，讓事件劃下句點。","2","3","霞的看透真相的糖果巧克力","	獲得2個未鑑定的平凡寶物。","0","0","51021","3","7","9","跳過寶物格進行移動。效果持續3回合。","2","10","500","霞的看透真相的\n糖果巧克力"
"52022","使用了秋乃在吉歐‧格黑納取得\n的香料，既時髦又豪華的烤雞拼盤。佐以\n牧場特製優格醬所演繹出的刺激風味，\n實在是兩個世界奇蹟般的完美結合。","20008","3","秋乃的煉獄烤雞拼盤","無","0","0","51022","1","0","2","在投擲3次骰子之前，投擲的骰子丟出「5和6」的機率變成3倍。","1","0","500","秋乃的煉獄\n烤雞拼盤"
"52023","美美想著在吉歐‧格黑納幫助自己的\n姐姐們所製作的飯糰。雖然每個被加入\n不同的佐料，但都一如美美的願望，\n彼此不吵架、和睦地演奏著和聲。","1","2","美美的丟沙包圓滾滾飯糰","獲得1個未鑑定的平凡寶物。","0","1","51023","1","1","7","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「6」，再下一次投擲的骰子一定會丟出「3」。","1","10","500","美美的丟沙包\n圓滾滾飯糰"
"52024","回過神來就在莉莉手中的不可思議的點心。\n雖然乍看之下是普通的蛋糕，\n內部卻藏了各式各樣的配料。\n其複雜又多層次的滋味，彷彿就像是某人一般。","2","0","步未的祕密隱形蛋糕","下次擲骰的時候，多前進3格。","0","0","51024","3","3","8","打開RANK2的里程商店。","3","11","500","步未的祕密\n隱形蛋糕"
"52025","使用安涅默涅照料著的祕密菜園中的蔬菜的沙拉。\n重視營養的安涅默涅將草食動物的肉視為蔬菜，\n一開始只是在蔬菜上放上肉而已，\n後來在涅羅的指導下重新進行了擺盤。","3","1","安涅默涅的爛漫花朵牛排沙拉","無","0","0","51025","3","0","9","跳過「里程格」及「寶物格」進行移動。效果持續1回合。","2","0","500","安涅默涅的\n爛漫花朵牛排沙拉"
"52026","一道用探索吉歐‧格黑納的冥姬們\n在當地採集的調味料製作的料理。\n沸騰的紅醬帶有刺激而深奧的味道，\n就像一片未知的土地，吸引冒險者深入探索。","1","0","杏奈的煉獄番茄燉煮渾沌蛋","獲得2張抽獎券。","0","0","51026","1","8","4","讓隨機活動出現。","3","10","500","杏奈的\n煉獄番茄燉煮渾沌蛋"
"52027","優衣想著吃的人用心製作的便當。\n大小適中的便當盒裡裝滿了\n充滿愛意且精心烹調的極品料理，\n溫柔地填滿吃的人的心和胃。","20004","2","優衣的營養滿分心意滿分便當","無","0","0","51027","3","0","2","在投擲2次骰子之前，投擲的骰子一定會丟出「5」。","1","0","500","優衣的\n營養滿分心意滿分便當"
