eee743833681bb9d33a0d1d77b3d13840132040cb9deb1e10da6ff349cc4821e,fa207cc632e6c10cf82f06190a5f0f9aea9064db547c1f971c67146b5b937d03,2b698e1e871601be613cc979908d1377f047f692563fc19d414244bb495decd9,0b80a2abb9537ade2fe2becab799cdb7b68c32919c2797b5bc68e8a8e5efb7ef,196824c81086b0702e806813d767da4b10d1ec96fc8afd7915f84d8aebe97084
"68","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001011","9"
"69","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001012","12"
"70","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001012","11"
"71","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001012","17"
"72","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001012","boss_def_lower_limit"
"73","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001012","boss_magic_def_lower_limit"
"74","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001012","9"
"75","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001013","12"
"76","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001013","11"
"77","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001013","17"
"78","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001013","boss_def_lower_limit"
"79","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001013","boss_magic_def_lower_limit"
"80","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001013","9"
"81","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001014","12"
"82","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001014","11"
"83","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001014","17"
"84","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001014","boss_def_lower_limit"
"85","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001014","boss_magic_def_lower_limit"
"86","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001014","9"
"87","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001015","12"
"88","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001015","11"
"89","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001015","17"
"90","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001015","boss_def_lower_limit"
"91","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001015","boss_magic_def_lower_limit"
"92","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001015","9"
"93","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001016","12"
"94","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001016","11"
"95","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001016","17"
"96","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001016","boss_def_lower_limit"
"97","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001016","boss_magic_def_lower_limit"
"98","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001016","9"
"99","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001017","12"
"100","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001017","11"
"101","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001017","17"
"102","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001017","boss_def_lower_limit"
"103","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001017","boss_magic_def_lower_limit"
"104","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001017","9"
"105","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001018","12"
"106","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001018","11"
"107","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001018","17"
"108","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001018","boss_def_lower_limit"
"109","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001018","boss_magic_def_lower_limit"
"110","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001018","9"
"111","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001019","12"
"112","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001019","11"
"113","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001019","17"
"114","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001019","boss_def_lower_limit"
"115","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001019","boss_magic_def_lower_limit"
"116","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001019","9"
"117","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001020","12"
"118","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001020","11"
"119","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001020","17"
"120","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001020","boss_def_lower_limit"
"121","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001020","boss_magic_def_lower_limit"
"122","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001020","9"
"123","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","81001020","boss_tp_down_cut"
"124","戰鬥開始時，大幅度降低全體角色的物理防禦力。","降低物理防禦力","81001020","7"
"125","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001021","12"
"126","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001021","11"
"127","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001021","17"
"128","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001021","boss_def_lower_limit"
"129","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001021","boss_magic_def_lower_limit"
"130","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001021","9"
"131","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001022","12"
"132","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001022","11"
"133","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001022","17"
"134","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001022","boss_def_lower_limit"
"135","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001022","boss_magic_def_lower_limit"
"136","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001022","9"
"137","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001023","12"
"138","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001023","11"
"139","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001023","17"
"140","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001023","boss_def_lower_limit"
"141","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001023","boss_magic_def_lower_limit"
"142","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001023","9"
"143","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001024","12"
"144","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001024","11"
"145","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001024","17"
"146","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001024","boss_def_lower_limit"
"147","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001024","boss_magic_def_lower_limit"
"148","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001024","9"
"149","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001025","12"
"150","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001025","11"
"151","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001025","17"
"152","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001025","boss_def_lower_limit"
"153","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001025","boss_magic_def_lower_limit"
"154","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001025","9"
"155","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001026","12"
"156","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001026","11"
"157","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001026","17"
"158","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001026","boss_def_lower_limit"
"159","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001026","boss_magic_def_lower_limit"
"160","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001026","9"
"161","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001027","12"
"162","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001027","11"
"163","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001027","17"
"164","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001027","boss_def_lower_limit"
"165","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001027","boss_magic_def_lower_limit"
"166","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001027","9"
"167","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001028","12"
"168","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001028","11"
"169","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001028","17"
"170","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001028","boss_def_lower_limit"
"171","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001028","boss_magic_def_lower_limit"
"172","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001028","9"
"173","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001029","12"
"174","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001029","11"
"175","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001029","17"
"176","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001029","boss_def_lower_limit"
"177","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001029","boss_magic_def_lower_limit"
"178","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001029","9"
"179","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001030","12"
"180","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001030","11"
"181","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001030","17"
"182","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001030","boss_def_lower_limit"
"183","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001030","boss_magic_def_lower_limit"
"184","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001030","9"
"185","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","81001030","boss_tp_down_cut"
"186","戰鬥開始時，特大幅度減少全體角色的HP回復量。","降低HP恢復量","81001030","2"
"187","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001001","13"
"188","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001001","11"
"189","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001001","17"
"190","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001001","boss_def_lower_limit"
"191","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001001","boss_magic_def_lower_limit"
"192","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001001","9"
"193","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001002","13"
"194","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001002","11"
"195","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001002","17"
"196","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001002","boss_def_lower_limit"
"197","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001002","boss_magic_def_lower_limit"
"198","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001002","9"
"199","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001003","13"
"200","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001003","11"
"201","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001003","17"
"202","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001003","boss_def_lower_limit"
"203","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001003","boss_magic_def_lower_limit"
"204","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001003","9"
"205","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001004","13"
