68f48ea81cfd34a7d981d69ec615976959e2718984b36a36d1111c9aac5b29ae,72c2b29970773fed7a78ea98809f88dde68feb40e40d9437040e274cd7afb903,b14f4de3a4639719af0c682ad54f3846b6f1691080b0666417ce1e7474a4cc53,72c155e6c2d1fd95da302d37b8bc4fb8f4c308dd2119cb8ff87e2ccf6b82218b,1d93fe87ae6d5d16d6f1309716b5d0e490daed3508cb0370f58b5153d4e3d3bf,9e91d4cbacb446969897a75e28acc071457f4610082715a67383e14d635c1903,9a7e82752ced3bce77745f5268c04d0eaa912f21b85f7e47fc90d9fe56a379e3,383923e2ae48ae540a51d794b7e0a8ad6b873780f37a17dc5b2d3a603cfe5505,6bb1ea25cc57c0ba0a1ffa54b455a21edf778202f90795d15c67fd3216719890,021363dfaf387e33202b60a4cf6f7b56ae5ad35d302dcb0c0fa185bf12aa24c0
"1010030","1","30","2","","0","vo_10011600","vo_10011600_0106","0","0"
"1010031","1","31","1","……是不是就能","6","0","0","0","0"
"1010032","1","32","4","","0","0","0","1","1.58333333333333"
"1010033","1","33","1","交到朋友呢？","8","0","0","0","0"
"1010034","1","34","4","","0","0","0","1","1.75"
"1020001","2","1","2","","0","vo_10011600","vo_10011600_0201","0","0"
"1020002","2","2","1","　一想到要用「日安」向別人打招呼，","8","0","0","0","0"
"1020003","2","3","4","","0","0","0","1","2.375"
"1020004","2","4","1","我孤單的心靈就會緊張到怦怦狂跳。\n","8","0","0","0","0"
"1020005","2","5","4","","0","0","0","1","4"
"1020006","2","6","2","","0","vo_10011600","vo_10011600_0202","0","0"
"1020007","2","7","1","不過，","8","0","0","0","0"
"1020008","2","8","4","","0","0","0","1","1.125"
"1020009","2","9","1","此時BB團團長卻突然現身！","8","0","0","0","0"
"1020010","2","10","4","","0","0","0","1","3.75"
"1020011","2","11","2","","0","vo_10011600","vo_10011600_0203","0","0"
"1020012","2","12","1","　BB團的羈絆","8","0","0","0","0"
"1020013","2","13","4","","0","0","0","1","1.875"
"1020014","2","14","1","不管走到哪裡都不會改變呢！\n","8","0","0","0","0"
"1020015","2","15","4","","0","0","0","1","3.75"
"1020016","2","16","2","","0","vo_10011600","vo_10011600_0204","0","0"
"1020017","2","17","1","然後，","8","0","0","0","0"
"1020018","2","18","4","","0","0","0","1","1"
"1020019","2","19","1","我認識了和那個人一起來到","8","0","0","0","0"
"1020020","2","20","4","","0","0","0","1","2"
"1020021","2","21","1","聖德蕾莎女學院","8","0","0","0","0"
"1020022","2","22","4","","0","0","0","1","1.125"
"1020023","2","23","1","（好朋友社）的成員們。","8","0","0","0","0"
"1020024","2","24","4","","0","0","0","1","3.5"
"1020025","2","25","2","","0","vo_10011600","vo_10011600_0205","0","0"
"1020026","2","26","1","　大家似乎都是很有個性的人，","8","0","0","0","0"
"1020027","2","27","4","","0","0","0","1","3"
"1020028","2","28","1","我很擔心自己是否能和他們融洽相處……","6","0","0","0","0"
"1020029","2","29","4","","0","0","0","1","2.83333333333333"
"1030001","3","1","2","","0","vo_10011600","vo_10011600_0301","0","0"
"1030002","3","2","1","　我搞砸了。","8","0","0","0","0"
"1030003","3","3","4","","0","0","0","1","3"
"1030004","3","4","2","","0","vo_10011600","vo_10011600_0302","0","0"
"1030005","3","5","1","　自我介紹對孤單的人來說就像眼前的巨大障礙。","8","0","0","0","0"
"1030006","3","6","4","","0","0","0","1","5.125"
"1030007","3","7","2","","0","vo_10011600","vo_10011600_0303","0","0"
"1030008","3","8","1","　我明明已經在腦海中做過很多次假想訓練，","8","0","0","0","0"
"1030009","3","9","4","","0","0","0","1","2.625"
"1030010","3","10","1","卻還是失敗了。","8","0","0","0","0"
"1030011","3","11","4","","0","0","0","1","2.75"
"1030012","3","12","2","","0","vo_10011600","vo_10011600_0304","0","0"
"1030013","3","13","1","　當所有同學盯著我看的那一瞬間，","8","0","0","0","0"
"1030014","3","14","4","","0","0","0","1","3.5"
"1030015","3","15","1","我的腦中變得一片空白，","8","0","0","0","0"
"1030016","3","16","4","","0","0","0","1","2"
"1030017","3","17","1","然後又開始脫口說出奇怪的話。\n","10","0","0","0","0"
"1030018","3","18","4","","0","0","0","1","4.5"
"1030019","3","19","2","","0","vo_10011600","vo_10011600_0305","0","0"
"1030020","3","20","1","雖然大家笑得很開心，","8","0","0","0","0"
"1030021","3","21","4","","0","0","0","1","3"
"1030022","3","22","1","不過我還是對未來感到不安……","8","0","0","0","0"
"1030023","3","23","4","","0","0","0","1","2.25"
"1040001","4","1","2","","0","vo_10011600","vo_10011600_0401","0","0"
"1040002","4","2","1","　優妮看起來","8","0","0","0","0"
"1040003","4","3","4","","0","0","0","1","1.75"
"1040004","4","4","1","是個很聰明的人。","8","0","0","0","0"
"1040005","4","5","4","","0","0","0","1","2.625"
"1040006","4","6","2","","0","vo_10011600","vo_10011600_0402","0","0"
"1040007","4","7","1","　她的用字譴詞十分艱澀，","8","0","0","0","0"
"1040008","4","8","4","","0","0","0","1","3.75"
"1040009","4","9","1","有些單字常常讓我聽不懂，","8","0","0","0","0"
"1040010","4","10","4","","0","0","0","1","3.125"
"1040011","4","11","1","以後我是不是應該隨身攜帶字典呢？\n","8","0","0","0","0"
"1040012","4","12","4","","0","0","0","1","4"
"1040013","4","13","2","","0","vo_10011600","vo_10011600_0403","0","0"
"1040014","4","14","1","　總是關在象牙之塔裡埋頭研究，","8","0","0","0","0"
"1040015","4","15","4","","0","0","0","1","3.75"
"1040016","4","16","1","平常不會從那裡踏出一步，","8","0","0","0","0"
"1040017","4","17","4","","0","0","0","1","3.25"
"1040018","4","18","1","散發出和我一樣的孤獨氣息。","8","0","0","0","0"
"1040019","4","19","4","","0","0","0","1","3.375"
"1040020","4","20","2","","0","vo_10011600","vo_10011600_0404","0","0"
"1040021","4","21","1","　「孤獨會召喚孤獨」，","8","0","0","0","0"
"1040022","4","22","4","","0","0","0","1","2.5"
"1040023","4","23","1","我","8","0","0","0","0"
"1040024","4","24","4","","0","0","0","1","1.125"
"1040025","4","25","1","不記得是誰說過這句話，","8","0","0","0","0"
"1040026","4","26","4","","0","0","0","1","2.75"
"1040027","4","27","1","但是說不定……\n","8","0","0","0","0"
"1040028","4","28","4","","0","0","0","1","2"
"1040029","4","29","2","","0","vo_10011600","vo_10011600_0405","0","0"
"1040030","4","30","1","擁有相同宿命的同伴，","8","0","0","0","0"
"1040031","4","31","4","","0","0","0","1","2.375"
"1040032","4","32","1","彼此可以成為好朋友？","8","0","0","0","0"
"1040033","4","33","4","","0","0","0","1","2.125"
"1050001","5","1","2","","0","vo_10011600","vo_10011600_0501","0","0"
"1050002","5","2","1","　克蘿依和我一樣都是","8","0","0","0","0"
"1050003","5","3","4","","0","0","0","1","1.875"
"1050004","5","4","1","精靈，","8","0","0","0","0"
"1050005","5","5","4","","0","0","0","1","1.5"
"1050006","5","6","1","可是……","8","0","0","0","0"
"1050007","5","7","4","","0","0","0","1","1.625"
"1050008","5","8","1","她給人的感覺，","8","0","0","0","0"
"1050009","5","9","4","","0","0","0","1","1.375"
"1050010","5","10","1","有點不太一樣。","8","0","0","0","0"
"1050011","5","11","4","","0","0","0","1","2.625"
"1050012","5","12","2","","0","vo_10011600","vo_10011600_0502","0","0"
"1050013","5","13","1","說不定擁有相同宿命的同伴，彼此可以成為好朋友？","8","0","0","0","0"
"1050014","5","14","4","","0","0","0","1","3.625"
"1050015","5","15","1","我曾經抱持這樣的想法，","8","0","0","0","0"
"1050016","5","16","4","","0","0","0","1","2.125"
"1050017","5","17","1","但是我根本不敢向她搭話！","8","0","0","0","0"
"1050018","5","18","4","","0","0","0","1","3.125"
"1050019","5","19","2","","0","vo_10011600","vo_10011600_0503","0","0"
"1050020","5","20","1","按照那個人的說法，","8","0","0","0","0"
"1050021","5","21","4","","0","0","0","1","1.65"
"1050022","5","22","1","她好像是個熱心助人，","8","0","0","0","0"
"1050023","5","23","4","","0","0","0","1","1.625"
"1050024","5","24","1","而且個性溫柔的好人……\n","8","0","0","0","0"
"1050025","5","25","4","","0","0","0","1","3.125"
"1050026","5","26","2","","0","vo_10011600","vo_10011600_0504","0","0"
"1050027","5","27","1","這麼說來，","8","0","0","0","0"
"1050028","5","28","4","","0","0","0","1","2"
"1050029","5","29","1","噗……","8","0","0","0","0"
"1050030","5","30","4","","0","0","0","1","1.5"
"1050031","5","31","1","那個聲音其實是歎息聲（？）、","8","0","0","0","0"
"1050032","5","32","4","","0","0","0","1","2.375"
"1050033","5","33","2","","0","vo_10011600","vo_10011600_0505","0","0"
"1050034","5","34","1","雖然說不出口……\n","8","0","0","0","0"
"1050035","5","35","4","","0","0","0","1","2.375"
"1050036","5","36","1","但是聽起來好可愛啊！","8","0","0","0","0"
"1050037","5","37","4","","0","0","0","1","1.375"
"1050038","5","38","1","我不禁在心裡這麼想。","8","0","0","0","0"
"1050039","5","39","4","","0","0","0","1","1"
"1060001","6","1","2","","0","vo_10011600","vo_10011600_0601","0","0"
"1060002","6","2","1","　琪愛兒則是個現充。","8","0","0","0","0"
"1060003","6","3","4","","0","0","0","1","2.375"
"1060004","6","4","1","這一點是毋庸置疑的。\n","8","0","0","0","0"
"1060005","6","5","4","","0","0","0","1","2.5"
"1060006","6","6","2","","0","vo_10011600","vo_10011600_0602","0","0"
"1060007","6","7","1","長得很可愛，擁有很多朋友。","8","0","0","0","0"
"1060008","6","8","4","","0","0","0","1","2.5"
"1060009","6","9","1","和我這種邊緣人完全相反。","8","0","0","0","0"
"1060010","6","10","4","","0","0","0","1","2.875"
"1060011","6","11","2","","0","vo_10011600","vo_10011600_0603","0","0"
"1060012","6","12","1","身上散發出令人難以直視的耀眼光芒。\n","8","0","0","0","0"
"1060013","6","13","4","","0","0","0","1","3.25"
"1060014","6","14","2","","0","vo_10011600","vo_10011600_0604","0","0"
"1060015","6","15","1","如果和她面對面說話，","8","0","0","0","0"
"1060016","6","16","4","","0","0","0","1","3.5"
"1060017","6","17","1","我的空虛心靈一定會裂成碎片，","8","0","0","0","0"
"1060018","6","18","4","","0","0","0","1","2.5"
"1060019","6","19","1","掉落滿地。\n","8","0","0","0","0"
"1060020","6","20","4","","0","0","0","1","3.875"
"1060021","6","21","2","","0","vo_10011600","vo_10011600_0605","0","0"
"1060022","6","22","1","「切嚕～」，","8","0","0","0","0"
"1060023","6","23","4","","0","0","0","1","1.75"
"1060024","6","24","1","那種問候語…","8","0","0","0","0"
"1060025","6","25","4","","0","0","0","1","1.625"
"1060026","6","26","1","如果要我說出來，我一定會當場昏倒，","8","0","0","0","0"
"1060027","6","27","4","","0","0","0","1","2.75"
"1060028","6","28","1","直接蒙主寵召……","8","0","0","0","0"
"1060029","6","29","4","","0","0","0","1","3.125"
"1070001","7","1","2","","0","vo_10011600","vo_10011600_0701","0","0"
"1070002","7","2","1","　今天真的是每件事情","8","0","0","0","0"
"1070003","7","3","4","","0","0","0","1","2.375"
"1070004","7","4","1","都受到優妮的照顧。\n","7","0","0","0","0"
"1070005","7","5","4","","0","0","0","1","3.28571428571429"
"1070006","7","6","2","","0","vo_10011600","vo_10011600_0702","0","0"
"1070007","7","7","1","和喜歡調侃人的克蘿依與琪愛兒完全不同，","8","0","0","0","0"
"1070008","7","8","4","","0","0","0","1","4.625"
"1070009","7","9","1","我從她身上看見了充滿知性，","8","0","0","0","0"
"1070010","7","10","4","","0","0","0","1","1.5"
"1070011","7","11","1","值得信賴的一面。","10","0","0","0","0"
"1070012","7","12","4","","0","0","0","1","2.4"
"1070013","7","13","2","","0","vo_10011600","vo_10011600_0703","0","0"
"1070014","7","14","1","俐落下達明確指示的模樣，","8","0","0","0","0"
"1070015","7","15","4","","0","0","0","1","2.375"
"1070016","7","16","1","充分展現出她身為公會長的威嚴。","8","0","0","0","0"
"1070017","7","17","4","","0","0","0","1","3.5"
"1070018","7","18","2","","0","vo_10011600","vo_10011600_0704","0","0"
"1070019","7","19","1","我相信優妮一定","8","0","0","0","0"
"1070020","7","20","4","","0","0","0","1","2.25"
"1070021","7","21","1","可以將優妮們的威名傳播到全世界。\n\n","8","0","0","0","0"
"1070022","7","22","4","","0","0","0","1","6.625"
"1070023","7","23","2","","0","vo_10011600","vo_10011600_0705","0","0"
"1070024","7","24","1","咦？","8","0","0","0","0"
"1070025","7","25","4","","0","0","0","1","1.125"
"1070026","7","26","1","　公會名是這樣嗎？","8","0","0","0","0"
"1070027","7","27","4","","0","0","0","1","2.75"
"1080001","8","1","2","","0","vo_10011600","vo_10011600_0801","0","0"
"1080002","8","2","1","　初次見面時，","8","0","0","0","0"
"1080003","8","3","4","","0","0","0","1","1.75"
"1080004","8","4","1","因為太害怕而遲遲不敢跟克蘿依說話。","8","0","0","0","0"
"1080005","8","5","4","","0","0","0","1","4.125"
"1080006","8","6","2","","0","vo_10011600","vo_10011600_0802","0","0"
"1080007","8","7","1","不過後來我漸漸明白她其實是個很溫柔的人，","8","0","0","0","0"
"1080008","8","8","4","","0","0","0","1","2.75"
"1080009","8","9","1","而且時常關心我的事情。\n","8","0","0","0","0"
"1080010","8","10","4","","0","0","0","1","5.875"
"1080011","8","11","2","","0","vo_10011600","vo_10011600_0803","0","0"
"1080012","8","12","1","托克蘿依的福，雖然只有一點點…","8","0","0","0","0"
"1080013","8","13","4","","0","0","0","1","3.25"
"1080014","8","14","1","不過\n我總算比較能融入班上。\n","8","0","0","0","0"
"1080015","8","15","4","","0","0","0","1","4.25"
"1080016","8","16","2","","0","vo_10011600","vo_10011600_0804","0","0"
"1080017","8","17","1","克蘿依似乎有很多兄弟姊妹。","8","0","0","0","0"
"1080018","8","18","4","","0","0","0","1","4.125"
"1080019","8","19","2","","0","vo_10011600","vo_10011600_0805","0","0"
"1080020","8","20","1","的確，","8","0","0","0","0"
"1080021","8","21","4","","0","0","0","1","1.625"
"1080022","8","22","1","今天的克蘿依差點讓我脫口喊她姊姊！","8","0","0","0","0"
"1080023","8","23","4","","0","0","0","1","4.625"
"1090001","9","1","2","","0","vo_10011600","vo_10011600_0901","0","0"
"1090002","9","2","1","　切嚕～","8","0","0","0","0"
"1090003","9","3","4","","0","0","0","1","3.875"
"1090004","9","4","2","","0","vo_10011600","vo_10011600_0902","0","0"
"1090005","9","5","1","如果可以學會說出這句問候語，","8","0","0","0","0"
"1090006","9","6","4","","0","0","0","1","2.75"
"1090007","9","7","1","我是不是就能像琪愛兒一樣","8","0","0","0","0"
"1090008","9","8","4","","0","0","0","1","2.375"
"1090009","9","9","1","開朗有自信，擁有許多朋友，","8","0","0","0","0"
"1090010","9","10","4","","0","0","0","1","2.75"
"1090011","9","11","1","變身為自己理想中的女性呢？\n","8","0","0","0","0"
"1090012","9","12","4","","0","0","0","1","4.375"
"1090013","9","13","2","","0","vo_10011600","vo_10011600_0903","0","0"
"1090014","9","14","1","不過","8","0","0","0","0"
"1090015","9","15","4","","0","0","0","1","1.25"
"1090016","9","16","1","這句問候語對我而言還太困難，","8","0","0","0","0"
"1090017","9","17","4","","0","0","0","1","2.875"
"1090018","9","18","1","今天暫且寫下來就好。\n","8","0","0","0","0"
"1090019","9","19","4","","0","0","0","1","4.125"
"1090020","9","20","2","","0","vo_10011600","vo_10011600_0904","0","0"
"1090021","9","21","1","切嚕～切嚕～切嚕～切嚕～切嚕～","8","0","0","0","0"
"1090022","9","22","4","","0","0","0","1","4.125"
"1090023","9","23","2","","0","vo_10011600","vo_10011600_0905","0","0"
"1090024","9","24","1","切嚕～切嚕～切嚕～切嚕～切嚕～","8","0","0","0","0"
"1090025","9","25","4","","0","0","0","1","4.125"
"1090026","9","26","2","","0","vo_10011600","vo_10011600_0906","0","0"
"1090027","9","27","1","切嚕～切嚕～切嚕～切嚕～切嚕～\n","8","0","0","0","0"
"1090028","9","28","4","","0","0","0","1","4.125"
"1090029","9","29","2","","0","vo_10011600","vo_10011600_0907","0","0"
"1090030","9","30","1","切嚕～切嚕～切嚕～","8","0","0","0","0"
"1090031","9","31","4","","0","0","0","1","2.875"
"1100001","10","1","2","","0","vo_10011600","vo_10011600_1001","0","0"
"1100002","10","2","1","　忘記了忘記了忘記了！\n","8","0","0","0","0"
"1100003","10","3","4","","0","0","0","1","2.75"
"1100004","10","4","1","特別講座到底該怎麼辦啦！","8","0","0","0","0"
"1100005","10","5","4","","0","0","0","1","2.25"
"1100006","10","6","2","","0","vo_10011600","vo_10011600_1002","0","0"
"1100007","10","7","1","從精靈之森帶來的曼德拉草逃跑了，","8","0","0","0","0"
"1100008","10","8","4","","0","0","0","1","3.625"
"1100009","10","9","1","我完全沒有任何準備！\n","8","0","0","0","0"
"1100010","10","10","4","","0","0","0","1","2.375"
"1100011","10","11","2","","0","vo_10011600","vo_10011600_1003","0","0"
"1100012","10","12","1","……精靈之森嗎","8","0","0","0","0"
"1100013","10","13","4","","0","0","0","1","2"
"1100014","10","14","1","似乎在呼喚我……","8","0","0","0","0"
"1100015","10","15","4","","0","0","0","1","2.25"
"1100016","10","16","2","","0","vo_10011600","vo_10011600_1004","0","0"
"1100017","10","17","1","不對，不行不行，","8","0","0","0","0"
"1100018","10","18","4","","0","0","0","1","1.875"
"1100019","10","19","1","我不能背叛美里老師的期待！\n","8","0","0","0","0"
"1100020","10","20","4","","0","0","0","1","4.125"
"1100021","10","21","2","","0","vo_10011600","vo_10011600_1005","0","0"
"1100022","10","22","1","但是我該如何是好？","8","0","0","0","0"
"1100023","10","23","4","","0","0","0","1","3.125"
"1100024","10","24","2","","0","vo_10011600","vo_10011600_1006","0","0"
"1100025","10","25","1","既然如此，","8","0","0","0","0"
"1100026","10","26","4","","0","0","0","1","1.75"
"1100027","10","27","1","乾脆將「如何度過孤獨人生」的要點整理出來","8","0","0","0","0"
"1100028","10","28","4","","0","0","0","1","3.375"
"1100029","10","29","1","並且對外發表吧……？","8","0","0","0","0"
"1100030","10","30","4","","0","0","0","1","2.5"
"1110001","11","1","2","","0","vo_10011600","vo_10011600_1101","0","0"
"1110002","11","2","1","　特別講座","8","0","0","0","0"
"1110003","11","3","4","","0","0","0","1","1.75"
"1110004","11","4","1","結束！\n","8","0","0","0","0"
"1110005","11","5","4","","0","0","0","1","2.625"
"1110006","11","6","2","","0","vo_10011600","vo_10011600_1102","0","0"
"1110007","11","7","1","結果……","8","0","0","0","0"
"1110008","11","8","4","","0","0","0","1","1.625"
"1110009","11","9","1","成功","8","0","0","0","0"
"1110010","11","10","4","","0","0","0","1","1.375"
"1110011","11","11","1","…應該吧。","8","0","0","0","0"
"1110012","11","12","4","","0","0","0","1","3.125"
"1110013","11","13","2","","0","vo_10011600","vo_10011600_1103","0","0"
"1110014","11","14","1","　這一切都要感謝","8","0","0","0","0"
"1110015","11","15","4","","0","0","0","1","2.5"
"1110016","11","16","1","從旁協助的那個人，","8","0","0","0","0"
"1110017","11","17","4","","0","0","0","1","1.875"
"1110018","11","18","1","以及","8","0","0","0","0"
"1110019","11","19","4","","0","0","0","1","0.875"
"1110020","11","20","1","好朋友社的各位。\n","8","0","0","0","0"
"1110021","11","21","4","","0","0","0","1","3"
"1110022","11","22","2","","0","vo_10011600","vo_10011600_1104","0","0"
"1110023","11","23","1","講座結束之後，","8","0","0","0","0"
"1110024","11","24","4","","0","0","0","1","2.125"
"1110025","11","25","1","許多人圍在我身邊，讓我感到很害怕。","8","0","0","0","0"
"1110026","11","26","4","","0","0","0","1","3"
"1110027","11","27","2","","0","vo_10011600","vo_10011600_1105","0","0"
"1110028","11","28","1","可是我…","8","0","0","0","0"
"1110029","11","29","4","","0","0","0","1","1.5"
"1110030","11","30","1","沒有像往常一樣逃跑！\n","8","0","0","0","0"
"1110031","11","31","4","","0","0","0","1","3.125"
"1110032","11","32","2","","0","vo_10011600","vo_10011600_1106","0","0"
"1110033","11","33","1","我是否也有稍微……","8","0","0","0","0"
"1110034","11","34","4","","0","0","0","1","2"
"1110035","11","35","1","雖然只有一點點……","8","0","0","0","0"
"1110036","11","36","4","","0","0","0","1","2.625"
"1110037","11","37","1","成長……","8","0","0","0","0"
"1110038","11","38","4","","0","0","0","1","1.5"
"1110039","11","39","1","了呢？","8","0","0","0","0"
"1110040","11","40","4","","0","0","0","1","1.875"
"1120001","12","1","2","","0","vo_10011600","vo_10011600_1201","0","0"
"1120002","12","2","1","　沒想到我居然可以自然而然地融入聖德蕾莎女學院，","8","0","0","0","0"
"1120003","12","3","4","","0","0","0","1","4.25"
"1120004","12","4","1","那個人果然好厲害啊！\n","8","0","0","0","0"
"1120005","12","5","4","","0","0","0","1","3.5"
"1120006","12","6","2","","0","vo_10011600","vo_10011600_1202","0","0"
"1120007","12","7","1","　走在走廊時，","8","0","0","0","0"
"1120008","12","8","4","","0","0","0","1","2.125"
"1120009","12","9","1","其他學生看見那個人後紛紛露出驚訝的表情，","8","0","0","0","0"
"1120010","12","10","4","","0","0","0","1","3.375"
"1120011","12","11","1","不過那個人還是微笑著向大家打招呼！\n","8","0","0","0","0"
"1120012","12","12","4","","0","0","0","1","3.125"
"1120013","12","13","2","","0","vo_10011600","vo_10011600_1203","0","0"
"1120014","12","14","1","即使有人","8","0","0","0","0"
"1120015","12","15","4","","0","0","0","1","1.375"
"1120016","12","16","1","朝著他尖叫，","8","0","0","0","0"
"1120017","12","17","4","","0","0","0","1","1.25"
"1120018","12","18","1","他依舊一臉蠻不在乎地揮手以對！","8","0","0","0","0"
"1120019","12","19","4","","0","0","0","1","2.5"
"1120020","12","20","2","","0","vo_10011600","vo_10011600_1204","0","0"
"1120021","12","21","1","　和不懂得打招呼的我完全不同！\n\n","8","0","0","0","0"
"1120022","12","22","4","","0","0","0","1","4.625"
"1120023","12","23","2","","0","vo_10011600","vo_10011600_1205","0","0"
"1120024","12","24","1","我也好想盡快","8","0","0","0","0"
"1120025","12","25","4","","0","0","0","1","1.25"
"1120026","12","26","1","變成那樣的人……","8","0","0","0","0"
"1120027","12","27","4","","0","0","0","1","2.5"
"1130001","13","1","2","","0","vo_10011600","vo_10011600_1301","0","0"
"1130002","13","2","1","　我帶來的曼德拉草惹出大麻煩……","8","0","0","0","0"
"1130003","13","3","4","","0","0","0","1","4.875"
"1130004","13","4","2","","0","vo_10011600","vo_10011600_1302","0","0"
"1130005","13","5","1","可是，","8","0","0","0","0"
"1130006","13","6","4","","0","0","0","1","1.25"
"1130007","13","7","1","多虧那個人和好朋友社出手相助，","8","0","0","0","0"
"1130008","13","8","4","","0","0","0","1","4"
"1130009","13","9","1","最後終於趕在釀成重大災情前及時阻止了牠。","8","0","0","0","0"
"1130010","13","10","4","","0","0","0","1","5"
"1130011","13","11","2","","0","vo_10011600","vo_10011600_1303","0","0"
"1130012","13","12","1","　雖然大家","8","0","0","0","0"
"1130013","13","13","4","","0","0","0","1","1.45"
"1130014","13","14","1","口口聲聲說自己別有所圖，","8","0","0","0","0"
"1130015","13","15","4","","0","0","0","1","2.75"
"1130016","13","16","1","但是我相信事情一定不是那樣的。\n","8","0","0","0","0"
"1130017","13","17","4","","0","0","0","1","3.25"
"1130018","13","18","2","","0","vo_10011600","vo_10011600_1304","0","0"
"1130019","13","19","1","能夠像這樣和大家並肩作戰，","8","0","0","0","0"
"1130020","13","20","4","","0","0","0","1","2.75"
"1130021","13","21","1","我真的很高興。\n","8","0","0","0","0"
"1130022","13","22","4","","0","0","0","1","2.5"
"1130023","13","23","2","","0","vo_10011600","vo_10011600_1305","0","0"
"1130024","13","24","1","感覺就像……","8","0","0","0","0"
"1130025","13","25","4","","0","0","0","1","1.75"
"1130026","13","26","1","和大家…","8","0","0","0","0"
"1130027","13","27","4","","0","0","0","1","1.375"
"1130028","13","28","1","變成了同伴。","8","0","0","0","0"
"1130029","13","29","4","","0","0","0","1","2.125"
"1140001","14","1","2","","0","vo_10011600","vo_10011600_1401","0","0"
"1140002","14","2","1","　今天是","8","0","0","0","0"
"1140003","14","3","4","","0","0","0","1","1.5"
"1140004","14","4","1","在聖德蕾莎女學院上課的","7","0","0","0","0"
"1140005","14","5","4","","0","0","0","1","3.60714285714286"
"1140006","14","6","1","……最後一天。\n","8","0","0","0","0"
"1140007","14","7","4","","0","0","0","1","3.25"
"1140008","14","8","2","","0","vo_10011600","vo_10011600_1402","0","0"
"1140009","14","9","1","一開始聽見美里老師提出這項要求時，","8","0","0","0","0"
"1140010","14","10","4","","0","0","0","1","3.375"
"1140011","14","11","1","我認為自己一定無法辦到。","8","0","0","0","0"
"1140012","14","12","4","","0","0","0","1","3.125"
"1140013","14","13","2","","0","vo_10011600","vo_10011600_1403","0","0"
"1140014","14","14","1","　但是現在心中卻十分不捨，","8","0","0","0","0"
"1140015","14","15","4","","0","0","0","1","2.625"
"1140016","14","16","1","於是像這樣靠著寫日記紀錄一切。\n","8","0","0","0","0"
"1140017","14","17","4","","0","0","0","1","3.375"
"1140018","14","18","2","","0","vo_10011600","vo_10011600_1404","0","0"
"1140019","14","19","1","　閉上眼睛，","8","0","0","0","0"
"1140020","14","20","4","","0","0","0","1","2"
"1140021","14","21","1","那個人和","8","0","0","0","0"
"1140022","14","22","4","","0","0","0","1","1.5"
"1140023","14","23","1","好朋友社的各位、","8","0","0","0","0"
"1140024","14","24","4","","0","0","0","1","2.125"
"1140025","14","25","1","以及所有對我親切友好的同學們。\n\n","8","0","0","0","0"
"1140026","14","26","4","","0","0","0","1","6.375"
