7b57efa79541fbf7130b5c3930474d023351ca3776f2ec3ad87e0b8a60e5be8f,9f50129995039fc3a9662cbd17df392b4dbe3fcbfb6d97c50304f8f8b670ed17,3a4d4e1cf99cbc96df07d0673407646b449ab0446a435e301f78a87977ea6187,fbde344906f99b67c74e305135093178bd4ab441938b7fc73cd88cc19e037bd8,187f4264fd81cd4ad6c6b5e34ecbf372331eea7d0d0ab2494c41a080e4959130,7fb34218cdcc1152e68b83256e19ebcd0d65caad2bf75a3f7627fe477ad1f05d,301fca8a4adee96960a2f88bff7747963957aec8e6e2269590c344ea26abaa10,459748a50fe8b3d59cfc1496661e73d7ed57113e7ae3385f0119c8dad8fb7a72,0b54452c9f5ad2638da6dd8d77357122dfbe63163af771bae8bb04f7e237d179,1ad8ba57db2a120bb8c03b996fe8dac3bc41d36b0ecea9645199a52bd2c83c10,ae2adfe4cd8b4073bdb226e84a9a0cfc7576c503da2156195a6cc9243afb48ef
"10","0","118511","1","0.5","11","112","1","112034","0","是的，希望你們能從這裡開始，\n沿著蘭德索爾的牆壁繞一圈，\n用繪畫填滿整片牆。"
"","","112034","","","91","112","","112035","",""
"1","","118511","","","3","112","","112036","0.2","wac_215_karin_idle_normal"
"1","","106431","","","3","112","","112037","0.2","wac_215_talk_sad"
"0","","vo_wac_220215","0","","21","112","","112038","","vo_wac_220215_007"
"10","0","106431","1","0.5","11","112","1","112039","0","咦？要沿著蘭德索爾的牆壁……\n繞一圈？"
"","","112039","","","91","112","","112040","",""
"1","","106431","","","3","112","","112041","0.2","wac_215_idle_sad"
"1","","118511","","","3","112","","112042","0.2","wac_215_karin_talk_wish"
"0","","vo_wac_220215","0","","21","112","","112043","","vo_wac_220215_008"
"10","0","118511","1","0.5","11","112","1","112044","0","是的♪你們不覺得要是能用\n漂亮的圖畫裝飾整個蘭德索爾，\n就能讓這裡變成一座\n充滿了魅力的城鎮嗎？"
"","","112044","","","91","112","","112045","",""
"1","","118511","","","3","112","","112046","0.2","wac_215_karin_idle_normal"
"1","","105911","","","3","112","","112047","0.2","wac_215_coccoro_talk_wish"
"0","","vo_wac_220215","0","","21","112","","112048","","vo_wac_220215_009"
"10","0","105911","1","0.5","11","112","1","112049","0","這個計畫……還真是壯闊啊。\n花凜小姐。"
"","","112049","","","91","112","","112050","",""
"1","","105911","","","3","112","","112051","0.2","wac_215_coccoro_idle_wish"
"0","0","105811","wac_215_peko_talk_guts2_loop","","3","112","1","112052","0.2","wac_215_peko_talk_guts2"
"0","","vo_wac_220215","0","","21","112","","112053","","vo_wac_220215_010"
"10","0","105811","1","0.5","11","112","1","112054","0","好興奮喔！太讚了吧☆\n那就去請在王宮工作的畫家\n教我們怎麼畫畫吧♪"
"","","112054","","","91","112","","112055","",""
"1","","105811","","","3","112","","112056","0.2","wac_215_peko_idle_guts2"
"","","105811","","","4","112","","112057","","0"
"","","105911","","","4","112","","112058","","0"
"1","","105811","","","3","112","","112059","0.2","wac_215_idle_joy1"
"1","","105911","","","3","112","","112060","0.2","wac_215_idle_normal"
"1","","106431","","","3","112","","112061","0.2","wac_215_idle_surprise1"
"1","0.2","106011","wac_215_talk_anger2","","3","112","1","112062","0.2","wac_215_kyaru_anger"
"0","","vo_wac_220215","0","","21","112","","112063","","vo_wac_220215_011"
"10","0","106011","1","0.5","11","112","1","112064","0","慢著慢著慢著！！\n就要妳等一下了啊！？\n你們以為繞蘭德索爾的牆壁\n走整整一圈的距離有多遠啊！"
"","","112064","","","91","112","","112065","",""
"1","","106011","","","3","112","","112066","0.2","wac_215_idle_anger2"
"1","","106011","","","3","112","","112067","0.2","wac_215_talk_sad"
"0","","vo_wac_220215","0","","21","112","","112068","","vo_wac_220215_012"
"10","0","106011","1","0.5","11","112","1","112069","0","那可是連正常地走過去\n都會令人厭煩的距離耶？\n如果只有我們，再怎麼樣都……"
"","","112069","","","91","112","","112070","",""
"1","","106011","","","3","112","","112071","0.2","wac_215_idle_sad"
"1","","105911","","","3","112","","112072","0.2","wac_215_coccoro_talk_wish2"
"0","","vo_wac_220215","0","","21","112","","112073","","vo_wac_220215_013"
"10","0","105911","1","0.5","11","112","1","112074","0","凱留小姐，那麼，要不要\n請其他公會也來幫忙呢？\n只要和各位同心協力……"
"","","112074","","","91","112","","112075","",""
"1","","105911","","","3","112","","112076","0.2","wac_215_coccoro_idle_wish2"
"0","0","106011","wac_215_kyaru_talk_doya_loop","","3","112","1","112077","0.2","wac_215_kyaru_talk_doya"
"0","","vo_wac_220215","0","","21","112","","112078","","vo_wac_220215_014"
"10","0","106011","1","0.5","11","112","1","112079","0","可蘿仔，妳這不是超有幹勁的嗎……\n啊～受不了，拿你們沒辦法耶。\n花凜，你很擅長這種事情吧？\n就是那個叫什麼呼喚的東西。"
"","","112079","","","91","112","","112080","",""
"1","","106011","","","3","112","","112081","0.2","wac_215_idle_arm_crossed"
"","","105811","","","4","112","","112082","","1"
"","","105911","","","4","112","","112083","","1"
"1","","105911","","","3","112","","112084","0.2","wac_215_idle_normal_joy"
"1","","106431","","","3","112","","112085","0.2","wac_215_idle_normal2_joy"
"1","","118511","","","3","112","","112086","0.2","wac_215_karin_talk_wish"
"0","","vo_wac_220215","0","","21","112","","112087","","vo_wac_220215_015"
"10","0","118511","1","0.5","11","112","1","112088","0","我明白了，\n那我來彙整發給各個公會的委託書。\n公會呼喚……！"
"","","112088","","","91","112","","112089","",""
"1","","118511","","","3","112","","112090","0.2","wac_215_karin_idle_normal"
"1","","118511","","","3","112","","112091","0.2","wac_215_karin_talk_normal"
"0","","vo_wac_220215","0","","21","112","","112092","","vo_wac_220215_016"
"10","0","118511","1","0.5","11","112","1","112093","0","那在大家畫畫時，\n我就去找其他的公會囉。\n讓牆壁上充滿美麗的圖畫，\n來打造出蘭德索爾的地標景點吧！"
"","","112093","","","91","112","","112094","",""
"1","","118511","","","3","112","","112095","0.2","wac_215_karin_idle_normal"
"0","0.2","105811","wac_215_peko_talk_wish_loop","","3","112","1","112096","0.2","wac_215_peko_talk_wish"
"0","","vo_wac_220215","0","","21","112","","112097","","vo_wac_220215_017"
"10","0","105811","1","0.5","11","112","1","112098","0","我明白了！\n那我就來畫魔物料理──"
"","","112098","","","91","112","","112099","",""
"1","","105811","","","3","112","","112100","0.2","wac_215_peko_idle_wish"
"0","0.2","106011","wac_215_talk_arm_crossed_loop","","3","112","1","112101","0.2","wac_215_kyaru_talk_anger"
"0","","vo_wac_220215","0","","21","112","","112102","","vo_wac_220215_018"
"10","0","106011","1","0.5","11","112","1","112103","0","妳別畫那種噁心的東西！\n但企劃本身算還不錯吧？\n感覺好像很開心……那麼，\n就來大展身手一番吧！"
"","","112103","","","91","112","","112104","",""
"1","","106011","","","3","112","","112105","0.2","wac_215_idle_arm_crossed"
"0","0","105811","wac_215_cmn_eieio_loop","","3","112","1","112106","0.2","wac_215_cmn_eieio"
"0","0","106431","wac_215_cmn_eieio_loop","","3","112","1","112107","0.2","wac_215_cmn_eieio"
"","","0.1","","","93","112","","112108","",""
"0","0","105911","wac_215_cmn_eieio_loop","","3","112","1","112109","0.2","wac_215_cmn_eieio"
"0","0.2","106011","wac_215_cmn_eieio_loop","","3","112","1","112110","0.2","wac_215_cmn_eieio"
"","","0.9","","","93","112","","112111","",""
"0","0.2","118511","wac_215_karin_idle_normal","","3","112","1","112112","0.2","wac_215_handclap"
"","","2","","","93","112","","112113","","0"
"","","0","","","91","112","","112114","",""
"1","","118511","","","3","113","","113001","0.2","wac_215_karin_idle_normal"
"1","","105811","","","3","113","","113002","0.2","wac_215_idle_joy1"
"","","0.1","","","93","113","","113003","",""
"1","","105911","","","3","113","","113004","0.2","wac_215_coccoro_idle_wish"
"1","","106011","","","3","113","","113005","0.2","wac_215_idle_arm_crossed"
"","","0.1","","","93","113","","113006","",""
"1","","106431","","","3","113","","113007","0.2","wac_215_idle_normal2_joy"
"","","0","","","91","113","","113008","",""
"202","0","1","-108","wac_default_11","1","211","-212.75","211001","2","105811"
"201","0","1","-108","wac_default_11","5","211","-212.75","211002","2","111"
"0","","1","0","","31","211","1","211003","1","1"
"0","","2","0","","31","211","1","211004","0","2"
"0","","11","0","","31","211","1","211005","0","11"
"0","","105811","","","3","211","0","211006","0.2","wac_paint_11"
"0","","111","","","3","211","0","211007","0.2","wac_paint_11"
"","","0.3","","","93","211","","211008","","0"
"","","11","","wac_default_11","32","211","","211009","","1"
"0","","se_10035700","","","23","211","","211010","","se_10035700_roller"
"","","1","","","131","211","","211011","",""
"0","","105811","wac_talk_kyapi_loop","","3","212","1","212001","0.2","wac_talk_kyapi_in"
"1","","111","","","3","212","","212002","0.2","wac_no_items"
"-340","","105811","0","","2","212","","212003","","200"
"-340","","111","0","","2","212","","212004","","200"
"","","1","","","32","212","","212005","","0"
"","","2","","","32","212","","212006","","1"
"","","11","","","32","212","","212007","","0"
"0","","vo_wac_220216","0","","21","212","","212008","","vo_wac_220216_000"
"10","0","105811","1","0.5","11","212","1","212009","0","嘿嘿～♪畫畫，畫畫～！\n這搞不好是我有生以來\n第一次畫這麼大一幅畫！"
"","","0","","","91","212","","212010","",""
"0","","vo_wac_220216","0","","21","212","","212011","","vo_wac_220216_001"
"10","0","105811","1","0.5","11","212","1","212012","0","大家一起圍繞在餐桌邊\n當然是很幸福，\n但跟大家一起打造出一件東西……\n也太讚了吧☆"
"","","0","","","91","212","","212013","",""
"","","0","","","22","212","","212014","","0"
"1","","105811","","","3","213","","213001","0.2","wac_idle_kyapi"
"1","","111","","","3","213","","213002","0.2","wac_no_items"
"-340","","105811","0","","2","213","","213003","","200"
"-340","","111","0","","2","213","","213004","","200"
"","","1","","","32","213","","213005","","0"
"","","2","","","32","213","","213006","","1"
"","","11","","","32","213","","213007","","0"
"","","0","","","91","213","","213008","",""
"202","0","1","-108","wac_default_01","1","311","-212.75","311001","2","105911"
"201","0","1","-108","wac_default_03","5","311","-212.75","311002","2","111"
"0","","1","0","","31","311","1","311003","1","1"
"0","","2","0","","31","311","1","311004","0","2"
"0","","11","0","","31","311","1","311005","0","11"
"0","","105911","","","3","311","","311006","0.2","wac_paint_01"
"0","","111","","","3","311","","311007","0.2","wac_paint_03"
"","","11","","wac_default_11","32","311","","311008","","1"
"0","","se_10035700","","","23","311","","311009","","se_10035700_brush"
"","","1","","","131","311","","311010","",""
"0","","105911","wac_talk_wish_loop","","3","312","1","312001","0.2","wac_talk_wish_in"
"1","","111","","","3","312","","312002","0.2","wac_no_items"
"-340","","105911","0","","2","312","","312003","","200"
"-340","","111","0","","2","312","","312004","","200"
"","","1","","","32","312","","312005","","0"
"","","2","","","32","312","","312006","","1"
"","","11","","","32","312","","312007","","0"
"0","","vo_wac_220217","0","","21","312","","312008","","vo_wac_220217_000"
"10","0","105911","1","0.5","11","312","1","312009","0","呼……\n在下認為自己很擅長照顧人，\n卻對畫技沒什麼自信。\n但是──"
"","","0","","","91","312","","312010","",""
"0","","vo_wac_220217","0","","21","312","","312011","","vo_wac_220217_001"
"10","0","105911","1","0.5","11","312","1","312012","0","在下希望有朝一日，能在蘭德索爾的\n這面牆畫上主人威風凜凜的模樣……\n在下會努力的。\n請你看著在下吧，主人……♪"
"","","0","","","91","312","","312013","",""
"","","0","","","22","312","","312014","","0"
"1","","105911","","","3","313","","313001","0.2","wac_idle_wish"
"1","","111","","","3","313","","313002","0.2","wac_no_items"
"-340","","105911","0","","2","313","","313003","","200"
"-340","","111","0","","2","313","","313004","","200"
"","","1","","","32","313","","313005","","0"
"","","2","","","32","313","","313006","","1"
"","","11","","","32","313","","313007","","0"
"","","0","","","91","313","","313008","",""
"202","0","1","-108","wac_default_01","1","411","-212.75","411001","2","106011"
"201","0","1","-108","wac_default_02","5","411","-212.75","411002","2","111"
"0","","1","0","","31","411","1","411003","1","1"
"0","","2","0","","31","411","1","411004","0","2"
"0","","11","0","","31","411","1","411005","0","11"
"0","","106011","","","3","411","","411006","0.2","wac_paint_01"
"0","","111","","","3","411","","411007","0.2","wac_paint_02"
"","","11","","wac_default_11","32","411","","411008","","1"
"0","","se_10035700","","","23","411","0","411009","0.2","se_10035700_brush"
"","","1","","","131","411","","411010","",""
"0","","106011","wac_talk_doya_loop","","3","412","1","412001","0.2","wac_talk_doya_in"
"1","","111","","","3","412","","412002","0.2","wac_no_items"
"-340","","106011","0","","2","412","","412003","","200"
"-340","","111","0","","2","412","","412004","","200"
"","","1","","","32","412","","412005","","0"
"","","2","","","32","412","","412006","","1"
"","","11","","","32","412","","412007","","0"
"0","","vo_wac_220218","0","","21","412","","412008","","vo_wac_220218_000"
"10","0","106011","1","0.5","11","412","1","412009","0","哼哼哼～♪\n好，感覺很不錯呢！\n今天的部分完成了！"
"","","0","","","91","412","","412010","",""
"0","","vo_wac_220218","0","","21","412","","412011","","vo_wac_220218_001"
"10","0","106011","1","0.5","11","412","1","412012","0","總覺得開始好玩起來了。\n……我啊，該不會是有\n繪畫的才能吧♪\n好～要來盡情地畫囉！"
"","","0","","","91","412","","412013","",""
"","","0","","","22","412","","412014","","0"
"1","","106011","","","3","413","","413001","0.2","wac_idle_doya"
"1","","111","","","3","413","","413002","0.2","wac_no_items"
"-340","","106011","0","","2","413","","413003","","200"
"-340","","111","0","","2","413","","413004","","200"
"","","1","","","32","413","","413005","","0"
"","","2","","","32","413","","413006","","1"
"","","11","","","32","413","","413007","","0"
"","","0","","","91","413","","413008","",""
"202","0","1","-108","wac_default_11","1","511","-212.75","511001","2","106431"
"201","0","1","-108","wac_default_12","5","511","-212.75","511002","2","111"
"0","","1","0","","31","511","1","511003","1","1"
"0","","2","0","","31","511","1","511004","0","2"
"0","","11","0","","31","511","1","511005","0","11"
"0","","106431","","","3","511","","511006","0.2","wac_paint_11"
"0","","111","","","3","511","","511007","0.2","wac_paint_12"
"","","0.3","","","93","511","","511008","","0"
"","","11","","wac_default_11","32","511","","511009","","1"
"0","","se_10035700","","","23","511","0","511010","0.2","se_10035700_roller"
"","","1","","","131","511","","511011","",""
"0","","106431","wac_talk_smile_loop","","3","512","1","512001","0.2","wac_talk_smile_in"
"1","","111","","","3","512","","512002","0.2","wac_no_items"
"-340","","106431","0","","2","512","","512003","","200"
"-340","","111","0","","2","512","","512004","","200"
"","","1","","","32","512","","512005","","0"
"","","2","","","32","512","","512006","","1"
"","","11","","","32","512","","512007","","0"
"0","","vo_wac_220219","0","","21","512","","512008","","vo_wac_220219_000"
"10","0","106431","1","0.5","11","512","1","512009","0","雖然我沒有學過畫畫……\n但盡情地動手畫畫非常新鮮，\n很有趣呢。"
"","","0","","","91","512","","512010","",""
"0","","vo_wac_220219","0","","21","512","","512011","","vo_wac_220219_001"
"10","0","106431","1","0.5","11","512","1","512012","0","我們畫的畫居然會變成\n蘭德索爾的一部分風景，\n總覺得這就像是在作夢……！"
"","","0","","","91","512","","512013","",""
"","","0","","","22","512","","512014","","0"
"1","","106431","","","3","513","","513001","0.2","wac_idle_smile"
"1","","111","","","3","513","","513002","0.2","wac_no_items"
"-340","","106431","0","","2","513","","513003","","200"
"-340","","111","0","","2","513","","513004","","200"
"","","1","","","32","513","","513005","","0"
"","","2","","","32","513","","513006","","1"
"","","11","","","32","513","","513007","","0"
"","","0","","","91","513","","513008","",""
"202","0","1","-108","wac_default_01","1","611","-212.75","611001","2","104411"
"201","0","1","-108","wac_default_01","5","611","-212.75","611002","2","111"
"0","","1","0","","31","611","1","611003","1","1"
"0","","2","0","","31","611","1","611004","0","2"
"0","","11","0","","31","611","1","611005","0","11"
"0","","104411","","","3","611","","611006","0.2","wac_paint_01"
"0","","111","","","3","611","","611007","0.2","wac_paint_01"
"","","11","","wac_default_11","32","611","","611008","","1"
"0","","se_10035700","","","23","611","0","611009","0.2","se_10035700_brush"
"","","1","","","131","611","","611010","",""
"0","","104411","wac_talk_doya_loop","","3","612","1","612001","0.2","wac_talk_doya_in"
"1","","111","","","3","612","","612002","0.2","wac_no_items"
"-340","","104411","0","","2","612","","612003","","200"
"-340","","111","0","","2","612","","612004","","200"
"","","1","","","32","612","","612005","","0"
"","","2","","","32","612","","612006","","1"
"","","11","","","32","612","","612007","","0"
"0","","vo_wac_220220","0","","21","612","","612008","","vo_wac_220220_000"
"10","0","104411","1","0.5","11","612","1","612009","0","將妾身的威嚴淋漓盡致地\n畫在蘭德索爾……\n這不是別有一番雅興嗎！"
"","","0","","","91","612","","612010","",""
"0","","vo_wac_220220","0","","21","612","","612011","","vo_wac_220220_001"
"10","0","104411","1","0.5","11","612","1","612012","0","嗯，話又說回來，真不愧是妾身。\n這美妙的筆觸無人能及。如此一來，\n征服世界的那天也不遠了！\n哼……哼哈哈哈哈，哈～哈哈哈！"
"","","0","","","91","612","","612013","",""
"","","0","","","22","612","","612014","","0"
"1","","104411","","","3","613","","613001","0.2","wac_idle_doya"
"1","","111","","","3","613","","613002","0.2","wac_no_items"
"-340","","104411","0","","2","613","","613003","","200"
"-340","","111","0","","2","613","","613004","","200"
"","","1","","","32","613","","613005","","0"
"","","2","","","32","613","","613006","","1"
"","","11","","","32","613","","613007","","0"
"","","0","","","91","613","","613008","",""
"202","0","1","-108","wac_default_bot_01","1","711","-325","711001","2","102211"
"201","0","1","-108","wac_default_02","5","711","-325","711002","2","111"
"0","","3","0","","31","711","1","711003","1","3"
"0","","2","0","","31","711","1","711004","0","2"
"0","","13","0","","31","711","1","711005","0","13"
"0","","102211","","","3","711","","711006","0.2","wac_paint_bot_01"
"0","","111","","","3","711","","711007","0.2","wac_paint_02"
"","","13","","wac_default_11","32","711","","711008","","1"
"0","","se_10035700","","","23","711","0","711009","0.2","se_10035700_brush"
"","","1","","","131","711","","711010","",""
"0","","102211","wac_talk_sad_loop","","3","712","1","712001","0.2","wac_talk_sad_in"
"1","","111","","","3","712","","712002","0.2","wac_no_items"
"-340","","102211","0","","2","712","","712003","","200"
"-340","","111","0","","2","712","","712004","","200"
"","","3","","","32","712","","712005","","0"
"","","2","","","32","712","","712006","","1"
"","","13","","","32","712","","712007","","0"
"0","","vo_wac_220221","0","","21","712","","712008","","vo_wac_220221_000"
"10","0","102211","1","0.5","11","712","1","712009","0","這、這種感覺可以嗎……？\n居然突然要人畫圖，\n還真是強人所難。"
"","","0","","","91","712","","712010","",""
"0","","vo_wac_220221","0","","21","712","","712011","","vo_wac_220221_001"
"10","0","102211","1","0.5","11","712","1","712012","0","雖然手因為緊張而抖了起來……\n連我都覺得畫得很不錯。\n不知道茜里畫了什麼樣的圖？\n就去看看吧。"
"","","0","","","91","712","","712013","",""
"","","0","","","22","712","","712014","","0"
"1","","102211","","","3","713","","713001","0.2","wac_idle_sad"
"1","","111","","","3","713","","713002","0.2","wac_no_items"
"-340","","102211","0","","2","713","","713003","","200"
"-340","","111","0","","2","713","","713004","","200"
"","","3","","","32","713","","713005","","0"
"","","2","","","32","713","","713006","","1"
"","","13","","","32","713","","713007","","0"
"","","0","","","91","713","","713008","",""
"202","0","1","-108","wac_default_bot_11","1","811","-325","811001","2","100611"
"201","0","1","-108","wac_default_12","5","811","-325","811002","2","111"
"0","","3","0","","31","811","1","811003","1","3"
"0","","2","0","","31","811","1","811004","0","2"
"0","","13","0","","31","811","1","811005","0","13"
"0","","100611","","","3","811","","811006","0.2","wac_paint_bot_11"
"0","","111","","","3","811","","811007","0.2","wac_paint_12"
"","","0.3","","","93","811","","811008","","0"
"","","13","","wac_default_11","32","811","","811009","","1"
"0","","se_10035700","","","23","811","0","811010","0.2","se_10035700_roller"
"","","1","","","131","811","","811011","",""
"0","","100611","wac_talk_smile_loop","","3","812","1","812001","0.2","wac_talk_smile_in"
"1","","111","","","3","812","","812002","0.2","wac_no_items"
"-340","","100611","0","","2","812","","812003","","200"
"-340","","111","0","","2","812","","812004","","200"
"","","3","","","32","812","","812005","","0"
"","","2","","","32","812","","812006","","1"
"","","13","","","32","812","","812007","","0"
"0","","vo_wac_220222","0","","21","812","","812008","","vo_wac_220222_000"
"10","0","100611","1","0.5","11","812","1","812009","0","嘻嘻♪\n茜里畫好了～♪\n好可愛喔～♪"
"","","0","","","91","812","","812010","",""
"0","","vo_wac_220222","0","","21","812","","812011","","vo_wac_220222_001"
"10","0","100611","1","0.5","11","812","1","812012","0","不過，是不是讓畫面\n灑滿更多愛心比較好？\n或是去姊姊那裡補畫──\n啊！姊姊♪"
"","","0","","","91","812","","812013","",""
"","","0","","","22","812","","812014","","0"
"1","","100611","","","3","813","","813001","0.2","wac_idle_smile"
"1","","111","","","3","813","","813002","0.2","wac_no_items"
"-340","","100611","0","","2","813","","813003","","200"
"-340","","111","0","","2","813","","813004","","200"
"","","3","","","32","813","","813005","","0"
"","","2","","","32","813","","813006","","1"
"","","13","","","32","813","","813007","","0"
"","","0","","","91","813","","813008","",""
"202","0","1","-108","wac_default_01","1","911","-212.75","911001","2","103111"
"201","0","1","-108","wac_default_03","5","911","-212.75","911002","2","111"
"0","","1","0","","31","911","1","911003","1","1"
"0","","2","0","","31","911","1","911004","0","2"
"0","","11","0","","31","911","1","911005","0","11"
"0","","103111","","","3","911","","911006","0.2","wac_paint_01"
"0","","111","","","3","911","","911007","0.2","wac_paint_03"
"","","11","","wac_default_11","32","911","","911008","","1"
"0","","se_10035700","","","23","911","0","911009","0.2","se_10035700_brush"
"","","1","","","131","911","","911010","",""
"0","","103111","wac_talk_wish_loop","","3","912","1","912001","0.2","wac_talk_wish_in"
"1","","111","","","3","912","","912002","0.2","wac_no_items"
"-340","","103111","0","","2","912","","912003","","200"
"-340","","111","0","","2","912","","912004","","200"
"","","1","","","32","912","","912005","","0"
"","","2","","","32","912","","912006","","1"
"","","11","","","32","912","","912007","","0"
"0","","vo_wac_220223","0","","21","912","","912008","","vo_wac_220223_000"
"10","0","103111","1","0.5","11","912","1","912009","0","在蘭德索爾的牆壁上畫畫……\n我原本很擔心自己能不能\n做到這件事，但進行得很順利，\n我放心了。"
"","","0","","","91","912","","912010","",""
"0","","vo_wac_220223","0","","21","912","","912011","","vo_wac_220223_001"
"10","0","103111","1","0.5","11","912","1","912012","0","雖然一想到別人會看到這個，\n就覺得有點不好意思……\n但如果能讓大家感到開心，\n我會很高興的。"
"","","0","","","91","912","","912013","",""
"","","0","","","22","912","","912014","","0"
"1","","103111","","","3","913","","913001","0.2","wac_idle_wish"
"1","","111","","","3","913","","913002","0.2","wac_no_items"
"-340","","103111","0","","2","913","","913003","","200"
"-340","","111","0","","2","913","","913004","","200"
"","","1","","","32","913","","913005","","0"
"","","2","","","32","913","","913006","","1"
"","","11","","","32","913","","913007","","0"
"","","0","","","91","913","","913008","",""
"202","0","1","-108","wac_default_01","1","1011","-212.75","1011001","2","100711"
"201","0","1","-108","wac_default_01","5","1011","-212.75","1011002","2","111"
"0","","1","0","","31","1011","1","1011003","1","1"
"0","","2","0","","31","1011","1","1011004","0","2"
"0","","11","0","","31","1011","1","1011005","0","11"
"0","","100711","","","3","1011","","1011006","0.2","wac_paint_01"
"0","","111","","","3","1011","","1011007","0.2","wac_paint_01"
"","","11","","wac_default_11","32","1011","","1011008","","1"
"0","","se_10035700","","","23","1011","0","1011009","0.2","se_10035700_brush"
"","","1","","","131","1011","","1011010","",""
"0","","100711","wac_talk_smile_loop","","3","1012","1","1012001","0.2","wac_talk_smile_in"
"1","","111","","","3","1012","","1012002","0.2","wac_no_items"
"-340","","100711","0","","2","1012","","1012003","","200"
"-340","","111","0","","2","1012","","1012004","","200"
"","","1","","","32","1012","","1012005","","0"
"","","2","","","32","1012","","1012006","","1"
"","","11","","","32","1012","","1012007","","0"
"0","","vo_wac_220224","0","","21","1012","","1012008","","vo_wac_220224_000"
"10","0","100711","1","0.5","11","1012","1","1012009","0","是布丁來的，這裡也是布丁來的，\n這邊那邊也都是布丁來的。\n沒有啦，騙你的喲。\n人家有照著學到的好好畫喲。"
"","","0","","","91","1012","","1012010","",""
