fc85a8fa2273f16b78bd7725a50387a925dd1e02ebedd5aa763c3da5730e3bb2,605680cd67ffacf20c43f87470e94f00b304d18c34e09fd3132a1b268a6db647,522a9f8bf5268dba3de1f9a3843f1086829fa665e75cbffcc8e4a74f96fcb29a,24aefe3c8207c1a8e49459b8ad7bcf5e3f7584acf06c44dce4c046013863a467,79e043f07b439a593a8ae223786490d91a15b98e9caec73fc7bb57857f931228,7611391f4d42fbf96c683461925d4108dcf3cd71e28e00079c5b81cbbd59785e,9bfd0a272bf6f38bbd60e169802c90915c480c96389f36d85e903b50f3b821b3,0a8afa072ac9406b90fb7fd15893ae1cf13faaa2dfeba62a991ced08db6cf8a8,5e18bd2ae5f1e76d7ad41316d1e520aa2025810ce3001dd4b7bcfd42f0bfdda4,b82a49c8603ff98bc183f536838e7c5485571152343654b4a52a988ad03430aa,8f0e08b86b6988967288f0f9aba83285b0cfb6cb398bad31d61217b4dfdfa762,a5558cacaa658752ce5622b77da65d80966ff910281179b19a85442fbe8b1716,b6476fb7a9625fd9ec2bf0ba65e11f8bb4a17cbebab892d764ded87ef92fd1d1,bd6f9c29113899698f9015b2ad742dcacb61b6a4e4f6b6f66e342c74104a3694,21365dfc2a96e22de3705dfa41c77d471d3f1b50a653d8fc017da219d6496adc,5bd267f187ac5d21f7be6e2fc5650755424656382b4a9f98a8fbda4bb5663033,3467cc7b7ee79cfe2529176b8bc8a153c2431ad0b714bd1c4cfb2a7f4cb38d3a,169895ba38b4187f8b1b6311e91885efb9c28773bead6bf690a498d69c2dfb3d,db624b4ce8b9a1ff7f2f83eaa38aa54f3f032bb9bd99cb4a3212d1057c36c4a7
"1","112201","1","108801","2","100831","1002","108801","3","-100","100003","108901","1","103401","90","108301","1","1008","8"
"8","126101","2","107701","3","100832","1002","129001","3","-100","100003","100701","1","108901","90","129001","1","1008","3"
"3","101401","3","123001","1","100833","1002","100201","3","-100","100003","103401","3","126101","90","100201","1","1008","1"
"6","103401","1","100901","6","100911","1003","100901","1","-100","100003","114701","6","106601","90","110301","6","1009","6"
"6","105401","2","103401","6","100912","1003","106901","1","-100","100003","180401","6","100501","90","106901","6","1009","6"
"6","101401","3","123001","6","100913","1003","101401","1","-100","100003","103401","6","105501","90","100801","6","1009","6"
"4","124101","1","100901","4","100921","1003","122801","2","-100","100003","122801","4","103401","90","119001","4","1009","4"
"4","103401","2","121101","4","100922","1003","100501","2","-100","100003","105201","4","100501","90","123001","4","1009","5"
"5","105501","3","123001","4","100923","1003","103401","2","-100","100003","100701","4","103401","90","118501","4","1009","5"
"7","103401","1","101601","1","100931","1003","120001","3","-100","100003","120001","7","104901","90","108301","2","1009","8"
"2","101801","2","112201","1","100932","1003","112201","3","-100","100003","108901","1","100501","90","129001","1","1009","3"
"3","126101","3","123001","3","100933","1003","123001","3","-100","100003","100701","3","128801","90","129001","1","1009","3"
