48a2444ea92049f584d67c1d1678f536f5d062c81dabb0edcd72ce8eca6c4ee5,c8d22ea59065e5f9017ef04aa80b6697ee6380ab811b6afef3dd8e256b2316bd,245a18693ea836cbe1593e5a2b811d4a6b97dc9fd79704da4c975ee8ae3282e5,47c552408311639ee7abed71338f6e97d432e2bb3b45757499dd2b190e768a03,fc184a51623963166f4c13db33de44de79b0f88105155f1c252c4e8b0c8857bf,cdd84fe562fd46c68d69c39f81d0f270d43287796d7d01d3d15207bd3bf19fe4,ebf024577cde390b1c0cc2b6ae101022e75e292b168f1795ee640228660f13ea,2b336b917622cd09d7e3e5055716194f74308b80ae59aa560461dd156eaedf9c
"-103","12","12","4","89","-17","93","1271"
"23","13","13","4","239","232","150","1311"
"-161","1","1","5","72","-289","114","1391"
"-161","2","2","5","72","-289","114","1401"
"80","3","3","5","248","-261","228","1411"
"-91","4","4","5","211","-103","223","1431"
"95","5","5","5","181","-87","186","1471"
"-122","6","6","5","176","69","132","1551"
"-122","7","7","5","176","69","132","1561"
"91","8","8","5","184","54","143","1611"
"45","9","9","5","247","204","211","1641"
"141","10","10","5","167","308","137","1651"
"-46","11","11","5","174","282","175","1661"
"-11","1","1","6","240","-252","222","1741"
"-96","2","2","6","245","-19","311","1761"
"95","3","3","6","221","-46","261","1771"
"83","4","4","6","237","152","166","1781"
"-100","5","5","6","229","227","183","1782"
"-46","1","1","7","183","-249","223","1811"
"54","2","2","7","247","-159","337","1881"
"-70","3","3","7","191","30","202","1921"
"0","4","4","7","215","173","176","1941"
"77","5","5","7","236","292","204","1981"
"89","1","1","8","254","-472","209","2001"
"-77","2","2","8","282","-375","250","2031"
"110","3","3","8","223","-280","241","2051"
"-85","4","4","8","270","-148","243","2101"
"74","5","5","8","264","3","274","2131"
"-36","6","6","8","302","155","321","2171"
"82","7","7","8","277","283","199","2201"
"0","8","8","8","344","374","349","2271"
"-30","1","1","9","301","-275","240","2321"
"-115","2","2","9","108","-132","106","2361"
"-115","3","3","9","108","-132","106","2371"
"32","4","4","9","246","-73","202","2381"
"-140","5","5","9","84","-43","114","2411"
"-140","6","6","9","84","-43","114","2421"
"65","7","8","9","84","50","86","2461"
"65","8","9","9","84","50","86","2471"
"-110","9","10","9","137","80","185","2481"
"-110","10","11","9","137","80","185","2491"
"24","11","7","9","377","131","301","2521"
"-50","12","12","9","305","280","190","2531"
"-137","1","3","10","145","-527","123","2601"
"-137","2","4","10","145","-527","123","2611"
"35","3","1","10","295","-379","408","2621"
"103","4","2","10","192","-299","171","2622"
"-64","5","6","10","244","-138","342","2623"
"9","6","5","10","254","-47","224","2701"
"-88","7","8","10","204","131","253","2781"
"23","8","9","10","139","89","110","2791"
"23","9","10","10","139","89","110","2801"
"42","10","7","10","249","275","292","2811"
"-120","11","11","10","151","274","126","2821"
"-120","12","12","10","151","274","126","2831"
"-17","13","13","10","316","448","276","2841"
"-87","1","1","11","203","-292","158","2901"
"123","2","2","11","187","-224","256","3011"
"-80","3","3","11","225","-65","144","3031"
"-84","4","4","11","214","80","149","3111"
"112","5","5","11","194","227","201","3131"
"-111","6","6","11","111","159","161","3141"
"-111","7","7","11","111","159","161","3151"
"-80","8","8","11","209","307","166","3171"
"-106","1","3","12","206","-185","364","3211"
"34","2","1","12","277","-304","160","3221"
"45","3","2","12","275","-107","249","3231"
"-46","4","5","12","233","31","167","3321"
"-122","5","7","12","130","135","174","3381"
"-122","6","8","12","130","135","174","3391"
"101","7","4","12","223","127","244","3431"
"-24","8","6","12","246","254","235","3441"
"-114","9","9","12","156","303","167","3461"
"-114","10","10","12","156","303","167","3471"
"152","11","11","12","94","338","108","3491"
"152","12","12","12","94","338","108","3501"
"-48","1","3","13","270","-286","210","3531"
"144","2","2","13","103","-310","92","3541"
"-90","3","3","13","219","-152","228","3551"
"99","4","4","13","103","-148","94","3561"
"-157","5","5","13","71","-12","110","3571"
"-2","6","1","13","274","-5","209","3581"
"-72","7","6","13","292","141","219","3691"
"143","8","7","13","104","146","88","3701"
"131","9","8","13","135","299","160","3741"
"131","10","9","13","135","299","160","3751"
"-82","11","10","13","268","301","179","3791"
"6","1","2","14","286","-470","197","3801"
"-123","2","3","14","89","-520","134","3811"
"103","3","1","14","236","-369","204","3821"
"-74","4","5","14","241","-283","176","3861"
"-83","5","6","14","236","-151","156","3891"
"108","6","4","14","226","-174","219","3911"
"-130","7","10","14","96","-51","107","3921"
"50","8","9","14","251","-5","179","3931"
"-106","9","11","14","102","100","113","3941"
"-41","10","12","14","317","268","242","3951"
"79","11","7","14","240","138","209","3961"
"79","12","8","14","240","138","209","3971"
"-125","13","14","14","93","441","125","4021"
"22","14","13","14","279","485","219","4031"
