a0f60b10e6347313cc583b27d0ee7616a41308d85f6a2460bc91938f7a792b0a,354c0c2f28865b771402faae1f883864b5add96b5b32fb40d66c3977ffad8312,1a7b518fd55331b0e790b59c47d4fe7000c9a7268a0ba901d17516b6da93b871,9f7ae09e1a2e54bf951dc7fa41fbc2888f54860b425de8cba4f8bbdc3ed82fe8
"504","0","2","3"
"505","0","1","2"
"506","0","1","2"
"507","0","1","2"
"508","0","1","1"
"509","0","1","1"
"510","0","2","2"
"511","0","1","2"
"512","0","2","3"
"601","0","4","4"
"602","0","3","3"
"603","0","3","3"
"604","0","1","1"
"605","0","1","2"
"606","0","2","2"
"607","0","2","2"
"611","0","3","3"
"612","0","3","3"
"701","0","2","2"
"702","0","2","2"
"703","0","1","2"
"704","0","2","2"
"705","0","1","1"
"706","0","4","4"
"707","0","2","2"
"708","0","3","2"
"709","0","2","1"
"801","0","2","2"
"802","0","3","4"
"803","0","2","2"
"804","0","2","2"
"805","0","1","1"
"806","0","2","2"
"807","0","1","1"
"808","0","1","1"
"809","0","2","2"
"810","0","3","4"
"811","0","1","2"
"812","0","1","2"
"813","0","1","2"
"816","0","1","1"
"901","0","2","3"
"902","0","1","2"
"903","0","1","1"
"904","0","2","3"
"905","0","1","1"
"906","0","2","3"
"907","0","1","2"
"908","0","1","2"
"909","0","2","2"
"910","0","2","2"
"913","0","4","4"
"1001","0","3","3"
"1002","0","2","2"
"1003","0","2","2"
"1004","0","2","3"
"1005","0","2","3"
"1006","0","1","2"
"1007","0","1","2"
"1008","0","3","4"
"1009","0","1","2"
"1010","0","1","2"
"1011","0","1","1"
"1012","0","1","1"
"1013","0","2","3"
"1014","0","2","2"
"1015","0","3","4"
"1018","0","1","1"
"1019","0","1","1"
"1101","0","4","4"
"1102","0","2","2"
"1103","0","3","3"
"1104","0","1","1"
"1105","0","1","1"
"1106","0","2","2"
"1107","0","2","2"
"1108","0","3","6"
"1109","0","1","2"
"1113","0","1","1"
"1201","0","3","4"
"1202","0","3","3"
"1203","0","1","1"
"1204","0","2","3"
"1205","0","1","1"
"1206","0","1","1"
"1207","0","1","1"
"1208","0","1","1"
"1211","0","1","1"
"1301","0","2","3"
"1302","0","2","2"
"1303","0","2","2"
"1304","0","1","1"
"1305","0","3","4"
"1306","0","1","2"
"1401","0","3","3"
"1402","0","1","2"
"1403","0","2","3"
"1405","0","1","1"
"1501","0","3","4"
"1502","0","1","2"
"1503","0","1","2"
"1504","0","1","1"
"1505","0","1","1"
"1506","0","1","1"
"1507","0","2","2"
"1508","0","2","3"
"1509","0","2","3"
"1510","0","1","1"
"1511","0","1","2"
"1512","0","2","3"
"1513","0","2","3"
"1514","0","2","3"
"1601","0","3","4"
"1602","0","1","2"
"1603","0","1","1"
"1604","0","1","1"
"1605","0","2","2"
"1606","0","2","3"
"1607","0","1","2"
"1608","0","1","2"
"1609","0","1","2"
"1610","0","2","3"
"1701","0","3","3"
"1702","0","2","2"
"1703","0","1","1"
"1704","0","1","1"
"1705","0","1","1"
"1706","0","1","1"
"1707","0","1","1"
"1801","0","2","2"
"1802","0","2","2"
"1803","0","2","2"
"1902","0","4","4"
"1903","0","3","4"
"1905","0","1","2"
"1906","0","1","2"
"1907","0","1","2"
"1908","0","1","1"
"1909","0","1","1"
"1910","0","2","3"
"1911","0","3","3"
"1912","0","2","3"
"1913","0","3","3"
"2001","0","3","3"
"2002","0","2","2"
"2003","0","1","1"
"2004","0","1","1"
"2101","0","2","2"
"2102","0","2","2"
"2103","0","2","2"
"2201","0","2","2"
"2202","0","2","2"
"2203","0","1","1"
"2205","0","6","6"
"2206","0","1","1"
"2301","0","2","2"
"2302","0","2","2"
"2303","0","2","2"
"2304","0","2","2"
"2305","0","4","4"
"2306","0","4","4"
"2307","0","1","1"
"2308","0","1","1"
"2401","0","2","3"
"2402","0","1","1"
"2403","0","2","2"
"2404","0","3","3"
"2405","0","3","4"
"2501","0","2","2"
"2502","0","2","3"
"2503","0","2","2"
"2504","0","2","2"
"2505","0","1","1"
"2506","0","3","4"
"2507","0","1","2"
"2601","0","6","5"
"2602","0","3","3"
"2603","0","1","1"
"2604","0","1","1"
"2605","0","2","2"
"2606","0","2","2"
"2607","0","2","3"
"2608","0","4","4"
"2609","0","2","2"
"2801","0","1","1"
"2802","0","1","1"
"2804","0","4","6"
"2805","0","2","2"
"2806","0","3","3"
"2808","0","2","3"
"2809","0","1","1"
"2810","0","1","1"
"2811","0","4","4"
"2812","0","1","1"
"2813","0","1","1"
"2814","0","1","2"
"2815","0","2","2"
"2816","0","2","3"
"2817","0","1","1"
"2818","0","4","6"
"2826","0","3","3"
"2827","0","1","1"
"2828","0","4","6"
"2829","0","1","2"
"2830","0","1","1"
"2831","0","1","1"
"2833","0","2","2"
"2834","0","2","3"
"2835","0","1","1"
"2836","0","3","4"
"2838","0","4","3"
"2839","0","2","2"
"2840","0","2","2"
"2841","0","1","1"
"2842","0","1","1"
"2843","0","2","2"
"2844","0","1","1"
"2845","0","1","1"
"2846","0","1","1"
"2847","0","2","3"
"2848","0","2","2"
