9e280969821898ff598fe89dea89db1b9f1e608db9b0c7c88c5f21c4903ed7ae,c45005afeb707711ffa8720a39209855d8f91486d23008bd926c22a55dcbeec8,eeb285765b94163e7a5810d419c2864110aa6bbb23714a16a28d94025e553278,cdfcbde39b82af9ab53ca1a21b98cc90c80ab2acfac89846a3ec2307aaa6afb9,8586e17a023d91492b6575dcace7ee5dc03e7819bc5772276f80203bf238079d,dba0705a2053771d4d7c8966aab90f4695c7507a4a6b11338f6e441d821a80d0,2f4736d842f6c201165427b43f8ec2752c3582b246ae6a63a13e65741a651620,8b1c41f40a1479d1542e395a5dc697463515962eb3f789500f955ec58689e88b,13b640af5e96d0b9025c299519326c377173c53e19a648ec866f76eed33ae996
"53002","16601","0","9","22","1","1","0","2"
"53003","16701","-1","10","22","5","7","6","8"
"53002","16702","-1","10","22","5","7","6","4"
"53003","16801","5","10","22","4","6","5","6"
"53002","16802","5","10","22","4","6","5","5"
"53003","16901","4","10","22","3","5","4","5"
"53002","16902","4","10","22","3","5","4","5"
"53003","17001","3","10","22","3","4","3","4"
"53002","17002","3","10","22","3","4","3","3"
"53003","17101","2","10","22","2","3","2","3"
"53002","17102","2","10","22","2","3","2","2"
"53003","17201","1","10","22","1","2","1","2"
"53002","17202","1","10","22","1","2","1","1"
"53002","17301","0","10","22","1","1","0","2"
"53003","17401","-1","11","22","5","7","6","8"
"53002","17402","-1","11","22","5","7","6","4"
"53003","17501","5","11","22","4","6","5","6"
"53002","17502","5","11","22","4","6","5","5"
"53003","17601","4","11","22","3","5","4","5"
"53002","17602","4","11","22","3","5","4","5"
"53003","17701","3","11","22","3","4","3","4"
"53002","17702","3","11","22","3","4","3","3"
"53003","17801","2","11","22","2","3","2","3"
"53002","17802","2","11","22","2","3","2","2"
"53003","17901","1","11","22","1","2","1","2"
"53002","17902","1","11","22","1","2","1","1"
"53002","18001","0","11","22","1","1","0","2"
"53003","18101","-1","12","22","5","7","6","8"
"53002","18102","-1","12","22","5","7","6","4"
"53003","18201","5","12","22","4","6","5","6"
"53002","18202","5","12","22","4","6","5","5"
"53003","18301","4","12","22","3","5","4","5"
"53002","18302","4","12","22","3","5","4","5"
"53003","18401","3","12","22","3","4","3","4"
"53002","18402","3","12","22","3","4","3","3"
"53003","18501","2","12","22","2","3","2","3"
"53002","18502","2","12","22","2","3","2","2"
"53003","18601","1","12","22","1","2","1","2"
"53002","18602","1","12","22","1","2","1","1"
"53002","18701","0","12","22","1","1","0","2"
