ec1156e6a6a0766a37d23dc1615e20da87b25cdd80d9ca829eed24820cffa178,7deaf1d0878d13b87daa799cffb450a16a9c48e151b4931f8df7c916144e03f5,0524d38074472a2a94534fb582084a02c4c28e6ffb4708f8cccdb591cb12afed,b760a5bfbd560ae26f0d08adf51122197e10494637ba68188c75f7bf1322a678,c078ead026a6eae13217855c9a41734b1ac779a9fcbcab7c14fd0e919f1c2d13,2f707f73fec53850f1ebb49e9bd2e64ffaac9f63c1fc892e6b055d861d4fc0f8,f567391bc609bfe728bdf106b76b461c6e673b70f2dbba21b751c41ffe36f96f,e1b776097776530689ee9ca7f20aa629b252e4c64b1fe49f40aa16e23c754f8d,8c4aa287f57a5dbc508234ec206a429422da3ea77dbb1bf8856a06548f1c6083,1cb46ffde4b80e078a75356293b4327d24f73beb36c41b9ec1fa76cde692b9fe,a92f9ce6b76308cc92c4c5e783786d629a58c204733790f4bec3359a8ec2e912,934abde29b7145a4161d904e2563b02436d0be4b42848dd61c8e5b6f0433b9b5,f65674c5cdbb63d427499ba19d0b4ca5a1f9490b8a92708a41896e479a133f06,c4883d632a15c45ac817964b2980da3270049cd7be7934bf946dd48dad33044b
"0.021","160","19","2","0","117001","1","110","108","19","0","以煙火為夏日傍晚增添色彩，海岸邊的破壞者。以「破壞者」稱號與過剩的情感，朝對戰對手施加壓力。","2.5","119"
"0.036","255","20","1","0","113501","0","110","105","20","1","引導青春少年少女的夏日老師。在朝夢想邁進的聖母加護下，守護其身所遇到的所有困難。","2.5","120"
"0.02","350","21","3","0","113401","0","105","105","21","1","擁有耀眼的聲援笑容，夏日的超能力女孩。運用超能力，無論什麼障礙物都一飛就能越過。","2.5","121"
"0.018","130","22","1","1","110101","0","110","105","22","0","在海邊釋放大人的魅力，夏日的性感老師。受其魅力俘虜的對戰對手，奔跑步調將被打亂。","2.5","122"
"0.03","160","23","3","0","110001","1","105","111","23","0","泳裝也命中紅心，夏日的超級名模。跑步的情緒超嗨，速度讚到不行。","3.5","123"
"0.027","130","24","1","1","117201","0","110","103","24","0","讓南島也嗨起來的盛夏偶像。即使天氣惡劣依然能保持著笑容，在後半加快節奏跑完全程。","1.5","124"
"0.02","160","25","2","0","117301","1","105","108","25","0","美聲響徹海洋的海岸邊歌姬。在守護頌歌與精靈加護下，保護自己不受障礙物傷害。","3.5","125"
"0.04","350","26","3","0","117401","0","110","105","26","1","在夏天依然彆扭，風平浪靜夕陽下的裁縫師。以遍布的魔法之線，奪走其他跑者的自由。","2.5","126"
"0.009","350","27","1","0","117101","0","110","105","27","1","非常適合向日葵的海邊姐姐。是祕密結社的一員，卓越的身體能力是其最強的武器。","3.5","127"
"0.022","255","28","1","0","122901","0","120","105","28","1","在海岸邊的乖巧小兔兔女孩。小兔子之力全開，在路線中活蹦亂跳。","3.5","128"
"0.028","130","29","3","1","122801","0","110","105","29","0","天真爛漫的夏色淘氣女孩。就算在沙灘也做好了要惡作劇的萬全準備！將在競賽中引起大騷動！？","2.5","129"
"0.023","130","30","2","0","122701","1","105","108","30","0","即使在海邊也很認真的夏色優等生。解放提高的魔力，在一瞬間甩開其他跑者。","3.5","130"
