2659a3fc11337b225f7f9727fcd78f90a7c498f483b3e20636cb51e92c5964a2,636d4acd2a23d41c8187d4614cc34c41891011285afcc358af7ff91f114a8f2a,5013436b9e83731d5b801577adf7b14566a620986400a7fc45833295a707c5b8,cd94900fd339bb7393fa987228c3ca27f120b71ceec59925adc840a6c5319e42,1d31444cc7e5df09423aa23bd04fb34d174b592ee37c734323270a53652aeb83,8966503ccdfb0590db0411ec7a0f645d095eb4739790d93d19967668cf192876,4f7fdc3772942a1138040395560a072418317d7a0a770aac3f0c3b974667400c,9f8db88116c09a4a6af6c818f9f4fd9ab1a1d5fd31fe1d95368dc9602ec8c24b,1858f428597db1fbe289aa4d0e89760d233fd10f4e2082272138301147d1ae73
"5","5","5","10","22","4","53002","16802","6"
"4","4","5","10","22","3","53003","16901","5"
"4","4","5","10","22","3","53002","16902","5"
"3","3","4","10","22","3","53003","17001","4"
"3","3","3","10","22","3","53002","17002","4"
"2","2","3","10","22","2","53003","17101","3"
"2","2","2","10","22","2","53002","17102","3"
"1","1","2","10","22","1","53003","17201","2"
"1","1","1","10","22","1","53002","17202","2"
"0","0","2","10","22","1","53002","17301","1"
"6","-1","8","11","22","5","53003","17401","7"
"6","-1","4","11","22","5","53002","17402","7"
"5","5","6","11","22","4","53003","17501","6"
"5","5","5","11","22","4","53002","17502","6"
"4","4","5","11","22","3","53003","17601","5"
"4","4","5","11","22","3","53002","17602","5"
"3","3","4","11","22","3","53003","17701","4"
"3","3","3","11","22","3","53002","17702","4"
"2","2","3","11","22","2","53003","17801","3"
"2","2","2","11","22","2","53002","17802","3"
"1","1","2","11","22","1","53003","17901","2"
"1","1","1","11","22","1","53002","17902","2"
"0","0","2","11","22","1","53002","18001","1"
