2023c708cb2ffa6bf07d585fc2acaf52c1b173983c23baeadf8e7c74f3fdc498,a7befb409953b46ad1e37719dc5775a5ed5bdfe4e9a01e3503f592969cee6ad8,f09438f4ea724914d916f16797141dd60529ac02173390fb619c70240e8c1de4,271d9518c1c897a3ec8809865ea41b6818b6cdfc19a4e6bc665d7ac1bcc21c76,4bec505dfaf92fb37578772c94c90ae272cb097a300daf608e8ca937f469658a,6bba439945e35603c5fb5e02277ba085de34ca1f8e3b9225388b1d0551fb9a60,c9cf515ba168e4afb0362db52e06b14053b3abe4e323070fc431a66ebc684c1d
"60592","1","2","5","魔法少女　兩人是Misty&Purely","10060","10060"
"60602","1","2","6","灰姑娘課程　璀璨的日子有著蘋果的滋味","10061","10061"
"60612","1","2","5","星光公主　Re:M@STER！","10062","10062"
"60612","1","2","5","星光公主　Re:M@STER！","10063","10063"
"60632","1","2","6","鋼鐵聖女與神聖學院的問題兒童","10064","10064"
"60642","1","2","5","恩賜的財團與神聖學院的問題兒童","10065","10065"
"60652","1","2","6","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族","10066","10066"
"60662","1","2","5","牧場的四農士　貧窮農場奮鬥記","10067","10067"
"60672","1","2","6","心電感應！碧與玩具朋友們","10068","10068"
"60682","1","2","5","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10069","10069"
"60692","1","2","6","永不完結的夏日計畫　盛夏的雙人獨佔樂園","10070","10070"
"60702","1","2","5","七夕劍客旅情譚 天際川流夏之戀","10071","10071"
"60712","1","2","6","慈樂之音的夏日演唱會　Just a Moment！ ","10072","10072"
"60722","1","2","5","美里的夏日聲援！　追夢的盛夏棒球隊","10073","10073"
"60732","1","2","6","大江戶的非法病歷　Dr.深月的診療室","10074","10074"
"60742","1","2","5","Happy・Change・Angels","10075","10075"
"60752","1","2","6","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","10076","10076"
"60762","1","2","5","迴響！尖叫！萬聖鬼怪狂歡節","10077","10077"
"60772","1","2","6","魔法少女外傳　黑暗魔法★三人組！","10078","10078"
"60782","1","2","5","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","10079","10079"
"60792","1","2","6","聖誕布丁快樂！ 飛舞的少女與飽含真心的點心","10080","10080"
"60802","1","2","6","名媛初登夢想秘境　聖誕夜的戀愛遊戲","10081","10081"
"60812","1","2","6","新春美食回憶　雪菲的跑腿大作戰！","10082","10082"
"60822","1","2","6","新春美食公主！　賭上關鍵一擲的少女們","10083","10083"
"60832","1","2","6","Re:member　我的心願編織出的未來","10084","10084"
"60842","1","2","6","Re:member　我的心願編織出的未來","10085","10085"
"60852","1","2","6","羈絆相連。心相繫。","10086","10086"
"60852","1","2","6","羈絆相連。心相繫。","10087","10087"
"60872","1","2","6","Sweet Tiny Stage！　初出茅廬的女演員與小小淑女","10088","10088"
"60882","1","2","6","灰姑娘課程　璀璨的日子有著蘋果的滋味","10089","10089"
"60892","1","2","6","交出寶物！透明怪盜雙人組","10090","10090"
"60902","1","2","6","鋼鐵聖女與神聖學院的問題兒童","10091","10091"
"60912","1","2","6"," Episode of Pirate　海盜島上被詛咒的遺寶","10092","10092"
"60922","1","2","6","祈梨ＳＯＳ！！ 踏上時空旅行的龍人族","10093","10093"
"60932","1","2","6","Enjoy＆Refresh！　天差地遠的女孩露營","10094","10094"
"60942","1","2","6","心電感應！碧與玩具朋友們","10095","10095"
"60952","1","2","6","破曉之星的夏日遊戲　\n於夏海閃耀的三份心意","10096","10096"
"60962","1","2","6","永不完結的夏日計畫　盛夏的雙人獨佔樂園","10097","10097"
"60972","1","2","6","小小夏日回憶錄　在海邊發現的小小幸福","10098","10098"
"60982","1","2","6","慈樂之音的夏日演唱會　Just a Moment！ ","10099","10099"
"60992","1","2","6","真步真步的神奇旅程！　旅行的少女與邊境的大樹","10100","10100"
"61002","1","2","6","大江戶的非法病歷　Dr.深月的診療室","10101","10101"
"61012","1","2","6","點讚！最愛！大集合！　至高祭典與少女祕密的本命任務","10102","10102"
"61022","1","2","6","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","10103","10103"
"61032","1","2","6","部族精神　高揭之劍與榮耀和平之橋","10104","10104"
"61042","1","2","6","魔法少女外傳　黑暗魔法★三人組！","10105","10105"
"61052","1","2","6","Happy Happening　幸福的雙子天使與聖誕夜的禮物","10106","10106"
"61062","1","2","6","聖誕布丁快樂！ 飛舞的少女與飽含真心的點心","10107","10107"
"61072","1","2","6","煙霧繚繞忘年奇譚　為旭日初升舉杯","10108","10108"
"61082","1","2","6","新春美食回憶　雪菲的跑腿大作戰！","10109","10109"
"61092","1","2","6","解放自由的伊甸園　有朝一日重逢的未來","10110","10110"
"61102","1","2","6","解放自由的伊甸園　有朝一日重逢的未來","10111","10111"
"61112","1","2","6","Re:member　我的心願編織出的未來","10112","10112"
"61122","1","2","6","Re:member　我的心願編織出的未來","10113","10113"
"61132","1","2","6","貓與懷舊點心的咖啡廳 歡迎光臨Café Naschkatze","10114","10114"
"61142","1","2","6","Sweet Tiny Stage！　初出茅廬的女演員與小小淑女","10115","10115"
"61152","1","2","6","Dears　歡迎回家與我回來了的約定","10116","10116"
"61162","1","2","6","交出寶物！透明怪盜雙人組","10117","10117"
"61172","1","2","6","Connect‧With‧Blue　直至少女前往天際","10118","10118"
"61182","1","2","6"," Episode of Pirate　海盜島上被詛咒的遺寶","10119","10119"
"61192","1","2","6","吸血鬼傳聞錄　黑夜與美麗的饗宴","10120","10120"
"61202","1","2","6","Enjoy＆Refresh！　天差地遠的女孩露營","10121","10121"
"61212","1","2","6","大間的排光海水大作戰　祕密主義者與禁斷之海","10122","10122"
"61222","1","2","6","破曉之星的夏日遊戲　\n於夏海閃耀的三份心意","10123","10123"
"61232","1","2","6","戰慄幽奇海岸　～夏日度假村驚悚怪談～","10124","10124"
"61242","1","2","6","小小夏日回憶錄　在海邊發現的小小幸福","10125","10125"
"61252","1","2","6","魔法師的青春時日　魔法學園與奇蹟之鐘","10126","10126"
"61262","1","2","6","真步真步的神奇旅程！　旅行的少女與邊境的大樹","10127","10127"
"61272","1","2","6","浪漫薩拉薩利亞　～沙漠的新娘與不可思議的神燈～","10128","10128"
"61282","1","2","6","點讚！最愛！大集合！　至高祭典與少女祕密的本命任務","10129","10129"
"61292","1","2","6","Criminal Rookie　天使們的悖論","10130","10130"
"61302","1","2","6","部族精神　高揭之劍與榮耀和平之橋","10131","10131"
"61312","1","2","6","聖誕哭泣寶貝　為誰存在的幸福之日","10132","10132"
"61322","1","2","6","Happy Happening　幸福的雙子天使與聖誕夜的禮物","10133","10133"
"61332","1","2","6","迎春夢想家們！　新年隕石碎碎平安！？","10134","10134"
"61342","1","2","6","煙霧繚繞忘年奇譚　為旭日初升舉杯","10135","10135"
"61352","1","2","6","I Wish　緊握的這雙手","10136","10136"
"61362","1","2","6","I Wish　緊握的這雙手","10137","10137"
"61372","1","2","6","解放自由的伊甸園　有朝一日重逢的未來","10138","10138"
"61382","1","2","6","解放自由的伊甸園　有朝一日重逢的未來","10139","10139"
"61392","1","2","6","寒冬的盛夏與神聖學院的問題兒童","10140","10140"
"61402","1","2","6","貓與懷舊點心的咖啡廳 歡迎光臨Café Naschkatze","10141","10141"
"61412","1","2","6","冷酷・火爆・新兵訓練營　魔鬼教官和鞭子與……糖果？","10142","10142"
"61422","1","2","6","Dears　歡迎回家與我回來了的約定","10143","10143"
"61432","1","2","6","花開季節的真心","10144","10144"
"61442","1","2","6","Connect‧With‧Blue　直至少女前往天際","10145","10145"
"61452","1","2","6","大夢想樂園大遊行　寶石兔與祕密的夥伴們","10146","10146"
"61462","1","2","6","吸血鬼傳聞錄　黑夜與美麗的饗宴","10147","10147"
"61472","1","2","6","集合吧，做好事社團！　美空的愉快暑假","10148","10148"
"61482","1","2","6","大間的排光海水大作戰　祕密主義者與禁斷之海","10149","10149"
"61492","1","2","6","幻惑的妖精　-於盛夏之園起舞的身影-","10150","10150"
"61502","1","2","6","戰慄幽奇海岸　～夏日度假村驚悚怪談～","10151","10151"
"61512","1","2","6","Re:從零開始享受的異世界夏日","10152","10152"
"61522","1","2","6","Re:從零開始聚集的異世界餐桌","10153","10153"
"61532","1","2","6","望的一日店長記　這裡是阿爾克絲鍊金堂","10154","10154"
"61542","1","2","6","魔法師的青春時日　魔法學園與奇蹟之鐘","10155","10155"
"60022","1","2","5","吸血鬼獵人 with伊莉亞","19003","10003"
