ec7a11f98e21643d127e94098757add0b6fad8f422ff647aefe9c43902f38e49,8a6380526600f13a4c58260a62ee16c111d4e414f1365b3084dbac66107bf308,1b43d9fbff6ec98457f29c164857afa0c1464b432e58a50f8d9f21d7cab84bd4,072491247dec5bb3cdaeb0ca21bb9efb8e1b4fd799ef6ebba3666c74c3502f29,a6ab99a57dc82b38257ee34b6c5e65d2751722f55a4075890c35b8611f9580d8
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005304","206","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005304","207","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005304","208","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005304","209","降低HP吸收","9"
"戰鬥時間變成60秒。","74005305","210","戰鬥時間限制","limit_time"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005305","211","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005305","212","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005305","213","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005305","214","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005305","215","降低HP吸收","9"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005401","216","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005401","217","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005401","218","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005401","219","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005401","220","降低HP吸收","9"
"追加岩龜暴君、鬼燈螢。","74005402","221","追加怪物","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005402","222","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005402","223","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005402","224","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005402","225","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005402","226","降低HP吸收","9"
"追加靜流（黑暗）、可可蘿（夏日）。","74005403","227","追加怪物","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005403","228","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005403","229","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005403","230","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005403","231","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005403","232","降低HP吸收","9"
"追加露娜聚光燈。","74005404","233","追加怪物","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005404","234","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005404","235","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005404","236","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005404","237","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005404","238","降低HP吸收","9"
"戰鬥時間變成60秒。","74005405","239","戰鬥時間限制","limit_time"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005405","240","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005405","241","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005405","242","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005405","243","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005405","244","降低HP吸收","9"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005501","245","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005501","246","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005501","247","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005501","248","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005501","249","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005501","250","減少降低TP","boss_tp_down_cut"
"追加魔像、烏帕魯帕。","74005502","251","追加怪物","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005502","252","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005502","253","賦予TP上升的上限","17"
