1be9f106693ddade2de599ae13ce2646086e14606c9d088b6729428376142339,cce55926e1bed4c15642c21ad8f7e6f4aabd94a134685d44f70dfc2ead0b06ef,477087b3b1eaee262f88213198e401ff9d50ad9a76016a5d064a4c1f1a3211da,2bd684b1e6c18d97e44189e6f5d6b5c0b89299fd1218b9656830202f72b751d9,0a021091a117886721188b1d08bd7041a7ff55c1511dd1a5cff4a680f4ee836f,3244f5d0cee4d6edf741ee3b80e3fa5a77afd9a00af24b892c6ffa2018283073,51f68cd476eb513510dc3f9bd950b4bb1799eacb879177b8a1a1b64e4ae83211,42ce5ccc8ed2396b5e606e2611dc4a33f665985864e54a71707d75a981625103,fb65e5b14118de9d3d887954d58190bb10dcb241bb9185065dfa5d932c90f877,87394c6e58c818db73594d64cde04a5d7f21fcd9139d04f1d6392e5f3e795821,cfeaa52591c380cca37dedd2099f6c48bb0b6849a67cdfcefd068e0749a3c011
"","91","","1200004","","20","","1200007","","",""
"","3","","2","pkb_idle_normal_l","20","","1200008","0.2","1",""
"64","5","pkb_idle_normal_l","2","2","21","1","1210001","57","100","-155"
"pkb_idle_arm_crossed_l","3","","2","pkb_talk_arm_crossed_l","21","0.2","1210002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_803","21","","1210003","","0",""
"0","11","0","2","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。","21","0","1210004","0","8","0"
"","91","","0","","21","","1210005","","",""
"","3","","2","pkb_idle_normal_l","21","","1210006","0.2","1",""
"-20","1","pkb_idle_normal","1","113511","22","0","1220001","1.6","100","-150"
"170","1","pkb_idle_normal","1","113411","22","1","1220002","1.6","100","-150"
"","3","","113511","pkb_talk_joy1","22","","1220003","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_1_101","22","","1220004","","0",""
"0","11","-0.5","113511","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪","22","0","1220005","0","6","0"
"","91","","0","","22","","1220006","","",""
"","3","","113511","pkb_idle_normal","22","","1220007","0.2","1",""
"","3","","113411","pkb_talk_joy1","22","","1220008","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_1_202","22","","1220009","","0",""
"0","11","-0.5","113411","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！","22","0","1220010","0","6","0"
"","93","","4","","22","","1220011","","",""
"pkb_idle_normal","3","","113411","pkb_talk_handsup","22","0","1220012","0.2","0","1"
"","91","","1220010","","22","","1220013","","",""
"","3","","113411","pkb_idle_normal","22","","1220014","0.2","1",""
"170","1","pkb_idle_normal","1","113411","23","1","1230001","1.6","100","-150"
"-20","1","pkb_idle_normal","1","113511","23","0","1230002","1.6","100","-150"
"","3","","113411","pkb_talk_normal","23","","1230003","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_2_201","23","","1230004","","0",""
"0","11","-1.5","113411","美里老師也來一起\n幫忙加油嘛！","23","0","1230005","0","8","0"
"","91","","0","","23","","1230006","","",""
"","3","","113411","pkb_idle_normal","23","","1230007","0.2","1",""
"","3","","113511","pkb_talk_normal","23","","1230008","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_2_102","23","","1230009","","0",""
"0","11","3","113511","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！","23","0","1230010","0","5","0"
"","93","","4","","23","","1230011","","",""
"pkb_talk_fun","3","","113511","pkb_talk_fun","23","0.2","1230012","0.2","0","0"
"","93","","2.7","","23","","1230013","","",""
"pkb_talk_joy1","3","","113511","pkb_idle_normal","23","0.2","1230014","0.2","0","1"
"","91","","1230010","","23","","1230015","","",""
"","3","","113511","pkb_idle_normal","23","","1230016","0.2","1",""
"170","1","pkb_idle_normal","1","113511","24","1","1240001","1.6","100","-150"
"-20","5","pkb_idle_normal","3","3","24","0","1240002","55","100","-130"
"","3","","113511","pkb_talk_joy3","24","","1240003","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_3_101","24","","1240004","","0",""
"0","11","-1","113511","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～","24","0","1240005","0","6","0"
"","93","","4","","24","","1240006","","",""
"","3","","113511","pkb_talk_wish","24","","1240007","0.2","1",""
"","91","","1240005","","24","","1240008","","",""
"","3","","113511","pkb_idle_normal","24","","1240009","0.2","1",""
"","3","","3","pkb_talk_normal","24","","1240010","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_3_602","24","","1240011","","0",""
"0","11","-1","3","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！","24","0","1240012","0","6","0"
"","93","","2","","24","","1240013","","",""
"pkb_idle_doya","3","","3","pkb_talk_doya","24","","1240014","0.2","0","1"
"","91","","1240012","","24","","1240015","","",""
"","3","","3","pkb_idle_normal","24","","1240016","0.2","1",""
"-20","5","pkb_idle_normal","3","3","25","0","1250001","55","100","-130"
"170","1","pkb_idle_normal","1","113511","25","1","1250002","1.6","100","-150"
"pkb_idle_arm_crossed","3","","3","pkb_talk_arm_crossed","25","0.2","1250003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_4_601","25","","1250004","","0",""
"0","11","-0.5","3","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！","25","0","1250005","0","8","0"
"","93","","3","","25","","1250006","","",""
"pkb_idle_guts","3","","3","pkb_talk_guts","25","","1250007","0.2","0","1"
"","91","","1250005","","25","","1250008","","",""
"","3","","3","pkb_idle_normal","25","","1250009","0.2","1",""
"","3","","113511","pkb_talk_wish","25","","1250010","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_4_102","25","","1250011","","0",""
"0","11","1","113511","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪","25","0","1250012","0","6","0"
"","93","","5.6","","25","","1250013","","",""
"pkb_idle_normal","3","","113511","pkb_talk_handsup","25","0.2","1250014","0.2","0","1"
"","91","","0","","25","","1250015","","",""
"","3","","113511","pkb_idle_normal","25","","1250016","0.2","1",""
"170","1","pkb_idle_normal","1","113511","26","1","1260001","1.6","100","-150"
"-20","5","pkb_idle_normal","1","1","26","0","1260002","55","100","-130"
"","3","","113511","pkb_talk_joy3","26","","1260003","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_5_101","26","","1260004","","0",""
"0","11","0","113511","呵呵，老師也會\n一起協助你們練習的～","26","0","1260005","0","6","0"
"","91","","0","","26","","1260006","","",""
"","3","","113511","pkb_idle_normal","26","","1260007","0.2","1",""
"pkb_idle_guts","3","","1","pkb_talk_guts","26","0.2","1260008","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_5_702","26","","1260009","","0",""
"0","11","-1","1","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！","26","0","1260010","0","8","0"
"","91","","0","","26","","1260011","","",""
"","3","","1","pkb_idle_normal","26","","1260012","0.2","1",""
"-20","5","pkb_idle_normal","1","1","27","0","1270001","55","100","-130"
"170","1","pkb_idle_normal","1","113511","27","1","1270002","1.6","100","-150"
"pkb_idle_arm_crossed","3","","1","pkb_talk_arm_crossed","27","0.2","1270003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_6_701","27","","1270004","","0",""
"0","11","-0.5","1","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！","27","0","1270005","0","8","0"
"","93","","2.6","","27","","1270006","","",""
"pkb_idle_guts","3","","1","pkb_talk_guts","27","0.2","1270007","0.2","0","1"
"","91","","1270005","","27","","1270008","","",""
"","3","","1","pkb_idle_normal","27","","1270009","0.2","1",""
"","3","","113511","pkb_talk_joy3","27","","1270010","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_6_102","27","","1270011","","0",""
"0","11","0.5","113511","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪","27","0","1270012","0","6","0"
"","93","","4","","27","","1270013","","",""
"","3","","113511","pkb_talk_wish","27","","1270014","0.2","1",""
"","91","","1270012","","27","","1270015","","",""
"","3","","113511","pkb_idle_normal","27","","1270016","0.2","1",""
"170","1","pkb_idle_normal","1","113411","28","1","1280001","1.6","100","-150"
"-20","5","pkb_idle_normal","3","3","28","0","1280002","55","100","-130"
"pkb_talk_joy1","3","","113411","pkb_talk_yell","28","0.2","1280003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_7_201","28","","1280004","","0",""
"0","11","-0.5","113411","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！","28","0","1280005","0","8","0"
"","93","","4.6","","28","","1280006","","",""
"pkb_idle_normal","3","","113411","pkb_talk_fun","28","0.2","1280007","0.2","0","1"
"","91","","1280005","","28","","1280008","","",""
"","3","","113411","pkb_idle_normal","28","","1280009","0.2","1",""
"pkb_idle_guts","3","","3","pkb_talk_guts","28","","1280010","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_7_602","28","","1280011","","0",""
"0","11","0","3","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！","28","0","1280012","0","8","0"
"","93","","5","","28","","1280013","","",""
"pkb_idle_normal","3","","3","pkb_talk_handsup","28","","1280014","0.2","0","1"
"","91","","1280012","","28","","1280015","","",""
"","3","","3","pkb_idle_normal","28","","1280016","0.2","1",""
"-20","5","pkb_idle_normal","3","3","29","0","1290001","55","100","-130"
"170","1","pkb_idle_normal","1","113411","29","1","1290002","1.6","100","-150"
"pkb_idle_arm_crossed","3","","3","pkb_talk_arm_crossed","29","0.2","1290003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_8_601","29","","1290004","","0",""
"0","11","-1","3","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！","29","0","1290005","0","8","0"
"","93","","2.8","","29","","1290006","","",""
"pkb_idle_guts","3","","3","pkb_talk_guts","29","","1290007","0.2","0","1"
"","91","","1290005","","29","","1290008","","",""
"","3","","3","pkb_idle_normal","29","","1290009","0.2","1",""
"","3","","113411","pkb_talk_joy1","29","","1290010","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_8_202","29","","1290011","","0",""
"0","11","-0.5","113411","包在我身上！\n我會比平常還要\n更努力加油打氣的～！","29","0","1290012","0","8","0"
"","93","","2.2","","29","","1290013","","",""
"pkb_smile","3","","113411","pkb_talk_fun","29","0.4","1290014","0.2","0","0"
"","93","","2.2","","29","","1290015","","",""
"","3","","113411","pkb_idle_normal","29","","1290016","0.2","1",""
"","91","","1290012","","29","","1290017","","",""
"","3","","113411","pkb_idle_normal","29","","1290018","0.2","1",""
"170","1","pkb_idle_normal","1","113411","30","1","1300001","1.6","100","-150"
"-20","5","pkb_idle_normal","1","1","30","0","1300002","55","100","-130"
"","3","","113411","pkb_talk_joy1","30","","1300003","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_9_201","30","","1300004","","0",""
"0","11","1","113411","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！","30","0","1300005","0","8","0"
"","93","","5","","30","","1300006","","",""
"pkb_idle_normal","3","","113411","pkb_talk_handsup","30","","1300007","0.2","0","1"
"","91","","1300005","","30","","1300008","","",""
"","3","","113411","pkb_idle_normal","30","","1300009","0.2","1",""
"","3","","1","pkb_talk_normal","30","","1300010","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_9_702","30","","1300011","","0",""
"0","11","-1","1","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！","30","0","1300012","0","8","0"
"","93","","3.3","","30","","1300013","","",""
"pkb_idle_guts","3","","1","pkb_talk_guts","30","","1300014","0.2","0","1"
"","91","","1300012","","30","","1300015","","",""
"","3","","1","pkb_idle_normal","30","","1300016","0.2","1",""
"-20","5","pkb_idle_normal","1","1","31","0","1310001","55","100","-130"
"170","1","pkb_idle_normal","1","113411","31","1","1310002","1.6","100","-150"
"pkb_idle_arm_crossed","3","","1","pkb_talk_arm_crossed","31","0.2","1310003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_10_701","31","","1310004","","0",""
"0","11","-1.5","1","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！","31","0","1310005","0","8","0"
"","93","","3.6","","31","","1310006","","",""
"pkb_idle_doya","3","","1","pkb_talk_doya","31","","1310007","0.2","0","1"
"","91","","1310005","","31","","1310008","","",""
"","3","","1","pkb_idle_normal","31","","1310009","0.2","1",""
"","3","","113411","pkb_talk_joy1","31","","1310010","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_10_202","31","","1310011","","0",""
"0","11","-0.5","113411","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆","31","0","1310012","0","8","0"
"","93","","3.6","","31","","1310013","","",""
"pkb_talk_fun","3","","113411","pkb_talk_fun","31","","1310014","0.2","0","0"
"","93","","3","","31","","1310015","","",""
"","3","","113411","pkb_idle_normal","31","","1310016","0.2","1",""
"","91","","1310012","","31","","1310017","","",""
"-20","5","pkb_idle_normal","2","2","32","0","1320001","55","100","-130"
"170","1","pkb_idle_normal","1","113411","32","1","1320002","1.6","100","-150"
"pkb_idle_guts","3","","2","pkb_talk_guts","32","","1320003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_11_801","32","","1320004","","0",""
"0","11","0","2","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。","32","0","1320005","0","8","0"
"","93","","5","","32","","1320006","","",""
"pkb_idle_doya","3","","2","pkb_talk_doya","32","","1320007","0.2","0","1"
"","91","","1320005","","32","","1320008","","",""
"","3","","2","pkb_idle_normal","32","","1320009","0.2","1",""
"","3","","113411","pkb_talk_joy2","32","","1320010","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_11_202","32","","1320011","","0",""
"0","11","0","113411","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！","32","0","1320012","0","8","0"
"","93","","4.6","","32","","1320013","","",""
"pkb_idle_normal","3","","113411","pkb_hatsune_kiran","32","0.2","1320014","0.2","0","1"
"","91","","1320012","","32","","1320015","","",""
"","3","","113411","pkb_idle_normal","32","","1320016","0.2","1",""
"170","1","pkb_idle_normal","1","102311","33","1","1330001","1.6","100","-150"
"-20","5","pkb_idle_normal","2","2","33","0","1330002","55","100","-130"
"","3","","102311","pkb_talk_normal","33","","1330003","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_12_401","33","","1330004","","0",""
"0","11","-0.5","102311","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！","33","0","1330005","0","8","0"
"","93","","1.6","","33","","1330006","","",""
"pkb_talk_joy1","3","","102311","pkb_talk_yell","33","0.2","1330007","0.2","0","1"
"","91","","1330005","","33","","1330008","","",""
"","3","","102311","pkb_idle_normal","33","","1330009","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_12_802","33","","1330010","","0",""
"0","11","0","2","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。","33","0","1330011","0","8","0"
"","93","","0.5","","33","","1330012","","",""
"","3","","2","pkb_talk_yell","33","","1330013","0.2","0",""
"","93","","3","","33","","1330014","","",""
