abea5a15c82e21bc39fc019b1cfee5a06e34249c936e70e4b4153673a7dfaac4,7ca74aa0576dd99a06d6456c01e0617a4eaec3eff8dbe79493e37405ae621efb,083d89a74d10a2ef4bb458fc6e908a0da2e7a4d79daca89546fbcb40a881bb2e,3aa81b727cf3876f10d896562ee8237e3fb3bac9197d83997a7f1e25fbb53e99,80d1a62b82af64eb30f0c014dbee11c9bf999fc96031c7139286ceb31d58bb1c,ec3e4e7d252f534fa699aa7a0a80aa07eed6d94649252eb040e1e1fe45b1044d,a9f5e24e97d85ca403dfabd2adf1c06663847ca0ae63ca43bd1ff4d40b1816d9,c24ffc649608330aed3646a1851cb51ccab7c1c3e5638018f8cd5a282de3b43c,3b88aa8fb16822ea7b0932c5b89cd96b2dfdc6c0523774a3f3645a8872d1c2f8,bf880f196740a558e2349ced9c5bf1d9edb91096c9cf2502b21a1d97ea93a9f9,9bd4bbcc7396936e17d841707865c556270d9ec8853688244fb86759598b5018,e50561ea4927d1aab9de08815e777849250a58aa606b745c0dd0c71e7a5e94c0,566586014ca3276d3f7231ac7b840b1079de1e603b8090e01e00d1e9b4c228e3,815a225fc89e68f843559d91534c211dd9b119ea20795ae7259dcf557853caa3,ba27f1154917038ddf92979b2b6e4989bef6f414d68ee0f0906fbe7cef6598c3,8d1f4a909b1757e4e0b0464abd88471bd490f1daa1e3ac49396b4468fe2950b2,8397f045bd1d1df073dc56538ae2bc3ef72703f4865d330ce6de75eb1ef322ef,61d8f49dbc4bf7f271e81e5e2fa0b7c3122dac31c0decbd8c216daec31c1c77d,cbdc9c6a9cde7db4f5a516193e4844d1bf8c53a9141bfbb41156607d7b9940f9
"106901","4","90","4","5","-100","2","106901","4","117301","1003","2","0","100322","100701","100003","180201","4","110301"
"124501","5","90","4","4","-100","3","113401","4","117501","1003","2","0","100323","103401","100003","124501","4","105101"
"108101","3","90","8","1","-100","1","102601","2","108101","1003","3","0","100331","103401","100003","123001","1","117301"
"108201","8","90","1","2","-100","2","123501","2","103401","1003","3","0","100332","100701","100003","108201","1","112701"
"108301","8","90","3","1","-100","3","100801","1","123001","1003","3","0","100333","101401","100003","108301","1","101001"
"106601","6","90","6","6","-100","1","100901","6","106601","1004","1","0","100411","114701","100003","110301","6","103401"
"180401","6","90","6","6","-100","2","103401","6","100501","1004","1","0","100412","180401","100003","106901","6","105401"
"100801","6","90","6","6","-100","3","123001","6","105501","1004","1","0","100413","103401","100003","100801","6","101401"
"105401","4","90","4","4","-100","1","110301","4","106601","1004","2","0","100421","105401","100003","118001","4","180301"
"101801","4","90","4","5","-100","2","124501","4","113401","1004","2","0","100422","105301","100003","101801","4","110301"
"123301","5","90","4","4","-100","3","105501","4","123301","1004","2","0","100423","105201","100003","123001","4","103401"
"126101","8","90","3","2","-100","1","110301","3","125801","1004","3","0","100431","126001","100003","108301","3","126101"
"103301","8","90","1","3","-100","2","123001","2","103401","1004","3","0","100432","103301","100003","108301","7","121101"
"105801","7","90","2","3","-100","3","123001","2","117301","1004","3","0","100433","105801","100003","106001","7","180501"
"105501","6","90","6","6","-100","1","112201","6","103401","1005","1","0","100511","100701","100003","123001","6","105501"
"100901","6","90","6","6","-100","2","105101","6","103401","1005","1","0","100512","106601","100003","123001","6","100901"
"112701","6","90","6","6","-100","3","106901","6","113401","1005","1","0","100513","112701","100003","101801","6","110301"
"100101","4","90","4","4","-100","1","123801","4","106601","1005","2","0","100521","114701","100003","110301","4","100101"
"102601","4","90","4","4","-100","2","102601","4","103401","1005","2","0","100522","105201","100003","112201","4","105501"
"119201","4","90","4","4","-100","3","110301","4","119201","1005","2","0","100523","105401","100003","121401","4","105501"
"106601","8","90","1","8","-100","1","107701","1","106601","1005","3","0","100531","105201","100003","108301","1","103401"
"127901","8","90","1","3","-100","2","123001","3","103401","1005","3","0","100532","127901","100003","108301","3","126101"
"108401","8","90","2","3","-100","3","123001","1","123301","1005","3","0","100533","105801","100003","108401","7","102601"
"111401","6","90","6","6","-100","1","105001","6","103401","1006","1","0","100611","106601","100003","111401","6","117301"
"113401","6","90","6","6","-100","2","123001","6","105401","1006","1","0","100612","105201","100003","100801","6","113401"
"107701","6","90","6","6","-100","3","123001","6","103401","1006","1","0","100613","100501","100003","107701","6","105501"
"112201","4","90","4","4","-100","1","105001","4","103401","1006","2","0","100621","106601","100003","111401","4","112201"
"123001","5","90","4","4","-100","2","105501","4","105401","1006","2","0","100622","102901","100003","123001","4","105301"
"117301","5","90","4","4","-100","3","112201","4","117301","1006","2","0","100623","100701","100003","123001","4","101401"
"128301","8","90","1","7","-100","1","106001","1","103401","1006","3","0","100631","128301","100003","108301","3","105501"
"106501","8","90","1","3","-100","2","123001","2","106601","1006","3","0","100632","106501","100003","108301","1","123301"
"109001","8","90","1","3","-100","3","123001","2","102601","1006","3","0","100633","109001","100003","107701","8","110301"
"125101","6","90","6","6","-100","1","123001","6","122801","1007","1","1001","100711","102901","100003","125101","6","103401"
"111001","6","90","6","6","-100","2","110301","6","106601","1007","1","1001","100712","105401","100003","111001","6","180301"
"118001","6","90","6","6","-100","3","118001","6","121401","1007","1","1001","100713","101401","100003","118501","6","123001"
"100201","4","90","4","5","-100","1","123001","4","103401","1007","2","1001","100721","102901","100003","100201","4","117301"
"105101","4","90","4","4","-100","2","110301","4","117301","1007","2","1001","100722","104801","100003","104001","4","105101"
"100801","4","90","4","4","-100","3","100801","4","118001","1007","2","1001","100723","101401","100003","111001","4","118501"
"128801","3","90","2","3","-100","1","123001","1","123301","1007","3","1001","100731","128801","100003","118501","3","102601"
"128901","8","90","1","3","-100","2","128901","1","103401","1007","3","1001","100732","104501","100003","108301","1","105501"
"128701","8","90","3","3","-100","3","123001","2","128701","1007","3","1001","100733","128301","100003","108301","3","117301"
"100701","6","90","6","6","-100","1","112201","6","103401","1008","1","1002","100811","100701","100003","123001","6","105501"
"111401","6","90","6","6","-100","2","105001","6","103401","1008","1","1002","100812","106601","100003","111401","6","117301"
"102901","6","90","6","6","-100","3","123001","6","122801","1008","1","1002","100813","102901","100003","125101","6","103401"
"110301","4","90","4","4","-100","1","101201","4","103401","1008","2","1002","100821","104601","100003","111401","4","110301"
"106601","5","90","4","5","-100","2","106901","4","106601","1008","2","1002","100822","105201","100003","123001","4","113401"
"123001","4","90","4","5","-100","3","123001","4","105501","1008","2","1002","100823","103401","100003","100801","4","101401"
"108801","8","90","1","1","-100","1","108801","2","103401","1008","3","1002","100831","108901","100003","108301","1","112201"
"129001","3","90","1","8","-100","2","107701","3","108901","1008","3","1002","100832","100701","100003","129001","1","126101"
"100201","1","90","3","3","-100","3","123001","1","126101","1008","3","1002","100833","103401","100003","100201","1","101401"
"100901","6","90","6","6","-100","1","100901","6","106601","1009","1","1003","100911","114701","100003","110301","6","103401"
"106901","6","90","6","6","-100","2","103401","6","100501","1009","1","1003","100912","180401","100003","106901","6","105401"
"101401","6","90","6","6","-100","3","123001","6","105501","1009","1","1003","100913","103401","100003","100801","6","101401"
"122801","4","90","4","4","-100","1","100901","4","103401","1009","2","1003","100921","122801","100003","119001","4","124101"
"100501","5","90","4","4","-100","2","121101","4","100501","1009","2","1003","100922","105201","100003","123001","4","103401"
"103401","5","90","4","5","-100","3","123001","4","103401","1009","2","1003","100923","100701","100003","118501","4","105501"
"120001","8","90","7","7","-100","1","101601","1","104901","1009","3","1003","100931","120001","100003","108301","2","103401"
"112201","3","90","1","2","-100","2","112201","1","100501","1009","3","1003","100932","108901","100003","129001","1","101801"
"123001","3","90","3","3","-100","3","123001","3","128801","1009","3","1003","100933","100701","100003","129001","1","126101"
