07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154,5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff
"","","0","251","","","91","","0","","12510004"
"","","<unit_id>","251","10","-180","2","","850","","12510005"
"","","9","251","10","-180","33","","850","","12510006"
"","","se_10053800","301","","","23","","se_fpc_water_random","","13010001"
"1.75","cmn_swm_flutterKick_floatRing","1","301","-850","23","1","-180","<unit_id>","0","13010002"
"1.75","cmn_swm_flutterKick_floatRing_pink","1","301","-850","22","5","-180","1","0","13010003"
"1","","1","301","-180","-850","31","1","1","","13010004"
"","","0","301","","","91","","0","","13010005"
"","","<unit_id>","301","10","-180","2","","1050","","13010006"
"","","1","301","10","-180","2","","1050","","13010007"
"","","1","301","10","-180","33","","1050","","13010008"
"","","se_10053800","302","","","23","","se_fpc_water_random","","13020001"
"1.75","cmn_swm_flutterKick_floatRing","1","302","-850","23","1","-180","<unit_id>","0","13020002"
"1.75","cmn_swm_flutterKick_floatRing_blue","1","302","-850","22","5","-180","1","0","13020003"
"1","","1","302","-180","-850","31","1","1","","13020004"
"","","0","302","","","91","","0","","13020005"
"","","<unit_id>","302","10","-180","2","","1050","","13020006"
"","","1","302","10","-180","2","","1050","","13020007"
"","","1","302","10","-180","33","","1050","","13020008"
"","","se_10053800","303","","","23","","se_fpc_water_random","","13030001"
"1.75","cmn_swm_flutterKick_floatRing","1","303","-850","23","1","-180","<unit_id>","0","13030002"
"1.75","cmn_swm_flutterKick_floatRing","1","303","-850","22","5","-180","1","0","13030003"
"1","","1","303","-180","-850","31","1","1","","13030004"
"","","0","303","","","91","","0","","13030005"
"","","<unit_id>","303","10","-180","2","","1050","","13030006"
"","","1","303","10","-180","2","","1050","","13030007"
"","","1","303","10","-180","33","","1050","","13030008"
"","","se_10053800","351","","","23","","se_fpc_water_random","","13510001"
"1.75","cmn_swm_flutterKick_floatRing","1","351","-850","23","1","-180","<unit_id>","0","13510002"
"1.75","cmn_swm_flutterKick_floatBoad","1","351","-850","22","5","-180","1","0","13510003"
"1","","1","351","-180","-850","31","1","1","","13510004"
"","","0","351","","","91","","0","","13510005"
"","","<unit_id>","351","10","-180","2","","1050","","13510006"
"","","1","351","10","-180","2","","1050","","13510007"
"","","1","351","10","-180","33","","1050","","13510008"
"","","se_10053800","352","","","23","","se_fpc_water_random","","13520001"
"1.75","cmn_swm_flutterKick_floatRing","1","352","-850","23","1","-180","<unit_id>","0","13520002"
"1.75","cmn_swm_flutterKick_floatBoad_blue","1","352","-850","22","5","-180","1","0","13520003"
"1","","1","352","-180","-850","31","1","1","","13520004"
"","","0","352","","","91","","0","","13520005"
"","","<unit_id>","352","10","-180","2","","1050","","13520006"
"","","1","352","10","-180","2","","1050","","13520007"
"","","1","352","10","-180","33","","1050","","13520008"
"","","se_10053800","401","","","23","","se_fpc_water_random","","14010001"
"1.75","cmn_float","1","401","-850","22","1","-180","<unit_id>","0","14010002"
"1","","6","401","-180","-850","31","1","6","","14010003"
"","","0","401","","","91","","0","","14010004"
"","","<unit_id>","401","10","-180","2","","1050","","14010005"
"","","6","401","10","-180","33","","1050","","14010006"
"","","se_10053800","402","","","23","","se_fpc_water_random","","14020001"
"1.75","cmn_float_4","1","402","-850","22","1","-180","<unit_id>","0","14020002"
"1","","6","402","-180","-850","31","1","6","","14020003"
"","","0","402","","","91","","0","","14020004"
"","","<unit_id>","402","10","-180","2","","1050","","14020005"
"","","6","402","10","-180","33","","1050","","14020006"
"","","se_10053800","451","","","23","","se_fpc_water_random","","14510001"
"1.75","cmn_crawl","1","451","-850","22","1","-180","<unit_id>","0","14510002"
"1","","1","451","-180","-850","31","1","1","","14510003"
"","","0","451","","","91","","0","","14510004"
"","","<unit_id>","451","10","-180","2","","1050","","14510005"
"","","1","451","10","-180","33","","1050","","14510006"
"","","se_10053800","501","","","23","","se_fpc_water_random","","15010001"
"1.75","cmn_surfing","1","501","-850","45","1","-250","<unit_id>","0","15010002"
"1.75","cmn_surfing","6","501","-850","44","5","-250","6","0","15010003"
"1","","11","501","-250","-850","31","1","11","","15010004"
"","","0","501","","","91","","0","","15010005"
"","","<unit_id>","501","6","-250","2","","1800","","15010006"
"","","6","501","6","-250","2","","1800","","15010007"
"","","11","501","6","-250","33","","1800","","15010008"
"","","se_10053800","501","","","23","","se_10053800_surfing_wave","","15010009"
"","","se_10053800","851","","","23","","se_fpc_water_random","","18510001"
"1.75","cmn_surfing","1","851","-850","45","1","-125","107511","0","18510002"
"1.75","cmn_surfing","1","851","-1100","45","1","-250","107611","0","18510003"
"1.75","cmn_surfing","1","851","-1350","45","1","-125","107811","0","18510004"
"1.75","cmn_surfing","6","851","-850","44","5","-125","1","0","18510005"
"1.75","cmn_surfing","6","851","-1100","44","5","-250","2","0","18510006"
"1.75","cmn_surfing","6","851","-1350","44","5","-125","3","0","18510007"
"1","","11","851","-125","-850","31","1","1","","18510008"
"1","","11","851","-250","-1100","31","1","2","","18510009"
"1","","11","851","-125","-1350","31","1","3","","18510010"
"","","107511","851","6","-125","2","","2350","","18510011"
"","","107611","851","6","-250","2","","2100","","18510012"
"","","107811","851","6","-125","2","","1850","","18510013"
"","","1","851","6","-125","2","","2350","","18510014"
"","","2","851","6","-250","2","","2100","","18510015"
"","","3","851","6","-125","2","","1850","","18510016"
"","","1","851","6","-125","33","","2350","","18510017"
"","","2","851","6","-250","33","","2100","","18510018"
"","","3","851","6","-125","33","","1850","","18510019"
"","","se_10053800","851","","","23","","se_10053800_surfing_wave","","18510020"
"","","0.3","851","","","93","","","","18510021"
"","","vo_fpc","851","0","","21","","vo_fpc_85101","","18510022"
"","","se_10053800","852","","","23","","se_fpc_water_random","","18520001"
"1.75","cmn_swm_flutterKick_floatRing","1","852","-850","13","1","-125","122411","0","18520002"
"1.75","cmn_swm_flutterKick_floatRing","1","852","-1100","33","1","-250","122511","0","18520003"
"1.75","cmn_swm_flutterKick_floatRing","1","852","-1350","13","1","-125","122611","0","18520004"
"1.75","cmn_swm_flutterKick_floatRing","1","852","-850","12","5","-125","1","0","18520005"
"1.75","cmn_swm_flutterKick_floatRing_blue","1","852","-1100","32","5","-250","2","0","18520006"
"1.75","cmn_swm_flutterKick_floatRing_pink","1","852","-1350","12","5","-125","3","0","18520007"
"1","","7","852","-125","-850","31","1","1","","18520008"
"1","","1","852","-250","-1100","31","1","2","","18520009"
"1","","7","852","-125","-1350","31","1","3","","18520010"
"","","122411","852","10","-125","2","","1750","","18520011"
"","","122511","852","10","-250","2","","1500","","18520012"
"","","122611","852","10","-125","2","","1250","","18520013"
"","","1","852","10","-125","2","","1750","","18520014"
"","","2","852","10","-250","2","","1500","","18520015"
"","","3","852","10","-125","2","","1250","","18520016"
"","","1","852","10","-125","33","","1750","","18520017"
"","","2","852","10","-250","33","","1500","","18520018"
"","","3","852","10","-125","33","","1250","","18520019"
"","","se_10053800","853","","","23","","se_fpc_water_random","","18530001"
"1.75","cmn_swm_breastStroke","1","853","-850","12","1","-125","117211","0","18530002"
"1.75","cmn_swm_breastStroke","1","853","-1100","32","1","-250","117311","0","18530003"
"1.75","cmn_swm_breastStroke","1","853","-1350","12","1","-125","117411","0","18530004"
"1","","2","853","-125","-850","31","1","1","","18530005"
"1","","2","853","-250","-1100","31","1","2","","18530006"
"1","","2","853","-125","-1350","31","1","3","","18530007"
"","","117211","853","10","-125","2","","1750","","18530008"
"","","117311","853","10","-250","2","","1500","","18530009"
"","","117411","853","10","-125","2","","1250","","18530010"
"","","1","853","10","-125","33","","1750","","18530011"
"","","2","853","10","-250","33","","1500","","18530012"
"","","3","853","10","-125","33","","1250","","18530013"
"","","se_10053800","854","","","23","","se_fpc_water_random","","18540001"
"1.75","cmn_swm_flutterKick_floatRing","1","854","-850","13","1","-125","122711","0","18540002"
"1.75","cmn_swm_flutterKick_floatRing","1","854","-1100","33","1","-250","122811","0","18540003"
"1.75","cmn_swm_flutterKick_floatRing","1","854","-1350","13","1","-125","122911","0","18540004"
"1.75","cmn_swm_flutterKick_floatBoad","1","854","-850","12","5","-125","1","0","18540005"
"1.75","cmn_swm_flutterKick_floatBoad_blue","1","854","-1100","32","5","-250","2","0","18540006"
"1.75","cmn_swm_flutterKick_floatBoad","1","854","-1350","12","5","-125","3","0","18540007"
"1","","7","854","-125","-850","31","1","1","","18540008"
"1","","1","854","-250","-1100","31","1","2","","18540009"
"1","","7","854","-125","-1350","31","1","3","","18540010"
"","","122711","854","10","-125","2","","1750","","18540011"
"","","122811","854","10","-250","2","","1500","","18540012"
"","","122911","854","10","-125","2","","1250","","18540013"
"","","1","854","10","-125","2","","1750","","18540014"
"","","2","854","10","-250","2","","1500","","18540015"
"","","3","854","10","-125","2","","1250","","18540016"
"","","1","854","10","-125","33","","1750","","18540017"
"","","2","854","10","-250","33","","1500","","18540018"
"","","3","854","10","-125","33","","1250","","18540019"
"","","se_10053800","855","","","23","","se_fpc_water_random","","18550001"
"1.75","cmn_swm_flutterKick_floatRing","1","855","-850","13","1","-125","113411","0","18550002"
"1.75","cmn_swm_flutterKick_floatRing","1","855","-1100","33","1","-250","113511","0","18550003"
"1.75","cmn_swm_flutterKick_floatBoad","1","855","-850","12","5","-125","1","0","18550004"
"1.75","cmn_swm_flutterKick_floatBoad_blue","1","855","-1100","32","5","-250","2","0","18550005"
"1","","7","855","-125","-850","31","1","1","","18550006"
"1","","1","855","-250","-1100","31","1","2","","18550007"
"","","113411","855","10","-125","2","","1750","","18550008"
"","","113511","855","10","-250","2","","1500","","18550009"
"","","1","855","10","-125","2","","1750","","18550010"
"","","2","855","10","-250","2","","1500","","18550011"
"","","1","855","10","-125","33","","1750","","18550012"
"","","2","855","10","-250","33","","1500","","18550013"
"","","se_10053800","856","","","23","","se_fpc_water_random","","18560001"
"1.75","cmn_swm_tread","1","856","-850","13","1","-125","110311","0","18560002"
"1.75","cmn_swm_tread","1","856","-1100","33","1","-250","107711","0","18560003"
"1.75","cmn_swm_tread_pink","1","856","-850","12","5","-125","1","0","18560004"
"1.75","cmn_swm_tread","1","856","-1100","32","5","-250","2","0","18560005"
"1","","13","856","-125","-850","31","1","1","","18560006"
"1","","3","856","-250","-1100","31","1","2","","18560007"
"","","110311","856","13.5","-125","2","","1750","","18560008"
"","","107711","856","13.5","-250","2","","1500","","18560009"
"","","1","856","13.5","-125","2","","1750","","18560010"
"","","2","856","13.5","-250","2","","1500","","18560011"
"","","1","856","13.5","-125","33","","1750","","18560012"
"","","2","856","13.5","-250","33","","1500","","18560013"
"","","se_10053800","857","","","23","","se_fpc_water_random","","18570001"
"1.75","cmn_swm_tread","1","857","-850","13","1","-125","110411","0","18570002"
"1.75","cmn_swm_tread","1","857","-1100","33","1","-250","110511","0","18570003"
"1.75","cmn_swm_tread","1","857","-1350","13","1","-125","115711","0","18570004"
"1.75","cmn_boat_relax","1","857","-1600","33","1","-250","110611","0","18570005"
"1.75","cmn_swm_tread_blue","1","857","-850","12","5","-125","1","0","18570006"
"1.75","cmn_swm_tread","1","857","-1100","32","5","-250","2","0","18570007"
"1.75","cmn_swm_tread_pink","1","857","-1350","12","5","-125","3","0","18570008"
"1.75","cmn_boat_idle_l","2","857","-1600","32","5","-250","4","0","18570009"
"1","","13","857","-125","-850","31","1","1","","18570010"
"1","","3","857","-250","-1100","31","1","2","","18570011"
"1","","13","857","-125","-1350","31","1","3","","18570012"
"1","","116","857","-250","-1600","31","1","4","","18570013"
"","","110411","857","13.5","-125","2","","1750","","18570014"
"","","110511","857","13.5","-250","2","","1500","","18570015"
"","","115711","857","13.5","-125","2","","1250","","18570016"
"","","110611","857","13.5","-250","2","","1000","","18570017"
"","","1","857","13.5","-125","2","","1750","","18570018"
"","","2","857","13.5","-250","2","","1500","","18570019"
"","","3","857","13.5","-125","2","","1250","","18570020"
"","","4","857","13.5","-250","2","","1000","","18570021"
"","","1","857","13.5","-125","33","","1750","","18570022"
"","","2","857","13.5","-250","33","","1500","","18570023"
"","","3","857","13.5","-125","33","","1250","","18570024"
"","","4","857","13.5","-250","33","","1000","","18570025"
"","","se_10053800","858","","","23","","se_fpc_water_random","","18580001"
"1.75","cmn_swm_tread","1","858","-850","13","1","-125","126711","0","18580002"
"1.75","cmn_swm_tread","1","858","-850","13","1","-125","126711","0","18580003"
"1.75","cmn_swm_tread","1","858","-1100","33","1","-250","126811","0","18580004"
"1.75","cmn_swm_tread","1","858","-1350","13","1","-125","108011","0","18580005"
"1.75","cmn_boat_cat","1","858","-1600","33","1","-250","107911","0","18580006"
"1.75","cmn_swm_tread_pink","1","858","-850","12","5","-125","1","0","18580007"
"1.75","cmn_swm_tread","1","858","-1100","32","5","-250","2","0","18580008"
"1.75","cmn_swm_tread_blue","1","858","-1350","12","5","-125","3","0","18580009"
"1.75","cmn_boat_idle_l","2","858","-1600","32","5","-250","4","0","18580010"
"1","","13","858","-125","-850","31","1","1","","18580011"
"1","","3","858","-250","-1100","31","1","2","","18580012"
"1","","13","858","-125","-1350","31","1","3","","18580013"
"1","","116","858","-250","-1600","31","1","4","","18580014"
"","","126711","858","13.5","-125","2","","1750","","18580015"
"","","126811","858","13.5","-250","2","","1500","","18580016"
"","","108011","858","13.5","-125","2","","1250","","18580017"
"","","107911","858","13.5","-250","2","","1000","","18580018"
"","","1","858","13.5","-125","2","","1750","","18580019"
"","","2","858","13.5","-250","2","","1500","","18580020"
"","","3","858","13.5","-125","2","","1250","","18580021"
"","","4","858","13.5","-250","2","","1000","","18580022"
"","","1","858","13.5","-125","33","","1750","","18580023"
"","","2","858","13.5","-250","33","","1500","","18580024"
"","","3","858","13.5","-125","33","","1250","","18580025"
"","","4","858","13.5","-250","33","","1000","","18580026"
"","","se_10053800","859","","","23","","se_fpc_water_random","","18590001"
"1.75","cmn_surfing","1","859","-850","45","1","-125","113111","0","18590002"
"1.75","cmn_surfing","1","859","-1100","45","1","-250","113211","0","18590003"
"1.75","cmn_surfing","1","859","-1350","45","1","-125","113311","0","18590004"
"1.75","cmn_surfing","1","859","-1600","45","1","-250","117011","0","18590005"
"1.75","cmn_surfing","6","859","-850","44","5","-125","1","0","18590006"
"1.75","cmn_surfing","6","859","-1100","44","5","-250","2","0","18590007"
"1.75","cmn_surfing","6","859","-1350","44","5","-125","3","0","18590008"
"1.75","cmn_surfing","6","859","-1600","44","5","-250","4","0","18590009"
"1","","11","859","-125","-850","31","1","1","","18590010"
"1","","11","859","-250","-1100","31","1","2","","18590011"
"1","","11","859","-125","-1350","31","1","3","","18590012"
"1","","11","859","-250","-1600","31","1","4","","18590013"
"","","113111","859","6","-125","2","","2350","","18590014"
"","","113211","859","6","-250","2","","2100","","18590015"
"","","113311","859","6","-125","2","","1850","","18590016"
"","","117011","859","6","-250","2","","1600","","18590017"
"","","1","859","6","-125","2","","2350","","18590018"
"","","2","859","6","-250","2","","2100","","18590019"
"","","3","859","6","-125","2","","1850","","18590020"
"","","4","859","6","-250","2","","1600","","18590021"
"","","1","859","6","-125","33","","2350","","18590022"
"","","2","859","6","-250","33","","2100","","18590023"
"","","3","859","6","-125","33","","1850","","18590024"
"","","4","859","6","-250","33","","1600","","18590025"
"","","se_10053800","859","","","23","","se_10053800_surfing_wave","","18590026"
"","","0.3","859","","","93","","","","18590027"
"","","vo_fpc","859","0","","21","","vo_fpc_85901","","18590028"
"","","se_10053800","860","","","23","","se_fpc_water_random","","18600001"
"1.75","cmn_boat_relax_l","1","860","-850","23","1","-180","110011","0","18600002"
"1.75","cmn_boat_relax","1","860","-1200","23","1","-180","110111","0","18600003"
"1.75","cmn_boat_idle_blue","2","860","-850","22","5","-180","1","0","18600004"
"1.75","cmn_boat_idle_l","2","860","-1200","22","5","-180","2","0","18600005"
"1","","116","860","-180","-850","31","1","1","","18600006"
"1","","116","860","-180","-1200","31","1","2","","18600007"
"","","110011","860","13.5","-180","2","","1750","","18600008"
"","","110111","860","13.5","-180","2","","1400","","18600009"
"","","1","860","13.5","-180","2","","1750","","18600010"
"","","2","860","13.5","-180","2","","1400","","18600011"
"","","1","860","13.5","-180","33","","1750","","18600012"
"","","2","860","13.5","-180","33","","1400","","18600013"
"","","2.7","860","","","93","","","","18600014"
"","","vo_fpc","860","0","","21","","vo_fpc_86001","","18600015"
"","","se_10053800","861","","","23","","se_fpc_water_random","","18610001"
"1.75","cmn_swm_tread","1","861","-850","13","1","-125","129511","0","18610002"
"1.75","cmn_swm_tread","1","861","-1100","33","1","-250","129411","0","18610003"
"1.75","cmn_swm_tread","1","861","-1350","13","1","-125","129311","0","18610004"
"1.75","cmn_swm_tread_pink","1","861","-850","12","5","-125","1","0","18610005"
"1.75","cmn_swm_tread_blue","1","861","-1100","32","5","-250","2","0","18610006"
"1.75","cmn_swm_tread","1","861","-1350","12","5","-125","3","0","18610007"
"1","","13","861","-125","-850","31","1","1","","18610008"
"1","","3","861","-250","-1100","31","1","2","","18610009"
"1","","13","861","-125","-1350","31","1","3","","18610010"
"","","129511","861","13.5","-125","2","","1750","","18610011"
"","","129411","861","13.5","-250","2","","1500","","18610012"
"","","129311","861","13.5","-125","2","","1250","","18610013"
"","","1","861","13.5","-125","2","","1750","","18610014"
"","","2","861","13.5","-250","2","","1500","","18610015"
"","","3","861","13.5","-125","2","","1250","","18610016"
"","","1","861","13.5","-125","33","","1750","","18610017"
"","","2","861","13.5","-250","33","","1500","","18610018"
"","","3","861","13.5","-125","33","","1250","","18610019"
"","","se_10053800","862","","","23","","se_fpc_water_random","","18620001"
"1.75","cmn_swm_tread","1","862","-850","13","1","-125","126711","0","18620002"
"1.75","cmn_swm_tread","1","862","-1100","33","1","-250","126811","0","18620003"
"1.66","02_neneka_floatRing","21","862","-1350","22","5","-180","21","0","18620004"
"1.75","cmn_swm_tread","1","862","-850","12","5","-125","1","0","18620005"
"1.75","cmn_swm_tread_blue","1","862","-1100","32","5","-250","2","0","18620006"
"1","","13","862","-125","-850","31","1","1","","18620007"
"1","","3","862","-250","-1100","31","1","2","","18620008"
"1","","102","862","-180","-1350","31","1","3","","18620009"
"","","126711","862","13.5","-125","2","","1750","","18620010"
"","","126811","862","13.5","-250","2","","1500","","18620011"
"","","21","862","13.5","-180","2","","1250","","18620012"
"","","1","862","13.5","-125","2","","1750","","18620013"
"","","2","862","13.5","-250","2","","1500","","18620014"
"","","1","862","13.5","-125","33","","1750","","18620015"
"","","2","862","13.5","-250","33","","1500","","18620016"
"","","3","862","13.5","-180","33","","1250","","18620017"
"","","se_10053800","863","","","23","","se_fpc_water_random","","18630001"
"1.75","cmn_float","1","863","-1100","22","1","-180","126911","1","18630002"
"1.75","cmn_float","1","863","-1350","12","1","-125","127011","0","18630003"
"1.75","cmn_float","1","863","-1600","22","1","-180","127111","0","18630004"
"1","","6","863","-180","-1070","31","1","2","","18630005"
"1","","6","863","-125","-1350","31","1","3","","18630006"
"1","","6","863","-180","-1600","31","1","4","","18630007"
"","","126911","863","13.5","-180","2","","1500","","18630008"
"","","127011","863","13.5","-125","2","","1250","","18630009"
"","","127111","863","13.5","-180","2","","1000","","18630010"
"","","2","863","13.5","-180","33","","1530","","18630011"
"","","3","863","13.5","-125","33","","1250","","18630012"
"","","4","863","13.5","-180","33","","1000","","18630013"
"","","2.3","863","","","93","","","","18630014"
"","","vo_fpc","863","0","","21","","vo_fpc_86301","","18630015"
"","","se_10053800","864","","","23","","se_fpc_water_random","","18640001"
"1.75","cmn_surfing","1","864","-850","45","1","-125","107811","0","18640002"
"1.75","cmn_surfing","1","864","-1100","45","1","-250","110011","0","18640003"
"1.75","cmn_surfing","6","864","-850","44","5","-125","1","0","18640004"
"1.75","cmn_surfing","6","864","-1100","44","5","-250","2","0","18640005"
"1","","11","864","-125","-850","31","1","1","","18640006"
"1","","11","864","-250","-1100","31","1","2","","18640007"
"","","107811","864","6","-125","2","","2350","","18640008"
"","","110011","864","6","-250","2","","2100","","18640009"
"","","1","864","6","-125","2","","2350","","18640010"
"","","2","864","6","-250","2","","2100","","18640011"
"","","1","864","6","-125","33","","2350","","18640012"
"","","2","864","6","-250","33","","2100","","18640013"
"","","se_10053800","864","","","23","","se_10053800_surfing_wave","","18640014"
"","","0.2","864","","","93","","","","18640015"
"","","vo_fpc","864","0","","21","","vo_fpc_86401","","18640016"
"","","se_10053800","865","","","23","","se_fpc_water_random","","18650001"
"1.75","cmn_swm_flutterKick_floatRing","1","865","-850","13","1","-125","110311","0","18650002"
"1.75","cmn_swm_flutterKick_floatRing","1","865","-1100","33","1","-250","113111","0","18650003"
"1.75","cmn_swm_flutterKick_floatRing_pink","1","865","-850","12","5","-125","1","0","18650004"
"1.75","cmn_swm_flutterKick_floatRing_blue","1","865","-1100","32","5","-250","2","0","18650005"
"1","","7","865","-125","-850","31","1","1","","18650006"
"1","","1","865","-250","-1100","31","1","2","","18650007"
"","","110311","865","10","-125","2","","1750","","18650008"
"","","113111","865","10","-250","2","","1500","","18650009"
"","","1","865","10","-125","2","","1750","","18650010"
"","","2","865","10","-250","2","","1500","","18650011"
"","","1","865","10","-125","33","","1750","","18650012"
"","","2","865","10","-250","33","","1500","","18650013"
"","","se_10053800","866","","","23","","se_fpc_water_random","","18660001"
"1.75","cmn_swm_flutterKick_floatRing","1","866","-850","13","1","-125","113411","0","18660002"
"1.75","cmn_swm_flutterKick_floatRing","1","866","-1100","33","1","-250","115711","0","18660003"
"1.75","cmn_swm_flutterKick_floatRing_pink","1","866","-850","12","5","-125","1","0","18660004"
"1.75","cmn_swm_flutterKick_floatRing_blue","1","866","-1100","32","5","-250","2","0","18660005"
"1","","7","866","-125","-850","31","1","1","","18660006"
"1","","1","866","-250","-1100","31","1","2","","18660007"
"","","113411","866","10","-125","2","","1750","","18660008"
"","","115711","866","10","-250","2","","1500","","18660009"
"","","1","866","10","-125","2","","1750","","18660010"
"","","2","866","10","-250","2","","1500","","18660011"
"","","1","866","10","-125","33","","1750","","18660012"
"","","2","866","10","-250","33","","1500","","18660013"
"","","se_10053800","867","","","23","","se_fpc_water_random","","18670001"
"1.75","cmn_swm_tread","1","867","-850","13","1","-125","113211","0","18670002"
"1.75","cmn_swm_tread","1","867","-1100","33","1","-250","127111","0","18670003"
"1.75","cmn_swm_tread_pink","1","867","-850","12","5","-125","1","0","18670004"
"1.75","cmn_swm_tread_blue","1","867","-1100","32","5","-250","2","0","18670005"
"1","","13","867","-125","-850","31","1","1","","18670006"
"1","","3","867","-250","-1100","31","1","2","","18670007"
"","","113211","867","13.5","-125","2","","1750","","18670008"
"","","127111","867","13.5","-250","2","","1500","","18670009"
"","","1","867","13.5","-125","2","","1750","","18670010"
"","","2","867","13.5","-250","2","","1500","","18670011"
"","","1","867","13.5","-125","33","","1750","","18670012"
"","","2","867","13.5","-250","33","","1500","","18670013"
"","","se_10053800","868","","","23","","se_fpc_water_random","","18680001"
"1.75","cmn_swm_diving","1","868","-850","12","1","-125","117011","0","18680002"
"1.75","cmn_swm_diving","1","868","-1100","22","1","-180","117111","0","18680003"
"1","","9","868","-125","-850","31","1","1","","18680004"
"1","","9","868","-180","-1100","31","1","2","","18680005"
"","","117011","868","13.5","-125","2","","1750","","18680006"
"","","117111","868","13.5","-180","2","","1500","","18680007"
"","","1","868","13.5","-125","33","","1750","","18680008"
"","","2","868","13.5","-180","33","","1500","","18680009"
"","","se_10053800","869","","","23","","se_fpc_water_random","","18690001"
"1.75","cmn_swm_flutterKick_floatRing","1","869","-850","13","1","-125","110511","0","18690002"
"1.75","cmn_swm_flutterKick_floatRing","1","869","-1100","33","1","-250","110011","0","18690003"
"1.75","cmn_swm_flutterKick_floatBoad","1","869","-850","12","5","-125","1","0","18690004"
"1.75","cmn_swm_flutterKick_floatBoad_blue","1","869","-1100","32","5","-250","2","0","18690005"
"1","","7","869","-125","-850","31","1","1","","18690006"
"1","","1","869","-250","-1100","31","1","2","","18690007"
