0b15055930c86fdb2479e651739850c470846162a8cf8fcc5bb1cde0bcbbb75d,d016b74c77736a132ad6d81962b7c9f642e88204be4170e92247fdecfd5a217d,87cffb5084c493fac3d239516997f8ecc0265744785469b1b715f9227783b657,617107450e288186457b7c9e4864f594525427fe21b10f6055ddfe9f02bf6f41,c0a65d2e8b2734e181c050d23d6b578cf752ab92f88ba229da80522b60643e51,5cf7dbc17fe4dc35df76d9a29577f4471594f9f8fac4a09814d69f4369f2b742
"戰鬥開始90秒內，\n我方全體賦予持續恢復HP的狀態。","115001","3005","2025/06/01 16:00:00","10201017","10201501"
"戰鬥開始後，\n我方全體無法行動狀態無效2次。","115001","3013","2025/06/01 16:00:00","10201018","10201501"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法攻擊力","126601","3003","2025/06/01 16:00:00","10201019","10201501"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","126601","3014","2025/06/01 16:00:00","10201020","10201501"
"戰鬥開始90秒內，\n我方全體中幅度提升ＴＰ上升。","133801","3010","2025/06/22 16:00:00","10201021","10201501"
"戰鬥開始90秒內，\n我方全體大幅度提升行動速度。（可重複）","133801","3010","2025/06/22 16:00:00","10201022","10201501"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","121201","3001","2025/06/01 16:00:00","10201023","10201501"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","121201","3014","2025/06/01 16:00:00","10201024","10201501"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","133701","3003","2025/06/01 16:00:00","10201025","10201501"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","133701","3010","2025/06/01 16:00:00","10201026","10201501"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理防禦力","123001","3002","2025/06/01 16:00:00","10201027","10201551"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法防禦力","123001","3004","2025/06/01 16:00:00","10201028","10201551"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的物理防禦力","106901","3011","2025/06/01 16:00:00","10201029","10201551"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的魔法防禦力","106901","3011","2025/06/01 16:00:00","10201030","10201551"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","107101","3001","2025/06/01 16:00:00","10201031","10201551"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","107101","3010","2025/06/01 16:00:00","10201032","10201551"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","107001","3003","2025/06/01 16:00:00","10201033","10201551"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","107001","3010","2025/06/01 16:00:00","10201034","10201551"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","106801","3001","2025/06/01 16:00:00","10201035","10201551"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","106801","3014","2025/06/01 16:00:00","10201036","10201551"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","111501","3001","2025/06/01 16:00:00","10201037","10201551"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","111501","3010","2025/06/01 16:00:00","10201038","10201551"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","123801","3001","2025/06/01 16:00:00","10201039","10201551"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","123801","3010","2025/06/01 16:00:00","10201040","10201551"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","133901","3001","2025/06/12 16:00:00","10201041","10201551"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","133901","3010","2025/06/12 16:00:00","10201042","10201551"
"戰鬥開始90秒內，\n我方全體賦予持續恢復HP的狀態。","115001","3005","2025/06/01 16:00:00","10201043","10201551"
"戰鬥開始後，\n我方全體無法行動狀態無效2次。","115001","3013","2025/06/01 16:00:00","10201044","10201551"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法攻擊力","126601","3003","2025/06/01 16:00:00","10201045","10201551"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","126601","3014","2025/06/01 16:00:00","10201046","10201551"
"戰鬥開始90秒內，\n我方全體中幅度提升ＴＰ上升。","133801","3010","2025/06/22 16:00:00","10201047","10201551"
"戰鬥開始90秒內，\n我方全體大幅度提升行動速度。（可重複）","133801","3010","2025/06/22 16:00:00","10201048","10201551"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","121201","3001","2025/06/01 16:00:00","10201049","10201551"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","121201","3014","2025/06/01 16:00:00","10201050","10201551"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","133701","3003","2025/06/01 16:00:00","10201051","10201551"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","133701","3010","2025/06/01 16:00:00","10201052","10201551"
