7acff37e0d9c92699291e1fb15826b72345f5aeddc7bbe4a92ff53b2ec60ceaf,a0d69534f8c38a8b0365377eaaa46fd7e5fa25b7e9e8c314d0a1cc3ccaf06c92,ec34c5c2b716ba649573d3a80f0fe30341b3c6a2411611ebe8c63a07c21068d5,a6bcc89881dc84607f7d08cf88a1dce3acfb736fd013244207af52b0ef2ba8fd,fb35139916ae51fb67327f0cae91cadf695376f7a106d7431e70f9e84175da77,eb7fffd8eb1ff71f2a8516be69f5f489a6b593dffe5a457698c45e934cd16504,4f73cc20f160bf8ed8f5e1103a8b5658c2b0d843edd518ce842ad464a55ca7dc,d81da0e0076ddd242a64245871ae266d46df8862e4dfddd72cbc1cea350cd8cf,ec2c21366ad57995fdf8d238330936c922a7299810d07bfe35143eb8b1597f86
"21","","21600","12","94002","4","118500","","474000"
"22","","21600","12","94002","4","129000","","516000"
"23","","21600","12","94002","4","140500","","562000"
"24","","21600","12","94002","4","150000","","600000"
"25","","21600","12","94002","4","160500","","642000"
"26","","21600","12","94002","4","171000","","684000"
"27","","21600","12","94002","4","181500","","726000"
"28","","21600","12","94002","4","192000","","768000"
"29","","21600","12","94002","4","202500","","810000"
"30","","21600","12","94002","4","213000","","852000"
"31","","21600","12","94002","4","223500","","894000"
"32","","21600","12","94002","4","230000","","920000"
"33","","21600","12","94002","4","235000","","940000"
"34","","21600","12","94002","4","240000","","960000"
"35","","21600","12","94002","4","245000","","980000"
"36","","21600","12","94002","4","250000","","1000000"
"37","","21600","12","94002","4","255000","","1020000"
"38","","21600","12","94002","4","260000","","1040000"
"1","","21600","6","93001","5","12","","48"
"1","","21600","6","93001","6","12","","48"
"1","","21600","6","93001","7","12","","48"
"1","","21600","6","93001","8","12","","48"
"1","","21600","6","93001","11","12","","48"
"1","","21600","6","93001","12","12","","48"
"1","","21600","6","93001","19","12","","48"
"0","4999999999","0","0","0","23","1","14999999999","0"
"1","","21600","6","93001","25","12","","48"
"1","","21600","6","93001","28","12","","48"
"1","","21600","6","93001","30","12","","48"
